,https://roic.ai/company/PSB,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,1761000,1839000,21141000,32915000,39591000,45387000,62321000,63610000,76964000,82128000,93262000,106438000,107947000,90706000,88519000,93578000,118317000,114229000,123996000,118976000,114348000,103949000,109397000,118010000,110840000,112543000
11,COGS and Expenses,-3200000,-3300000,-3400000,-3300000,- -,- -,- -,4095000,4163000,47291000,67900000,79336000,91325000,115801000,117673000,141933000,147936000,167933000,190798000,196389000,176618000,179053000,193726000,232425000,229060000,251367000,240200000,237456000,229289000,235944000,246353000,236353000,243439000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1457000,536000,333000,221000,241000,1485000,372000,590000,715000,942000,1510000,4492000,1234000,2536000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3952000,3552000,3534000,5455000,20618000,16166000,13593000,13330000,5664000,1285000,665000,657000,1072000,4646000
14,Depreciation and Amortization,1100000,1100000,1100000,1100000,- -,- -,1100000,1150000,1198000,18908000,29762000,35637000,41067000,58143000,59107000,73793000,77420000,86243000,98521000,99588000,84823000,78583000,84682000,109494000,108917000,110357000,105394000,99486000,94270000,99242000,104249000,96314000,93486000
15,EBITDA,3400000,3400000,3300000,3300000,2700000,2900000,3900000,4305000,4678000,48308000,71017000,86818000,90937000,115573000,108203000,135936000,152714000,150823000,167187000,173584000,165553000,167442000,184225000,219191000,228275000,297921000,249199000,233179000,250592000,326609000,279872000,270933000,546891000
16,EBITDA ratio,0.5965,0.5763,0.5593,0.5593,0.4219,0.4328,0.5652,0.5935,0.6121,0.5352,0.5522,0.5764,0.5337,0.5799,0.5464,0.6205,0.6934,0.6211,0.6158,0.6107,0.6094,0.6000,0.6172,0.6313,0.6343,0.7904,0.6669,0.6019,0.6231,0.7898,0.6511,0.6519,1.2466
17,Operating Income,8900000,9200000,9300000,9200000,6400000,6700000,6900000,3158000,3480000,42969000,60713000,71298000,79066000,83486000,80362000,77138000,72312000,74906000,80701000,87842000,95037000,100036000,104777000,114772000,130825000,125548000,133475000,149933000,172890000,177572000,183493000,179270000,-243439000
18,Operating Income ratio,1.5614,1.5593,1.5763,1.5593,1.0000,1.0000,1.0000,0.4354,0.4553,0.4761,0.4721,0.4733,0.4640,0.4189,0.4058,0.3521,0.3283,0.3085,0.2972,0.3091,0.3498,0.3584,0.3510,0.3306,0.3635,0.3331,0.3572,0.3870,0.4299,0.4294,0.4269,0.4313,-0.5549
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,-13569000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1457000,- -,- -,- -,-20377000,-14681000,79152000,15495000,-4949000,6426000,845000,3835000,27435000,796468000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,29400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94395000,116144000,204700000,148970000,144984000,179316000,178417000,187328000,206705000,553029000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.3257,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2719,0.3227,0.5431,0.3987,0.3743,0.4459,0.4315,0.4358,0.4973,1.2606
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,2300000,2300000,2200000,2200000,2700000,2900000,2800000,3155000,3480000,29400000,41255000,51181000,49870000,57430000,49096000,62143000,75294000,64580000,68666000,70044000,77178000,85325000,94088000,89079000,103192000,173971000,130475000,128029000,155037000,226702000,174966000,173547000,448759000
24,Net Income ratio,0.4035,0.3898,0.3729,0.3729,0.4219,0.4328,0.4058,0.4350,0.4553,0.3257,0.3208,0.3398,0.2927,0.2882,0.2479,0.2837,0.3419,0.2659,0.2529,0.2464,0.2841,0.3057,0.3152,0.2566,0.2867,0.4616,0.3492,0.3305,0.3855,0.5482,0.4070,0.4176,1.0229
25,EPS,0.95,0.95,0.90,0.99,1.23,1.39,1.37,1.59,1.77,1.52,1.60,1.98,1.84,1.95,1.56,1.34,1.48,0.78,0.83,1.15,2.70,1.59,2.13,0.82,1.77,4.21,2.53,2.32,3.32,6.33,3.96,4.54,20.08
26,EPS Diluted,0.80,0.80,0.77,0.82,1.00,1.11,1.09,1.24,1.38,1.51,1.60,1.97,1.83,1.93,1.54,1.33,1.47,0.77,0.82,1.13,2.68,1.58,2.12,0.81,1.77,4.19,2.52,2.31,3.30,6.31,3.95,4.52,20.01
27,Weighted Average Shares Outstanding,2421053,2421053,2444444,2222222,2195122,2086331,2043796,1830845,1819937,19361000,23641000,23284000,22350000,21552000,21412000,21767000,21826000,21335000,21313000,20443000,21998000,24546000,24516000,24234000,24732000,26899000,26973000,27089000,27207000,27321000,27418000,27475000,27543000
28,Weighted Average Shares Outstanding Diluted,2875000,2875000,2857143,2682927,2739726,2086331,2043796,2537916,2527008,19429000,23709000,23365000,22435000,21743000,21565000,21960000,22018000,21646000,21634000,20664000,22128000,24687000,24599000,24323000,24833000,27000000,27051000,27179000,27412000,27422000,27526000,27563000,27635000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/866368/000086636804000018/form10k_031504.htm,https://www.sec.gov/Archives/edgar/data/866368/000095012905002429/a06802e10vk.htm,https://www.sec.gov/Archives/edgar/data/866368/000095012906002332/a18058e10vk.htm,https://www.sec.gov/Archives/edgar/data/866368/000095013407004264/a27802e10vk.htm,https://www.sec.gov/Archives/edgar/data/866368/000095013408003609/a38509e10vk.htm,https://www.sec.gov/Archives/edgar/data/866368/000095013409003864/v51559e10vk.htm,https://www.sec.gov/Archives/edgar/data/866368/000095012310018248/v55303e10vk.htm,https://www.sec.gov/Archives/edgar/data/866368/000095012311018887/v58740e10vk.htm,https://www.sec.gov/Archives/edgar/data/866368/000119312512078648/d305909d10k.htm,https://www.sec.gov/Archives/edgar/data/866368/000119312513071527/d490388d10k.htm,https://www.sec.gov/Archives/edgar/data/866368/000119312514063666/d682802d10k.htm,https://www.sec.gov/Archives/edgar/data/866368/000119312515056226/d864826d10k.htm,https://www.sec.gov/Archives/edgar/data/866368/000086636816000029/psb-20151231x10k.htm,https://www.sec.gov/Archives/edgar/data/866368/000086636817000008/psb-20161231x10k.htm,https://www.sec.gov/Archives/edgar/data/866368/000086636818000005/psb-20171231x10k.htm,https://www.sec.gov/Archives/edgar/data/866368/000086636819000002/psb-20181231x10k.htm,https://www.sec.gov/Archives/edgar/data/866368/000086636820000005/psb-20191231x10k.htm,https://www.sec.gov/Archives/edgar/data/866368/000086636821000008/0000866368-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/866368/000086636822000006/0000866368-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,700000,1290000,2455000,6068000,74220000,49295000,3076000,44812000,5809000,39688000,200447000,66282000,35041000,55015000,208229000,5066000,4980000,12883000,31481000,152467000,188912000,128629000,114882000,37379000,62786000,69083000,27074000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6065000,9134000,5278000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,700000,1290000,2455000,6068000,74220000,55360000,12210000,50090000,5809000,39688000,200447000,66282000,35041000,55015000,208229000,5066000,4980000,12883000,31481000,152467000,188912000,128629000,114882000,37379000,62786000,69083000,27074000
34,Net Receivables,800000,- -,700000,- -,- -,- -,400000,53000,37000,- -,6264000,8158000,10483000,13321000,14814000,17549000,21328000,23534000,24167000,23688000,- -,25404000,3198000,30083000,31151000,28888000,30561000,31715000,33938000,34711000,34385000,38307000,39202000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,3626000,19699000,1546000,10374000,3479000,1262238000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,9694000,100183000,65064000,33067000,66890000,1282861000,- -,- -,- -,- -,- -,208229000,30470000,8178000,42966000,62632000,181355000,219473000,160344000,148820000,72090000,97171000,107390000,66276000
38,PP&E,32400000,31400000,30500000,29700000,- -,- -,27300000,26644000,25937000,698137000,802276000,864711000,1136209000,1089534000,1336285000,1303536000,1232728000,1360894000,1446910000,1374385000,1325633000,1577453000,2090692000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1583000,1282000,981000,679000,378000,76000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1583000,1282000,981000,679000,378000,76000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6335000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26736000,67190000,100898000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6335000,-1260361000,- -,- -,- -,- -,- -,30960000,13134000,39749000,2108851000,2175927000,2045759000,1940449000,1891837000,1850441000,1996504000,1949272000,1950315000,2056946000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,699720000,803558000,865692000,1136888000,1089912000,76000000,- -,- -,- -,- -,- -,1356593000,1590587000,2130441000,2108851000,2175927000,2045759000,1967185000,1959027000,1951339000,1996504000,1949272000,1950315000,2056946000
46,Other Assets,34300000,33700000,32400000,30900000,- -,- -,28400000,28129000,28846000,- -,- -,- -,- -,- -,- -,1363829000,1463678000,1462864000,1516583000,1469323000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,34300000,33700000,32400000,30900000,- -,- -,28400000,28129000,28846000,709414000,903741000,930756000,1169955000,1156802000,1358861000,1363829000,1463678000,1462864000,1516583000,1469323000,1564822000,1621057000,2138619000,2151817000,2238559000,2227114000,2186658000,2119371000,2100159000,2068594000,2046443000,2057705000,2123222000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,633000,615000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59308000,52887000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,900000,- -,- -,181500000,311100000,335400000,505100000,422100000,518300000,335500000,344300000,290700000,300300000,229892000,46298000,53421000,60940000,69454000,73919000,68905000,76059000,78657000,80223000,85141000,84632000,82065000,97151000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,181500000,311100000,335400000,505100000,422100000,518300000,335500000,344300000,290700000,300300000,289200000,99185000,53421000,60940000,69454000,73919000,68905000,76059000,78657000,80223000,85141000,84632000,82065000,129151000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,50541000,37066000,30971000,165145000,70279000,264694000,11367000,25893000,67048000,60725000,59308000,- -,144511000,717084000,468102000,250000000,250000000,250000000,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12541000,34000,29000,-100045000,21000,-94994000,33000,7000,-48000,-25000,-8000,- -,- -,- -,- -,- -,- -,- -,230000000,130000000,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,38000000,37100000,31000000,65100000,70300000,169700000,11400000,25900000,67000000,60700000,59300000,- -,144511000,717084000,468102000,250000000,250000000,250000000,230000000,130000000,- -,- -,- -,- -
59,Other Liabilities,500000,700000,1500000,1500000,- -,- -,1500000,1512000,1475000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,500000,700000,1500000,1500000,- -,- -,1500000,1512000,1475000,66509000,58310000,59935000,210333000,107181000,300395000,49820000,65019000,159442000,111783000,105736000,99185000,197932000,778024000,537556000,323919000,318905000,326059000,308657000,210223000,85141000,84632000,82065000,129151000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,170813000,168673000,510850000,593350000,572500000,716250000,706250000,626046000,598546000,598546000,885000000,995000000,995000000,920000000,879750000,959750000,959750000,944750000,944750000,755000000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,25000,25000,236000,236000,230000,215000,215000,216000,218000,215000,213000,207000,204000,243000,246000,240000,242000,267000,268000,269000,271000,272000,274000,274000,274000,275000
64,Retained Earnings,- -,-14000000,12200000,14400000,- -,- -,-29100000,-5829000,-5075000,7198000,21406000,44258000,56247000,73262000,81696000,85545000,92513000,84442000,67856000,50773000,40997000,36854000,46097000,23356000,23360000,9005000,18218000,-433000,-1778000,69207000,63666000,73631000,226737000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,45600000,-12000000,-13198000,-22517000,-50976000,-83841000,-121609000,-177229000,-225599000,-295415000,-356623000,-441336000,-539857000,-637948000,-707209000,-776840000,-846799000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,33800000,47000000,18700000,15000000,- -,- -,10400000,44421000,45619000,504988000,584865000,603696000,664878000,597341000,645842000,715766000,764003000,839384000,911124000,1001535000,1255602000,1334722000,1381121000,537091000,699314000,709008000,722009000,733671000,735067000,736131000,736986000,738022000,752444000
67,Total Stockholders Equity,33800000,33000000,30900000,29400000,- -,- -,26900000,26617000,27371000,489905000,555531000,564343000,599731000,664402000,670828000,1016964000,1093458000,1055203000,1155580000,1120814000,1215679000,1193528000,1179205000,1445689000,1717941000,1713281000,1660496000,1613259000,1693311000,1765362000,1745676000,1756677000,1734456000
68,Total Liabilities And Stockholders Equity,34300000,33700000,32400000,30900000,- -,- -,28400000,28129000,28846000,556414000,613841000,624278000,810064000,771583000,971223000,1066784000,1158477000,1214645000,1267363000,1226550000,1314864000,1391460000,1957229000,1983245000,2041860000,2032186000,1986555000,1921916000,1903534000,1850503000,1830308000,1838742000,1863607000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,153000000,289900000,306478000,359891000,385219000,387638000,297045000,305201000,248219000,249220000,242773000,249958000,229597000,181390000,168572000,196699000,194928000,200103000,197455000,196625000,218091000,216135000,218963000,259615000
70,Total Liabilities & Equity,34300000,33700000,32400000,30900000,- -,- -,28400000,28129000,28846000,709414000,903741000,930756000,1169955000,1156802000,1358861000,1363829000,1463678000,1462864000,1516583000,1469323000,1564822000,1621057000,2138619000,2151817000,2238559000,2227114000,2186658000,2119371000,2100159000,2068594000,2046443000,2057705000,2123222000
71,SEC Link,- -,- -,- -,- -,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/866368/000086636804000018/form10k_031504.htm,https://www.sec.gov/Archives/edgar/data/866368/000095012905002429/a06802e10vk.htm,https://www.sec.gov/Archives/edgar/data/866368/000095012906002332/a18058e10vk.htm,https://www.sec.gov/Archives/edgar/data/866368/000095013407004264/a27802e10vk.htm,https://www.sec.gov/Archives/edgar/data/866368/000095013408003609/a38509e10vk.htm,https://www.sec.gov/Archives/edgar/data/866368/000095013409003864/v51559e10vk.htm,https://www.sec.gov/Archives/edgar/data/866368/000095012310018248/v55303e10vk.htm,https://www.sec.gov/Archives/edgar/data/866368/000095012311018887/v58740e10vk.htm,https://www.sec.gov/Archives/edgar/data/866368/000119312512078648/d305909d10k.htm,https://www.sec.gov/Archives/edgar/data/866368/000119312513071527/d490388d10k.htm,https://www.sec.gov/Archives/edgar/data/866368/000119312514063666/d682802d10k.htm,https://www.sec.gov/Archives/edgar/data/866368/000119312515056226/d864826d10k.htm,https://www.sec.gov/Archives/edgar/data/866368/000086636816000029/psb-20151231x10k.htm,https://www.sec.gov/Archives/edgar/data/866368/000086636817000008/psb-20161231x10k.htm,https://www.sec.gov/Archives/edgar/data/866368/000086636818000005/psb-20171231x10k.htm,https://www.sec.gov/Archives/edgar/data/866368/000086636819000002/psb-20181231x10k.htm,https://www.sec.gov/Archives/edgar/data/866368/000086636820000005/psb-20191231x10k.htm,https://www.sec.gov/Archives/edgar/data/866368/000086636821000008/0000866368-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/866368/000086636822000006/0000866368-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2300000,2300000,2200000,2200000,- -,- -,2800000,3155000,3480000,29400000,41255000,51181000,49870000,57430000,49096000,62143000,75294000,64580000,68666000,70044000,77178000,85325000,94088000,89079000,103192000,173971000,130475000,128029000,155037000,226702000,174966000,173547000,448759000
74,Depreciation and Amortization,1100000,1100000,1100000,1100000,- -,- -,1100000,1150000,1198000,18908000,29762000,35637000,41067000,58143000,59107000,73793000,77420000,86243000,98521000,99588000,84823000,78583000,84682000,109494000,108917000,110357000,105394000,99486000,94270000,99242000,104249000,96314000,93486000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3151000,2900000,2116000,1965000,5434000,-2532000,9580000,9245000,10913000,4777000,4174000,4956000,5648000,8495000
77,Change in Working Capital,-200000,- -,- -,- -,- -,- -,- -,- -,- -,-171806000,-39111000,-59419000,-201697000,116823000,1119771000,-1100061000,-8800000,53600000,-9600000,11100000,398244000,-131995000,-29811000,26274000,15201000,123737000,30964000,-61727000,-13090000,-81648000,25590000,12786000,- -
78,Accounts Receivable,- -,-200000,- -,100000,- -,- -,- -,-100000,-300000,-1900000,-3900000,-2004000,-2642000,-3529000,-1615000,-4172000,-5004000,-3741000,-1015000,- -,- -,- -,- -,-5025000,-247000,792000,-989000,-2022000,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-100000,200000,- -,-100000,- -,- -,- -,- -,- -,2600000,5200000,7747000,10901000,314000,-3820000,4581000,-3124000,492000,2482000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-171806000,-210917000,-270336000,-472033000,-355210000,764561000,-335500000,-344300000,-290700000,-300300000,-289200000,109044000,-22951000,-52762000,-26488000,-11287000,112450000,143414000,81687000,68597000,-13051000,12539000,25325000,- -
82,Other Non-Cash Items,- -,-100000,100000,- -,- -,- -,-100000,180000,-296000,183726000,56534000,83798000,237437000,-97470000,-1095564000,1116083000,5514000,-38908000,26507000,5454000,-383520000,143912000,30952000,-21154000,-2484000,-189874000,-38006000,73806000,30620000,27683000,-19166000,-11320000,-248503000
83,Cash Provided by Operating Activities,3200000,3300000,3400000,3300000,- -,- -,3800000,4485000,4382000,60228000,88440000,111197000,126677000,134926000,132410000,151958000,149428000,165515000,184094000,189337000,179625000,177941000,181876000,209127000,222294000,227771000,238072000,250507000,271614000,276153000,290595000,276975000,302237000
84,CAPEX,-300000,-200000,-100000,-200000,- -,- -,- -,-507000,-491000,-308222000,-112848000,-121278000,-329624000,-31543000,-318913000,-74392000,-60413000,-178200000,-181537000,-35192000,-29513000,-336629000,-347361000,-56772000,-58927000,-53975000,-46463000,-31926000,-51768000,-39846000,-44643000,-52474000,-83887000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-82335000,-301960000,-1156000,-279137000,-22323000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5566000,-40454000,-34513000,1082000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18470000,-1720000,-9441000,-255000,-1396000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6401000,12273000,7600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-500000,- -,- -,-424000,- -,127865000,316257000,26457000,296961000,70607000,84802000,8214000,1349000,-35192000,-26956000,-31197000,-40624000,-105729000,-172872000,113188000,8697000,-44554000,-44724000,-37148000,-34322000,-71819000,169366000
89,Cash Used for Investing Activites,-300000,-200000,-100000,-200000,- -,- -,-500000,-507000,-491000,-308646000,-131318000,-77468000,-318367000,5776000,-294885000,-26108000,24389000,-169986000,-180188000,-35192000,-26956000,-327448000,-338362000,-105729000,-172872000,113188000,3131000,-85008000,-79237000,-36066000,-34322000,-71819000,169366000
90,Debt Repayment,- -,- -,- -,200000,- -,- -,- -,-300000,- -,-606000,-88594000,-6095000,-826000,-59866000,-585000,-391327000,-472000,-762000,-6076000,-1157000,-6150000,-1091000,-233212000,-402982000,-333102000,- -,- -,-366000000,-250000000,-50000000,-70000000,- -,- -
91,Common Stock Issued,- -,- -,-800000,- -,- -,- -,- -,- -,- -,272112000,179000,261000,1603000,723000,7621000,6958000,1937000,1367000,1468000,- -,171232000,- -,- -,- -,192329000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-700000,- -,- -,-500000,-700000,- -,- -,- -,-16641000,-43926000,-1398000,-10317000,-185573000,-26465000,-134967000,-78551000,-27107000,-62764000,-122500000,-69339000,-529129000,- -,- -,-75000000,-569000,-450761000,-131142000,-340910000,-654000,-191248000
93,Dividends Paid,-3000000,-3100000,- -,-3000000,- -,- -,-2800000,-2749000,-2726000,-21806000,-27047000,-28329000,-37881000,-43646000,-40535000,-82591000,-87150000,-87780000,-85252000,-106699000,-102875000,-103361000,-98099000,-94653000,-103188000,-188326000,-118775000,-138561000,-144711000,-156410000,-169500000,-163582000,-289219000
