,https://roic.ai/company/CMPR,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
52,Other Current Liabilities,- -,- -,- -,6155000,10585000,13716000,22403000,35655000,43724000,65609000,68989000,100070000,105011000,124243000,177367000,181042000,238657000,218316000,199359000,215977000,318714000
53,Total Current Liabilities,- -,- -,- -,9328000,16923000,24362000,35796000,49338000,66813000,91633000,93806000,141979000,155026000,241501000,307223000,335863000,449483000,481024000,520749000,486758000,638173000
54,Long-Term Debt,- -,- -,- -,5816000,15696000,23046000,21772000,19507000,10465000,- -,- -,229000000,230000000,428601000,612086000,788344000,982642000,887211000,1070422000,1563237000,1817261000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,1225000,2656000,1637000,3151000,3794000,18359000,12246000,30846000,48007000,69430000,60743000,51243000,44531000,33811000,27433000
57,Other Non-Current Liabilities,- -,- -,- -,43935000,71436000,- -,- -,1946000,5100000,6991000,8207000,13804000,14734000,55580000,91507000,104156000,111789000,138792000,100862000,138676000,149002000
58,Total Non-Current Liabilities,- -,- -,- -,49751000,87132000,23046000,22997000,24109000,17202000,10142000,12001000,261163000,256980000,515027000,751600000,961930000,1155174000,1077246000,1215815000,1735724000,1993696000
59,Other Liabilities,16618000,18241000,20890000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18117000,130117000,152130000,159054000,142942000,151369000,197407000,143615000
61,Total Liabilities,16618000,18241000,20890000,59079000,104055000,47408000,58793000,73447000,84015000,101775000,105807000,403142000,412006000,756528000,1058823000,1297793000,1604657000,1558270000,1736564000,2222482000,2631869000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,11000,11000,42000,43000,44000,45000,698000,699000,699000,615000,615000,615000,615000,615000,615000,615000,615000,615000
64,Retained Earnings,- -,- -,- -,-19985000,-41017000,-23077000,4066000,43098000,98784000,166525000,248634000,292628000,299144000,342840000,435052000,486482000,414771000,452756000,537422000,618437000,537677000
65,Other Comprehensive Income/Loss,- -,- -,- -,270000,258000,665000,1922000,8092000,3722000,-10625000,12877000,-10732000,-11556000,2113000,-98909000,-108015000,-113398000,-69814000,-79857000,-88676000,-79000000
66,Other Total Stockholders Equity,- -,- -,- -,2632000,2679000,146354000,170029000,191271000,182983000,219516000,187883000,-93308000,-98642000,-113111000,-87851000,-213357000,-226989000,-289895000,-326368000,-937852000,-908663000
67,Total Stockholders Equity,-11764000,-11861000,-11280000,-17072000,-38069000,123984000,176060000,242505000,285534000,376114000,450093000,189287000,189561000,232457000,248907000,165725000,74999000,93662000,131812000,-407476000,-449371000
68,Total Liabilities And Stockholders Equity,4854000,6380000,9610000,42007000,65986000,171392000,234853000,315952000,369549000,477889000,555900000,592429000,601567000,988985000,1307730000,1463518000,1679656000,1651932000,1868376000,1815006000,2182498000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,512000,351000,213000,285000,- -,- -,- -
70,Total Liabilities & Equity,4854000,6380000,9610000,42007000,65986000,171392000,234853000,315952000,369549000,477889000,555900000,592429000,601567000,988985000,1308242000,1463869000,1679869000,1652217000,1868376000,1815006000,2182498000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1262976/000119312506190078/d10k.htm,https://www.sec.gov/Archives/edgar/data/1262976/000119312507190894/0001193125-07-190894-index.html,https://www.sec.gov/Archives/edgar/data/1262976/000119312508187668/0001193125-08-187668-index.html,https://www.sec.gov/Archives/edgar/data/1262976/000119312509184815/0001193125-09-184815-index.html,https://www.sec.gov/Archives/edgar/data/1262976/000095012310081849/0000950123-10-081849-index.html,https://www.sec.gov/Archives/edgar/data/1262976/000095012311078262/0000950123-11-078262-index.html,https://www.sec.gov/Archives/edgar/data/1262976/000144530512002668/0001445305-12-002668-index.html,https://www.sec.gov/Archives/edgar/data/1262976/000144530513002175/0001445305-13-002175-index.html,https://www.sec.gov/Archives/edgar/data/1262976/000144530514003710/0001445305-14-003710-index.html,https://www.sec.gov/Archives/edgar/data/1262976/000126297615000008/0001262976-15-000008-index.html,- -,https://www.sec.gov/Archives/edgar/data/1262976/000126297617000025/0001262976-17-000025-index.html,https://www.sec.gov/Archives/edgar/data/1262976/000126297618000052/0001262976-18-000052-index.html,https://www.sec.gov/Archives/edgar/data/1262976/000126297619000053/cmpr0630201910-k.htm,https://www.sec.gov/Archives/edgar/data/1262976/000126297620000060/0001262976-20-000060-index.htm,https://www.sec.gov/Archives/edgar/data/1262976/000126297621000040/0001262976-21-000040-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,473000,3440000,-16219000,19235000,27143000,39831000,55686000,67741000,82109000,43994000,29435000,43696000,92212000,54349000,-71711000,43733000,95052000,83365000,-77711000
74,Depreciation and Amortization,- -,- -,2103000,4209000,5902000,7786000,14874000,25193000,35713000,44367000,50790000,59427000,64325000,72282000,97500000,131918000,158400000,169005000,173771000,167943000,173212000
75,Deferred Income Tax,- -,- -,- -,-527000,-420000,218000,1290000,-2029000,-4538000,179000,1614000,-1810000,-8626000,-12807000,-14940000,-15922000,-41358000,-14039000,6838000,-106864000,-10284000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,19473000,22380000,21677000,25413000,32928000,27786000,24075000,23772000,48627000,50466000,21716000,34874000,37034000
77,Change in Working Capital,- -,- -,- -,12620000,1367000,76214000,-7202000,11737000,-4686000,21319000,67116000,-204866000,-28414000,-28765000,-6020000,38686000,-3390000,-38246000,-38721000,42095000,128679000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,276000,-3727000,-3454000,-1405000,-1520000,4008000,2057000,6766000,4701000,-5123000,-4186000,26659000,-11474000
79,Inventory,- -,- -,- -,-46000,-316000,-1030000,298000,-1309000,-1921000,-2224000,-1466000,1150000,-525000,-1055000,-4491000,-11000,-8699000,-7068000,-3627000,-18328000,16382000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,3148000,6176000,-2610000,5667000,511000,14945000,-4026000,25670000,25332000,21782000,19835000,-17547000,29367000
81,Other Working Capital,- -,- -,- -,12620000,13987000,90201000,82999000,94736000,90050000,111369000,178485000,-26381000,-54795000,-83560000,-89580000,- -,-203482000,-241728000,-280449000,-238354000,-109675000
82,Other Non-Cash Items,- -,- -,1417000,-10573000,2699000,-68816000,18135000,12999000,18403000,-2285000,-60673000,218483000,50364000,46388000,36049000,14555000,66168000,-18587000,72439000,117031000,14291000
83,Cash Provided by Operating Activities,- -,- -,3993000,9169000,-6671000,34637000,54240000,87731000,120051000,153701000,162633000,140641000,140012000,148580000,228876000,247358000,156736000,192332000,331095000,338444000,265221000
84,CAPEX,- -,- -,-1571000,-18080000,-18629000,-27585000,-67034000,-69686000,-83454000,-107842000,-43900000,-52122000,-87416000,-82124000,-93386000,-107235000,-111661000,-102085000,-119279000,-94459000,-99461000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6496000,- -,-180675000,-12753000,-220929000,-123804000,-164412000,-204875000,93669000,-289920000,-5396000,-53410000
86,Purchases of Investments,- -,- -,- -,- -,- -,-75705000,-52399000,-49487000,-6078000,-9804000,- -,- -,- -,-4629000,- -,- -,- -,- -,-12016000,- -,-206872000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,31880000,57000000,61117000,31937000,100000,9570000,529000,- -,- -,- -,- -,6346000,- -,- -,29791000,- -
88,Other Investing Activites,- -,- -,-4478000,-4706000,-1908000,- -,256000,- -,-7168000,-6339000,-6495000,-5702000,-7179000,-9304000,-17573000,-20691000,-29103000,-43333000,-47667000,-40792000,-55510000
89,Cash Used for Investing Activites,- -,- -,-4478000,-18080000,-20537000,-71410000,-62177000,-58056000,-57595000,-123865000,-34330000,-232268000,-98931000,-306984000,-217190000,-265538000,-301789000,-10594000,-420166000,-66864000,-354316000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-3219000,-13848000,-5222000,-179500000,-105661000,-276151000,-587670000,-444625000,-556029000,-1288399000,-964759000,-1346845000,-1559606000
91,Common Stock Issued,- -,- -,- -,711000,22735000,68024000,13707000,8321000,12067000,14977000,7013000,1394000,4805000,4425000,13123000,4705000,6192000,11981000,3403000,6000,- -
92,Common Stock Repurchased,- -,- -,- -,-9117000,- -,- -,- -,- -,-45518000,- -,-56935000,-309701000,-64351000,-42016000,- -,-153467000,-50008000,-94710000,-55567000,-627056000,-2280000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,406000,34208000,10799000,6827000,-991000,-5341000,5427000,130000,-3138000,408640000,111952000,483350000,612859000,588049000,704423000,1193371000,1098912000,1715640000,1786014000
95,Cash Used/Provided by Financing Activities,- -,- -,406000,25802000,33534000,74851000,12716000,2980000,-31243000,1259000,-58282000,-79167000,-53255000,169608000,38312000,-5338000,104578000,-177757000,81989000,-258255000,224128000
96,Effect of Forex Changes on Cash,- -,- -,- -,20000,16000,173000,32000,1026000,-370000,-2356000,3804000,-3555000,36000,1239000,-8922000,-2640000,788000,2507000,-1866000,-3583000,2969000
97,Net Change In Cash,- -,- -,406000,16911000,6342000,38251000,4811000,33681000,30843000,28739000,73825000,-174349000,-12138000,12443000,41076000,-26158000,-51729000,18530000,-8948000,9742000,138002000
98,Cash at the End of Period,- -,- -,- -,20060000,26402000,64653000,69464000,103145000,133988000,162727000,236552000,62203000,50065000,62508000,103584000,77426000,25697000,44227000,35279000,45021000,183023000
99,Cash at the Beginning of Period,- -,- -,- -,3149000,20060000,26402000,64653000,69464000,103145000,133988000,162727000,236552000,62203000,50065000,62508000,103584000,77426000,25697000,44227000,35279000,45021000
100,Free Cash Flow,- -,- -,2422000,-8911000,-25300000,7052000,-12794000,18045000,36597000,45859000,118733000,88519000,52596000,66456000,135490000,140123000,45075000,90247000,211816000,243985000,165760000
101,SEC Link,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1262976/000119312506190078/d10k.htm,https://www.sec.gov/Archives/edgar/data/1262976/000119312507190894/0001193125-07-190894-index.html,https://www.sec.gov/Archives/edgar/data/1262976/000119312508187668/0001193125-08-187668-index.html,https://www.sec.gov/Archives/edgar/data/1262976/000119312509184815/0001193125-09-184815-index.html,https://www.sec.gov/Archives/edgar/data/1262976/000095012310081849/0000950123-10-081849-index.html,https://www.sec.gov/Archives/edgar/data/1262976/000095012311078262/0000950123-11-078262-index.html,https://www.sec.gov/Archives/edgar/data/1262976/000144530512002668/0001445305-12-002668-index.html,https://www.sec.gov/Archives/edgar/data/1262976/000144530513002175/0001445305-13-002175-index.html,https://www.sec.gov/Archives/edgar/data/1262976/000144530514003710/0001445305-14-003710-index.html,https://www.sec.gov/Archives/edgar/data/1262976/000126297615000008/0001262976-15-000008-index.html,- -,https://www.sec.gov/Archives/edgar/data/1262976/000126297617000025/0001262976-17-000025-index.html,https://www.sec.gov/Archives/edgar/data/1262976/000126297618000052/0001262976-18-000052-index.html,https://www.sec.gov/Archives/edgar/data/1262976/000126297619000053/cmpr0630201910-k.htm,https://www.sec.gov/Archives/edgar/data/1262976/000126297620000060/0001262976-20-000060-index.htm,https://www.sec.gov/Archives/edgar/data/1262976/000126297621000040/0001262976-21-000040-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
