,https://roic.ai/company/DCI,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
61,Total Liabilities,77700000,90300000,96200000,97300000,117100000,114300000,126000000,126200000,147700000,159800000,174000000,210500000,243600000,265600000,389492000,387737000,467510000,434604000,452316000,587157000,577265000,694319000,808587000,645378000,752873000,791382000,820068000,658369000,939928000,1030883000,1017200000,1125200000,1118800000,1249900000,1251700000,1263100000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,248300000,248280000,248280000,248280000,248280000,443216000,443216000,443216000,443216000,443216000,443216000,443216000,443216000,758216000,758216000,758216000,758216000,758200000,758200000,758200000,758200000,758200000,758200000
64,Retained Earnings,86700000,94200000,65900000,77700000,95000000,114500000,94800000,117300000,65700000,93700000,128800000,167400000,40000000,87900000,143125000,203499000,274395000,351769000,111768000,172775000,275598000,387257000,522476000,615817000,744247000,925542000,366788000,532307000,702435000,815166000,905100000,1041200000,1122100000,1281500000,1430000000,1608400000
65,Other Comprehensive Income/Loss,-79700000,-88900000,-95900000,-102600000,-112600000,-114300000,-129100000,-143300000,-159400000,-181600000,-183100000,-199600000,-212500000,-239200000,-265156000,-283937000,-311811000,-6888000,53650000,68194000,71729000,90829000,139948000,-9677000,-40486000,40027000,-101888000,-37473000,-45810000,-161990000,-205600000,-157000000,-149800000,-192900000,-184000000,-118200000
66,Other Total Stockholders Equity,106600000,105200000,127300000,132400000,146400000,138700000,194600000,200000000,283400000,309100000,283200000,276100000,428200000,165800000,153916000,151251000,171757000,-145768000,-59341000,-159569000,-243741000,-296604000,-365605000,-360738000,-400344000,-474074000,-113102000,-167863000,-412358000,-636623000,-690300000,-792300000,-877500000,-959500000,-1017100000,-1111300000
67,Total Stockholders Equity,113600000,110500000,97300000,107500000,128800000,138900000,160300000,174000000,189700000,221200000,228900000,243900000,255700000,262800000,280165000,319093000,382621000,447393000,549293000,524616000,546802000,624698000,740035000,688618000,746633000,934711000,910014000,1085187000,1002483000,774769000,767400000,850100000,853000000,887300000,987100000,1137100000
68,Total Liabilities And Stockholders Equity,191300000,200800000,193500000,204800000,245900000,253200000,286300000,300200000,337400000,381000000,402900000,454400000,499300000,528400000,669657000,706830000,850131000,881997000,1001609000,1111773000,1124067000,1319017000,1548622000,1333996000,1499506000,1726093000,1730082000,1743556000,1942411000,1805652000,1784600000,1975300000,1971800000,2137200000,2238800000,2400200000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3882000,4000000,4400000,4800000,5400000,5800000,- -
70,Total Liabilities & Equity,191300000,200800000,193500000,204800000,245900000,253200000,286300000,300200000,337400000,381000000,402900000,454400000,499300000,528400000,669657000,706830000,850131000,881997000,1001609000,1111773000,1124067000,1319017000,1548622000,1333996000,1499506000,1726093000,1730082000,1743556000,1942411000,1809534000,1788600000,1979700000,1976600000,2142600000,2244600000,2400200000
