,https://roic.ai/company/OPY,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,- -,- -,- -,- -,0.2004,- -,- -,- -,0.3495,0.3600,0.3063,0.2202,0.2921,0.3822,0.2009,0.1016,0.1138,0.1547,0.1791,0.2367,0.2508,0.0221,0.0755,0.1102,0.0769,0.0484,0.0787,0.0531,0.0334,0.0164,0.0594,0.1024,0.1485,0.1818,0.1927
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,176274000,186722000,184932000,149083000,116762000,161513000,192327000,209917000,260208000,344300000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1850,0.1831,0.1841,0.1606,0.1361,0.1755,0.2007,0.2031,0.2171,0.2470
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-176801000,-142813000,-159196000,-142372000,-138654000,-141777000,-147474000,-135005000,-91208000,-119659000
20,Income Before Tax,- -,- -,- -,- -,14900000,- -,- -,- -,34831000,53902000,46484000,21723000,50500000,71712000,31612000,12917000,50603000,38362000,41689000,80450000,127394000,-36043000,34813000,70766000,17848000,-527000,43909000,25736000,6711000,-21892000,19736000,44853000,74912000,169000000,224641000
21,Income Before Tax Ratio,- -,- -,- -,- -,0.1357,- -,- -,- -,0.2138,0.2727,0.2094,0.1030,0.1959,0.2531,0.1279,0.0470,0.0774,0.0604,0.0651,0.1090,0.1485,-0.0409,0.0359,0.0701,0.0194,-0.0006,0.0431,0.0256,0.0072,-0.0255,0.0214,0.0468,0.0725,0.1410,0.1611
22,Income Tax expense (Gain),- -,- -,- -,- -,5500000,- -,- -,- -,13932000,23623000,19753000,9276000,23100000,30811000,12462000,5370000,20812000,15861000,18773000,35873000,52027000,-15273000,15326000,30187000,5231000,324000,17756000,16175000,3813000,-12262000,-2134000,15977000,21959000,46014000,65677000
23,Net Income,-2800000,600000,2500000,1700000,9400000,13800000,19000000,11800000,20899000,30279000,26731000,12447000,27400000,40901000,19150000,9321000,29791000,22501000,22916000,44577000,75367000,-20770000,19487000,38331000,10316000,-3613000,25061000,8826000,1962000,-1161000,22816000,28892000,52953000,122986000,158964000
24,Net Income ratio,-Infinity,Infinity,Infinity,Infinity,0.0856,Infinity,Infinity,Infinity,0.1283,0.1532,0.1204,0.0590,0.1063,0.1443,0.0775,0.0339,0.0456,0.0354,0.0358,0.0604,0.0879,-0.0236,0.0201,0.0380,0.0112,-0.0038,0.0246,0.0088,0.0021,-0.0014,0.0248,0.0302,0.0512,0.1026,0.1140
25,EPS,-0.25,0.05,0.22,0.15,0.83,1.19,1.59,0.96,1.70,2.42,2.14,0.99,2.19,3.38,1.55,0.75,2.35,1.68,1.76,3.50,5.70,-1.57,1.49,2.87,0.76,-0.27,1.85,0.65,0.14,-0.09,1.72,2.18,4.10,9.73,12.57
26,EPS Diluted,-0.25,0.05,0.22,0.15,0.80,1.14,1.51,0.93,1.64,2.30,2.08,0.96,2.17,3.29,1.50,0.73,1.63,1.31,1.36,2.76,5.57,-1.57,1.45,2.76,0.74,-0.27,1.77,0.62,0.14,-0.09,1.67,2.05,3.82,9.30,12.03
27,Weighted Average Shares Outstanding,11200000,12000000,11363636,11333333,11325301,11596639,11949686,12291667,12293529,12511983,12491121,12572727,12511416,12100888,12354839,12428000,12677021,13393452,13020455,12736286,13222281,13199580,13110647,13340846,13638087,13602205,13577725,13604000,13641000,13369000,13246000,13249000,12904397,12642576,12642576
28,Weighted Average Shares Outstanding Diluted,11200000,12000000,11363636,11333333,11750000,12105263,12582781,12688172,12743293,13164783,12851442,12965625,12626728,12431915,12766667,12768493,15279592,17176336,16150943,16151087,13530880,13199580,13441279,13897261,13936733,13602205,14124060,14251000,14292000,13369000,13673000,14061000,13851832,13217335,13217335
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/791963/000079196302000001/f10k01z.htm,https://www.sec.gov/Archives/edgar/data/791963/000079196303000006/f10k02.htm,https://www.sec.gov/Archives/edgar/data/791963/000079196304000001/sec10k.htm,https://www.sec.gov/Archives/edgar/data/791963/000079196305000005/t15975.htm,https://www.sec.gov/Archives/edgar/data/791963/000079196306000003/f10k05v8ab.htm,https://www.sec.gov/Archives/edgar/data/791963/000079196307000001/f10k06v5hedgar.htm,https://www.sec.gov/Archives/edgar/data/791963/000079196308000003/f10k07.htm,https://www.sec.gov/Archives/edgar/data/791963/000079196309000002/0000791963-09-000002-index.html,https://www.sec.gov/Archives/edgar/data/791963/000079196310000003/0000791963-10-000003-index.html,https://www.sec.gov/Archives/edgar/data/791963/000079196311000001/f10kv4e.htm,https://www.sec.gov/Archives/edgar/data/791963/000119312512098787/0001193125-12-098787-index.html,https://www.sec.gov/Archives/edgar/data/791963/000119312513092605/0001193125-13-092605-index.html,- -,https://www.sec.gov/Archives/edgar/data/791963/000079196315000004/opy-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/791963/000079196316000032/0000791963-16-000032-index.html,https://www.sec.gov/Archives/edgar/data/791963/000079196317000004/0000791963-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/791963/000079196318000005/0000791963-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/791963/000079196319000006/0000791963-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/791963/000079196320000006/0000791963-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/791963/000079196321000008/0000791963-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/791963/000079196322000032/0000791963-22-000032-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,6300000,- -,- -,- -,10949000,11265000,17055000,20885000,10800000,23298000,24217000,16115000,34478000,33390000,32013000,68577000,111666000,61040000,94716000,76082000,106145000,135366000,98294000,63807000,63364000,64913000,48154000,90675000,79550000,35424000,213759000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,6300000,- -,- -,- -,10949000,11265000,17055000,20885000,10800000,23298000,24217000,16115000,34478000,33390000,32013000,68577000,111666000,61040000,94716000,76082000,106145000,135366000,98294000,63807000,63364000,64913000,48154000,90675000,79550000,35424000,213759000
34,Net Receivables,- -,- -,- -,- -,194500000,- -,- -,- -,303640000,186573000,359235000,167048000,136800000,130657000,100694000,492094000,1282927000,1338827000,1704578000,1675604000,672282000,991814000,1284475000,1292426000,1186722000,979773000,1006928000,975664000,1020382000,944145000,946432000,824198000,909432000,1360490000,1445335000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,319292000,443556000,463836000,602800000,529693000,566088000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58954000,135991000,74347000,109724000,43373000,42222000,67678000,48415000,83343000,194733000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,517130000,819846000,651769000,750400000,683648000,690999000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1174093000,1241213000,1113818000,1193470000,1052431000,1036808000,982551000,1037397000,1479257000,1853827000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,1595000,1856000,9128000,9286000,10900000,9687000,9992000,8488000,23807000,20368000,18787000,16478000,18340000,27224000,22356000,22875000,16976000,28332000,32939000,29589000,28290000,27233000,27187000,28988000,191674000,181264000,178157000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,132472000,132472000,132472000,137889000,137889000,137889000,137889000,137889000,137889000,137889000,137889000,137889000,137889000,137889000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50117000,45303000,40979000,35589000,31700000,60579000,61840000,59868000,31700000,31700000,32100000,32100000,32100000,32100000
41,Intangible Assets,- -,- -,- -,- -,3600000,- -,- -,- -,1116000,930000,6172000,5708000,5200000,4147000,9284000,11957000,173754000,173019000,172284000,166132000,165397000,182589000,177775000,173451000,173478000,169589000,198468000,199729000,197757000,169589000,169589000,169989000,169989000,169989000,169989000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,759742000,1040913000,1094761000,941892000,731114000,927255000,837874000,799719000,610517000,635439000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16340000,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,529924000,439187000,349558000,331555000,256563000,277678000,220912000,265976000,272876000,205838000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2786000,15300000,14994000,16100000,13834000,19276000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1503927000,1711507000,1673637000,1499494000,1184499000,1401709000,1257763000,1427358000,1234646000,1189423000
46,Other Assets,- -,- -,- -,- -,236700000,- -,- -,- -,623466000,- -,- -,- -,- -,- -,- -,1031226000,1709117000,1802473000,2184467000,2160090000,2138241000,1529584000,2203383000,2620034000,3527439000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,236700000,- -,- -,- -,623466000,519916000,835146000,666763000,766500000,697482000,710275000,1031226000,1709117000,1802473000,2184467000,2160090000,2138241000,1529584000,2203383000,2620034000,3527439000,2678020000,2952720000,2787455000,2692964000,2236930000,2438517000,2240314000,2464755000,2713903000,3043250000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,422964000,315211000,584777000,391026000,404500000,386687000,424411000,734074000,976108000,1114892000,1384501000,- -,- -,679982000,586067000,635203000,520279000,180262000,192552000,141352000,164783000,95340000,92495000,87630000,44725000,44791000,76655000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,12439000,18507000,23398000,66300000,52363000,33756000,37853000,117540000,25511000,185712000,137141000,85925000,6500000,- -,147000000,27500000,56586000,48198000,35373000,48011000,39228000,42412000,16348000,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2057000,67000,2399000,6584000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9726000,13536000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,56350000,70916000,85976000,108300000,36650000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,706209000,638258000,771525000,628721000,492677000,417120000,479008000,621367000,522945000,648328000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,384000000,674200000,500400000,579100000,475700000,458167000,771927000,1093648000,1140403000,1570213000,137141000,85925000,686482000,- -,782203000,547779000,943057000,879008000,948250000,841515000,627245000,552027000,582986000,666092000,567736000,724983000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,41230000,11830000,23785000,42247000,- -,- -,- -,- -,225312000,197705000,198168000,138951000,83325000,200228000,132503000,100000000,195000000,726435000,1089467000,911110000,909275000,687407000,918091000,715259000,659208000,1006165000,918115000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,190387000,211621000,137892000,130658000,179875000,180270000,146815000,234343000,249499000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4538000,- -,16295000,10302000,- -,7096000,13097000,16673000,13137000,11092000,14083000,23749000,44909000,44016000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,313140000,237657000,243374000,269761000,215932000,253126000,235849000,288641000,159926000,403106000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,41230000,11830000,23785000,42247000,- -,- -,- -,- -,225312000,197705000,198168000,138951000,83325000,204766000,132503000,116295000,205302000,1229962000,1545841000,1305473000,1326367000,1096351000,1362579000,1112006000,1205941000,1460499000,1365237000
59,Other Liabilities,- -,- -,- -,- -,192400000,- -,- -,- -,557291000,39000,11000,40000,- -,- -,10413000,11663000,559850000,551468000,504299000,1802859000,1691661000,622142000,1884439000,1456530000,2671559000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,203140000,193373000,192019000
61,Total Liabilities,- -,- -,- -,- -,192400000,- -,- -,- -,516061000,384039000,674211000,500440000,579100000,475682000,468580000,783590000,1428186000,1494166000,1876344000,1801049000,1694261000,1103858000,1751936000,2122438000,3014036000,2173019000,2424849000,2253723000,2167882000,1723596000,1914606000,1694992000,1872033000,2028235000,2090220000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,37646000,39821000,40916000,36525000,32700000,30019000,34593000,34471000,41653000,49637000,32631000,41226000,53054000,43653000,47824000,51901000,62726000,62181000,60198000,62397000,57520000,59361000,58492000,53392000,46557000,39333000,36442000
64,Retained Earnings,- -,- -,- -,- -,8000000,- -,- -,- -,68974000,94957000,118686000,127602000,151500000,188282000,202989000,208137000,233312000,249890000,266682000,306153000,375137000,348477000,362188000,394648000,408720000,399121000,418204000,421047000,417001000,410258000,426930000,449989000,496998000,601406000,740926000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-971000,-1328000,-543000,207000,-208000,207000,1709000,-918000,-901000,-681000,1582000,165000,1761000,3448000,4225000
66,Other Total Stockholders Equity,- -,- -,- -,- -,36300000,- -,- -,- -,785000,1099000,1333000,2196000,3200000,3499000,4113000,5028000,5966000,8780000,8810000,11662000,16760000,34924000,41978000,47808000,36832000,39231000,- -,45118000,44438000,41765000,36546000,41776000,47406000,41481000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,44300000,- -,- -,- -,107405000,135877000,160935000,166323000,187400000,221800000,241695000,247636000,280931000,308307000,308123000,359041000,443980000,425726000,451447000,494564000,508070000,500740000,522518000,527644000,518058000,510703000,523550000,545322000,592722000,685668000,823196000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,236700000,- -,- -,- -,623466000,519916000,835146000,666763000,766500000,697482000,710275000,1031226000,1709117000,1802473000,2184467000,2160090000,2138241000,1529584000,2203383000,2617002000,3522106000,2673759000,2947367000,2781367000,2685940000,2234299000,2438156000,2240314000,2464755000,2713903000,2913416000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3032000,5333000,4261000,5353000,6088000,7024000,2631000,361000,- -,- -,- -,129834000
70,Total Liabilities & Equity,- -,- -,- -,- -,236700000,- -,- -,- -,623466000,519916000,835146000,666763000,766500000,697482000,710275000,1031226000,1709117000,1802473000,2184467000,2160090000,2138241000,1529584000,2203383000,2620034000,3527439000,2678020000,2952720000,2787455000,2692964000,2236930000,2438517000,2240314000,2464755000,2713903000,3043250000
71,SEC Link,undefined,undefined,undefined,undefined,- -,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/791963/000079196302000001/f10k01z.htm,https://www.sec.gov/Archives/edgar/data/791963/000079196303000006/f10k02.htm,https://www.sec.gov/Archives/edgar/data/791963/000079196304000001/sec10k.htm,https://www.sec.gov/Archives/edgar/data/791963/000079196305000005/t15975.htm,https://www.sec.gov/Archives/edgar/data/791963/000079196306000003/f10k05v8ab.htm,https://www.sec.gov/Archives/edgar/data/791963/000079196307000001/f10k06v5hedgar.htm,https://www.sec.gov/Archives/edgar/data/791963/000079196308000003/f10k07.htm,https://www.sec.gov/Archives/edgar/data/791963/000079196309000002/0000791963-09-000002-index.html,https://www.sec.gov/Archives/edgar/data/791963/000079196310000003/0000791963-10-000003-index.html,https://www.sec.gov/Archives/edgar/data/791963/000079196311000001/f10kv4e.htm,https://www.sec.gov/Archives/edgar/data/791963/000119312512098787/0001193125-12-098787-index.html,https://www.sec.gov/Archives/edgar/data/791963/000119312513092605/0001193125-13-092605-index.html,- -,https://www.sec.gov/Archives/edgar/data/791963/000079196315000004/opy-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/791963/000079196316000032/0000791963-16-000032-index.html,https://www.sec.gov/Archives/edgar/data/791963/000079196317000004/0000791963-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/791963/000079196318000005/0000791963-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/791963/000079196319000006/0000791963-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/791963/000079196320000006/0000791963-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/791963/000079196321000008/0000791963-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/791963/000079196322000032/0000791963-22-000032-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,9400000,- -,- -,- -,20899000,30279000,26731000,12447000,27400000,40901000,19150000,9321000,29791000,22501000,22916000,44577000,75367000,-20770000,19487000,38331000,10316000,-3613000,25061000,8826000,1962000,-1161000,22816000,28892000,52953000,122986000,158964000
74,Depreciation and Amortization,- -,- -,- -,- -,700000,- -,- -,- -,579000,955000,1357000,2905000,3500000,3472000,3974000,4864000,9518000,39948000,33223000,31346000,31063000,16532000,17444000,16772000,17289000,14355000,11286000,10567000,7915000,8074000,5657000,6871000,32821000,33293000,34119000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9230000,8353000,-3975000,382000,7621000,-12300000,-14271000,31652000,-745000,-26642000,23436000,6001000,4538000,-2941000,-2045000,2773000,9878000,21336000,-792000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-112000,17246000,4242000,1100000,4191000,9249000,6074000,2860000,6203000,12573000,6710000,11819000,16220000,31138000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,-25467000,624000,44402000,-23474000,-45000000,9196000,-1226000,-16983000,-106170000,48090000,-143962000,39807000,-7549000,56950000,-5191000,-251500000,30759000,-13347000,-93121000,31021000,-50658000,-73170000,-67870000,110424000,-41285000,-260077000,-12216000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20173000,-51095000,4676000,23716000,-5280000,-815000,127332000,-75722000,-313860000,-113511000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14986000,- -,113770000,- -,-4407000,11891000,-51289000,22469000,-69996000,-6484000,-2225000,-23774000,-25645000,7669000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,-32577000,-2073000,40694000,-10087000,-63000000,25802000,2261000,-17548000,-104180000,45276000,-148147000,- -,-5340000,12576000,- -,-64313000,-165000,2652000,18481000,-1716000,7396000,-8164000,21184000,-6418000,36319000,82367000,23238000
82,Other Non-Cash Items,- -,- -,- -,- -,-21800000,- -,- -,- -,- -,- -,- -,- -,-400000,- -,443000,-442000,938000,3100000,2064000,2337000,7165000,19459000,20002000,23226000,22818000,15604000,20660000,15826000,12564000,-4471000,12733000,12900000,12956000,12183000,16573000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,-11700000,- -,- -,- -,-3989000,31858000,72490000,-8122000,-14500000,53569000,22341000,-3240000,-56693000,121992000,-89734000,118449000,113667000,59759000,54717000,-137277000,81537000,-9452000,-3429000,78315000,-20819000,-67466000,-16136000,168570000,79142000,-54059000,227786000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,-597000,-995000,-39492000,-2564000,-4600000,-1821000,-1009000,-1360000,-12215000,-6600000,-4589000,-7272000,-11553000,-15243000,-7762000,-12157000,-5192000,-14739000,-14012000,-4398000,-5889000,-5731000,-5611000,-9072000,-10024000,-4528000,-8268000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-768000,-1789000,-2297000,-15611000,- -,- -,- -,- -,-50335000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,2600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-1500000,- -,- -,- -,-440000,-995000,-38134000,-2564000,-4000000,-1821000,2130000,-1360000,-12215000,-6600000,-4589000,-7272000,-11553000,- -,- -,- -,- -,- -,- -,- -,- -,45448000,1744000,481000,1720000,587000,2001000
