,https://roic.ai/company/CMCO,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,7692308,13333333,13404255,14270833,14233333,11523585,14414000,14496000,14554000,14803000,16628000,18951000,19158000,18861000,18963000,19047000,19512000,19687000,19950000,20224000,20315000,20888000,23335000,23660000,23855000,24173000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1005229/000100522997000004/0001005229-97-000004-index.html,https://www.sec.gov/Archives/edgar/data/1005229/000100522998000009/0001005229-98-000009-index.html,https://www.sec.gov/Archives/edgar/data/1062624/000100522999000015/0001005229-99-000015-index.html,https://www.sec.gov/Archives/edgar/data/1005229/000100522900000006/0001005229-00-000006-index.html,https://www.sec.gov/Archives/edgar/data/1005229/000100522901500012/0001005229-01-500012-index.html,https://www.sec.gov/Archives/edgar/data/1005229/000095013002004303/0000950130-02-004303-index.html,https://www.sec.gov/Archives/edgar/data/1005229/000119312503015102/0001193125-03-015102-index.html,https://www.sec.gov/Archives/edgar/data/1005229/000100522904000007/0001005229-04-000007-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1005229/000100522907000020/0001005229-07-000020-index.html,https://www.sec.gov/Archives/edgar/data/1005229/000114036108013970/0001140361-08-013970-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1005229/000114036111030365/0001140361-11-030365-index.html,https://www.sec.gov/Archives/edgar/data/1005229/000114036112027898/form10k.htm,https://www.sec.gov/Archives/edgar/data/1005229/000114036113023206/0001140361-13-023206-index.html,https://www.sec.gov/Archives/edgar/data/1005229/000100522914000034/0001005229-14-000034-index.html,https://www.sec.gov/Archives/edgar/data/1005229/000100522915000046/0001005229-15-000046-index.html,https://www.sec.gov/Archives/edgar/data/1005229/000100522916000350/0001005229-16-000350-index.html,https://www.sec.gov/Archives/edgar/data/1005229/000100522917000198/0001005229-17-000198-index.html,https://www.sec.gov/Archives/edgar/data/1005229/000100522918000202/0001005229-18-000202-index.html,https://www.sec.gov/Archives/edgar/data/1005229/000100522919000153/0001005229-19-000153-index.html,https://www.sec.gov/Archives/edgar/data/1005229/000100522920000171/0001005229-20-000171-index.htm,https://www.sec.gov/Archives/edgar/data/1005229/000100522921000155/0001005229-21-000155-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,10200000,8900000,22800000,6900000,7582000,14015000,13068000,1943000,11101000,9479000,45598000,48655000,75994000,39236000,63968000,80139000,89473000,121660000,112309000,63056000,51603000,77591000,63021000,71093000,114450000,202127000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,10200000,8900000,22800000,6900000,7582000,14015000,13068000,1943000,11101000,9479000,45598000,48655000,75994000,39236000,63968000,80139000,89473000,121660000,112309000,63056000,51603000,77591000,63021000,71093000,114450000,202127000
34,Net Receivables,38700000,74400000,133100000,146800000,167848000,167047000,82266000,88196000,89534000,97822000,107787000,112319000,106909000,80168000,70218000,77744000,88642000,80224000,93223000,80531000,83812000,111569000,127806000,129157000,123743000,105464000
35,Inventory,48300000,94400000,107700000,116000000,108291000,113218000,89656000,78613000,69119000,77626000,74845000,77179000,88332000,100621000,79822000,90031000,108055000,94189000,97576000,103187000,118049000,130643000,152886000,146263000,127373000,111488000
36,Other Current Assets,1800000,28700000,20400000,16300000,15453000,9925000,34330000,12619000,18276000,14198000,15676000,18029000,17532000,18115000,16014000,14294000,10449000,17905000,23444000,27255000,19265000,21147000,16582000,16075000,17180000,22763000
37,Total Current Assets,99000000,206400000,284000000,286000000,299174000,304205000,219320000,181371000,188030000,199125000,243906000,256182000,288767000,238140000,230022000,262208000,296619000,313978000,326552000,274029000,272729000,340950000,360295000,362588000,382746000,441842000
38,PP&E,30900000,63900000,81900000,90000000,87297000,85272000,70742000,67295000,58773000,57237000,55132000,55231000,58414000,62102000,57106000,59360000,61709000,65698000,78687000,91127000,104790000,113028000,113079000,87303000,79473000,74753000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,184917000,185634000,187055000,104744000,105134000,106055000,106435000,105354000,119303000,121461000,170716000,319299000,347434000,322816000,319679000,331176000
40,Intangible Assets,43000000,250100000,368100000,357700000,339603000,322196000,200801000,195129000,192963000,187285000,2410000,269000,321000,20336000,19031000,18089000,15791000,13395000,20842000,19104000,122129000,256183000,263764000,232940000,217962000,213362000
41,Intangible Assets,43000000,250100000,368100000,357700000,339603000,322196000,200801000,195129000,192963000,187285000,187327000,185903000,187376000,125080000,124165000,124144000,122226000,118749000,140145000,140565000,292845000,575482000,611198000,555756000,537641000,544538000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28828000,29399000,24592000,25393000,23951000,21941000,19867000,18186000,7686000,7673000,7028000,7322000,7968000
43,Tax Assets,- -,- -,- -,- -,- -,5696000,3133000,15245000,6388000,6122000,46065000,34460000,17570000,32521000,36768000,1217000,2824000,37205000,23406000,28695000,73158000,61857000,32442000,27707000,26281000,20080000
44,Other Non-Current Assets,15800000,27800000,29700000,33200000,33750000,29644000,30299000,23566000,27209000,31102000,33614000,33862000,37908000,4993000,4037000,7351000,6636000,7286000,7943000,12041000,11336000,14840000,17759000,21189000,59809000,61251000
45,Total Non-Current Assets,89700000,341800000,479700000,480900000,460650000,442808000,304975000,301235000,285333000,281746000,322138000,309456000,301268000,253524000,251475000,216664000,218788000,252889000,272122000,292295000,500315000,772893000,782151000,698983000,710526000,708590000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,188700000,548200000,763700000,766900000,759824000,747013000,524295000,482606000,473363000,480871000,566044000,565638000,590035000,491664000,481497000,478872000,515407000,566867000,598674000,566324000,773044000,1113843000,1142446000,1061571000,1093272000,1150432000
48,Accounts Payable,15700000,28300000,53900000,54700000,49621000,44936000,31617000,28654000,30076000,33688000,39311000,35896000,41895000,33298000,33480000,37174000,40991000,34329000,35359000,33406000,36061000,40994000,46970000,46974000,57289000,68593000
49,Short-Term Debt,3000000,23900000,4300000,6500000,6170000,3092000,146663000,7226000,7676000,10658000,5925000,9895000,11851000,5958000,1996000,1589000,1205000,1024000,1588000,13292000,43246000,52568000,60064000,65000000,11374000,12123000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4715000,2996000,2737000,2325000,819000,2287000,5568000,12864000,11889000,9938000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7346000,9038000,8246000,10370000,19210000,18911000,14922000,13507000,15643000
52,Other Current Liabilities,15800000,35800000,46300000,59400000,55534000,53100000,43000000,38871000,48977000,52106000,62057000,52943000,55913000,51745000,55509000,56502000,61713000,41538000,43310000,42017000,42840000,78187000,81052000,84382000,73154000,87500000
53,Total Current Liabilities,34500000,88000000,104500000,120600000,111325000,101128000,221280000,74751000,86729000,96452000,107293000,98734000,109659000,91001000,90985000,95265000,103909000,84237000,89295000,96961000,132517000,190959000,206997000,211278000,155324000,183859000
54,Long-Term Debt,8300000,263900000,446900000,421700000,410258000,403954000,201190000,309089000,285734000,260283000,203841000,162168000,136051000,131928000,130821000,152816000,151889000,151053000,150705000,113420000,224579000,368751000,303254000,235320000,278485000,271825000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4522000,3099000,5967000,2786000,59000,28689000,30262000,20082000,18213000,17600000
57,Other Non-Current Liabilities,8300000,46100000,45800000,35900000,34788000,34067000,30214000,46059000,37922000,42369000,50489000,63411000,48844000,86881000,72413000,68645000,94621000,88491000,61421000,84438000,129580000,184094000,193704000,163732000,177665000,146999000
58,Total Non-Current Liabilities,16600000,310000000,492700000,457600000,445046000,438021000,231404000,355148000,323656000,302652000,254330000,225579000,184895000,218809000,203234000,221461000,251032000,242643000,218093000,200644000,354218000,581534000,527220000,419134000,474363000,436424000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2641000,2020000,1478000,844000,41000,33000,- -,38553000,34994000
61,Total Liabilities,51100000,398000000,597200000,578200000,556371000,539149000,452684000,429899000,410385000,399104000,361623000,324313000,294554000,309810000,294219000,316726000,354941000,326880000,307388000,297605000,486735000,772493000,734217000,630412000,629687000,620283000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,149000,149000,149000,149000,149000,149000,185000,188000,189000,190000,191000,191000,193000,195000,198000,200000,201000,226000,230000,234000,238000,240000
64,Retained Earnings,49400000,61000000,76200000,100500000,113582000,124806000,-12536000,-26547000,-25354000,-8644000,51152000,85237000,122400000,41891000,34878000,-1072000,25895000,104191000,133820000,157811000,174173000,179735000,197897000,236459000,290441000,293802000
65,Other Comprehensive Income/Loss,-15700000,-22400000,-30900000,-42000000,-52887000,-65613000,-69417000,-25307000,-15731000,-13816000,-16997000,-18754000,-5565000,-38245000,-28326000,-20450000,-53907000,-56155000,-41136000,-92448000,-94747000,-97464000,-59258000,-83052000,-114350000,-59986000
66,Other Total Stockholders Equity,103900000,111600000,121200000,130200000,142609000,148522000,153415000,104412000,103914000,104078000,170081000,174654000,178457000,- -,- -,183477000,188285000,191756000,198404000,203156000,206682000,258853000,269360000,277518000,287256000,296093000
67,Total Stockholders Equity,137600000,150200000,166500000,188700000,203453000,207864000,71611000,52707000,62978000,81767000,204421000,241325000,295481000,181854000,187278000,162146000,160466000,239987000,291286000,268719000,286309000,341350000,408229000,431159000,463585000,530149000
68,Total Liabilities And Stockholders Equity,188700000,548200000,763700000,766900000,759824000,747013000,524295000,482606000,473363000,480871000,566044000,565638000,590035000,491664000,481497000,478872000,515407000,566867000,598674000,566324000,773044000,1113843000,1142446000,1061571000,1093272000,1150432000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,188700000,548200000,763700000,766900000,759824000,747013000,524295000,482606000,473363000,480871000,566044000,565638000,590035000,491664000,481497000,478872000,515407000,566867000,598674000,566324000,773044000,1113843000,1142446000,1061571000,1093272000,1150432000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1005229/000100522997000004/0001005229-97-000004-index.html,https://www.sec.gov/Archives/edgar/data/1005229/000100522998000009/0001005229-98-000009-index.html,https://www.sec.gov/Archives/edgar/data/1062624/000100522999000015/0001005229-99-000015-index.html,https://www.sec.gov/Archives/edgar/data/1005229/000100522900000006/0001005229-00-000006-index.html,https://www.sec.gov/Archives/edgar/data/1005229/000100522901500012/0001005229-01-500012-index.html,https://www.sec.gov/Archives/edgar/data/1005229/000095013002004303/0000950130-02-004303-index.html,https://www.sec.gov/Archives/edgar/data/1005229/000119312503015102/0001193125-03-015102-index.html,https://www.sec.gov/Archives/edgar/data/1005229/000100522904000007/0001005229-04-000007-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1005229/000100522907000020/0001005229-07-000020-index.html,https://www.sec.gov/Archives/edgar/data/1005229/000114036108013970/0001140361-08-013970-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1005229/000114036111030365/0001140361-11-030365-index.html,https://www.sec.gov/Archives/edgar/data/1005229/000114036112027898/form10k.htm,https://www.sec.gov/Archives/edgar/data/1005229/000114036113023206/0001140361-13-023206-index.html,https://www.sec.gov/Archives/edgar/data/1005229/000100522914000034/0001005229-14-000034-index.html,https://www.sec.gov/Archives/edgar/data/1005229/000100522915000046/0001005229-15-000046-index.html,https://www.sec.gov/Archives/edgar/data/1005229/000100522916000350/0001005229-16-000350-index.html,https://www.sec.gov/Archives/edgar/data/1005229/000100522917000198/0001005229-17-000198-index.html,https://www.sec.gov/Archives/edgar/data/1005229/000100522918000202/0001005229-18-000202-index.html,https://www.sec.gov/Archives/edgar/data/1005229/000100522919000153/0001005229-19-000153-index.html,https://www.sec.gov/Archives/edgar/data/1005229/000100522920000171/0001005229-20-000171-index.htm,https://www.sec.gov/Archives/edgar/data/1005229/000100522921000155/0001005229-21-000155-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,13000000,15200000,18900000,27400000,17080000,15219000,-135366000,-14011000,1193000,16710000,59796000,34085000,37349000,-78384000,-7013000,-35950000,26967000,78296000,30421000,27190000,19579000,8984000,22065000,42577000,59672000,9106000
74,Depreciation and Amortization,5200000,11300000,19100000,27300000,28536000,28247000,22462000,14803000,16739000,10746000,12121000,9892000,9798000,11165000,12490000,11050000,11862000,12115000,13380000,14562000,20531000,25162000,36136000,32675000,29126000,28153000
75,Deferred Income Tax,900000,4800000,- -,-2200000,3600000,-46000,166000,-713000,6413000,-971000,-36968000,12438000,14625000,-1700000,-8675000,40773000,-910000,-42047000,5031000,2074000,7336000,489000,19968000,-958000,7364000,-8704000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1059000,1824000,2484000,2913000,3334000,3633000,3895000,4063000,5914000,5586000,6198000,4507000,8022000
77,Change in Working Capital,-800000,-5900000,-2300000,4400000,-13318000,-16878000,28253000,4041000,8815000,-4419000,7040000,-10059000,-6379000,19311000,31812000,-16014000,-13768000,-9085000,-21496000,-16942000,73000,6002000,-17441000,-29514000,-4065000,37414000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24396000,10508000,-6683000,-9823000,6712000,-9318000,8302000,12409000,-785000,-9308000,-11328000,2899000,21472000
79,Inventory,-2400000,-2200000,-4200000,-900000,8659000,-4927000,18876000,11379000,8351000,-6834000,2518000,-2260000,-9667000,1658000,21477000,-9848000,-17489000,10106000,1312000,-9080000,2483000,8173000,-12249000,-15411000,15752000,20659000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7207000,288000,4027000,3862000,-5465000,-2821000,1084000,-5308000,1002000,3833000,3881000,8110000,10343000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,207000,921000,-1183000,1960000,1228000,-1195000,544000,-354000,-8000000,-13184000,-3337000,-6129000,-13362000,-12925000,-12665000,- -
82,Other Non-Cash Items,200000,3500000,4500000,600000,823000,1148000,133953000,10563000,-6791000,-4262000,6528000,-861000,4197000,108780000,-571000,937000,-3477000,-235000,-1462000,7475000,1063000,13899000,3347000,28521000,10191000,24899000
83,Cash Provided by Operating Activities,18500000,28900000,40200000,57500000,36721000,27690000,49468000,14683000,26369000,17804000,48517000,45495000,59590000,60231000,29867000,3280000,23587000,42378000,29507000,38254000,52645000,60450000,69661000,79499000,106795000,98890000
84,CAPEX,-200000,-9400000,-178600000,-33000000,-8102000,-10239000,-4753000,-5040000,-3619000,-5925000,-8430000,-10653000,-13066000,-12245000,-7245000,-12543000,-13765000,-14879000,-20846000,-17243000,-22320000,-14368000,-14515000,-12288000,-9432000,-12300000
85,Acquisitions Net,- -,- -,- -,- -,-6430000,- -,- -,- -,- -,- -,- -,2574000,- -,-52779000,- -,- -,-3356000,- -,-22169000,-19992000,-182467000,-218846000,-3359000,14230000,-214000,- -
86,Purchases of Investments,-7400000,-2100000,-2500000,-2000000,-3318000,-2064000,-1794000,-672000,- -,- -,-888000,-35686000,-14638000,-2968000,-4518000,-16427000,-5190000,-4138000,-4099000,-3689000,-4311000,-3161000,-327000,-2604000,-5747000,-4945000
87,Sales/Maturities of Investments,5600000,- -,- -,- -,- -,- -,- -,- -,110000,1314000,- -,36853000,13076000,363000,6340000,23048000,5747000,6573000,6689000,6919000,5869000,12336000,653000,3266000,5380000,5111000
88,Other Investing Activites,-71900000,-210900000,4600000,11100000,-1058000,5002000,4920000,21680000,7778000,7117000,2948000,3517000,6061000,-10121000,-3172000,-10965000,-10742000,-12522000,-20846000,-17317000,-22320000,-14368000,-29265000,-12406000,-9381000,-5714000
89,Cash Used for Investing Activites,-73900000,-222400000,-176500000,-23900000,-18908000,-7301000,-1627000,15968000,4269000,2506000,-6370000,-3395000,-8567000,-65505000,-1350000,-4344000,-13541000,-10087000,-40425000,-34079000,-203229000,-224039000,-32298000,2486000,-9962000,-5548000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17610000,-10724000,-126328000,-1397000,-1120000,-865000,-163110000,-13187000,-280730000,-60144000,-65088000,-51113000,-29450000
91,Common Stock Issued,83100000,- -,- -,- -,3000,- -,- -,- -,- -,428000,63768000,2601000,1416000,- -,- -,- -,- -,- -,- -,- -,- -,50439000,6332000,4152000,6000000,1973000
92,Common Stock Repurchased,-400000,- -,- -,-7700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-1700000,-4400000,-3700000,-3700000,-3953000,-3995000,-1976000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3192000,-3212000,-3326000,-3658000,-4652000,-5670000,-5733000
94,Other Financing Activites,-16200000,191200000,155400000,-36600000,-11662000,-5935000,-46506000,-41908000,-21495000,-22330000,-70125000,-42478000,-29978000,-4917000,5306000,142122000,1871000,34000,2604000,117915000,153402000,423738000,-2032000,-2190000,-768000,23021000
95,Cash Used/Provided by Financing Activities,64800000,186800000,151700000,-48000000,-15612000,-9930000,-48482000,-41908000,-21495000,-21902000,-6357000,-39877000,-28562000,-22527000,-5418000,15794000,474000,-1086000,1739000,-48387000,137003000,190121000,-59502000,-67778000,-51551000,-10189000
96,Effect of Forex Changes on Cash,400000,-1100000,-1500000,-1500000,-1486000,-4026000,-306000,132000,15000,-30000,329000,834000,4878000,-8957000,1633000,1441000,-1186000,982000,-172000,-5041000,2128000,-544000,7569000,-6429000,-1925000,4524000
97,Net Change In Cash,64800000,186800000,151700000,-48000000,715000,6433000,-947000,-11125000,9158000,-1622000,36119000,3057000,27339000,-36758000,24732000,16171000,9334000,32187000,-9351000,-49253000,-11453000,25988000,-14570000,7778000,43357000,87677000
98,Cash at the End of Period,- -,- -,- -,- -,7582000,14015000,13068000,1943000,11101000,9479000,45598000,48655000,75994000,39236000,63968000,80139000,89473000,121660000,112309000,63056000,51603000,77591000,63021000,71343000,114700000,202377000
99,Cash at the Beginning of Period,400000,16700000,8900000,22900000,6867000,7582000,14015000,13068000,1943000,11101000,9479000,45598000,48655000,75994000,39236000,63968000,80139000,89473000,121660000,112309000,63056000,51603000,77591000,63565000,71343000,114700000
100,Free Cash Flow,18300000,19500000,-138400000,24500000,28619000,17451000,44715000,9643000,22750000,11879000,40087000,34842000,46524000,47986000,22622000,-9263000,9822000,27499000,8661000,21011000,30325000,46082000,55146000,67211000,97363000,86590000
