,https://roic.ai/company/ROK,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,1813600000,1876200000,1854400000,1929300000,2087400000,2069100000,1986600000,1889900000,1865100000,1905500000,2277000000,2157000000,1944000000,1715000000,1607000000,1657000000,1041000000,953000000,1007000000,1058600000,1120800000,1275300000,1278600000,1482100000,1228000000,1323300000,1463300000,1491700000,1537700000,1570100000,1506400000,1467400000,1591500000,1599000000,1538500000,1479800000,1680000000
11,COGS and Expenses,10309000000,11231100000,10923400000,10944200000,11459000000,11266200000,10929100000,10141300000,9912700000,10086800000,11703000000,9492000000,6932000000,6160000000,6177000000,6204000000,4072000000,3627000000,3759000000,3906900000,4229900000,4642300000,4185200000,4839200000,3991000000,4243900000,5073300000,5228400000,5315800000,5439700000,5111200000,4871400000,5278600000,5392800000,5333200000,5214400000,5779700000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7800000,9800000,9500000,10700000,12700000,19600000,24400000,11100000,5500000,1600000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60900000,60500000,59500000,60100000,60900000,59300000,63700000,71300000,76200000,73000000,98200000,103500000,94600000
14,Depreciation and Amortization,- -,- -,- -,- -,614600000,620000000,601400000,558100000,490900000,493900000,571000000,542000000,484000000,306000000,337000000,369000000,272000000,206000000,198000000,186700000,171200000,153600000,117900000,136500000,134100000,127300000,131300000,138600000,145200000,152500000,162500000,172200000,168900000,164600000,152200000,172700000,189800000
15,EBITDA,1062500000,1058600000,1186700000,1053000000,1820300000,1672000000,1624900000,-182500000,1395000000,1515200000,1797000000,1609000000,1465000000,13000000,1207000000,1312000000,620000000,334000000,501000000,685600000,929800000,1023900000,1825000000,945400000,471700000,755900000,1059100000,1164600000,1187000000,1346000000,1353700000,1186600000,1282500000,1568400000,1151400000,1412500000,1824400000
16,EBITDA ratio,0.0937,0.0861,0.0979,0.0881,0.1454,0.1351,0.1362,-0.0167,0.1287,0.1352,0.1372,0.1551,0.1887,0.0019,0.1714,0.1835,0.1434,0.0854,0.1221,0.1554,0.1858,0.1841,0.3647,0.1659,0.1089,0.1556,0.1765,0.1861,0.1869,0.2032,0.2146,0.2018,0.2032,0.2353,0.1720,0.2232,0.2607
17,Operating Income,1028600000,1064600000,1200000000,1002100000,1059100000,1112500000,998300000,768400000,927300000,1117900000,1396000000,881000000,830000000,592000000,866000000,947000000,251000000,282000000,345000000,504200000,773300000,919100000,818700000,858600000,341500000,613100000,927100000,1031000000,1036100000,1183800000,1196700000,1008100000,1032700000,1273200000,1361600000,1115400000,1217700000
18,Operating Income ratio,0.0907,0.0866,0.0990,0.0839,0.0846,0.0899,0.0837,0.0704,0.0855,0.0998,0.1066,0.0849,0.1069,0.0877,0.1230,0.1324,0.0581,0.0721,0.0841,0.1143,0.1546,0.1653,0.1636,0.1507,0.0788,0.1262,0.1545,0.1647,0.1631,0.1787,0.1897,0.1715,0.1636,0.1910,0.2034,0.1762,0.1740
19,Total Other Income Expenses (Gains),33900000,-6000000,-13300000,50900000,146600000,-60500000,25200000,10000000,-23200000,-96600000,-170000000,15000000,93000000,-567000000,24000000,-4000000,-83000000,-49000000,-46000000,-66100000,-36300000,-27700000,-30100000,-49700000,-67600000,-68900000,-59500000,-65100000,-55200000,-49600000,-69200000,-65000000,4700000,57600000,-460600000,20700000,308500000
20,Income Before Tax,1062500000,1058600000,1186700000,1053000000,1205700000,1052000000,1023500000,778400000,904100000,1021300000,1226000000,896000000,923000000,25000000,890000000,943000000,168000000,233000000,299000000,438100000,737000000,891400000,788600000,808900000,273900000,544200000,867600000,965900000,980900000,1134200000,1127500000,943100000,1037400000,1330800000,901000000,1136100000,1526200000
21,Income Before Tax Ratio,0.0937,0.0861,0.0979,0.0881,0.0963,0.0850,0.0858,0.0713,0.0834,0.0911,0.0936,0.0864,0.1189,0.0037,0.1264,0.1319,0.0389,0.0596,0.0729,0.0993,0.1473,0.1603,0.1576,0.1420,0.0632,0.1120,0.1446,0.1543,0.1544,0.1712,0.1787,0.1604,0.1644,0.1996,0.1346,0.1795,0.2181
22,Income Tax expense (Gain),467200000,447400000,551600000,241100000,470800000,427700000,423000000,295400000,342200000,387200000,484000000,341000000,337000000,134000000,308000000,307000000,43000000,7000000,17000000,84000000,218600000,263300000,219300000,231300000,56000000,103800000,170500000,228900000,224600000,307400000,299900000,213400000,211700000,795300000,205200000,112900000,181900000
23,Net Income,595300000,611200000,635100000,811900000,734900000,624300000,600500000,-1036000000,561900000,634100000,742000000,726000000,644000000,-427000000,562000000,636000000,305000000,121000000,286000000,414900000,540000000,607000000,1487800000,577600000,220700000,464300000,697800000,737000000,756300000,826800000,827600000,729700000,825700000,535500000,695800000,1023400000,1358100000
24,Net Income ratio,0.0525,0.0497,0.0524,0.0680,0.0587,0.0504,0.0503,-0.0950,0.0518,0.0566,0.0566,0.0700,0.0830,-0.0632,0.0798,0.0889,0.0706,0.0310,0.0697,0.0941,0.1079,0.1091,0.2973,0.1014,0.0509,0.0956,0.1163,0.1177,0.1191,0.1248,0.1312,0.1241,0.1308,0.0803,0.1039,0.1617,0.1941
25,EPS,1.95,2.01,2.27,3.04,2.87,2.56,2.57,-4.62,2.55,2.87,3.42,3.34,3.01,-2.16,2.95,3.38,1.67,0.66,1.54,2.24,2.95,3.44,9.37,3.94,1.55,3.27,4.92,5.27,5.44,6.05,6.25,5.68,6.43,4.42,6.01,8.81,11.71
26,EPS Diluted,1.91,1.98,2.23,3.01,2.84,2.53,2.54,-4.62,2.51,2.82,3.36,3.34,3.01,-2.16,2.90,3.35,1.65,0.64,1.51,2.17,2.88,3.37,9.23,3.90,1.55,3.22,4.80,5.13,5.36,5.91,6.09,5.56,6.35,4.21,5.83,8.77,11.58
27,Weighted Average Shares Outstanding,304871795,303781095,279559471,267072368,255923345,243710938,233540856,224307359,220235294,220836237,216900585,217600000,213800000,197900000,190500000,187800000,182900000,184900000,185400000,185500000,183100000,176600000,158700000,146500000,141600000,141790182,141900000,139800000,138900000,136700000,132400000,128500000,128400000,121100000,115700000,116200000,116000000
28,Weighted Average Shares Outstanding Diluted,311256545,308383838,284573991,269734219,258626761,246600791,236299213,227258772,223745020,224751773,220773810,221478873,215725806,197900000,193600000,189900000,185300000,188800000,190100000,191100000,187200000,179900000,161200000,148200000,142200000,144000000,145200000,143400000,140900000,139700000,135700000,131100000,129900000,126900000,119300000,116600000,117100000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1024478/000095012302011324/y65666e10vk.htm,https://www.sec.gov/Archives/edgar/data/1024478/000095012303013398/y92046ke10vk.htm,https://www.sec.gov/Archives/edgar/data/1024478/000095012304013937/y68901e10vk.htm,https://www.sec.gov/Archives/edgar/data/1024478/000095012305013478/e14450e10vk.htm,https://www.sec.gov/Archives/edgar/data/1024478/000095012306013812/y26663e10vk.htm,https://www.sec.gov/Archives/edgar/data/1024478/000119312507250273/0001193125-07-250273-index.html,https://www.sec.gov/Archives/edgar/data/1024478/000119312508241034/0001193125-08-241034-index.html,https://www.sec.gov/Archives/edgar/data/1024478/000095012309063897/0000950123-09-063897-index.html,https://www.sec.gov/Archives/edgar/data/1024478/000095012310106922/0000950123-10-106922-index.html,https://www.sec.gov/Archives/edgar/data/1024478/000095012311098301/0000950123-11-098301-index.html,https://www.sec.gov/Archives/edgar/data/1024478/000102447812000024/0001024478-12-000024-index.html,https://www.sec.gov/Archives/edgar/data/1024478/000102447813000035/0001024478-13-000035-index.html,https://www.sec.gov/Archives/edgar/data/1024478/000102447814000031/0001024478-14-000031-index.html,https://www.sec.gov/Archives/edgar/data/1024478/000102447815000028/0001024478-15-000028-index.html,https://www.sec.gov/Archives/edgar/data/1024478/000102447816000071/0001024478-16-000071-index.html,https://www.sec.gov/Archives/edgar/data/1024478/000102447817000034/0001024478-17-000034-index.html,https://www.sec.gov/Archives/edgar/data/1024478/000102447818000032/0001024478-18-000032-index.html,https://www.sec.gov/Archives/edgar/data/1024478/000102447819000044/0001024478-19-000044-index.html,https://www.sec.gov/Archives/edgar/data/1024478/000102447820000038/0001024478-20-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1024478/000102447821000083/0001024478-21-000083-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,283000000,103000000,356000000,190000000,121000000,289000000,226000000,473800000,463600000,414700000,624200000,582200000,643800000,813400000,988900000,903900000,1200900000,1191300000,1427300000,1526400000,1410900000,618800000,1018400000,704600000,662200000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,350000000,372700000,628500000,721900000,902800000,1124600000,290900000,39600000,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,283000000,103000000,356000000,190000000,121000000,289000000,226000000,473800000,463600000,414700000,624200000,582200000,643800000,813400000,988900000,1253900000,1573600000,1819800000,2149200000,2429200000,2535500000,909700000,1058000000,704600000,662200000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1319000000,1223000000,1294000000,1250000000,680000000,645000000,684000000,719900000,799600000,879300000,927700000,959900000,726300000,859000000,1063400000,1187300000,1186100000,1215800000,1041000000,1079000000,1135500000,1190100000,1178700000,1249100000,1424500000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1526000000,1313000000,1339000000,1266000000,600000000,557000000,542000000,574300000,569900000,599500000,504700000,575500000,436400000,603300000,641700000,619000000,615400000,588400000,535600000,526600000,558700000,581600000,575700000,584000000,798100000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,556000000,1457000000,593000000,500000000,296000000,284000000,284000000,258100000,353400000,294500000,325400000,319000000,328300000,310900000,381100000,327300000,304800000,310200000,322200000,150200000,191000000,149300000,173300000,148100000,178600000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3684000000,4096000000,3582000000,3206000000,1697000000,1775000000,1736000000,2026100000,2186500000,2188000000,2382000000,2436600000,2134800000,2586600000,3075100000,3387500000,3679900000,3934200000,4048000000,4185000000,4420700000,2830700000,2985700000,2685800000,3063400000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2245000000,1535000000,1581000000,1616000000,1075000000,988000000,925000000,804500000,774500000,671600000,510300000,553800000,532500000,536900000,561400000,587100000,616000000,632900000,605600000,578300000,583900000,576800000,571900000,917300000,959600000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,841000000,858500000,915000000,913200000,912500000,952600000,948800000,1023000000,1050600000,1028800000,1073900000,1077700000,1075500000,1071100000,1650300000,3625900000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1789000000,1330000000,1390000000,1403000000,1192000000,1124000000,1142000000,1134900000,1118900000,325100000,243400000,250800000,230900000,217300000,218000000,209500000,212800000,246200000,229500000,255300000,238000000,215200000,194100000,479300000,1021800000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1789000000,1330000000,1390000000,1403000000,1192000000,1124000000,1142000000,1134900000,1118900000,1166100000,1101900000,1165800000,1144100000,1129800000,1170600000,1158300000,1235800000,1296800000,1258300000,1329200000,1315700000,1290700000,1265200000,2129600000,4647700000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1288000000,793900000,953500000,1363500000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66300000,- -,25300000,120100000,307600000,324500000,336200000,351100000,147300000,205700000,343600000,633900000,443600000,179600000,364100000,415600000,380900000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,253000000,209000000,151000000,165000000,110000000,137000000,183000000,235700000,378900000,709700000,526300000,317300000,186700000,170500000,141600000,152500000,165600000,159900000,149200000,374800000,397800000,96200000,132200000,162900000,286500000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4287000000,3074000000,3122000000,3184000000,2377000000,2249000000,2250000000,2175100000,2338600000,2547400000,2163800000,2157000000,2170900000,2161700000,2209800000,2249000000,2164700000,2295300000,2356700000,2916200000,2741000000,3431300000,3127300000,4578900000,7638200000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7971000000,7170000000,6704000000,6390000000,4074000000,4024000000,3986000000,4201200000,4525100000,4735400000,4545800000,4593600000,4305700000,4748300000,5284900000,5636500000,5844600000,6229500000,6404700000,7101200000,7161700000,6262000000,6113000000,7264700000,10701600000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,840000000,733000000,843000000,806000000,388000000,325000000,327000000,362200000,388500000,470500000,498500000,437300000,313300000,435700000,455100000,716300000,721800000,704600000,693900000,719600000,812000000,920000000,893800000,687800000,889800000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66000000,156000000,189000000,16000000,10000000,162000000,9000000,200000,1200000,219800000,521400000,100100000,- -,- -,- -,157000000,179000000,325000000,- -,448600000,600400000,551000000,300500000,24600000,599600000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,248200000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,189000000,204100000,210900000,196500000,200800000,214500000,240600000,249900000,275600000,325300000,462500000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1064000000,1094000000,1076000000,998000000,469000000,479000000,484000000,501200000,551100000,603000000,724600000,765700000,633900000,786600000,685800000,454200000,433000000,466000000,433000000,593200000,492800000,516000000,466900000,773100000,1040300000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1970000000,1983000000,2108000000,1820000000,867000000,966000000,820000000,863600000,940800000,1293300000,1744500000,1303100000,947200000,1222300000,1329900000,1531600000,1544700000,1692100000,1327700000,1975900000,2145800000,2236900000,1936800000,1810800000,2992200000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,156000000,908000000,911000000,924000000,922000000,767000000,764000000,757700000,748200000,748200000,405700000,904400000,904700000,904900000,905000000,905000000,905100000,905600000,1500900000,1516300000,1243400000,1225200000,1956400000,1974700000,3778200000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,171000000,158000000,37000000,89300000,- -,155300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1034000000,1034000000,1048000000,977000000,514000000,524000000,778000000,629600000,1187000000,620400000,652800000,697300000,1137400000,1160700000,1302000000,1348200000,809300000,973700000,1319300000,1618900000,1108900000,1182400000,1815600000,2132400000,1237100000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1190000000,1942000000,1959000000,1901000000,1607000000,1449000000,1579000000,1476600000,1935200000,1523900000,1058500000,1601700000,2042100000,2065600000,2207000000,2253200000,1714400000,1879300000,2820200000,3135200000,2352300000,2407600000,3772000000,4107100000,5015300000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,364400000,403500000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3160000000,3925000000,4067000000,3721000000,2474000000,2415000000,2399000000,2340200000,2876000000,2817200000,2803000000,2904800000,2989300000,3287900000,3536900000,3784800000,3259100000,3571400000,4147900000,5111100000,4498100000,4644500000,5708800000,5917900000,8007500000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,216000000,216000000,216000000,216000000,216000000,216400000,216400000,216400000,216400000,216400000,181400000,181400000,181400000,181400000,181400000,181400000,181400000,181400000,181400000,181400000,181400000,181400000,181400000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4409000000,3697000000,3034000000,3363000000,2242000000,2165000000,2143000000,2255700000,2493500000,2856200000,4098100000,4486100000,2667200000,2912400000,3382800000,3858800000,4333400000,4839600000,5316900000,5668400000,6103400000,6198100000,6440200000,7139800000,8000400000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1879000000,-1421000000,-1508000000,-1690000000,-1093000000,-1193000000,-1277000000,-1335200000,-502000000,-75000000,-170000000,-319000000,-728000000,-841000000,-993000000,-1225000000,-818000000,-948000000,-1335000000,-1539000000,-1179000000,-942000000,-1488000000,-1614000000,-1017100000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2281000000,969000000,895000000,780000000,235000000,421000000,505000000,724100000,-558800000,-1079400000,-2401700000,-2694700000,-804200000,-792400000,-823200000,-963500000,-1111300000,-1414900000,-1906500000,-2320700000,-2442200000,-3820000000,-4729400000,-4679400000,-4775100000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4811000000,3245000000,2637000000,2669000000,1600000000,1609000000,1587000000,1861000000,1649100000,1918200000,1742800000,1688800000,1316400000,1460400000,1748000000,1851700000,2585500000,2658100000,2256800000,1990100000,2663600000,1617500000,404200000,1027800000,2389600000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7971000000,7170000000,6704000000,6390000000,4074000000,4024000000,3986000000,4201200000,4525100000,4735400000,4545800000,4593600000,4305700000,4748300000,5284900000,5636500000,5844600000,6229500000,6404700000,7101200000,7161700000,6262000000,6113000000,6945700000,10397100000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,319000000,304500000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7971000000,7170000000,6704000000,6390000000,4074000000,4024000000,3986000000,4201200000,4525100000,4735400000,4545800000,4593600000,4305700000,4748300000,5284900000,5636500000,5844600000,6229500000,6404700000,7101200000,7161700000,6262000000,6113000000,7264700000,10701600000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1024478/000095012302011324/y65666e10vk.htm,https://www.sec.gov/Archives/edgar/data/1024478/000095012303013398/y92046ke10vk.htm,https://www.sec.gov/Archives/edgar/data/1024478/000095012304013937/y68901e10vk.htm,https://www.sec.gov/Archives/edgar/data/1024478/000095012305013478/e14450e10vk.htm,https://www.sec.gov/Archives/edgar/data/1024478/000095012306013812/y26663e10vk.htm,https://www.sec.gov/Archives/edgar/data/1024478/000119312507250273/0001193125-07-250273-index.html,https://www.sec.gov/Archives/edgar/data/1024478/000119312508241034/0001193125-08-241034-index.html,https://www.sec.gov/Archives/edgar/data/1024478/000095012309063897/0000950123-09-063897-index.html,https://www.sec.gov/Archives/edgar/data/1024478/000095012310106922/0000950123-10-106922-index.html,https://www.sec.gov/Archives/edgar/data/1024478/000095012311098301/0000950123-11-098301-index.html,https://www.sec.gov/Archives/edgar/data/1024478/000102447812000024/0001024478-12-000024-index.html,https://www.sec.gov/Archives/edgar/data/1024478/000102447813000035/0001024478-13-000035-index.html,https://www.sec.gov/Archives/edgar/data/1024478/000102447814000031/0001024478-14-000031-index.html,https://www.sec.gov/Archives/edgar/data/1024478/000102447815000028/0001024478-15-000028-index.html,https://www.sec.gov/Archives/edgar/data/1024478/000102447816000071/0001024478-16-000071-index.html,https://www.sec.gov/Archives/edgar/data/1024478/000102447817000034/0001024478-17-000034-index.html,https://www.sec.gov/Archives/edgar/data/1024478/000102447818000032/0001024478-18-000032-index.html,https://www.sec.gov/Archives/edgar/data/1024478/000102447819000044/0001024478-19-000044-index.html,https://www.sec.gov/Archives/edgar/data/1024478/000102447820000038/0001024478-20-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1024478/000102447821000083/0001024478-21-000083-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,734900000,624300000,600500000,-1036000000,561900000,634100000,742000000,726000000,644000000,-427000000,562000000,636000000,305000000,121000000,286000000,414900000,540000000,607000000,1487800000,577600000,220700000,464300000,697800000,737000000,756300000,826800000,827600000,729700000,825700000,535500000,695800000,1023400000,1358100000
74,Depreciation and Amortization,- -,- -,- -,- -,614600000,620000000,601400000,558100000,490900000,493900000,571000000,542000000,484000000,306000000,337000000,369000000,272000000,206000000,198000000,186700000,171200000,153600000,117900000,136500000,134100000,127300000,131300000,138600000,145200000,152500000,162500000,172200000,168900000,164600000,152200000,172700000,189800000
75,Deferred Income Tax,- -,- -,- -,- -,-53800000,32800000,-85800000,-10700000,-1200000,43600000,78000000,-124000000,-6000000,-44000000,12000000,166000000,2000000,-14000000,27000000,63600000,115800000,-16100000,-43700000,-16100000,14700000,57500000,49600000,82900000,-4400000,-7100000,-29300000,-70500000,33800000,170500000,-29000000,-65700000,-184100000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27800000,36300000,39500000,43500000,41100000,42500000,41500000,40500000,38500000,38500000,43100000,46100000,51700000
77,Change in Working Capital,- -,- -,- -,- -,-1092400000,- -,- -,- -,- -,- -,- -,- -,1714000000,399000000,-639000000,-88000000,-556000000,-21000000,107000000,246500000,83200000,-351000000,-257200000,496000000,54100000,176700000,380900000,110700000,279300000,106900000,478200000,-511200000,65800000,-1681100000,455100000,-173900000,164900000
