,https://roic.ai/company/JCI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,348700000,431500000,464200000,483700000,519900000,585400000,645300000,713900000,847200000,1001600000,1097400000,1218100000,1417600000,1530800000,1914600000,2091300000,1642900000,1724900000,2058600000,2221800000,2205500000,8199000000,8055000000,5135000000,7581000000,4769000000,4183000000,3092000000,3072000000,3088000000,2829000000,5325000000,6158000000,6010000000,6244000000,5665000000,5258000000
11,COGS and Expenses,1654800000,2455900000,2498800000,2889300000,3478600000,4276000000,4330200000,4891000000,5883400000,6505300000,7881500000,9509400000,10548300000,10388000000,20306000000,23458000000,28813000000,37042000000,33734000000,34836000000,33932000000,35475000000,20496000000,18258000000,18724000000,15505000000,15236000000,9718000000,9838000000,9643000000,9099000000,19487000000,21218000000,21453000000,22622000000,20571000000,20867000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11900000,10200000,14000000,13000000,- -,- -,- -,- -,- -,- -,- -,19000000,10000000,9000000,14000000,19000000,29000000,61000000,23000000,9000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,122300000,113700000,110800000,120500000,248000000,277000000,258000000,239000000,170000000,174000000,233000000,256000000,254000000,288000000,309000000,466000000,437000000,335000000,240000000,219000000
14,Depreciation and Amortization,61900000,90400000,97900000,103900000,125400000,151900000,169000000,188800000,212100000,258300000,288500000,329700000,354900000,384200000,445600000,461800000,515900000,516800000,558000000,616600000,636400000,705000000,732000000,783000000,745000000,691000000,731000000,824000000,952000000,955000000,860000000,953000000,1188000000,1085000000,825000000,822000000,845000000
15,EBITDA,204000000,264800000,268900000,290400000,304300000,324700000,345000000,416500000,340800000,563800000,647200000,746000000,824300000,2100200000,2105600000,6907800000,5966900000,-8332900000,1671700000,4746400000,4772900000,5463000000,-399000000,2929000000,-736000000,2131000000,2964000000,1877000000,1869000000,3071000000,1799000000,2632000000,3970000000,4202000000,6601000000,1801000000,3569000000
16,EBITDA ratio,0.1142,0.1003,0.1005,0.0937,0.0826,0.0721,0.0757,0.0808,0.0551,0.0821,0.0777,0.0745,0.0740,0.1706,0.0936,0.2388,0.1640,-0.2341,0.0454,0.1182,0.1201,0.1334,-0.0212,0.1450,-0.0427,0.1252,0.1708,0.1804,0.1755,0.2970,0.1817,0.1263,0.1739,0.1796,0.2754,0.0807,0.1508
17,Operating Income,132200000,183500000,178000000,210300000,205000000,228000000,228800000,265500000,298300000,365200000,448800000,500000000,597100000,1924000000,2191000000,5474000000,7576000000,-1452000000,3067000000,5317000000,5795000000,5463000000,-1715000000,1941000000,-1487000000,1511000000,2119000000,685000000,809000000,697000000,803000000,1350000000,1617000000,1947000000,1346000000,1746000000,2801000000
18,Operating Income ratio,0.0740,0.0695,0.0665,0.0678,0.0557,0.0506,0.0502,0.0515,0.0483,0.0532,0.0539,0.0500,0.0536,0.1563,0.0974,0.1892,0.2082,-0.0408,0.0833,0.1324,0.1459,0.1334,-0.0913,0.0961,-0.0863,0.0888,0.1221,0.0658,0.0760,0.0674,0.0811,0.0648,0.0708,0.0832,0.0562,0.0782,0.1183
19,Total Other Income Expenses (Gains),9900000,-9100000,-7000000,-23800000,-26100000,-55200000,-52800000,-37800000,-47600000,-59700000,-90100000,-83700000,-195600000,-206000000,-486000000,991000000,-1374000000,-1177000000,-1264000000,-1158000000,-1603000000,-587000000,-466000000,-510000000,-264000000,-241000000,-226000000,-644000000,-112000000,-84000000,-88000000,-289000000,-466000000,-401000000,-290000000,-843000000,-187000000
20,Income Before Tax,142100000,174400000,171000000,186500000,178900000,172800000,176000000,227700000,250700000,305500000,358700000,416300000,401500000,1718000000,1705000000,6465000000,6202000000,-2629000000,1803000000,4159000000,4192000000,4876000000,-2181000000,1431000000,-1751000000,1270000000,1893000000,41000000,697000000,613000000,715000000,1061000000,1151000000,1546000000,1056000000,903000000,2614000000
21,Income Before Tax Ratio,0.0795,0.0661,0.0639,0.0602,0.0486,0.0384,0.0386,0.0442,0.0406,0.0445,0.0431,0.0416,0.0360,0.1395,0.0758,0.2235,0.1704,-0.0739,0.0490,0.1036,0.1055,0.1191,-0.1161,0.0708,-0.1016,0.0746,0.1091,0.0039,0.0655,0.0593,0.0722,0.0509,0.0504,0.0661,0.0441,0.0405,0.1104
22,Income Tax expense (Gain),63800000,78500000,81400000,83000000,81400000,80400000,80900000,104700000,112800000,140300000,162900000,181600000,180900000,541000000,638000000,1926000000,1480000000,208000000,20000000,1140000000,984000000,920000000,334000000,335000000,78000000,138000000,326000000,348000000,125000000,24000000,100000000,2238000000,705000000,518000000,-233000000,108000000,868000000
23,Net Income,78300000,95900000,89600000,103500000,97500000,92400000,95100000,123000000,15900000,165200000,195800000,234700000,288500000,1175000000,1022000000,4520000000,3971000000,-9180000000,980000000,2879000000,3032000000,3590000000,-1742000000,1553000000,-1798000000,1132000000,1733000000,472000000,536000000,1838000000,551000000,-868000000,1611000000,2162000000,5674000000,631000000,1637000000
24,Net Income ratio,0.0438,0.0363,0.0335,0.0334,0.0265,0.0205,0.0209,0.0239,0.0026,0.0240,0.0235,0.0234,0.0259,0.0954,0.0454,0.1562,0.1091,-0.2579,0.0266,0.0717,0.0763,0.0877,-0.0928,0.0769,-0.1043,0.0665,0.0999,0.0454,0.0503,0.1778,0.0556,-0.0417,0.0705,0.0924,0.2367,0.0283,0.0692
25,EPS,5.02,0.21,0.19,0.25,0.22,0.19,0.19,0.25,0.01,0.33,9.49,11.29,13.78,16.25,20.02,22.62,22.66,28.10,31.66,18.22,19.85,22.16,6.66,1.73,-0.59,2.31,2.51,1.88,1.80,1.91,2.50,-1.30,1.72,2.34,7.30,0.84,2.31
26,EPS Diluted,5.02,0.21,0.19,0.24,0.21,0.18,0.18,0.24,0.01,0.31,8.94,10.68,13.07,15.20,18.76,21.32,21.40,26.60,30.16,17.76,19.60,21.91,6.57,1.71,-0.60,2.29,2.47,1.86,1.79,1.88,2.47,-1.30,1.71,2.32,6.49,0.84,2.27
27,Weighted Average Shares Outstanding,15594032,466150048,433830194,418062429,423906719,451354158,453123123,460864361,487537538,465729792,471477477,19950464,20246581,20195296,20473562,20452917,20719616,21105500,21344250,44813375,45792250,46436875,188007666,566410500,568511500,641760000,647203500,650832500,652933500,636889500,625716000,667400000,935300000,925700000,777600000,751000000,708700000
28,Weighted Average Shares Outstanding Diluted,15594032,466150048,433830194,436506359,448430248,468882475,470222109,481048201,487537538,496778445,509333333,21084902,21349760,21586157,21844559,21698576,21936032,22466375,22585750,45983250,46389125,46938250,190745333,574337000,568511500,651787500,658950000,657995000,657995000,644434000,631732500,672600000,944600000,931700000,874300000,753600000,721100000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/833444/000091205701544874/0000912057-01-544874-index.html,https://www.sec.gov/Archives/edgar/data/833444/000104746902008641/0001047469-02-008641-index.html,https://www.sec.gov/Archives/edgar/data/833444/000104746903041163/a2122987z10-k.htm,https://www.sec.gov/Archives/edgar/data/833444/000104746904036967/a2146767z10-k.htm,https://www.sec.gov/Archives/edgar/data/833444/000104746905028024/a2165075z10-k.htm,https://www.sec.gov/Archives/edgar/data/833444/000104746906014899/a2174482z10-k.htm,https://www.sec.gov/Archives/edgar/data/833444/000104746907009551/0001047469-07-009551-index.html,https://www.sec.gov/Archives/edgar/data/833444/000104746908012419/0001047469-08-012419-index.html,https://www.sec.gov/Archives/edgar/data/833444/000104746909010234/0001047469-09-010234-index.html,https://www.sec.gov/Archives/edgar/data/833444/000104746910009627/0001047469-10-009627-index.html,https://www.sec.gov/Archives/edgar/data/833444/000104746911009619/0001047469-11-009619-index.html,https://www.sec.gov/Archives/edgar/data/833444/000104746912010665/0001047469-12-010665-index.html,https://www.sec.gov/Archives/edgar/data/833444/000083344413000045/0000833444-13-000045-index.html,https://www.sec.gov/Archives/edgar/data/833444/000083344414000124/0000833444-14-000124-index.html,https://www.sec.gov/Archives/edgar/data/833444/000083344415000091/0000833444-15-000091-index.html,https://www.sec.gov/Archives/edgar/data/833444/000083344416000216/0000833444-16-000216-index.html,https://www.sec.gov/Archives/edgar/data/833444/000083344417000060/0000833444-17-000060-index.html,https://www.sec.gov/Archives/edgar/data/833444/000083344418000053/0000833444-18-000053-index.html,https://www.sec.gov/Archives/edgar/data/833444/000083344419000051/0000833444-19-000051-index.html,https://www.sec.gov/Archives/edgar/data/833444/000083344420000048/0000833444-20-000048-index.htm,https://www.sec.gov/Archives/edgar/data/833444/000083344421000046/0000833444-21-000046-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,820000000,1762000000,1265000000,2587000000,6186000000,4187000000,4467000000,3196000000,2910000000,1894000000,1519000000,2354000000,1775000000,1390000000,844000000,563000000,892000000,1401000000,579000000,321000000,185000000,2805000000,1951000000,1336000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,337000000,74000000,15000000,14000000,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,820000000,1762000000,1265000000,2587000000,6186000000,4187000000,4467000000,3196000000,2910000000,1894000000,1519000000,2354000000,1775000000,1390000000,844000000,563000000,1229000000,1475000000,594000000,335000000,185000000,2805000000,1951000000,1336000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2083000000,4582000000,5630000000,38759000000,5832000000,5715000000,6463000000,6732000000,7060000000,3010000000,2987000000,2629000000,2493000000,2401000000,1711000000,1738000000,1750000000,1732000000,6394000000,6666000000,5622000000,5770000000,5294000000,5613000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1460000000,2849000000,3845000000,5101000000,4608000000,4292000000,4365000000,4197000000,4793000000,1835000000,1865000000,1443000000,1443000000,1344000000,634000000,655000000,628000000,624000000,2888000000,3209000000,1819000000,1814000000,1773000000,2057000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1380000000,1953000000,2076000000,2523000000,3013000000,3046000000,3250000000,4412000000,3909000000,5606000000,2170000000,1541000000,1642000000,1298000000,1145000000,1111000000,1144000000,844000000,7233000000,2082000000,4197000000,2004000000,1035000000,992000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5743000000,11146000000,12816000000,48970000000,19639000000,17240000000,18545000000,18537000000,18672000000,12345000000,8541000000,7967000000,7353000000,6433000000,4334000000,4067000000,4751000000,4675000000,17109000000,12292000000,11823000000,12393000000,10053000000,9998000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3710000000,7322000000,8330000000,18816000000,10443000000,10300000000,9635000000,9238000000,9240000000,3556000000,3503000000,3497000000,4156000000,4051000000,1670000000,1677000000,1269000000,1177000000,5632000000,6121000000,3300000000,3348000000,3059000000,3228000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6397000000,12159000000,16333000000,35310000000,26021000000,25939000000,25510000000,24557000000,24872000000,11691000000,11498000000,8791000000,9577000000,9999000000,4377000000,4519000000,4126000000,4234000000,21024000000,19688000000,18381000000,18178000000,17932000000,18335000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5806000000,5790000000,5335000000,5085000000,5128000000,2697000000,2655000000,2647000000,3446000000,3628000000,780000000,804000000,737000000,863000000,7540000000,6741000000,6187000000,5632000000,5356000000,5549000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6397000000,12159000000,16333000000,35310000000,31827000000,31729000000,30845000000,29642000000,30000000000,14388000000,14153000000,11438000000,13023000000,13627000000,5157000000,5323000000,4863000000,5097000000,28564000000,26429000000,24568000000,23810000000,23288000000,23884000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,124000000,270000000,1654000000,- -,- -,408100000,314900000,444900000,463000000,795000000,863000000,718000000,728000000,811000000,948000000,1024000000,1018000000,2143000000,2735000000,1191000000,1301000000,853000000,914000000,1066000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57000000,504000000,792000000,1726000000,- -,- -,- -,- -,- -,- -,561000000,273000000,605000000,606000000,211000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,496000000,943000000,479000000,6465000000,3549000000,3867900000,4327100000,4759100000,4637000000,1731000000,1183000000,1660000000,1263000000,1249000000,45000000,85000000,-92000000,-771000000,9139000000,5851000000,7805000000,1883000000,3501000000,3714000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10784000000,21198000000,27588000000,62317000000,45819000000,46305000000,45122000000,44084000000,44340000000,20470000000,20263000000,17586000000,19775000000,20344000000,8031000000,8109000000,7058000000,7646000000,46070000000,39592000000,36974000000,29894000000,30762000000,31892000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16527000000,32344000000,40404000000,111287000000,65458000000,63545000000,63667000000,62621000000,63012000000,32815000000,28804000000,25553000000,27128000000,26777000000,12365000000,12176000000,11809000000,12321000000,63179000000,51884000000,48797000000,42287000000,40815000000,41890000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1280000000,2531000000,3292000000,4146000000,3174000000,2717000000,2698000000,3065000000,3526000000,1715000000,1611000000,1244000000,1340000000,1278000000,897000000,899000000,871000000,774000000,4000000000,4271000000,3407000000,3582000000,3120000000,3746000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1328900000,571800000,507500000,425200000,145200000,578300000,1040100000,764900000,577000000,1163000000,743000000,798000000,737000000,613000000,747000000,938000000,323000000,865000000,1747000000,1608000000,1341000000,511000000,293000000,234000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58700000,47400000,44300000,229000000,97000000,117000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,855000000,1041000000,1200000000,1171000000,467000000,529000000,413000000,618000000,643000000,402000000,402000000,400000000,382000000,- -,1279000000,1326000000,1407000000,1435000000,1637000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2439100000,6022200000,7879500000,30970800000,16371800000,6421700000,6372900000,6805100000,5310000000,5756000000,2774000000,2261000000,2573000000,1796000000,1051000000,992000000,1877000000,1831000000,10584000000,4696000000,5176000000,3570000000,3400000000,3481000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5048000000,9125000000,11679000000,35542000000,19691000000,10572000000,11152000000,11835000000,10584000000,9101000000,5657000000,4716000000,5268000000,4330000000,3097000000,3231000000,3471000000,3852000000,16331000000,11854000000,11250000000,9070000000,8248000000,9098000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4653000000,9109000000,9462000000,38243000000,16487000000,18251000000,14617000000,10600000000,9340000000,4076000000,3709000000,4029000000,3652000000,4146000000,1481000000,1443000000,1443000000,2159000000,11053000000,11964000000,9623000000,6708000000,7526000000,7506000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1106000000,1143000000,424000000,400000000,335000000,303000000,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,382000000,402000000,295000000,254000000,307000000,62000000,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,689000000,1741000000,2230000000,5505000000,5198000000,8353000000,7606000000,7736000000,7701000000,4014000000,3944000000,3867000000,2636000000,2574000000,2074000000,1750000000,1606000000,1904000000,11677000000,7619000000,6760000000,6743000000,6508000000,6533000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5342000000,10850000000,11692000000,43748000000,21685000000,26604000000,22223000000,18336000000,17041000000,8090000000,7653000000,7896000000,7776000000,8265000000,4274000000,3847000000,3691000000,4428000000,22730000000,19583000000,16383000000,13451000000,14034000000,14039000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10390000000,19975000000,23371000000,79290000000,41376000000,37176000000,33375000000,30171000000,27625000000,17191000000,13310000000,12612000000,13044000000,12595000000,7371000000,7078000000,7162000000,8280000000,39061000000,31437000000,27633000000,22521000000,22282000000,23137000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,97100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,117000000,338000000,337000000,387000000,399000000,400000000,402000000,403000000,398000000,397000000,382000000,3122000000,2948000000,2792000000,2792000000,208000000,208000000,4000000,9000000,9000000,10000000,8000000,8000000,7000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58000000,3992000000,8428000000,12306000000,2081000000,2961000000,5740000000,7993000000,10692000000,34000000,1125000000,-820000000,312000000,2058000000,2499000000,3035000000,4873000000,5165000000,9177000000,5231000000,6604000000,4827000000,2469000000,2025000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1996000000,-900000000,498000000,-2960000000,-3178000000,-106900000,71900000,59800000,366000000,782000000,671000000,192000000,-77000000,-435000000,458000000,418000000,-237000000,-1057000000,-1153000000,-473000000,-946000000,-795000000,-776000000,-434000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3762400000,- -,- -,- -,4386700000,910100000,-1007600000,-2397700000,-4101000000,7694000000,7246000000,6644000000,6888000000,6627000000,5806000000,8653000000,6467000000,6264000000,16085000000,15680000000,15496000000,15726000000,15746000000,15964000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1941400000,2270000000,2576100000,3192700000,3688700000,4261300000,5206300000,6058100000,7355000000,8907000000,9424000000,9138000000,10071000000,11042000000,11555000000,12314000000,11311000000,10376000000,24118000000,20447000000,21164000000,19766000000,17447000000,17562000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12331400000,22245000000,25947100000,82482700000,45064700000,41437300000,38581300000,36229100000,34980000000,26098000000,22734000000,21750000000,23115000000,23637000000,18926000000,19392000000,18473000000,18656000000,63179000000,51884000000,48797000000,42287000000,39729000000,40699000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4195600000,10099000000,14456900000,28804300000,20393300000,22107700000,25085700000,26391900000,28032000000,6717000000,6070000000,3803000000,4013000000,3140000000,-6561000000,-7216000000,-6664000000,-6335000000,- -,- -,- -,- -,1086000000,1191000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16527000000,32344000000,40404000000,111287000000,65458000000,63545000000,63667000000,62621000000,63012000000,32815000000,28804000000,25553000000,27128000000,26777000000,12365000000,12176000000,11809000000,12321000000,63179000000,51884000000,48797000000,42287000000,40815000000,41890000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/833444/000091205701544874/0000912057-01-544874-index.html,https://www.sec.gov/Archives/edgar/data/833444/000104746902008641/0001047469-02-008641-index.html,https://www.sec.gov/Archives/edgar/data/833444/000104746903041163/a2122987z10-k.htm,https://www.sec.gov/Archives/edgar/data/833444/000104746904036967/a2146767z10-k.htm,https://www.sec.gov/Archives/edgar/data/833444/000104746905028024/a2165075z10-k.htm,https://www.sec.gov/Archives/edgar/data/833444/000104746906014899/a2174482z10-k.htm,https://www.sec.gov/Archives/edgar/data/833444/000104746907009551/0001047469-07-009551-index.html,https://www.sec.gov/Archives/edgar/data/833444/000104746908012419/0001047469-08-012419-index.html,https://www.sec.gov/Archives/edgar/data/833444/000104746909010234/0001047469-09-010234-index.html,https://www.sec.gov/Archives/edgar/data/833444/000104746910009627/0001047469-10-009627-index.html,https://www.sec.gov/Archives/edgar/data/833444/000104746911009619/0001047469-11-009619-index.html,https://www.sec.gov/Archives/edgar/data/833444/000104746912010665/0001047469-12-010665-index.html,https://www.sec.gov/Archives/edgar/data/833444/000083344413000045/0000833444-13-000045-index.html,https://www.sec.gov/Archives/edgar/data/833444/000083344414000124/0000833444-14-000124-index.html,https://www.sec.gov/Archives/edgar/data/833444/000083344415000091/0000833444-15-000091-index.html,https://www.sec.gov/Archives/edgar/data/833444/000083344416000216/0000833444-16-000216-index.html,https://www.sec.gov/Archives/edgar/data/833444/000083344417000060/0000833444-17-000060-index.html,https://www.sec.gov/Archives/edgar/data/833444/000083344418000053/0000833444-18-000053-index.html,https://www.sec.gov/Archives/edgar/data/833444/000083344419000051/0000833444-19-000051-index.html,https://www.sec.gov/Archives/edgar/data/833444/000083344420000048/0000833444-20-000048-index.htm,https://www.sec.gov/Archives/edgar/data/833444/000083344421000046/0000833444-21-000046-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,97500000,92400000,95100000,123000000,15900000,165200000,195800000,234700000,288500000,1175000000,1022000000,4520000000,3971000000,-9180000000,980000000,2879000000,3032000000,3590000000,-1742000000,1553000000,-1798000000,1132000000,1733000000,472000000,536000000,1838000000,551000000,-868000000,1611000000,2162000000,5674000000,631000000,1637000000
74,Depreciation and Amortization,- -,- -,- -,- -,125400000,151900000,169000000,188800000,212100000,258300000,288500000,329700000,354900000,384200000,445600000,461800000,515900000,516800000,558000000,616600000,636400000,705000000,732000000,783000000,745000000,691000000,731000000,824000000,952000000,955000000,860000000,953000000,1188000000,1085000000,825000000,822000000,845000000
