,https://roic.ai/company/WAB,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,- -,- -,- -,600000,800000,3300000,7056000,6071000,53949000,19210000,70328000,95257000,141365000,187979000,234689000,141805000,188659000,236941000,285615000,215766000,285760000,425849000,226191000,398484000,233401000,580908000,604200000,598700000,473000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,600000,800000,3300000,7056000,6071000,53949000,19210000,70328000,95257000,141365000,187979000,234689000,141805000,188659000,236941000,285615000,215766000,285760000,425849000,226191000,398484000,233401000,580908000,604200000,598700000,473000000
34,Net Receivables,- -,- -,- -,73500000,91400000,132900000,179734000,194379000,106527000,108019000,129074000,139843000,206891000,177345000,222235000,273560000,208260000,258149000,346281000,389915000,554503000,631226000,598789000,942508000,1166787000,1146778000,1663900000,1412500000,1477000000
35,Inventory,- -,- -,- -,62400000,69300000,103600000,211396000,202828000,104930000,88470000,91809000,96992000,110873000,145481000,175977000,264158000,239333000,253491000,348174000,407039000,403229000,510949000,478574000,658510000,742634000,844886000,1773100000,1642100000,1689000000
36,Other Current Assets,- -,- -,- -,13700000,19000000,23200000,39062000,44277000,30288000,29524000,30881000,27481000,23797000,36386000,32866000,45826000,53257000,53372000,75712000,80218000,89555000,69840000,308894000,868129000,122291000,1877095000,150900000,226500000,193000000
37,Total Current Assets,- -,- -,- -,150200000,180500000,263000000,437248000,447555000,295694000,245223000,322092000,359573000,482926000,547191000,665767000,725349000,689509000,801953000,1055782000,1092938000,1333047000,1637864000,1612448000,2867631000,2265113000,4449667000,4192100000,3879800000,3832000000
38,PP&E,- -,- -,- -,95800000,108400000,125000000,222691000,214645000,167695000,148592000,153839000,150961000,161601000,178309000,182437000,207548000,201707000,206225000,222022000,244088000,276078000,339111000,353193000,518376000,573972000,563737000,1655800000,1601600000,1497000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,173251000,232593000,319449000,482978000,545832000,587531000,666022000,786433000,862338000,858532000,2078765000,2460103000,2396544000,8360600000,8485200000,8587000000
40,Intangible Assets,- -,- -,- -,104700000,109100000,151700000,277047000,265394000,243136000,150974000,147226000,153346000,157310000,44494000,58673000,236740000,187630000,216913000,257355000,308295000,385685000,422805000,440554000,1053928000,1204413000,1129889000,4104000000,3869200000,3705000000
41,Intangible Assets,- -,- -,- -,104700000,109100000,151700000,277047000,265394000,243136000,150974000,147226000,153346000,157310000,217745000,291266000,556189000,670608000,762745000,844886000,974317000,1172118000,1285143000,1299086000,3132693000,3664516000,3526433000,12464600000,12354400000,12292000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,3860000,26112000,20315000,35476000,18428000,16588000,4316000,1052000,4964000,3346000,240000,183000,987000,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,12500000,12900000,56500000,59690000,56453000,19567000,17964000,12833000,14040000,16092000,13009000,14916000,17382000,19047000,28812000,36023000,39990000,39767000,41717000,35608000,62318000,76360000,109397000,631700000,618700000,833000000
45,Total Non-Current Assets,- -,- -,- -,213000000,230400000,333200000,559428000,536492000,434258000,343642000,334213000,353823000,353431000,425651000,492935000,782171000,896326000,1001128000,1103171000,1258578000,1488950000,1665971000,1687887000,3713387000,4314848000,4199567000,14752100000,14574700000,14622000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8629715000,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,363200000,410900000,596200000,996676000,984047000,729952000,588865000,656305000,713396000,836357000,972842000,1158702000,1507520000,1585835000,1803081000,2158953000,2351516000,2821997000,3303835000,3300335000,6581018000,6579980000,8649234000,18944200000,18454500000,18454000000
48,Accounts Payable,- -,- -,- -,23800000,37600000,63000000,87388000,86316000,75150000,62104000,79747000,92189000,93551000,92624000,137226000,162633000,119895000,170504000,244649000,248593000,326666000,399845000,319525000,530211000,552525000,589449000,1157500000,909400000,1012000000
49,Short-Term Debt,- -,- -,- -,29700000,32600000,30600000,743000,751000,782000,833000,- -,- -,- -,- -,- -,30381000,32741000,40068000,68000,43000,421000,792000,433000,129809000,47225000,64099000,95700000,447200000,2000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82810000,66573000,111797000,106127000,256591000,369716000,373538000,604200000,642700000,629000000
52,Other Current Liabilities,- -,- -,- -,48500000,61600000,74000000,106081000,103589000,110289000,72326000,73033000,88683000,147928000,151167000,158009000,195037000,152712000,137802000,296668000,221613000,185740000,226368000,238691000,530028000,603864000,619604000,1400600000,1227000000,1267000000
53,Total Current Liabilities,- -,- -,- -,102000000,131800000,167600000,194212000,190656000,186221000,135263000,152780000,180872000,241479000,243791000,295235000,388051000,305348000,348374000,541385000,553059000,579400000,738802000,664776000,1446639000,1573330000,1646690000,3258000000,3226300000,2910000000
54,Long-Term Debt,- -,- -,- -,312000000,332300000,437200000,567844000,539446000,241088000,194318000,193423000,150594000,150000000,150000000,150177000,356699000,359039000,382007000,395805000,317853000,450288000,520403000,695294000,1762967000,1823303000,3792774000,4333600000,3792200000,4056000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,7400000,5600000,3500000,8054000,17110000,9065000,8771000,11631000,14523000,7381000,15014000,9834000,12870000,52156000,76505000,74217000,91176000,114486000,112915000,139852000,245680000,175902000,198269000,145300000,168400000,288000000
57,Other Non-Current Liabilities,- -,- -,- -,18000000,20500000,21800000,44688000,40464000,48307000,51251000,50178000,54981000,58290000,94148000,86188000,104529000,90379000,92808000,99902000,107437000,90656000,123423000,99074000,148907000,178913000,142426000,1213700000,1114900000,961000000
58,Total Non-Current Liabilities,- -,- -,- -,337400000,358400000,462500000,620586000,597020000,298460000,254340000,255232000,220098000,215671000,259162000,246199000,474098000,501574000,551320000,569924000,516466000,655430000,756741000,934220000,2157554000,2178118000,4133469000,5692600000,5075500000,5305000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,439400000,490200000,630100000,814798000,787676000,484681000,389603000,408012000,400970000,457150000,502953000,541434000,862149000,806922000,899694000,1111309000,1069525000,1234830000,1495543000,1598996000,3604193000,3751448000,5780159000,8950600000,8301800000,8215000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,654000,654000,654000,654000,662000,662000,662000,662000,662000,662000,662000,662000,662000,662000,1323000,1323000,1323000,1323000,1323000,1323000,2000000,2000000,2000000
64,Retained Earnings,- -,- -,- -,105400000,141600000,182300000,194772000,218470000,278569000,231282000,252234000,282868000,336744000,419603000,524538000,653083000,766221000,887406000,1053706000,1297772000,1576702000,1909136000,2280801000,2553258000,2773300000,3021968000,3267000000,3588900000,4055000000
65,Other Comprehensive Income/Loss,- -,- -,- -,-66500000,-78200000,-89500000,-172996000,-192677000,-150493000,-31822000,-19889000,-9777000,-26925000,-32305000,9271000,-60540000,-30546000,-38077000,-60897000,-53564000,-34856000,-159486000,-276719000,-379605000,-44992000,-256583000,-382600000,-339100000,-466000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,159448000,169924000,116541000,-852000,15286000,38673000,68726000,81929000,82797000,52166000,40570000,49780000,51718000,31960000,42090000,56269000,-305798000,31001000,79237000,98423000,7070100000,6870500000,6610000000
67,Total Stockholders Equity,- -,- -,- -,-76200000,-79300000,-33900000,181878000,196371000,245271000,199262000,248293000,312426000,379207000,469889000,617268000,645371000,776907000,899771000,1045189000,1276830000,1585259000,1807242000,1699607000,2205977000,2808868000,2865131000,9956500000,10122300000,10201000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,363200000,410900000,596200000,996676000,984047000,729952000,588865000,656305000,713396000,836357000,972842000,1158702000,1507520000,1583829000,1799465000,2156498000,2346355000,2820089000,3302785000,3298603000,5810170000,6560316000,8645290000,18907100000,18424100000,18416000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2006000,3616000,2455000,5161000,1908000,1050000,1732000,770848000,19664000,3944000,37100000,30400000,38000000
70,Total Liabilities & Equity,- -,- -,- -,363200000,410900000,596200000,996676000,984047000,729952000,588865000,656305000,713396000,836357000,972842000,1158702000,1507520000,1585835000,1803081000,2158953000,2351516000,2821997000,3303835000,3300335000,6581018000,6579980000,8649234000,18944200000,18454500000,18454000000
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/943452/000119312504041920/d10k.htm,https://www.sec.gov/Archives/edgar/data/943452/000119312505052564/d10k.htm,https://www.sec.gov/Archives/edgar/data/943452/000119312506056807/d10k.htm,https://www.sec.gov/Archives/edgar/data/943452/000119312507043570/d10k.htm,https://www.sec.gov/Archives/edgar/data/943452/000119312508043352/d10k.htm,https://www.sec.gov/Archives/edgar/data/943452/000119312509040484/0001193125-09-040484-index.html,https://www.sec.gov/Archives/edgar/data/943452/000119312510038499/0001193125-10-038499-index.html,https://www.sec.gov/Archives/edgar/data/943452/000119312511046939/d10k.htm,https://www.sec.gov/Archives/edgar/data/943452/000119312512077488/0001193125-12-077488-index.html,https://www.sec.gov/Archives/edgar/data/943452/000119312513071115/0001193125-13-071115-index.html,https://www.sec.gov/Archives/edgar/data/943452/000156459014000306/wab-10k_20131231.htm,https://www.sec.gov/Archives/edgar/data/943452/000156459015000794/wab-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/943452/000162828016011421/0001628280-16-011421-index.html,https://www.sec.gov/Archives/edgar/data/943452/000162828017001863/0001628280-17-001863-index.html,- -,https://www.sec.gov/Archives/edgar/data/943452/000162828019002095/0001628280-19-002095-index.html,https://www.sec.gov/Archives/edgar/data/943452/000162828020002098/0001628280-20-002098-index.html,https://www.sec.gov/Archives/edgar/data/943452/000162828021002557/0001628280-21-002557-index.htm,https://www.sec.gov/Archives/edgar/data/943452/000162828022002997/0001628280-22-002997-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,28100000,36800000,33700000,32700000,37300000,41700000,36623000,25393000,61780000,-45449000,22703000,32445000,55776000,84804000,109570000,130551000,115055000,123099000,170149000,251732000,292235000,351680000,398628000,304887000,262261000,294944000,326700000,412000000,558000000
74,Depreciation and Amortization,15800000,16100000,18600000,22200000,24600000,25200000,42614000,41662000,33061000,25513000,25284000,26112000,25670000,25894000,29140000,29826000,35519000,38586000,44849000,44136000,51193000,61261000,64734000,69795000,103248000,109297000,319200000,385100000,441000000
75,Deferred Income Tax,-3100000,-1000000,-1100000,2500000,-3500000,-3900000,8189000,12193000,-6278000,702000,8824000,-3169000,1909000,4125000,-2278000,4870000,7391000,16248000,-16595000,581000,15248000,-7054000,4981000,-10228000,-67423000,-5299000,-27300000,29400000,88000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10475000,3620000,11765000,18646000,19848000,24107000,26134000,26019000,20813000,21287000,25315000,50000000,19500000,46000000
77,Change in Working Capital,-3600000,- -,48200000,500000,46700000,147636000,13863000,-147426000,487000,59352000,9389000,62746000,61953000,67132000,-33234000,46863000,69418000,60818000,25482000,213768000,145415000,48610000,473320000,-729209000,2111194000,-1868877000,-280600000,3106500000,-63000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20841000,80541000,-34255000,-68697000,-22976000,-149699000,-17413000,21500000,19728000,-68676000,-54611000,-6300000,315000000,-76000000
79,Inventory,3100000,-7700000,-7900000,8100000,1800000,-17000000,-12875000,6716000,12670000,17812000,-796000,-6885000,-8516000,-17811000,-14317000,-42726000,33360000,-1650000,-79537000,-32491000,26060000,-64089000,20147000,45340000,-8955000,-108883000,255900000,180800000,-41000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14303000,-48238000,44294000,59974000,-12483000,60976000,55378000,-76650000,-18932000,-91722000,48763000,-144300000,-269000000,109000000
81,Other Working Capital,- -,- -,48200000,48700000,95400000,243036000,256899000,109473000,109960000,169312000,178701000,241447000,303400000,370532000,337298000,384161000,453579000,514397000,539879000,753647000,899062000,947672000,1420992000,691783000,2802977000,934100000,653500000,3760000000,-135000000
82,Other Non-Cash Items,-200000,-8200000,-53500000,1000000,-38100000,-168536000,-23900000,128392000,30047000,-24460000,-10296000,-65267000,-61236000,-30928000,39311000,-63201000,-70482000,-74380000,6095000,-292627000,-292545000,-8246000,-519422000,793249000,-2241756000,1759291000,627500000,-3168800000,3000000
83,Cash Provided by Operating Activities,37000000,43700000,45900000,58900000,67000000,42100000,77389000,60214000,119097000,15658000,55904000,52867000,84072000,151027000,142509000,159384000,160521000,176136000,248626000,237438000,235653000,472385000,448260000,449307000,188811000,314671000,1015500000,783700000,1073000000
84,CAPEX,-9800000,-13500000,-71100000,-91700000,-42700000,-141500000,-30808000,-26335000,-14801000,-10464000,-17470000,-19262000,-22666000,-20942000,-20419000,-19715000,-18288000,-20843000,-37971000,-36001000,-41238000,-47662000,-49428000,-50216000,-89466000,-93305000,-185300000,-136400000,-130000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-32242000,-650000,-3730000,-1654000,- -,- -,-35916000,-87201000,-73642000,-398132000,-96283000,-135830000,-108874000,-149914000,-223454000,-300437000,-129550000,-183113000,-921537000,-51153000,-2996400000,-40300000,-435000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,200000,600000,- -,- -,- -,- -,-3321000,5500000,245944000,1301000,4921000,1454000,975000,1933000,127000,406000,-650000,418000,663000,971000,6000000,421000,-201158000,-541736000,735274000,-2829000,3900000,21300000,25000000
89,Cash Used for Investing Activites,-9600000,-12900000,-71100000,-91700000,-42700000,-141500000,-66371000,-21485000,227413000,-10817000,-12549000,-17808000,-57607000,-106210000,-93934000,-417441000,-115221000,-156255000,-146182000,-184944000,-258692000,-347678000,-380136000,-775065000,-275729000,-147287000,-3177800000,-155400000,-540000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3243000,-193324000,-218083000,-283202000,-311457000,-829842000,-493819000,-612680000,-1102748000,-1269537000,-1453954000,-3423600000,-4077300000,-5552000000
91,Common Stock Issued,- -,- -,113400000,- -,3500000,2500000,4911000,4291000,3359000,3695000,15876000,23387000,30053000,14630000,5406000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-305600000,-1600000,-44000000,- -,-10630000,-12215000,-585000,- -,- -,- -,- -,-18874000,-17888000,-45796000,-19654000,-8381000,-26022000,-46556000,-32998000,-26757000,-387787000,-212176000,- -,- -,- -,-207200000,-300000000
93,Dividends Paid,- -,- -,-300000,-1100000,-1000000,-1000000,-986000,-1695000,-1681000,-1808000,-1751000,-1811000,-1900000,-1945000,-1944000,-1940000,-1917000,-1914000,-3849000,-7666000,-12644000,-19246000,-26963000,-32430000,-42218000,-46277000,-81700000,-92500000,-92000000
94,Other Financing Activites,-29100000,-29800000,216800000,35200000,19100000,100700000,-5028000,-28390000,-298280000,-45941000,-4949000,-40115000,-129000,4382000,1441000,240690000,201938000,254226000,266314000,240956000,968498000,565328000,778516000,1871548000,1214324000,3478342000,3966800000,3758000000,5291000000
95,Cash Used/Provided by Financing Activities,-29100000,-29800000,24300000,32500000,-22400000,102200000,-11733000,-38009000,-297187000,-44054000,9176000,-18539000,28024000,-1807000,-12985000,189711000,-12957000,25848000,-46759000,-124723000,93014000,25506000,-248914000,524194000,-97431000,1978111000,461500000,-619000000,-653000000
96,Effect of Forex Changes on Cash,- -,- -,100000,700000,-1600000,-300000,-1212000,-1705000,-1445000,4474000,-1413000,8409000,-8381000,2156000,10722000,-24538000,14511000,2553000,-7011000,2380000,19000,-10124000,-18868000,-26143000,19266000,-36542000,-37300000,-14800000,-6000000
97,Net Change In Cash,-29100000,-29800000,24300000,- -,- -,- -,-1927000,-985000,47878000,-34739000,51118000,24929000,46108000,46614000,46710000,-92884000,46854000,48282000,48674000,-69849000,69994000,140089000,-199658000,172293000,-165083000,2108953000,-1738100000,-5500000,-126000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,7056000,6071000,53949000,19210000,70328000,95257000,141365000,187979000,234689000,141805000,188659000,236941000,285615000,215766000,285760000,425849000,226191000,398484000,233401000,2342354000,604200000,598700000,473000000
