,https://roic.ai/company/LXP,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,35300000,35500000,35000000,18973414,27351000,43113000,51757000,54589000,56322000,69146000,69693000,101844000,102732000,94536000,171814000,88630000,95573000,85106000,80058000,98834000,133000000,177607000,178710000,184989000,134321000,152811000,105572000,96571000,1364
18,Operating Income ratio,1.3629,1.3654,1.2456,0.5990,0.6278,0.6621,0.6696,0.6823,0.6797,0.6872,0.5783,0.6735,0.5211,0.4558,0.3980,0.2009,0.2538,0.2482,0.2449,0.2866,0.3338,0.4185,0.4148,0.4307,0.3430,0.3865,0.3239,0.2922,0.0000
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,3517000,-400000,- -,2959000,- -,2344000,- -,-59984000,-88799000,-98012000,-246206000,-36324000,-126657000,-109025000,-160889000,59432000,-143732000,-129282000,-66685000,-94690000,-44927000,78115000,178210000,91573000,386572636
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41860000,13933000,-3476000,-74392000,52306000,-31084000,-23919000,-80831000,158266000,-10732000,48325000,112025000,90299000,89394000,230926000,283782000,188144000,386574000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2768,0.0707,-0.0168,-0.1723,0.1185,-0.0825,-0.0698,-0.2473,0.4589,-0.0269,0.1139,0.2600,0.2102,0.2283,0.5841,0.8706,0.5694,1.1238
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1181000,-150000,-238000,3374000,3008000,2378000,1556000,-823000,941000,3259000,1109000,568000,1439000,1917000,1728000,1379000,1584000,1293000
23,Net Income,4500000,5500000,3400000,5465824,8593000,15737000,21347000,21952000,18062000,30595000,33649000,44807000,32695000,7753000,76851000,8465000,-210152000,-32960000,-79584000,180316000,1630000,93104000,111703000,95624000,85583000,227415000,279910000,183302000,382648000
24,Net Income ratio,0.1737,0.2115,0.1210,0.1726,0.1972,0.2417,0.2762,0.2744,0.2180,0.3041,0.2792,0.2963,0.1659,0.0374,0.1780,0.0192,-0.5580,-0.0961,-0.2434,0.5228,0.0041,0.2194,0.2593,0.2226,0.2185,0.5752,0.8587,0.5547,1.1124
25,EPS,0.48,0.59,0.35,0.58,0.33,0.79,1.11,1.15,0.79,1.11,0.89,0.81,0.33,-0.17,0.77,-0.19,-2.22,-0.44,-0.68,0.99,-0.07,0.38,0.45,0.38,0.33,0.93,1.15,0.66,1.35
26,EPS Diluted,0.48,0.59,0.35,0.58,0.32,0.78,1.08,1.10,0.77,1.09,0.88,0.80,0.33,-0.17,0.77,-0.19,-2.22,-0.44,-0.68,0.93,-0.07,0.38,0.45,0.37,0.33,0.93,1.15,0.66,1.34
27,Weighted Average Shares Outstanding,9375000,9322034,9714286,9392727,11444589,16835414,16979925,16900039,19522323,27026789,34074935,46551328,49835773,52163569,64910123,67872590,109280955,130985809,152473336,159109424,209797238,228966253,233455056,233633058,237758408,236666375,237642048,266914843,277640835
28,Weighted Average Shares Outstanding Diluted,9375000,9322034,9714286,9800000,11639683,21983876,24945267,24714219,19862880,32602069,39493872,52048909,49902649,52163569,64910123,67872590,109280955,130985809,152473336,179659826,209797238,229436708,233751775,237679031,241537837,240810990,237934515,268182552,287369742
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/910108/000095012306003133/y18001e10vk.htm,https://www.sec.gov/Archives/edgar/data/910108/000095012307003036/0000950123-07-003036-index.html,https://www.sec.gov/Archives/edgar/data/910108/000095012308002365/y50455e10vk.htm,https://www.sec.gov/Archives/edgar/data/910108/000114420409011614/0001144204-09-011614-index.html,https://www.sec.gov/Archives/edgar/data/910108/000114420410010769/0001144204-10-010769-index.html,- -,https://www.sec.gov/Archives/edgar/data/910108/000144483812000012/0001444838-12-000012-index.html,https://www.sec.gov/Archives/edgar/data/910108/000144483813000008/0001444838-13-000008-index.html,https://www.sec.gov/Archives/edgar/data/910108/000144483814000007/lxp2013123110k.htm,https://www.sec.gov/Archives/edgar/data/910108/000144483815000008/lxp2014123110k.htm,https://www.sec.gov/Archives/edgar/data/910108/000144483816000058/0001444838-16-000058-index.html,https://www.sec.gov/Archives/edgar/data/910108/000144483817000010/lxplcif2016123110kv2.htm,https://www.sec.gov/Archives/edgar/data/910108/000144483818000006/lxplcif2017123110k.htm,https://www.sec.gov/Archives/edgar/data/910108/000144483819000010/0001444838-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/910108/000144483820000003/0001444838-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/910108/000144483821000004/0001444838-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/910108/000153949722000520/0001539497-22-000520-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,2468189,3640000,11084000,8837000,4792000,13863000,12097000,15923000,146957000,53515000,97547000,412106000,67798000,53865000,52644000,63711000,34024000,77261000,191077000,93249000,86637000,107762000,168750000,122666000,178795000,190926000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,2468189,3640000,11084000,8837000,4792000,13863000,12097000,15923000,146957000,53515000,97547000,412106000,67798000,53865000,52644000,63711000,34024000,77261000,191077000,93249000,86637000,107762000,168750000,122666000,178795000,190926000
34,Net Receivables,- -,- -,- -,7842568,7638000,12436000,14108000,16583000,19026000,23650000,24069000,49923000,7673000,53744000,25289000,19829000,84559000,102728000,73890000,79895000,129003000,173318000,190611000,133181000,58219000,62167000,69523000,69858000,66809000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,114433000,1445470000,1970269000,2391862000,2746064000,31369000,59764000,26644000,30657000,26741000,19953000,20758000,35062000,54950000,7221000,72365000,6644000,17156000,82687000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,154425000,1642350000,2031457000,2543153000,3183459000,118996000,198188000,182016000,168258000,140660000,226217000,385153000,318922000,274768000,173202000,303282000,198833000,265809000,340422000
38,PP&E,208500000,202600000,200500000,288067719,439856000,609717000,606592000,584198000,714047000,779150000,1038250000,1240478000,1691324000,3540639000,3715447000,3302677000,3015400000,2769663000,2566707000,- -,- -,- -,- -,- -,- -,- -,38133000,31423000,27966000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14736000,54736000,128775000,468244000,516698000,343192000,267161000,203495000,178569000,- -,- -,- -,- -,- -,- -,- -,- -,409293,190362000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14736000,54736000,128775000,468244000,516698000,343192000,267161000,203495000,178569000,- -,- -,- -,- -,- -,- -,- -,- -,409293,190362000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,54261000,69225000,132738000,191146000,279081000,229085000,179133000,55985000,83738000,90558000,27129000,18442000,19402000,31054000,67125000,17476000,66183000,57168000,56464000,74559000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-69225000,-1373216000,-1882470000,-2206260000,-2379526000,161890000,43111000,96084000,73956000,3250414000,3527622000,3373339000,3480259000,3099574000,3362342000,2584375000,2886126000,3139120707,3372249000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1052986000,54736000,128775000,2081704000,2081704000,3986892000,3381657000,3152980000,2909790000,3277543000,3546064000,3392741000,3511313000,3166699000,3379818000,2650558000,2981427000,3227417000,3665136000
46,Other Assets,222500000,216000000,221200000,309126114,467115000,647007000,656481000,668377000,822153000,902471000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,222500000,216000000,221200000,309126114,467115000,647007000,656481000,668377000,822153000,902471000,1207411000,1697086000,2160232000,4624857000,5265163000,4105888000,3579845000,3334996000,3078048000,3418203000,3772281000,3777894000,3830235000,3441467000,3553020000,2953840000,3180260000,3493226000,4005558000
48,Accounts Payable,- -,- -,- -,1394109,4880000,4588000,3917000,4312000,5489000,8003000,8283000,12406000,13250000,29513000,49442000,33814000,43629000,51292000,53058000,70367000,39642000,37740000,41479000,59601000,38644000,30790000,29925000,55208000,77607000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2312422000,2033854000,85709000,164649000,105149000,- -,48000000,- -,177000000,- -,160000000,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,341000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,107535000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17264,29191000
52,Other Current Liabilities,- -,- -,- -,27405891,32920000,82412000,79083000,77488000,69811000,69997000,67917000,72294000,115650000,1349687000,-998164000,41026000,43455000,166180000,38292000,43331000,1645000,54008000,-114304000,54159000,-105118000,53683000,40329000,42507736,49374000
53,Total Current Liabilities,- -,- -,- -,28800000,37800000,87000000,83000000,81800000,75300000,78000000,76200000,84700000,128900000,1379200000,1363700000,2108694000,280328000,382121000,196499000,113698000,89287000,91748000,104175000,113760000,93526000,84473000,70254000,97733000,156172000
54,Long-Term Debt,112100000,111700000,123200000,188197207,1973000,354873000,372254000,387326000,455771000,491517000,549940000,765144000,1139971000,2123174000,650000000,211000000,1873161000,1481216000,1428106000,1878208000,2055807000,2092675000,2204199000,1860598000,2068867000,1492483000,1311977000,1341242000,1398563000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4173000,6271000,362815000,217389000,121722000,- -,96490000,90349000,93132000,87704000,84551000,59330000,54618000,49792000,30206000,33868000,30599000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,-497207,220527000,27000,46000,-26000,29000,-17000,1460000,-4217000,-6242000,-362789000,2095011000,170164000,129120000,19040000,141663000,- -,- -,- -,- -,- -,- -,- -,39442000,32515000,127595000
58,Total Non-Current Liabilities,112100000,111700000,123200000,187700000,222500000,354900000,372300000,387300000,455800000,491500000,551400000,765100000,1140000000,2123200000,2962400000,502886000,2002281000,1596746000,1660118000,1971340000,2143511000,2177226000,2263529000,1915216000,2118659000,1522689000,1385287000,1404356000,1526158000
59,Other Liabilities,227000000,224700000,247400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39442000,32515000,29094000
61,Total Liabilities,114900000,113000000,124200000,193934234,256409000,391851000,413381000,428680000,497581000,512649000,568343000,793037000,1207550000,2599672000,3560229000,2611580000,2282609000,1978867000,1856617000,2085038000,2232798000,2268974000,2367704000,2028976000,2212185000,1607162000,1455541000,1502089000,1682330000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76315000,207441000,226904000,226904000,376678000,352306000,327867000,251552000,311673000,243790000,94016000,94016000,94016000,94016000,94016000,94016000,94016000,94016000,94016000
63,Common Stock,- -,- -,- -,943,2000,2000,2000,2000,2000,3000,4000,5000,5000,7000,6000,10000,12000,15000,15000,18000,23000,23000,23000,24000,24000,24000,25000,28000,28000
64,Retained Earnings,- -,5500000,8800000,14300000,-53005000,-59155000,-60852000,-62227000,-71836000,-77777000,-91707000,-118346000,-172762000,-294640000,-468167000,-561817000,-870862000,-985562000,-1161402000,-1143803000,-1300527000,-1372051000,-1428908000,-1500966000,-1589724000,-1537100000,-1363676000,-1301726000,-1049434000
65,Other Comprehensive Income/Loss,- -,- -,- -,-51342953,-50993000,-66076000,-82334000,-98429000,-116741000,-134220000,-160623000,-180610000,-241188000,1273000,-2778000,-15650000,673000,-106000,1938000,-6224000,4439000,404000,-1939000,-1033000,1065000,76000,-1928000,-17963000,-6258000
66,Other Total Stockholders Equity,105700000,95700000,87700000,129701157,286462000,306004000,319981000,335539000,455288000,544970000,755859000,938800000,1078351000,1188900000,1033332000,1624463000,1750979000,2014257000,2010850000,2212949000,2717787000,2763374000,2776837000,2800736000,2818520000,2772855000,2976670000,3196315000,3252506000
67,Total Stockholders Equity,105700000,101200000,96500000,92659147,182466000,180775000,176797000,174885000,266713000,332976000,579848000,847290000,891310000,1122444000,939071000,1399312000,1208669000,1280156000,1163074000,1306730000,1515738000,1485766000,1440029000,1392777000,1323901000,1329871000,1705107000,1970670000,2290858000
68,Total Liabilities And Stockholders Equity,220600000,214200000,220700000,286593381,438875000,572626000,590178000,603565000,764294000,845625000,1148191000,1640327000,2098860000,3722116000,4499300000,4010892000,3491278000,3259023000,3019691000,3391768000,3748536000,3754740000,3807733000,3421753000,3536086000,2937033000,3160648000,3472759000,3973188000
69,Minority Interest,1900000,1800000,500000,22532733,28240000,74381000,66303000,64812000,57859000,56846000,59220000,56759000,61372000,902741000,765863000,94996000,88567000,75973000,58357000,26435000,23745000,23154000,22502000,19714000,16934000,16807000,19612000,20467000,32370000
70,Total Liabilities & Equity,222500000,216000000,221200000,309126114,467115000,647007000,656481000,668377000,822153000,902471000,1207411000,1697086000,2160232000,4624857000,5265163000,4105888000,3579845000,3334996000,3078048000,3418203000,3772281000,3777894000,3830235000,3441467000,3553020000,2953840000,3180260000,3493226000,4005558000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/910108/000095012306003133/y18001e10vk.htm,https://www.sec.gov/Archives/edgar/data/910108/000095012307003036/0000950123-07-003036-index.html,https://www.sec.gov/Archives/edgar/data/910108/000095012308002365/y50455e10vk.htm,https://www.sec.gov/Archives/edgar/data/910108/000114420409011614/0001144204-09-011614-index.html,https://www.sec.gov/Archives/edgar/data/910108/000114420410010769/0001144204-10-010769-index.html,- -,https://www.sec.gov/Archives/edgar/data/910108/000144483812000012/0001444838-12-000012-index.html,https://www.sec.gov/Archives/edgar/data/910108/000144483813000008/0001444838-13-000008-index.html,https://www.sec.gov/Archives/edgar/data/910108/000144483814000007/lxp2013123110k.htm,https://www.sec.gov/Archives/edgar/data/910108/000144483815000008/lxp2014123110k.htm,https://www.sec.gov/Archives/edgar/data/910108/000144483816000058/0001444838-16-000058-index.html,https://www.sec.gov/Archives/edgar/data/910108/000144483817000010/lxplcif2016123110kv2.htm,https://www.sec.gov/Archives/edgar/data/910108/000144483818000006/lxplcif2017123110k.htm,https://www.sec.gov/Archives/edgar/data/910108/000144483819000010/0001444838-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/910108/000144483820000003/0001444838-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/910108/000144483821000004/0001444838-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/910108/000153949722000520/0001539497-22-000520-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,4500000,5500000,3400000,5465824,8593000,15737000,21347000,21952000,18062000,30595000,33649000,44807000,32695000,7753000,76851000,8465000,-210152000,-32960000,-79584000,180316000,1630000,93104000,111703000,95624000,85583000,227415000,279910000,183302000,382648000
74,Depreciation and Amortization,6200000,6300000,6300000,8246594,11484000,16070000,18991000,19010000,19952000,23375000,29572000,41710000,73034000,84734000,253535000,248928000,185208000,172301000,168288000,171969000,183833000,167289000,167186000,170038000,177561000,172088000,154085000,168023000,183249000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2026000,-466000,-738000,2358000,1313000,196000,489000,-1799000,-186000,752000,124000,-77000,59000,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,400000,- -,-28800000,-9000000,-49200000,4000000,1200000,6500000,-2700000,156225000,1479425000,344907000,-738604000,655806000,-3809457000,1907558000,-117965000,171864000,55203000,109968000,156475000,-78658000,-53739000,-81332000,139133000,-90230000,39497000,-167931560,11192000
78,Accounts Receivable,400000,600000,400000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12378000,22829000,1600000,5111000,19929000,-1325000,4420000,-617000,1967000,-1825000,2922000,-3942000,3770000,80000,1058000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-200000,400000,-300000,700000,3300000,-300000,-300000,310000,-2140000,539000,1708000,1710000,-788000,1999000,20192000,-9129000,- -,- -,- -,-598000,6223000,-3716000,4314000,-1657000,-1141000,-129000,-270000,2859000,7996000
81,Other Working Capital,- -,- -,-28800000,-37800000,-87000000,-83000000,-81800000,-75300000,-78000000,78225000,1557650000,1902557000,1163953000,1819759000,-1989698000,-82140000,-200105000,-28241000,26962000,136930000,293405000,214747000,161008000,79676000,218809000,128579000,168076000,144440,- -
82,Other Non-Cash Items,100000,600000,26300000,10259930,52943000,-3799000,-1419000,-6659000,9166000,-152066000,-1470831000,-338538000,745900000,-639535000,3764364000,-1936063000,302020000,-146943000,38029000,-298257000,-136386000,32813000,19857000,50884000,-174516000,-91462000,-281308000,18441560,-356743000
83,Cash Provided by Operating Activities,11200000,12400000,7200000,14972348,23820000,32008000,40119000,40803000,44480000,58129000,71815000,90860000,112559000,108020000,287651000,230201000,159307000,164751000,180137000,163810000,206304000,214672000,244930000,235273000,227761000,217811000,192184000,201835000,220346000
84,CAPEX,- -,- -,- -,-16954912,-132129000,-135193000,-102987000,-27116000,-19363000,-114272000,-328469000,-204092000,-765494000,-177135000,- -,-94610000,- -,- -,- -,-49952000,-48822000,-17681000,-29110000,-4408000,-15184000,-15506000,-17829000,-17250000,-15207000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-4284000,- -,-27835000,- -,- -,- -,- -,34595000,- -,- -,- -,- -,5900000,-2438000,- -,36000,- -,- -,6127000,- -,-8018000,-7528000,-4533000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-30835000,-9815000,-7697000,-9155000,- -,- -,-16163000,-723000,-1000000,-45122000,-63582000,-180523000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,10781000,- -,- -,- -,- -,- -,- -,6298000,29462000,2506000,14216000,- -,46867000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,7800000,3385,21365000,24113000,31548000,19402000,-7308000,15939000,38741000,-202342000,-647960000,-177073000,-60229000,228622000,142873000,38799000,102943000,-139772000,-597583000,-43104000,-388271000,-10187000,-265243000,554891000,-178947000,-486822000,-333229000
89,Cash Used for Investing Activites,- -,- -,7800000,-16951527,-110764000,-111080000,-64942000,-38549000,-64321000,-106030000,-298883000,-202549000,-650879000,-154080000,-31490000,230128000,111967000,-24783000,-24813000,-142210000,-597583000,-43068000,-388271000,-10187000,-259116000,554891000,-186965000,-494350000,-337762000
90,Debt Repayment,-3100000,-2400000,-83200000,-7533655,-121961000,-71351000,-15981000,-55812000,-92786000,-24140000,-124063000,-120247000,-76249000,-110976000,- -,-412158000,-365405000,-356788000,-136334000,-352671000,-350392000,-202495000,-107485000,-110645000,-50797000,-624599000,-199242000,-293406000,-758337000
91,Common Stock Issued,- -,200000,1900000,1001830,75133000,23900000,4700000,5495000,63876000,41595000,257562000,144518000,80671000,272000,- -,47014000,- -,162983000,98953000,162747000,434927000,23563000,19382000,12186000,16804000,- -,197643000,222390000,60575000
92,Common Stock Repurchased,- -,- -,- -,- -,-31000,-25165000,-9952000,-4093000,-348000,- -,-83410000,- -,-80754000,-11431000,- -,-37199000,- -,- -,-15456000,-70000000,-155004000,- -,-18431000,-8973000,- -,-50035000,-3598000,-11042000,- -
93,Dividends Paid,-9400000,-9800000,-10000000,-10326618,-13752000,-21887000,-23044000,-23327000,-27671000,-36536000,-47579000,-71446000,-87111000,-93681000,-137259000,-398279000,-53127000,-85608000,-94861000,-103295000,-135539000,-159520000,-164737000,-165858000,-172101000,-175537000,-122843000,-118384000,-128334000
94,Other Financing Activites,-300000,-300000,75700000,18717296,148727000,181019000,66853000,71438000,85841000,65216000,226806000,289898000,608321000,216299000,176232000,-4015000,133325000,138224000,3441000,303825000,640524000,280664000,316784000,41592000,258574000,142560000,74884000,543068000,955198000
95,Cash Used/Provided by Financing Activities,-12800000,-12300000,-15600000,1858853,88116000,86516000,22576000,-6299000,28912000,46135000,229316000,242723000,444878000,483000,38973000,-804637000,-285207000,-141189000,-144257000,-59394000,434516000,-57788000,45513000,-231698000,52480000,-707611000,-53156000,342626000,129102000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-12800000,-12300000,-15600000,-120326,1172000,7444000,-2247000,-4045000,9071000,-1766000,3826000,131034000,-93442000,44032000,314559000,-344308000,-13933000,-1221000,11067000,-29687000,43237000,113816000,-97828000,-6612000,21125000,65091000,-47937000,50111000,11606000
98,Cash at the End of Period,- -,- -,- -,2468189,3640000,11084000,8837000,4792000,13863000,12097000,15923000,146957000,53515000,97547000,412106000,67798000,53865000,52644000,63711000,34024000,77261000,191077000,93249000,86637000,107762000,177247000,129310000,179421000,191027000
99,Cash at the Beginning of Period,4600000,3000000,3100000,2588515,2468000,3640000,11084000,8837000,4792000,13863000,12097000,15923000,146957000,53515000,97547000,412106000,67798000,53865000,52644000,63711000,34024000,77261000,191077000,93249000,86637000,112156000,177247000,129310000,179421000
100,Free Cash Flow,11200000,12400000,7200000,-1982564,-108309000,-103185000,-62868000,13687000,25117000,-56143000,-256654000,-113232000,-652935000,-69115000,287651000,135591000,159307000,164751000,180137000,113858000,157482000,196991000,215820000,230865000,212577000,202305000,174355000,184585000,205139000
