,https://roic.ai/company/BDSI,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,23455,104789,126737,241754,458332,717342,1072890,674922,765782,874106,1266343,1335507,1486807,1347273,1095000,1299000,1408000,6118000,5897000,8827000,7519000,- -
15,EBITDA,-649276,-4358307,-2991343,-2246352,-2368183,-9362055,-18822319,-24512047,-16467219,34232983,-11766599,-21989609,2987399,-55143682,-51107000,-33855000,-62463000,4008000,-17765000,12567000,40495000,22126000
16,EBITDA ratio,-11.5942,-9.1105,-3.6129,-0.7711,-1.3313,-11.0199,-6.7809,-121.3540,-62.5702,0.5450,-3.4558,-6.7392,0.0548,-4.8560,-1.3123,-0.7019,-4.0179,0.0647,-0.3193,0.1128,0.2588,0.1327
17,Operating Income,-796975,-4441139,-3135074,-2557360,-5483828,-9214421,-12311520,-21659873,-17964166,40129218,-16319272,-26987976,7061790,-56401941,-38740000,-35179000,-63935000,-29420000,-23648000,3736000,32979000,37124000
18,Operating Income ratio,-14.2317,-9.2836,-3.7864,-0.8778,-3.0827,-10.8461,-4.4353,-107.2335,-68.2581,0.6388,-4.7929,-8.2711,0.1295,-4.9668,-0.9948,-0.7294,-4.1126,-0.4746,-0.4250,0.0335,0.2108,0.2227
19,Total Other Income Expenses (Gains),21772,-21957,16994,69254,2657313,480520,-5635425,-1287736,731165,-6770341,3286330,3662860,-5280489,-991672,-15478000,-2493000,-3203000,18733000,-10206000,-19036000,-7016000,-7502000
20,Income Before Tax,-775203,-4463096,-3118080,-2488106,-2826515,- -,- -,- -,-17233001,33358877,-13032942,-23325116,1781301,-57393613,-54218000,-37672000,-67138000,-10687000,-33854000,-15300000,25963000,29622000
21,Income Before Tax Ratio,-13.8429,-9.3295,-3.7659,-0.8541,-1.5889,- -,- -,- -,-65.4799,0.5311,-3.8277,-7.1485,0.0327,-5.0541,-1.3922,-0.7811,-4.3187,-0.1724,-0.6084,-0.1374,0.1659,0.1777
22,Income Tax expense (Gain),- -,-18535,-54964,- -,- -,- -,- -,- -,- -,312128,- -,- -,129120,- -,- -,- -,- -,-15972000,13000,5000,252000,-55238000
23,Net Income,-672731,-4444561,-3063116,-2488106,-2826515,-10079397,-19895209,-25186969,-17233001,33046749,-13032942,-23325116,1652181,-57393613,-54218000,-37672000,-67138000,5285000,-33867000,-15305000,25711000,84860000
24,Net Income ratio,-12.0131,-9.2908,-3.6995,-0.8541,-1.5889,-11.8642,-7.1674,-124.6954,-65.4799,0.5261,-3.8277,-7.1485,0.0303,-5.0541,-1.3922,-0.7811,-4.3187,0.0853,-0.6087,-0.1374,0.1643,0.5090
25,EPS,-0.04,-1.15,-0.51,-0.35,-0.40,-1.21,-1.49,-1.64,-0.90,1.63,-0.56,-0.82,0.05,-1.51,-1.12,-0.72,-1.25,0.10,-0.73,-0.18,0.26,0.85
26,EPS Diluted,-0.04,-1.15,-0.51,-0.35,-0.40,-1.21,-1.49,-1.64,-0.90,1.54,-0.56,-0.82,0.05,-1.51,-1.12,-0.72,-1.25,0.09,-0.73,-0.18,0.24,0.82
27,Weighted Average Shares Outstanding,15350000,3851587,6057890,7016679,7054616,8353346,13435091,17771055,19164982,20224706,23150975,28322477,30546581,37941044,48355200,52384876,53679134,55355802,63165063,83213704,99830520,99320285
28,Weighted Average Shares Outstanding Diluted,15350000,15356111,6057890,7016679,7054616,8353346,13435091,17771055,19164982,21499083,23150975,28322477,30689235,37941044,48355200,52384876,53679134,56402479,63165063,83213704,105062522,103292988
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1103021/000119312505123809/0001193125-05-123809-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000119312506071041/0001193125-06-071041-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000119312507252264/0001193125-07-252264-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000119312508050272/0001193125-08-050272-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000119312509059923/0001193125-09-059923-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000119312510061926/0001193125-10-061926-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000119312511062688/0001193125-11-062688-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000119312512121522/0001193125-12-121522-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000119312513112557/0001193125-13-112557-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000119312514098673/0001193125-14-098673-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000119312515094062/0001193125-15-094062-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000119312516500290/0001193125-16-500290-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000119312517085497/0001193125-17-085497-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000119312518084193/0001193125-18-084193-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000119312519074893/0001193125-19-074893-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000110302120000042/0001103021-20-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000110302121000029/0001103021-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000110302122000051/0001103021-22-000051-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,950939,75513,5207303,525670,749932,4914735,2172104,13797093,905720,23873403,18208659,10750205,63189307,23175809,70472000,83560000,32019000,21195000,43822000,63888000,111584000,114309000
32,Short-Term Investments,- -,- -,- -,2027652,- -,- -,- -,2800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,950939,75513,5207303,2553322,749932,4914735,2172104,16597093,905720,23873403,18208659,10750205,63189307,23175809,70472000,83560000,32019000,21195000,43822000,63888000,111584000,114309000
34,Net Receivables,- -,- -,2000000,- -,36435,59038,42118,319911,468987,1268712,633216,101132,520812,2794040,3141000,2488000,3569000,8852000,13627000,38790000,48150000,56867000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1828000,2558000,3368000,6091000,5406000,11312000,17443000,23711000
36,Other Current Assets,54481,111684,201518,222490,242849,211445,189386,160704,184007,287978,236112,229886,226064,630657,2882000,3933000,4136000,3610000,3188000,3769000,5208000,- -
37,Total Current Assets,1005420,187197,7408821,2775812,1029216,5185218,2403608,17077708,1558714,25430093,19077987,11081223,63936183,26600506,78323000,92539000,43092000,39748000,66043000,117759000,182385000,194887000
38,PP&E,253390,233562,435061,1067596,895294,647677,379654,222806,126734,3743011,3424869,3288108,2835707,3022886,3890000,4262000,4230000,3778000,3072000,2075000,1418000,1741000
39,Goodwill,- -,- -,- -,- -,- -,- -,2715000,2715000,2715000,2715000,2715000,2715000,2715000,2715000,2715000,2715000,2715000,2715000,2715000,2715000,2715000,2715000
40,Intangible Assets,- -,- -,517445,477641,5420787,5009563,3880404,6467963,5826908,7129207,7041343,6150363,6179484,5196498,4226000,3256000,2285000,41860000,36703000,60356000,53376000,- -
41,Intangible Assets,- -,- -,517445,477641,5420787,5009563,6595404,9182963,8541908,9844207,9756343,8865363,8894484,7911498,6941000,5971000,5000000,44575000,39418000,63071000,56091000,2715000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56527000
44,Other Non-Current Assets,30124,912810,28855,26953,24726,844430,463268,1504248,3110031,660576,1321007,410516,72276,470535,157000,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,283514,1146372,981361,1572190,6340807,6501670,7438326,10910017,11778673,14247794,14502219,12563987,11802467,11404919,10988000,10233000,9230000,48353000,42490000,65146000,57509000,60983000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,190692000
47,Total Assets,1288934,1333569,8390182,4348002,7370023,11686888,9841934,27987725,13337387,39677887,33580206,23645210,75738650,38005425,89311000,102772000,52322000,88101000,108533000,182905000,239894000,324596000
48,Accounts Payable,- -,- -,538010,158148,758220,1194797,2032765,4109402,2944629,6570593,4656295,- -,- -,- -,9072000,10177000,9397000,12236000,3166000,11704000,4213000,- -
49,Short-Term Debt,- -,432051,12775,225979,333333,1609144,1000000,1386998,76666,- -,- -,- -,- -,7333333,8000000,6707000,- -,- -,- -,- -,- -,4615000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,312128,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1026000,- -
51,Deferred Revenue,- -,- -,2000000,23974,123311,70360,70360,120121,36060500,11758732,12491907,12507471,7990231,2927088,6772000,1875000,1716000,- -,- -,- -,- -,- -
52,Other Current Liabilities,920911,940414,51725,66578,171327,1812247,8949911,8626737,6208825,5290384,4989993,5370097,15253026,14731164,5357000,9324000,8777000,13913000,18373000,42289000,48782000,77763000
53,Total Current Liabilities,920911,1372465,2602510,474679,1386191,4686548,12053036,14243258,45290620,23619709,22138195,17877568,23243257,24991585,29201000,28083000,19890000,26149000,21539000,53993000,52995000,82378000
54,Long-Term Debt,- -,151733,4742,732354,- -,1623144,4003250,- -,- -,- -,- -,- -,- -,11844706,4173000,22168000,29272000,47660000,51652000,58568000,78452000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,1599879,1655681,1647249,2718180,1281485,841000,20000000,20000000,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,30718,18369,- -,- -,- -,- -,- -,32532252,1628539,- -,- -,- -,- -,700000,700000,825000,825000,5415000,5600000,580000,213000,54396000
58,Total Non-Current Liabilities,30718,170102,4742,732354,- -,1623144,4003250,32532252,1628539,1599879,1655681,1647249,2718180,13826191,5714000,42993000,50097000,53075000,57252000,59148000,78665000,54396000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,951629,1542567,2607252,1207033,1386191,6309692,16056286,46775510,46919159,25219588,23793876,19524817,25961437,38817776,34915000,71076000,69987000,79224000,78791000,113141000,131660000,136774000
62,Preferred Stock,- -,- -,- -,- -,5155883,5155883,5155883,- -,- -,- -,- -,- -,2709,2709,2000,2000,2000,2000,2000,2000,- -,- -
63,Common Stock,15350,5001,7086,7086,7246,11829,14049,19101,19179,21182,24039,29578,37499,38204,52000,53000,54000,56000,71000,96000,104000,104000
64,Retained Earnings,-672806,-5117367,-8180483,-10668589,-13495104,-23574501,-43469710,-75027266,-92260267,-59213518,-72246460,-95571576,-93919395,-151313008,-205531000,-243203000,-310341000,-305056000,-351288000,-366593000,-340882000,-256022000
65,Other Comprehensive Income/Loss,- -,- -,-251392,-683432,-967683,-1249076,-1526646,-1789128,-1913104,-1271422,-1693548,-2138075,-1531090,-1738532,-1685000,-2014000,-2451000,-3028000,-3846000,-5613000,- -,- -
66,Other Total Stockholders Equity,994761,4903368,14207719,14485904,15283490,25033061,33612072,58009508,60572420,74922057,83702299,101800466,145187490,152198276,261558000,276858000,295071000,316903000,384803000,441872000,449012000,443740000
67,Total Stockholders Equity,337305,-208998,5782930,3140969,5983832,5377196,-6214352,-18787785,-33581772,14458299,9786330,4120393,49777213,-812351,54396000,31696000,-17665000,8877000,29742000,69764000,108234000,187822000
68,Total Liabilities And Stockholders Equity,1288934,1333569,8390182,4348002,7370023,11686888,9841934,27987725,13337387,39677887,33580206,23645210,75738650,38005425,89311000,102772000,52322000,88101000,108533000,182905000,239894000,324596000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1288934,1333569,8390182,4348002,7370023,11686888,9841934,27987725,13337387,39677887,33580206,23645210,75738650,38005425,89311000,102772000,52322000,88101000,108533000,182905000,239894000,324596000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1103021/000119312505123809/0001193125-05-123809-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000119312506071041/0001193125-06-071041-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000119312507252264/0001193125-07-252264-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000119312508050272/0001193125-08-050272-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000119312509059923/0001193125-09-059923-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000119312510061926/0001193125-10-061926-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000119312511062688/0001193125-11-062688-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000119312512121522/0001193125-12-121522-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000119312513112557/0001193125-13-112557-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000119312514098673/0001193125-14-098673-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000119312515094062/0001193125-15-094062-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000119312516500290/0001193125-16-500290-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000119312517085497/0001193125-17-085497-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000119312518084193/0001193125-18-084193-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000119312519074893/0001193125-19-074893-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000110302120000042/0001103021-20-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000110302121000029/0001103021-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000110302122000051/0001103021-22-000051-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-672731,-4444561,-3063116,-2488106,-2826515,-10079397,-19895209,-25186969,-17233001,33046749,-13032942,-23325116,1652181,-57393613,-54218000,-37672000,-67138000,5285000,-33867000,-15305000,25711000,84860000
74,Depreciation and Amortization,23455,104789,126737,241754,458332,717342,1072890,674922,765782,874106,1266343,1335507,1486807,1347273,1095000,1299000,1408000,6118000,5897000,8827000,7519000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15972000,40000,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,2003031,1376467,1226724,1619269,3327014,6883000,14249000,14931000,14801000,5941000,5416000,9595000,- -
77,Change in Working Capital,518222,-1269777,5991579,-2505178,-2658108,855645,-10148098,12483878,-46566356,45542290,-4870592,-3736137,47489271,-39084005,47513079,15334000,-41254000,-9603000,30905000,19262000,65624000,-16881000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-809724,635526,530544,-419680,-2273228,-347000,653000,-1081000,-5884000,-4640000,-25163000,-9360000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1828000,-730000,-810000,2448000,741000,-6102000,-8001000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5567962,-656795,4325000,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,84509,-1185268,4806311,2301133,-356975,498670,-9649428,2834450,-43731906,1810384,-3060208,-6796345,40692926,1608921,49122000,64456000,23202000,13599000,44504000,63766000,129390000,112509000
82,Other Non-Cash Items,-158472,3978082,-5569931,2328357,2094615,796321,19289526,24244926,53217636,-63276142,3578427,1224028,-40060204,31700515,-30106079,3058000,38071000,-33080000,-33029000,-7128000,-83468000,-67979000
83,Cash Provided by Operating Activities,-289526,-1631467,-2514731,-2423173,-2931676,-7710089,-9680891,12216757,-9815939,18190034,-11682297,-23274994,12187324,-60102816,-28833000,-3732000,-53982000,-32451000,-24113000,11072000,24981000,- -
84,CAPEX,- -,-84862,-325436,-832583,-111949,-33776,-1009546,-3074438,-28364,-2749983,-1103985,-286973,-1088550,-76893,-1603000,-701000,-405000,-5864000,-2063000,-79000,-13000,- -
85,Acquisitions Net,- -,-116375,- -,- -,57675,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5853000,-1951000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-375044,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,2017753,- -,- -,- -,375044,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,380465,- -,- -,-2027652,- -,- -,- -,-3536545,758838,-2000000,-1000000,- -,-1050000,- -,- -,- -,- -,- -,- -,-30685000,- -,- -
89,Cash Used for Investing Activites,380465,-201237,-325436,-2860235,1963479,-33776,-1009546,-6610983,730474,-2749983,-1103985,-286973,-1088550,-76893,-1603000,-701000,-405000,-5864000,-2063000,-30764000,-13000,- -
90,Debt Repayment,-150000,-123743,- -,- -,- -,- -,- -,- -,- -,-76665,-2723844,- -,- -,- -,-7333000,-3335000,- -,-30000000,- -,-70140000,- -,- -
91,Common Stock Issued,- -,805000,8571397,- -,1722000,7905766,7000900,4177984,108063,5108069,- -,1749259,- -,- -,- -,- -,2460000,- -,- -,48000000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-353894,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-205000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1010000,276021,-599440,955669,-529541,4002902,946906,1841231,-3913971,2496228,9845381,14354254,41340328,20166211,85065000,20856000,386000,57491000,48803000,61898000,22933000,- -
95,Cash Used/Provided by Financing Activities,860000,957278,7971957,601775,1192459,11908668,7947806,6019215,-3805908,7527632,7121537,16103513,41340328,20166211,77732000,17521000,2846000,27491000,48803000,39758000,22728000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-875426,5131790,-4681633,224262,4164803,-2742631,11624989,-12891373,22967683,-5664744,-7458454,52439102,-40013498,47296000,13088000,-51541000,-10824000,22627000,20066000,47696000,- -
98,Cash at the End of Period,950939,75513,5207303,525670,749932,4914735,2172104,13797093,905720,23873403,18208659,10750205,63189307,23175809,70472000,83560000,32019000,21195000,43822000,63888000,111584000,- -
99,Cash at the Beginning of Period,- -,950939,75513,5207303,525670,749932,4914735,2172104,13797093,905720,23873403,18208659,10750205,63189307,23176000,70472000,83560000,32019000,21195000,43822000,63888000,111584000
100,Free Cash Flow,-289526,-1716329,-2840167,-3255756,-3043625,-7743865,-10690437,9142319,-9844303,15440051,-12786282,-23561967,11098774,-60179709,-30436000,-4433000,-54387000,-38315000,-26176000,10993000,24968000,- -
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1103021/000119312505123809/0001193125-05-123809-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000119312506071041/0001193125-06-071041-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000119312507252264/0001193125-07-252264-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000119312508050272/0001193125-08-050272-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000119312509059923/0001193125-09-059923-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000119312510061926/0001193125-10-061926-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000119312511062688/0001193125-11-062688-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000119312512121522/0001193125-12-121522-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000119312513112557/0001193125-13-112557-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000119312514098673/0001193125-14-098673-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000119312515094062/0001193125-15-094062-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000119312516500290/0001193125-16-500290-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000119312517085497/0001193125-17-085497-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000119312518084193/0001193125-18-084193-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000119312519074893/0001193125-19-074893-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000110302120000042/0001103021-20-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000110302121000029/0001103021-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1103021/000110302122000051/0001103021-22-000051-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,
