,https://roic.ai/company/AXGN,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,200000,2200000,2400000,2400000,2200000,2400000,3200000,3800000,6600000,6700000,5300000,4900000,6800000,8919738,8434464,4131536,2986781,1189601,769874,524038,900352,1129501,8955595,1939798,9391653,13531763,18099748,23176010,31749406,42770150,59066096,91514000,120769000,113901000,129843000
11,COGS and Expenses,4200000,4800000,5700000,6200000,6900000,6900000,8500000,9900000,14100000,13700000,12200000,13300000,14100000,17486843,18940695,9343969,8482093,1189601,769874,524038,900352,1129501,8955595,1939798,11818197,15493640,20539566,26618193,36597802,49237400,68377681,104437000,138118000,135482000,152774000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61846,- -,16081,1954,23179,- -,- -,- -,- -,- -,- -,- -,- -,2364000,- -,- -
13,Interest Expense (Gain),- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37793,- -,- -,- -,- -,- -,- -,- -,2317783,2378186,4998572,7912835,4116531,6261657,2463402,1208000,40000,1054000,1356000
14,Depreciation and Amortization,200000,300000,300000,300000,300000,300000,500000,600000,900000,1100000,1000000,800000,900000,908024,521276,625136,523267,212284,20042,25460,22273,23124,23009,19767,340675,314829,138332,198894,248968,436488,566604,851000,2877000,3460000,4741000
15,EBITDA,900000,1500000,1200000,900000,1600000,1700000,1400000,1400000,1100000,500000,-1300000,400000,-800000,-1990186,1912768,-2003118,-717701,2507515,-510570,-341722,-726707,-1017585,16110744,-1805579,-6560762,-7463135,-9419981,-9598747,-8990926,-7712999,-7415456,-20338000,-26218000,-19272000,-20888000
16,EBITDA ratio,0.1915,0.2586,0.1875,0.1324,0.2000,0.2099,0.1522,0.1308,0.0780,0.0382,-0.1057,0.0310,-0.0650,-0.1363,0.1201,-0.2923,-0.0992,2.3545,-1.1516,-2.6979,-7.2359,-13.9949,0.6467,-19.7822,-1.3529,-0.9703,-0.8605,-0.5708,-0.3290,-0.1876,-0.1227,-0.2423,-0.2457,-0.1716,-0.1640
17,Operating Income,500000,1000000,700000,600000,1100000,1200000,700000,800000,- -,-600000,100000,-400000,-1800000,-2890497,-3315622,-2491878,-1245158,-124601,-326522,-397378,-799921,-1056790,15955781,-1848525,-6968727,-7801936,-9592205,-9800790,-9266710,-8129862,-7951286,-20500000,-31406000,-23182000,-25416000
18,Operating Income ratio,0.1064,0.1724,0.1094,0.0882,0.1375,0.1481,0.0761,0.0748,- -,-0.0458,0.0081,-0.0310,-0.1463,-0.1980,-0.2082,-0.3637,-0.1721,-0.1170,-0.7365,-3.1374,-7.9649,-14.5341,0.6405,-20.2527,-1.4370,-1.0143,-0.8762,-0.5828,-0.3391,-0.1978,-0.1316,-0.2442,-0.2943,-0.2064,-0.1996
19,Total Other Income Expenses (Gains),200000,200000,200000,-100000,200000,200000,200000,- -,100000,100000,-2200000,100000,100000,-7713,4707114,-136376,-33603,- -,- -,- -,- -,- -,1954,23179,67290,-2354214,-4964680,-7909686,-4089715,-6281282,-2494176,-1897000,2271000,-604000,-1569000
20,Income Before Tax,700000,1200000,900000,500000,1300000,1400000,900000,800000,- -,- -,- -,- -,- -,-2898210,1391492,-2628254,-1278761,-124601,-326522,- -,- -,- -,15957735,-1825346,- -,-10156150,-14556885,-17710476,-13356425,-14411144,-10445462,-22397000,-29135000,-23786000,-26985000
21,Income Before Tax Ratio,0.1489,0.2069,0.1406,0.0735,0.1625,0.1728,0.0978,0.0748,- -,- -,- -,- -,- -,-0.1986,0.0874,-0.3836,-0.1767,-0.1170,-0.7365,- -,- -,- -,0.6406,-19.9988,- -,-1.3204,-1.3297,-1.0531,-0.4887,-0.3506,-0.1729,-0.2668,-0.2730,-0.2118,-0.2119
22,Income Tax expense (Gain),200000,300000,300000,100000,400000,400000,200000,200000,- -,- -,- -,- -,- -,-38934,48000,-25473,3000,-1448,- -,- -,- -,- -,1041403,-509047,- -,-738192,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,500000,900000,600000,400000,900000,1000000,700000,600000,200000,-600000,-2300000,-400000,-1700000,-2859276,1343492,-2602781,-1281761,2296679,-530612,-367182,-748980,-1040709,15046332,-1316299,-9219220,-9417958,-14556885,-17710476,-13356425,-14411144,-10445462,-22397000,-29135000,-23786000,-26985000
24,Net Income ratio,0.1064,0.1552,0.0938,0.0588,0.1125,0.1235,0.0761,0.0561,0.0142,-0.0458,-0.1870,-0.0310,-0.1382,-0.1959,0.0843,-0.3799,-0.1771,2.1565,-1.1968,-2.8990,-7.4577,-14.3130,0.6040,-14.4216,-1.9011,-1.2244,-1.3297,-1.0531,-0.4887,-0.3506,-0.1729,-0.2668,-0.2730,-0.2118,-0.2119
25,EPS,0.18,0.26,0.17,0.11,0.26,0.26,0.20,0.17,0.04,-0.17,-0.59,-0.10,-0.43,-0.74,0.34,-0.66,-0.32,0.57,-0.13,-0.09,-0.18,-0.24,3.51,-0.31,-2.77,-0.85,-1.08,-0.99,-0.51,-0.47,-0.31,-0.60,-0.74,-0.60,-0.68
26,EPS Diluted,0.18,0.26,0.17,0.11,0.25,0.26,0.20,0.17,0.04,-0.17,-0.59,-0.10,-0.43,-0.74,0.34,-0.66,-0.32,0.57,-0.13,-0.09,-0.18,-0.24,3.49,-0.31,-2.77,-0.85,-1.08,-0.99,-0.51,-0.47,-0.31,-0.60,-0.74,-0.60,-0.68
27,Weighted Average Shares Outstanding,2777778,3461538,3529412,3636364,3461538,3846154,3500000,3529412,3826905,3801155,3836618,4005455,3906694,3885911,3911577,3957445,3967529,4011631,4134232,4148998,4165724,4274455,4290026,4304204,3697390,11089425,13499793,17721742,26075670,30702164,33322767,37127000,39235000,39967000,39967000
28,Weighted Average Shares Outstanding Diluted,2777778,3461538,3529412,3636364,3600000,3846154,3500000,3529412,3826905,3801155,3863636,4005455,4000000,3885911,3925851,3957445,3967529,4121212,4134232,4148998,4165724,4274455,4309258,4304204,3697390,11089425,13499793,17721742,26075670,30702164,33322767,37127000,39235000,39967000,39967000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/805928/000089710195000371/0000897101-95-000371-index.html,https://www.sec.gov/Archives/edgar/data/805928/000089710196000842/0000897101-96-000842-index.html,https://www.sec.gov/Archives/edgar/data/805928/000089710197001039/0000897101-97-001039-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/805928/000089710100000947/0000897101-00-000947-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/805928/000095013708005338/0000950137-08-005338-index.htm,https://www.sec.gov/Archives/edgar/data/805928/000095013709002466/0000950137-09-002466-index.htm,https://www.sec.gov/Archives/edgar/data/805928/000114420410017650/0001144204-10-017650-index.htm,https://www.sec.gov/Archives/edgar/data/805928/000095012311030929/0000950123-11-030929-index.htm,https://www.sec.gov/Archives/edgar/data/805928/000119312512116287/0001193125-12-116287-index.htm,https://www.sec.gov/Archives/edgar/data/805928/000119312513103379/0001193125-13-103379-index.htm,https://www.sec.gov/Archives/edgar/data/805928/000110465914017051/0001104659-14-017051-index.htm,https://www.sec.gov/Archives/edgar/data/805928/000110465915017126/0001104659-15-017126-index.htm,https://www.sec.gov/Archives/edgar/data/805928/000155837016003691/0001558370-16-003691-index.htm,https://www.sec.gov/Archives/edgar/data/805928/000155837017001241/0001558370-17-001241-index.htm,https://www.sec.gov/Archives/edgar/data/805928/000155837018001268/0001558370-18-001268-index.htm,https://www.sec.gov/Archives/edgar/data/805928/000155837019001095/0001558370-19-001095-index.htm,https://www.sec.gov/Archives/edgar/data/805928/000155837020001238/0001558370-20-001238-index.htm,https://www.sec.gov/Archives/edgar/data/805928/000080592821000044/0000805928-21-000044-index.htm,https://www.sec.gov/Archives/edgar/data/805928/000080592822000026/0000805928-22-000026-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1000000,800000,1200000,600000,500000,1500000,400000,800000,800000,800000,700000,2200000,1000000,100171,- -,671588,483844,2239318,1310578,1281785,832925,332848,15766107,7076827,8190781,13907401,20069750,8215791,25909500,30014405,36506624,24294000,35724000,48767000,32756000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92311000,60786000,55199000,51330000
33,Cash and Short-Term Investments,1000000,800000,1200000,600000,500000,1500000,400000,800000,800000,800000,700000,2200000,1000000,100171,- -,671588,483844,2239318,1310578,1281785,832925,332848,15766107,7076827,8190781,13907401,20069750,8215791,25909500,30014405,36506624,116605000,96510000,103966000,84086000
34,Net Receivables,900000,1200000,1500000,1700000,1600000,1400000,1600000,2100000,2400000,2100000,2600000,2300000,2400000,2645710,- -,318896,203866,- -,214906,- -,100431,32586,31525,42117,797654,1050089,1893699,2872308,4782989,8052203,11064720,15321000,16944000,17618000,18158000
35,Inventory,500000,700000,800000,1100000,1000000,1300000,900000,1800000,2100000,2000000,2600000,1700000,2000000,2247686,- -,1010789,1093469,- -,- -,- -,- -,- -,- -,- -,1760540,3151109,3398438,3213620,3933960,5458840,7315942,11982000,13861000,12529000,16693000
36,Other Current Assets,- -,100000,- -,1100000,1200000,1300000,3200000,1400000,500000,500000,1000000,500000,500000,242543,- -,112831,220813,330610,66735,66285,62877,88823,975423,2968224,133500,187256,296719,109369,424925,511804,853381,7045000,7706000,11138000,8112000
37,Total Current Assets,2400000,2800000,3500000,4500000,4300000,5500000,6100000,6100000,5800000,5400000,6900000,6700000,5900000,5236110,- -,2114104,2001992,2569928,1592219,1348070,996233,454257,16773055,10087168,10882475,18295855,25658606,14411088,35051374,44037252,55740667,150953000,135021000,145251000,127049000
38,PP&E,900000,1000000,1900000,2100000,2500000,3000000,3000000,2900000,5600000,5100000,4600000,4300000,4000000,3039088,- -,1750241,477063,- -,- -,- -,- -,5932,5569,3648,247824,108534,381689,619028,970870,1494247,2197039,8039000,18107000,54075000,78116000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,169987,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,100000,200000,200000,200000,200000,200000,300000,900000,700000,600000,400000,300000,200000,199351,- -,285862,211595,50693,90651,65191,42918,43775,29811,52661,899480,573731,570396,577174,678082,828979,936992,1181000,1515000,2054000,2859000
41,Intangible Assets,100000,200000,200000,200000,200000,200000,300000,900000,700000,600000,400000,300000,200000,199351,- -,285862,211595,50693,90651,65191,42918,43775,29811,52661,1069467,573731,570396,577174,678082,828979,936992,1181000,1515000,2054000,2859000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,3300000,2900000,2600000,1600000,1400000,1200000,1600000,2500000,600000,1200000,-100000,- -,- -,- -,- -,- -,- -,182513,141955,101396,60838,20279,- -,- -,295276,1252443,1073579,793499,845727,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,4300000,4100000,4700000,3900000,4100000,4400000,4900000,6300000,6900000,6900000,4900000,4600000,4200000,3238439,- -,2036103,688658,233206,232606,166587,103756,69986,35380,56309,1612567,1934708,2025664,1989701,2494679,2323226,3134031,9220000,19622000,56129000,80975000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,6700000,6900000,8200000,8400000,8400000,9900000,11000000,12400000,12700000,12300000,11800000,11300000,10100000,8474549,- -,4150207,2690650,2803134,1824825,1514657,1099989,524243,16808435,10143477,12495042,20230563,27684270,16400789,37546053,46360478,58874698,160173000,154643000,201380000,208024000
48,Accounts Payable,- -,- -,- -,400000,500000,300000,300000,1000000,800000,900000,800000,800000,1700000,1910551,- -,587650,336749,4944,10495,14479,13407,26155,84659,62305,1585100,- -,- -,1160859,2090874,4418706,3237962,4517000,8262000,4597000,5923000
49,Short-Term Debt,100000,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,860104,- -,1154404,232564,2525,- -,- -,- -,- -,- -,- -,434734,- -,- -,- -,- -,4045922,4735017,28000,1736000,863000,1834000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,993403,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14118,14118,14118,33282,31668,18000,14000,- -,- -
52,Other Current Liabilities,600000,600000,500000,300000,200000,200000,300000,400000,500000,300000,2000000,600000,700000,952894,- -,1430584,2212667,513583,150365,203395,187767,184901,5662607,52044,- -,1479752,2083942,1270335,1604253,2583459,5714099,8481000,10868000,17371000,16536000
53,Total Current Liabilities,700000,700000,600000,700000,700000,500000,600000,1400000,1300000,1200000,2800000,1400000,2400000,3723549,- -,3172638,2781980,521052,160860,217874,201174,211056,5747266,114349,2019834,1479752,2098060,2445312,3709245,11081369,13718746,13044000,20880000,22831000,24293000
54,Long-Term Debt,500000,400000,1200000,800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,31184,- -,10770,62438,- -,- -,- -,- -,- -,- -,- -,4403737,21580252,25363695,25085777,25547420,20265745,19905286,35000,1595000,32027000,65619000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85882,115380,93797,92215,68631,42000,15000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,100000,100000,200000,200000,200000,200000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,100000,- -,-100000,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70000,- -,23374000,5562000
58,Total Non-Current Liabilities,600000,400000,1100000,800000,- -,- -,100000,200000,200000,200000,200000,200000,200000,31184,- -,10770,62438,- -,- -,- -,- -,- -,- -,- -,4403737,21580252,25449577,25201157,25641217,20357960,19973917,147000,1610000,55401000,71181000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20874000,22632000
61,Total Liabilities,1300000,1100000,1700000,1500000,700000,500000,700000,1600000,1500000,1400000,3000000,1600000,2600000,3754733,- -,3183408,2844418,521052,160860,217874,201174,211056,5747266,114349,6423571,23060004,27547637,27646469,29350462,31439329,33692663,13191000,22490000,78232000,95474000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39045,- -,39664,39793,40303,41490,41490,41760,42900,42900,43050,110622,111226,173395,194888,299846,330088,343503,389000,396000,406000,417000
64,Retained Earnings,1300000,2200000,2900000,3300000,4200000,3600000,2500000,1100000,1200000,600000,-1700000,-2100000,-3800000,-6640334,- -,-10462543,-11744304,-9447625,-10225061,-10592243,-11341223,-12381932,-1633950,-2950249,-48430935,-57848893,-72405778,-90116254,-103472679,-117883823,-128329285,-150726000,-179861000,-203647000,-230632000
65,Other Comprehensive Income/Loss,-500000,-800000,-800000,-900000,-1100000,-1100000,-1700000,-2300000,-2800000,-3500000,-4200000,-4900000,-5600000,-4582686,- -,-5430431,-4845328,- -,- -,- -,- -,-701,-3021,-6199,-1318639,-1502304,-1581536,-1735205,-1938346,-1801137,-2288749,-2861000,-3764000,- -,- -
66,Other Total Stockholders Equity,4600000,4400000,4400000,4500000,4600000,6900000,9500000,12000000,12800000,13800000,14700000,16700000,16900000,15903791,- -,16820109,16396071,11689404,11847536,11847536,12198278,12652920,12655240,12942526,55710423,56410530,73950552,80410891,113306770,134276021,155456566,300180000,315382000,326390000,- -
67,Total Stockholders Equity,5400000,5800000,6500000,6900000,7700000,9400000,10300000,10800000,11200000,10900000,8800000,9700000,7500000,4719816,- -,966799,-153768,2282082,1663965,1296783,898815,313187,11061169,10029128,6071471,-2829441,136633,-11245680,8195591,14921149,25182035,146982000,132153000,123149000,112550000
68,Total Liabilities And Stockholders Equity,6700000,6900000,8200000,8400000,8400000,9900000,11000000,12400000,12700000,12300000,11800000,11300000,10100000,8474549,- -,4150207,2690650,2803134,1824825,1514657,1099989,524243,16808435,10143477,12495042,20230563,27684270,16400789,37546053,46360478,58874698,160173000,154643000,201381000,208024000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000,- -
70,Total Liabilities & Equity,6700000,6900000,8200000,8400000,8400000,9900000,11000000,12400000,12700000,12300000,11800000,11300000,10100000,8474549,- -,4150207,2690650,2803134,1824825,1514657,1099989,524243,16808435,10143477,12495042,20230563,27684270,16400789,37546053,46360478,58874698,160173000,154643000,201380000,208024000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/805928/000089710195000371/0000897101-95-000371-index.html,https://www.sec.gov/Archives/edgar/data/805928/000089710196000842/0000897101-96-000842-index.html,https://www.sec.gov/Archives/edgar/data/805928/000089710197001039/0000897101-97-001039-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/805928/000089710100000947/0000897101-00-000947-index.html,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/805928/000095013708005338/0000950137-08-005338-index.htm,https://www.sec.gov/Archives/edgar/data/805928/000095013709002466/0000950137-09-002466-index.htm,https://www.sec.gov/Archives/edgar/data/805928/000114420410017650/0001144204-10-017650-index.htm,https://www.sec.gov/Archives/edgar/data/805928/000095012311030929/0000950123-11-030929-index.htm,https://www.sec.gov/Archives/edgar/data/805928/000119312512116287/0001193125-12-116287-index.htm,https://www.sec.gov/Archives/edgar/data/805928/000119312513103379/0001193125-13-103379-index.htm,https://www.sec.gov/Archives/edgar/data/805928/000110465914017051/0001104659-14-017051-index.htm,https://www.sec.gov/Archives/edgar/data/805928/000110465915017126/0001104659-15-017126-index.htm,https://www.sec.gov/Archives/edgar/data/805928/000155837016003691/0001558370-16-003691-index.htm,https://www.sec.gov/Archives/edgar/data/805928/000155837017001241/0001558370-17-001241-index.htm,https://www.sec.gov/Archives/edgar/data/805928/000155837018001268/0001558370-18-001268-index.htm,https://www.sec.gov/Archives/edgar/data/805928/000155837019001095/0001558370-19-001095-index.htm,https://www.sec.gov/Archives/edgar/data/805928/000155837020001238/0001558370-20-001238-index.htm,https://www.sec.gov/Archives/edgar/data/805928/000080592821000044/0000805928-21-000044-index.htm,https://www.sec.gov/Archives/edgar/data/805928/000080592822000026/0000805928-22-000026-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,400000,900000,1000000,700000,600000,200000,-600000,-2300000,-400000,-1700000,-2859276,1343492,-2602781,-1281761,2296679,-530612,-367182,-748980,-1040709,15046332,-1316299,-9219220,-9417958,-14556885,-17710476,-13356425,-14411144,-10445462,-22397000,-29135000,-23786000,-26985000
74,Depreciation and Amortization,- -,- -,- -,300000,300000,300000,500000,600000,900000,1100000,1000000,800000,900000,908024,521276,625136,523267,212284,20042,25460,22273,23124,23009,19767,340675,314829,138332,198894,248968,436488,566604,851000,2877000,3460000,4741000
75,Deferred Income Tax,- -,- -,- -,-100000,100000,- -,- -,100000,-100000,-100000,- -,- -,- -,157000,- -,- -,- -,- -,- -,- -,- -,- -,48000,-586000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,455081,- -,245258,250044,495077,671887,956449,1316509,1390277,3608918,7606000,10304000,8470000,10919000
77,Change in Working Capital,- -,- -,- -,-200000,900000,-200000,1400000,500000,-800000,-200000,-300000,-100000,1200000,-1800000,-1987439,-2571095,278546,2828864,-617517,-301163,-335137,-551858,10782588,-1052970,-1110178,7953462,6744443,-11594770,19376353,1613754,9066038,95887079,-23768000,8279000,-6278000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-368954,-252435,-902227,-1014087,-2036052,-3348807,-3235840,-5108000,-2136000,-635000,-499000
79,Inventory,- -,- -,- -,-200000,100000,- -,- -,-800000,-300000,-300000,-600000,900000,-300000,-336162,-177646,516754,-82680,- -,- -,- -,- -,- -,- -,- -,142249,-1390570,-247329,184818,-720340,-1524880,-1857102,-6009000,-3767000,-910000,-7478000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12748,58504,-22354,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-270000
81,Other Working Capital,- -,- -,- -,2900000,3800000,3600000,5000000,5500000,4700000,4500000,4200000,4100000,5300000,3500000,1512561,-1058534,-779988,2048876,1431359,1130196,795059,243201,11025789,9972819,8862641,16816103,23560546,11965776,31342129,32955883,42021921,137909000,114141000,122420000,-3000
82,Other Non-Cash Items,- -,- -,- -,200000,-900000,- -,-1200000,-1500000,-100000,- -,1700000,1200000,-600000,2322393,-2800451,3793719,452648,-4458988,418469,614092,594897,644198,-10457988,260583,2659389,-8007268,-3442535,17698844,-20637224,-233817,-12033697,-99809079,19850000,-6049000,4198000
83,Cash Provided by Operating Activities,- -,- -,- -,600000,1300000,1100000,1400000,300000,100000,200000,100000,1500000,-200000,-1271859,-2923122,-755021,-27300,878839,-709618,-28793,-466947,-470164,15441941,-2429661,-7079290,-8661858,-10444758,-10451059,-13051819,-11204442,-9237599,-17862000,-19872000,-9626000,-13405000
84,CAPEX,- -,- -,- -,-200000,-600000,-700000,-500000,-2100000,-1500000,-400000,-200000,-400000,-400000,-424448,-371906,-21070,-22001,-74550,- -,- -,- -,-29913,-8682,-40696,-89466,-127284,-243965,-594047,-555518,-1189555,-1292218,-6603000,-5226000,-22597000,-28400000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7201638,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-2400000,-2300000,-2700000,-4100000,-3000000,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1959573,- -,- -,- -,- -,- -,- -,- -,-114736000,-121074000,-77806000,-68699000
87,Sales/Maturities of Investments,- -,- -,- -,2700000,2400000,2900000,2300000,5300000,1700000,- -,- -,600000,- -,- -,11076,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23146000,153571000,83440000,72500000
88,Other Investing Activites,- -,- -,- -,-100000,- -,-100000,-300000,-200000,-200000,-200000,-100000,-100000,-100000,-138553,6525773,-81002,795095,937227,-60000,- -,- -,-23280,-6725,-39439,-68856,-78825,-65189,-52002,-146736,-225768,-187006,-321000,-562000,-692000,361000
