,https://roic.ai/company/OMI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,33200000,37500000,43400000,55800000,74500000,88600000,85000000,95900000,114000000,206200000,241300000,256300000,259200000,257800000,261600000,289720000,319276000,322941000,345493000,353170000,398680000,494032000,571771000,536535000,585640000,611789000,654022000,717737000,906548000,967629000,985810000,963036000,1021908000,1257324000,1025290000,1038964000,1110680000
11,COGS and Expenses,356800000,455200000,562800000,715000000,941600000,1197800000,1006500000,1148900000,1363700000,2369700000,2950000000,2976900000,3059200000,3013000000,3113200000,3417631000,3726034000,3862852000,4143566000,4414976000,4704982000,5430972000,6657253000,7062512000,7836349000,7927672000,8424397000,8701228000,8861005000,9237845000,9544183000,9499157000,9168317000,9729069000,9107738000,8238307000,9382766000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),2200000,2800000,- -,2900000,6700000,7600000,4500000,2500000,2900000,12100000,25500000,19000000,- -,14100000,- -,12566000,13363000,10403000,8958000,12258000,11858000,13273000,22983000,15999000,13028000,14323000,- -,13397000,13098000,18163000,27149000,27057000,31773000,77021000,98113000,83398000,48090000
14,Depreciation and Amortization,1400000,1800000,2400000,3100000,3600000,5300000,6100000,5900000,7600000,13000000,15400000,16100000,17700000,18300000,19400000,21515000,22469000,15926000,15718000,14884000,19252000,28933000,39140000,21955000,25265000,29148000,34135000,39604000,50586000,63407000,65982000,55393000,59443000,101927000,116678000,93336000,90621000
15,EBITDA,11800000,14100000,13500000,19800000,15000000,27100000,29400000,39300000,42500000,39100000,24500000,58200000,59600000,67100000,69500000,94241000,93341000,104576000,112475000,124752000,136684000,120286000,182353000,194750000,214339000,225084000,223968000,236357000,248669000,208053000,266341000,254992000,148694000,-290247000,146285000,228439000,415465000
16,EBITDA ratio,0.0321,0.0302,0.0234,0.0271,0.0157,0.0222,0.0286,0.0334,0.0304,0.0163,0.0082,0.0193,0.0191,0.0218,0.0218,0.0269,0.0245,0.0264,0.0265,0.0276,0.0283,0.0217,0.0268,0.0269,0.0267,0.0277,0.0260,0.0265,0.0274,0.0220,0.0273,0.0262,0.0160,-0.0295,0.0159,0.0269,0.0425
17,Operating Income,10500000,12400000,14000000,16600000,11300000,21800000,20900000,28400000,33300000,26100000,26500000,42100000,57600000,69100000,73200000,85952000,90436000,97416000,100501000,110129000,117432000,102764000,143213000,180725000,201275000,195936000,203515000,196753000,198083000,159536000,200359000,199599000,89251000,-392174000,73151000,204118000,368473000
18,Operating Income ratio,0.0286,0.0265,0.0243,0.0227,0.0119,0.0179,0.0203,0.0241,0.0238,0.0109,0.0089,0.0139,0.0185,0.0224,0.0230,0.0245,0.0237,0.0246,0.0237,0.0243,0.0244,0.0186,0.0211,0.0250,0.0250,0.0241,0.0236,0.0221,0.0218,0.0169,0.0205,0.0205,0.0096,-0.0399,0.0079,0.0241,0.0377
19,Total Other Income Expenses (Gains),-2300000,-2900000,-2900000,-2800000,-6600000,-7600000,-4400000,-2500000,-2900000,-12100000,-42900000,-19000000,-15700000,-34400000,-23100000,-25792000,-25859000,-19219000,-12702000,-12519000,-11858000,-24684000,-22983000,-15999000,-13028000,-14323000,-13682000,-13397000,-13098000,-33053000,-27149000,-27057000,-31773000,-77021000,-101870000,-94210000,-91719000
20,Income Before Tax,8200000,9500000,11100000,13800000,4700000,14200000,16500000,25900000,30400000,14000000,-16400000,23100000,41900000,34700000,50100000,60160000,64577000,78197000,87799000,97610000,105574000,78080000,120230000,164726000,188247000,181613000,189833000,183356000,184985000,126483000,173210000,172542000,57478000,-469195000,-28719000,109908000,276754000
21,Income Before Tax Ratio,0.0223,0.0203,0.0192,0.0189,0.0049,0.0116,0.0161,0.0220,0.0218,0.0058,-0.0055,0.0077,0.0134,0.0113,0.0157,0.0172,0.0169,0.0197,0.0207,0.0216,0.0219,0.0141,0.0177,0.0227,0.0234,0.0224,0.0220,0.0206,0.0204,0.0134,0.0177,0.0177,0.0062,-0.0477,-0.0031,0.0130,0.0283
22,Income Tax expense (Gain),3800000,4600000,4600000,5400000,2200000,5400000,6700000,10500000,11900000,6100000,-5100000,10100000,17600000,14600000,22100000,27072000,34474000,30980000,34158000,37110000,41154000,29328000,47520000,63469000,71388000,71034000,74635000,74353000,74103000,59980000,69801000,63755000,-15315000,-32183000,-6135000,21834000,55165000
23,Net Income,4400000,4900000,6500000,8400000,2500000,8800000,12100000,20400000,20100000,7900000,-11300000,13000000,24300000,20100000,28000000,33088000,23035000,47267000,53641000,60500000,64420000,48752000,72710000,93327000,104658000,110579000,115198000,109003000,110882000,66503000,103409000,108787000,72793000,-437012000,-62371000,29871000,221589000
24,Net Income ratio,0.0120,0.0105,0.0113,0.0115,0.0026,0.0072,0.0118,0.0173,0.0144,0.0033,-0.0038,0.0043,0.0078,0.0065,0.0088,0.0094,0.0060,0.0119,0.0126,0.0134,0.0134,0.0088,0.0107,0.0129,0.0130,0.0136,0.0134,0.0122,0.0122,0.0070,0.0106,0.0112,0.0078,-0.0444,-0.0068,0.0035,0.0226
25,EPS,0.03,0.03,0.04,0.06,0.02,0.06,0.12,0.20,0.29,0.10,-0.35,0.17,0.40,0.37,0.57,0.67,0.46,0.93,1.01,1.03,1.09,0.81,1.21,1.53,1.68,1.76,1.82,1.72,1.76,1.06,1.65,1.76,1.20,-7.28,-1.03,0.47,3.05
26,EPS Diluted,0.03,0.03,0.03,0.06,0.02,0.06,0.12,0.20,0.29,0.10,-0.35,0.17,0.40,0.37,0.55,0.63,0.45,0.85,0.95,1.02,1.07,0.80,1.19,1.50,1.67,1.75,1.81,1.72,1.76,1.06,1.65,1.76,1.20,-7.28,-1.03,0.47,2.94
27,Weighted Average Shares Outstanding,29131500,29937000,42006000,42087000,42240000,42240000,43573500,44068500,45618000,46662000,46230000,47655000,47750000,48750000,48837209,49140594,50076087,50643214,52935197,58548387,59282209,59940984,60256906,61189500,61716000,62315000,62756000,62765000,62625000,62220000,62116000,61093000,60001000,60014000,60574000,63368000,63368000
28,Weighted Average Shares Outstanding Diluted,29131500,29937000,42006000,42087000,42240000,42240000,43573500,44068500,45618000,46662000,46500000,47655000,47750000,48750000,51219512,52800000,50812500,55827165,56663028,59313725,60018634,60940000,60930168,62244000,62083500,62563000,62924000,62844000,62661000,62226000,62117000,61093000,60001000,60014000,60574000,63512000,63512000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/75252/000091664195000086/0000916641-95-000086-index.html,https://www.sec.gov/Archives/edgar/data/75252/000091664196000151/0000916641-96-000151-index.html,- -,https://www.sec.gov/Archives/edgar/data/75252/0000916641-98-000355-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/75252/000091664103000504/d10k.htm,https://www.sec.gov/Archives/edgar/data/75252/000119312504031265/d10k.htm,https://www.sec.gov/Archives/edgar/data/75252/000119312505037398/d10k.htm,https://www.sec.gov/Archives/edgar/data/75252/000119312506038705/d10k.htm,https://www.sec.gov/Archives/edgar/data/75252/000119312507039764/d10k.htm,https://www.sec.gov/Archives/edgar/data/75252/000119312508041911/d10k.htm,https://www.sec.gov/Archives/edgar/data/75252/000119312509041161/0001193125-09-041161-index.html,https://www.sec.gov/Archives/edgar/data/75252/000119312510040816/0001193125-10-040816-index.html,https://www.sec.gov/Archives/edgar/data/75252/000119312511047429/d10k.htm,https://www.sec.gov/Archives/edgar/data/75252/000119312512077718/0001193125-12-077718-index.html,https://www.sec.gov/Archives/edgar/data/75252/000119312513071696/0001193125-13-071696-index.html,https://www.sec.gov/Archives/edgar/data/75252/000144530514000570/omi1231201310k.htm,https://www.sec.gov/Archives/edgar/data/75252/000162828015000917/omi1231201410k.htm,https://www.sec.gov/Archives/edgar/data/75252/000007525216000137/0000075252-16-000137-index.html,https://www.sec.gov/Archives/edgar/data/75252/000007525217000037/0000075252-17-000037-index.html,https://www.sec.gov/Archives/edgar/data/75252/000007525218000042/0000075252-18-000042-index.html,https://www.sec.gov/Archives/edgar/data/75252/000007525219000037/0000075252-19-000037-index.html,https://www.sec.gov/Archives/edgar/data/75252/000007525220000021/0000075252-20-000021-index.html,https://www.sec.gov/Archives/edgar/data/75252/000007525221000034/0000075252-21-000034-index.htm,https://www.sec.gov/Archives/edgar/data/75252/000007525222000009/0000075252-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2600000,6200000,600000,600000,3300000,3300000,800000,7100000,2000000,500000,200000,700000,600000,500000,700000,626000,953000,3361000,16335000,55796000,71897000,5090000,2129000,7886000,96136000,159213000,135938000,97888000,101905000,56772000,161020000,185488000,104522000,103367000,67030000,83058000,55712000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2600000,6200000,600000,600000,3300000,3300000,800000,7100000,2000000,500000,200000,700000,600000,500000,700000,626000,953000,3361000,16335000,55796000,71897000,5090000,2129000,7886000,96136000,159213000,135938000,97888000,101905000,56772000,161020000,185488000,104522000,103367000,67030000,83058000,55712000
34,Net Receivables,43300000,50700000,65100000,80300000,118500000,127500000,140800000,117000000,144600000,290200000,265200000,147200000,187800000,213800000,226900000,261905000,264235000,354856000,353431000,344642000,353102000,539178000,462392000,521311000,498080000,471661000,506758000,553502000,572854000,626192000,587935000,606084000,758936000,823418000,674706000,700792000,681564000
35,Inventory,40400000,56200000,71200000,88200000,95700000,111600000,117500000,93000000,124800000,323900000,326400000,281800000,285500000,275100000,342500000,315570000,389504000,351835000,384266000,435673000,439887000,666527000,581569000,679069000,689889000,720116000,806366000,763756000,771663000,872457000,940775000,916311000,990193000,1290103000,1146192000,1233751000,1495972000
36,Other Current Assets,1000000,700000,1100000,1400000,8600000,7000000,7800000,12000000,10800000,26200000,32100000,25800000,25400000,14800000,19100000,16190000,24760000,19701000,27343000,28365000,29666000,55975000,43767000,103528000,57962000,52799000,76763000,213748000,279510000,315285000,284970000,254156000,328254000,321690000,519355000,118264000,88564000
37,Total Current Assets,87300000,113800000,138000000,170500000,226100000,249400000,266900000,229100000,282200000,640800000,623900000,455500000,499300000,504200000,589200000,594291000,679452000,729753000,781375000,864476000,894552000,1266770000,1089857000,1311794000,1342067000,1403789000,1525825000,1628894000,1725932000,1870706000,1974700000,1962039000,2181905000,2538578000,2407283000,2135865000,2321812000
38,PP&E,6000000,9300000,11800000,12700000,17300000,22200000,25000000,22000000,23900000,38600000,39000000,29200000,26600000,25600000,25900000,24239000,25257000,21808000,21088000,27153000,51942000,70853000,76122000,92679000,84965000,101545000,108061000,191841000,191961000,232979000,208930000,191718000,206490000,386723000,457646000,460417000,511241000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,242620000,259670000,271699000,252412000,247271000,247271000,248498000,274884000,275439000,423276000,419619000,414936000,713811000,414122000,393181000,394086000,390185000
40,Intangible Assets,- -,- -,- -,- -,11500000,10600000,13000000,14600000,17300000,176000000,171900000,167300000,162800000,158300000,210800000,204849000,198324000,198139000,198063000,200467000,18383000,52763000,32517000,27802000,27809000,24825000,22142000,42313000,40406000,108593000,95250000,82511000,184468000,321764000,285018000,243351000,209745000
41,Intangible Assets,- -,- -,- -,- -,11500000,10600000,13000000,14600000,17300000,176000000,171900000,167300000,162800000,158300000,210800000,204849000,198324000,198139000,198063000,200467000,261003000,312433000,304216000,280214000,275080000,272096000,270640000,317197000,315845000,531869000,514869000,497447000,898279000,735886000,678199000,637437000,599930000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3950000,- -,- -,170000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4338000
44,Other Non-Current Assets,3500000,3700000,4600000,6700000,3800000,8000000,6900000,8800000,10900000,13200000,23000000,27500000,23900000,29700000,39100000,44169000,50820000,55827000,45222000,39737000,32183000,35694000,44885000,91503000,44976000,44609000,42289000,69769000,90304000,99852000,79341000,66548000,89619000,112601000,99956000,101920000,99230000
45,Total Non-Current Assets,9500000,13000000,16400000,19400000,32600000,40800000,44900000,45400000,52100000,227800000,233900000,224000000,213300000,213600000,275800000,273257000,274401000,279724000,264373000,267357000,345298000,418980000,425223000,464396000,405021000,418250000,420990000,578807000,598110000,864700000,803140000,755713000,1194388000,1235210000,1235801000,1199774000,1214739000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,96800000,126800000,154400000,189900000,258700000,290200000,311800000,274500000,334300000,868600000,857800000,679500000,712600000,717800000,865000000,867548000,953853000,1009477000,1045748000,1131833000,1239850000,1685750000,1515080000,1776190000,1747088000,1822039000,1946815000,2207701000,2324042000,2735406000,2777840000,2717752000,3376293000,3773788000,3643084000,3335639000,3536551000
48,Accounts Payable,- -,- -,- -,- -,- -,114000000,120400000,103200000,120700000,296900000,241000000,224000000,224100000,206300000,303500000,291507000,286656000,259597000,314723000,336326000,387833000,542552000,469102000,513026000,546989000,531735000,575793000,603137000,643872000,608846000,710609000,750750000,947572000,1109589000,808035000,1000186000,1001959000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,4100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,96335000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28296000
52,Other Current Liabilities,33100000,42500000,48900000,64000000,92800000,17400000,23800000,26000000,22400000,61900000,47100000,38500000,41400000,62700000,66300000,69147000,81018000,85133000,80909000,94205000,101035000,127951000,99362000,154485000,153127000,162746000,156572000,321150000,345307000,395709000,352980000,283888000,362161000,362422000,608124000,345541000,217431000
53,Total Current Liabilities,33100000,42500000,48900000,64000000,92800000,131400000,144200000,129200000,143100000,359000000,292200000,262500000,265500000,269000000,369800000,360654000,367674000,344730000,395632000,430531000,488868000,670503000,568464000,667511000,700116000,694481000,732365000,924287000,989179000,1004555000,1063589000,1034638000,1309733000,1472011000,1416159000,1345727000,1344021000
54,Long-Term Debt,27500000,42600000,33700000,46800000,85300000,71300000,67700000,25000000,50800000,248400000,323300000,167500000,182600000,150000000,174600000,152872000,203449000,240185000,209499000,207476000,204418000,433133000,283845000,359237000,208418000,209096000,212681000,215383000,213815000,608551000,572559000,564583000,900744000,1650582000,1508415000,1105950000,1109781000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7312000
56,Deferred Tax Liabilities,- -,300000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,371000,364000,- -,2350000,451000,- -,2472000,1264000,2658000,8947000,12107000,21894000,30921000,43727000,63901000,86326000,90383000,74247000,50852000,40550000,50641000,35310000
57,Other Non-Current Liabilities,300000,500000,800000,1900000,3000000,2500000,2800000,3600000,3500000,5100000,7000000,7100000,5200000,5700000,6200000,8879000,14123000,153125000,27912000,33119000,34566000,32188000,47148000,57733000,60428000,48837000,60658000,63454000,52278000,67561000,62776000,68110000,76090000,81924000,215806000,121267000,101626000
58,Total Non-Current Liabilities,27800000,43400000,34700000,48700000,88300000,73800000,70500000,28600000,54300000,253500000,330300000,174600000,187800000,155700000,180800000,162122000,217936000,393310000,239761000,241046000,238984000,467793000,332257000,419628000,277793000,270040000,295233000,309758000,309820000,740013000,721661000,723076000,1051081000,1783358000,1764771000,1277858000,1254029000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,117080000,119932000,162241000
61,Total Liabilities,60900000,85900000,83600000,112700000,181100000,205200000,214700000,157800000,197400000,612500000,622500000,437100000,453300000,424700000,550600000,522776000,585610000,738040000,635393000,671577000,727852000,1138296000,900721000,1087139000,977909000,964521000,1027598000,1234045000,1298999000,1744568000,1785250000,1757714000,2360814000,3255369000,3180930000,2623585000,2598050000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65400000,66360000,67770000,68226000,77958000,79038000,79781000,80515000,81748000,82881000,83827000,126867000,126900000,126544000,126193000,126140000,125606000,122062000,122952000,124588000,125686000,146944000,150865000
64,Retained Earnings,21100000,24800000,29700000,35900000,36000000,42600000,51900000,69500000,87100000,78400000,56400000,58500000,71900000,83600000,104100000,129001000,142854000,179554000,220468000,263646000,307353000,332013000,377913000,438192000,504480000,570320000,619629000,658994000,691547000,685765000,706866000,685504000,690674000,200670000,137774000,167022000,387619000
65,Other Comprehensive Income/Loss,-5100000,-1400000,-8300000,-7500000,-1200000,-2200000,-3500000,-3800000,-22600000,-23500000,-30600000,-35200000,-41500000,-45800000,-52500000,-58876000,-65594000,-70528000,-74056000,-67932000,-9000000,-9000000,-7000000,-12000000,-13000000,-5000000,-7000000,-121873000,10000000,-24000000,-52000000,-67000000,-25000000,-46000000,-53000000,-38509000,-40591000
66,Other Total Stockholders Equity,19900000,17500000,49400000,48800000,42800000,44600000,48700000,51000000,72400000,201200000,209500000,219100000,228900000,123300000,65400000,76287000,91213000,94185000,185985000,185504000,133864000,143926000,161698000,179978000,193872000,165331000,178558000,308861000,196173000,202933000,212118000,219472000,226853000,239161000,251694000,436597000,954933000
67,Total Stockholders Equity,35900000,40900000,70800000,77200000,77600000,85000000,97100000,116700000,136900000,256100000,235300000,242400000,259300000,161100000,182400000,212772000,236243000,271437000,410355000,460256000,511998000,547454000,614359000,689051000,769179000,857518000,918087000,972526000,1023913000,990838000,992590000,960038000,1015479000,518419000,462154000,712054000,938501000
68,Total Liabilities And Stockholders Equity,96800000,126800000,154400000,189900000,258700000,290200000,311800000,274500000,334300000,868600000,857800000,679500000,712600000,585800000,733000000,735548000,821853000,1009477000,1045748000,1131833000,1239850000,1685750000,1515080000,1776190000,1747088000,1822039000,1945685000,2206571000,2322912000,2735406000,2777840000,2717752000,3376293000,3773788000,3643084000,3335639000,3536551000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,132000000,132000000,132000000,132000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1130000,1130000,1130000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,96800000,126800000,154400000,189900000,258700000,290200000,311800000,274500000,334300000,868600000,857800000,679500000,712600000,717800000,865000000,867548000,953853000,1009477000,1045748000,1131833000,1239850000,1685750000,1515080000,1776190000,1747088000,1822039000,1946815000,2207701000,2324042000,2735406000,2777840000,2717752000,3376293000,3773788000,3643084000,3335639000,3536551000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/75252/000091664195000086/0000916641-95-000086-index.html,https://www.sec.gov/Archives/edgar/data/75252/000091664196000151/0000916641-96-000151-index.html,- -,https://www.sec.gov/Archives/edgar/data/75252/0000916641-98-000355-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/75252/000091664103000504/d10k.htm,https://www.sec.gov/Archives/edgar/data/75252/000119312504031265/d10k.htm,https://www.sec.gov/Archives/edgar/data/75252/000119312505037398/d10k.htm,https://www.sec.gov/Archives/edgar/data/75252/000119312506038705/d10k.htm,https://www.sec.gov/Archives/edgar/data/75252/000119312507039764/d10k.htm,https://www.sec.gov/Archives/edgar/data/75252/000119312508041911/d10k.htm,https://www.sec.gov/Archives/edgar/data/75252/000119312509041161/0001193125-09-041161-index.html,https://www.sec.gov/Archives/edgar/data/75252/000119312510040816/0001193125-10-040816-index.html,https://www.sec.gov/Archives/edgar/data/75252/000119312511047429/d10k.htm,https://www.sec.gov/Archives/edgar/data/75252/000119312512077718/0001193125-12-077718-index.html,https://www.sec.gov/Archives/edgar/data/75252/000119312513071696/0001193125-13-071696-index.html,https://www.sec.gov/Archives/edgar/data/75252/000144530514000570/omi1231201310k.htm,https://www.sec.gov/Archives/edgar/data/75252/000162828015000917/omi1231201410k.htm,https://www.sec.gov/Archives/edgar/data/75252/000007525216000137/0000075252-16-000137-index.html,https://www.sec.gov/Archives/edgar/data/75252/000007525217000037/0000075252-17-000037-index.html,https://www.sec.gov/Archives/edgar/data/75252/000007525218000042/0000075252-18-000042-index.html,https://www.sec.gov/Archives/edgar/data/75252/000007525219000037/0000075252-19-000037-index.html,https://www.sec.gov/Archives/edgar/data/75252/000007525220000021/0000075252-20-000021-index.html,https://www.sec.gov/Archives/edgar/data/75252/000007525221000034/0000075252-21-000034-index.htm,https://www.sec.gov/Archives/edgar/data/75252/000007525222000009/0000075252-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,4400000,4900000,- -,8400000,2500000,8800000,12100000,20400000,20100000,7900000,-11300000,13000000,24300000,20100000,28000000,33088000,23035000,47267000,53641000,60500000,64420000,48752000,72710000,93327000,104658000,110579000,115198000,109003000,110882000,66503000,103409000,108787000,72793000,-437012000,-62371000,29871000,221589000
74,Depreciation and Amortization,1400000,1800000,- -,3100000,3600000,5300000,6100000,5900000,7600000,13000000,15400000,16100000,17700000,18300000,19400000,21515000,22469000,15926000,15718000,14884000,19252000,28933000,39140000,21955000,25265000,29148000,34135000,39604000,50586000,63407000,65982000,55393000,59443000,101927000,116678000,93336000,90621000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22700000,8200000,-1293000,11268000,-8002000,10216000,9047000,-3930000,9640000,-5457000,17618000,10869000,-94000,14520000,1060000,3713000,-3385000,-6101000,4218000,-49988000,-35018000,-17402000,15564000,-29736000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7563000,7035000,6358000,5674000,5697000,6381000,8207000,11306000,12042000,11911000,16376000,15803000,20010000,25016000
77,Change in Working Capital,- -,17400000,- -,26800000,-15300000,4700000,-22800000,39200000,142700000,49900000,-138700000,40800000,1400000,-15800000,14237000,78141000,73245000,720000,48202000,-28261000,190583000,-74874000,122890000,-2332000,67357000,84152000,-88853000,32146000,129398000,44960000,16290000,-55229000,194395000,-75443000,-200986000,183069000,4584000
