,https://roic.ai/company/WOR,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,- -,- -,- -,-2100000,7900000,-4400000,-13500000,-21300000,-25900000,-16000000,35200000,-70300000,8000000,-5000000,-29106000,63886000,7556000,-13675000,-94073000,-59236000,-33788000,19588000,-144474000,329892000,-64499000,-24261000,17310000,77115000,-38010000,54108000,66351000,-34599000,-84654000,-33649000,62126000,-169740000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-142684000,315222000
81,Other Working Capital,- -,- -,- -,183300000,179600000,168300000,180300000,217000000,232600000,272700000,324700000,347300000,233000000,196600000,190959000,143100000,150989000,188075000,358050000,392890000,505455000,548889000,440075000,226855000,402483000,366633000,255976000,417969000,609259000,467801000,485382000,670186000,594227000,467893000,594941000,1180091000
82,Other Non-Cash Items,- -,- -,- -,-1900000,-1000000,-22900000,-23200000,-71200000,-79900000,-140000000,-54500000,-92200000,113200000,24800000,-4252000,254089000,68700000,-17378000,-222154000,-238359000,-77960000,-35309000,122073000,531399000,-173563000,-82034000,100321000,-106995000,-189375000,216003000,144199000,-173232000,83630000,45968000,27630000,-1146171000
83,Cash Provided by Operating Activities,- -,- -,- -,85100000,69700000,35000000,72900000,65900000,60900000,66400000,138400000,78400000,200900000,103700000,138910000,321454000,135257000,180721000,79367000,32271000,227066000,180431000,180521000,254326000,110419000,71895000,173649000,272977000,229046000,214375000,413384000,335672000,281345000,197859000,336726000,274379000
84,CAPEX,- -,- -,- -,-43600000,-54600000,-63300000,-45100000,-29100000,-46600000,-61500000,-109000000,-172900000,-309400000,-141900000,-71541000,-62900000,-39100000,-24970000,-29599000,-46318000,-76563000,-57691000,-47520000,-64154000,-34319000,-22025000,-31713000,-44588000,-71338000,-96255000,-97036000,-68386000,-76088000,-84499000,-95503000,-82178000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1108000,-2043000,- -,-114703000,- -,-65119000,37828000,-31727000,-2225000,4026000,-63098000,-37866000,-193972000,-175225000,-11517000,-113521000,-39801000,- -,-285028000,-10402000,-30748000,-129615000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10900000,-8300000,-5400000,- -,- -,- -,- -,- -,- -,- -,-72875000,-493860000,-25562000,-47598000,- -,- -,-6161000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72875000,491687000,2173000,25562000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,634449000
88,Other Investing Activites,- -,- -,- -,4300000,25500000,- -,- -,- -,1300000,100000,-169400000,-70000000,38700000,199100000,2672000,1030000,-10541000,27814000,5172000,87988000,3225000,17237000,1025000,6883000,15467000,26775000,37089000,17837000,36661000,6707000,9797000,5422000,23711000,106376000,10036000,45854000
89,Cash Used for Investing Activites,- -,- -,- -,-39300000,-29100000,-63300000,-45100000,-29100000,-45300000,-72300000,-286700000,-248300000,-270700000,57200000,-69977000,-63913000,-49641000,-111859000,-24427000,-23449000,-37683000,-95570000,-70756000,-53245000,-81950000,-39277000,-188596000,-201976000,-46194000,-203069000,-127040000,-62964000,-337405000,11475000,-116215000,468510000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-149626000,-138993000,- -,-342000,-1480000,-1219000,-102852000,-862000,-874000,-31130000,-1394000,-154913000,-622000
91,Common Stock Issued,- -,- -,- -,1400000,1600000,2700000,5300000,9800000,5400000,4200000,3400000,4000000,3000000,1300000,4018000,- -,1628000,5419000,10644000,- -,9138000,9866000,13171000,3899000,2313000,4827000,11116000,37914000,4618000,2910000,8707000,- -,- -,- -,- -,6581000
92,Common Stock Repurchased,- -,- -,- -,-12700000,-7900000,-12600000,- -,-2300000,- -,- -,-4200000,-1200000,-4400000,-94400000,-63003000,-3406000,- -,- -,- -,- -,- -,-76617000,-125785000,-12402000,- -,-132764000,-73418000,-30417000,-128218000,-127360000,-99847000,-9075000,-206387000,-174484000,-57485000,-192054000
93,Dividends Paid,- -,- -,- -,-18600000,-22900000,-24100000,-27100000,-29300000,-33200000,-36300000,-40000000,-44300000,-50300000,-52400000,-53161000,-54822000,-54655000,-54869000,-55167000,-56891000,-59982000,-59018000,-55587000,-53686000,-31660000,-41160000,-32138000,-44144000,-31198000,-46434000,-47193000,-50716000,-51359000,-52334000,-53289000,-52991000
94,Other Financing Activites,- -,- -,- -,-1300000,-4200000,21800000,-8500000,-3300000,8800000,26800000,206100000,201000000,118100000,-11600000,36110000,-199657000,-32287000,-18769000,-9579000,103341000,-139572000,22969000,93931000,-6719000,142568000,133630000,94590000,-22517000,111859000,103418000,-94028000,-18150000,188822000,-10726000,100011000,-10690000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-31200000,-33400000,-12200000,-30300000,-25100000,-19000000,-5300000,165300000,159500000,66400000,-157100000,-76036000,-257885000,-85314000,-68219000,-54102000,46450000,-190416000,-102800000,-74270000,-218534000,-25772000,-35467000,-192000,-60644000,-44158000,-170318000,-233223000,-78815000,-100054000,-238938000,-165676000,-249776000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7103000,-344000,302000,643000,838000,55272000,-1033000,-17939000,35495000,-17453000,2697000,-2849000,-15139000,10357000,138694000,-159012000,53121000,193893000,-156114000,-29604000,54835000,493113000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,538000,194000,496000,1139000,1977000,57249000,56216000,38277000,73772000,56319000,59016000,56167000,41028000,51385000,190079000,31067000,84188000,278081000,121967000,92363000,147198000,640311000
99,Cash at the Beginning of Period,- -,- -,- -,26200000,40800000,47900000,7500000,5000000,16700000,13300000,2000000,17600000,7200000,3800000,7641000,538000,194000,496000,1139000,1977000,57249000,56216000,38277000,73772000,56319000,59016000,56167000,41028000,51385000,190079000,31067000,84188000,278081000,121967000,92363000,147198000
100,Free Cash Flow,- -,- -,- -,41500000,15100000,-28300000,27800000,36800000,14300000,4900000,29400000,-94500000,-108500000,-38200000,67369000,258554000,96157000,155751000,49768000,-14047000,150503000,122740000,133001000,190172000,76100000,49870000,141936000,228389000,157708000,118120000,316348000,267286000,205257000,113360000,241223000,192201000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/108516/000089646394000070/0000896463-94-000070-index.html,https://www.sec.gov/Archives/edgar/data/108516/000089646395000121/0000896463-95-000121-index.html,https://www.sec.gov/Archives/edgar/data/108516/000089646396000136/0000896463-96-000136-index.html,https://www.sec.gov/Archives/edgar/data/108516/000095015297006301/0000950152-97-006301-index.html,- -,https://www.sec.gov/Archives/edgar/data/108516/000095015299007196/0000950152-99-007196-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/108516/000095015202006581/0000950152-02-006581-index.html,https://www.sec.gov/Archives/edgar/data/108516/000095015203007882/0000950152-03-007882-index.htm,https://www.sec.gov/Archives/edgar/data/108516/000095015204006330/0000950152-04-006330-index.htm,https://www.sec.gov/Archives/edgar/data/108516/000119312505167952/0001193125-05-167952-index.htm,https://www.sec.gov/Archives/edgar/data/108516/000119312506170895/0001193125-06-170895-index.htm,https://www.sec.gov/Archives/edgar/data/108516/000119312507165466/0001193125-07-165466-index.htm,https://www.sec.gov/Archives/edgar/data/108516/000119312508161395/0001193125-08-161395-index.htm,https://www.sec.gov/Archives/edgar/data/108516/000119312509159541/0001193125-09-159541-index.htm,https://www.sec.gov/Archives/edgar/data/108516/000119312510171815/0001193125-10-171815-index.htm,https://www.sec.gov/Archives/edgar/data/108516/000119312511204674/0001193125-11-204674-index.htm,https://www.sec.gov/Archives/edgar/data/108516/000119312512322427/0001193125-12-322427-index.htm,https://www.sec.gov/Archives/edgar/data/108516/000119312513310489/0001193125-13-310489-index.htm,https://www.sec.gov/Archives/edgar/data/108516/000119312514287164/0001193125-14-287164-index.htm,https://www.sec.gov/Archives/edgar/data/108516/000119312515271107/0001193125-15-271107-index.htm,https://www.sec.gov/Archives/edgar/data/108516/000119312516666636/0001193125-16-666636-index.htm,https://www.sec.gov/Archives/edgar/data/108516/000119312517234020/0001193125-17-234020-index.htm,https://www.sec.gov/Archives/edgar/data/108516/000156459018017896/0001564590-18-017896-index.htm,https://www.sec.gov/Archives/edgar/data/108516/000156459019027053/0001564590-19-027053-index.htm,https://www.sec.gov/Archives/edgar/data/108516/000156459020034955/0001564590-20-034955-index.htm,https://www.sec.gov/Archives/edgar/data/108516/000156459021039550/0001564590-21-039550-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
