,https://roic.ai/company/FRPH,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,- -,24400000,24400000,25900000,25300000,28100000,36300000,37000000,37300000,41300000,53600000,91900000,55386000,59867000,64349000,69639000,87022000,111776000,84636000,93417000,102359000,115845000,130319000,135930000,158565000,98425000,96835000,105737000,113413000,119340000,142372000,22465000,21074000,29586000,20060000,18000000,18449000,28946000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34000,- -,13000,46000,24000,22000,21000,- -,- -,- -,149000,298000,883000,90000,446000,303000,26000,38000,30000,- -,2000,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,500000,600000,800000,700000,800000,1800000,1600000,1100000,900000,1100000,1900000,2234000,- -,2300000,2357000,3438000,3394000,3164000,3492000,- -,- -,3955000,3878000,4551000,3482000,3928000,3346000,2638000,2520000,1475000,2014000,1561000,4323000,3103000,1054000,1100000,2304000
14,Depreciation and Amortization,- -,1900000,2300000,2600000,2800000,-3000000,-4900000,-4900000,-5500000,-6200000,-6900000,-7300000,7667000,8356000,9146000,10065000,11144000,11471000,11086000,11956000,12230000,12479000,13510000,14160000,- -,- -,- -,- -,- -,- -,- -,- -,8288000,14591000,- -,- -,6050000,12946000
15,EBITDA,- -,7400000,8400000,7900000,8400000,1200000,500000,1000000,200000,-900000,400000,2200000,16728000,15340000,18789000,22515000,18017000,19371000,23520000,22108000,36849000,24424000,30714000,32654000,17449000,12057000,15262000,19855000,15255000,27742000,18146000,14181000,29724000,67993000,128099000,20193000,23072000,53746000
16,EBITDA ratio,- -,0.2508,0.2781,0.2540,0.2718,0.0370,0.0120,0.0234,0.0047,-0.0193,0.0074,0.0377,0.2597,0.2228,0.2540,0.2745,0.1920,0.1598,0.2426,0.2140,0.3182,0.1864,0.2084,0.2117,0.1014,0.1053,0.1371,0.1653,0.1196,0.1985,0.1133,0.4093,0.7935,1.5742,5.8169,0.8500,0.9783,1.7215
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9017000,8977000,9625000,12380000,6840000,7878000,12413000,9915000,13430000,15191000,17055000,18352000,13484000,16128000,14503000,14369000,14101000,20434000,17768000,12181000,16383000,13605000,1962000,5756000,5134000,2274000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1400,0.1304,0.1301,0.1509,0.0729,0.0650,0.1280,0.0960,0.1160,0.1159,0.1157,0.1190,0.0784,0.1408,0.1303,0.1196,0.1106,0.1462,0.1110,0.3516,0.4374,0.3150,0.0891,0.2423,0.2177,0.0728
19,Total Other Income Expenses (Gains),- -,-100000,-300000,-700000,-700000,-900000,-1700000,-1500000,-1100000,-900000,5900000,41200000,-2190000,-1993000,-2282000,-2287000,-3405000,-3372000,-3143000,-3492000,-3455000,-3246000,-3806000,-3736000,-586000,-3398000,-3484000,-3082000,-1581000,4788000,-1097000,-2193000,3492000,54275000,-479000,6028000,9795000,48101000
20,Income Before Tax,- -,5000000,5500000,4500000,4900000,3400000,3600000,4300000,4600000,4400000,6200000,7600000,6827000,6984000,7343000,10093000,3435000,4506000,9270000,6423000,9975000,11945000,13249000,14616000,12898000,12730000,11019000,11287000,12520000,25222000,16671000,9988000,19875000,67880000,1483000,11784000,14929000,50375000
21,Income Before Tax Ratio,- -,0.1695,0.1821,0.1447,0.1586,0.1049,0.0865,0.1005,0.1070,0.0944,0.1150,0.1304,0.1060,0.1014,0.0993,0.1231,0.0366,0.0372,0.0956,0.0622,0.0861,0.0912,0.0899,0.0947,0.0750,0.1111,0.0990,0.0940,0.0982,0.1804,0.1041,0.2883,0.5306,1.5716,0.0673,0.4960,0.6330,1.6135
22,Income Tax expense (Gain),- -,2400000,2800000,2100000,1900000,1300000,1400000,1700000,1800000,1700000,2400000,3000000,2662000,2724000,2863000,3936000,1391000,1803000,3615000,2085000,3879000,4336000,5171000,5111000,4930000,4822000,3963000,4298000,4809000,9837000,6652000,3895000,7851000,7329000,524000,2962000,4307000,10281000
23,Net Income,- -,2600000,2700000,2400000,3000000,2100000,2200000,2600000,2800000,2700000,3800000,4600000,4165000,4260000,4480000,6157000,2044000,2703000,5655000,4575000,20740000,7609000,8078000,9505000,7968000,3753000,7371000,12211000,7808000,15385000,10019000,8272000,12024000,41750000,124472000,16177000,11615000,28215000
24,Net Income ratio,- -,0.0881,0.0894,0.0772,0.0971,0.0648,0.0529,0.0607,0.0651,0.0579,0.0705,0.0789,0.0647,0.0619,0.0606,0.0751,0.0218,0.0223,0.0583,0.0443,0.1791,0.0581,0.0548,0.0616,0.0463,0.0328,0.0662,0.1017,0.0612,0.1101,0.0626,0.2388,0.3210,0.9666,5.6522,0.6810,0.4925,0.9037
25,EPS,- -,0.19,0.20,0.18,0.22,0.16,0.16,0.20,0.22,0.22,0.32,0.40,0.38,0.40,0.43,0.60,0.20,0.29,0.60,0.50,2.36,0.86,0.90,1.05,0.88,0.41,0.80,1.32,0.83,1.62,1.04,0.85,1.22,4.19,12.40,1.64,1.21,3.01
26,EPS Diluted,- -,0.19,0.20,0.18,0.22,0.16,0.16,0.20,0.22,0.22,0.31,0.40,0.38,0.40,0.43,0.59,0.20,0.29,0.60,0.50,2.32,0.83,0.87,1.01,0.85,0.40,0.78,1.29,0.82,1.60,1.03,0.84,1.22,4.16,12.32,1.63,1.21,3.01
27,Weighted Average Shares Outstanding,- -,13928571,13728814,13584906,13432836,13404255,13469388,12786885,12537313,12461538,12000000,11496000,11049000,10662000,10356000,10332000,10002000,9471000,9429000,9099000,8793000,8850000,8940000,9066000,9099000,9123000,9183000,9284000,9360000,9605000,9629000,9756000,9846000,9975000,10040000,9883000,9580000,9580000
28,Weighted Average Shares Outstanding Diluted,- -,13928571,13728814,13584906,13432836,13404255,13469388,12786885,12537313,12461538,12127660,11496000,11139000,10716000,10488000,10404000,10044000,9474000,9495000,9198000,8928000,9117000,9261000,9393000,9378000,9351000,9423000,9451000,9474000,9605000,9710000,9827000,9890000,10040000,10105000,9926000,9609000,9609000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/844059/000084405996000008/0000844059-96-000008-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/844059/000084405900000006/0000844059-00-000006-index.html,https://www.sec.gov/Archives/edgar/data/844059/000084405901500007/0000844059-01-500007-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/844059/000084405907000008/0000844059-07-000008-index.html,https://www.sec.gov/Archives/edgar/data/844059/000084405908000010/0000844059-08-000010-index.html,https://www.sec.gov/Archives/edgar/data/844059/000084405909000010/0000844059-09-000010-index.html,https://www.sec.gov/Archives/edgar/data/844059/000084405910000012/0000844059-10-000012-index.html,https://www.sec.gov/Archives/edgar/data/844059/000084405911000015/0000844059-11-000015-index.html,https://www.sec.gov/Archives/edgar/data/844059/000084405912000019/0000844059-12-000019-index.html,https://www.sec.gov/Archives/edgar/data/844059/000084405913000021/0000844059-13-000021-index.html,https://www.sec.gov/Archives/edgar/data/844059/000084405914000023/0000844059-14-000023-index.html,https://www.sec.gov/Archives/edgar/data/844059/000084405915000024/0000844059-15-000024-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/844059/000084405919000003/0000844059-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/844059/000084405920000010/0000844059-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/844059/000084405921000008/0000844059-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/844059/000084405922000007/0000844059-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,200000,1500000,1300000,100000,100000,100000,500000,400000,400000,800000,400000,313000,429000,663000,2593000,633000,440000,529000,2552000,16752000,2966000,154000,26944000,7778000,15803000,17151000,21026000,6713000,502000,1013000,419000,- -,4524000,22547000,26607000,73909000,161521000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,165212000,137867000,75609000,397343000
33,Cash and Short-Term Investments,- -,200000,1500000,1300000,100000,100000,100000,500000,400000,400000,800000,400000,313000,429000,663000,2593000,633000,440000,529000,2552000,16752000,2966000,154000,26944000,7778000,15803000,17151000,21026000,6713000,502000,1013000,419000,- -,4524000,187759000,164474000,149518000,558864000
34,Net Receivables,- -,1700000,2700000,2600000,2800000,2400000,3400000,2800000,3100000,3700000,4400000,5600000,5300000,5531000,6510000,8451000,10770000,9479000,7351000,7332000,9123000,11731000,11761000,10983000,11774000,6444000,8108000,6795000,9756000,13942000,13026000,5988000,5272000,8293000,10471000,1100000,5448000,793000
35,Inventory,- -,500000,500000,700000,500000,600000,700000,800000,700000,700000,600000,500000,502000,469000,552000,503000,650000,570000,633000,670000,642000,799000,854000,743000,891000,616000,665000,1121000,843000,881000,895000,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,1000000,800000,900000,1000000,1400000,2300000,2000000,2100000,2400000,1900000,2000000,1888000,2120000,2348000,2614000,3036000,5759000,2977000,3411000,3549000,4073000,4643000,5816000,8420000,7020000,5848000,5752000,9607000,6351000,9890000,4826000,- -,333000,3426000,186000,196000,- -
37,Total Current Assets,- -,3400000,5500000,5500000,4400000,4500000,6500000,6100000,6300000,7200000,7700000,8500000,8003000,8549000,10073000,14161000,15089000,16248000,11490000,13965000,30066000,19569000,17412000,44486000,28863000,29883000,31772000,34694000,26919000,21676000,24824000,11233000,5272000,13150000,201656000,165760000,155162000,559657000
38,PP&E,- -,14700000,52600000,51100000,55700000,60900000,69700000,69000000,71100000,72700000,74700000,83300000,90058000,95018000,104970000,115369000,124026000,131170000,138367000,145262000,149011000,164936000,192073000,192523000,210760000,199013000,198116000,208988000,228021000,241413000,249610000,207205000,224247000,375604000,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1328000,1288000,1248000,1207000,1167000,1127000,1087000,1087000,1087000,1087000,1087000,1087000,1087000,1087000,1087000,1087000,1087000,1087000,3431000,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,1600000,1600000,1500000,1500000,1400000,1400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,1600000,1600000,1500000,1500000,1400000,1400000,1328000,1288000,1248000,1207000,1167000,1127000,1087000,1087000,1087000,1087000,1087000,1087000,1087000,1087000,1087000,1087000,1087000,1087000,3431000,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1093000,1093000,1093000,7178000,13313000,13791000,14468000,14260000,11161000,13406000,18537000,19010000,22901000,13406000,88884000,160452000,167071000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64047000
44,Other Non-Current Assets,- -,- -,6100000,6800000,6900000,6800000,8100000,7800000,7500000,7600000,8000000,8200000,7647000,11727000,7674000,7918000,7729000,4214000,4519000,4902000,4137000,7030000,7550000,8256000,8017000,13080000,12269000,7361000,8517000,9511000,16669000,15173000,14140000,16574000,214948000,211936000,213500000,- -
45,Total Non-Current Assets,- -,14700000,58700000,57900000,62600000,67700000,79400000,78400000,80100000,81800000,84100000,92900000,99033000,108033000,113892000,124494000,132922000,136511000,143973000,151251000,155328000,174146000,201803000,209044000,233177000,226971000,225940000,231696000,248786000,265417000,288247000,241388000,261288000,405584000,303832000,372388000,380571000,64047000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,182580000
47,Total Assets,- -,18100000,64200000,63400000,67000000,72200000,85900000,84500000,86400000,89000000,91800000,101400000,107036000,116582000,123965000,138655000,148011000,152759000,155463000,165216000,185394000,193715000,219215000,253530000,262040000,256854000,257712000,266390000,275705000,287093000,313071000,252621000,266560000,418734000,505488000,538148000,535733000,678190000
48,Accounts Payable,- -,- -,- -,- -,- -,1300000,1900000,1400000,1200000,2100000,1800000,1600000,1779000,2427000,2776000,5565000,5572000,3627000,5771000,4734000,3072000,5674000,5670000,5408000,7663000,2822000,3384000,3948000,5266000,7290000,7318000,3456000,3747000,4370000,3545000,2431000,3635000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3833000,4418000,2133000,3625000,6396000,8777000,1311000,1545000,7716000,2432000,2576000,3762000,4019000,4293000,4588000,4902000,5239000,4311000,4534000,12674000,11445000,4463000,- -,- -,- -,178409000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6799000,642000,20000,702000,- -,2355000,- -,- -,- -,475000,701000,- -,887000,- -,- -,504000,- -,1103000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1060000,1126000,1074000,- -,- -,542000,369000
52,Other Current Liabilities,- -,2000000,3400000,3200000,4000000,3000000,5600000,4600000,5900000,6100000,8500000,5600000,3983000,4218000,4570000,4365000,5530000,4324000,4890000,4941000,12311000,8115000,9946000,11058000,11581000,15252000,10123000,9382000,9660000,9381000,10075000,-1060000,-239000,-1074000,288000,504000,-542000,- -
53,Total Current Liabilities,- -,2000000,3400000,3200000,4000000,4300000,7500000,6000000,7100000,8200000,10300000,7200000,9595000,11063000,9479000,13555000,17498000,16728000,11972000,11220000,23099000,16221000,18192000,20228000,23263000,22367000,18095000,18232000,20165000,20982000,21927000,16130000,16079000,8833000,3833000,2935000,3635000,178778000
54,Long-Term Debt,- -,1300000,9600000,6300000,7600000,9700000,18100000,16900000,15300000,15700000,16100000,25500000,26170000,30647000,33299000,37936000,42015000,47097000,47290000,57816000,41185000,48468000,60548000,80172000,76153000,71860000,67272000,62370000,57131000,45593000,58704000,36011000,29554000,113854000,88789000,88925000,89964000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1060000,1126000,1074000,27000,790000,542000,- -
56,Deferred Tax Liabilities,- -,1600000,2100000,1500000,1300000,2300000,2300000,2400000,2900000,2700000,2700000,4200000,6240000,7243000,7656000,8820000,8628000,9280000,10062000,10760000,15767000,14394000,14968000,15274000,18885000,15679000,16084000,16919000,18199000,22567000,21654000,14684000,16455000,25982000,27981000,50111000,56579000,64047000
57,Other Non-Current Liabilities,- -,2800000,- -,900000,800000,1200000,3000000,2700000,2500000,2400000,3300000,2900000,3137000,3895000,4776000,5652000,6057000,6542000,6979000,7391000,7256000,6731000,7455000,7395000,6384000,4540000,4205000,4422000,5492000,5305000,4471000,2394000,4526000,4409000,1603000,3742000,3460000,10115000
58,Total Non-Current Liabilities,- -,5700000,11700000,8700000,9700000,13200000,23400000,22000000,20700000,20800000,22100000,32600000,35547000,41785000,45731000,52408000,56700000,62919000,64331000,75967000,64208000,69593000,82971000,102841000,101422000,92079000,87561000,83711000,80822000,73465000,84829000,54149000,51661000,145319000,118400000,143568000,150545000,74162000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,7700000,15100000,11900000,13700000,17500000,30900000,28000000,27800000,29000000,32400000,39800000,45142000,52848000,55210000,65963000,74198000,79647000,76303000,87187000,87307000,85814000,101163000,123069000,124685000,114446000,105656000,101943000,100987000,94447000,106756000,70279000,67740000,154152000,122233000,146503000,154180000,252940000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,400000,349000,344000,347000,338000,335000,314000,316000,293000,293000,297000,301000,305000,304000,305000,309000,929000,944000,956000,970000,979000,991000,1001000,997000,982000,936000,941000
64,Retained Earnings,- -,9900000,12000000,14400000,17500000,18900000,21100000,23700000,26500000,29200000,33000000,37600000,41797000,46057000,50537000,56694000,58738000,61441000,67096000,71671000,72010000,80504000,88582000,98087000,102473000,106226000,113597000,124642000,132203000,147394000,157413000,131497000,145168000,186855000,306307000,315278000,308664000,337752000
65,Other Comprehensive Income/Loss,- -,-13500000,-20100000,-24100000,-25000000,-26000000,-27700000,-31100000,-34100000,-38100000,-40300000,-43800000,-43025000,-47653000,-53113000,-57378000,-60557000,-66087000,-70908000,-76229000,-75219000,-81789000,-85562000,-85000,-99758000,19000,20000,31000,32000,38000,40000,-6000,14000,38000,-701000,923000,675000,113000
66,Other Total Stockholders Equity,- -,14000000,57200000,61200000,60800000,61800000,61600000,63900000,66200000,68900000,66300000,67400000,62773000,64986000,70984000,73038000,75297000,77444000,82656000,82294000,101003000,108889000,114731000,32154000,134336000,35858000,38130000,38845000,41539000,44258000,47892000,49872000,- -,- -,58004000,57705000,57379000,57617000
67,Total Stockholders Equity,- -,10400000,49100000,51500000,53300000,54700000,55000000,56500000,58600000,60000000,59400000,61600000,61894000,63734000,68755000,72692000,73813000,73112000,79160000,78029000,98087000,107901000,118052000,130461000,137355000,142408000,152056000,164447000,174718000,192646000,206315000,182342000,198820000,243530000,364607000,374888000,367654000,396423000
68,Total Liabilities And Stockholders Equity,- -,18100000,64200000,63400000,67000000,72200000,85900000,84500000,86400000,89000000,91800000,101400000,107036000,116582000,123965000,138655000,148011000,152759000,155463000,165216000,185394000,193715000,219215000,253530000,262040000,256854000,257712000,266390000,275705000,287093000,313071000,252621000,266560000,397682000,486840000,521391000,521834000,649363000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21052000,18648000,16757000,13899000,28827000
70,Total Liabilities & Equity,- -,18100000,64200000,63400000,67000000,72200000,85900000,84500000,86400000,89000000,91800000,101400000,107036000,116582000,123965000,138655000,148011000,152759000,155463000,165216000,185394000,193715000,219215000,253530000,262040000,256854000,257712000,266390000,275705000,287093000,313071000,252621000,266560000,418734000,505488000,538148000,535733000,678190000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/844059/000084405996000008/0000844059-96-000008-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/844059/000084405900000006/0000844059-00-000006-index.html,https://www.sec.gov/Archives/edgar/data/844059/000084405901500007/0000844059-01-500007-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/844059/000084405907000008/0000844059-07-000008-index.html,https://www.sec.gov/Archives/edgar/data/844059/000084405908000010/0000844059-08-000010-index.html,https://www.sec.gov/Archives/edgar/data/844059/000084405909000010/0000844059-09-000010-index.html,https://www.sec.gov/Archives/edgar/data/844059/000084405910000012/0000844059-10-000012-index.html,https://www.sec.gov/Archives/edgar/data/844059/000084405911000015/0000844059-11-000015-index.html,https://www.sec.gov/Archives/edgar/data/844059/000084405912000019/0000844059-12-000019-index.html,https://www.sec.gov/Archives/edgar/data/844059/000084405913000021/0000844059-13-000021-index.html,https://www.sec.gov/Archives/edgar/data/844059/000084405914000023/0000844059-14-000023-index.html,https://www.sec.gov/Archives/edgar/data/844059/000084405915000024/0000844059-15-000024-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/844059/000084405919000003/0000844059-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/844059/000084405920000010/0000844059-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/844059/000084405921000008/0000844059-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/844059/000084405922000007/0000844059-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,2100000,2200000,2600000,2800000,2700000,3800000,4600000,4165000,4260000,4480000,6157000,2044000,2703000,5655000,4575000,20740000,7609000,8078000,9505000,7968000,3753000,7371000,12211000,7808000,15385000,10019000,8272000,12024000,41750000,124472000,16177000,11615000,40094000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,-3000000,-4900000,-4900000,-5500000,-6200000,-6900000,-7300000,7667000,8356000,9146000,10065000,11144000,11471000,11086000,11956000,12230000,12479000,13510000,14160000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6050000,12946000
75,Deferred Income Tax,- -,- -,- -,- -,- -,500000,600000,600000,300000,-100000,400000,1700000,1622000,1181000,620000,1089000,-238000,332000,889000,879000,4916000,-2421000,96000,721000,4113000,235000,683000,491000,1539000,4437000,-801000,1572000,1895000,9527000,1999000,22130000,5995000,7941000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1078000,868000,804000,704000,701000,883000,1139000,803000,578000,713000,1662000,232000,1372000,1111000
77,Change in Working Capital,- -,- -,- -,- -,- -,400000,1100000,-900000,-200000,-1600000,3900000,-2892000,-922000,3108000,12000,-3015000,1929000,-2000,3227000,4222000,-3619000,-4128000,25038000,-18658000,1916000,6161000,2785000,-9708000,-6060000,2203000,-7794000,-5084000,-826000,15124000,193506000,-34998000,-11298000,229352000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,100000,600000,-400000,-700000,-700000,-1200000,300000,-300000,-1000000,-2000000,-3177000,1291000,2127000,20000,-1791000,-2608000,-30000,778000,-791000,4548000,-654000,-762000,-317000,47000,1037000,349000,-209000,-270000,51000,18000,-377000,837000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,-200000,200000,-100000,100000,100000,- -,- -,-100000,- -,-147000,80000,-63000,-37000,28000,-157000,-55000,111000,-148000,197000,-49000,-456000,278000,-38000,-14000,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,400000,-700000,100000,700000,300000,-1000000,1200000,700000,500000,2700000,1219000,-2915000,2686000,-1167000,-994000,4677000,2449000,168000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1888000
81,Other Working Capital,- -,- -,- -,- -,- -,-1000000,100000,-800000,-1000000,-2600000,1300000,-1592000,-2514000,594000,606000,-2409000,-480000,-482000,2745000,6967000,3348000,-780000,24258000,5600000,7516000,13677000,16462000,6754000,694000,2897000,-4897000,-9981000,-10807000,4317000,197823000,162825000,151527000,380879000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,6400000,9600000,10100000,10900000,13700000,8800000,13992000,2149000,-2923000,-701000,736000,-5313000,-4878000,4090000,-5576000,-17217000,-3004000,-23950000,17594000,7224000,13956000,1706000,16903000,16496000,4218000,20791000,11663000,5819000,-46055000,-358825000,43482000,4879000,-269202000
