,https://roic.ai/company/ST,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
48,Accounts Payable,126623000,64250000,122834000,132828000,155346000,152964000,177539000,287800000,290779000,299198000,322671000,379824000,376968000,393907000,459093000
49,Short-Term Debt,- -,- -,- -,16779000,13741000,12878000,8100000,145979000,300439000,14643000,15720000,14561000,6918000,768594000,17868000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19215000,26517000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,15089000,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,178442000,326050000,118687000,105493000,110165000,112521000,132853000,228638000,273957000,269455000,291104000,245559000,250860000,332656000,359298000
53,Total Current Liabilities,305065000,390300000,241521000,255100000,279252000,278363000,318492000,677506000,865175000,583296000,629495000,639944000,634746000,1495157000,836259000
54,Long-Term Debt,2490981000,2241994000,2243686000,1872914000,1778491000,1768352000,1667021000,2650744000,3302678000,3226582000,3225810000,3219762000,3219885000,3241678000,4241510000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,94794000,134139000,165477000,179089000,262091000,271902000,281364000,362738000,390490000,392628000,338228000,225694000,251033000,259857000,339273000
57,Other Non-Current Liabilities,98358000,131616000,129028000,73113000,91866000,107480000,90359000,122729000,110336000,96463000,102366000,103853000,155100000,142024000,101990000
58,Total Non-Current Liabilities,2684133000,2507749000,2538191000,2125116000,2132448000,2147734000,2038744000,3136211000,3803504000,3715673000,3666404000,3549309000,3626018000,3643559000,4682773000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,71499000,269193000,57140000,- -,43478000,43425000,48845000,45113000,36219000,32369000,28739000,30618000,40353000,39320000,39802000
61,Total Liabilities,2989198000,2898049000,2779712000,2380216000,2411700000,2426097000,2357236000,3813717000,4668679000,4298969000,4295899000,4189253000,4260764000,5138716000,5519032000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1819000,1819000,1825000,2224000,2264000,2289000,2289000,2289000,2289000,2289000,2289000,2203000,2212000,2220000,2232000
64,Retained Earnings,-465476000,-600007000,-627688000,-497638000,-491164000,-316368000,-187792000,67233000,391247000,636841000,1031612000,1340636000,1616357000,1777729000,2132257000
65,Other Comprehensive Income/Loss,-85912000,-135251000,-180523000,-27000000,-23000000,-39000000,-33000000,-12000000,-26000000,-34000000,-63000000,-26000000,-20000000,-49535000,-19560000
66,Other Total Stockholders Equity,1115879000,1138771000,1193544000,1530195000,1556851000,1575373000,1360091000,1245370000,1301040000,1336877000,1374725000,1291595000,975186000,975072000,- -
67,Total Stockholders Equity,566310000,405332000,387158000,1007781000,1044951000,1222294000,1141588000,1302892000,1668576000,1942007000,2345626000,2608434000,2573755000,2705486000,3094734000
68,Total Liabilities And Stockholders Equity,3555508000,3303381000,3166870000,3387997000,3456651000,3648391000,3498824000,5116609000,6337255000,6240976000,6641525000,6797687000,6834519000,7844202000,8613766000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-68470000,- -,- -,-75370000,- -
70,Total Liabilities & Equity,3555508000,3303381000,3166870000,3387997000,3456651000,3648391000,3498824000,5116609000,6337255000,6240976000,6573055000,6797687000,6834519000,7768832000,8613766000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1477294/000119312511019091/0001193125-11-019091-index.htm,https://www.sec.gov/Archives/edgar/data/1477294/000144530512000259/0001445305-12-000259-index.htm,https://www.sec.gov/Archives/edgar/data/1477294/000147729413000012/0001477294-13-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1477294/000147729414000010/0001477294-14-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1477294/000147729415000019/0001477294-15-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1477294/000147729416000154/0001477294-16-000154-index.htm,https://www.sec.gov/Archives/edgar/data/1477294/000147729417000010/0001477294-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1477294/000147729418000023/0001477294-18-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1477294/000147729419000011/0001477294-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1477294/000147729420000009/0001477294-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1477294/000147729421000031/0001477294-21-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1477294/000147729422000014/0001477294-22-000014-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-252497000,-134531000,-27681000,130050000,6474000,177481000,188125000,283749000,347696000,262434000,408357000,598995000,282714000,164286000,363580000
74,Depreciation and Amortization,189268000,200123000,201508000,183142000,185948000,199465000,185276000,212508000,282683000,308401000,270371000,245340000,258748000,255229000,259088000
75,Deferred Income Tax,43510000,29153000,25763000,24267000,48662000,-26381000,25711000,-59156000,-179009000,8344000,-56757000,-144068000,27623000,-44900000,-5270000
76,Stock Based Compensation,2015000,2108000,2233000,25421000,8012000,14714000,8967000,12985000,15326000,17425000,19819000,23825000,18757000,19125000,25663000
77,Change in Working Capital,41019000,-145755000,229782000,364442000,-295973000,302403000,-79178000,-95881000,-28510000,345441000,460607000,58415000,53695000,153909000,-124041000
78,Accounts Receivable,4693000,66475000,-35080000,-17406000,-11118000,6858000,-33436000,-26287000,18618000,-33013000,-56330000,-34877000,26605000,-16668000,-48106000
79,Inventory,-18980000,26662000,13853000,-15574000,-19907000,22091000,-7336000,-77473000,40526000,-37500000,-57119000,-55445000,-10924000,58390000,-119961000
80,Accounts Payable,45863000,-108096000,61576000,- -,- -,-13877000,23902000,19189000,-38034000,-21432000,23841000,48371000,-34563000,90479000,35333000
81,Other Working Capital,161418000,15663000,245445000,609887000,313914000,616317000,537139000,441258000,412748000,758189000,1218796000,1277211000,1330906000,1484815000,-6533000
82,Other Non-Cash Items,131963000,96383000,-244028000,-427276000,352744000,-270369000,66937000,28363000,94945000,-420520000,-544751000,-161944000,-21975000,12126000,35131000
83,Cash Provided by Operating Activities,155278000,47481000,187577000,300046000,305867000,397313000,395838000,382568000,533131000,521525000,557646000,620563000,619562000,559775000,554151000
84,CAPEX,-66701000,-40963000,-14959000,-52912000,-89807000,-54786000,-82784000,-144211000,-177196000,-130217000,-144584000,-159787000,-161259000,-106719000,-144403000
85,Acquisitions Net,-277102000,175000,- -,- -,-464651000,-13346000,-15470000,-1293738000,-993948000,4688000,- -,-78530000,-32465000,-64432000,-736077000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-50000000,- -,- -,-9950000,-22963000,-5533000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-11907000,2075000,-118000,364000,- -,5631000,10604000,7884000,4775000,751000,3862000,711000,-5103000,12022000,3919000
89,Cash Used for Investing Activites,-355710000,-38713000,-15077000,-52548000,-554458000,-62501000,-87650000,-1430065000,-1166369000,-174778000,-140722000,-237606000,-208777000,-182092000,-882094000
90,Debt Repayment,-15516000,-23359000,-76488000,-357698000,-1933035000,-13349000,-711665000,-76375000,-2000257000,-336256000,-943554000,-15653000,-464605000,-408914000,-763263000
91,Common Stock Issued,- -,- -,6000,433539000,176000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-136000,- -,- -,- -,-15190000,-305096000,-181774000,-50000,-4752000,-2910000,-399417000,-350004000,-35175000,-47843000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,191252000,32386000,-25266000,21855000,1779915000,15139000,612930000,1199079000,2764479000,3426000,931201000,8857000,448110000,1154267000,986024000
95,Cash Used/Provided by Financing Activities,175736000,8891000,-101748000,97696000,-152944000,-13400000,-403831000,940930000,764172000,-337582000,-15263000,-406213000,-366499000,710178000,174918000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-24696000,17659000,70752000,345194000,-401535000,321412000,-95643000,-106567000,130934000,9165000,401661000,-23256000,44286000,1087861000,-153025000
98,Cash at the End of Period,60057000,77716000,148468000,493662000,92127000,413539000,317896000,211329000,342263000,351428000,753089000,729833000,774119000,1861980000,1708955000
99,Cash at the Beginning of Period,84753000,60057000,77716000,148468000,493662000,92127000,413539000,317896000,211329000,342263000,351428000,753089000,729833000,774119000,1861980000
100,Free Cash Flow,88577000,6518000,172618000,247134000,216060000,342527000,313054000,238357000,355935000,391308000,413062000,460776000,458303000,453056000,409748000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1477294/000119312511019091/0001193125-11-019091-index.htm,https://www.sec.gov/Archives/edgar/data/1477294/000144530512000259/0001445305-12-000259-index.htm,https://www.sec.gov/Archives/edgar/data/1477294/000147729413000012/0001477294-13-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1477294/000147729414000010/0001477294-14-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1477294/000147729415000019/0001477294-15-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1477294/000147729416000154/0001477294-16-000154-index.htm,https://www.sec.gov/Archives/edgar/data/1477294/000147729417000010/0001477294-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1477294/000147729418000023/0001477294-18-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1477294/000147729419000011/0001477294-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1477294/000147729420000009/0001477294-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1477294/000147729421000031/0001477294-21-000031-index.htm,https://www.sec.gov/Archives/edgar/data/1477294/000147729422000014/0001477294-22-000014-index.htm
102,false,,,,,,,,,,,,,,,
