,https://roic.ai/company/NOV,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1021860/000095012999001217/0000950129-99-001217-index.html,https://www.sec.gov/Archives/edgar/data/1021860/000095012900001217/0000950129-00-001217-index.html,https://www.sec.gov/Archives/edgar/data/1021860/000095012901001181/0000950129-01-001181-index.html,https://www.sec.gov/Archives/edgar/data/1021860/000095012902001580/0000950129-02-001580-index.html,https://www.sec.gov/Archives/edgar/data/1021860/000095013403003499/0000950134-03-003499-index.html,https://www.sec.gov/Archives/edgar/data/1021860/000095012904001263/0000950129-04-001263-index.html,https://www.sec.gov/Archives/edgar/data/1021860/000095012905002101/0000950129-05-002101-index.htm,https://www.sec.gov/Archives/edgar/data/1021860/000095012906002268/0000950129-06-002268-index.htm,https://www.sec.gov/Archives/edgar/data/1021860/000095012907000924/0000950129-07-000924-index.htm,https://www.sec.gov/Archives/edgar/data/1021860/000095012908001367/0000950129-08-001367-index.htm,https://www.sec.gov/Archives/edgar/data/1021860/000095013409004210/0000950134-09-004210-index.htm,https://www.sec.gov/Archives/edgar/data/1021860/000095012310017647/0000950123-10-017647-index.htm,https://www.sec.gov/Archives/edgar/data/1021860/000095012311017063/0000950123-11-017063-index.htm,https://www.sec.gov/Archives/edgar/data/1021860/000119312512074776/0001193125-12-074776-index.htm,https://www.sec.gov/Archives/edgar/data/1021860/000119312513070840/0001193125-13-070840-index.htm,https://www.sec.gov/Archives/edgar/data/1021860/000119312514053283/0001193125-14-053283-index.htm,https://www.sec.gov/Archives/edgar/data/1021860/000095012315003051/0000950123-15-003051-index.htm,https://www.sec.gov/Archives/edgar/data/1021860/000119312516469696/0001193125-16-469696-index.htm,https://www.sec.gov/Archives/edgar/data/1021860/000119312517047937/0001193125-17-047937-index.htm,https://www.sec.gov/Archives/edgar/data/1021860/000119312518048333/0001193125-18-048333-index.htm,https://www.sec.gov/Archives/edgar/data/1021860/000156459019002967/0001564590-19-002967-index.htm,https://www.sec.gov/Archives/edgar/data/1021860/000156459020004552/0001564590-20-004552-index.htm,https://www.sec.gov/Archives/edgar/data/1021860/000156459021005708/0001564590-21-005708-index.htm,https://www.sec.gov/Archives/edgar/data/1021860/000156459022004755/0001564590-22-004755-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,19800000,11400000,12400000,42459000,43220000,118338000,74217000,142700000,209400000,957400000,1841800000,1542800000,2622000000,3333000000,3535000000,3319000000,3436000000,3536000000,2080000000,1408000000,1437000000,1427000000,1171000000,1692000000,1591000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,19800000,11400000,12400000,42459000,43220000,118338000,74217000,142700000,209400000,957400000,1841800000,1542800000,2622000000,3333000000,3535000000,3319000000,3436000000,3536000000,2080000000,1408000000,1437000000,1427000000,1171000000,1692000000,1591000000
34,Net Receivables,- -,224000000,281300000,196100000,295163000,382153000,428116000,460910000,706600000,1481100000,1923500000,2743300000,3135900000,2927000000,3240000000,3884000000,5545000000,6435000000,6294000000,4176000000,2748000000,2510000000,2666000000,2498000000,1885000000,1321000000
35,Inventory,- -,203500000,242000000,254100000,375734000,455934000,470088000,546690000,657500000,1198300000,1828800000,2574700000,3806000000,3490000000,3388000000,4030000000,5891000000,5603000000,5281000000,4678000000,3325000000,3003000000,2986000000,2197000000,1408000000,1331000000
36,Other Current Assets,- -,16300000,23100000,15800000,29747000,27259000,98526000,164583000,30600000,109400000,255900000,434000000,1172500000,559000000,574000000,661000000,923000000,949000000,1051000000,867000000,395000000,267000000,200000000,247000000,224000000,659000000
37,Total Current Assets,- -,463600000,557800000,478400000,743103000,908566000,1115068000,1246400000,1537400000,2998200000,4965600000,7593800000,9657200000,9598000000,10535000000,12110000000,15678000000,16423000000,16162000000,11801000000,7876000000,7217000000,7279000000,6113000000,5209000000,4902000000
38,PP&E,- -,74300000,91800000,109100000,173646000,168951000,208420000,252365000,255100000,877600000,1022100000,1197300000,1676700000,1836000000,1840000000,2445000000,2945000000,3408000000,3362000000,3124000000,3150000000,3002000000,2797000000,3028000000,2493000000,2360000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2244700000,2445100000,5225000000,5489000000,5790000000,6151000000,7172000000,9049000000,8539000000,6980000000,6067000000,6227000000,6264000000,2807000000,1493000000,1527000000
40,Intangible Assets,- -,24200000,145700000,174500000,329340000,352094000,581576000,666622000,730000000,2729200000,705200000,774100000,4300300000,4052000000,4103000000,4073000000,4743000000,5055000000,4444000000,3849000000,3530000000,3301000000,3020000000,852000000,527000000,503000000
41,Intangible Assets,- -,24200000,145700000,174500000,329340000,352094000,581576000,666622000,730000000,2729200000,2949900000,3219200000,9525300000,9541000000,9893000000,10224000000,11915000000,14104000000,12983000000,10829000000,9597000000,9528000000,9284000000,3659000000,2020000000,2030000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,393000000,386000000,391000000,393000000,390000000,362000000,327000000,307000000,309000000,301000000,282000000,51000000,- -
43,Tax Assets,- -,- -,- -,- -,- -,16663000,36864000,52391000,55100000,52200000,56100000,55600000,126000000,92000000,341000000,267000000,413000000,372000000,503000000,488000000,86000000,13000000,11000000,- -,- -,66000000
44,Other Non-Current Assets,- -,5400000,22700000,20300000,32805000,25422000,26734000,24958000,21100000,21300000,25600000,49000000,493500000,72000000,55000000,78000000,140000000,115000000,190000000,156000000,124000000,137000000,124000000,67000000,156000000,192000000
45,Total Non-Current Assets,- -,103900000,260200000,303900000,535791000,563130000,853594000,996336000,1061300000,3680300000,4053700000,4521100000,11821500000,11934000000,12515000000,13405000000,15806000000,18389000000,17400000000,14924000000,13264000000,12989000000,12517000000,7036000000,4720000000,4648000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,567500000,818000000,782300000,1278894000,1471696000,1968662000,2242736000,2598700000,6678500000,9019300000,12114900000,21478700000,21532000000,23050000000,25515000000,31484000000,34812000000,33562000000,26725000000,21140000000,20206000000,19796000000,13149000000,9929000000,9550000000
48,Accounts Payable,- -,135000000,118600000,101000000,165801000,161277000,168548000,228576000,407700000,568200000,1069600000,2000100000,851900000,1674000000,628000000,901000000,1200000000,1275000000,1189000000,623000000,414000000,510000000,722000000,715000000,489000000,612000000
49,Short-Term Debt,- -,1300000,7400000,- -,- -,10213000,- -,14910000,150000000,5700000,5600000,152800000,4300000,7000000,373000000,351000000,1000000,1000000,152000000,2000000,506000000,6000000,7000000,- -,110000000,198000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,209000000,24000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,387000000,686000000,1888000000,2444000000,2478000000,1211000000,662000000,519000000,458000000,427000000,354000000,- -
52,Other Current Liabilities,- -,75200000,85400000,75200000,96981000,105819000,177668000,208729000,242500000,613300000,1590000000,1873800000,4767300000,2493000000,3148000000,3478000000,2560000000,2958000000,3555000000,2413000000,1465000000,1319000000,1154000000,1105000000,914000000,1100000000
53,Total Current Liabilities,- -,211500000,211400000,176200000,262782000,277309000,346216000,452215000,800200000,1187200000,2665200000,4026700000,5623500000,4174000000,4536000000,5416000000,5649000000,6678000000,7374000000,4249000000,3047000000,2354000000,2341000000,2247000000,1867000000,1910000000
54,Long-Term Debt,- -,61600000,205600000,196000000,222477000,300000000,594637000,593980000,350000000,835600000,834700000,737900000,869600000,876000000,514000000,159000000,3148000000,3149000000,3014000000,3928000000,2708000000,2706000000,2704000000,1989000000,2446000000,1708000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66000000
56,Deferred Tax Liabilities,- -,2700000,4100000,6100000,16030000,20380000,54612000,52368000,102800000,373300000,389000000,564300000,2134400000,2091000000,1885000000,1852000000,1997000000,2292000000,1972000000,1805000000,1064000000,677000000,564000000,140000000,78000000,66000000
57,Other Non-Current Liabilities,- -,14000000,10100000,8900000,10399000,6467000,30229000,37996000,31500000,63700000,71400000,61800000,127700000,163000000,253000000,360000000,334000000,363000000,430000000,283000000,318000000,309000000,298000000,927000000,259000000,736000000
58,Total Non-Current Liabilities,- -,78300000,219800000,211000000,248906000,326847000,679478000,684344000,484300000,1272600000,1295100000,1364000000,3131700000,3130000000,2652000000,2371000000,5479000000,5804000000,5416000000,6016000000,4090000000,3692000000,3566000000,3056000000,2783000000,2576000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,788000000,722000000,- -
61,Total Liabilities,- -,289800000,431200000,387200000,511688000,604156000,1025694000,1136559000,1284500000,2459800000,3960300000,5390700000,8755200000,7304000000,7188000000,7787000000,11128000000,12482000000,12790000000,10265000000,7137000000,6046000000,5907000000,5303000000,4650000000,4486000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,600000,805000,809000,810000,851000,900000,1700000,1800000,3600000,4200000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000
64,Retained Earnings,- -,76300000,151900000,159500000,205034000,309097000,382166000,458987000,569200000,829900000,1513900000,2845600000,4796100000,5805000000,7300000000,9103000000,11385000000,13323000000,13181000000,9927000000,7285000000,6966000000,6862000000,690000000,-1876000000,-2146000000
65,Other Comprehensive Income/Loss,- -,-38600000,-53900000,-72500000,-111514000,-120435000,-159891000,-197281000,-251300000,-22000000,46000000,195000000,-161000000,90000000,91000000,-23000000,107000000,-4000000,-834000000,-1553000000,-1452000000,-1110000000,-1437000000,-1423000000,-1509000000,-1546000000
66,Other Total Stockholders Equity,- -,240000000,288800000,307500000,672881000,678069000,710279000,827872000,977600000,3384600000,3461800000,3617200000,7988300000,8214000000,8353000000,8535000000,8743000000,8907000000,8341000000,8005000000,8103000000,8234000000,8390000000,8507000000,8591000000,5064000000
67,Total Stockholders Equity,- -,277700000,386800000,395100000,767206000,867540000,933364000,1090429000,1296400000,4194200000,5023500000,6661400000,12627600000,14113000000,15748000000,17619000000,20239000000,22230000000,20692000000,16383000000,13940000000,14094000000,13819000000,7778000000,5210000000,5064000000
68,Total Liabilities And Stockholders Equity,- -,567500000,818000000,782300000,1278894000,1471696000,1959058000,2226988000,2580900000,6654000000,8983800000,12052100000,21382800000,21417000000,22936000000,25406000000,31367000000,34712000000,33482000000,26648000000,21077000000,20140000000,19726000000,13081000000,9860000000,9550000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,9604000,15748000,17800000,24500000,35500000,62800000,95900000,115000000,114000000,109000000,117000000,100000000,80000000,77000000,63000000,66000000,70000000,68000000,69000000,- -
70,Total Liabilities & Equity,- -,567500000,818000000,782300000,1278894000,1471696000,1968662000,2242736000,2598700000,6678500000,9019300000,12114900000,21478700000,21532000000,23050000000,25515000000,31484000000,34812000000,33562000000,26725000000,21140000000,20206000000,19796000000,13149000000,9929000000,9550000000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1021860/000095012999001217/0000950129-99-001217-index.html,https://www.sec.gov/Archives/edgar/data/1021860/000095012900001217/0000950129-00-001217-index.html,https://www.sec.gov/Archives/edgar/data/1021860/000095012901001181/0000950129-01-001181-index.html,https://www.sec.gov/Archives/edgar/data/1021860/000095012902001580/0000950129-02-001580-index.html,https://www.sec.gov/Archives/edgar/data/1021860/000095013403003499/0000950134-03-003499-index.html,https://www.sec.gov/Archives/edgar/data/1021860/000095012904001263/0000950129-04-001263-index.html,https://www.sec.gov/Archives/edgar/data/1021860/000095012905002101/0000950129-05-002101-index.htm,https://www.sec.gov/Archives/edgar/data/1021860/000095012906002268/0000950129-06-002268-index.htm,https://www.sec.gov/Archives/edgar/data/1021860/000095012907000924/0000950129-07-000924-index.htm,https://www.sec.gov/Archives/edgar/data/1021860/000095012908001367/0000950129-08-001367-index.htm,https://www.sec.gov/Archives/edgar/data/1021860/000095013409004210/0000950134-09-004210-index.htm,https://www.sec.gov/Archives/edgar/data/1021860/000095012310017647/0000950123-10-017647-index.htm,https://www.sec.gov/Archives/edgar/data/1021860/000095012311017063/0000950123-11-017063-index.htm,https://www.sec.gov/Archives/edgar/data/1021860/000119312512074776/0001193125-12-074776-index.htm,https://www.sec.gov/Archives/edgar/data/1021860/000119312513070840/0001193125-13-070840-index.htm,https://www.sec.gov/Archives/edgar/data/1021860/000119312514053283/0001193125-14-053283-index.htm,https://www.sec.gov/Archives/edgar/data/1021860/000095012315003051/0000950123-15-003051-index.htm,https://www.sec.gov/Archives/edgar/data/1021860/000119312516469696/0001193125-16-469696-index.htm,https://www.sec.gov/Archives/edgar/data/1021860/000119312517047937/0001193125-17-047937-index.htm,https://www.sec.gov/Archives/edgar/data/1021860/000119312518048333/0001193125-18-048333-index.htm,https://www.sec.gov/Archives/edgar/data/1021860/000156459019002967/0001564590-19-002967-index.htm,https://www.sec.gov/Archives/edgar/data/1021860/000156459020004552/0001564590-20-004552-index.htm,https://www.sec.gov/Archives/edgar/data/1021860/000156459021005708/0001564590-21-005708-index.htm,https://www.sec.gov/Archives/edgar/data/1021860/000156459022004755/0001564590-22-004755-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,200000,50700000,68900000,1500000,13136000,104063000,73069000,76821000,110200000,286900000,684000000,1337100000,1952000000,1469000000,1667000000,1994000000,2491000000,2327000000,2502000000,-769000000,-2412000000,-237000000,-31000000,-6095000000,-2542000000,-245000000
74,Depreciation and Amortization,3600000,14700000,19200000,23200000,35034000,38873000,25048000,39182000,44000000,114600000,160600000,214100000,401600000,490000000,507000000,555000000,628000000,755000000,778000000,747000000,703000000,698000000,690000000,533000000,352000000,306000000
75,Deferred Income Tax,-2400000,-3100000,-4100000,7900000,-5856000,7847000,11446000,6840000,-6700000,- -,- -,- -,- -,- -,-165000000,-352000000,-97000000,-333000000,-300000000,-258000000,-198000000,-341000000,-63000000,-426000000,-65000000,11000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68000000,66000000,73000000,80000000,92000000,101000000,109000000,107000000,124000000,110000000,130000000,105000000,78000000
77,Change in Working Capital,-25500000,252100000,94300000,-44200000,178121000,150936000,137595000,25333000,-56985000,1073800000,489400000,1266700000,466600000,1390300000,575000000,695000000,3335000000,-284000000,-957000000,-1236000000,-2723000000,34000000,75000000,-1072000000,-524000000,-350000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-122000000,- -,- -,-517000000,-493000000,-153000000,1091000000,845000000,72000000,-72000000,275000000,574000000,- -
79,Inventory,600000,-65000000,15700000,-6000000,-27219000,-71906000,25189000,-51302000,-98400000,-215400000,-619900000,-757600000,-643000000,468000000,39000000,-591000000,-1061000000,396000000,-710000000,410000000,782000000,229000000,-7000000,104000000,429000000,73000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1432000000,40000000,205000000,-19000000,9000000,95000000,-570000000,-243000000,86000000,196000000,-19000000,-226000000,118000000
81,Other Working Capital,- -,252100000,346400000,302200000,480321000,631257000,768852000,794185000,737200000,1811000000,2300400000,3567100000,4033700000,5424000000,5999000000,6694000000,10029000000,9745000000,8788000000,7552000000,4829000000,4863000000,4938000000,3866000000,3342000000,2992000000
82,Other Non-Cash Items,22800000,-315200000,-140800000,96100000,-193822000,-337095000,-143117000,-117166000,75685000,-1397800000,-117300000,-1629900000,-526100000,-1322300000,-1108000000,-822000000,-5817000000,840000000,490000000,2739000000,5483000000,554000000,-260000000,7644000000,3600000000,491000000
83,Cash Provided by Operating Activities,-1300000,-800000,37500000,84500000,26613000,-35376000,104041000,31010000,166200000,77500000,1216700000,1188000000,2294100000,2095000000,1542000000,2143000000,620000000,3397000000,2614000000,1332000000,960000000,832000000,521000000,714000000,926000000,291000000
84,CAPEX,-109400000,-51900000,-158700000,-82400000,-24561000,-27358000,-24805000,-32378000,-39000000,-105000000,-200400000,-251800000,-378500000,-250000000,-232000000,-483000000,-583000000,-669000000,-699000000,-453000000,-284000000,-192000000,-244000000,-233000000,-226000000,-201000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,148000000,-330000000,-324000000,-2207000000,-322000000,-556000000,-1038000000,-1767000000,-2397000000,-291000000,-86000000,-230000000,-86000000,-280000000,-180000000,-14000000,-52000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,251000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,200000,4700000,9900000,32300000,-39981000,-30590000,-200518000,-70117000,33000000,-5000000,300000,900000,112200000,-231000000,45000000,63000000,-1078000000,102000000,-102000000,25000000,26000000,33000000,67000000,98000000,96000000,57000000
89,Cash Used for Investing Activites,-109200000,-47200000,-148800000,-50100000,-64542000,-57948000,-225323000,-102495000,-6000000,38000000,-530100000,-574900000,-2473300000,-552000000,-743000000,-1458000000,-3428000000,-2964000000,-1092000000,-514000000,-488000000,-245000000,-457000000,-315000000,-144000000,-196000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-47000000,-16000000,-391000000,-2938000000,-2610000000,-155000000,-10615000000,-4872000000,-506000000,-8000000,-1000000000,-217000000,-183000000
91,Common Stock Issued,107700000,43700000,1000000,200000,14247000,9286000,2343000,9709000,14600000,111900000,32700000,91300000,78000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-779000000,-2221000000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-460000000,-172000000,-191000000,-209000000,-389000000,-703000000,-710000000,-230000000,-76000000,-76000000,-77000000,-19000000,-20000000
94,Other Financing Activites,7200000,16400000,102200000,-34300000,18512000,86405000,192635000,15501000,-109900000,-152300000,8400000,58300000,-152000000,16000000,86000000,118000000,5730000000,2694000000,294000000,11383000000,3961000000,-13000000,54000000,430000000,-23000000,14000000
95,Cash Used/Provided by Financing Activities,114900000,60100000,103200000,-34100000,32759000,95691000,194978000,25210000,-95300000,-40400000,41100000,149600000,-74000000,-491000000,-102000000,-464000000,2583000000,-305000000,-1343000000,-2163000000,-1141000000,-595000000,-30000000,-647000000,-259000000,-189000000
96,Effect of Forex Changes on Cash,-200000,-4100000,-200000,200000,-462000,-1606000,1422000,2154000,3600000,-8400000,20300000,121700000,-45800000,27000000,14000000,-19000000,9000000,-11000000,-67000000,-111000000,-3000000,37000000,-44000000,-8000000,-2000000,-7000000
97,Net Change In Cash,114900000,- -,- -,400000,-5632000,761000,75118000,-44121000,68500000,66700000,748000000,884400000,-299000000,1079000000,711000000,202000000,-216000000,117000000,100000000,-1456000000,-672000000,29000000,-10000000,-256000000,521000000,-101000000
98,Cash at the End of Period,- -,- -,- -,12400000,42459000,43220000,118338000,74217000,142700000,209400000,957400000,1841800000,1542800000,2622000000,3333000000,3535000000,3319000000,3436000000,3536000000,2080000000,1408000000,1437000000,1427000000,1171000000,1692000000,1591000000
