,https://roic.ai/company/PVH,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
10,Operating Expenses,119900000,126000000,115400000,163400000,196100000,237800000,270800000,327500000,351400000,360100000,455700000,401400000,499200000,420300000,402700000,434800000,465100000,462200000,598200000,621100000,684200000,764500000,879100000,1026900000,938791000,2078100000,2496300000,2588800000,3705800000,3796800000,3417700000,3581100000,4262000000,4416600000,4715200000,3983200000,4453900000
11,COGS and Expenses,511000000,470700000,460600000,595300000,680600000,750100000,842100000,969500000,1072100000,1205800000,1443600000,1311900000,1437200000,1251100000,1223200000,1385000000,1390800000,1335900000,1522700000,1511500000,1702000000,1825300000,2113300000,2318200000,2154919000,4293000000,5331000000,5382600000,7672900000,7711300000,7276400000,7413900000,8282400000,8765100000,9235800000,7339000000,8284500000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6195000,1295000,1739000,1267000,1497000,7503000,5000000,4000000,5900000,6300000,4700000,5300000,4200000,4400000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33639000,33524000,128561000,129355000,118747000,192199000,143500000,117000000,120900000,128500000,120800000,120000000,125500000,108600000
14,Depreciation and Amortization,5000000,5200000,5200000,6200000,7300000,9800000,12100000,15000000,19100000,24300000,25500000,23300000,25300000,25400000,19417000,20051000,25734000,25678000,28570000,32022000,35481000,37902000,46590000,55366000,49889000,147137000,132010000,140356000,313594000,244700000,257400000,321800000,324900000,334800000,323800000,325800000,313300000
15,EBITDA,34400000,43700000,49900000,33400000,40000000,45000000,56100000,69500000,71400000,61200000,22900000,47800000,-82500000,41700000,45317000,68266000,42442000,71978000,51470000,119029000,147247000,193195000,230001000,180859000,294996000,352266000,692949000,802175000,834577000,779700000,1021900000,1117200000,965300000,1233000000,890000000,-740300000,1394900000
16,EBITDA ratio,0.0625,0.0850,0.0998,0.0521,0.0546,0.0558,0.0621,0.0667,0.0620,0.0487,0.0156,0.0352,-0.0611,0.0320,0.0356,0.0469,0.0296,0.0512,0.0325,0.0725,0.0771,0.0924,0.0948,0.0726,0.1230,0.0760,0.1176,0.1327,0.1019,0.0946,0.1274,0.1362,0.1083,0.1277,0.0898,-0.1038,0.1524
17,Operating Income,39400000,43700000,39400000,45700000,52300000,56200000,62000000,73100000,80300000,49700000,20600000,47700000,-87200000,52000000,48300000,70500000,41100000,69000000,59300000,129900000,206800000,265300000,311800000,173700000,243812000,343900000,559700000,660400000,513500000,529900000,743900000,789200000,632400000,891700000,673200000,-206400000,870200000
18,Operating Income ratio,0.0716,0.0850,0.0788,0.0713,0.0714,0.0697,0.0686,0.0701,0.0697,0.0396,0.0141,0.0351,-0.0646,0.0399,0.0380,0.0484,0.0287,0.0491,0.0375,0.0791,0.1083,0.1269,0.1286,0.0697,0.1016,0.0742,0.0950,0.1093,0.0627,0.0643,0.0928,0.0962,0.0709,0.0923,0.0679,-0.0289,0.0951
19,Total Other Income Expenses (Gains),-10000000,-5200000,-3400000,-18300000,-19600000,-21000000,-18000000,-18600000,-16600000,-12800000,-23200000,-23100000,-20600000,-34600000,-22400000,-22300000,-24400000,-22700000,-36400000,-42900000,-28500000,-16900000,-17000000,-27400000,-32229000,-267300000,-128100000,-117300000,-184700000,-138500000,-96400000,-115000000,-122200000,-116100000,-229200000,-986600000,102500000
20,Income Before Tax,29400000,38500000,36000000,27400000,32700000,35200000,44000000,54500000,63700000,36900000,-2600000,24600000,-107800000,17400000,25900000,48200000,16700000,46300000,22900000,87000000,178300000,248400000,294800000,146300000,211583000,76600000,431600000,543100000,328800000,391400000,647500000,674200000,510200000,775600000,444000000,-1193000000,972700000
21,Income Before Tax Ratio,0.0534,0.0748,0.0720,0.0427,0.0446,0.0437,0.0487,0.0523,0.0553,0.0294,-0.0018,0.0181,-0.0799,0.0134,0.0204,0.0331,0.0117,0.0330,0.0145,0.0530,0.0934,0.1188,0.1216,0.0587,0.0882,0.0165,0.0733,0.0899,0.0402,0.0475,0.0807,0.0822,0.0572,0.0803,0.0448,-0.1673,0.1063
22,Income Tax expense (Gain),13500000,18400000,14700000,6600000,8500000,8800000,12900000,16600000,20400000,6900000,-2900000,6000000,-41200000,4500000,9000000,18115000,6008000,15900000,8200000,28407000,66000,93000,111000,54000,49673000,22768000,113684000,109272000,185284000,-47500000,75100000,125500000,-25900000,31000000,28900000,-55500000,20700000
23,Net Income,15900000,20100000,30000000,20600000,24200000,26400000,31100000,37900000,31900000,30000000,300000,18500000,-66600000,11800000,16900000,30100000,10700000,30400000,14700000,58600000,111700000,155200000,183300000,91800000,161910000,53800000,317900000,433800000,143500000,439000000,572400000,549000000,537800000,746400000,417300000,-1136100000,952300000
24,Net Income ratio,0.0289,0.0391,0.0600,0.0321,0.0330,0.0327,0.0344,0.0364,0.0277,0.0239,0.0002,0.0136,-0.0493,0.0091,0.0133,0.0207,0.0075,0.0216,0.0093,0.0357,0.0585,0.0742,0.0756,0.0368,0.0675,0.0116,0.0540,0.0718,0.0175,0.0533,0.0714,0.0669,0.0603,0.0773,0.0421,-0.1593,0.1040
25,EPS,0.51,0.64,1.11,0.69,0.88,1.00,1.24,1.50,1.22,1.13,0.01,0.69,-2.46,0.43,0.62,1.10,0.39,1.10,-0.18,1.20,2.15,2.71,3.29,1.78,3.14,0.80,4.73,6.16,1.77,5.33,6.95,6.85,6.71,9.76,5.62,-15.96,13.38
26,EPS Diluted,0.51,0.64,1.11,0.68,0.84,0.95,1.15,1.42,1.18,1.11,0.01,0.68,-2.46,0.43,0.62,1.10,0.38,1.08,-0.18,1.14,1.85,2.64,3.21,1.76,3.08,0.80,4.36,5.87,1.74,5.27,6.89,6.79,6.71,9.65,5.60,-15.96,13.38
27,Weighted Average Shares Outstanding,31176471,31406250,23333333,17971014,18181818,18200000,18467742,23866667,26147541,27162162,30000000,26811594,27073171,27441860,27290000,27291539,27646172,27770112,30314000,31244167,38297000,52110000,55720061,51428000,51639000,67065674,67158000,70392000,81167000,82400000,82400000,80200000,80200000,76500000,74200000,71200000,71200000
28,Weighted Average Shares Outstanding Diluted,31176471,31406250,23333333,18235294,19047619,19157895,19913043,25211268,27033898,27162162,30000000,27205882,27073171,27441860,27290000,27326955,27646172,28165142,30314000,32888596,51695000,53483000,57108723,52200000,52506000,67378000,72923000,73876000,82618000,83300000,83100000,80900000,80900000,77300000,74600000,71200000,71200000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/78239/000007823995000012/0000078239-95-000012-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823996000003/0000078239-96-000003-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823997000002/0000078239-97-000002-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/78239/000007823900000004/0000078239-00-000004-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823901500008/0000078239-01-500008-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823902000006/ten01k.htm,- -,https://www.sec.gov/Archives/edgar/data/78239/000007823904000021/tenk2104.htm,https://www.sec.gov/Archives/edgar/data/78239/000007823905000009/tenk1302005edgar.htm,https://www.sec.gov/Archives/edgar/data/78239/000104746906005175/a2169334z10-k.htm,https://www.sec.gov/Archives/edgar/data/78239/000007823907000011/0000078239-07-000011-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823908000010/0000078239-08-000010-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823909000013/0000078239-09-000013-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823910000015/0000078239-10-000015-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823911000015/formtenkjan302011.htm,https://www.sec.gov/Archives/edgar/data/78239/000007823912000024/0000078239-12-000024-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823913000019/0000078239-13-000019-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823914000017/0000078239-14-000017-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823915000008/0000078239-15-000008-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823916000062/0000078239-16-000062-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823917000009/0000078239-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823918000007/0000078239-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823919000011/0000078239-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823920000023/0000078239-20-000023-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823921000017/0000078239-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/78239/000007823922000031/0000078239-22-000031-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,81000000,17000000,12000000,11000000,11000000,95000000,20000000,44000000,117000000,133000000,124000000,267000000,366000000,270000000,328000000,480882000,499000000,233000000,892000000,593000000,479300000,556400000,730100000,493900000,452000000,503400000,1651400000,1242500000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,81000000,17000000,12000000,11000000,11000000,95000000,20000000,44000000,117000000,133000000,124000000,267000000,366000000,270000000,328000000,480882000,499000000,233000000,892000000,593000000,479300000,556400000,730100000,493900000,452000000,503400000,1651400000,1242500000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,87000000,141000000,110000000,105000000,88000000,85000000,118000000,108000000,84000000,97000000,93000000,97000000,92000000,186000000,201000000,196603000,447000000,481000000,441000000,761000000,743200000,685900000,641400000,696400000,803800000,765100000,666600000,765300000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,255000000,277000000,237000000,250000000,232700000,223000000,273000000,234000000,231000000,218000000,243000000,258000000,285000000,322000000,283000000,263788000,692000000,809000000,878000000,1281000000,1257300000,1322300000,1317900000,1591300000,1732400000,1615700000,1417100000,1348500000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,7000000,10000000,4000000,19000000,36300000,23000000,25000000,19000000,19000000,41000000,32000000,42000000,42000000,58000000,52000000,53610000,173000000,216000000,226000000,364000000,306000000,248000000,190200000,249200000,250400000,510000000,208600000,297400000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,430000000,445000000,363000000,385000000,368000000,426000000,436000000,405000000,451000000,489000000,492000000,664000000,785000000,836000000,864000000,994883000,1811000000,1739000000,2437000000,2999000000,2785800000,2812600000,2879600000,3030800000,3238600000,3394200000,3943700000,3653700000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,136000000,143000000,137000000,95000000,108800000,106000000,124000000,136000000,143000000,139000000,155000000,158000000,172000000,232000000,193000000,167474000,405000000,459000000,561000000,712000000,725700000,744600000,759900000,899800000,984500000,2702600000,2507500000,2255100000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,18000000,120000000,120000000,116000000,- -,84000000,113000000,95000000,95000000,160000000,176000000,200000000,271000000,322000000,377000000,419179000,1803000000,1822000000,1959000000,3507000000,3259100000,3219300000,3469900000,3834700000,3670500000,3677600000,2954300000,2828900000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,113300000,- -,- -,18000000,18000000,629000000,699000000,699000000,743000000,740000000,741000000,739191000,2601000000,2558000000,2581000000,4052000000,3781600000,3646400000,3610000000,3726600000,3569200000,3480700000,3518200000,584100000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,18000000,120000000,120000000,116000000,113300000,84000000,113000000,113000000,113000000,789000000,875000000,899000000,1014000000,1062000000,1118000000,1158370000,4404000000,4380000000,4540000000,7559000000,7040700000,6865700000,7079900000,7561300000,7239700000,7158300000,6472500000,3413000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,178000000,187000000,232000000,256000000,220000000,180000000,- -,509000000,507000000,590000000,1017000000,897900000,12200000,877700000,663000000,565200000,40300000,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000000,41000000,37000000,64000000,84200000,58000000,51000000,55000000,65000000,-156000000,-159000000,-206000000,-229000000,-178000000,-155000000,18952000,-394000000,-333000000,-346000000,-711000000,-625200000,261300000,-529200000,-269200000,-164300000,335600000,369800000,3075000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,166000000,304000000,294000000,275000000,306300000,248000000,288000000,304000000,321000000,950000000,1058000000,1083000000,1213000000,1336000000,1336000000,1344796000,4924000000,5013000000,5345000000,8577000000,8039100000,7883800000,8188300000,8854900000,8625100000,10236800000,9349800000,8743100000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,596000000,749000000,657000000,660000000,674300000,674000000,724000000,709000000,772000000,1439000000,1550000000,1747000000,1998000000,2172000000,2200000000,2339679000,6735000000,6752000000,7782000000,11576000000,10824900000,10696400000,11067900000,11885700000,11863700000,13631000000,13293500000,12396800000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,39000000,39000000,36000000,36000000,44900000,40000000,46000000,29000000,41000000,50000000,55000000,62000000,82000000,113000000,93000000,108494000,317000000,366000000,377000000,583000000,565300000,636100000,682600000,889800000,924200000,882800000,1124200000,1220800000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62000000,20000000,- -,20000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,13000000,11000000,7000000,8500000,162500000,19100000,19500000,12800000,426900000,462500000,421000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20557000,17751000,27709000,34419000,43524000,38974000,51235000,38376000,40239000,33503000,31200000,32300000,30700000,39200000,65300000,64700000,55800000,44900000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,75000000,82000000,66000000,238000000,67800000,85000000,88000000,85000000,86000000,133000000,132443000,145249000,173291000,212581000,212476000,215413000,534765000,626624000,733761000,928497000,823100000,696300000,832400000,923100000,891600000,986700000,939900000,1100800000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,114000000,183000000,122000000,274000000,132700000,125000000,134000000,114000000,127000000,183000000,208000000,225000000,283000000,360000000,349000000,362881000,908000000,1044000000,1162000000,1552000000,1428100000,1527200000,1564800000,1871600000,1893900000,2361100000,2582400000,2787500000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,170000000,230000000,189000000,100000000,248700000,249000000,249000000,249000000,249000000,399000000,400000000,400000000,400000000,400000000,400000000,399584000,2364000000,1833000000,2212000000,3878000000,3438700000,3054300000,3197300000,3061300000,2819400000,4225900000,4944400000,3532000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,408661000,508562000,507023000,589796000,1016647000,1004300000,836400000,877700000,663000000,565200000,558100000,- -,788500000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,37000000,61000000,56000000,66000000,64000000,58000000,73000000,80000000,123000000,296000000,313000000,350000000,373000000,456000000,452000000,- -,512438000,652977000,565204000,793353000,589500000,726200000,623600000,753400000,757400000,674400000,1036400000,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,207000000,291000000,245000000,166000000,312700000,307000000,322000000,329000000,372000000,695000000,713000000,750000000,773000000,856000000,852000000,808245000,3385000000,2993000000,3367000000,5688000000,5032500000,4616900000,4698600000,4477700000,4142000000,5458400000,5980800000,4320500000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1895500000,1852100000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,321000000,474000000,367000000,440000000,445400000,432000000,456000000,443000000,499000000,878000000,921000000,975000000,1056000000,1216000000,1201000000,1171126000,4293000000,4037000000,4529000000,7240000000,6460600000,6144100000,6263400000,6349300000,6035900000,7819500000,8563200000,7108000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,188595000,188595000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,27000000,27000000,27000000,27000000,- -,27000000,27000000,28000000,28000000,31000000,32000000,43000000,56000000,57000000,57000000,57139000,67000000,68000000,73000000,83000000,83100000,83500000,83900000,84900000,85400000,85900000,86300000,87100000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,136000000,132000000,147000000,76000000,83900000,97000000,123000000,129000000,156000000,146000000,179000000,255000000,389000000,559000000,642000000,796282000,840000000,1147000000,1446000000,1575000000,2001300000,2561200000,3098000000,3625200000,4350100000,4753000000,3613200000,4562800000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-109000000,-125000000,-136000000,-120000000,-128900000,-136000000,-155000000,-26000000,-68000000,-70000000,-32000000,-34000000,-32000000,-17000000,-73000000,-80000000,56000000,74000000,140000000,42000000,-417000000,-704000000,-711000000,-322000000,-508000000,-640100000,-519100000,-612700000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,221000000,241000000,252000000,237000000,273900000,254000000,274000000,135000000,156227000,189157000,185026000,346662000,529157000,357283000,372795000,395132000,1290962000,1237854000,1593569000,2635179000,2696900000,2611600000,2333600000,2148300000,1900300000,1612700000,1549900000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,275000000,275000000,290000000,220000000,228900000,242000000,269000000,266000000,272227000,296157000,364026000,610662000,942157000,956283000,998795000,1168553000,2442557000,2715449000,3252569000,4335179000,4364300000,4552300000,4804500000,5536400000,5827800000,5811500000,4730300000,5288800000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,596000000,749000000,657000000,660000000,674300000,674000000,725000000,709000000,771227000,1174157000,1285026000,1585662000,1998157000,2172283000,2199795000,2339679000,6735557000,6752449000,7781569000,11575179000,10824900000,10696400000,11067900000,11885700000,11863700000,13631000000,13293500000,12396800000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,- -,773000,264843000,264974000,161338000,-157000,-283000,205000,- -,-557000,-449000,431000,821000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,596000000,749000000,657000000,660000000,674300000,674000000,724000000,709000000,772000000,1439000000,1550000000,1747000000,1998000000,2172000000,2200000000,2339679000,6735000000,6752000000,7782000000,11576000000,10824900000,10696400000,11067900000,11885700000,11863700000,13631000000,13293500000,12396800000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/78239/000007823995000012/0000078239-95-000012-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823996000003/0000078239-96-000003-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823997000002/0000078239-97-000002-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/78239/000007823900000004/0000078239-00-000004-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823901500008/0000078239-01-500008-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823902000006/ten01k.htm,- -,https://www.sec.gov/Archives/edgar/data/78239/000007823904000021/tenk2104.htm,https://www.sec.gov/Archives/edgar/data/78239/000007823905000009/tenk1302005edgar.htm,https://www.sec.gov/Archives/edgar/data/78239/000104746906005175/a2169334z10-k.htm,https://www.sec.gov/Archives/edgar/data/78239/000007823907000011/0000078239-07-000011-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823908000010/0000078239-08-000010-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823909000013/0000078239-09-000013-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823910000015/0000078239-10-000015-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823911000015/formtenkjan302011.htm,https://www.sec.gov/Archives/edgar/data/78239/000007823912000024/0000078239-12-000024-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823913000019/0000078239-13-000019-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823914000017/0000078239-14-000017-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823915000008/0000078239-15-000008-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823916000062/0000078239-16-000062-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823917000009/0000078239-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823918000007/0000078239-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823919000011/0000078239-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823920000023/0000078239-20-000023-index.html,https://www.sec.gov/Archives/edgar/data/78239/000007823921000017/0000078239-21-000017-index.htm,https://www.sec.gov/Archives/edgar/data/78239/000007823922000031/0000078239-22-000031-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,24200000,26400000,31100000,37900000,31900000,30000000,300000,18500000,-66600000,11800000,16900000,30100000,10700000,30400000,14700000,58600000,111700000,155200000,183300000,91800000,161910000,53800000,317900000,433800000,143500000,439000000,572400000,549000000,537800000,746400000,415100000,-1137500000,952000000
74,Depreciation and Amortization,- -,- -,- -,- -,7300000,9800000,12100000,15000000,19100000,24300000,25500000,23300000,25300000,25400000,19417000,20051000,25734000,25678000,28570000,32022000,35481000,37902000,46590000,55366000,49889000,147137000,132010000,140356000,313594000,244700000,257400000,321800000,324900000,334800000,323800000,325800000,313300000
75,Deferred Income Tax,- -,- -,- -,- -,1100000,-1600000,300000,-500000,-2200000,-6300000,-7100000,8200000,-42200000,4000000,8193000,9885000,5156000,13594000,3944000,23649000,51871000,44201000,4356000,-18444000,4714000,-12493000,41179000,49987000,-62178000,-31000000,-8700000,1300000,-224600000,-113300000,-72900000,-144700000,-64900000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10527000,14456000,33281000,40938000,33599000,57954000,48700000,42000000,38200000,44900000,56200000,56100000,50500000,46800000
