,https://roic.ai/company/HSIC,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,3800000,6000000,7900000,14400000,20000000,28300000,33762000,35642000,28272000,36843000,51326000,60345000,64930000,73936000,78127000,81493000,101214000,115896000,125322000,128035000,152238000,159127000,169780000,193072000,207560000,184942000,185538000,209528000
15,EBITDA,-8700000,900000,55900000,30400000,56000000,114300000,126762000,174642000,217272000,257843000,235326000,308673000,238841000,414936000,477566000,543863000,620924000,694146000,732082000,778464000,857982000,875584000,926409000,1015531000,977719000,1089983000,726083000,1065709000
16,EBITDA ratio,-0.0179,0.0015,0.0407,0.0179,0.0291,0.0500,0.0532,0.0683,0.0769,0.0807,0.0604,0.0666,0.0476,0.0704,0.0749,0.0832,0.0825,0.0814,0.0819,0.0814,0.0827,0.0824,0.0801,0.0815,0.0741,0.1092,0.0718,0.0859
17,Operating Income,-9500000,-1000000,29700000,62400000,96200000,119300000,127613000,147750000,197003000,233719000,213087000,281088000,304897000,386259000,419603000,464085000,521131000,582149000,618961000,677054000,715142000,733972000,771574000,859369000,753052000,718261000,535303000,851656000
18,Operating Income ratio,-0.0195,-0.0016,0.0216,0.0367,0.0500,0.0522,0.0536,0.0578,0.0697,0.0732,0.0547,0.0606,0.0607,0.0656,0.0658,0.0710,0.0692,0.0682,0.0692,0.0708,0.0690,0.0690,0.0667,0.0690,0.0570,0.0719,0.0529,0.0687
19,Total Other Income Expenses (Gains),-3000000,-4100000,16300000,-49400000,-60200000,-29300000,-30613000,-7750000,-7003000,-10719000,-32087000,-16534000,-13897000,-7259000,-24603000,-11085000,-19131000,-12842000,-14961000,-12054000,-5830000,-13214000,-15739000,-36521000,-57704000,-37954000,-35408000,-21108000
20,Income Before Tax,-12500000,-5100000,46000000,13000000,36000000,90000000,97000000,140000000,190000000,223000000,181000000,264554000,291000000,379000000,395000000,453000000,502000000,569307000,604000000,665000000,709312000,720758000,755835000,822848000,695348000,680307000,499895000,830548000
21,Income Before Tax Ratio,-0.0257,-0.0083,0.0335,0.0077,0.0187,0.0394,0.0407,0.0547,0.0673,0.0698,0.0464,0.0571,0.0579,0.0643,0.0619,0.0693,0.0667,0.0667,0.0676,0.0696,0.0684,0.0678,0.0653,0.0660,0.0527,0.0681,0.0494,0.0670
22,Income Tax expense (Gain),-1600000,5100000,19000000,18000000,20000000,36000000,36000000,52000000,71000000,83000000,67000000,97002000,12911000,129000000,131000000,128000000,160069000,180212000,187858000,190891000,215610000,211391000,217958000,362506000,155492000,159515000,95374000,197349000
23,Net Income,-10900000,-10200000,29000000,-2000000,16000000,50000000,57000000,87000000,118000000,138000000,117000000,151326000,161000000,212000000,239000000,311000000,326000000,367661000,388000000,432000000,466077000,479058000,506778000,406299000,535881000,694734000,403794000,631232000
24,Net Income ratio,-0.0224,-0.0166,0.0211,-0.0012,0.0083,0.0219,0.0239,0.0340,0.0418,0.0432,0.0300,0.0326,0.0321,0.0360,0.0375,0.0476,0.0433,0.0431,0.0434,0.0452,0.0449,0.0451,0.0438,0.0326,0.0406,0.0696,0.0399,0.0509
25,EPS,-0.01,-0.00,0.23,-0.01,0.10,0.31,0.34,0.52,0.68,0.79,0.37,0.87,0.93,1.22,1.36,1.75,1.81,2.04,2.22,2.51,2.77,2.89,3.13,2.59,3.51,4.70,2.83,4.51
26,EPS Diluted,-0.01,-0.00,0.23,-0.01,0.10,0.30,0.34,0.50,0.66,0.77,0.36,0.85,0.91,1.18,1.33,1.72,1.75,1.99,2.16,2.46,2.72,2.85,3.10,2.57,3.49,4.65,2.82,4.45
27,Weighted Average Shares Outstanding,2180000000,73228000,82896000,138228000,157220000,162340000,164976000,169464000,173956000,174836000,349012000,174012000,175904000,177118000,178160000,177744000,180194000,180240000,174998000,171852000,168530000,165688000,161640000,156787000,152656000,147817000,142504000,140091000
28,Weighted Average Shares Outstanding Diluted,2180000000,73228000,82896000,138228000,166196000,165752000,168028000,174180000,179488000,179952000,357848000,178374000,179640000,182326000,182442000,181112000,186536000,185240000,179646000,175244000,171480000,168250000,163724000,158208000,153707000,149257000,143404000,141773000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1000228/000100547797000911/0001005477-97-000911-index.html,- -,https://www.sec.gov/Archives/edgar/data/1000228/000088981299000849/0000889812-99-000849-index.html,https://www.sec.gov/Archives/edgar/data/1000228/000088981200001326/0000889812-00-001326-index.html,https://www.sec.gov/Archives/edgar/data/1000228/000112528201001159/0001125282-01-001159-index.html,https://www.sec.gov/Archives/edgar/data/1000228/000100022802000007/0001000228-02-000007-index.html,https://www.sec.gov/Archives/edgar/data/1000228/000100022803000008/0001000228-03-000008-index.html,https://www.sec.gov/Archives/edgar/data/1000228/000095012304003036/0000950123-04-003036-index.html,https://www.sec.gov/Archives/edgar/data/1000228/000095012305002634/0000950123-05-002634-index.html,https://www.sec.gov/Archives/edgar/data/1000228/000095012306002954/0000950123-06-002954-index.html,https://www.sec.gov/Archives/edgar/data/1000228/000095012307002886/y30969e10vk.htm,https://www.sec.gov/Archives/edgar/data/1000228/000095012308002119/y50229e10vk.htm,https://www.sec.gov/Archives/edgar/data/1000228/000100022809000011/0001000228-09-000011-index.html,https://www.sec.gov/Archives/edgar/data/1000228/000100022810000006/0001000228-10-000006-index.html,https://www.sec.gov/Archives/edgar/data/1000228/000100022811000014/the2010_10k.htm,https://www.sec.gov/Archives/edgar/data/1000228/000100022812000009/0001000228-12-000009-index.html,https://www.sec.gov/Archives/edgar/data/1000228/000100022813000010/0001000228-13-000010-index.html,https://www.sec.gov/Archives/edgar/data/1000228/000100022814000010/the10k_2013.htm,https://www.sec.gov/Archives/edgar/data/1000228/000100022815000007/the10k_2014.htm,https://www.sec.gov/Archives/edgar/data/1000228/000100022816000042/0001000228-16-000042-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1000228/000100022820000018/0001000228-20-000018-index.html,https://www.sec.gov/Archives/edgar/data/1000228/000100022821000019/0001000228-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1000228/000100022822000016/0001000228-22-000016-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,45800000,11800000,28200000,26000000,58400000,193400000,200700000,157400000,186600000,254498000,248600000,247600000,369600000,471200000,150300000,147284000,122100000,188600000,89474000,72086000,62381000,174658000,80209000,106097000,421185000,117965000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,31200000,3000000,- -,80195000,48000000,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,45800000,11800000,28200000,26000000,58400000,193400000,231900000,160400000,186600000,334693000,296600000,248600000,369600000,471200000,150300000,147284000,122100000,188600000,89474000,72086000,62381000,174658000,80209000,106097000,421185000,117965000
34,Net Receivables,- -,- -,207200000,284700000,338100000,388100000,371700000,363700000,368300000,467100000,554700000,582617000,610000000,708300000,734000000,725400000,885800000,888248000,1015200000,1055200000,1127517000,1229816000,1254139000,1470047000,1603711000,1246246000,1424787000,1451829000
35,Inventory,- -,- -,180800000,228000000,270000000,285600000,276500000,291200000,323100000,385800000,486500000,505542000,584100000,666800000,731700000,775200000,870200000,947849000,1203500000,1250400000,1327796000,1509957000,1635750000,1933803000,1970742000,1428799000,1512499000,1861138000
36,Other Current Assets,- -,- -,39900000,54500000,68200000,79100000,81800000,78700000,104200000,143200000,202900000,161557000,154100000,225100000,230800000,231700000,263000000,289127000,363600000,340500000,368379000,419241000,360510000,454752000,520558000,445360000,432944000,413103000
37,Total Current Assets,- -,- -,473700000,579000000,704500000,778800000,788400000,927000000,1027500000,1156500000,1430700000,1584409000,1644800000,1848800000,2066100000,2203500000,2169300000,2272508000,2704400000,2834700000,2913166000,3231100000,3312780000,4033260000,4175220000,3226502000,3791415000,3844035000
38,PP&E,- -,- -,48000000,63200000,67600000,86600000,94700000,118000000,142500000,154200000,176100000,190746000,225000000,247700000,247800000,259600000,252600000,262088000,273500000,275900000,311496000,318476000,333906000,375001000,382398000,561307000,630851000,691406000
39,Goodwill,- -,- -,77700000,130800000,148400000,295100000,292000000,280000000,302700000,398900000,627200000,- -,773800000,917200000,923000000,986400000,1424800000,1497108000,1601000000,1635000000,1884123000,1907593000,2019740000,2301331000,2820295000,2462495000,2504392000,2854150000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,8000000,7700000,37600000,129300000,750073000,161500000,200000000,220000000,209800000,410400000,409612000,466200000,420500000,646893000,595485000,623117000,671019000,584826000,572882000,479429000,667626000
41,Intangible Assets,- -,- -,77700000,130800000,148400000,295100000,292000000,288000000,310400000,436500000,756500000,750073000,935300000,1117200000,1143000000,1196200000,1835200000,1906720000,2067200000,2055500000,2531016000,2503078000,2642857000,2972350000,3405121000,3035377000,2983821000,3521776000
42,Investments,- -,- -,29500000,22700000,24800000,23800000,17000000,11300000,38100000,25700000,23800000,58000000,36200000,41100000,148482000,182036000,295334000,298828000,193891000,208210000,261471000,293273000,299249000,268364000,283091000,164659000,169382000,168118000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,32900000,66600000,- -,62300000,80300000,95400000,101000000,190200000,- -,196800000,198700000,253118000,252862000,16685000,10962000,83242000,64989000,42594000,34607000
44,Other Non-Current Assets,- -,- -,- -,8200000,16700000,19800000,39000000,41100000,39600000,13600000,-20000000,-108000,-22500000,-21100000,-101582000,-106336000,-195134000,- -,-101791000,51590000,-131460000,-94049000,124919000,151298000,171455000,98267000,154469000,221149000
45,Total Non-Current Assets,- -,- -,155200000,224900000,257500000,425300000,442700000,458400000,530600000,662900000,1003000000,998711000,1236300000,1465200000,1533100000,1632500000,2378200000,2467636000,2629600000,2789900000,3225641000,3273640000,3417616000,3777975000,4325307000,3924599000,3981117000,4637056000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,628900000,803900000,962000000,1204100000,1231100000,1385400000,1558100000,1819400000,2433700000,2583120000,2881100000,3314000000,3599200000,3836000000,4547500000,4740144000,5334000000,5624600000,6138807000,6504740000,6730396000,7811235000,8500527000,7151101000,7772532000,8481091000
48,Accounts Payable,- -,- -,120700000,138000000,169900000,199000000,216500000,263200000,243200000,278200000,367200000,371392000,414100000,474000000,554800000,521100000,590000000,621468000,787700000,824500000,860996000,1005798000,977249000,1153012000,1227209000,880266000,1005655000,1053934000
49,Short-Term Debt,- -,- -,6700000,32200000,19400000,41500000,4400000,4000000,7452000,9312000,9875000,35106000,43564000,33296000,161341000,24492000,45995000,77833000,45158000,34949000,188714000,345962000,503399000,758312000,960413000,199173000,247918000,137563000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,91581000,121234000,132774000,145161000,151162000,161760000,151750000,188873000,172165000,165171000,138671000,136919000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,30559000,28795000,- -,28240000,32827000,36974000,48001000,48951000,- -,64049000,63865000,56591000,58159000,- -,- -,- -,64989000,- -,- -
52,Other Current Liabilities,- -,- -,59900000,95900000,111600000,109900000,144000000,169900000,172648000,201129000,288030000,317616000,324196000,400477000,430585000,482707000,483154000,572339000,575793000,627386000,673810000,737078000,809998000,864891000,1031205000,893941000,1029529000,1115017000
53,Total Current Liabilities,- -,- -,187300000,266100000,300900000,350400000,364900000,437100000,423300000,519200000,693900000,724114000,810100000,940600000,1183700000,1076300000,1168100000,1271640000,1472700000,1550700000,1780111000,2146997000,2290646000,2776215000,3218827000,2038369000,2283102000,2306514000
54,Long-Term Debt,- -,- -,33300000,104900000,180400000,318200000,266200000,242200000,242600000,247100000,525700000,489520000,455800000,423300000,256600000,243400000,395300000,363524000,488100000,450200000,542776000,463752000,715457000,907756000,1003873000,622908000,754500000,1079118000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74042000,- -,- -,- -,- -,190225000,188739000,196814000,198674000,253118000,252862000,51589000,50431000,31570000,- -,30065000,42283000
57,Other Non-Current Liabilities,- -,- -,8800000,8700000,17700000,17600000,20900000,25700000,30900000,49000000,108000000,53547000,144300000,170100000,386800000,354800000,382175000,80568000,562786000,639826000,749208000,756873000,871900000,1252423000,704469000,1491780000,720480000,989984000
58,Total Non-Current Liabilities,- -,- -,42100000,113600000,198100000,335800000,287100000,267900000,273500000,296100000,633700000,617109000,600100000,593400000,643400000,598200000,967700000,632831000,1247700000,1288700000,1545102000,1473487000,1638946000,2210610000,1739912000,2114688000,1505045000,2111385000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,241616000,303443000,344165000
61,Total Liabilities,- -,- -,229400000,379700000,499000000,686200000,652000000,705000000,696800000,815300000,1327600000,1341223000,1410200000,1534000000,1827100000,1674500000,2135800000,1904471000,2720400000,2839400000,3325213000,3620484000,3929592000,4986825000,4958739000,4153057000,3788147000,4417899000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,300000,400000,400000,400000,400000,400000,400000,400000,900000,871000,900000,900000,900000,900000,900000,899000,900000,900000,840000,824000,794000,1537000,1514000,1434000,1425000,1371000
64,Retained Earnings,- -,- -,89700000,99600000,119100000,167800000,225000000,312400000,430400000,533700000,615300000,735079000,808200000,1005100000,1181500000,1492600000,1779200000,2007477000,2183900000,2398300000,2642523000,2895997000,2981777000,2940029000,3208589000,3116215000,3454831000,3595233000
65,Other Comprehensive Income/Loss,- -,- -,-1200000,-6400000,-6800000,-22000000,-37200000,-48600000,-5010000,24908000,44348000,20634000,47363000,100268000,29721000,64194000,30514000,22584000,52855000,67849000,-95132000,-219939000,-317041000,-130067000,-248771000,-167373000,-108084000,-171478000
66,Other Total Stockholders Equity,- -,- -,310700000,330600000,350300000,371700000,390900000,416300000,435427000,445110000,445505000,472960000,614500000,673714000,720064000,603785000,601011000,401262000,375930000,318148000,265363000,207374000,127536000,- -,- -,47768000,- -,- -
67,Total Stockholders Equity,- -,- -,399500000,424200000,463000000,517900000,579100000,680500000,861217000,1004118000,1106053000,1229544000,1470963000,1779982000,1932185000,2161479000,2411625000,2432222000,2613585000,2785197000,2813594000,2884256000,2793066000,2811499000,2961332000,2998044000,3348172000,3425126000
68,Total Liabilities And Stockholders Equity,- -,- -,628900000,803900000,962000000,1204100000,1231100000,1385500000,1558017000,1819418000,2433653000,2570767000,2881163000,3313982000,3759285000,3835979000,4547425000,4336693000,5333985000,5624597000,6138807000,6504740000,6722658000,7798324000,7920071000,7151101000,7136319000,7843025000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,-100000,83000,-18000,47000,12353000,-63000,18000,-160085000,21000,75000,403451000,15000,3000,- -,- -,7738000,12911000,580456000,- -,636213000,638066000
70,Total Liabilities & Equity,- -,- -,628900000,803900000,962000000,1204100000,1231100000,1385400000,1558100000,1819400000,2433700000,2583120000,2881100000,3314000000,3599200000,3836000000,4547500000,4740144000,5334000000,5624600000,6138807000,6504740000,6730396000,7811235000,8500527000,7151101000,7772532000,8481091000
71,SEC Link,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1000228/000100547797000911/0001005477-97-000911-index.html,- -,https://www.sec.gov/Archives/edgar/data/1000228/000088981299000849/0000889812-99-000849-index.html,https://www.sec.gov/Archives/edgar/data/1000228/000088981200001326/0000889812-00-001326-index.html,https://www.sec.gov/Archives/edgar/data/1000228/000112528201001159/0001125282-01-001159-index.html,https://www.sec.gov/Archives/edgar/data/1000228/000100022802000007/0001000228-02-000007-index.html,https://www.sec.gov/Archives/edgar/data/1000228/000100022803000008/0001000228-03-000008-index.html,https://www.sec.gov/Archives/edgar/data/1000228/000095012304003036/0000950123-04-003036-index.html,https://www.sec.gov/Archives/edgar/data/1000228/000095012305002634/0000950123-05-002634-index.html,https://www.sec.gov/Archives/edgar/data/1000228/000095012306002954/0000950123-06-002954-index.html,https://www.sec.gov/Archives/edgar/data/1000228/000095012307002886/y30969e10vk.htm,https://www.sec.gov/Archives/edgar/data/1000228/000095012308002119/y50229e10vk.htm,https://www.sec.gov/Archives/edgar/data/1000228/000100022809000011/0001000228-09-000011-index.html,https://www.sec.gov/Archives/edgar/data/1000228/000100022810000006/0001000228-10-000006-index.html,https://www.sec.gov/Archives/edgar/data/1000228/000100022811000014/the2010_10k.htm,https://www.sec.gov/Archives/edgar/data/1000228/000100022812000009/0001000228-12-000009-index.html,https://www.sec.gov/Archives/edgar/data/1000228/000100022813000010/0001000228-13-000010-index.html,https://www.sec.gov/Archives/edgar/data/1000228/000100022814000010/the10k_2013.htm,https://www.sec.gov/Archives/edgar/data/1000228/000100022815000007/the10k_2014.htm,https://www.sec.gov/Archives/edgar/data/1000228/000100022816000042/0001000228-16-000042-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1000228/000100022820000018/0001000228-20-000018-index.html,https://www.sec.gov/Archives/edgar/data/1000228/000100022821000019/0001000228-21-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1000228/000100022822000016/0001000228-22-000016-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-10900000,-10200000,29000000,-2000000,16000000,50000000,57000000,87000000,118000000,138000000,117000000,151326000,161000000,212000000,239000000,311000000,326000000,367661000,388000000,432000000,466077000,479058000,506778000,406299000,535881000,694734000,403794000,631232000
74,Depreciation and Amortization,3800000,6000000,7900000,14400000,20000000,28300000,33762000,35642000,28272000,36843000,51326000,60345000,64930000,73936000,78127000,81493000,101214000,115896000,125322000,128035000,152238000,159127000,169780000,193072000,207560000,184942000,185538000,209528000
75,Deferred Income Tax,-3600000,-1100000,2400000,-3900000,200000,- -,-1335000,292000,226000,5524000,13294000,2792000,1297000,-7404000,- -,- -,- -,-19319000,10072000,-11514000,27296000,5606000,-30069000,138167000,-51863000,-2116000,-77858000,-12932000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30091000,31225000,35631000,42730000,37313000,35527000,45876000,44614000,58246000,42294000,36240000,44920000,8788000,78415000
77,Change in Working Capital,-3000000,286400000,26500000,90700000,24800000,-4900000,66400000,114300000,33100000,99500000,123495000,-25595000,73500000,-25800000,244800000,-126000000,-332000,230832000,52300000,-150945000,-48952000,-61969000,234911000,-300652000,231740000,320180000,102643000,-197201000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-26834000,20445000,-76129000,36204000,-73925000,-45110000,-81441000,-120001000,-1904000,-159876000,-147499000,-72689000,-189349000,4162000
79,Inventory,-5400000,-7300000,-23000000,-24100000,-34500000,12100000,4630000,-17850000,-23075000,-28781000,-28614000,6484000,-41958000,-15946000,-68360000,-19242000,-21307000,-44155000,-193585000,-48087000,-71899000,-194869000,-104787000,-175059000,-84784000,14702000,-31817000,-295131000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,286400000,312900000,403600000,428400000,423500000,489900000,604200000,637300000,736800000,860295000,834700000,908200000,882400000,1127200000,1001200000,1000868000,1231700000,1284000000,1133055000,1084103000,1022134000,1257045000,956393000,1188133000,1508313000,1610956000,- -
82,Other Non-Cash Items,20000000,-291900000,-100300000,-136400000,-58300000,-25400000,-2833000,-46323000,-44929000,-151024000,-114116000,76273000,-65410000,17479000,-207369000,99172000,-73639000,-183175000,-204908000,231072000,-50031000,-39595000,-324185000,66335000,-274852000,-588573000,-23995000,538000
83,Cash Provided by Operating Activities,6300000,-10800000,-34500000,-37200000,2700000,48000000,152994000,190911000,134669000,128843000,190999000,265141000,235317000,270211000,384649000,396890000,388874000,554625000,408099000,664175000,592504000,586841000,615461000,545515000,684706000,654087000,598910000,709580000
84,CAPEX,-5900000,-9200000,-11200000,-49600000,-47400000,-167100000,-29743000,-46127000,-47543000,-38978000,-37837000,-50829000,-67000000,-56821000,-50870000,-51627000,-39000000,-45176000,-51237000,-60215000,-82116000,-71684000,-70179000,-81501000,-90637000,-76219000,-48829000,-79015000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-6838000,-8588000,-36224000,-118180000,-149814000,-68213000,-163353000,-190355000,-128470000,-43932000,-399575000,-149403000,-220238000,-195727000,-424283000,-171861000,-228575000,-288673000,-60570000,-348628000,-46153000,-560801000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-55211000,-39667000,- -,-111945000,-222036000,-115066000,-35925000,- -,-26984000,- -,- -,-182363000,-424283000,-171861000,-228575000,-288673000,-61570000,-655879000,-60173000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,79649000,14472000,31749000,298047000,163065000,5722000,9955000,32984000,2600000,9225000,- -,3250000,20000,- -,34048000,1000000,307251000,14020000,- -
88,Other Investing Activites,-2000000,-20300000,-37900000,-5500000,-1300000,3000000,-9645000,-355000,-3780000,-946000,627000,36372000,-26019000,-42870000,41666000,-11844000,4171000,-4090000,-7354000,171700000,410793000,155355000,210907000,282523000,18823000,349102000,26116000,-37401000
89,Cash Used for Investing Activites,-7900000,-29500000,-49100000,-55100000,-48700000,-164100000,-46226000,-55070000,-142758000,-118122000,-172552000,-162866000,-180361000,-242047000,-167877000,-97448000,-428404000,-196069000,-269604000,-266605000,-516639000,-260031000,-316422000,-342276000,-192954000,-424373000,-115019000,-677217000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-40918000,-158810000,-266051000,-33722000,-72907000,-729977000,-228407000,-201203000,-15381000,-60050000,-28042000,-1188856000,-611216000,-140678000
91,Common Stock Issued,- -,72500000,124100000,4100000,11000000,12500000,6283000,14155000,34122000,22348000,21425000,29500000,35622000,35459000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,361090000,- -,- -
92,Common Stock Repurchased,- -,-800000,-300000,-600000,- -,- -,- -,- -,- -,-61754000,-82213000,-52276000,-40263000,-30689000,-82788000,- -,-57735000,-200002000,-299883000,-300251000,-299989000,-299852000,-550024000,-450000000,-200000000,-525000000,-73789000,-401211000
93,Dividends Paid,-600000,- -,- -,-2400000,-2000000,-146900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,4300000,-28300000,-6200000,53200000,53400000,256300000,-84134000,-13784000,-15439000,-8969000,87158000,-16090000,-16633000,-35890000,35736000,-38865000,40530000,-120643000,202189000,694254000,373749000,181684000,265176000,397499000,-375734000,1136786000,497820000,208932000
95,Cash Used/Provided by Financing Activities,3700000,43400000,117600000,54300000,62400000,121900000,-77851000,371000,18683000,-48375000,26370000,-38866000,-21274000,-31120000,-87970000,-197675000,-283256000,-354367000,-170601000,-335974000,-154647000,-319371000,-300229000,-112551000,-603776000,-215980000,-187185000,-332957000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-8000000,3426000,-1207000,-3310000,-5646000,-15547000,4468000,4282000,1899000,-6822000,-183000,1980000,-7253000,- -,4940000,-20360000,-24827000,-8515000,21589000,17575000,12154000,18382000,-2626000
