,https://roic.ai/company/NKE,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),57800000,37800000,64500000,103600000,150400000,174700000,192600000,229500000,191800000,250200000,345900000,499400000,253400000,294700000,340100000,331700000,349000000,382900000,504400000,648200000,749600000,708400000,619500000,469800000,610200000,711000000,760000000,808000000,851000000,932000000,863000000,646000000,2392000000,772000000,348000000,934000000
23,Net Income,59200000,35900000,101700000,167000000,243000000,287000000,329200000,365000000,298800000,399700000,553200000,795800000,399600000,451400000,579100000,589700000,663300000,474000000,945600000,1211600000,1392000000,1491500000,1883400000,1486700000,1906700000,2133000000,2223000000,2485000000,2693000000,3273000000,3760000000,4240000000,1933000000,4029000000,2539000000,5727000000
24,Net Income ratio,0.0554,0.0409,0.0845,0.0976,0.1087,0.0956,0.0967,0.0929,0.0788,0.0840,0.0855,0.0866,0.0418,0.0514,0.0644,0.0621,0.0670,0.0443,0.0772,0.0882,0.0931,0.0914,0.1011,0.0775,0.1003,0.1022,0.0921,0.0982,0.0969,0.1070,0.1161,0.1234,0.0531,0.1030,0.0679,0.1286
25,EPS,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.02,0.02,0.17,0.24,0.34,0.17,0.20,0.26,0.27,0.31,0.22,0.45,0.58,0.67,0.74,0.95,0.77,0.98,1.12,1.21,1.39,1.52,1.90,2.21,2.56,1.19,2.55,1.63,3.64
26,EPS Diluted,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.02,0.02,0.17,0.24,0.34,0.17,0.20,0.26,0.27,0.30,0.22,0.44,0.56,0.66,0.73,0.94,0.76,0.96,1.10,1.18,1.35,1.49,1.85,2.16,2.51,1.17,2.49,1.60,3.56
27,Weighted Average Shares Outstanding,2417408000,2428032000,2374592000,2387136000,2387136000,2409472000,2416320000,2427264000,2342400000,2352096000,2348864000,2376000000,2316521739,2271194969,2206095238,2164036697,2139677419,2118435754,2105600000,2102559653,2073743017,2015540541,1982400000,1939600000,1942000000,1902000000,1840000000,1794600000,1766800000,1723400000,1697900000,1657800000,1623800000,1579700000,1558800000,1573000000
28,Weighted Average Shares Outstanding Diluted,2417408000,2428032000,2374592000,2387136000,2387136000,2409472000,2416320000,2427264000,2342400000,2352096000,2348864000,2376000000,2368000000,2300127389,2238067633,2184074074,2174754098,2142372881,2157600000,2163571429,2109090909,2036177474,2016400000,1962800000,1975600000,1942800000,1879200000,1832800000,1811600000,1768800000,1742500000,1692000000,1659100000,1618400000,1591600000,1609400000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/320187/000032018795000013/0000320187-95-000013-index.html,https://www.sec.gov/Archives/edgar/data/320187/000032018796000014/0000320187-96-000014-index.html,https://www.sec.gov/Archives/edgar/data/320187/000091205797029601/0000912057-97-029601-index.html,- -,https://www.sec.gov/Archives/edgar/data/320187/000032018799000010/0000320187-99-000010-index.html,- -,https://www.sec.gov/Archives/edgar/data/320187/000109581101503828/0001095811-01-503828-index.html,https://www.sec.gov/Archives/edgar/data/320187/000089102002001248/0000891020-02-001248-index.html,https://www.sec.gov/Archives/edgar/data/320187/000119312503031022/0001193125-03-031022-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000119312504128270/0001193125-04-128270-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000095012405004551/0000950124-05-004551-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000119312506156152/0001193125-06-156152-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000119312507164166/0001193125-07-164166-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000119312508159004/0001193125-08-159004-index.htm,- -,https://www.sec.gov/Archives/edgar/data/320187/000119312510161874/0001193125-10-161874-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000119312511194791/0001193125-11-194791-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000119312512312306/0001193125-12-312306-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018713000092/0000320187-13-000092-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018714000097/0000320187-14-000097-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018715000113/0000320187-15-000113-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018716000336/0000320187-16-000336-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018717000090/0000320187-17-000090-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018718000142/0000320187-18-000142-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018719000051/0000320187-19-000051-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018720000047/0000320187-20-000047-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018721000028/0000320187-21-000028-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,216100000,262100000,445400000,108600000,198100000,254300000,304000000,575500000,634000000,828000000,1388100000,954200000,1856700000,2133900000,2291100000,3079100000,1955000000,2317000000,3337000000,2220000000,3852000000,3138000000,3808000000,4249000000,4466000000,8348000000,9889000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400800000,436600000,1348800000,990300000,642200000,1164000000,2066800000,2583000000,1440000000,2628000000,2922000000,2072000000,2319000000,2371000000,996000000,197000000,439000000,3587000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,216100000,262100000,445400000,108600000,198100000,254300000,304000000,575500000,634000000,1228800000,1824700000,2303000000,2847000000,2776100000,3455100000,5145900000,4538000000,3757000000,5965000000,5142000000,5924000000,5457000000,6179000000,5245000000,4663000000,8787000000,13476000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,1053200000,1346100000,1754100000,1674400000,1556000000,1569400000,1621400000,1807100000,2101100000,2120200000,2262100000,2395900000,2494700000,2795300000,2883900000,2649800000,3138000000,3280000000,3117000000,3434000000,3358000000,3241000000,3677000000,3498000000,4272000000,2749000000,4463000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,629700000,931200000,1338600000,1396600000,1199300000,1446000000,1424100000,1373800000,1514900000,1633600000,1811100000,2076700000,2121900000,2438400000,2357000000,2040800000,2715000000,3350000000,3434000000,3947000000,4337000000,4838000000,5055000000,5261000000,5622000000,7367000000,6854000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,146900000,187500000,292800000,353000000,311500000,326700000,275800000,401300000,429900000,529400000,453200000,583400000,612900000,829500000,1038000000,1122700000,906000000,1144000000,1110000000,1173000000,2357000000,1489000000,1150000000,1130000000,1968000000,1653000000,1498000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2045900000,2726900000,3830900000,3532600000,3264900000,3596400000,3625300000,4157700000,4679900000,5512000000,6351100000,7359000000,8076500000,8839300000,9734000000,10959200000,11297000000,11531000000,13626000000,13696000000,15976000000,15025000000,16061000000,15134000000,16525000000,20556000000,26291000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,554900000,643500000,922400000,1153100000,1265800000,1583400000,1618800000,1614500000,1620800000,1586900000,1605800000,1657700000,1678300000,1891100000,1957700000,1931900000,2115000000,2279000000,2452000000,2834000000,3011000000,3520000000,3989000000,4454000000,4744000000,7963000000,8017000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,135400000,- -,130800000,130800000,448800000,193500000,187600000,205000000,201000000,131000000,131000000,131000000,131000000,139000000,154000000,154000000,223000000,242000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,495900000,474800000,464200000,435800000,426600000,410900000,397300000,437800000,183800000,366300000,541500000,405500000,409900000,743100000,467400000,467000000,487000000,535000000,382000000,282000000,281000000,281000000,283000000,285000000,283000000,274000000,269000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,495900000,474800000,464200000,435800000,426600000,410900000,397300000,437800000,183800000,501700000,541500000,536300000,540700000,1191900000,660900000,654600000,692000000,736000000,513000000,413000000,412000000,412000000,422000000,439000000,437000000,497000000,511000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,178200000,233000000,229400000,291000000,295200000,316600000,392800000,520400000,897000000,873600000,894000000,919000000,993000000,1651000000,2201000000,2439000000,2787000000,2509000000,2011000000,2326000000,2921000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,46000000,106400000,143700000,275900000,290400000,266200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1096800000,1224700000,1530300000,1864800000,1982800000,2260500000,2194300000,2285300000,2034000000,2379600000,2442500000,2510600000,2611800000,3603400000,3515600000,3460100000,3701000000,3934000000,3958000000,4898000000,5624000000,6371000000,7198000000,7402000000,7192000000,10786000000,11449000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,3142700000,3951600000,5361200000,5397400000,5247700000,5856900000,5819600000,6443000000,6713900000,7891600000,8793600000,9869600000,10688300000,12442700000,13249600000,14419300000,14998000000,15465000000,17584000000,18594000000,21600000000,21396000000,23259000000,22536000000,23717000000,31342000000,37740000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,297700000,455000000,687100000,584600000,373200000,543800000,432000000,504400000,572700000,763800000,843900000,952200000,1040300000,1287600000,1031900000,1254500000,1469000000,1588000000,1646000000,1930000000,2131000000,2191000000,2048000000,2279000000,2612000000,2248000000,2836000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,429000000,452400000,555400000,481800000,420100000,974300000,860700000,480500000,281100000,152600000,76000000,298700000,131300000,184000000,374900000,146000000,387000000,157000000,178000000,174000000,181000000,45000000,331000000,342000000,15000000,696000000,469000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,118200000,- -,- -,- -,- -,86300000,59300000,117000000,246000000,290000000,636000000,245000000,244000000,280000000,374000000,463000000,358000000,306000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,380800000,559700000,624400000,637400000,653600000,621900000,494000000,851300000,1161400000,1092600000,1079300000,1372400000,1412400000,1849900000,1870200000,1963700000,2102000000,2120000000,2102000000,2923000000,4022000000,3122000000,3095000000,3419000000,5239000000,5340000000,6369000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1107500000,1467100000,1866900000,1703800000,1446900000,2140000000,1786700000,1836200000,2015200000,2009000000,1999200000,2623300000,2584000000,3321500000,3277000000,3364200000,3958000000,3865000000,3926000000,5027000000,6334000000,5358000000,5474000000,6040000000,7866000000,8284000000,9674000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,10600000,9600000,296000000,379400000,386100000,470300000,435900000,625900000,551600000,682400000,687300000,410700000,409900000,441100000,437200000,445800000,276000000,228000000,1210000000,1199000000,1079000000,2010000000,3471000000,3468000000,3464000000,12319000000,2931000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,17800000,1900000,16000000,52300000,79800000,110300000,102200000,141600000,156100000,418200000,462600000,550100000,668700000,854500000,842000000,855300000,921000000,991000000,1292000000,1544000000,1480000000,1770000000,1907000000,3216000000,3347000000,2684000000,2955000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,41800000,41600000,26200000,- -,- -,- -,300000,300000,300000,300000,300000,300000,300000,300000,600000,300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9413000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,70200000,53100000,338200000,431700000,465900000,580600000,538400000,767800000,708000000,1100900000,1150200000,961100000,1078900000,1295900000,1279800000,1301400000,1197000000,1219000000,2502000000,2743000000,2559000000,3780000000,5378000000,6684000000,6811000000,15003000000,15299000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3358000000,3398000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1177700000,1520200000,2205100000,2135500000,1912800000,2720600000,2325100000,2604000000,2723200000,3109900000,3149400000,3584400000,3662900000,4617400000,4556800000,4665600000,5155000000,5084000000,6428000000,7770000000,8893000000,9138000000,10852000000,12724000000,14677000000,23287000000,24973000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2800000,2800000,2800000,2800000,2800000,2800000,2800000,2800000,2800000,2800000,2800000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,1837800000,2290200000,2973700000,3043400000,3066500000,2887000000,3194300000,3495000000,3639200000,3982900000,4396500000,4713400000,4885200000,5073300000,5451400000,6095500000,5801000000,5588000000,5695000000,4871000000,4685000000,4151000000,3979000000,3517000000,1643000000,-191000000,3179000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-336300000,-404200000,-503400000,-666500000,-735500000,-810400000,-934000000,-1127200000,-240300000,-86300000,62000000,117600000,177400000,251400000,367500000,214800000,95000000,149000000,274000000,85000000,1246000000,318000000,-213000000,-92000000,231000000,-56000000,-380000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,463500000,545400000,685800000,885000000,1003900000,1056900000,1231400000,1468400000,589000000,882300000,1182900000,1451400000,1960000000,2497800000,- -,3440600000,3944000000,4641000000,5184000000,5865000000,6773000000,7786000000,8638000000,6384000000,7163000000,8299000000,9965000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1965000000,2431400000,3156100000,3261900000,3334900000,3136300000,3494500000,3839000000,3990700000,4781700000,5644200000,6285200000,7025400000,7825300000,8692800000,9753700000,9843000000,10381000000,11156000000,10824000000,12707000000,12258000000,12407000000,9812000000,9040000000,8055000000,12767000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,3142700000,3951600000,5361200000,5397400000,5247700000,5856900000,5819600000,6443000000,6713900000,7891600000,8793600000,9869600000,10688300000,12442700000,13249600000,14419300000,14998000000,15465000000,17584000000,18594000000,21600000000,21396000000,23259000000,22536000000,23717000000,31342000000,37740000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,3142700000,3951600000,5361200000,5397400000,5247700000,5856900000,5819600000,6443000000,6713900000,7891600000,8793600000,9869600000,10688300000,12442700000,13249600000,14419300000,14998000000,15465000000,17584000000,18594000000,21600000000,21396000000,23259000000,22536000000,23717000000,31342000000,37740000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/320187/000032018795000013/0000320187-95-000013-index.html,https://www.sec.gov/Archives/edgar/data/320187/000032018796000014/0000320187-96-000014-index.html,https://www.sec.gov/Archives/edgar/data/320187/000091205797029601/0000912057-97-029601-index.html,- -,https://www.sec.gov/Archives/edgar/data/320187/000032018799000010/0000320187-99-000010-index.html,- -,https://www.sec.gov/Archives/edgar/data/320187/000109581101503828/0001095811-01-503828-index.html,https://www.sec.gov/Archives/edgar/data/320187/000089102002001248/0000891020-02-001248-index.html,https://www.sec.gov/Archives/edgar/data/320187/000119312503031022/0001193125-03-031022-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000119312504128270/0001193125-04-128270-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000095012405004551/0000950124-05-004551-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000119312506156152/0001193125-06-156152-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000119312507164166/0001193125-07-164166-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000119312508159004/0001193125-08-159004-index.htm,- -,https://www.sec.gov/Archives/edgar/data/320187/000119312510161874/0001193125-10-161874-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000119312511194791/0001193125-11-194791-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000119312512312306/0001193125-12-312306-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018713000092/0000320187-13-000092-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018714000097/0000320187-14-000097-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018715000113/0000320187-15-000113-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018716000336/0000320187-16-000336-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018717000090/0000320187-17-000090-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018718000142/0000320187-18-000142-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018719000051/0000320187-19-000051-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018720000047/0000320187-20-000047-index.htm,https://www.sec.gov/Archives/edgar/data/320187/000032018721000028/0000320187-21-000028-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,167000000,243000000,287000000,329200000,365000000,298800000,399700000,553200000,795800000,399600000,451400000,579100000,589700000,663300000,474000000,945600000,1211600000,1392000000,1491500000,1883400000,1486700000,1906700000,2133000000,2223000000,2485000000,2693000000,3273000000,3760000000,4240000000,1933000000,4029000000,2539000000,5727000000
74,Depreciation and Amortization,- -,- -,- -,14800000,17100000,34500000,47700000,60400000,64500000,90200000,132400000,168300000,233500000,228800000,223600000,214100000,276600000,262500000,310400000,287700000,290900000,270200000,321500000,383300000,395500000,358000000,405000000,513000000,632000000,649000000,662000000,716000000,774000000,720000000,1119000000,797000000
75,Deferred Income Tax,- -,- -,- -,-8500000,-900000,-2700000,8200000,4300000,-23900000,-24700000,-73300000,-47100000,-113900000,37900000,36800000,79800000,15200000,50400000,66200000,21300000,-26000000,34100000,-300600000,-294100000,8300000,-76000000,-60000000,21000000,-11000000,-113000000,-80000000,-273000000,647000000,34000000,-380000000,-385000000
