,https://roic.ai/company/TARO,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,3500000,3800000,5300000,5500000,8200000,12400000,14600000,19300000,25200000,29000000,31000000,34000000,42072000,46495000,62623000,78854000,138319000,165242000,153866000,145321000,127091000,134069000,136445000,144295000,124785000,128015000,166246000,149753000,148954000,164498000,156300000,160498000,149531000,153190000,151507000
11,COGS and Expenses,8500000,8900000,11300000,12400000,17700000,24600000,27100000,35000000,44300000,51700000,57000000,60200000,73000000,87700000,116500000,158300000,241000000,299900000,279100000,322600000,250900000,273100000,284100000,306100000,300900000,78900000,342400000,329000000,335313000,336283000,364436000,358903000,373700000,398234000,403821000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2232000,1162000,- -,- -,985000,- -,- -,- -,- -,9677000,12604000,14468000,19934000,19691000,22655000,19105000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13686000,22816000,795000,16527000,11840000,4671000,- -,2512000,1515000,928000,473000,131000,304000,256000,725000,1363000
14,Depreciation and Amortization,- -,300000,600000,400000,500000,700000,1000000,1400000,1800000,2400000,3300000,4100000,4411000,5990000,6758000,8402000,14415000,19622000,25280000,25112000,22614000,21187000,18445000,18827000,18730000,18619000,17765000,16567000,15798000,14848000,14829000,16496000,18597000,21383000,23680000
15,EBITDA,300000,400000,400000,200000,2000000,2300000,2000000,7300000,5300000,5700000,5300000,7800000,11411000,18490000,37158000,61402000,48815000,-14078000,26880000,-43002000,85230000,65982000,79272000,105267000,230701000,83719000,354277000,461182000,597042000,651566000,575096000,309866000,375362000,319834000,-351943000
16,EBITDA ratio,0.0341,0.0435,0.0339,0.0150,0.0971,0.0868,0.0702,0.1734,0.1069,0.1009,0.0869,0.1169,0.1362,0.1781,0.2490,0.2902,0.1755,-0.0519,0.0931,-0.1704,0.2676,0.2015,0.2227,0.2682,0.4562,0.5770,0.5280,0.6074,0.6919,0.6853,0.6540,0.4681,0.5603,0.4960,-0.6411
17,Operating Income,300000,300000,500000,900000,2900000,1900000,1400000,7100000,5300000,4800000,4100000,6400000,10810000,16096000,32775000,53259000,74685000,-516000,15187000,-70353000,59064000,43803000,63061000,86465000,203956000,236786000,328580000,430253000,527631000,614468000,514951000,303010000,296193000,246535000,-413775000
18,Operating Income ratio,0.0341,0.0326,0.0424,0.0677,0.1408,0.0717,0.0491,0.1686,0.1069,0.0850,0.0672,0.0960,0.1290,0.1551,0.2197,0.2517,0.2686,-0.0019,0.0526,-0.2788,0.1854,0.1338,0.1772,0.2203,0.4033,1.6319,0.4897,0.5666,0.6114,0.6463,0.5856,0.4578,0.4421,0.3824,-0.7537
19,Total Other Income Expenses (Gains),100000,100000,100000,-400000,-1400000,-800000,-400000,-1200000,-1800000,-1500000,-2100000,-2700000,-3810000,-3496000,-2275000,-59000,-40285000,-33184000,-13587000,-11447000,-11564000,12597000,-4261000,-11065000,5044000,-171686000,7320000,13647000,54049000,22352000,45847000,-10642000,60661000,51500000,22702000
20,Income Before Tax,- -,- -,- -,- -,1500000,1100000,1000000,5900000,3500000,3300000,2000000,3700000,7000000,12600000,30500000,53200000,34400000,-33700000,1600000,-81800000,47500000,56400000,58800000,75400000,209000000,65100000,335900000,443900000,581680000,636820000,560798000,292368000,356854000,298035000,-391073000
21,Income Before Tax Ratio,- -,- -,- -,- -,0.0728,0.0415,0.0351,0.1401,0.0706,0.0584,0.0328,0.0555,0.0835,0.1214,0.2044,0.2514,0.1237,-0.1244,0.0055,-0.3242,0.1491,0.1723,0.1652,0.1921,0.4133,0.4487,0.5006,0.5846,0.6741,0.6698,0.6377,0.4417,0.5327,0.4622,-0.7124
22,Income Tax expense (Gain),- -,- -,- -,- -,700000,700000,800000,2500000,1500000,1100000,600000,1400000,1500000,2500000,4400000,8400000,4100000,3800000,1500000,900000,5500000,13500000,-69700000,10500000,24600000,17800000,67800000,82700000,96059000,95313000,103780000,81916000,74732000,53485000,9667000
23,Net Income,- -,100000,-200000,-200000,800000,900000,200000,3400000,2000000,2200000,1400000,2300000,5500000,10000000,26000000,44600000,30300000,-37500000,100000,-82700000,34300000,30500000,114000000,64100000,182700000,47300000,266200000,360400000,484257000,540932000,456356000,211150000,281777000,244241000,-386653000
24,Net Income ratio,- -,0.0109,-0.0169,-0.0150,0.0388,0.0340,0.0070,0.0808,0.0403,0.0389,0.0230,0.0345,0.0656,0.0963,0.1743,0.2108,0.1090,-0.1384,0.0003,-0.3278,0.1077,0.0932,0.3203,0.1633,0.3613,0.3260,0.3967,0.4746,0.5612,0.5690,0.5189,0.3190,0.4206,0.3788,-0.7043
25,EPS,- -,0.01,-0.01,-0.01,0.06,0.05,0.01,0.17,0.10,0.11,0.07,0.12,0.28,0.47,1.11,1.55,2.12,0.38,0.19,-2.82,0.99,0.78,2.91,1.59,4.11,1.06,5.96,8.14,11.31,12.62,11.05,5.26,7.23,6.35,-10.12
26,EPS Diluted,- -,0.01,-0.01,-0.01,0.06,0.05,0.01,0.17,0.10,0.10,0.07,0.12,0.26,0.42,0.99,1.52,2.06,0.37,0.19,-2.82,0.98,0.76,2.81,1.53,4.11,1.06,5.95,8.14,11.31,12.62,11.05,5.26,7.23,6.35,-10.12
27,Weighted Average Shares Outstanding,11806000,10000000,13333333,13333333,14545455,18000000,20000000,19428571,20000000,20000000,20000000,20000000,20150698,21419810,23418018,28745161,28846698,29144737,29250000,29347000,34725000,39200000,39232000,40272000,44405539,44677603,44677603,44276003,42833533,42832241,41300797,40155087,38990058,38460056,38209726
28,Weighted Average Shares Outstanding Diluted,11806000,10000000,13333333,13333333,14545455,18000000,20000000,20000000,21052632,20952381,20000000,20000000,21524846,23864020,26256566,29312500,29686893,29932432,29590000,29347000,35215000,40423000,40568000,41850000,44491482,44715111,44715111,44279124,42833750,42832241,41300797,40155087,38990058,38460056,38209726
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/906338/000095012305008051/y10288e20vf.htm,https://www.sec.gov/Archives/edgar/data/906338/000120677407000711/taro_20f.htm,https://www.sec.gov/Archives/edgar/data/906338/000115752310002012/a6243401.htm,https://www.sec.gov/Archives/edgar/data/906338/000115752311005486/a6866933.htm,https://www.sec.gov/Archives/edgar/data/906338/000115752311005487/a6866939.htm,https://www.sec.gov/Archives/edgar/data/906338/000115752311005489/a6866956.htm,https://www.sec.gov/Archives/edgar/data/906338/000115752311003832/a6775777.htm,https://www.sec.gov/Archives/edgar/data/906338/000119312512150475/d321886d20f.htm,https://www.sec.gov/Archives/edgar/data/906338/000119312512150475/0001193125-12-150475-index.html,https://www.sec.gov/Archives/edgar/data/906338/000119312513279895/d449828d20f.htm,https://www.sec.gov/Archives/edgar/data/906338/000119312514259627/d739586d20f.htm,https://www.sec.gov/Archives/edgar/data/906338/000119312515241661/0001193125-15-241661-index.html,https://www.sec.gov/Archives/edgar/data/906338/000156459016020459/0001564590-16-020459-index.html,https://www.sec.gov/Archives/edgar/data/906338/000156459017012807/0001564590-17-012807-index.html,https://www.sec.gov/Archives/edgar/data/906338/000156459018015952/0001564590-18-015952-index.html,https://www.sec.gov/Archives/edgar/data/906338/000156459019022978/0001564590-19-022978-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,1100000,3000000,7200000,150700000,130700000,159100000,85300000,72800000,16100000,45200000,68800000,93300000,54100000,150000000,238300000,237300000,210000000,481641000,576757000,600399000,576611000,567451000,513354000,605177000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13300000,100000,100000,- -,10000000,21000000,34700000,92700000,80300000,315800000,422200000,438357000,651869000,786361000,846009000,481883000,595383000,418480000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,1100000,3000000,7200000,150700000,130700000,159100000,98600000,72900000,16200000,45200000,78800000,114300000,88800000,242700000,318600000,553100000,632200000,919998000,1228626000,1386760000,1422620000,1049334000,1108737000,1023657000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19200000,21100000,26300000,40500000,45400000,76800000,128200000,54900000,40600000,42900000,87300000,71600000,67400000,80300000,125400000,116100000,123400000,161700000,265442000,287296000,329316000,323168000,278232000,264150000,266886000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14800000,14700000,18200000,19600000,29100000,42400000,84500000,86600000,60300000,56800000,67000000,66100000,68000000,83700000,107400000,109600000,109600000,117600000,120272000,138553000,141045000,144595000,148079000,153073000,180292000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2800000,2800000,3200000,4400000,6300000,7200000,11900000,14600000,23700000,17500000,8900000,10100000,39800000,42800000,105900000,109400000,123700000,139800000,208095000,223120000,141903000,6252000,7075000,6638000,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37600000,39700000,50700000,71700000,231500000,257100000,383700000,254700000,197500000,133400000,208400000,226600000,289500000,295600000,581400000,653700000,909800000,1051300000,1513807000,1877595000,1999024000,1896635000,1482720000,1532598000,1470835000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28700000,29600000,34600000,41800000,54000000,93400000,182300000,242000000,246300000,219800000,211900000,186500000,176200000,163600000,152500000,150800000,145300000,151400000,153045000,159459000,180085000,193727000,206242000,212156000,205508000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4400000,4300000,4200000,4000000,3800000,7200000,7200000,7200000,7200000,7200000,7300000,7200000,7300000,7300000,7300000,7300000,7300000,7200000,7206000,7198000,7192000,7201000,7191000,7191000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,1100000,2400000,7300000,29400000,62200000,59000000,29100000,26400000,23800000,20900000,22700000,19100000,18300000,15600000,16600000,13204000,8334000,5928000,7092000,8852000,8412000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4500000,4300000,4200000,5100000,6200000,14500000,36600000,69400000,66200000,36300000,33700000,31000000,28200000,30000000,26400000,25600000,22900000,23800000,20410000,15532000,13120000,14293000,16043000,15603000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1100000,2800000,1300000,2900000,- -,21000000,- -,23000000,19000000,20000000,24000000,- -,- -,133000,53000,39000,115173000,70685000,225639000,304322000,459639000,557209000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,900000,1300000,2500000,3400000,2800000,4900000,5000000,6400000,5500000,5600000,3800000,3800000,2300000,1900000,2200000,1900000,1700000,1901000,2232000,2114000,3228000,2985000,3395000,142007000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,100000,200000,-1800000,9900000,10700000,6100000,16500000,10800000,29700000,800000,6200000,58200000,40900000,33600000,24100000,26567000,56147000,48543000,18042000,24725000,99688000,123014000,117861000,31314000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34100000,34900000,40300000,48700000,76300000,122700000,232800000,332900000,350700000,291300000,275000000,246500000,286400000,260800000,214400000,202700000,196800000,233100000,223938000,310438000,290729000,536575000,652606000,808654000,936038000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71700000,74600000,91000000,120400000,307800000,379800000,616500000,587600000,548200000,424700000,483400000,473100000,575900000,556400000,795800000,856400000,1106600000,1284400000,1737745000,2188033000,2289753000,2433210000,2135326000,2341252000,2406873000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7900000,5500000,5400000,8900000,12700000,25200000,26100000,17800000,24100000,23500000,20300000,25900000,41400000,34600000,55600000,56400000,46600000,53300000,62682000,66943000,53278000,62335000,67007000,65968000,61166000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13700000,16600000,11396000,8491000,2221000,10272000,43544000,81905000,107277000,147754000,140340000,130004000,125367000,28195000,17073000,- -,11330000,11974000,912000,- -,- -,- -,- -,1514000,1689000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55553000,- -,20055000,27090000,75384000,23509000,18591000,20619000,16950000,22511000,18114000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10250000,31387000,462000,3703000,2772000,1096000,50520000,36490000,12302000,6449000,5489000,4905000,4153000,2232000,2114000,87257000,110974000,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5600000,5700000,8004000,10809000,19879000,22728000,23806000,32608000,118561000,88643000,69488000,82400000,13113000,30515000,105425000,136051000,129081000,183121000,242258000,176287000,154445000,66164000,38840000,155249000,613446000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27200000,27800000,24800000,28200000,34800000,58200000,103700000,163700000,250400000,263600000,232900000,239400000,230400000,129800000,190400000,198900000,192500000,253300000,310005000,245462000,209837000,215756000,216821000,222731000,676301000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16100000,16300000,23300000,38300000,49300000,47100000,156900000,184400000,152800000,90400000,76400000,58000000,38400000,31200000,27600000,27900000,17300000,5900000,4976000,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35115000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1100000,1600000,2300000,3700000,5300000,5400000,8500000,9000000,16900000,20900000,20800000,11500000,14100000,14100000,10600000,10600000,10500000,9700000,11044000,11429000,12422000,12296000,12969000,14657000,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17200000,17900000,25600000,42000000,54600000,52500000,165400000,193400000,169700000,111300000,97200000,69500000,52500000,45300000,38200000,38500000,27800000,15600000,16020000,11429000,12422000,12296000,12969000,14657000,35115000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1514000,1689000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44400000,45700000,50400000,70200000,89400000,110700000,269100000,357100000,420100000,374900000,330100000,308900000,282900000,175100000,228600000,237400000,220300000,268900000,326025000,256891000,222259000,228052000,229790000,237388000,711416000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000,700000,700000,700000,700000,700000,700000,700000,700000,700000,700000,700000,700000,700000,700000,700000,700000,700000,680000,680000,680000,680000,680000,680000,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10100000,12400000,17900000,28000000,54000000,98500000,159700000,56300000,-46000000,-128700000,-95500000,-65000000,49000000,113100000,295800000,343000000,609200000,969600000,1453889000,1994821000,2451177000,2662327000,2481029000,2725270000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1600000,-3400000,-1800000,-2800000,-5200000,-2358000,5695000,13477000,11811000,14106000,27620000,7722000,21980000,24186000,18549000,46000000,16743000,-22896000,-110966000,-123026000,-148133000,-110285000,-144108000,-163037000,-151621000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18100000,19100000,23800000,24300000,168900000,172295000,181305000,297643000,270354000,163677000,220418000,220795000,221288000,243326000,252214000,229300000,259704000,68103000,68117000,58667000,-236230000,-347564000,-432065000,-459049000,1847078000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27300000,28800000,40600000,50200000,218400000,269137000,347400000,368120000,236865000,49783000,153238000,164217000,292968000,381312000,567264000,619000000,886347000,1015507000,1411720000,1931142000,2067494000,2205158000,1905536000,2103864000,1703649000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71700000,74500000,91000000,120400000,307800000,379837000,616500000,725220000,656965000,424683000,483338000,473117000,575868000,556412000,795864000,856400000,1106647000,1284407000,1737745000,2188033000,2289753000,2433210000,2135326000,2341252000,2415065000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,-37000,- -,-137620000,-108765000,17000,62000,-17000,32000,-12000,-64000,- -,-47000,-7000,- -,- -,- -,- -,- -,- -,-8192000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71700000,74600000,91000000,120400000,307800000,379800000,616500000,587600000,548200000,424700000,483400000,473100000,575900000,556400000,795800000,856400000,1106600000,1284400000,1737745000,2188033000,2289753000,2433210000,2135326000,2341252000,2406873000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/906338/000095012305008051/y10288e20vf.htm,https://www.sec.gov/Archives/edgar/data/906338/000120677407000711/taro_20f.htm,https://www.sec.gov/Archives/edgar/data/906338/000115752310002012/a6243401.htm,https://www.sec.gov/Archives/edgar/data/906338/000115752311005486/a6866933.htm,https://www.sec.gov/Archives/edgar/data/906338/000115752311005487/a6866939.htm,https://www.sec.gov/Archives/edgar/data/906338/000115752311005489/a6866956.htm,https://www.sec.gov/Archives/edgar/data/906338/000115752311003832/a6775777.htm,https://www.sec.gov/Archives/edgar/data/906338/000119312512150475/d321886d20f.htm,https://www.sec.gov/Archives/edgar/data/906338/000119312512150475/0001193125-12-150475-index.html,https://www.sec.gov/Archives/edgar/data/906338/000119312513279895/d449828d20f.htm,https://www.sec.gov/Archives/edgar/data/906338/000119312514259627/d739586d20f.htm,https://www.sec.gov/Archives/edgar/data/906338/000119312515241661/0001193125-15-241661-index.html,https://www.sec.gov/Archives/edgar/data/906338/000156459016020459/0001564590-16-020459-index.html,https://www.sec.gov/Archives/edgar/data/906338/000156459017012807/0001564590-17-012807-index.html,https://www.sec.gov/Archives/edgar/data/906338/000156459018015952/0001564590-18-015952-index.html,https://www.sec.gov/Archives/edgar/data/906338/000156459019022978/0001564590-19-022978-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,800000,900000,200000,3400000,2000000,2200000,1400000,2300000,5500000,10000000,26000000,44600000,30300000,-37500000,100000,-82700000,34300000,30500000,114000000,64100000,182700000,47300000,266200000,360400000,484257000,540932000,456356000,211150000,281777000,244241000,-386653000
74,Depreciation and Amortization,- -,- -,- -,- -,500000,700000,1000000,1400000,1800000,2400000,3300000,4100000,4411000,5990000,6758000,8402000,14415000,19622000,25280000,25112000,22614000,21187000,18445000,18827000,18730000,18619000,17765000,16567000,15798000,14848000,14829000,16496000,18597000,21383000,23680000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-200000,200000,100000,100000,-200000,300000,265000,507000,2117000,4254000,9223000,-18822000,3000,- -,2197000,-115000,-78191000,6720000,-21374000,- -,-18822000,-23708000,-70387000,-11976000,73706000,56007000,12262000,7584000,-38413000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,599000,284000,322000,307000,285000,59000,39000,8000,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,-2400000,-2200000,-600000,-4700000,-3300000,-3700000,-1600000,-3800000,-6705000,-10819000,-6950000,-27511000,-80110000,-12650000,-22876000,-23472000,-61405000,16025000,-3586000,-24111000,-1875000,3792000,-18191000,11577000,-10708000,-137163000,-80086000,7660000,37182000,10649000,460659000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3794000,-29626000,6606000,1081000,-11519000,-47565000,-29416000,-8611000,-19691000,-85035000,-16386000,34413000,-2297000,-32088000,2724000,21683000
79,Inventory,- -,- -,- -,- -,-1200000,-2200000,-100000,-3000000,-2300000,-2000000,-2000000,-400000,-2974000,-1773000,-10454000,-11717000,-37638000,776000,8773000,3923000,-7430000,-2912000,762000,-14464000,-24464000,-24455000,-630000,-10697000,-7027000,-19013000,-3770000,-1978000,-5515000,-4994000,-27219000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3664000,882000,7459000,690000,-6367000,1664000,- -,-3483000,1804000,-542000,-679000,-2290000,9049000,9881000,-6202000,32308000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,98000,- -,9097000,-2401000,- -,-1835000,-2918000,466000,1147000,-1028000,-9000,205000,- -,- -,- -,- -
82,Other Non-Cash Items,- -,- -,- -,- -,800000,- -,-300000,100000,100000,100000,- -,-200000,321000,621000,-531000,-103000,31429000,47540000,14615000,55702000,3162000,6958000,12944000,4663000,3167000,165393000,1690000,-7192000,-12172000,-11513000,-27270000,32376000,-26109000,-12252000,-13503000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,-300000,-600000,100000,400000,700000,1100000,2900000,2700000,3792000,6299000,27394000,29642000,5257000,-1810000,17122000,-24759000,1152000,74877000,63919000,70484000,181407000,235143000,248650000,357644000,406788000,395128000,437535000,323689000,323709000,271605000,45770000
84,CAPEX,- -,- -,- -,- -,-1900000,-6500000,-2700000,-3500000,-4800000,-8700000,-7000000,-6100000,-8302000,-12109000,-19258000,-43246000,-94421000,-72270000,-49377000,-22214000,-6213000,-4166000,-5145000,-10753000,-6293000,-7016000,-10243000,-25804000,-20155000,-19106000,-35823000,-29536000,-30684000,-28414000,-17152000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6436000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-1700000,- -,- -,- -,-100000,-100000,-100000,-98000,- -,-1576000,-429000,-10425000,-41406000,-18030000,- -,- -,-16250000,-10974000,-14227000,-74468000,- -,-241913000,-154704000,-43344000,-300824000,-286633000,-1140853000,-1165685000,-1222190000,-1132501000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31060000,20326000,125000,70000,1014000,- -,- -,18295000,- -,- -,2223000,- -,196170000,927676000,1453505000,952421000,1217386000
88,Other Investing Activites,- -,- -,- -,- -,-900000,-200000,-2200000,- -,-600000,- -,200000,300000,-460000,-1613000,36000,241000,-40000,-14196000,-812000,-29000,9922000,-529000,1535000,-4128000,431000,-65031000,7448000,2656000,-30963000,35065000,8440000,-1575000,-3666000,-1762000,-153000
