,https://roic.ai/company/IHRT,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,-4005473000,-4034086000,-479089000,-302094000,-424479000,-606883000,-793761000,-754621000,-296318000,-393891000,-201910000,11296689000,-1914699000,-159199000
24,Net Income ratio,-0.5988,-0.7266,-0.0817,-0.0490,-0.0680,-0.0972,-0.1256,-0.1209,-0.0472,-0.0638,-0.0319,3.0668,-0.6494,-0.0447
25,EPS,-12.36,-49.71,-5.94,-3.70,-5.23,-7.31,-9.46,-8.95,-3.50,-4.64,-2.36,132.26,-26.74,-1.08
26,EPS Diluted,-12.36,-49.71,-5.94,-3.70,-5.23,-7.31,-9.46,-8.95,-3.50,-4.64,-2.36,132.26,-26.74,-1.05
27,Weighted Average Shares Outstanding,322626000,81296000,81653000,82487000,82745000,83364000,83941000,84278000,84569000,84967000,85412000,85412000,71613789,147040000
28,Weighted Average Shares Outstanding Diluted,323487000,81296000,81653000,82487000,82745000,83364000,83941000,84278000,84569000,84967000,85412000,85412000,71613789,150397000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1400891/000095012310025121/0000950123-10-025121-index.htm,https://www.sec.gov/Archives/edgar/data/1400891/000119312511033736/0001193125-11-033736-index.htm,https://www.sec.gov/Archives/edgar/data/1400891/000119312512069208/0001193125-12-069208-index.htm,https://www.sec.gov/Archives/edgar/data/1400891/000140089113000005/0001400891-13-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1400891/000140089114000004/0001400891-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1400891/000140089115000003/0001400891-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1400891/000140089116000051/0001400891-16-000051-index.htm,https://www.sec.gov/Archives/edgar/data/1400891/000140089117000005/0001400891-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1400891/000140089118000005/0001400891-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1400891/000140089119000006/0001400891-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1400891/000140089120000009/0001400891-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1400891/000140089121000015/0001400891-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1400891/000140089122000012/0001400891-22-000012-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,239846000,1883994000,1920926000,1228682000,1225010000,708151000,457024000,772678000,845030000,267109000,406493000,400300000,720662000,352129000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,239846000,1883994000,1920926000,1228682000,1225010000,708151000,457024000,772678000,845030000,267109000,406493000,400300000,720662000,352129000
34,Net Receivables,1477919000,1437907000,1393365000,1404674000,1423999000,1454346000,1395248000,1442038000,1364404000,1508370000,1575170000,928714000,813834000,1048134000
35,Inventory,- -,- -,- -,- -,23110000,26872000,23777000,24833000,22068000,22470000,18416000,507000,1153000,3154000
36,Other Current Assets,348790000,336944000,308367000,351929000,321688000,323925000,304094000,571334000,273185000,269398000,234938000,86827000,83327000,69450000
37,Total Current Assets,2066555000,3658845000,3622658000,2985285000,2993807000,2513294000,2180143000,2810883000,2504687000,2067347000,2235017000,1416348000,1618976000,1472867000
38,PP&E,3548159000,3332393000,3145554000,3063327000,3036854000,2897630000,2699064000,2212556000,1948162000,1884714000,1791140000,1728638000,1637589000,1523503000
39,Goodwill,7090621000,4125005000,4119326000,4186718000,4216085000,4202187000,4187424000,4128887000,4066575000,4051082000,4118756000,3325622000,2145935000,2313581000
40,Intangible Assets,7430591000,6161301000,5826390000,5534831000,5235491000,4950735000,4684546000,4338470000,4115373000,3979021000,3842362000,4454275000,3694837000,3444645000
41,Intangible Assets,14521212000,10286306000,9945716000,9721549000,9451576000,9152922000,8871970000,8467357000,8181948000,8030103000,7961118000,7779897000,5840772000,5758226000
42,Investments,417644000,390034000,433083000,437453000,490471000,248833000,27982000,88994000,87990000,118507000,98881000,63769000,70574000,85925000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,571893000,379523000,332856000,334425000,320005000,284623000,261083000,241308000,139460000,159760000,183359000,32447000,35050000,40788000
45,Total Non-Current Assets,19058908000,14388256000,13857209000,13556754000,13298906000,12584008000,11860099000,11010215000,10357560000,10193084000,10034498000,9604751000,7583985000,7408442000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,21125463000,18047101000,17479867000,16542039000,16292713000,15097302000,14040242000,13821098000,12862247000,12260431000,12269515000,11021099000,9202961000,8881309000
48,Accounts Payable,155240000,132193000,127263000,134576000,136318000,131370000,132258000,153276000,146772000,163449000,163149000,87374000,149333000,206007000
49,Short-Term Debt,562923000,398779000,867735000,268638000,381728000,453734000,3604000,181512000,342908000,14972367000,46332000,86668000,111278000,89258000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,153153000,149617000,152778000,143236000,172672000,172434000,176048000,210924000,200103000,186404000,208195000,139529000,123488000,133123000
52,Other Current Liabilities,974630000,863547000,970288000,882512000,1091424000,1002054000,1052375000,1113516000,1006787000,1032377000,829973000,353827000,333705000,421028000
53,Total Current Liabilities,1845946000,1544136000,2118064000,1428962000,1782142000,1759592000,1364285000,1659228000,1696570000,16354597000,1247649000,667398000,717804000,849416000
54,Long-Term Debt,18940697000,20303126000,19739617000,19938531000,20365369000,20030479000,20322414000,20687082000,20022080000,5676814000,5277108000,5756504000,5982155000,6477009000
55,Deferred Revenue,- -,- -,- -,- -,12121000,20273000,23734000,137942000,154246000,149284000,154583000,22588000,22018000,28020000
56,Deferred Tax Liabilities,2679312000,2220023000,2050196000,1938599000,1689876000,1537820000,1563888000,1554898000,1457095000,959390000,335015000,737443000,556477000,558222000
57,Other Non-Current Liabilities,149519000,368906000,776676000,707888000,438396000,445773000,431129000,388629000,417731000,447801000,16815502000,891725000,873690000,52877000
58,Total Non-Current Liabilities,21769528000,22892055000,22566489000,22585018000,22505762000,22034345000,22341165000,22768551000,22051152000,7233289000,22582208000,7408260000,7434340000,7116128000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,873959000,840994000,827399000
61,Total Liabilities,23615474000,24436191000,24684553000,24013980000,24287904000,23793937000,23705450000,24427779000,23747722000,23587886000,23829857000,8075658000,8152144000,7965544000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,82000,82000,83000,83000,87000,89000,89000,90000,91000,92000,92000,65000,72000,142000
64,Retained Earnings,-5041998000,-9076084000,-9555173000,-9857267000,-10281746000,-10888629000,-11682390000,-12437011000,-12733329000,-13127843000,-13345346000,112548000,-1803620000,-1962819000
65,Other Comprehensive Income/Loss,-401529000,-333309000,-268816000,-266043000,-153284000,-196073000,-308590000,-414407000,-355876000,-312560000,-318030000,-750000,194000,-257000
66,Other Total Stockholders Equity,- -,2564573000,2128300000,2129492000,2135755000,2142447000,2101543000,2067032000,2068456000,2070092000,2072074000,2824455000,2845821000,2870289000
67,Total Stockholders Equity,-2916231000,-6844738000,-7695606000,-7993735000,-8299188000,-8942166000,-9889348000,-10784296000,-11020658000,-11370219000,-11591210000,2936318000,1042467000,907355000
68,Total Liabilities And Stockholders Equity,20699243000,17591453000,16988947000,16020245000,15988716000,14851771000,13816102000,13643483000,12727064000,12217667000,12238647000,11011976000,9194611000,8872899000
69,Minority Interest,426220000,455648000,490920000,521794000,303997000,245531000,224140000,177615000,135183000,42764000,30868000,9123000,8350000,8410000
70,Total Liabilities & Equity,21125463000,18047101000,17479867000,16542039000,16292713000,15097302000,14040242000,13821098000,12862247000,12260431000,12269515000,11021099000,9202961000,8881309000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1400891/000095012310025121/0000950123-10-025121-index.htm,https://www.sec.gov/Archives/edgar/data/1400891/000119312511033736/0001193125-11-033736-index.htm,https://www.sec.gov/Archives/edgar/data/1400891/000119312512069208/0001193125-12-069208-index.htm,https://www.sec.gov/Archives/edgar/data/1400891/000140089113000005/0001400891-13-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1400891/000140089114000004/0001400891-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1400891/000140089115000003/0001400891-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1400891/000140089116000051/0001400891-16-000051-index.htm,https://www.sec.gov/Archives/edgar/data/1400891/000140089117000005/0001400891-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1400891/000140089118000005/0001400891-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1400891/000140089119000006/0001400891-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1400891/000140089120000009/0001400891-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1400891/000140089121000015/0001400891-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1400891/000140089122000012/0001400891-22-000012-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-4005473000,-4034086000,-479089000,-302094000,-424479000,-606883000,-793761000,-754621000,-296318000,-393891000,-201910000,11296689000,-1914699000,-159199000
74,Depreciation and Amortization,696830000,765474000,732869000,763306000,729285000,730828000,710898000,673991000,635227000,601295000,530903000,302457000,402929000,469417000
75,Deferred Income Tax,-474591000,-417191000,-211180000,-143944000,-304611000,-158170000,33923000,27848000,-98127000,-488217000,18038000,124959000,-184269000,-10874000
76,Stock Based Compensation,78634000,39786000,34246000,20667000,28540000,16715000,10713000,10923000,13086000,12078000,10583000,26377000,22516000,23543000
77,Change in Working Capital,282270000,1894100000,-610115000,51729000,-344658000,-457963000,62156000,335797000,-343538000,-15095367000,15274618000,-238418000,152222000,-41482000
78,Accounts Receivable,182671000,99225000,-119860000,-7835000,-34238000,-29605000,-13898000,-121574000,-14469000,-149347000,-110062000,-179479000,77335000,-205200000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,-19048000,-2620000,6404000,27385000,3065000,15736000,38265000,127150000,52354000,153938000
81,Other Working Capital,220609000,2114709000,1504594000,1556323000,1211665000,753702000,815858000,1151655000,808117000,-14287250000,987368000,748950000,901172000,8229000
82,Other Non-Cash Items,4638292000,1933092000,1115642000,-15706000,804621000,688345000,221187000,-371242000,75688000,14860362000,-14665560000,-11083345000,1737246000,49168000
83,Cash Provided by Operating Activities,1215962000,181175000,582373000,373958000,488698000,212872000,245116000,-77304000,-13982000,-503740000,966672000,428719000,215945000,330573000
84,CAPEX,-430455000,-223792000,-257574000,-362281000,-390280000,-324526000,-318164000,-296380000,-314717000,-291966000,-296324000,-75993000,-85205000,-183372000
85,Acquisitions Net,-177064000,-8300000,- -,-46356000,-50116000,-97000,841000,-27588000,-500000,- -,-74272000,- -,-62050000,-245462000
86,Purchases of Investments,-124000,-3372000,- -,- -,- -,- -,- -,-29006000,-29031000,-26890000,-892000,- -,- -,- -
87,Sales/Maturities of Investments,173467000,41627000,1200000,6894000,- -,135571000,236618000,579000,5367000,5071000,18969000,- -,- -,50757000
88,Other Investing Activites,-16594886000,52088000,16177000,33657000,43375000,55687000,-7977000,382629000,849796000,77714000,7041000,-258429000,-558000,31287000
89,Cash Used for Investing Activites,-17029062000,-141749000,-240197000,-368086000,-397021000,-133365000,-88682000,30234000,510915000,-236071000,-345478000,-334422000,-147813000,-346790000
90,Debt Repayment,-2862889000,-1018126000,-646967000,-2413881000,-5278325000,-1276175000,-2414783000,-1055269000,-423363000,-35855000,-623309000,-1285408000,-532392000,-352383000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-3828000,-184000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-93367000,- -,- -,- -,-244734000,- -,- -,- -,- -,- -,- -,-571000,- -,- -
94,Other Financing Activites,18867882000,2623032000,341723000,1715765000,5427710000,680293000,2016782000,1432679000,5132000,187190000,131510000,1172389000,773572000,259000
95,Cash Used/Provided by Financing Activities,15907798000,1604722000,-305244000,-698116000,-95349000,-595882000,-398001000,377410000,-418231000,151335000,-491799000,-113590000,241180000,-352124000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-484000,-9560000,-14686000,-6350000,10555000,-10361000,577000,257000,-292000
97,Net Change In Cash,94698000,1644148000,36932000,-692244000,-3672000,-516859000,-251127000,315654000,72352000,-577921000,119034000,-18716000,309569000,-368633000
98,Cash at the End of Period,388201000,1883994000,1920926000,1228682000,1225010000,708151000,457024000,772678000,845030000,267109000,430334000,205321000,721187000,352554000
99,Cash at the Beginning of Period,293503000,239846000,1883994000,1920926000,1228682000,1225010000,708151000,457024000,772678000,845030000,311300000,224037000,411618000,721187000
100,Free Cash Flow,785507000,-42617000,324799000,11677000,98418000,-111654000,-73048000,-373684000,-328699000,-795706000,670348000,316529000,130740000,147201000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1400891/000095012310025121/0000950123-10-025121-index.htm,https://www.sec.gov/Archives/edgar/data/1400891/000119312511033736/0001193125-11-033736-index.htm,https://www.sec.gov/Archives/edgar/data/1400891/000119312512069208/0001193125-12-069208-index.htm,https://www.sec.gov/Archives/edgar/data/1400891/000140089113000005/0001400891-13-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1400891/000140089114000004/0001400891-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1400891/000140089115000003/0001400891-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1400891/000140089116000051/0001400891-16-000051-index.htm,https://www.sec.gov/Archives/edgar/data/1400891/000140089117000005/0001400891-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1400891/000140089118000005/0001400891-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1400891/000140089119000006/0001400891-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1400891/000140089120000009/0001400891-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1400891/000140089121000015/0001400891-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1400891/000140089122000012/0001400891-22-000012-index.htm
102,false,,,,,,,,,,,,,,
