,https://roic.ai/company/BDN,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,0.8889,0.9375,0.6667,-60.0000,-20.0000,-67.0000,- -,0.8333,1.3571,-0.2248,-0.0162,0.2457,0.1712,0.1222,0.1817,0.1085,0.2123,0.2807,0.1864,0.1092,0.0158,0.0825,0.0715,0.0138,-0.0301,-0.0077,0.0118,0.0761,0.0117,-0.0504,0.0765,0.2322,0.2504,0.0590,0.5712,0.0252
25,EPS,1.29,2.37,0.24,-9.72,-3.24,-10.83,- -,3.99,11.21,-1.32,-0.43,0.96,0.90,0.80,1.12,0.57,1.40,1.40,1.15,0.62,0.03,0.56,0.41,0.07,-0.19,-0.10,-0.06,0.23,-0.00,-0.21,0.19,0.66,0.76,0.19,1.77,0.07
26,EPS Diluted,1.29,2.37,0.24,-9.72,-3.24,-10.83,- -,3.99,11.21,-1.32,-0.43,0.95,0.89,0.80,1.12,0.57,1.39,1.40,1.15,0.62,0.03,0.55,0.41,0.07,-0.19,-0.10,-0.06,0.23,-0.00,-0.21,0.19,0.65,0.76,0.19,1.77,0.07
27,Weighted Average Shares Outstanding,620155,632911,619000,617284,617284,618652,619000,626566,677966,624165,1302648,8648649,35914444,37270000,35939286,38273684,36484286,38075000,47898261,55846268,89552301,87272148,87369852,111898045,131743275,135444424,143257097,153140458,166202649,178162160,175018163,175484350,176873324,176132941,171926079,171926079
28,Weighted Average Shares Outstanding Diluted,620155,632911,619000,617284,617284,618652,619000,626566,677966,625000,1302648,9142857,36317978,37270000,35939286,38273684,36746763,38075000,47898261,56104588,90070825,87321276,87583163,113251291,131743275,135444424,143257097,154414311,166202649,178162160,176010814,176808166,176873324,176686813,172317076,172317076
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/790816/000095011603002102/ten-k.htm,https://www.sec.gov/Archives/edgar/data/790816/000095011604000806/tenk.htm,https://www.sec.gov/Archives/edgar/data/1060386/000095011605001046/0000950116-05-001046-index.html,https://www.sec.gov/Archives/edgar/data/790816/000095011606000809/ten-k.htm,https://www.sec.gov/Archives/edgar/data/790816/000089322007000550/w29720e10vk.htm,https://www.sec.gov/Archives/edgar/data/790816/000089322008000550/w50264e10vk.htm,https://www.sec.gov/Archives/edgar/data/1060386/000089322009000441/0000893220-09-000441-index.html,https://www.sec.gov/Archives/edgar/data/1060386/000095012310019030/0000950123-10-019030-index.html,https://www.sec.gov/Archives/edgar/data/790816/000095012311018901/c10378e10vk.htm,https://www.sec.gov/Archives/edgar/data/1060386/000079081612000009/0000790816-12-000009-index.html,https://www.sec.gov/Archives/edgar/data/1060386/000079081613000018/0000790816-13-000018-index.html,https://www.sec.gov/Archives/edgar/data/790816/000079081614000020/bdn1231201310-kq4.htm,https://www.sec.gov/Archives/edgar/data/790816/000079081615000030/bdn1231201410-kq4x2014.htm,https://www.sec.gov/Archives/edgar/data/1060386/000156459016013601/0001564590-16-013601-index.html,https://www.sec.gov/Archives/edgar/data/1060386/000156459017003119/0001564590-17-003119-index.html,https://www.sec.gov/Archives/edgar/data/1060386/000156459018003023/0001564590-18-003023-index.html,https://www.sec.gov/Archives/edgar/data/1060386/000156459019003921/0001564590-19-003921-index.html,https://www.sec.gov/Archives/edgar/data/1060386/000079081620000008/0000790816-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/790816/000079081621000008/0000790816-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/790816/000079081622000009/0000790816-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,840000,18279000,41575000,13075000,5692000,16040000,13459000,26801000,8552000,15346000,7174000,25379000,5600000,3924000,1567000,16565000,410000,1549000,263207000,257502000,56694000,193919000,202179000,22842000,90499000,46344000,27463000
32,Short-Term Investments,- -,- -,- -,10800000,8800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10735000,11872000,12052000,423000,- -,74574000,71598000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,10800000,8800000,- -,- -,- -,- -,840000,18279000,41575000,13075000,5692000,16040000,24194000,38673000,20604000,15769000,7174000,99953000,77198000,3924000,1567000,16565000,410000,1549000,263207000,257502000,56694000,193919000,202179000,22842000,90499000,46344000,27463000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,200000,261000,1883000,3903000,20955000,33254000,34324000,31616000,28333000,26652000,44640000,59908000,71589000,100155000,98124000,98107000,111550000,122819000,142524000,150710000,240808000,162218000,162070000,187698000,181637000,190507000,168908000,179085000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2472519000,2660566000,5055470000,4818597000,31385000,- -,- -,- -,23496000,- -,18295000,584365000,41718000,392000,11599000,7349000,7349000,562000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2532928000,2727648000,5227012000,4995950000,133433000,99674000,128115000,123229000,167569000,413917000,516605000,803277000,397707000,390269000,216078000,288355000,222601000,207110000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,13709000,151901000,563557000,1840618000,1702353000,1674341000,1812909000,1745981000,1695355000,2363865000,2541486000,4739726000,4656925000,4190550000,4164992000,4201410000,4061461000,437000,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101056000,78097000,281251000,218149000,145757000,105163000,97462000,70515000,70620000,132329000,99403000,111623000,72478000,64972000,171347000,124443000,87755000,56318000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101056000,78097000,281251000,218149000,145757000,105163000,97462000,70515000,70620000,132329000,99403000,111623000,72478000,64972000,171347000,124443000,87755000,56318000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26714000,27905000,12754000,13331000,74574000,71598000,71028000,75458000,84372000,115807000,195921000,180512000,225004000,241004000,281331000,194621000,169100000,120294000,401327000,435506000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2376619000,-2554817000,-4814300000,-4728523000,196922000,218463000,179019000,186706000,4072162000,4038337000,4018161000,3398607000,3347697000,3345586000,3541996000,3542877000,3188423000,3147262000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101056000,78097000,281251000,218149000,4604257000,4564076000,4562263000,4434489000,4339140000,4351178000,4342568000,3751234000,3701506000,3605179000,3882443000,3787614000,3677505000,3639086000
46,Other Assets,17300000,17200000,16800000,10900000,8800000,2100000,2100000,4600000,17900000,17105000,178326000,621481000,1911680000,1829916000,1825440000,1960203000,1919288000,1855776000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,17300000,17200000,16800000,10900000,8800000,2100000,2100000,4600000,17900000,17105000,178326000,621481000,1911680000,1829916000,1825440000,1960203000,1919288000,1855776000,2633984000,2805745000,5508263000,5214099000,4737690000,4663750000,4690378000,4557718000,4506709000,4765095000,4859173000,4554511000,4099213000,3995448000,4098521000,4075969000,3900106000,3846196000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5374000,11220000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74824000,88599000,72235000,69929000,71579000,83693000,96046000,99856000,103404000,107074000,125696000,113347000,121982000,150151000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13100000,160800000,11500000,- -,- -,- -,- -,- -,- -,- -,- -,640525000,643720000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,105951000,121552000,99569000,- -,- -,- -,- -,- -,- -,- -,- -,21396000,23849000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,900000,8026000,7680000,6600000,189400000,202700000,242800000,228100000,217100000,180300000,179500000,458100000,369900000,-611237000,-727872000,22623000,23895000,23652000,25584000,29473000,30400000,30113000,32456000,33632000,33815000,32706000,32765000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,900000,13400000,32000000,167400000,200900000,202700000,242800000,228100000,217100000,180300000,179500000,458100000,369900000,104112000,110398000,216410000,193393000,95231000,109277000,125519000,130256000,133517000,139530000,159328000,147162000,176084000,229765000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,6900000,8931000,36644000,163964000,1000560000,839634000,866202000,1009165000,1004729000,867659000,1306669000,1521384000,3152230000,3100969000,2753672000,2454577000,2430446000,2393995000,2465330000,2595381000,2451308000,2384717000,2013112000,1930828000,2028046000,2144418000,1853353000,1853548000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47379000,- -,- -,82947000,71635000,59452000,30413000,31620000,42593000,28293000,35284000,21396000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-31000,-44000,36000,40000,-34000,-2000,35000,-29000,41000,31000,16000,-30000,31000,169863000,129656000,65748000,80634000,89685000,67367000,63568000,57034000,37527000,35897000,50281000,60802000,44625000,61664000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,6900000,8900000,36600000,164000000,1000600000,839600000,866200000,1009200000,1004700000,867700000,1306700000,1521400000,3152200000,3101000000,2923535000,2631612000,2496194000,2474629000,2637962000,2734383000,2574328000,2472164000,2082259000,2009318000,2106620000,2240504000,1919374000,1915212000
59,Other Liabilities,500000,100000,- -,100000,- -,- -,- -,100000,15600000,- -,93202000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47626000,37087000,- -,- -,33859000,34444000,26010000,25655000,18119000,20274000,31783000,22554000,22758000,22962000
61,Total Liabilities,500000,100000,- -,100000,- -,- -,- -,100000,8700000,9761000,70002000,181576000,1078328000,989924000,923961000,1108213000,1097793000,950431000,1444116000,1663022000,3486346000,3386745000,3027647000,2742010000,2712604000,2668022000,2733193000,2843660000,2699847000,2602420000,2215776000,2148848000,2265948000,2387666000,2095458000,2144977000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52000,28000,43000,43000,43000,43000,43000,43000,43000,43000,40000,40000,40000,40000,40000,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,19000,70000,241000,376000,364000,357000,356000,352000,410000,553000,562000,883000,870000,882000,1286000,1343000,1424000,1434000,1566000,1793000,1747000,1752000,1784000,1770000,1766000,1707000,1712000
64,Retained Earnings,- -,300000,- -,-6000000,-8000000,-14700000,-14700000,-12300000,-2300000,-9447000,-12153000,-21729000,-47073000,-76394000,-94956000,-136279000,-149619000,-164423000,-197115000,-262485000,-416117000,-521754000,-640572000,-711975000,483439000,477338000,479734000,522528000,529487000,499086000,539319000,660174000,796513000,804556000,-1338155000,-1456211000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8114000,-9383000,-22857000,-67477000,-125744000,-179558000,-230793000,-6402000,-2158000,-3130000,-3169000,1576000,-1885000,-17005000,-9138000,-1303466000,-1398411000,-15918000,-2995000,-4607000,-5192000,-1745000,2399000,5029000,-2370000,-7561000,-2020000
66,Other Total Stockholders Equity,16800000,16800000,16800000,16800000,16800000,16800000,16800000,16800000,11500000,24886000,129790000,484250000,947526000,1041766000,1175636000,1218706000,842060000,937131000,1346651000,1369913000,2311541000,2265961000,2313496000,2603216000,2668143000,2776197000,1286988000,1379081000,1614114000,1438244000,1326978000,1164823000,1016941000,873925000,3138152000,- -
67,Total Stockholders Equity,16800000,17100000,16800000,10800000,8800000,2100000,2100000,4500000,9200000,7344000,108324000,439905000,833352000,839992000,901479000,851990000,686443000,770988000,1147002000,1104864000,1897926000,1743235000,1656844000,1883432000,1849502000,1856591000,1752278000,1900220000,2140827000,1933925000,1866344000,1829180000,1820253000,1677877000,1794143000,1690267000
68,Total Liabilities And Stockholders Equity,17300000,17200000,- -,10900000,- -,- -,- -,4600000,17900000,17105000,178326000,621481000,1911680000,1829916000,1825440000,1960203000,1784236000,1721419000,2591118000,2767886000,5384272000,5129980000,4684491000,4625442000,4562106000,4524613000,4485471000,4743880000,4840674000,4536345000,4082120000,3978028000,4086201000,4065543000,3889601000,3835244000
69,Minority Interest,- -,- -,16800000,- -,8800000,2100000,2100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,135052000,134357000,42866000,37859000,123991000,84119000,53199000,38308000,128272000,33105000,21238000,21215000,18499000,18166000,17093000,17420000,12320000,10426000,10505000,10952000
70,Total Liabilities & Equity,17300000,17200000,16800000,10900000,8800000,2100000,2100000,4600000,17900000,17105000,178326000,621481000,1911680000,1829916000,1825440000,1960203000,1919288000,1855776000,2633984000,2805745000,5508263000,5214099000,4737690000,4663750000,4690378000,4557718000,4506709000,4765095000,4859173000,4554511000,4099213000,3995448000,4098521000,4075969000,3900106000,3846196000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/790816/000095011603002102/ten-k.htm,https://www.sec.gov/Archives/edgar/data/790816/000095011604000806/tenk.htm,https://www.sec.gov/Archives/edgar/data/1060386/000095011605001046/0000950116-05-001046-index.html,https://www.sec.gov/Archives/edgar/data/790816/000095011606000809/ten-k.htm,https://www.sec.gov/Archives/edgar/data/790816/000089322007000550/w29720e10vk.htm,https://www.sec.gov/Archives/edgar/data/790816/000089322008000550/w50264e10vk.htm,https://www.sec.gov/Archives/edgar/data/1060386/000089322009000441/0000893220-09-000441-index.html,https://www.sec.gov/Archives/edgar/data/1060386/000095012310019030/0000950123-10-019030-index.html,https://www.sec.gov/Archives/edgar/data/790816/000095012311018901/c10378e10vk.htm,https://www.sec.gov/Archives/edgar/data/1060386/000079081612000009/0000790816-12-000009-index.html,https://www.sec.gov/Archives/edgar/data/1060386/000079081613000018/0000790816-13-000018-index.html,https://www.sec.gov/Archives/edgar/data/790816/000079081614000020/bdn1231201310-kq4.htm,https://www.sec.gov/Archives/edgar/data/790816/000079081615000030/bdn1231201410-kq4x2014.htm,https://www.sec.gov/Archives/edgar/data/1060386/000156459016013601/0001564590-16-013601-index.html,https://www.sec.gov/Archives/edgar/data/1060386/000156459017003119/0001564590-17-003119-index.html,https://www.sec.gov/Archives/edgar/data/1060386/000156459018003023/0001564590-18-003023-index.html,https://www.sec.gov/Archives/edgar/data/1060386/000156459019003921/0001564590-19-003921-index.html,https://www.sec.gov/Archives/edgar/data/1060386/000079081620000008/0000790816-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/790816/000079081621000008/0000790816-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/790816/000079081622000009/0000790816-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,-6000000,-2000000,-6700000,- -,2500000,7600000,-824000,-162000,15001000,33025000,34606000,52158000,33722000,62984000,85809000,60303000,42767000,10482000,56453000,43480000,8026000,-17074000,-4499000,6595000,42777000,6975000,-30401000,40191000,120850000,136324000,34267000,305527000,12289000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,1400000,1402000,2836000,15589000,48002000,72454000,73175000,84578000,63741000,66558000,86924000,116972000,264049000,244009000,198897000,160039000,193260000,219110000,198579000,198731000,208569000,219029000,189676000,179357000,174259000,210005000,188283000,178105000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12026000,-11840000,-11853000,-11853000,-19955000,- -,-628000,423000,12000,-224000,47000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3192000,5936000,2960000,3010000,3431000,4883000,5716000,6876000,6627000,7130000
77,Change in Working Capital,- -,- -,- -,200000,- -,- -,- -,- -,- -,-900000,-12500000,-18600000,-135400000,-33500000,-1800000,-40100000,14700000,11000000,2569728000,195520000,2220764000,-142862000,-4596729000,-40045000,-77571000,18131000,142502000,232302000,86446000,281935000,-408831000,-13451000,-193989000,84443000,-94676000,-10394000
78,Accounts Receivable,- -,- -,- -,- -,100000,- -,400000,- -,300000,- -,-1000000,-3300000,-31900000,-36200000,-5066000,17252000,13611000,-5694000,8071000,-12408000,-3490000,180000,3020000,3746000,-4173000,-856000,262000,-4048000,-2869000,-848000,2373000,-6266000,3524000,-248000,-2031000,2506000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,100000,-100000,- -,-300000,- -,-200000,- -,900000,5700000,14300000,11900000,1076000,8018000,-8719000,-2583000,6979000,-1835000,33823000,8438000,-2160000,-10067000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-900000,-13400000,-32000000,-167400000,-200900000,-202700000,-242800000,-228100000,-217100000,2352628000,2548148000,4768912000,4626050000,29321000,-10724000,-88295000,-70164000,72338000,304640000,391086000,673021000,264190000,250739000,56750000,141193000,46517000,2986000
82,Other Non-Cash Items,- -,- -,- -,5800000,2000000,6700000,- -,-2500000,-9600000,819000,12362000,21582000,123614000,14952000,-21290000,63173000,-22741000,-44574000,-2563772000,-230112000,-2253729000,62217000,4585686000,92385000,86512000,-41701000,-181745000,-284409000,-104098000,-258519000,347755000,-108994000,104616000,-101373000,-179731000,3697000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,-600000,497000,2536000,33572000,69241000,88512000,102243000,141373000,118684000,118793000,153183000,125147000,241566000,219817000,231334000,220405000,185127000,179015000,157283000,183484000,188999000,195099000,172222000,182017000,227349000,234230000,225806000,190874000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,-500000,-700000,-33886000,-412351000,-1793227000,-109589000,-132653000,-193113000,-89971000,-118896000,-701574000,-269978000,-706510000,-446677000,-175624000,-233321000,-231624000,-171830000,-99112000,-121112000,-236930000,-326145000,-254491000,-162180000,-212599000,-198296000,-160250000,-135121000
