,https://roic.ai/company/NEE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-306800000,417800000,-297000000,23000000,-122000000,-485000000,-1055000000,34000000,1120000000,-838000000,-559000000,786000000,-485000000,-318000000,185000000,466000000,-201000000,-1795000000,295000000,628000000,-593000000,-198000000,-565000000,-7095000000,4725000000,-1731000000,-486000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18000000,-73000000,93000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62000000,-20900000,- -,- -,- -,- -,- -,-56000000,1000000,29000000,-173000000,-203000000,-14000000,-106000000,85000000,22000000,-308000000,1000000,-81000000,-135000000,17000000,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-86000000,179000000,-97000000,-17000000,122000000,110000000,-206000000,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-212000000,-518800000,-101000000,-398000000,-375000000,-497000000,-982000000,-2037000000,-2003000000,-883000000,-1721000000,-2280000000,-1494000000,-1979000000,-2297000000,-2112000000,-1646000000,-1847000000,-3642000000,-3347000000,-2719000000,-3312000000,-3510000000,-4075000000,-11170000000,-6445000000,-8176000000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,770500000,1353200000,670700000,1306000000,1293000000,1186000000,474000000,2307000000,1612000000,-344000000,2173000000,888000000,38000000,2364000000,1513000000,386000000,-1192000000,-45000000,1422000000,-499000000,-1694000000,-408000000,-985000000,-154000000,1440000000,-5075000000,2558000000,-184000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1382000000,1510100000,1592300000,1597000000,1743000000,1563000000,976000000,1942000000,2338000000,2254000000,2650000000,1547000000,2498000000,3593000000,3403000000,4463000000,3834000000,4074000000,3992000000,5102000000,5500000000,6116000000,6336000000,6413000000,6593000000,8155000000,7983000000,7553000000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-758700000,-670800000,-487600000,-551000000,-617000000,-861000000,-1299000000,-1154000000,-1277000000,-1391000000,-1535000000,-1616000000,-1826000000,-1857000000,-2274000000,-2938000000,-2947000000,-4027000000,-4870000000,-3228000000,-3503000000,-3872000000,-4240000000,-5445000000,-6010000000,-11077000000,-7759000000,-7830000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,438000000,345000000,645000000,1454000000,- -,- -,-1012000000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-476000000,-2928000000,- -,-156000000,-84000000,-8560000000,-10448000000,-7556000000,-10010000000,-7924000000,-8281000000,-9487000000,-9225000000,-8539000000,-10727000000,-10545000000,-10951000000,-13557000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93000000,2928000000,- -,138000000,28000000,5466000000,7447000000,4836000000,5301000000,4570000000,307000000,52000000,658000000,178000000,1617000000,5171000000,4928000000,7756000000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,184800000,-30800000,-38400000,-246000000,-178000000,-1311000000,-644000000,-2115000000,-1990000000,-1698000000,46000000,-549000000,-1981000000,-2703000000,-3478000000,-2479000000,-2009000000,-2021000000,-3914000000,-2398000000,1462000000,1446000000,95000000,-1814000000,-1573000000,-10488000000,-6419000000,-7515000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-573900000,-701600000,-526000000,-797000000,-795000000,-2172000000,-1943000000,-3269000000,-3267000000,-3089000000,-1872000000,-2165000000,-3807000000,-4578000000,-5808000000,-5935000000,-5284000000,-5279000000,-8928000000,-6123000000,-6361000000,-8005000000,-8110000000,-8918000000,-10950000000,-16177000000,-13699000000,-13591000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1635000000,-1899000000,-2221000000,-1612000000,-3116000000,-4750000000,-5553000000,-4078000000,-6782000000,-3557000000,-10491000000,-9170000000,-10020000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,16700000,- -,- -,- -,- -,- -,- -,- -,378000000,73000000,110000000,639000000,333000000,46000000,41000000,198000000,308000000,48000000,405000000,842000000,633000000,1298000000,537000000,55000000,718000000,1494000000,- -,14000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-123700000,-69400000,-81600000,-48000000,-62000000,-116000000,-150000000,- -,- -,-228000000,- -,-5000000,- -,- -,- -,- -,- -,-375000000,-19000000,- -,- -,- -,- -,- -,- -,- -,-92000000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-334800000,-308600000,-320300000,-332000000,-345000000,-355000000,-366000000,-377000000,-400000000,-425000000,-467000000,-544000000,-593000000,-654000000,-714000000,-766000000,-823000000,-920000000,-1004000000,-1122000000,-1261000000,-1385000000,-1612000000,-1845000000,-2101000000,-2408000000,-2743000000,-3024000000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-432500000,-470100000,-514600000,-562000000,-408000000,1254000000,1251000000,1657000000,1135000000,1278000000,-325000000,833000000,1659000000,1263000000,3323000000,3378000000,3928000000,4748000000,7118000000,4526000000,6378000000,7523000000,7648000000,11505000000,12574000000,15278000000,18179000000,18837000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-874300000,-848100000,-916500000,-942000000,-815000000,783000000,735000000,1280000000,1113000000,698000000,-682000000,923000000,1399000000,655000000,2650000000,1175000000,1514000000,1280000000,4888000000,1130000000,1000000000,1883000000,2495000000,2933000000,7634000000,3873000000,6174000000,5807000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26000000,-7000000,4000000,-20000000,1000000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-66200000,-39600000,149700000,-142000000,133000000,174000000,-232000000,-47000000,184000000,-137000000,96000000,305000000,90000000,-330000000,245000000,-297000000,64000000,75000000,-48000000,109000000,139000000,-6000000,721000000,454000000,3270000000,-4145000000,438000000,-230000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,85800000,46200000,195900000,54000000,187000000,361000000,129000000,82000000,266000000,129000000,225000000,530000000,620000000,290000000,535000000,238000000,302000000,377000000,329000000,438000000,577000000,571000000,1292000000,1983000000,5253000000,1108000000,1546000000,1316000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,152000000,85800000,46200000,196000000,54000000,187000000,361000000,129000000,82000000,266000000,129000000,225000000,530000000,620000000,290000000,535000000,238000000,302000000,377000000,329000000,438000000,577000000,571000000,1529000000,1983000000,5253000000,1108000000,1546000000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,623300000,839300000,1104700000,1046000000,1126000000,702000000,-323000000,788000000,1061000000,863000000,1115000000,-69000000,672000000,1736000000,1129000000,1525000000,887000000,47000000,-878000000,1874000000,1997000000,2244000000,2096000000,968000000,583000000,-2922000000,224000000,-277000000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/753308/000075330896000005/0000753308-96-000005-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/753308/000075330801500013/0000753308-01-500013-index.html,https://www.sec.gov/Archives/edgar/data/753308/000075330802000021/file10k2001.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330803000017/file10k2002.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330804000017/file10k2003.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330805000017/file10k2004.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330806000032/file10k2005.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330807000016/form10k2006.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330808000003/form10k2007.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330809000025/form10k123108.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330810000025/form10k123109.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330811000025/form10k123110.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330812000025/nee-12312011x10k.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330813000023/nee-12312012x10k.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330814000025/nee-12312013x10k.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330815000079/nee-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330816000337/nee-12312015x10k.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330817000060/nee-12312016x10k.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330818000013/nee-12312017x10k.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330819000039/nee-12312018x10k.htm,https://www.sec.gov/Archives/edgar/data/37634/000075330820000021/0000753308-20-000021-index.html,https://www.sec.gov/Archives/edgar/data/753308/000075330821000014/0000753308-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/753308/000075330822000014/0000753308-22-000014-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
