,https://roic.ai/company/FHI,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17314000,17820000,16752000,15489000,13807000,14254000,18532000,18568000,30608000,36500000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300062000,339318000,342055000,395828000,359760000,437274000,304101000,461284000,575343000,559447000
38,PP&E,22200000,21550000,31305000,36406000,34521000,33722000,30892000,27166000,22006000,24168000,25873000,29389000,40027000,38516000,38228000,38912000,40088000,38638000,35743000,39280000,37670000,53229000,152239000,174688000,155271000
39,Goodwill,- -,35107000,32856000,32099000,131867000,164944000,165007000,260045000,303194000,388213000,454586000,534100000,581673000,635313000,642329000,648820000,658743000,658837000,659315000,659189000,660040000,809608000,774534000,800267000,798871000
40,Intangible Assets,37500000,17846000,9691000,14878000,14617000,11227000,7682000,51929000,66832000,100437000,80017000,123221000,81323000,85512000,78597000,10582000,8007000,6040000,4595000,3570000,2997000,339639000,446228000,481753000,471209000
41,Intangible Assets,37500000,52953000,42547000,46977000,146484000,176171000,172689000,311974000,370026000,488650000,534603000,657321000,662996000,720825000,720926000,659402000,666750000,664877000,663910000,662759000,663037000,1149247000,1220762000,1282020000,1270080000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68455000,68595000,68970000,70582000,70378000,73878000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23230000,21046000,25979000,21140000,22930000,19551000,37106000,45846000,28788000,33389000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,789999000,796479000,798464000,791375000,795347000,794136000,1239582000,1418847000,1485496000,1458740000
46,Other Assets,337200000,580020000,673193000,704750000,431553000,530007000,879228000,954688000,896621000,810294000,840971000,846610000,912433000,1153504000,1150856000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,337200000,580020000,673193000,704750000,431553000,530007000,879228000,954688000,896621000,810294000,840971000,846610000,912433000,1153504000,1150856000,1090061000,1135797000,1140519000,1187203000,1155107000,1231410000,1543683000,1880131000,2060839000,2018187000
48,Accounts Payable,18600000,24864000,29321000,30161000,29102000,27436000,34626000,27985000,72145000,6075000,58983000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,5548000,4629000,7360000,2292000,- -,- -,51071000,21000000,42500000,42500000,42500000,77917000,25500000,25500000,25500000,- -,- -,13575000,15845000,17447000
50,Tax Payable,- -,- -,- -,- -,- -,708000,1819000,2171000,1098000,620000,420000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,138634000,136288000,123821000,133708000,137038000,128849000,181180000,217138000,249601000,253260000
53,Total Current Liabilities,- -,- -,- -,- -,- -,32984000,39255000,35345000,74437000,- -,- -,51071000,21000000,42500000,42500000,181134000,214205000,149321000,159208000,162538000,128849000,181180000,230713000,265446000,270707000
54,Long-Term Debt,284400000,371548000,394187000,393992000,54954000,59243000,327684000,284923000,159784000,112987000,62701000,156497000,118556000,365686000,318750000,276250000,198333000,216750000,191250000,165750000,170000000,135000000,207543000,196922000,328620000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,26500000,29949000,37177000,40565000,7036000,15065000,19614000,23479000,21433000,27699000,27097000,31648000,39234000,51380000,73246000,99399000,121203000,140849000,158895000,176686000,117620000,148164000,165382000,187937000,205206000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36602000,35712000,23947000,28878000,54349000,53726000,222218000,235213000,273537000,36435000
58,Total Non-Current Liabilities,310900000,401497000,431364000,434557000,61990000,74308000,347298000,308402000,181217000,140686000,89798000,188145000,157790000,417066000,391996000,412251000,355248000,381546000,379023000,396785000,341346000,505382000,608138000,658396000,570261000
59,Other Liabilities,688700000,892140000,984553000,990363000,255720000,230034000,790298000,768820000,461819000,420723000,353182000,559114000,506495000,1034355000,957169000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,121118000,137767000,122717000
61,Total Liabilities,377800000,490643000,553189000,555806000,193730000,188710000,482255000,495763000,355039000,280037000,263384000,422040000,369705000,659789000,607673000,593385000,569453000,530867000,538231000,559323000,470195000,686562000,838851000,923842000,840968000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,75279000,75276000,75476000,82488000,82563000,88121000,137590000,135111000,158205000,176889000,- -,- -,- -,- -,273886000,295958000,271020000,298579000,320982000,343378000,367252000,392210000,418858000,449118000
64,Retained Earnings,55100000,14556000,124653000,263456000,411447000,590418000,749410000,865348000,954710000,1065505000,1189516000,1028928000,1105073000,1036571000,1069913000,984505000,1022608000,505394000,545785000,529749000,697359000,791823000,930351000,1027699000,1187001000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,21000,372000,529000,326000,451000,879000,297000,1514000,-3695000,-8612000,-2937000,-1208000,-1662000,-4609000,-523000,-790000,-14617000,-249000,15171000,16362000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,-332285000,-442050000,-545714000,-549818000,-694786000,-793269000,- -,- -,- -,- -,-760022000,-751239000,-165258000,-191939000,-255382000,-278732000,-287337000,-281032000,-324731000,- -
67,Total Stockholders Equity,-40600000,89377000,119408000,148406000,237460000,340717000,395853000,457753000,540329000,529375000,574015000,423374000,528207000,491799000,541959000,495432000,566119000,609494000,647816000,594826000,761215000,857121000,1041280000,1136997000,1114017000
68,Total Liabilities And Stockholders Equity,337200000,580020000,672597000,704212000,431190000,529427000,878108000,953516000,895368000,809412000,837399000,845414000,897912000,1151588000,1149632000,1088817000,1135572000,1140361000,1186047000,1154149000,1231410000,1543683000,1880131000,2060839000,1954985000
69,Minority Interest,- -,- -,596000,538000,363000,580000,1120000,1172000,1253000,882000,3572000,1196000,14521000,1916000,1224000,1244000,225000,158000,1156000,958000,- -,- -,- -,- -,63202000
70,Total Liabilities & Equity,337200000,580020000,673193000,704750000,431553000,530007000,879228000,954688000,896621000,810294000,840971000,846610000,912433000,1153504000,1150856000,1090061000,1135797000,1140519000,1187203000,1155107000,1231410000,1543683000,1880131000,2060839000,2018187000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1056288/000119312504040522/0001193125-04-040522-index.html,https://www.sec.gov/Archives/edgar/data/1056288/000119312505042304/0001193125-05-042304-index.html,https://www.sec.gov/Archives/edgar/data/1056288/000119312506043618/0001193125-06-043618-index.htm,https://www.sec.gov/Archives/edgar/data/1056288/000119312507042828/0001193125-07-042828-index.htm,https://www.sec.gov/Archives/edgar/data/1056288/000119312508041982/0001193125-08-041982-index.htm,https://www.sec.gov/Archives/edgar/data/1056288/000119312509034245/0001193125-09-034245-index.html,https://www.sec.gov/Archives/edgar/data/1056288/000119312510035275/0001193125-10-035275-index.html,https://www.sec.gov/Archives/edgar/data/1056288/000119312511042224/0001193125-11-042224-index.htm,https://www.sec.gov/Archives/edgar/data/1056288/000105628812000004/0001056288-12-000004-index.html,https://www.sec.gov/Archives/edgar/data/1056288/000105628813000008/0001056288-13-000008-index.html,https://www.sec.gov/Archives/edgar/data/1056288/000105628814000005/0001056288-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1056288/000105628815000005/0001056288-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1056288/000105628816000025/0001056288-16-000025-index.html,https://www.sec.gov/Archives/edgar/data/1056288/000105628817000009/0001056288-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1056288/000105628818000004/0001056288-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1056288/000105628819000004/0001056288-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1056288/000105628820000015/0001056288-20-000015-index.html,https://www.sec.gov/Archives/edgar/data/1056288/000105628821000008/0001056288-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1056288/000105628822000010/0001056288-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,51400000,92369000,124020000,155360000,168447000,203760000,191485000,181179000,160283000,197729000,217471000,224317000,197292000,179114000,150906000,188088000,162177000,149236000,169807000,208919000,291341000,220297000,272339000,326364000,270293000
74,Depreciation and Amortization,43600000,54977000,66392000,8236000,25980000,19229000,35543000,74711000,75738000,75931000,71947000,24509000,23751000,21075000,14400000,10445000,10435000,10704000,9535000,9578000,10637000,17087000,25922000,28563000,30010000
75,Deferred Income Tax,- -,3123000,4540000,2981000,-18633000,7654000,1992000,-1592000,4485000,-2635000,-2402000,8576000,-41000,24213000,17252000,26573000,20784000,21614000,19263000,17496000,-59272000,12257000,7452000,18169000,19033000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15062000,18775000,19124000,19006000,20135000,20560000,21711000,22685000,22445000,22508000,23893000,32945000,35455000,39705000
77,Change in Working Capital,800000,20208000,19435000,1849000,27191000,-18577000,21768000,17242000,-21515000,4421000,21155000,9106000,-3622000,-23314000,14500000,4273000,-7616000,8916000,12214000,-12735000,-13323000,-94667000,23853000,-12287000,-12704000
78,Accounts Receivable,-7000000,-3500000,-4200000,-1496000,3544000,1396000,-2744000,-2266000,-36524000,33197000,-25269000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,15800000,22400000,12100000,-1738000,58000,7316000,23401000,18673000,-19729000,-11940000,40243000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,-22196000,730000,42143000,-22141000,-25152000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,-80700000,-110614000,-82242000,1415000,77661000,10241000,-1971000,25505000,-32985000,18272000,18828000,27206000,38434000,-4265000,-102574000,66829000,54632000,-19699000,-320000,7068000,18486000,27415000,-27571000,-23023000,-175954000
83,Cash Provided by Operating Activities,15100000,60063000,132145000,169841000,280646000,222307000,248817000,297045000,186006000,293718000,326999000,308776000,274589000,215947000,113490000,316343000,260972000,192482000,233184000,252771000,270377000,206282000,334940000,373241000,170383000
84,CAPEX,-17800000,-7526000,-17451000,-12314000,-7089000,-7323000,-6288000,-5527000,-2341000,-4740000,-7689000,-8128000,-26210000,-7870000,-8247000,-8675000,-10316000,-8850000,-6026000,-12839000,-9799000,-17274000,-15045000,-13500000,-10421000
85,Acquisitions Net,- -,-580000,- -,-12196000,-173375000,-33764000,-1263000,-66378000,-60908000,-156149000,-81447000,-129063000,-24332000,-49561000,-53507000,-14064000,-8524000,-9697000,- -,- -,-4352000,-157376000,-21592000,-11323000,26561000
86,Purchases of Investments,- -,-16082000,-89770000,-35442000,-25505000,-414000,-834000,-41000,-215000,-2016000,-2215000,-16000,-1388000,-99284000,-73192000,-58284000,-91866000,-84988000,-5461000,-3345000,-8129000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,12452000,25828000,2987000,102321000,4656000,451000,73000,695000,6533000,1098000,11036000,363000,55121000,27492000,92398000,108595000,87117000,5756000,7990000,140249000,- -,- -,- -,- -
88,Other Investing Activites,7100000,-348000,2669000,157000,43000,116000,18000,60000,1415000,7222000,29000,- -,- -,-42836000,- -,- -,- -,- -,- -,- -,- -,211000,-58046000,- -,-5324000
89,Cash Used for Investing Activites,-10700000,-12084000,-78724000,-56808000,-103605000,-36729000,-7916000,-71813000,-61354000,-149150000,-90224000,-126171000,-51567000,-144430000,-107454000,11375000,-2111000,-16418000,-5731000,-8194000,117969000,-174439000,-94683000,-24823000,10816000
90,Debt Repayment,-186100000,-55808000,-86713000,-115005000,-156732000,-11425000,-12569000,-75349000,-66147000,-62724000,-53534000,-122589000,-134559000,-150174000,-50177000,-42500000,-42500000,-34000000,-25500000,-25500000,-21250000,-122650000,-43800000,-125000000,-147300000
91,Common Stock Issued,- -,47700000,- -,- -,1087000,218000,4286000,5546000,2650000,9746000,7447000,- -,6409000,11590000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-100000,-47723000,-79953000,-107606000,-78508000,-76224000,-124323000,-125104000,-28382000,-179399000,-124737000,-42146000,-20102000,-13462000,-28545000,-6633000,-12995000,-27239000,-53868000,-81771000,-48642000,-29247000,-15740000,-66759000,-228349000
93,Dividends Paid,-4900000,-20145000,-24218000,-26823000,-31511000,-35424000,-42721000,-54628000,-91677000,-78843000,-88762000,-375651000,-98499000,-228651000,-99960000,-256750000,-102515000,-104840000,-104628000,-205468000,-101511000,-106943000,-109147000,-207765000,-105764000
94,Other Financing Activites,203100000,190666000,123372000,114831000,12214000,13675000,16981000,48052000,48537000,39527000,24440000,282869000,68743000,417484000,23163000,-3523000,-63993000,839000,13904000,373000,-5518000,72725000,16007000,104388000,231941000
95,Cash Used/Provided by Financing Activities,12000000,114690000,-67512000,-134603000,-253450000,-109180000,-158346000,-201483000,-135019000,-271693000,-235146000,-257517000,-178008000,36787000,-155519000,-309406000,-222003000,-165240000,-170092000,-312366000,-176921000,-186115000,-152680000,-295136000,-249472000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5111000,4508000,5842000,-2311000
97,Net Change In Cash,12000000,162669000,-14091000,-21570000,-76409000,76398000,82555000,23749000,-10367000,-127125000,1629000,-74912000,45014000,108304000,-149483000,18312000,36858000,10824000,57361000,-67789000,211425000,-159383000,92085000,59124000,-70584000
98,Cash at the End of Period,- -,185581000,171490000,149920000,73511000,149909000,232464000,256213000,245846000,118721000,120350000,45438000,90452000,198756000,49273000,67585000,104443000,115267000,172628000,104839000,316264000,157426000,249511000,308635000,238051000
99,Cash at the Beginning of Period,6600000,22912000,185581000,171490000,149920000,73511000,149909000,232464000,256213000,245846000,118721000,120350000,45438000,90452000,198756000,49273000,67585000,104443000,115267000,172628000,104839000,316809000,157426000,249511000,308635000
100,Free Cash Flow,-2700000,52537000,114694000,157527000,273557000,214984000,242529000,291518000,183665000,288978000,319310000,300648000,248379000,208077000,105243000,307668000,250656000,183632000,227158000,239932000,260578000,189008000,319895000,359741000,159962000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1056288/000119312504040522/0001193125-04-040522-index.html,https://www.sec.gov/Archives/edgar/data/1056288/000119312505042304/0001193125-05-042304-index.html,https://www.sec.gov/Archives/edgar/data/1056288/000119312506043618/0001193125-06-043618-index.htm,https://www.sec.gov/Archives/edgar/data/1056288/000119312507042828/0001193125-07-042828-index.htm,https://www.sec.gov/Archives/edgar/data/1056288/000119312508041982/0001193125-08-041982-index.htm,https://www.sec.gov/Archives/edgar/data/1056288/000119312509034245/0001193125-09-034245-index.html,https://www.sec.gov/Archives/edgar/data/1056288/000119312510035275/0001193125-10-035275-index.html,https://www.sec.gov/Archives/edgar/data/1056288/000119312511042224/0001193125-11-042224-index.htm,https://www.sec.gov/Archives/edgar/data/1056288/000105628812000004/0001056288-12-000004-index.html,https://www.sec.gov/Archives/edgar/data/1056288/000105628813000008/0001056288-13-000008-index.html,https://www.sec.gov/Archives/edgar/data/1056288/000105628814000005/0001056288-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1056288/000105628815000005/0001056288-15-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1056288/000105628816000025/0001056288-16-000025-index.html,https://www.sec.gov/Archives/edgar/data/1056288/000105628817000009/0001056288-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/1056288/000105628818000004/0001056288-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1056288/000105628819000004/0001056288-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1056288/000105628820000015/0001056288-20-000015-index.html,https://www.sec.gov/Archives/edgar/data/1056288/000105628821000008/0001056288-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1056288/000105628822000010/0001056288-22-000010-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
