,https://roic.ai/company/KAR,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,106400000,-12500000,195300000,268800000,281900000,267000000,256700000,377700000,427300000,499000000,566000000,624200000,314100000,136400000,210600000
18,Operating Income ratio,0.0965,-0.0071,0.1129,0.1481,0.1494,0.1360,0.1181,0.1597,0.1619,0.1584,0.1637,0.1656,0.1129,0.0623,0.0935
19,Total Other Income Expenses (Gains),-154700000,-235100000,-161000000,-172000000,-191900000,-115400000,-107500000,-112700000,-86800000,-143700000,-168000000,-188500000,-184000000,-131000000,-109100000
20,Income Before Tax,-48300000,-247600000,34300000,96800000,90000000,151600000,149200000,265000000,340500000,355300000,398000000,435700000,130100000,5400000,101500000
21,Income Before Tax Ratio,-0.0438,-0.1398,0.0198,0.0533,0.0477,0.0772,0.0687,0.1121,0.1290,0.1128,0.1151,0.1156,0.0468,0.0025,0.0451
22,Income Tax expense (Gain),-10000000,-31400000,11100000,27200000,17800000,59600000,81500000,95700000,125900000,132900000,36000000,107700000,37700000,4900000,35000000
23,Net Income,-38300000,-216200000,23200000,69600000,72200000,92000000,67700000,169300000,214600000,222400000,362000000,328000000,188500000,500000,66500000
24,Net Income ratio,-0.0347,-0.1221,0.0134,0.0383,0.0383,0.0469,0.0312,0.0716,0.0813,0.0706,0.1047,0.0870,0.0678,0.0002,0.0295
25,EPS,-0.36,-2.02,0.21,0.52,0.53,0.67,0.49,1.21,1.53,1.62,2.66,2.44,1.43,-0.16,0.16
26,EPS Diluted,-0.36,-2.02,0.21,0.51,0.52,0.66,0.48,1.19,1.51,1.60,2.62,2.42,1.42,-0.16,0.16
27,Weighted Average Shares Outstanding,106700000,106900000,110476190,134900000,136000000,137313433,138163265,139917355,140261438,137283951,136090226,134426230,131818182,129700156,121163050
28,Weighted Average Shares Outstanding Diluted,106700000,106900000,110476190,135900000,137800000,139000000,140800000,141800000,142300000,139100000,138000000,135700000,132900000,129700156,121163050
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1395942/000119312509050896/0001193125-09-050896-index.html,https://www.sec.gov/Archives/edgar/data/1395942/000119312510040929/0001193125-10-040929-index.html,https://www.sec.gov/Archives/edgar/data/1395942/000119312511045363/d10k.htm,https://www.sec.gov/Archives/edgar/data/1395942/000104746912001790/0001047469-12-001790-index.html,https://www.sec.gov/Archives/edgar/data/1395942/000104746913001492/0001047469-13-001492-index.html,https://www.sec.gov/Archives/edgar/data/1395942/000139594214000039/kar-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1395942/000139594215000034/kar-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1395942/000139594216000261/0001395942-16-000261-index.html,https://www.sec.gov/Archives/edgar/data/1395942/000139594217000034/0001395942-17-000034-index.html,https://www.sec.gov/Archives/edgar/data/1395942/000139594218000028/0001395942-18-000028-index.html,https://www.sec.gov/Archives/edgar/data/1395942/000139594219000016/0001395942-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/1395942/000139594220000018/0001395942-20-000018-index.html,https://www.sec.gov/Archives/edgar/data/1395942/000139594221000006/0001395942-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1395942/000139594222000009/0001395942-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,204100000,158400000,363900000,119100000,97400000,108700000,191600000,152900000,155000000,201800000,317200000,337100000,507600000,752100000,190000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,204100000,158400000,363900000,119100000,97400000,108700000,191600000,152900000,155000000,201800000,317200000,337100000,507600000,752100000,190000000
34,Net Receivables,525200000,444600000,490500000,1033800000,1171600000,1338600000,1453900000,1764300000,2143900000,2463100000,2625100000,2766400000,2557700000,2256200000,3033000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,172500000,149700000,87500000,101800000,104200000,134100000,146000000,157700000,147200000,176300000,195100000,210700000,179200000,166900000,135300000
37,Total Current Assets,901800000,752700000,941900000,1254700000,1373200000,1581400000,1791500000,2074900000,2446100000,2841200000,3137400000,3314200000,3244500000,3175200000,3358300000
38,PP&E,773200000,721700000,683200000,680500000,686700000,700700000,703800000,727900000,766900000,842500000,908200000,976200000,973100000,940500000,904900000
39,Goodwill,1617600000,1524700000,1528100000,1554100000,1679500000,1679600000,1705100000,1705200000,1795900000,2057000000,2191700000,2213700000,1821700000,2140200000,2578400000
40,Intangible Assets,251400000,264700000,266800000,982400000,999900000,924100000,877000000,790600000,728500000,781100000,726200000,660800000,506400000,501500000,575600000
41,Intangible Assets,1869000000,1789400000,1794900000,2536500000,2679400000,2603700000,2582100000,2495800000,2524400000,2838100000,2917900000,2874500000,2328100000,2641700000,3154000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,986800000,893800000,831300000,53300000,39800000,36500000,49800000,52900000,54400000,35800000,20800000,41300000,35500000,40800000,- -
45,Total Non-Current Assets,3629000000,3404900000,3309400000,3270300000,3405900000,3340900000,3335700000,3276600000,3345700000,3716400000,3846900000,3892000000,3336700000,3623000000,4058900000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,4530800000,4157600000,4251300000,4525000000,4779100000,4922300000,5127200000,5351500000,5791800000,6557600000,6984300000,7206200000,6581200000,6798200000,7417200000
48,Accounts Payable,292800000,283400000,262700000,287700000,367800000,388400000,435500000,471700000,608400000,648500000,682700000,820300000,704600000,688900000,- -
49,Short-Term Debt,15600000,4500000,225600000,- -,85900000,43700000,32500000,17700000,153900000,105200000,12400000,13100000,28800000,24300000,16300000
50,Tax Payable,- -,- -,2700000,2900000,500000,600000,2300000,5500000,5300000,5000000,5800000,2900000,1100000,3200000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,151300000,160500000,154100000,679100000,742500000,854800000,966600000,1101200000,1463800000,1581300000,1694100000,1791400000,1784300000,1537400000,2959500000
53,Total Current Liabilities,459700000,448400000,642400000,966800000,1196200000,1286900000,1434600000,1590600000,2226100000,2335000000,2389200000,2624800000,2517700000,2250600000,2975800000
54,Long-Term Debt,2601100000,2522900000,2047300000,1875700000,1816900000,1774600000,1734700000,1736600000,1719300000,2365100000,2667700000,2654300000,1861300000,2198000000,2166800000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,378100000,335800000,328200000,326300000,323900000,318600000,354800000,333400000,300800000,291700000,192700000,188400000,134500000,128600000,- -
57,Other Non-Current Liabilities,78300000,99800000,91900000,111600000,98900000,98500000,121300000,143800000,159500000,168500000,249800000,274500000,417500000,605200000,170700000
58,Total Non-Current Liabilities,3057500000,2958500000,2467400000,2313600000,2239700000,2191700000,2210800000,2213800000,2179600000,2825300000,3110200000,3117200000,2413300000,2931800000,2337500000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,358300000,344200000,317100000
61,Total Liabilities,3517200000,3406900000,3109800000,3280400000,3435900000,3478600000,3645400000,3804400000,4405700000,5160300000,5499400000,5742000000,4931000000,5182400000,5313300000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1100000,1100000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1400000,1300000,1300000,1300000,1300000,1513000000
64,Retained Earnings,-41500000,-257700000,-234500000,-164900000,-92700000,-26700000,-72300000,-46400000,17300000,74100000,257000000,392300000,651000000,600700000,- -
65,Other Comprehensive Income/Loss,27100000,-21500000,19400000,26500000,28100000,35100000,18700000,-1600000,-40200000,-49300000,-25200000,-61300000,-31000000,-32700000,-24000000
66,Other Total Stockholders Equity,1026900000,1028800000,1355200000,1381600000,1406400000,1433900000,1534000000,1593700000,1407600000,1371100000,1251800000,1131900000,1028900000,1046500000,- -
67,Total Stockholders Equity,1013600000,750700000,1141500000,1244600000,1343200000,1443700000,1481800000,1547100000,1386100000,1397300000,1484900000,1464200000,1650200000,1615800000,2103900000
68,Total Liabilities And Stockholders Equity,4530800000,4157600000,4251300000,4525000000,4779100000,4922300000,5127200000,5351500000,5791800000,6557600000,6984300000,7206200000,6581200000,6798200000,7417200000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,4530800000,4157600000,4251300000,4525000000,4779100000,4922300000,5127200000,5351500000,5791800000,6557600000,6984300000,7206200000,6581200000,6798200000,7417200000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1395942/000119312509050896/0001193125-09-050896-index.html,https://www.sec.gov/Archives/edgar/data/1395942/000119312510040929/0001193125-10-040929-index.html,https://www.sec.gov/Archives/edgar/data/1395942/000119312511045363/d10k.htm,https://www.sec.gov/Archives/edgar/data/1395942/000104746912001790/0001047469-12-001790-index.html,https://www.sec.gov/Archives/edgar/data/1395942/000104746913001492/0001047469-13-001492-index.html,https://www.sec.gov/Archives/edgar/data/1395942/000139594214000039/kar-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1395942/000139594215000034/kar-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1395942/000139594216000261/0001395942-16-000261-index.html,https://www.sec.gov/Archives/edgar/data/1395942/000139594217000034/0001395942-17-000034-index.html,https://www.sec.gov/Archives/edgar/data/1395942/000139594218000028/0001395942-18-000028-index.html,https://www.sec.gov/Archives/edgar/data/1395942/000139594219000016/0001395942-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/1395942/000139594220000018/0001395942-20-000018-index.html,https://www.sec.gov/Archives/edgar/data/1395942/000139594221000006/0001395942-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1395942/000139594222000009/0001395942-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , 
73,Net Income,-38300000,-216200000,23200000,69600000,72200000,92000000,67700000,169300000,214600000,222400000,362000000,328000000,188500000,500000,66500000
74,Depreciation and Amortization,126600000,182800000,172400000,171300000,179800000,190200000,194400000,196600000,212800000,240600000,264600000,269900000,188700000,191300000,183000000
75,Deferred Income Tax,-21800000,-55600000,-8800000,-2300000,-3500000,-3700000,22700000,-24500000,5000000,-4200000,-93500000,100000,-3300000,-7200000,7800000
76,Stock Based Compensation,6700000,-3800000,16400000,19800000,17000000,23200000,67200000,28000000,11700000,18100000,24200000,23400000,19600000,14000000,15600000
77,Change in Working Capital,6700000,-137800000,-4800000,-11600000,-110900000,117500000,62400000,127400000,-264300000,286200000,242000000,-58800000,37400000,197800000,98400000
78,Accounts Receivable,113600000,32400000,38500000,-33600000,1500000,-80000000,11800000,-52300000,-127000000,-194700000,-57400000,-66500000,-3000000,117900000,-94100000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,-2700000,30200000,-38100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,442100000,304300000,299500000,287900000,177000000,294500000,356900000,484300000,220000000,506200000,748200000,689400000,726800000,924600000,- -
82,Other Non-Cash Items,16900000,455500000,52400000,220800000,151200000,-129000000,19600000,-65500000,295200000,-402300000,-210500000,187200000,111100000,-12000000,41900000
83,Cash Provided by Operating Activities,96800000,224900000,250800000,467600000,305800000,290200000,434000000,431300000,475000000,360800000,588800000,749800000,542000000,384400000,413200000
84,CAPEX,-62800000,-129600000,-65600000,-78900000,-85800000,-102000000,-96600000,-101000000,-134700000,-155100000,-152200000,-198000000,-161600000,-101400000,-108500000
85,Acquisitions Net,-2309200000,-155300000,-7100000,-50700000,-214600000,-1100000,-45800000,-31900000,-118100000,-432100000,-78300000,-45200000,-120700000,-396700000,-519600000
86,Purchases of Investments,- -,- -,-10600000,-669000000,-120100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22500000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38500000
88,Other Investing Activites,-13100000,112800000,14500000,2700000,700000,-124500000,-125500000,-279900000,-294800000,-178100000,-149300000,-138000000,-132700000,171500000,-606500000
89,Cash Used for Investing Activites,-2385000000,-172100000,-68800000,-795900000,-419800000,-227600000,-267900000,-412800000,-547600000,-765300000,-379800000,-381200000,-415000000,-326600000,-1218600000
90,Debt Repayment,-808500000,-99100000,-286200000,-442400000,-1792900000,-99800000,-256800000,-1804500000,-42000000,-747700000,-2547300000,-48300000,-1764900000,-237600000,-28000000
91,Common Stock Issued,710500000,- -,310300000,4900000,6000000,- -,- -,- -,- -,- -,- -,- -,- -,15000000,30000000
92,Common Stock Repurchased,- -,-100000,- -,- -,- -,- -,- -,- -,-227600000,-80400000,-150000000,-150000000,-119700000,-10200000,-180900000
93,Dividends Paid,- -,- -,- -,- -,- -,-26000000,-78600000,-139900000,-151900000,-157100000,-174800000,-188300000,-164300000,-49000000,- -
94,Other Financing Activites,2590000000,4500000,-1300000,520500000,1879900000,72300000,258800000,1895900000,516000000,1438400000,2764500000,66500000,2202700000,476600000,389300000
95,Cash Used/Provided by Financing Activities,2492000000,-94700000,22800000,83000000,93000000,-53500000,-76600000,-48500000,94500000,453200000,-107600000,-320100000,153800000,194800000,210400000
96,Effect of Forex Changes on Cash,300000,-3800000,700000,500000,-700000,2200000,-6600000,-8700000,-19800000,-1900000,14000000,-20400000,12800000,-1200000,-1500000
97,Net Change In Cash,- -,-45700000,205500000,-244800000,-21700000,11300000,82900000,-38700000,2100000,46800000,115400000,28100000,256200000,251400000,-596500000
98,Cash at the End of Period,204100000,158400000,363900000,119100000,97400000,108700000,191600000,152900000,155000000,201800000,317200000,364700000,560900000,812300000,215800000
99,Cash at the Beginning of Period,- -,204100000,158400000,363900000,119100000,97400000,108700000,191600000,152900000,155000000,201800000,336600000,304700000,560900000,812300000
100,Free Cash Flow,34000000,95300000,185200000,388700000,220000000,188200000,337400000,330300000,340300000,205700000,436600000,551800000,380400000,283000000,304700000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1395942/000119312509050896/0001193125-09-050896-index.html,https://www.sec.gov/Archives/edgar/data/1395942/000119312510040929/0001193125-10-040929-index.html,https://www.sec.gov/Archives/edgar/data/1395942/000119312511045363/d10k.htm,https://www.sec.gov/Archives/edgar/data/1395942/000104746912001790/0001047469-12-001790-index.html,https://www.sec.gov/Archives/edgar/data/1395942/000104746913001492/0001047469-13-001492-index.html,https://www.sec.gov/Archives/edgar/data/1395942/000139594214000039/kar-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1395942/000139594215000034/kar-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1395942/000139594216000261/0001395942-16-000261-index.html,https://www.sec.gov/Archives/edgar/data/1395942/000139594217000034/0001395942-17-000034-index.html,https://www.sec.gov/Archives/edgar/data/1395942/000139594218000028/0001395942-18-000028-index.html,https://www.sec.gov/Archives/edgar/data/1395942/000139594219000016/0001395942-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/1395942/000139594220000018/0001395942-20-000018-index.html,https://www.sec.gov/Archives/edgar/data/1395942/000139594221000006/0001395942-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1395942/000139594222000009/0001395942-22-000009-index.htm
102,false,,,,,,,,,,,,,,,
