,https://roic.ai/company/IAC,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),1900000,41100000,98600000,103100000,43900000,9200000,-5572000,-70691000,-179186000,-391069000,-125137000,-138052000,37697000,-1485000,32079000,-4047000,119215000,134502000,35372000,29516000,-64934000,-291050000,3811000,-49309000,-59019000,140833000
23,Net Income,-6500000,13100000,76900000,-27600000,-148000000,383600000,1953100000,167400000,164900000,869700000,187100000,-144100000,-156200000,-978800000,99400000,174200000,159300000,285800000,414900000,119472000,-41280000,304924000,626961000,431131000,269726000,603311000
24,Net Income ratio,-0.0866,0.0104,0.0279,-0.0082,-0.0499,0.1117,0.6447,0.0438,0.0422,0.1731,0.1870,-0.1081,-0.1108,-0.7268,0.0607,0.0846,0.0569,0.0945,0.1334,0.0370,-0.0131,0.0922,0.1471,0.0906,0.0885,0.1631
25,EPS,-0.60,0.23,0.52,-0.30,-1.65,4.10,20.89,1.12,0.89,4.88,1.23,-1.01,-1.08,-7.06,0.71,1.24,1.13,2.04,2.96,0.85,-0.29,3.58,2.90,5.06,3.16,6.76
26,EPS Diluted,-0.60,0.23,0.52,-0.30,-1.65,4.10,20.89,1.12,0.89,4.88,1.23,-1.01,-1.08,-7.06,0.71,1.24,1.13,2.04,2.96,0.85,-0.29,3.58,2.90,5.06,2.97,6.37
27,Weighted Average Shares Outstanding,10800000,56100000,148500000,92000000,89900000,93500000,93500000,140388538,140388538,140388538,140388538,140388538,140388538,140388538,140388538,140388538,140388538,140388538,140388538,140388538,140388538,85132267,85132267,85132267,85355000,89247189
28,Weighted Average Shares Outstanding Diluted,10800000,56100000,148500000,92000000,89900000,93500000,93500000,140388538,140388538,140388538,140388538,140388538,140388538,140388538,140388538,140388538,140388538,140388538,140388538,140388538,140388538,85132267,85132267,85132267,90948000,94711303
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/891103/000104746903011015/0001047469-03-011015-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000104746904008077/0001047469-04-008077-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000104746905006738/0001047469-05-006738-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000104746906003277/0001047469-06-003277-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000104746907001535/0001047469-07-001535-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000104746908002034/0001047469-08-002034-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000104746909002040/0001047469-09-002040-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000104746910001538/0001047469-10-001538-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000104746911001622/0001047469-11-001622-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000104746912001904/0001047469-12-001904-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000144530513000404/0001445305-13-000404-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000089110314000003/0000891103-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000089110315000004/0000891103-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000089110316000023/0000891103-16-000023-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000089110317000003/0000891103-17-000003-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000089110318000003/0000891103-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000089110319000006/0000891103-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000089110320000004/0000891103-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1800227/000180022721000004/0001800227-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1800227/000180022722000007/0001800227-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,43000000,116000000,445000000,423000000,244000000,978000000,1998000000,760000000,1000000000,987000000,1428000000,1585000000,1745000000,1246000000,742000000,704000000,750000000,1100000000,990000000,1481447000,1329187000,1630809000,2131632000,3139295000,3476188000,2118730000
32,Short-Term Investments,- -,- -,28000000,12000000,127000000,171000000,1929000000,2420000000,2410000000,1488000000,898000000,327000000,126000000,488000000,564000000,166000000,21000000,6000000,161000000,39200000,89342000,4995000,123665000,19993000,224979000,19788000
33,Cash and Short-Term Investments,43000000,116000000,473000000,435000000,371000000,1149000000,3927000000,3180000000,3410000000,2475000000,2326000000,1912000000,1871000000,1734000000,1306000000,870000000,771000000,1106000000,1151000000,1520647000,1418529000,1635804000,2255297000,3159288000,3701167000,2138518000
34,Net Receivables,57000000,97000000,372000000,442000000,646000000,854000000,308000000,273000000,354000000,427000000,412000000,169000000,214000000,168000000,139000000,185000000,257000000,220000000,241000000,276870000,261490000,337266000,289321000,307642000,270453000,693208000
35,Inventory,101000000,151000000,422000000,462000000,404000000,197000000,193000000,216000000,241000000,336000000,326000000,331970000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,48000000,57000000,28000000,58000000,107000000,173000000,196000000,546000000,1111000000,931000000,894000000,1013030000,100000000,98000000,99000000,104000000,129000000,149000000,144000000,147493000,162716000,152135000,218121000,240059000,147630000,267165000
37,Total Current Assets,249000000,421000000,1295000000,1397000000,1528000000,2373000000,4624000000,4215000000,5116000000,4169000000,3958000000,3426000000,2185000000,2000000000,1544000000,1159000000,1157000000,1475000000,1536000000,1945010000,1842735000,2125205000,2762739000,3706989000,4119250000,3098891000
38,PP&E,122000000,180000000,255000000,292000000,444000000,399000000,430000000,392000000,427000000,521000000,595000000,334000000,330000000,290000000,268000000,260000000,271000000,294000000,302000000,302817000,306248000,315170000,318800000,539154000,278251000,570525000
39,Goodwill,1193000000,1520000000,6233000000,6401000000,7181000000,3070000000,5998000000,5325000000,5362000000,7222000000,6850000000,1824000000,1910000000,968000000,989000000,1359000000,1616000000,1675000000,1755000000,2245364000,1924052000,2559066000,2726859000,2854462000,1879438000,3514886000
40,Intangible Assets,353000000,342000000,110000000,476000000,440000000,390000000,1425000000,1276000000,1132000000,1558000000,1464000000,402000000,387000000,261000000,245000000,378000000,483000000,445000000,492000000,440828000,355451000,663737000,631422000,578474000,405840000,1414892000
41,Intangible Assets,1546000000,1862000000,6343000000,6877000000,7621000000,3460000000,7423000000,6601000000,6494000000,8780000000,8314000000,2226000000,2297000000,1229000000,1234000000,1737000000,2099000000,2120000000,2247000000,2686192000,2279503000,3222803000,3358281000,3432936000,2285278000,4929778000
42,Investments,30000000,48000000,36000000,121000000,49000000,65000000,1582000000,1401000000,1469000000,122000000,169000000,301000000,121000000,273000000,201000000,174000000,161000000,180000000,115000000,137386000,122810000,64977000,235055000,353052000,2157801000,2977280000
43,Tax Assets,- -,- -,- -,8000000,98000000,210000000,2374000000,2058000000,2130000000,1266000000,1113000000,- -,- -,279000000,271000000,302000000,323000000,321000000,392000000,348773000,228798000,35070000,23600000,21388000,- -,- -
44,Other Non-Current Assets,169000000,160000000,387000000,538000000,734000000,20000000,-774000000,6901000000,6763000000,-940000000,-952000000,6304000000,318000000,-157000000,-189000000,-222000000,-205000000,-155000000,-335000000,-231487000,-134221000,104585000,176110000,279306000,294860000,1037842000
45,Total Non-Current Assets,1867000000,2250000000,7021000000,7836000000,8946000000,4154000000,11035000000,17353000000,17283000000,9749000000,9239000000,9165000000,3066000000,1914000000,1785000000,2251000000,2649000000,2760000000,2721000000,3243681000,2803138000,3742605000,4111846000,4625836000,5016190000,9515425000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2116000000,2671000000,8316000000,9233000000,10474000000,6527000000,15659000000,21568000000,22399000000,13918000000,13197000000,12591000000,5251000000,3914000000,3329000000,3410000000,3806000000,4235000000,4257000000,5188691000,4645873000,5867810000,6874585000,8332825000,9135440000,12614316000
48,Accounts Payable,95000000,185000000,258000000,285000000,361000000,399000000,609000000,373000000,436000000,574000000,559000000,42000000,49000000,38000000,56000000,64000000,98000000,78000000,81000000,86883000,62863000,76571000,74907000,94356000,92173000,203173000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,565273000,375276000,358831000,111857000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13750000,13750000,- -,30000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,177094000,96817000,77528000,517016000,518994000,20521000,403043000,450129000,475685000,351561000,17679000,16159000,41157000,33029000,5788000,11798000,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,264902000,180229000,110039000,66672000,33426000,97401000,50886000,57822000,78175000,126297000,155499000,158206000,194988000,258412000,285615000,342483000,360000000,167054000,275093000,540197000
52,Other Current Liabilities,178000000,175000000,594000000,731000000,812000000,593000000,681098000,1324771000,1780688000,1217052000,1315743000,1482742000,180114000,194178000,222825000,343703000,371501000,350794000,398012000,423251000,364910000,380674000,434901000,732439000,383562000,834292000
53,Total Current Liabilities,273000000,360000000,852000000,1016000000,1173000000,992000000,1555000000,1878000000,2892000000,2233000000,2267000000,1734000000,280000000,290000000,357000000,534000000,625000000,587000000,674000000,768546000,713388000,799728000,883558000,1007599000,750828000,1607662000
54,Long-Term Debt,271000000,448000000,776000000,575000000,553000000,544000000,1211000000,1118000000,797000000,959000000,856000000,835000000,96000000,96000000,96000000,96000000,580000000,1080000000,1080000000,1726954000,1582484000,1979469000,2245548000,3121572000,712277000,2046237000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1700000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,270501000,302213000,323403000,320748000,409529000,348773000,228798000,35070000,23600000,- -,52593000,293595000
57,Other Non-Current Liabilities,413000000,415000000,4117000000,4872000000,5308000000,1046000000,4962000000,4157000000,4105000000,1495000000,1334000000,1438000000,448000000,781000000,555499000,572787000,621597000,560252000,101471000,539892000,251981000,623515000,877054000,1275612000,468814000,912098000
58,Total Non-Current Liabilities,684000000,863000000,4893000000,5447000000,5861000000,1590000000,6173000000,5275000000,4902000000,2454000000,2190000000,2273000000,544000000,877000000,922000000,971000000,1525000000,1961000000,1591000000,2615619000,2063263000,2638054000,3147902000,4397184000,1233684000,3251930000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,957000000,1223000000,5745000000,6463000000,7034000000,2582000000,7728000000,7153000000,7794000000,4687000000,4457000000,4007000000,824000000,1167000000,1279000000,1505000000,2150000000,2548000000,2265000000,3384165000,2776651000,3437782000,4031460000,5404783000,1984512000,4859592000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000000,1000000,3000000,3000000,4000000,4000000,4000000,4000000,4000000,399000,410000,417000,210000,223000,226000,234000,251000,251000,252000,270000,272000,277000,278000,279000,89000,9000
64,Retained Earnings,-117000000,-104000000,-27000000,-54000000,-202000000,181000000,2123000000,2277000000,2429000000,128000000,291000000,568000000,227000000,-751000000,-652000000,-478000000,-319000000,-33000000,325000000,331394000,290114000,595038000,1258794000,1689925000,694042000,910915000
65,Other Comprehensive Income/Loss,-10000000,-121000000,14000000,10000000,-22000000,-24000000,32000000,74000000,162000000,52000000,154000000,40000000,2000000,24000000,18000000,-12000000,-64000000,-13000000,-88000000,-152103000,-166123000,-271811000,-128722000,-136349000,-6170000,4397000
66,Other Total Stockholders Equity,1285000000,1671000000,2581000000,2811000000,3660000000,3785000000,5772000000,12061000000,12010000000,9050601000,8293590000,7975583000,4198790000,3473777000,2683774000,2394766000,2038749000,1732749000,1754748000,1624965000,1744959000,2106524000,1712775000,1374187000,5909614000,6265669000
67,Total Stockholders Equity,1159000000,1447000000,2571000000,2770000000,3440000000,3946000000,7931000000,14416000000,14605000000,9231000000,8739000000,8584000000,4428000000,2747000000,2050000000,1905000000,1656000000,1687000000,1992000000,1804526000,1869222000,2430028000,2843125000,2928042000,6597575000,7180990000
68,Total Liabilities And Stockholders Equity,2116000000,2670000000,8316000000,9233000000,10474000000,6528000000,15659000000,21569000000,22399000000,13918000000,13196000000,12591000000,5252000000,3914000000,3329000000,3410000000,3806000000,4235000000,4257000000,5188691000,4645873000,5867810000,6874585000,8332825000,8582087000,12040582000
69,Minority Interest,- -,1000000,- -,- -,- -,-1000000,- -,-1000000,- -,- -,1000000,- -,-1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,553353000,573734000
70,Total Liabilities & Equity,2116000000,2671000000,8316000000,9233000000,10474000000,6527000000,15659000000,21568000000,22399000000,13918000000,13197000000,12591000000,5251000000,3914000000,3329000000,3410000000,3806000000,4235000000,4257000000,5188691000,4645873000,5867810000,6874585000,8332825000,9135440000,12614316000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/891103/000104746903011015/0001047469-03-011015-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000104746904008077/0001047469-04-008077-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000104746905006738/0001047469-05-006738-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000104746906003277/0001047469-06-003277-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000104746907001535/0001047469-07-001535-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000104746908002034/0001047469-08-002034-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000104746909002040/0001047469-09-002040-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000104746910001538/0001047469-10-001538-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000104746911001622/0001047469-11-001622-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000104746912001904/0001047469-12-001904-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000144530513000404/0001445305-13-000404-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000089110314000003/0000891103-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000089110315000004/0000891103-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000089110316000023/0000891103-16-000023-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000089110317000003/0000891103-17-000003-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000089110318000003/0000891103-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000089110319000006/0000891103-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/891103/000089110320000004/0000891103-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1800227/000180022721000004/0001800227-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1800227/000180022722000007/0001800227-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-6500000,13100000,76900000,-27600000,-148000000,383600000,1953100000,167400000,164900000,869700000,187100000,-144100000,-156200000,-978800000,99400000,174200000,159300000,285800000,414900000,119472000,-41280000,304924000,626961000,431131000,269726000,603311000
74,Depreciation and Amortization,18700000,77700000,724100000,893600000,420100000,416700000,253700000,336800000,312200000,312200000,95100000,95600000,110800000,218400000,91400000,78800000,88300000,118700000,119100000,202157000,151102000,116408000,149474000,180994000,210867000,149854000
75,Deferred Income Tax,400000,22500000,77200000,9500000,21400000,11800000,-37500000,-113200000,-5100000,-1076700000,77100000,-4400000,-153500000,27700000,-6100000,-35500000,37100000,-9100000,76900000,-59786000,-119181000,-285278000,8765000,-80101000,-31920000,135221000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,15899000,128185000,241726000,137537000,92344000,105612000,86539000,69886000,84280000,88588000,85625000,53005000,59634000,105450000,104820000,264618000,148405000,240788000,197220000,79487000
77,Change in Working Capital,-31000000,85000000,382000000,-62000000,-26000000,1026000000,1688000000,-732000000,-113000000,-288000000,-245000000,1000000,213000000,-195000000,-523000000,-562000000,-93000000,356000000,-26000000,314464000,-47117000,196130000,553704000,820209000,669032000,-111378000
78,Accounts Receivable,-53000000,-40000000,-275000000,-70000000,-204000000,382000000,70908000,-73303000,-70427000,-60562000,-69323000,-68485000,7653000,-16300000,-32901000,-58314000,-30991000,10421000,-19918000,-29680000,1283000,-115169000,-52131000,-91435000,-139116000,-156971000
79,Inventory,-101000000,-50000000,-271000000,-40000000,58000000,207000000,4243000,-6083000,-23079000,1816000,-26067000,-14754000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-95000000,-90000000,-73000000,-27000000,-76000000,-38000000,-58216000,409493000,151764000,606566000,-1504000,3481000,-80638000,17414000,54188000,57228000,-14384000,-766000,5206000,8989000,-52359000,-25289000,35611000,41882000,11566000,78029000
81,Other Working Capital,-24000000,61000000,443000000,381000000,355000000,1381000000,3069000000,2337000000,2224000000,1936000000,1691000000,1692000000,1905000000,1710000000,1187000000,625000000,532000000,888000000,862000000,1176464000,1129347000,1325477000,1879181000,2699390000,3368422000,28754000
82,Other Non-Cash Items,30400000,-150600000,-1023800000,-478200000,-93900000,-1146500000,-3564299000,1401115000,639574000,726663000,620756000,817088000,18261000,1181614000,587220000,619912000,73775000,-395305000,-220634000,-276086000,295894000,-180103000,-1117874000,-655082000,-1160344000,-719542000
83,Cash Provided by Operating Activities,12000000,47700000,236400000,335300000,173600000,691600000,308900000,1188300000,1240300000,681400000,827400000,870800000,118900000,323800000,333200000,364000000,351100000,409100000,423900000,405671000,344238000,416699000,369435000,937939000,154581000,136953000
84,CAPEX,-1100000,-45900000,-76500000,-108900000,-160400000,-127400000,-114100000,-138500000,-156000000,-216700000,-144900000,-112900000,-59000000,-33900000,-39829000,-39954000,-51201000,-80311000,-57233000,-62049000,-78039000,-75523000,-54680000,-136652000,-61570000,-90210000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-560465000,-1092009000,-486033000,-693388000,-117580000,-191882000,-148631000,-85534000,-17333000,-278469000,-411035000,-40690000,-259391000,-617402000,-18403000,39225000,70679000,-40602000,-658275000,-2683192000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-728589000,-497038000,-3373143000,-2158694000,-934769000,-783783000,-169958000,-586274000,-539598000,-711735000,-745782000,-264214000,-175826000,-293134000,-622891000,-38997000,-108851000,-313302000,-1670588000,-24290000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,3124145000,1543818000,1367178000,356252000,229583000,763326000,584935000,195501000,12502000,21644000,218462000,252369000,114350000,35000000,163500000,475000000,225000000
88,Other Investing Activites,-1500000,-36400000,-1125400000,-305100000,-247600000,-394500000,2073954000,-41953000,3263576000,2028837000,134531000,-206813000,955337000,53525000,-284666000,420023000,671217000,292913000,31006000,171402000,479826000,-72529000,-41510000,-139125000,-18278000,-417419000
89,Cash Used for Investing Activites,-2600000,-82300000,-1201900000,-414000000,-408000000,-521900000,670800000,-1769500000,-751600000,2084200000,481100000,71800000,934000000,-422600000,-118100000,-25200000,-341300000,-79800000,-439800000,-582721000,12862000,42049000,-44682000,-329529000,-1872141000,-2899901000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15844000,- -,-80000000,-450000000,-838636000,-13750000,-348785000,-27500000,-220000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,151708000,1430053000,147283000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1557898000,- -
92,Common Stock Repurchased,1200000,7200000,831700000,413600000,80700000,79000000,145400000,-397100000,-283000000,-2523900000,-889400000,-607100000,-156200000,-393600000,-539600000,-507800000,-691800000,-264200000,- -,256114000,-243749000,-56424000,- -,-273258000,-63674000,-35403000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-10200000,-13100000,-13100000,-9600000,-192635000,-144069000,- -,- -,-11355000,-10700000,-68200000,-79200000,-97300000,-113196000,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,12900000,100900000,466000000,-357700000,-22500000,-72000000,325292000,-1587453000,-105283000,-217600000,182735000,-57531000,-517900000,-12200000,-166245000,146300000,793500000,376944000,16300000,615472000,201609000,698191000,-183988000,1021874000,2885195000,1664717000
95,Cash Used/Provided by Financing Activities,14100000,108100000,1297700000,55900000,58200000,7000000,612200000,-567600000,-254100000,-2751100000,-899300000,-808700000,-674100000,-405800000,-717200000,-372200000,33500000,17700000,-81000000,678390000,-492140000,-196869000,-197738000,399831000,4351919000,1409314000
96,Effect of Forex Changes on Cash,- -,- -,-1500000,-100000,-2700000,-3700000,9800000,14600000,5500000,-27100000,31800000,23300000,-23000000,5600000,-1800000,-4500000,2600000,3500000,-13200000,-10298000,-6434000,11604000,-118000,-1568000,2019000,-1612000
97,Net Change In Cash,23500000,73400000,330700000,-22800000,-179000000,173100000,1601700000,-1134200000,240100000,-12600000,441100000,157200000,355800000,-499000000,-503900000,-37900000,45800000,350500000,-110000000,491042000,-141474000,273483000,126897000,1006673000,2636378000,-1355246000
98,Cash at the End of Period,42500000,116400000,446700000,422200000,244000000,417100000,2579700000,863800000,1000100000,987400000,1428100000,1585200000,1940800000,1246000000,742100000,704100000,749800000,1100500000,990000000,1481042000,1339973000,1633682000,886836000,3140358000,3477110000,2121864000
99,Cash at the Beginning of Period,19000000,43000000,116000000,445000000,423000000,244000000,978000000,1998000000,760000000,1000000000,987000000,1428000000,1585000000,1745000000,1246000000,742000000,704000000,750000000,1100000000,990000000,1481447000,1360199000,759939000,2133685000,840732000,3477110000
