,https://roic.ai/company/GD,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,670200000,207700000,592400000,455000000,809100000,-549000000,765000000,850000000,1084000000,397000000,487000000,476000000,570000000,675000000,1326000000,1488000000,1763000000,1721000000,1764000000,2292000000,2707000000,3314000000,3593000000,4165000000,4233000000,4522000000,4439000000,1329000000,4137000000,4261000000,4682000000,4677000000,4635000000,5209000000,5503000000,5105000000,5194000000
16,EBITDA ratio,0.0821,0.0234,0.0634,0.0476,0.0806,-0.0540,0.0874,0.2448,0.3401,0.1298,0.1588,0.1329,0.1403,0.1358,0.1480,0.1437,0.1449,0.1244,0.1062,0.1195,0.1274,0.1377,0.1319,0.1422,0.1324,0.1393,0.1358,0.0422,0.1325,0.1381,0.1488,0.1492,0.1496,0.1439,0.1398,0.1346,0.1350
17,Operating Income,668000000,649200000,634500000,522100000,531900000,-811000000,392000000,175000000,309000000,321000000,315000000,353000000,446000000,542000000,1203000000,1329000000,1485000000,1582000000,1467000000,1941000000,2197000000,2625000000,3113000000,3653000000,3675000000,3945000000,3826000000,833000000,3685000000,3889000000,4178000000,4309000000,4177000000,4457000000,4648000000,4133000000,4163000000
18,Operating Income ratio,0.0818,0.0730,0.0679,0.0547,0.0530,-0.0797,0.0448,0.0504,0.0970,0.1050,0.1027,0.0986,0.1098,0.1091,0.1343,0.1283,0.1221,0.1144,0.0883,0.1012,0.1034,0.1091,0.1143,0.1247,0.1149,0.1215,0.1171,0.0264,0.1180,0.1261,0.1328,0.1374,0.1349,0.1231,0.1181,0.1090,0.1082
19,Total Other Income Expenses (Gains),-13600000,-451600000,-42100000,-67100000,-83700000,-177000000,-61000000,52000000,104000000,22000000,60000000,56000000,33000000,7000000,-77000000,-67000000,-61000000,2000000,-95000000,-156000000,-97000000,-98000000,-66000000,-49000000,-162000000,-155000000,-108000000,-292000000,-78000000,-87000000,-76000000,-78000000,-100000000,-372000000,-446000000,-395000000,-290000000
20,Income Before Tax,654400000,197600000,592400000,455000000,448200000,-988000000,331000000,227000000,413000000,343000000,375000000,409000000,479000000,549000000,1126000000,1262000000,1424000000,1584000000,1372000000,1785000000,2100000000,2527000000,3047000000,3604000000,3513000000,3790000000,3718000000,541000000,3607000000,3802000000,4102000000,4231000000,4077000000,4085000000,4202000000,3738000000,3873000000
21,Income Before Tax Ratio,0.0802,0.0222,0.0634,0.0476,0.0446,-0.0971,0.0378,0.0654,0.1296,0.1122,0.1223,0.1142,0.1179,0.1105,0.1257,0.1219,0.1171,0.1145,0.0826,0.0931,0.0989,0.1050,0.1119,0.1230,0.1098,0.1167,0.1138,0.0172,0.1155,0.1232,0.1304,0.1349,0.1316,0.1129,0.1068,0.0986,0.1007
22,Income Tax expense (Gain),281900000,260200000,155100000,76000000,155100000,-349000000,-43000000,-21000000,143000000,120000000,128000000,139000000,163000000,185000000,246000000,361000000,481000000,533000000,375000000,582000000,632000000,817000000,967000000,1126000000,1106000000,1162000000,1166000000,873000000,1121000000,1129000000,1137000000,1169000000,1165000000,727000000,718000000,571000000,616000000
23,Net Income,388300000,-52500000,437300000,379000000,293100000,-578000000,505000000,815000000,885000000,238000000,321000000,270000000,316000000,364000000,880000000,901000000,943000000,917000000,1004000000,1227000000,1461000000,1856000000,2072000000,2459000000,2394000000,2624000000,2526000000,-332000000,2357000000,2533000000,2965000000,2955000000,2912000000,3345000000,3484000000,3167000000,3257000000
24,Net Income ratio,0.0476,-0.0059,0.0468,0.0397,0.0292,-0.0568,0.0577,0.2347,0.2777,0.0778,0.1047,0.0754,0.0778,0.0732,0.0982,0.0870,0.0775,0.0663,0.0604,0.0640,0.0688,0.0771,0.0761,0.0839,0.0749,0.0808,0.0773,-0.0105,0.0755,0.0821,0.0942,0.0942,0.0940,0.0924,0.0885,0.0835,0.0847
25,EPS,1.15,-0.15,1.28,1.13,0.88,-1.74,1.51,4.46,1.08,0.94,1.27,1.07,1.25,1.44,2.20,2.25,2.35,2.27,2.54,3.08,3.64,4.60,5.12,6.21,6.21,6.88,6.94,-0.94,6.72,7.56,9.23,9.70,9.73,11.33,12.09,11.04,0.02
26,EPS Diluted,1.15,-0.15,1.28,1.13,0.88,-1.74,1.51,4.46,1.06,0.94,1.27,1.06,1.25,1.43,2.18,2.24,2.33,2.26,2.52,3.04,3.61,4.56,5.08,6.17,6.17,6.81,6.87,-0.94,6.67,7.42,9.08,9.52,9.56,11.18,11.98,11.00,0.02
27,Weighted Average Shares Outstanding,337652174,338709677,340311284,335398230,333068182,333141210,333333333,182530795,251840491,252273312,251970232,252686500,251348000,252754000,399976000,399680000,402284000,402714000,395580000,399126000,401638000,403424000,404417000,396200000,385500000,381200000,364100000,353300000,350700000,335200000,321300000,304700000,299200000,295300000,288300000,286900000,278300000
28,Weighted Average Shares Outstanding Diluted,337652174,338709677,340311284,335398230,333068182,333141210,333333333,182530795,251840491,253703100,253456592,253720668,253160000,254420000,404114000,402524000,405814000,405704000,398304000,402934000,404848000,406827000,408145000,398700000,387900000,385200000,367500000,353300000,353500000,341300000,326700000,310400000,304600000,299200000,290800000,287900000,280600000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/40533/000095013395000118/0000950133-95-000118-index.html,https://www.sec.gov/Archives/edgar/data/40533/0000950133-96-000230-index.html,https://www.sec.gov/Archives/edgar/data/40533/000095013397000914/0000950133-97-000914-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/40533/000095013301001070/0000950133-01-001070-index.html,https://www.sec.gov/Archives/edgar/data/40533/000095013302001284/w58696e10-k405.htm,https://www.sec.gov/Archives/edgar/data/40533/000095013303000882/w84261e10vk.htm,https://www.sec.gov/Archives/edgar/data/40533/000095013304000738/w94591e10vk.htm,https://www.sec.gov/Archives/edgar/data/40533/000119312505042255/d10k.htm,https://www.sec.gov/Archives/edgar/data/40533/000119312506044567/d10k.htm,https://www.sec.gov/Archives/edgar/data/40533/000119312507037776/d10k.htm,https://www.sec.gov/Archives/edgar/data/40533/000119312508035841/d10k.htm,https://www.sec.gov/Archives/edgar/data/40533/000119312509033556/0001193125-09-033556-index.html,https://www.sec.gov/Archives/edgar/data/40533/000119312510034883/0001193125-10-034883-index.html,https://www.sec.gov/Archives/edgar/data/40533/000119312511039769/d10k.htm,https://www.sec.gov/Archives/edgar/data/40533/000119312512066385/0001193125-12-066385-index.html,https://www.sec.gov/Archives/edgar/data/40533/000004053313000005/0000040533-13-000005-index.html,https://www.sec.gov/Archives/edgar/data/40533/000004053314000002/gd-2013123110k.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053315000009/gd-2014123110k.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053316000056/0000040533-16-000056-index.html,https://www.sec.gov/Archives/edgar/data/40533/000004053317000006/0000040533-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/40533/000004053318000008/0000040533-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/40533/000004053319000010/0000040533-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/40533/000004053320000015/0000040533-20-000015-index.html,https://www.sec.gov/Archives/edgar/data/40533/000004053321000010/0000040533-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053322000007/0000040533-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,382000000,215000000,516000000,336000000,127000000,270000000,177000000,442000000,328000000,860000000,976000000,2331000000,1604000000,2891000000,1621000000,2263000000,2613000000,2649000000,3296000000,5301000000,4388000000,2785000000,2334000000,2983000000,963000000,902000000,2824000000,1603000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,382000000,215000000,516000000,336000000,127000000,270000000,177000000,442000000,328000000,860000000,976000000,2331000000,1604000000,2891000000,1621000000,2263000000,2613000000,2649000000,3296000000,5301000000,4388000000,2785000000,2334000000,2983000000,963000000,902000000,2824000000,1603000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,104000000,105000000,97000000,234000000,316000000,1950000000,798000000,996000000,1074000000,1378000000,1459000000,2034000000,2341000000,2874000000,3469000000,3678000000,3848000000,4452000000,4204000000,4402000000,4050000000,3446000000,3611000000,8857000000,10335000000,11401000000,11185000000,11539000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,351000000,567000000,558000000,702000000,952000000,961000000,2191000000,3026000000,3319000000,3708000000,4100000000,4391000000,5472000000,5958000000,6318000000,6575000000,2158000000,2310000000,7740000000,7748000000,7812000000,7723000000,8805000000,5303000000,5977000000,6306000000,5745000000,5340000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,960000000,1126000000,687000000,417000000,478000000,310000000,385000000,429000000,377000000,448000000,752000000,417000000,463000000,575000000,542000000,733000000,5567000000,5957000000,504000000,435000000,1157000000,617000000,697000000,1185000000,914000000,1171000000,1789000000,1505000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1797000000,2013000000,1858000000,1689000000,1873000000,3491000000,3551000000,4893000000,5098000000,6394000000,7287000000,9173000000,9880000000,12298000000,11950000000,13249000000,14186000000,15368000000,15744000000,17886000000,17407000000,14571000000,15447000000,18328000000,18189000000,19780000000,21543000000,19987000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,264000000,398000000,441000000,592000000,698000000,1169000000,1294000000,1768000000,1856000000,2085000000,2169000000,2125000000,2168000000,2472000000,2872000000,2912000000,2971000000,3284000000,3403000000,3415000000,3329000000,3466000000,3467000000,3517000000,4348000000,4475000000,5100000000,5417000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3110000000,3510000000,6083000000,6451000000,6687000000,8541000000,8942000000,11413000000,12269000000,12649000000,13576000000,12048000000,11977000000,11731000000,11443000000,11445000000,11914000000,19594000000,19677000000,20053000000,20098000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1204000000,1525000000,2513000000,2531000000,648000000,560000000,1030000000,954000000,898000000,1184000000,972000000,1617000000,2098000000,1992000000,1813000000,1383000000,1217000000,912000000,763000000,678000000,702000000,2585000000,2315000000,2117000000,1978000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1204000000,1525000000,2513000000,2531000000,3758000000,4070000000,7113000000,7405000000,7585000000,9725000000,9914000000,13030000000,14367000000,14641000000,15389000000,13431000000,13194000000,12643000000,12206000000,12123000000,12616000000,22179000000,21992000000,22170000000,22076000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,612000000,753000000,1000000000,606000000,476000000,601000000,611000000,650000000,707000000,591000000,683000000,708000000,603000000,1049000000,521000000,549000000,747000000,842000000,1731000000,953000000,1976000000,1754000000,1835000000,585000000,692000000,2594000000,2495000000,2593000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,876000000,1151000000,1441000000,2402000000,2699000000,4283000000,4436000000,6176000000,6633000000,9789000000,10257000000,10418000000,12496000000,13435000000,16423000000,17828000000,18359000000,19515000000,18565000000,17562000000,17948000000,17426000000,17425000000,16718000000,27219000000,29061000000,29765000000,30086000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2673000000,3164000000,3299000000,4091000000,4572000000,7774000000,7987000000,11069000000,11731000000,16183000000,17544000000,19591000000,22376000000,25733000000,28373000000,31077000000,32545000000,34883000000,34309000000,35448000000,35355000000,31997000000,32872000000,35046000000,45408000000,48841000000,51308000000,50073000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,134000000,130000000,182000000,255000000,295000000,631000000,717000000,904000000,1056000000,1317000000,1508000000,1710000000,1956000000,2318000000,2443000000,2365000000,2736000000,2895000000,2469000000,2248000000,2057000000,1964000000,2538000000,3207000000,3179000000,3162000000,2952000000,3167000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,108000000,60000000,853000000,340000000,1211000000,732000000,747000000,6000000,510000000,7000000,673000000,911000000,705000000,773000000,23000000,1000000,- -,501000000,501000000,900000000,2000000,973000000,3172000000,3265000000,1342000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1631000000,2949000000,3440000000,4154000000,4313000000,4465000000,5011000000,6042000000,6584000000,7335000000,5674000000,4939000000,6992000000,7270000000,7148000000,6276000000,6266000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,492000000,729000000,651000000,928000000,1106000000,1969000000,1844000000,2464000000,2794000000,3552000000,3860000000,3056000000,2912000000,2733000000,2852000000,2988000000,3203000000,3216000000,3108000000,3362000000,3858000000,4306000000,4469000000,2898000000,3317000000,3319000000,3471000000,3203000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,626000000,859000000,833000000,1291000000,1461000000,3453000000,2901000000,4579000000,4582000000,5616000000,5374000000,6907000000,7824000000,9164000000,10360000000,10371000000,11177000000,11145000000,11620000000,12194000000,13751000000,12445000000,12846000000,13099000000,14739000000,16801000000,15964000000,13978000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,196000000,170000000,156000000,257000000,249000000,169000000,162000000,724000000,718000000,3296000000,3291000000,2781000000,2774000000,2118000000,3113000000,3159000000,2430000000,3907000000,3908000000,3908000000,3410000000,2898000000,2988000000,3980000000,11444000000,9010000000,11144000000,11833000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,849000000,677000000,617000000,506000000,418000000,814000000,726000000,709000000,872000000,1250000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,144000000,137000000,82000000,75000000,72000000,244000000,577000000,481000000,461000000,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,535000000,568000000,596000000,628000000,643000000,981000000,1104000000,1238000000,1232000000,1350000000,1690000000,1758000000,1951000000,2683000000,4847000000,5124000000,5622000000,6599000000,6398000000,4031000000,5666000000,5335000000,5572000000,5474000000,6190000000,8263000000,7206000000,5371000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,731000000,738000000,752000000,885000000,892000000,1150000000,1266000000,1962000000,1950000000,4646000000,4981000000,4539000000,4725000000,4801000000,7960000000,8283000000,8052000000,10506000000,11299000000,8753000000,9775000000,8814000000,9050000000,10512000000,18937000000,18463000000,19683000000,18454000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,911000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1503000000,1411000000,1680000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1357000000,1597000000,1585000000,2176000000,2353000000,4603000000,4167000000,6541000000,6532000000,10262000000,10355000000,11446000000,12549000000,13965000000,18320000000,18654000000,19229000000,21651000000,22919000000,20947000000,23526000000,21259000000,21896000000,23611000000,33676000000,35264000000,35647000000,32432000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,487000000,619000000,694000000,757000000,838000000,998000000,1127000000,482000000,482000000,482000000,482000000,482000000,482000000,482000000,482000000,482000000,482000000,482000000,482000000,482000000,482000000,482000000,482000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,1860000000,2087000000,2254000000,2386000000,2640000000,3363000000,4059000000,4778000000,5455000000,6206000000,7146000000,8285000000,9769000000,11379000000,13287000000,15093000000,17076000000,18917000000,17860000000,19428000000,21127000000,23204000000,25227000000,26444000000,29326000000,31633000000,33498000000,35420000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-809000000,-810000000,-954000000,-1100000000,-1028000000,-1219000000,-1346000000,-1770000000,3000000,156000000,251000000,226000000,151000000,647000000,-1713000000,-1207000000,-1436000000,-2312000000,-2775000000,-1185000000,-2932000000,-3286000000,-3396000000,-2820000000,-3778000000,-4219000000,-3550000000,-1920000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,265000000,290000000,414000000,629000000,607000000,540000000,488000000,826000000,-1016000000,-1279000000,-1206000000,-1493000000,-575000000,-740000000,-2003000000,-1945000000,-2806000000,-3855000000,-4177000000,-4224000000,-6848000000,-9662000000,-11337000000,-12671000000,-14298000000,-14319000000,-14769000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1316000000,1567000000,1714000000,1915000000,2219000000,3171000000,3820000000,4528000000,5199000000,5921000000,7189000000,8145000000,9827000000,11768000000,10053000000,12423000000,13316000000,13232000000,11390000000,14501000000,11829000000,10738000000,10976000000,11435000000,11732000000,13577000000,15661000000,17641000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2673000000,3164000000,3299000000,4091000000,4572000000,7774000000,7987000000,11069000000,11731000000,16183000000,17544000000,19591000000,22376000000,25733000000,28373000000,31077000000,32545000000,34883000000,34309000000,35448000000,35355000000,31997000000,32872000000,35046000000,45408000000,48841000000,51308000000,50073000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2673000000,3164000000,3299000000,4091000000,4572000000,7774000000,7987000000,11069000000,11731000000,16183000000,17544000000,19591000000,22376000000,25733000000,28373000000,31077000000,32545000000,34883000000,34309000000,35448000000,35355000000,31997000000,32872000000,35046000000,45408000000,48841000000,51308000000,50073000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/40533/000095013395000118/0000950133-95-000118-index.html,https://www.sec.gov/Archives/edgar/data/40533/0000950133-96-000230-index.html,https://www.sec.gov/Archives/edgar/data/40533/000095013397000914/0000950133-97-000914-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/40533/000095013301001070/0000950133-01-001070-index.html,https://www.sec.gov/Archives/edgar/data/40533/000095013302001284/w58696e10-k405.htm,https://www.sec.gov/Archives/edgar/data/40533/000095013303000882/w84261e10vk.htm,https://www.sec.gov/Archives/edgar/data/40533/000095013304000738/w94591e10vk.htm,https://www.sec.gov/Archives/edgar/data/40533/000119312505042255/d10k.htm,https://www.sec.gov/Archives/edgar/data/40533/000119312506044567/d10k.htm,https://www.sec.gov/Archives/edgar/data/40533/000119312507037776/d10k.htm,https://www.sec.gov/Archives/edgar/data/40533/000119312508035841/d10k.htm,https://www.sec.gov/Archives/edgar/data/40533/000119312509033556/0001193125-09-033556-index.html,https://www.sec.gov/Archives/edgar/data/40533/000119312510034883/0001193125-10-034883-index.html,https://www.sec.gov/Archives/edgar/data/40533/000119312511039769/d10k.htm,https://www.sec.gov/Archives/edgar/data/40533/000119312512066385/0001193125-12-066385-index.html,https://www.sec.gov/Archives/edgar/data/40533/000004053313000005/0000040533-13-000005-index.html,https://www.sec.gov/Archives/edgar/data/40533/000004053314000002/gd-2013123110k.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053315000009/gd-2014123110k.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053316000056/0000040533-16-000056-index.html,https://www.sec.gov/Archives/edgar/data/40533/000004053317000006/0000040533-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/40533/000004053318000008/0000040533-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/40533/000004053319000010/0000040533-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/40533/000004053320000015/0000040533-20-000015-index.html,https://www.sec.gov/Archives/edgar/data/40533/000004053321000010/0000040533-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/40533/000004053322000007/0000040533-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,293100000,-578000000,505000000,815000000,885000000,238000000,321000000,270000000,316000000,364000000,880000000,901000000,943000000,917000000,1004000000,1227000000,1461000000,1856000000,2072000000,2459000000,2394000000,2624000000,2526000000,-332000000,2357000000,2533000000,2965000000,2955000000,2912000000,3345000000,3484000000,3167000000,3257000000
