,https://roic.ai/company/CNO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
41,Intangible Assets,3800800000,- -,100000000,1107400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,19573400000,19914600000,21667300000,22521300000,22827700000,20545400000,15635900000,18852700000,21495500000,24279000000,25866000000,24721900000,22665900000,22241600000,23768100000,25234100000,20440200000,22771800000,24956200000,26363300000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14277600000,-18035300000,-20562600000,-18078900000,-17244500000,-16272900000,-18749000000,-20802200000,-12857600000,-15109600000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7217900000,6243700000,5303400000,6643000000,5421400000,5968700000,5019100000,4431900000,7582600000,7662200000,- -,- -
46,Other Assets,58589200000,61432200000,46509000000,29920100000,30755500000,31557300000,32717300000,33514800000,28769700000,29820800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29818900000,36204400000
47,Total Assets,58589200000,61432200000,46509000000,29920100000,30755500000,31557300000,32717300000,33514800000,28769700000,30343800000,7788900000,6679700000,5885400000,7342000000,6032400000,6400700000,5497100000,5009900000,8176600000,8242200000,35339900000,36204400000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,590300000,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,1037400000,- -,- -,- -,- -,- -,100000000,100000000,100000000,100000000,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,25803000000,26094000000,26186000000,27003000000,28085000000,25822000000,24736600000,26575000000,27442000000,28078000000,25465700000,22896000000,22751000000,23165200000,24190800000,23989100000,25168000000,1136000000,- -
53,Total Current Liabilities,- -,- -,- -,25803000000,26094000000,26186000000,27003000000,28085000000,25822000000,25774000000,26575000000,27442000000,28078000000,26056000000,22896000000,22851000000,23265200000,24290800000,24089100000,25168000000,1136000000,- -
54,Long-Term Debt,- -,- -,669700000,1687300000,1192800000,1166600000,1419100000,2106700000,2096200000,683900000,2589500000,3054300000,3422000000,3768700000,3599700000,4135600000,4223100000,3972000000,3979800000,3785900000,3930500000,4001000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,-387300000,-433800000,-314600000,-418100000,-912700000,-767200000,353100000,-1590500000,-2196300000,-2418000000,300000,300000,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,669700000,1300000000,759000000,852000000,1001000000,1194000000,1329000000,1037000000,999000000,858000000,1004000000,3769000000,3600000000,4135600000,4223100000,3972000000,3979800000,3785900000,3930500000,4001000000
59,Other Liabilities,54214800000,56679200000,49229100000,- -,1518300000,- -,2002200000,- -,- -,2074400000,1998300000,1716100000,2008100000,7538400000,- -,- -,- -,- -,- -,- -,32650200000,34945700000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,54214800000,56679200000,48559400000,27102500000,26853300000,27037500000,28004200000,29278900000,27150500000,26811400000,27574300000,28300100000,29082100000,29825400000,26496000000,26986600000,27488300000,28262800000,28068900000,28953900000,29855700000,30944700000
62,Preferred Stock,- -,- -,501700000,887500000,667800000,667800000,667800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,3497000000,1000000,1500000,1500000,1500000,1900000,1900000,2500000,2500000,2400000,2200000,2200000,2000000,1800000,1700000,1700000,1600000,1500000,1300000,1200000
64,Retained Earnings,- -,- -,-6629700000,68500000,297800000,584700000,643200000,438700000,-688000000,-614600000,-339700000,42800000,-325000000,128400000,128500000,347100000,650700000,560400000,196600000,535700000,752300000,1127200000
65,Other Comprehensive Income/Loss,- -,- -,580600000,218700000,337300000,71700000,-72600000,-273300000,-1770700000,-264300000,238300000,625500000,1197400000,731800000,825300000,402800000,622400000,1212100000,177700000,1372500000,2186100000,1947100000
66,Other Total Stockholders Equity,4374400000,4753000000,- -,1641900000,2597800000,3194100000,3473200000,4068600000,4076000000,4408800000,4424200000,4361900000,4174700000,4092800000,3732400000,3386800000,3212100000,3073300000,2995000000,2767300000,2544500000,- -
