,https://roic.ai/company/ARCH,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,196700000,214600000,284300000,366500000,387700000,521800000,493100000,555500000,568500000,545500000,965800000,1417700000,1529800000,1330637000,1400022000,1504862000,1437860000,1729122000,2430916000,2163764000,2184027000,2523417000,2438641000,2862284000,3817643000,4052412000,3215885000,3066223000,2695260000,2052898000,2106302000,2163531000,2081955000,1580069000,1819079000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11854000,7622000,2449000,3309000,5478000,6603000,7758000,4430000,3140000,2649000,6782000,9691000,3808000,628000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76139000,105932000,142549000,279676000,317626000,381267000,390946000,397979000,147129000,26905000,20471000,16485000,14432000,23972000
14,Depreciation and Amortization,10400000,12500000,23600000,29400000,37200000,67000000,71200000,71800000,70900000,70200000,143600000,204300000,235700000,201512000,177504000,174752000,158464000,166322000,212301000,208354000,242062000,- -,331354000,399671000,501429000,- -,- -,- -,- -,- -,- -,- -,- -,121552000,120327000
15,EBITDA,37200000,54200000,54100000,60500000,84500000,104400000,33300000,104600000,117700000,84500000,168400000,229200000,-176300000,184776000,180013000,153190000,151940000,279898000,215774000,476935000,397141000,472243000,462680000,718791000,915199000,-700046000,-596063000,-141773000,-2888543000,1419189000,230100000,280572000,250532000,-208638000,483746000
16,EBITDA ratio,0.1692,0.2136,0.1710,0.1485,0.1903,0.1801,0.0668,0.1714,0.1851,0.1464,0.1627,0.1529,-0.1133,0.1328,0.1231,0.0999,0.1058,0.1468,0.0860,0.1907,0.1645,0.1583,0.1796,0.2256,0.2135,-0.1683,-0.1977,-0.0483,-1.1225,0.7188,0.0990,0.1144,0.1092,-0.1422,0.2191
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,460389000,123714000,323984000,413576000,-681588000,-663141000,-149531000,-2865063000,-211020000,232396000,279138000,242870000,-330140000,367130000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1543,0.0480,0.1017,0.0965,-0.1639,-0.2200,-0.0509,-1.1134,-0.1069,0.1000,0.1139,0.1059,-0.2250,0.1663
19,Total Other Income Expenses (Gains),3600000,2500000,-1600000,-9800000,-9000000,-20500000,-24300000,-21800000,-20700000,-17400000,-44200000,-54700000,-442300000,-77883000,-59947000,-50839000,-498000,-64470000,-74384000,-68086000,-74538000,-64285000,-98310000,-146876000,-278325000,-335816000,-417585000,-383188000,-421459000,1483080000,-29201000,-19037000,-8823000,-14482000,-27683000
20,Income Before Tax,26800000,41700000,30500000,31100000,47300000,37400000,-19100000,32800000,46800000,14300000,24800000,26400000,-415800000,-16736000,2509000,-21562000,-2870000,113576000,3473000,268581000,155079000,396104000,25404000,177108000,135251000,-1017404000,-1080726000,-532719000,-3286522000,1272060000,203195000,260101000,234047000,-344622000,339447000
21,Income Before Tax Ratio,0.1219,0.1643,0.0964,0.0763,0.1065,0.0645,-0.0383,0.0538,0.0736,0.0248,0.0240,0.0176,-0.2672,-0.0120,0.0017,-0.0141,-0.0020,0.0596,0.0014,0.1074,0.0643,0.1328,0.0099,0.0556,0.0316,-0.2446,-0.3585,-0.1814,-1.2772,0.6443,0.0874,0.1061,0.1020,-0.2348,0.1537
22,Income Tax expense (Gain),8300000,10700000,6300000,4700000,8700000,1700000,-64500000,600000,5400000,-2200000,-5500000,-5100000,-65700000,-4000000,-4700000,-19000000,-23210000,-130000,-34650000,7650000,-19850000,41774000,-16775000,17714000,-7589000,-333717000,-335498000,25634000,-373380000,-3470000,-35255000,-52476000,248000,-7000,1874000
23,Net Income,18500000,31000000,24200000,26400000,38600000,35700000,26600000,32200000,41400000,16500000,30300000,30000000,-346300000,-12736000,7209000,-2562000,16686000,113706000,38123000,260931000,174929000,354330000,42169000,158857000,141683000,-683955000,-641832000,-558353000,-2913142000,1275530000,238450000,312577000,233799000,-344615000,337573000
24,Net Income ratio,0.0841,0.1221,0.0765,0.0648,0.0869,0.0616,0.0534,0.0528,0.0651,0.0286,0.0293,0.0200,-0.2225,-0.0092,0.0049,-0.0017,0.0116,0.0596,0.0152,0.1044,0.0725,0.1188,0.0164,0.0499,0.0331,-0.1645,-0.2129,-0.1901,-1.1321,0.6460,0.1026,0.1275,0.1019,-0.2348,0.1529
25,EPS,6.65,10.50,7.35,8.00,12.00,10.05,-9.30,8.40,-2.65,7.90,10.00,7.60,-90.20,-3.30,1.50,-0.50,1.90,19.10,3.50,18.30,12.30,24.70,2.80,9.80,7.50,-32.40,-30.30,-26.30,-136.86,59.66,10.05,15.90,14.42,-22.74,22.28
26,EPS Diluted,5.75,9.05,6.80,7.45,11.10,9.40,-9.30,8.40,-2.65,7.90,10.00,7.60,-90.20,-3.30,1.50,-0.50,1.90,17.80,3.50,18.00,12.10,24.50,2.80,9.70,7.40,-32.40,-30.30,-26.30,-136.86,59.63,9.84,15.15,13.52,-22.74,22.28
27,Weighted Average Shares Outstanding,1153900,2952381,2307800,3000000,3000000,3313433,3450980,3523810,3484277,2703600,7931600,3947368,3839246,3859394,4806000,5124000,5314211,5576911,6441143,14237869,14251800,14360400,15096300,16239800,19008600,21138100,21209800,21222100,21285000,25002000,23725000,19663000,16218000,15153000,15153000
28,Weighted Average Shares Outstanding Diluted,1153900,2952381,2307800,3000000,3000000,3495935,3450980,3523810,3484277,2703600,7931600,3947368,3839246,3859394,4806000,5274000,5314211,5984213,6441143,14475167,14401900,14441600,15127200,16321000,19090500,21138100,21209800,21222100,21285000,25002000,24240000,20629000,17298000,15153000,15153000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1037676/000103767698000014/0001037676-98-000014-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1037676/000095013403003881/0000950134-03-003881-index.html,https://www.sec.gov/Archives/edgar/data/1037676/000095013704001558/0000950137-04-001558-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000095013705002871/0000950137-05-002871-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000095013706002989/0000950137-06-002989-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000095013707003097/0000950137-07-003097-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000095013708003067/0000950137-08-003067-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000095015209001922/0000950152-09-001922-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000095012310019343/0000950123-10-019343-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000095012311020753/0000950123-11-020753-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000104746912001909/0001047469-12-001909-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000104746913002059/0001047469-13-002059-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000104746914001604/0001047469-14-001604-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000104746915001419/0001047469-15-001419-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000110465916105176/0001104659-16-105176-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000162828017001690/0001628280-17-001690-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000162828018002109/0001628280-18-002109-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000162828019001406/0001628280-19-001406-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000162828020001344/0001628280-20-001344-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000155837021000957/0001558370-21-000957-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000155837022001243/0001558370-22-001243-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,37100000,18200000,600000,1000000,8200000,37600000,600000,1100000,1800000,800000,9200000,27400000,3300000,6028000,6890000,9557000,254541000,323167000,260501000,2523000,5080000,70649000,61138000,93593000,138149000,784622000,911099000,734231000,450781000,305372000,273387000,264937000,153020000,187492000,325194000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,234305000,248414000,248954000,200192000,88072000,155846000,162797000,135667000,96765000,14463000
33,Cash and Short-Term Investments,37100000,18200000,600000,1000000,8200000,37600000,600000,1100000,1800000,800000,9200000,27400000,3300000,6028000,6890000,9557000,254541000,323167000,260501000,2523000,5080000,70649000,61138000,93593000,138149000,1018927000,1159513000,983185000,650973000,393444000,429233000,427734000,288687000,284257000,339657000
34,Net Receivables,27100000,35000000,36800000,41800000,48500000,75200000,50000000,71500000,83300000,63000000,147900000,227500000,188500000,180267000,182259000,166830000,148273000,215309000,219604000,260773000,249689000,258472000,231370000,252320000,469179000,332080000,229573000,232017000,135767000,204360000,202375000,249830000,189268000,113922000,332575000
35,Inventory,6900000,10100000,9600000,24200000,20400000,24500000,22300000,30200000,26000000,41400000,50400000,68500000,62400000,47930000,60133000,66799000,69907000,119893000,130720000,129826000,177785000,191568000,240776000,235616000,377490000,365424000,264161000,190253000,196720000,113462000,128960000,125470000,130898000,126008000,156734000
36,Other Current Assets,2000000,3300000,12400000,8000000,4100000,74100000,22000000,22800000,23500000,21900000,35700000,29900000,31800000,43665000,40174000,48527000,40924000,72488000,118739000,94155000,88591000,185689000,153498000,153385000,197956000,197673000,128824000,137296000,220322000,167356000,70426000,75749000,97894000,63953000,53905000
37,Total Current Assets,73100000,66600000,59400000,75000000,81200000,211400000,94900000,125600000,134600000,127100000,243200000,353300000,286000000,277890000,289456000,291713000,513645000,730857000,729564000,487277000,521145000,706378000,686782000,734914000,1182774000,1914104000,1782071000,1542751000,1203782000,878622000,830994000,878783000,706747000,588140000,882871000
38,PP&E,113600000,117900000,139500000,288400000,357000000,636500000,611200000,593400000,585700000,574900000,1149900000,1936700000,1479200000,1430053000,1396786000,1284968000,1315135000,2033200000,1829626000,2243068000,2463638000,2703083000,3366186000,3308892000,7949150000,7337098000,6734286000,6453458000,3619029000,1053603000,955948000,834828000,984509000,1007303000,1120043000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40032000,40032000,46832000,113701000,114963000,596103000,265423000,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37381000,40032000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37381000,40032000,40032000,40032000,46832000,113701000,114963000,596103000,265423000,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,87761000,87268000,177451000,225605000,242215000,221456000,235842000,201877000,96074000,106107000,104676000,105588000,71783000,15403000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,195411000,221116000,246024000,241226000,223856000,263759000,296559000,294682000,354869000,361556000,- -,- -,- -,- -,- -,- -,22520000,170000,82000,- -,- -
44,Other Non-Current Assets,71400000,69300000,122300000,115300000,108600000,145400000,129900000,119400000,115100000,103100000,263200000,628200000,567200000,524671000,321906000,385011000,312845000,213871000,228362000,286678000,273225000,140228000,231790000,182993000,260327000,247937000,252380000,197672000,82050000,108298000,64063000,68603000,70830000,55246000,98843000
45,Total Non-Current Assets,185000000,187200000,261800000,403700000,465600000,781900000,741100000,712800000,700800000,678000000,1413100000,2564900000,2046400000,1954724000,1914103000,1891095000,1874004000,2525678000,2321876000,2833537000,3073454000,3272586000,4153814000,4145855000,9031185000,8092673000,7208122000,6886972000,3902956000,1257975000,1148638000,1008277000,1161009000,1134332000,1234289000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,258100000,253800000,321200000,478700000,546800000,993300000,836000000,838400000,835400000,805100000,1656300000,2918200000,2332400000,2232614000,2203559000,2182808000,2387649000,3256535000,3051440000,3320814000,3594599000,3978964000,4840596000,4880769000,10213959000,10006777000,8990193000,8429723000,5106738000,2136597000,1979632000,1887060000,1867756000,1722472000,2117160000
48,Accounts Payable,- -,- -,16400000,28400000,31500000,34600000,27300000,36000000,30600000,37500000,84700000,129500000,109400000,103014000,99081000,113527000,89975000,148014000,256883000,198875000,150026000,186322000,128402000,198216000,383782000,224418000,176142000,180113000,128131000,95953000,134137000,128024000,133060000,103743000,131986000
49,Short-Term Debt,200000,200000,600000,800000,- -,105000000,37300000,44000000,42000000,41000000,29500000,61000000,86000000,60129000,6500000,7100000,6349000,9824000,10649000,51185000,217614000,213465000,267464000,70997000,280851000,32896000,33493000,36885000,5107210000,11038000,15783000,17797000,20753000,31097000,223050000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,133331000,121029000,114664000,114598000,104755000,92733000,77017000,75017000,69061000,56232000,61582000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,24000000,26000000,16900000,22700000,26800000,34300000,28000000,33600000,37300000,31400000,88100000,142700000,145500000,152303000,134062000,133287000,180314000,217216000,245656000,190746000,188875000,259960000,235861000,258133000,356035000,319755000,278587000,302396000,329450000,205240000,184161000,183514000,157167000,155256000,167304000
53,Total Current Liabilities,24200000,26200000,33900000,51900000,58300000,173900000,92600000,113600000,109900000,109900000,202300000,333200000,340900000,315446000,239643000,253914000,276638000,375054000,513188000,440806000,556515000,659747000,631727000,527346000,1020668000,577069000,488222000,519394000,5564791000,312231000,334081000,329335000,310980000,290096000,522340000
54,Long-Term Debt,500000,300000,25300000,148400000,181100000,318000000,244300000,200000000,173000000,135300000,248400000,1309100000,1095000000,1102014000,767355000,740242000,700022000,1001323000,971755000,1122595000,1085579000,1098948000,1540223000,1873001000,4209081000,5085879000,5118002000,5123485000,30953000,351841000,310134000,300186000,290066000,477215000,337623000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,39200000,43900000,56000000,52200000,45900000,121700000,42600000,32400000,25200000,17900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,976753000,664182000,413546000,422809000,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,22800000,84500000,25100000,25400000,28200000,57400000,113100000,123500000,129400000,137700000,594100000,657700000,655200000,595280000,625819000,653789000,722954000,800332000,382256000,391819000,420819000,491536000,544578000,232471000,417883000,825080000,717174000,695881000,755283000,725948000,669552000,552718000,626174000,671600000,573331000
58,Total Non-Current Liabilities,62500000,128700000,106400000,226000000,255200000,497100000,400000000,355900000,327600000,290900000,842500000,1966800000,1750200000,1697294000,1393174000,1394031000,1422976000,1801655000,1354011000,1514414000,1506398000,1590484000,2084801000,2105472000,5603717000,6575141000,6248722000,6242175000,786236000,1077789000,979686000,852904000,916240000,1148815000,910954000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,86700000,154900000,140300000,277900000,313500000,671000000,492600000,469500000,437500000,400800000,1044800000,2300000000,2091100000,2012740000,1632817000,1647945000,1699614000,2176709000,1867199000,1955220000,2062913000,2250231000,2716528000,2632818000,6624385000,7152210000,6736944000,6761569000,6351027000,1390020000,1313767000,1182239000,1227220000,1438911000,1433294000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29000,2000,2000,1000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,397000,527000,527000,565000,631000,719000,1426000,1436000,1447000,1643000,1645000,2136000,2141000,2141000,2141000,2145000,250000,250000,250000,252000,253000,255000
64,Retained Earnings,24400000,56200000,74800000,93600000,123900000,150700000,168400000,192300000,224600000,232100000,138700000,150400000,-213500000,-234980000,-239336000,-253943000,-255936000,-166273000,-164181000,38147000,173186000,478734000,465934000,561418000,622353000,-104042000,-771349000,-1331825000,-4244967000,33449000,247232000,527666000,731425000,378906000,712478000
65,Other Comprehensive Income/Loss,-71800000,-74600000,-90400000,-108600000,-137300000,-170100000,-217900000,-264700000,-320100000,-342600000,-696300000,-732000000,-826200000,-787525000,-884090000,-42437000,-40023000,-30027000,-18579000,-19169000,-1632000,-79096000,-19853000,-6417000,-7950000,-16507000,37692000,3241000,-1815000,24454000,20367000,43296000,5689000,-35701000,14158000
66,Other Total Stockholders Equity,218800000,117300000,196500000,215800000,246700000,341700000,392900000,441300000,493400000,514800000,1169100000,1199800000,1280600000,1241982000,1693641000,830716000,983429000,1275466000,1366280000,1345188000,1358695000,1327648000,1667382000,1680861000,2961501000,2972975000,2984765000,2994597000,3000348000,688424000,398016000,133609000,-96830000,-59897000,-43025000
67,Total Stockholders Equity,171400000,98900000,180900000,200800000,233300000,322300000,343400000,368900000,397900000,404300000,611500000,618200000,241300000,219874000,570742000,534863000,688035000,1079826000,1184241000,1365594000,1531686000,1728733000,2115106000,2237507000,3578040000,2854567000,2253249000,1668154000,-1244289000,746577000,665865000,704821000,640536000,283561000,683866000
68,Total Liabilities And Stockholders Equity,258100000,253800000,321200000,478700000,546800000,993300000,836000000,838400000,835400000,805100000,1656300000,2918200000,2332400000,2232614000,2203559000,2182808000,2387649000,3256535000,3051440000,3320814000,3594599000,3978964000,4831634000,4870325000,10202425000,10006777000,8990193000,8429723000,5106738000,2136597000,1979632000,1887060000,1867756000,1722472000,2117160000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8962000,10444000,11534000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,258100000,253800000,321200000,478700000,546800000,993300000,836000000,838400000,835400000,805100000,1656300000,2918200000,2332400000,2232614000,2203559000,2182808000,2387649000,3256535000,3051440000,3320814000,3594599000,3978964000,4840596000,4880769000,10213959000,10006777000,8990193000,8429723000,5106738000,2136597000,1979632000,1887060000,1867756000,1722472000,2117160000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1037676/000103767698000014/0001037676-98-000014-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1037676/000095013403003881/0000950134-03-003881-index.html,https://www.sec.gov/Archives/edgar/data/1037676/000095013704001558/0000950137-04-001558-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000095013705002871/0000950137-05-002871-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000095013706002989/0000950137-06-002989-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000095013707003097/0000950137-07-003097-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000095013708003067/0000950137-08-003067-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000095015209001922/0000950152-09-001922-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000095012310019343/0000950123-10-019343-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000095012311020753/0000950123-11-020753-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000104746912001909/0001047469-12-001909-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000104746913002059/0001047469-13-002059-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000104746914001604/0001047469-14-001604-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000104746915001419/0001047469-15-001419-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000110465916105176/0001104659-16-105176-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000162828017001690/0001628280-17-001690-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000162828018002109/0001628280-18-002109-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000162828019001406/0001628280-19-001406-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000162828020001344/0001628280-20-001344-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000155837021000957/0001558370-21-000957-index.htm,https://www.sec.gov/Archives/edgar/data/1037676/000155837022001243/0001558370-22-001243-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,24200000,26400000,38600000,35700000,26600000,32200000,41400000,16500000,30300000,30000000,-346300000,-12736000,7209000,-2562000,16686000,113706000,38123000,260931000,174929000,354330000,42169000,158857000,141683000,-683955000,-641832000,-558353000,-2913142000,1275530000,238450000,312577000,233799000,-344615000,337573000
74,Depreciation and Amortization,- -,- -,23600000,29400000,37200000,67000000,71200000,71800000,70900000,70200000,143600000,204300000,235700000,201512000,177504000,174752000,158464000,166322000,212301000,208354000,242062000,- -,331354000,399671000,501429000,- -,- -,- -,- -,- -,- -,- -,- -,121552000,- -
75,Deferred Income Tax,- -,- -,-1500000,-3300000,-8000000,-11100000,-69200000,-11200000,-7500000,-6000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-336036000,-263099000,25152000,-367210000,-416000,-21965000,18701000,13501000,14430000,8000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12618000,13394000,11717000,10882000,11822000,11790000,9847000,5760000,3128000,10437000,17519000,21989000,17435000,20539000
77,Change in Working Capital,- -,- -,5400000,-200000,14600000,-35200000,9700000,12700000,-7500000,23700000,-20800000,-75000000,17344000,87369000,-12014000,199208000,118796000,-139427000,-169905000,-81841000,82001000,8424000,152513000,-45462000,1174929000,-43186000,-270492000,-5384366000,4927400000,-69478000,52535000,-153681000,-97723000,-88285000,-208988000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,2200000,-14300000,3800000,5200000,2200000,-7900000,4200000,-15400000,- -,6700000,5200000,14452000,-12203000,-6666000,- -,-12422000,-38368000,-39783000,-55471000,-13783000,-28518000,5160000,-50900000,9468000,44635000,41548000,-6534000,59310000,-19626000,3490000,-15251000,-9126000,-30726000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-46066000,- -
81,Other Working Capital,- -,- -,23100000,22900000,37500000,2300000,12000000,24700000,17200000,40900000,20100000,-54900000,-37556000,49813000,37799000,237007000,355803000,216376000,46471000,-35370000,46631000,55055000,207568000,162106000,1337035000,1293849000,1023357000,-4361009000,566391000,496913000,549448000,395767000,298044000,209759000,-10859000
