,https://roic.ai/company/TKR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44934000,41883000,38200000,36800000,31100000,24400000,28700000,33400000,33500000,37100000,51700000,72100000,67600000,58800000
14,Depreciation and Amortization,77700000,87600000,84600000,88800000,91100000,101300000,109300000,114400000,118400000,119300000,123400000,126500000,134400000,139800000,149900000,151047000,152467000,146535000,208851000,209431000,218059000,196592000,218353000,230994000,201486000,189700000,192500000,198000000,194600000,137000000,130800000,131700000,137700000,146000000,160600000,167100000,167800000
15,EBITDA,43100000,-56300000,107400000,200700000,187500000,200100000,67300000,127900000,-156900000,230700000,303600000,351700000,401000000,325100000,248900000,221644000,125584000,219351000,269653000,409210000,608605000,496914000,501275000,701524000,81215000,638700000,923800000,994700000,635800000,391200000,-28200000,387000000,435800000,603100000,692500000,629700000,690800000
16,EBITDA ratio,0.0395,-0.0532,0.0873,0.1291,0.1223,0.1176,0.0409,0.0779,-0.0918,0.1195,0.1361,0.1469,0.1532,0.1213,0.0998,0.0839,0.0513,0.0860,0.0712,0.0907,0.1178,0.0999,0.0957,0.1239,0.0259,0.1575,0.1787,0.1995,0.1465,0.1272,-0.0098,0.1450,0.1451,0.1684,0.1827,0.1792,0.1671
17,Operating Income,-26000000,-36500000,48300000,140200000,125100000,130400000,39800000,49000000,68500000,138600000,210200000,257300000,289400000,224900000,132700000,105620000,-17652000,78568000,98247000,237228000,371036000,219350000,317645000,452107000,-54111000,436200000,729100000,692900000,436000000,208400000,-151400000,195000000,284700000,454500000,516400000,454900000,513100000
18,Operating Income ratio,-0.0238,-0.0345,0.0393,0.0902,0.0816,0.0767,0.0242,0.0298,0.0401,0.0718,0.0942,0.1074,0.1106,0.0839,0.0532,0.0400,-0.0072,0.0308,0.0259,0.0526,0.0718,0.0441,0.0607,0.0798,-0.0172,0.1076,0.1410,0.1389,0.1004,0.0677,-0.0527,0.0730,0.0948,0.1269,0.1363,0.1295,0.1242
19,Total Other Income Expenses (Gains),-8600000,-107400000,-25500000,-28300000,-28700000,-31600000,-81800000,-35500000,-89500000,-27200000,-30000000,-32100000,-22800000,-39600000,-33700000,-35023000,-9231000,6950000,-37445000,-37449000,19510000,34884000,-35388000,-26511000,-40119000,-30700000,-32300000,73100000,-18900000,-4400000,-38200000,27100000,-24800000,-46400000,-44000000,-58900000,-36500000
20,Income Before Tax,-34600000,-143900000,22800000,111900000,96400000,98800000,-42000000,13500000,-21000000,111400000,180200000,225200000,266600000,185300000,99000000,70597000,-26883000,85518000,60802000,199779000,390546000,254234000,282257000,425596000,-94230000,405500000,696800000,766000000,417100000,204000000,-189600000,222100000,259900000,408100000,472400000,396000000,476600000
21,Income Before Tax Ratio,-0.0317,-0.1360,0.0185,0.0720,0.0629,0.0581,-0.0255,0.0082,-0.0123,0.0577,0.0808,0.0940,0.1018,0.0691,0.0397,0.0267,-0.0110,0.0335,0.0161,0.0443,0.0756,0.0511,0.0539,0.0751,-0.0300,0.1000,0.1348,0.1536,0.0961,0.0663,-0.0660,0.0832,0.0865,0.1140,0.1246,0.1127,0.1153
22,Income Tax expense (Gain),-27600000,-61200000,12500000,46000000,41100000,43600000,-6300000,9000000,-3300000,42900000,67800000,86300000,95200000,70800000,36400000,24709000,14783000,34067000,24321000,64123000,130265000,77795000,62868000,157926000,-28193000,136000000,240200000,270100000,154100000,54700000,-121600000,69200000,57600000,102600000,97700000,103000000,95100000
23,Net Income,-7000000,-82700000,10300000,65900000,55300000,55200000,-35700000,4500000,-272000000,68500000,112400000,138900000,171400000,114500000,62600000,45888000,-41666000,38749000,36481000,135656000,260281000,222527000,220054000,267670000,-133961000,274800000,454300000,495500000,262700000,170800000,-70800000,152600000,203400000,302800000,362100000,292000000,369100000
24,Net Income ratio,-0.0064,-0.0782,0.0084,0.0424,0.0361,0.0325,-0.0217,0.0027,-0.1592,0.0355,0.0504,0.0580,0.0655,0.0427,0.0251,0.0174,-0.0170,0.0152,0.0096,0.0301,0.0504,0.0447,0.0420,0.0473,-0.0426,0.0678,0.0879,0.0994,0.0605,0.0555,-0.0246,0.0572,0.0677,0.0846,0.0955,0.0831,0.0893
25,EPS,-0.15,-1.68,0.20,1.17,0.94,0.93,-0.61,0.08,-4.44,1.10,1.80,2.21,2.73,1.84,1.01,0.76,-0.69,0.63,0.44,1.51,2.84,2.38,2.33,2.80,-1.39,2.83,4.65,5.11,2.76,1.84,-0.84,1.94,2.62,3.93,4.78,3.78,4.90
26,EPS Diluted,-0.15,-1.68,0.20,1.17,0.94,0.93,-0.61,0.08,-4.44,1.10,1.80,2.21,2.69,1.82,1.01,0.76,-0.69,0.62,0.44,1.49,2.81,2.36,2.30,2.78,-1.39,2.81,4.59,5.07,2.74,1.82,-0.84,1.92,2.58,3.86,4.71,3.72,4.83
27,Weighted Average Shares Outstanding,46666667,49226190,51500000,56324786,58829787,59354839,58524590,56250000,61261261,61899250,62444444,62776132,62783883,62228261,61980198,60378947,60385507,61506349,82911364,89838411,91648239,93498739,94443777,95650104,96135783,96535273,97451064,96671613,94989561,90367346,84631778,78516029,77736398,77119602,75758123,75354280,75354280
28,Weighted Average Shares Outstanding Diluted,46666667,49226190,51500000,56324786,58829787,59354839,58524590,56250000,61261261,61899250,62444444,62776132,63717472,62912088,61980198,60378947,60385507,62498387,82911364,91044295,92626690,94291102,95675652,96272763,96135783,97516202,98655513,97602481,95823728,91217142,84631778,79234324,78911149,78337481,76896565,76401366,76401366
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/98362/000009836295000012/0000098362-95-000012-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/98362/000095015207001621/l24292ae10vk.htm,https://www.sec.gov/Archives/edgar/data/98362/000095015208001527/l30237ae10vk.htm,https://www.sec.gov/Archives/edgar/data/98362/000095015209001781/0000950152-09-001781-index.html,https://www.sec.gov/Archives/edgar/data/98362/000095012310017047/0000950123-10-017047-index.html,https://www.sec.gov/Archives/edgar/data/98362/000095012311016536/0000950123-11-016536-index.html,https://www.sec.gov/Archives/edgar/data/98362/000119312512066958/0001193125-12-066958-index.html,https://www.sec.gov/Archives/edgar/data/98362/000009836213000057/0000098362-13-000057-index.html,https://www.sec.gov/Archives/edgar/data/98362/000009836214000045/tkr10k2013.htm,https://www.sec.gov/Archives/edgar/data/98362/000009836215000025/tkr10k123114.htm,https://www.sec.gov/Archives/edgar/data/98362/000009836216000097/0000098362-16-000097-index.html,https://www.sec.gov/Archives/edgar/data/98362/000009836217000031/0000098362-17-000031-index.html,https://www.sec.gov/Archives/edgar/data/98362/000009836218000033/0000098362-18-000033-index.html,- -,https://www.sec.gov/Archives/edgar/data/98362/000009836220000045/0000098362-20-000045-index.html,https://www.sec.gov/Archives/edgar/data/98362/000009836221000039/0000098362-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/98362/000009836222000022/0000098362-22-000022-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,12100000,7300000,5300000,9800000,300000,7900000,10927000,33392000,82050000,28626000,50967000,65417000,101072000,30144000,116306000,755545000,877100000,464800000,586400000,384600000,278800000,129600000,148800000,121600000,132500000,209500000,320000000,257100000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,12100000,7300000,5300000,9800000,300000,7900000,10927000,33392000,82050000,28626000,50967000,65417000,101072000,30144000,116306000,755545000,877100000,464800000,586400000,384600000,278800000,129600000,148800000,121600000,132500000,209500000,320000000,257100000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,263500000,284900000,313900000,357400000,350500000,339300000,354972000,307759000,361316000,602262000,717425000,711783000,673428000,748483000,609397000,411226000,516600000,645500000,546700000,566700000,475700000,454600000,438000000,524900000,663200000,674300000,581000000,730900000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,332300000,367900000,419500000,445900000,457200000,446600000,489549000,429231000,488923000,695946000,874833000,998368000,952310000,1087712000,1145695000,671236000,828500000,964400000,862100000,809900000,585500000,543200000,545800000,738900000,835700000,842000000,841000000,1042700000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,49300000,50200000,54900000,42100000,42300000,39700000,43094000,57998000,36003000,50271000,90066000,207741000,173470000,178912000,162067000,184553000,177000000,217600000,178900000,176300000,141900000,79000000,71400000,114700000,105800000,148800000,- -,182800000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,657200000,710300000,793600000,855200000,850300000,833500000,898542000,828380000,968292000,1377105000,1733291000,1983309000,1900280000,2045251000,2033465000,2022560000,2399200000,2292300000,2174100000,1937500000,1481900000,1206400000,1204000000,1500100000,1737200000,1874600000,1742000000,2213500000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,1030500000,1039400000,1094300000,1220500000,1349500000,1381500000,1363772000,1305345000,1226244000,1608594000,1582957000,1547044000,1601559000,1722081000,1743866000,1335228000,1267700000,1308900000,1405300000,1558100000,780500000,777800000,804400000,864200000,912100000,1103300000,1035000000,1174200000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,150041000,- -,- -,- -,- -,201899000,271784000,230049000,221734000,224400000,307200000,338900000,358700000,259500000,327300000,357500000,511800000,960500000,993700000,1047000000,1022700000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,91200000,102900000,125000000,139400000,150100000,153800000,239892000,136118000,258985000,371092000,368143000,388753000,104070000,160452000,173704000,132088000,129200000,261600000,224700000,219100000,239800000,271300000,271000000,420600000,733200000,758500000,741000000,668800000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,91200000,102900000,125000000,139400000,150100000,153800000,239892000,286159000,258985000,371092000,368143000,388753000,305969000,432236000,403753000,353822000,353600000,568800000,563600000,577800000,499300000,598600000,628500000,932400000,1693700000,1752200000,1788000000,1691500000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27164000,169051000,148802000,76834000,5834000,169417000,100872000,314960000,248551000,121500000,141900000,62500000,10100000,- -,65900000,54400000,61000000,59000000,71800000,- -,67600000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,79800000,73300000,58400000,111500000,100100000,72500000,61899000,86036000,125784000,184196000,177275000,68794000,54308000,78797000,40006000,46732000,38400000,40200000,39200000,394400000,239700000,136600000,67000000,44700000,43200000,58000000,- -,23900000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1201500000,1215600000,1277700000,1471400000,1599700000,1607800000,1665563000,1704704000,1780064000,2312684000,2205209000,2010425000,2131253000,2333986000,2502585000,1984333000,1781200000,2059800000,2070600000,2540400000,1519500000,1578900000,1554300000,1902300000,2708000000,2985300000,2823000000,2957200000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1858700000,1925900000,2071300000,2326600000,2450000000,2441300000,2564105000,2533084000,2748356000,3689789000,3938500000,3993734000,4031533000,4379237000,4536050000,4006893000,4180400000,4352100000,4244700000,4477900000,3001400000,2785300000,2758300000,3402400000,4445200000,4859900000,4565000000,5170700000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,216600000,229100000,237000000,284900000,221800000,236600000,26974000,258001000,296543000,425157000,520259000,500939000,506301000,528052000,443430000,355228000,263500000,287300000,216200000,222500000,143900000,159700000,176200000,265200000,273200000,301700000,351000000,430000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,128600000,59800000,106500000,156600000,144300000,122500000,182449000,128864000,111134000,121194000,158690000,159279000,50453000,142568000,108590000,43380000,32000000,36300000,23900000,269300000,8000000,77100000,24200000,108100000,43000000,110300000,157900000,80000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22467000,- -,14000000,70200000,33500000,107100000,80200000,13100000,16900000,9800000,23500000,17800000,16100000,42200000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,77000000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,133400000,173500000,184400000,138100000,124300000,198600000,378029000,254291000,226393000,508205000,362378000,414257000,278815000,233802000,246293000,141825000,424400000,521000000,427800000,488300000,381900000,268500000,252300000,298400000,369400000,324600000,262100000,386600000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,478600000,462400000,527900000,579600000,490400000,557700000,587452000,641156000,634070000,1054556000,1041327000,1074475000,835569000,904422000,798313000,540433000,719900000,844600000,667900000,980100000,533800000,505300000,452700000,671700000,685600000,736600000,848000000,896600000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,150900000,151200000,165800000,202800000,325100000,327300000,305181000,368151000,350085000,613446000,620634000,561747000,547390000,580587000,515250000,469287000,481700000,478800000,455100000,206600000,522100000,580600000,635000000,854200000,1638600000,1648100000,10000000,1488700000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6100000,11742000,- -,- -,- -,- -,42891000,6659000,10635000,10388000,6091000,6000000,7500000,4900000,166900000,4100000,3600000,3900000,44000000,138000000,168200000,- -,121400000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,496300000,491100000,455400000,512100000,578400000,504200000,655048000,742042000,1155115000,932160000,1006691000,817554000,1165735000,922924000,1571802000,1395514000,1031000000,978700000,870200000,475700000,352300000,351200000,360700000,357600000,340300000,352200000,1958000000,286300000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,647200000,642300000,621200000,714900000,903500000,837600000,971971000,1110193000,1505200000,1545606000,1627325000,1422192000,1719784000,1514146000,2097440000,1870892000,1518700000,1465000000,1330200000,849200000,878500000,935400000,999600000,1255800000,2116900000,2168500000,1968000000,1896400000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4009000000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,99600000,102700000,103800000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1125800000,1104700000,1149100000,1294500000,1393900000,1395300000,1559423000,1751349000,2139270000,2600162000,2668652000,2496667000,2555353000,2418568000,2895753000,2411325000,2238600000,2309600000,1998100000,1829300000,1412300000,1440700000,1452300000,1927500000,2802500000,2905100000,2889000000,2793000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53100000,53064000,53064000,53064000,53064000,53064000,53064000,53064000,53064000,- -,- -,- -,- -,53100000,53100000,53100000,53100000,53100000,53100000,53100000,53100000,- -,40700000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,440100000,517800000,619100000,749000000,818800000,836900000,839242000,757410000,-465677000,758849000,847738000,1052871000,1217167000,1379876000,1580084000,1402855000,1626400000,2004700000,2411200000,2586400000,1615400000,1457600000,1528600000,1408400000,1630200000,1907400000,1339000000,1616400000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1199600000,-1298100000,-1388900000,-1457300000,-1439600000,-1531300000,-1610607000,-1666448000,764446000,-358382000,-289486000,-323449000,-544562000,-271251000,-819580000,-717113000,-624700000,-889500000,-1013200000,-626100000,-482500000,-287000000,-322000000,-38300000,-95300000,-50100000,41300000,-23000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1492400000,1601500000,1692000000,1740400000,1676900000,1687300000,1722983000,1637709000,257253000,636096000,658532000,714581000,750511000,798980000,879793000,891842000,923300000,913100000,781100000,623200000,390200000,100800000,15200000,19500000,-8400000,-42200000,771700000,660800000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,732900000,821200000,922200000,1032100000,1056100000,1046000000,1004682000,781735000,609086000,1089627000,1269848000,1497067000,1476180000,1960669000,1640297000,1577584000,1925000000,2028300000,2232200000,2636600000,1576200000,1324500000,1274900000,1442700000,1579600000,1868200000,2152900000,2294900000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1858700000,1925900000,2071300000,2326600000,2450000000,2441300000,2564105000,2533084000,2748356000,3689789000,3938500000,3993734000,4031533000,4379237000,4536050000,3988909000,4163600000,4337900000,4230300000,4465900000,2988500000,2765200000,2727200000,3370200000,4382100000,4773300000,5041900000,5087900000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17984000,16800000,14200000,14400000,12000000,12900000,20100000,31100000,32200000,63100000,86600000,-476900000,82800000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1858700000,1925900000,2071300000,2326600000,2450000000,2441300000,2564105000,2533084000,2748356000,3689789000,3938500000,3993734000,4031533000,4379237000,4536050000,4006893000,4180400000,4352100000,4244700000,4477900000,3001400000,2785300000,2758300000,3402400000,4445200000,4859900000,4565000000,5170700000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/98362/000009836295000012/0000098362-95-000012-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/98362/000095015207001621/l24292ae10vk.htm,https://www.sec.gov/Archives/edgar/data/98362/000095015208001527/l30237ae10vk.htm,https://www.sec.gov/Archives/edgar/data/98362/000095015209001781/0000950152-09-001781-index.html,https://www.sec.gov/Archives/edgar/data/98362/000095012310017047/0000950123-10-017047-index.html,https://www.sec.gov/Archives/edgar/data/98362/000095012311016536/0000950123-11-016536-index.html,https://www.sec.gov/Archives/edgar/data/98362/000119312512066958/0001193125-12-066958-index.html,https://www.sec.gov/Archives/edgar/data/98362/000009836213000057/0000098362-13-000057-index.html,https://www.sec.gov/Archives/edgar/data/98362/000009836214000045/tkr10k2013.htm,https://www.sec.gov/Archives/edgar/data/98362/000009836215000025/tkr10k123114.htm,https://www.sec.gov/Archives/edgar/data/98362/000009836216000097/0000098362-16-000097-index.html,https://www.sec.gov/Archives/edgar/data/98362/000009836217000031/0000098362-17-000031-index.html,https://www.sec.gov/Archives/edgar/data/98362/000009836218000033/0000098362-18-000033-index.html,- -,https://www.sec.gov/Archives/edgar/data/98362/000009836220000045/0000098362-20-000045-index.html,https://www.sec.gov/Archives/edgar/data/98362/000009836221000039/0000098362-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/98362/000009836222000022/0000098362-22-000022-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,55300000,55200000,-35700000,4500000,-272000000,68500000,112400000,138900000,171400000,114500000,62600000,45888000,-41666000,38749000,36481000,135656000,260281000,222527000,220054000,267670000,-133961000,274800000,454300000,495500000,262700000,170800000,-70800000,152600000,203400000,302800000,362100000,292000000,369100000
74,Depreciation and Amortization,- -,- -,- -,- -,91100000,101300000,109300000,114400000,118400000,119300000,123400000,126500000,134400000,139800000,149900000,151047000,152467000,146535000,208851000,209431000,218059000,196592000,218353000,230994000,201486000,189700000,192500000,198000000,194600000,137000000,130800000,131700000,137700000,146000000,160600000,167100000,167800000
75,Deferred Income Tax,- -,- -,- -,- -,23000000,-700000,-16200000,-2100000,-28700000,13900000,14400000,23200000,-1600000,6900000,20800000,10585000,23013000,17250000,4406000,62039000,78775000,-26395000,11401000,3626000,22761000,58800000,99800000,123100000,500000,-53300000,-170100000,-6300000,-400000,-21400000,-8900000,-23200000,-15100000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16800000,14928000,16900000,16900000,18000000,18600000,21800000,18400000,14100000,24700000,32300000,27100000,23200000,20200000
77,Change in Working Capital,- -,- -,- -,- -,-13500000,- -,- -,- -,178600000,- -,69300000,17800000,9900000,84300000,-84100000,35290000,-123866000,146998000,-11673000,369415000,216870000,155877000,76118000,94323000,246975000,197173000,-231600000,58500000,-548800000,-9300000,-247000000,50200000,77100000,223200000,86400000,-244000000,-140900000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,123784000,174481000,-104800000,-111600000,103000000,-13400000,-48300000,11900000,20300000,-42300000,-66400000,24100000,-20700000,-55800000
79,Inventory,- -,- -,- -,- -,9200000,4500000,43200000,-1700000,10700000,-35100000,-57800000,-25400000,-30100000,2500000,6600000,-52566000,51247000,-50611000,33229000,-130407000,-160287000,-6743000,-44186000,-98815000,356155000,-150000000,-125600000,102500000,62500000,-26800000,52800000,10100000,-132100000,-87100000,50700000,27400000,-215800000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32993000,-204700000,- -,14900000,-73200000,3500000,8000000,11600000,12200000,70700000,-20200000,19900000,22600000,76700000
