,https://roic.ai/company/EBF,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,1306000,830000,- -,- -,- -,- -,3363000,2627000,1234000,2285000,1528000,1268000,2025000,1358000,613000,777000,1154000,606000,11000
14,Depreciation and Amortization,2800000,3100000,3200000,3400000,3500000,3700000,4400000,4400000,4100000,3700000,4500000,4900000,6200000,5400000,5874000,9730000,10296000,9194000,9348000,11076000,18306000,17078000,14727000,12860000,11379000,10465000,11952000,13235000,14070000,16284000,17349000,12607000,14091000,16189000,18194000,18037000
15,EBITDA,23700000,26200000,29100000,32600000,36100000,36500000,37100000,37300000,35300000,35700000,34600000,26400000,22000000,27900000,29915000,31301000,34699000,34845000,39068000,48541000,82277000,83443000,84512000,3164000,69675000,81116000,63617000,53381000,47130000,-20824000,75279000,28616000,61924000,67277000,70051000,51335000
16,EBITDA ratio,0.2145,0.2341,0.2477,0.2543,0.2785,0.2892,0.2815,0.2885,0.2656,0.2548,0.2435,0.1718,0.1426,0.1849,0.1796,0.1366,0.1465,0.1447,0.1506,0.1329,0.1471,0.1427,0.1384,0.0054,0.1346,0.1475,0.1230,0.1001,0.0869,-0.0359,0.1323,0.0802,0.1673,0.1679,0.1598,0.1434
17,Operating Income,19900000,21300000,25800000,28500000,31100000,31400000,31700000,32000000,30700000,30700000,28500000,20200000,17800000,21400000,21929000,22490000,25988000,25713000,30027000,39598000,72030000,73358000,75780000,-10078000,58582000,70821000,51688000,40393000,33164000,-37716000,56296000,40525000,47301000,50087000,50838000,35901000
18,Operating Income ratio,0.1801,0.1903,0.2196,0.2223,0.2400,0.2488,0.2405,0.2475,0.2310,0.2191,0.2006,0.1314,0.1154,0.1418,0.1317,0.0981,0.1097,0.1068,0.1158,0.1084,0.1288,0.1255,0.1241,-0.0173,0.1131,0.1288,0.1000,0.0757,0.0611,-0.0650,0.0989,0.1136,0.1278,0.1250,0.1160,0.1003
19,Total Other Income Expenses (Gains),1000000,1800000,100000,700000,1500000,1400000,600000,300000,400000,1300000,1600000,1300000,-2000000,1100000,2112000,-919000,-1585000,-1368000,-1137000,-2133000,-8059000,-6993000,-5995000,-2981000,-2913000,-1404000,-2308000,-1775000,-1372000,-1417000,276000,-492000,-392000,-153000,413000,-2614000
20,Income Before Tax,20900000,23100000,25900000,29200000,32600000,32800000,32300000,32300000,31100000,32000000,30100000,21500000,15800000,22500000,24041000,21571000,24403000,24345000,28890000,37465000,63971000,66365000,69785000,-13059000,55669000,69417000,49380000,38618000,31792000,-39133000,56572000,40033000,46909000,49934000,51251000,33287000
21,Income Before Tax Ratio,0.1891,0.2064,0.2204,0.2278,0.2515,0.2599,0.2451,0.2498,0.2340,0.2284,0.2118,0.1399,0.1024,0.1491,0.1444,0.0941,0.1030,0.1011,0.1114,0.1025,0.1144,0.1135,0.1143,-0.0224,0.1075,0.1262,0.0955,0.0724,0.0586,-0.0674,0.0994,0.1122,0.1267,0.1246,0.1169,0.0930
22,Income Tax expense (Gain),9500000,10500000,10100000,10400000,11600000,11700000,11500000,11600000,11600000,12000000,11500000,8000000,5600000,8400000,8918000,8394000,9437000,9098000,10939000,14506000,23434000,24764000,25195000,19709000,20463000,24786000,18022000,13903000,18603000,5400000,20836000,13616000,14151000,12497000,12959000,9193000
23,Net Income,11400000,12600000,15800000,18800000,21000000,21100000,21200000,21300000,19500000,20000000,18600000,13500000,10200000,14100000,15123000,13177000,14966000,15247000,17951000,22959000,40537000,41601000,44590000,-32768000,35206000,44631000,31358000,24715000,13189000,-44533000,35736000,1780000,32905000,37437000,38292000,24094000
24,Net Income ratio,0.1032,0.1126,0.1345,0.1466,0.1620,0.1672,0.1608,0.1647,0.1467,0.1428,0.1309,0.0878,0.0661,0.0934,0.0908,0.0575,0.0632,0.0633,0.0692,0.0628,0.0725,0.0711,0.0730,-0.0561,0.0680,0.0811,0.0607,0.0463,0.0243,-0.0767,0.0628,0.0050,0.0889,0.0934,0.0873,0.0673
25,EPS,0.15,0.16,0.33,0.41,0.71,0.75,1.18,1.24,1.16,1.22,1.13,0.82,0.62,0.87,0.93,0.81,0.92,0.94,1.10,1.21,1.59,1.63,1.74,-1.27,1.37,1.73,1.21,0.95,0.50,-1.72,1.39,0.07,1.30,1.45,1.47,0.93
26,EPS Diluted,0.15,0.16,0.33,0.41,0.71,0.75,1.18,1.24,1.16,1.22,1.13,0.82,0.62,0.87,0.93,0.81,0.92,0.93,1.08,1.19,1.58,1.62,1.72,-1.27,1.36,1.72,1.21,0.95,0.50,-1.72,1.39,0.07,1.30,1.45,1.47,0.93
27,Weighted Average Shares Outstanding,22916000,22201000,20568000,19856000,19582000,18291000,17966102,17177419,16810345,16393443,16460177,16463415,16451613,16206897,16249861,16246545,16318718,16284575,16358107,18935533,25452582,25530732,25623325,25707265,25697810,25798266,25915702,26015789,26125348,25864352,25688273,25734667,25391998,25829804,26036393,25995127
28,Weighted Average Shares Outstanding Diluted,22916000,22201000,20568000,19856000,19582000,18291000,17966102,17177419,16810345,16516854,16470588,16463415,16486486,16500000,16267000,16246545,16318718,16478140,16601838,19259550,25728299,25758948,25860358,25790166,25886765,25948256,25915702,26015789,26146325,25864352,25722367,25749185,25417244,25842179,26036393,25995127
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/33002/000003300202000009/0000033002-02-000009-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/33002/000095013406009796/0000950134-06-009796-index.htm,https://www.sec.gov/Archives/edgar/data/33002/000095013407010922/0000950134-07-010922-index.htm,https://www.sec.gov/Archives/edgar/data/33002/000095013408009039/0000950134-08-009039-index.htm,https://www.sec.gov/Archives/edgar/data/33002/000095013409010267/0000950134-09-010267-index.htm,https://www.sec.gov/Archives/edgar/data/33002/000095012310047124/0000950123-10-047124-index.htm,https://www.sec.gov/Archives/edgar/data/33002/000095012311048069/0000950123-11-048069-index.htm,https://www.sec.gov/Archives/edgar/data/33002/000119312512227898/0001193125-12-227898-index.htm,https://www.sec.gov/Archives/edgar/data/33002/000119312513214067/0001193125-13-214067-index.htm,https://www.sec.gov/Archives/edgar/data/33002/000119312514192331/0001193125-14-192331-index.htm,https://www.sec.gov/Archives/edgar/data/33002/000119312515178878/0001193125-15-178878-index.htm,https://www.sec.gov/Archives/edgar/data/33002/000119312516587329/0001193125-16-587329-index.htm,https://www.sec.gov/Archives/edgar/data/33002/000119312517168434/0001193125-17-168434-index.htm,https://www.sec.gov/Archives/edgar/data/33002/000156459018013187/0001564590-18-013187-index.htm,https://www.sec.gov/Archives/edgar/data/33002/000156459019015928/0001564590-19-015928-index.htm,https://www.sec.gov/Archives/edgar/data/33002/000156459020020699/0001564590-20-020699-index.htm,https://www.sec.gov/Archives/edgar/data/33002/000156459021025391/0001564590-21-025391-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,21000000,25300000,19500000,16000000,7700000,24300000,25100000,22600000,21600000,10500000,38600000,18500000,22700000,20700000,2037000,8964000,16180000,13860000,15067000,10694000,13860000,3582000,3393000,9286000,21063000,12305000,10410000,6232000,5316000,15346000,10425000,80466000,96230000,88442000,68258000,75190000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1438000,980000,1802000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,21000000,25300000,19500000,16000000,7700000,24300000,25100000,22600000,21600000,10500000,38600000,18500000,22700000,20700000,3475000,9944000,17982000,13860000,15067000,10694000,13860000,3582000,3393000,9286000,21063000,12305000,10410000,6232000,5316000,15346000,10425000,80466000,96230000,88442000,68258000,75190000
34,Net Receivables,14900000,15100000,15400000,17900000,16700000,15500000,16100000,15700000,15100000,18300000,17000000,18600000,18000000,18700000,28073000,30321000,28969000,33044000,29892000,46685000,41686000,47285000,72278000,57467000,57249000,58359000,58790000,60071000,63695000,62865000,54871000,37368000,35654000,40357000,43086000,37891000
35,Inventory,11100000,12000000,12400000,11400000,28500000,8100000,7200000,7900000,8800000,10300000,8300000,10500000,8100000,8500000,9890000,13088000,12222000,13104000,13721000,79900000,89155000,85696000,98570000,101167000,75137000,100363000,132572000,109698000,130095000,119814000,100310000,27965000,26480000,35411000,34835000,32906000
36,Other Current Assets,1000000,1000000,1400000,1500000,2600000,3000000,2600000,2700000,3000000,20200000,3600000,5000000,4900000,4800000,1867000,4910000,3473000,5004000,4925000,11894000,13754000,14953000,11578000,14334000,12990000,11371000,17438000,17415000,15037000,18517000,13369000,3451000,4980000,1955000,3705000,2087000
37,Total Current Assets,48000000,53400000,48700000,46800000,55500000,50900000,51000000,48900000,48500000,59300000,67500000,52600000,53700000,52700000,43305000,58263000,62646000,65012000,63605000,149173000,158455000,151516000,185819000,182254000,166439000,182398000,219210000,193416000,214143000,216542000,178975000,149250000,163344000,166165000,149884000,148074000
38,PP&E,23900000,23000000,22100000,20500000,20400000,20200000,23700000,20500000,19200000,19500000,21900000,33600000,34900000,33900000,41728000,57781000,51343000,51264000,46480000,72019000,63803000,63057000,58988000,54672000,65720000,93661000,99516000,91913000,91565000,92875000,81334000,49995000,45908000,53134000,76470000,74571000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23615000,21951000,- -,- -,- -,178280000,178314000,178388000,117341000,117341000,117341000,121634000,121809000,115207000,64489000,64537000,70603000,70603000,81634000,82527000,88647000
40,Intangible Assets,1300000,1000000,800000,- -,- -,- -,4300000,4200000,4500000,4400000,3900000,5900000,4600000,5700000,8680000,- -,- -,34241000,34420000,263837000,83573000,83339000,88140000,81037000,78650000,76312000,86661000,83512000,111775000,76227000,66933000,53927000,49254000,61272000,56557000,52712000
41,Intangible Assets,1300000,1000000,800000,- -,- -,- -,4300000,4200000,4500000,4400000,3900000,5900000,4600000,5700000,8680000,23615000,21951000,34241000,34420000,263837000,261853000,261653000,266528000,198378000,195991000,193653000,208295000,205321000,226982000,140716000,131470000,124530000,119857000,142906000,139084000,141359000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1800000,2000000,2600000,6500000,3300000,2100000,2200000,2300000,2300000,1800000,400000,2900000,1300000,2000000,9221000,3195000,3094000,2020000,9538000,12217000,10290000,2002000,1796000,1076000,4549000,4016000,4941000,4642000,3657000,3129000,409000,510000,330000,880000,261000,384000
45,Total Non-Current Assets,27000000,26000000,25500000,27000000,23700000,22300000,30200000,27000000,26000000,25700000,26200000,42400000,40800000,41600000,59629000,84591000,76388000,87525000,90438000,348073000,335946000,326712000,327312000,254126000,266260000,291330000,312752000,301876000,322204000,236720000,213213000,175035000,166095000,196920000,215815000,216314000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,75000000,79400000,74200000,73800000,79200000,73200000,81200000,75900000,74500000,85000000,93700000,95000000,94500000,94300000,102934000,142854000,139034000,152537000,154043000,497246000,494401000,478228000,513131000,436380000,432699000,473728000,531962000,495292000,536347000,453262000,392188000,324285000,329439000,363085000,365699000,364388000
48,Accounts Payable,- -,- -,- -,- -,2300000,2500000,2100000,2200000,4300000,5000000,5100000,5200000,4800000,4100000,5380000,6067000,5568000,6644000,5804000,33887000,26589000,25597000,29658000,24723000,27463000,18868000,27924000,22256000,22062000,21275000,21788000,14202000,12168000,13728000,17235000,14759000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,100000,200000,200000,302000,4176000,9035000,7038000,6335000,21702000,11620000,652000,255000,210000,- -,586000,- -,- -,- -,- -,- -,- -,- -,- -,5665000,5338000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3520000,1730000,1564000,1145000,1036000,388000,554000,296000,583000,464000,1995000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,11500000,12600000,12600000,10100000,7800000,7700000,7500000,9900000,8200000,8000000,7900000,5000000,5400000,4100000,4843000,7665000,9363000,11612000,13261000,25794000,25752000,22998000,21913000,18947000,22338000,27644000,22317000,20783000,19815000,18972000,18612000,15766000,17403000,17895000,15069000,14955000
53,Total Current Liabilities,11500000,12600000,12600000,10100000,10100000,10200000,9600000,12100000,12500000,13000000,13100000,10300000,10400000,8400000,10525000,17908000,23966000,25294000,25400000,81383000,63961000,49247000,51826000,43880000,49801000,47098000,50241000,43039000,41877000,40247000,40400000,29968000,29571000,31623000,37969000,35052000
54,Long-Term Debt,8800000,7900000,6900000,5800000,4200000,3200000,2400000,500000,500000,400000,300000,200000,200000,- -,462000,23555000,9170000,18135000,7800000,112342000,102916000,88971000,90710000,76185000,41817000,50000000,90000000,57500000,105500000,106500000,40000000,30000000,30000000,30000000,- -,13567000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,4300000,4900000,5200000,4900000,4200000,4000000,2700000,2800000,2600000,2300000,2100000,2900000,2200000,2500000,- -,9851000,9863000,10075000,10261000,31790000,30189000,19603000,20775000,16250000,19821000,25379000,23029000,23184000,22904000,10248000,3569000,6953000,6189000,10898000,8749000,7677000
57,Other Non-Current Liabilities,100000,- -,-100000,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,-100000,3680000,- -,- -,2130000,- -,- -,- -,4004000,1341000,8059000,8000000,3568000,8817000,10353000,3131000,11587000,9673000,6009000,1975000,1437000,24652000,7543000
58,Total Non-Current Liabilities,13200000,12800000,12000000,10700000,8400000,7200000,5100000,3200000,3100000,2700000,2400000,3100000,2400000,2400000,4142000,33406000,19033000,30340000,18061000,144132000,133105000,112578000,112826000,100494000,69638000,78947000,121846000,91037000,131535000,128335000,53242000,42962000,38164000,42335000,33401000,28787000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19865000,18905000
61,Total Liabilities,24700000,25400000,24600000,20800000,18500000,17400000,14700000,15300000,15600000,15700000,15500000,13400000,12800000,10800000,14667000,51314000,42999000,55634000,43461000,225515000,197066000,161825000,164652000,144374000,119439000,126045000,172087000,134076000,173412000,168582000,93642000,72930000,67735000,73958000,71370000,63839000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53125000,53125000,53125000,53125000,53125000,75134000,75134000,75134000,75134000,75134000,75134000,75134000,75134000,75134000,75134000,75134000,75134000,75134000,75134000,75134000,75134000,75134000
64,Retained Earnings,39500000,40500000,51500000,63700000,65500000,77800000,74500000,86400000,96500000,107100000,115900000,119300000,119300000,122300000,125980000,127817000,132694000,137848000,145653000,156666000,181423000,207190000,235624000,186857000,206062000,234636000,249862000,251713000,251137000,188413000,206105000,150685000,164177000,179003000,193809000,194436000
65,Other Comprehensive Income/Loss,-24800000,-27100000,-29700000,-31600000,-34000000,-37400000,-41800000,-43700000,-46900000,-48400000,-49800000,-53900000,-55300000,-58300000,-62601000,-69594000,-77834000,-5225000,-114000,6000,460000,-7371000,-5521000,-14510000,-89914000,-8448000,-12785000,-14903000,-12413000,-22197000,-27285000,-15261000,-16428000,-16704000,-25206000,-20282000
66,Other Total Stockholders Equity,35600000,40600000,27800000,20900000,29200000,15400000,33800000,17900000,9300000,10600000,12100000,16200000,17700000,19500000,- -,- -,- -,-88845000,-88082000,39925000,40318000,41450000,43242000,44525000,121978000,46361000,47664000,49272000,49077000,43330000,44592000,40797000,38821000,51694000,50592000,51261000
67,Total Stockholders Equity,50300000,54000000,49600000,53000000,60700000,55800000,66500000,60600000,58900000,69300000,78200000,81600000,81700000,83500000,88267000,91540000,96035000,96903000,110582000,271731000,297335000,316403000,348479000,292006000,313260000,347683000,359875000,361216000,362935000,284680000,298546000,251355000,261704000,289127000,294329000,300549000
68,Total Liabilities And Stockholders Equity,75000000,79400000,74200000,73800000,79200000,73200000,81200000,75900000,74500000,85000000,93700000,95000000,94500000,94300000,102934000,142854000,139034000,152537000,154043000,497246000,494401000,478228000,513131000,436380000,432699000,473728000,531962000,495292000,536347000,453262000,392188000,324285000,329439000,363085000,365699000,364388000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,75000000,79400000,74200000,73800000,79200000,73200000,81200000,75900000,74500000,85000000,93700000,95000000,94500000,94300000,102934000,142854000,139034000,152537000,154043000,497246000,494401000,478228000,513131000,436380000,432699000,473728000,531962000,495292000,536347000,453262000,392188000,324285000,329439000,363085000,365699000,364388000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/33002/000003300202000009/0000033002-02-000009-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/33002/000095013406009796/0000950134-06-009796-index.htm,https://www.sec.gov/Archives/edgar/data/33002/000095013407010922/0000950134-07-010922-index.htm,https://www.sec.gov/Archives/edgar/data/33002/000095013408009039/0000950134-08-009039-index.htm,https://www.sec.gov/Archives/edgar/data/33002/000095013409010267/0000950134-09-010267-index.htm,https://www.sec.gov/Archives/edgar/data/33002/000095012310047124/0000950123-10-047124-index.htm,https://www.sec.gov/Archives/edgar/data/33002/000095012311048069/0000950123-11-048069-index.htm,https://www.sec.gov/Archives/edgar/data/33002/000119312512227898/0001193125-12-227898-index.htm,https://www.sec.gov/Archives/edgar/data/33002/000119312513214067/0001193125-13-214067-index.htm,https://www.sec.gov/Archives/edgar/data/33002/000119312514192331/0001193125-14-192331-index.htm,https://www.sec.gov/Archives/edgar/data/33002/000119312515178878/0001193125-15-178878-index.htm,https://www.sec.gov/Archives/edgar/data/33002/000119312516587329/0001193125-16-587329-index.htm,https://www.sec.gov/Archives/edgar/data/33002/000119312517168434/0001193125-17-168434-index.htm,https://www.sec.gov/Archives/edgar/data/33002/000156459018013187/0001564590-18-013187-index.htm,https://www.sec.gov/Archives/edgar/data/33002/000156459019015928/0001564590-19-015928-index.htm,https://www.sec.gov/Archives/edgar/data/33002/000156459020020699/0001564590-20-020699-index.htm,https://www.sec.gov/Archives/edgar/data/33002/000156459021025391/0001564590-21-025391-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,21000000,21100000,21200000,21300000,19500000,20000000,18600000,13500000,10200000,14100000,15123000,13177000,14966000,15247000,17951000,22959000,40537000,41601000,44590000,-32768000,35206000,44631000,31358000,24715000,13189000,-44533000,35736000,1780000,32905000,37437000,38292000,24094000
74,Depreciation and Amortization,- -,- -,- -,- -,3500000,3700000,4400000,4400000,4100000,3700000,4500000,4900000,6200000,5400000,5874000,9730000,10296000,9194000,9348000,11076000,18306000,17078000,14727000,12860000,11379000,10465000,11952000,13235000,14070000,16284000,17349000,12607000,14091000,16189000,18194000,18037000
75,Deferred Income Tax,- -,- -,- -,- -,-600000,-200000,-1200000,- -,-700000,-300000,-300000,600000,-900000,700000,1721000,-169000,-160000,-971000,- -,- -,- -,-4963000,682000,-4265000,2705000,4365000,-2022000,238000,-1900000,-11379000,-3584000,4359000,-1794000,-742000,478000,-2713000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,744000,978000,982000,1025000,1459000,1532000,1339000,1308000,1361000,1337000,1397000,1369000,1243000
77,Change in Working Capital,- -,- -,- -,- -,1600000,-4700000,700000,-4600000,-800000,10300000,8100000,-12100000,1000000,1000000,-11520000,7575000,-1675000,1038000,-1513000,29585000,26704000,7775000,31724000,4381000,-21736000,18662000,33669000,-18592000,21889000,4029000,-37720000,-19293000,14491000,769000,-22627000,1107000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10580000,-1614000,-1643000,7951000,-1400000,-1909000,3750000,6655000,3460000,-21000,1480000,1781000,6117000
79,Inventory,- -,- -,- -,- -,1600000,1700000,1600000,-1200000,-700000,-1600000,1900000,-1900000,2300000,-200000,573000,-1117000,866000,-42000,-617000,-1315000,-9332000,5797000,-10148000,-4154000,27096000,-23753000,-21809000,18293000,-16415000,12928000,18973000,1428000,1566000,-3580000,3241000,3187000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6177000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,45400000,40700000,41400000,36800000,36000000,46300000,54400000,42300000,43300000,44300000,32780000,40355000,38680000,39718000,38205000,67790000,94494000,102269000,133993000,138374000,116638000,135300000,168969000,150377000,172266000,176295000,138575000,119282000,133773000,134542000,111915000,113022000
82,Other Non-Cash Items,- -,- -,- -,- -,2300000,9300000,2300000,4100000,3100000,-14000000,-4600000,4100000,5200000,-4100000,8879000,-7556000,4166000,-1892000,463000,-43574000,-38120000,-11974000,-61279000,63264000,54035000,-46339000,-51409000,28902000,-16025000,99529000,74074000,58073000,-15740000,-3715000,21513000,11049000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,27800000,29200000,27400000,25200000,25200000,19700000,26300000,11000000,21700000,17100000,20077000,22757000,27593000,22616000,26249000,20046000,47427000,49517000,30444000,44216000,82567000,32766000,24573000,49957000,32755000,65269000,87163000,58887000,45290000,51335000,57219000,52817000
