,https://roic.ai/company/RRGB,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8557000,6903000,5112000,5885000,5662000,2692000,3045000,3809000,7239000,10955000,10925000,10178000,10163000,14176000
14,Depreciation and Amortization,5008000,5394000,8461000,10491058,13322640,16698000,21696000,26634000,34180000,44046000,51687000,57166000,56738000,55272000,55468000,58200000,64579000,77374000,86695000,92545000,95371000,91790000,87557000,83438000
15,EBITDA,7213000,8178000,23941000,21937321,-4059954360,24029000,57096000,67892000,76479000,87393000,97157000,85599000,66581000,83268000,97956000,102102000,109483000,144419000,98722000,132520000,84886000,79731000,-185832000,63406000
16,EBITDA ratio,0.0610,0.0629,0.1266,0.0977,-14.7958,0.0741,0.1415,0.1397,0.1236,0.1145,0.1118,0.1018,0.0770,0.0910,0.1003,0.1004,0.0955,0.1148,0.0758,0.0960,0.0634,0.0606,-0.2139,Infinity
17,Operating Income,6978000,7145000,8715000,18740457,22059919,26680000,37616000,44290000,47848000,52571000,45190000,27941000,9733000,28001000,45209000,43814000,44684000,67045000,11570000,39032000,-10485000,-13127000,-275146000,-36697000
18,Operating Income ratio,0.0590,0.0550,0.0461,0.0835,0.0804,0.0823,0.0932,0.0911,0.0773,0.0689,0.0520,0.0332,0.0113,0.0306,0.0463,0.0431,0.0390,0.0533,0.0089,0.0283,-0.0078,-0.0100,-0.3167,-Infinity
19,Total Other Income Expenses (Gains),-4773000,-4361000,-5759000,-7294194,-10359919,-3380000,-2216000,-3090000,-5549000,-9271000,-8290000,-6441000,-5033000,-5901000,-8309000,-2614000,-2825000,-3809000,-6782000,-10012000,-10925000,-9110000,-8406000,- -
20,Income Before Tax,2205000,2784000,2956000,11446263,11700000,23300000,35400000,41200000,42299000,43300000,36900000,21500000,4700000,22100000,36900000,41200000,41859000,63236000,4788000,29020000,-21410000,-22237000,-283552000,- -
21,Income Before Tax Ratio,0.0187,0.0214,0.0156,0.0510,0.0426,0.0719,0.0878,0.0848,0.0684,0.0567,0.0425,0.0256,0.0054,0.0242,0.0378,0.0405,0.0365,0.0503,0.0037,0.0210,-0.0160,-0.0169,-0.3264,- -
22,Income Tax expense (Gain),-33000,-1596000,- -,3722257,-4081177000,-8069000,12000000,13858000,12937000,12647000,9813000,3930000,-2569000,1511000,8526000,9010000,9298000,15532000,-6937000,-999000,-14991000,-14334000,-7484000,-152000
23,Net Income,2238000,4380000,15480000,7724006,7900000,15400000,23400000,27400000,29362000,30700000,27100000,17600000,7300000,20600000,28300000,32200000,32561000,47704000,11725000,30019000,-6419000,-7903000,-276068000,- -
24,Net Income ratio,0.0189,0.0337,0.0818,0.0344,0.0288,0.0475,0.0580,0.0564,0.0475,0.0402,0.0312,0.0209,0.0084,0.0225,0.0290,0.0317,0.0284,0.0379,0.0090,0.0217,-0.0048,-0.0060,-0.3178,- -
25,EPS,0.78,1.47,2.08,0.77,0.67,1.04,1.46,1.68,1.78,1.84,1.70,1.14,0.47,1.36,1.97,2.27,2.29,3.40,0.88,2.33,-0.49,-0.61,-19.29,-3.19
26,EPS Diluted,0.78,1.47,2.08,0.75,0.65,1.02,1.43,1.64,1.75,1.82,1.69,1.14,0.46,1.34,1.93,2.22,2.25,3.36,0.87,2.31,-0.49,-0.61,-19.29,-3.19
27,Weighted Average Shares Outstanding,2903000,2971000,7444000,10085468,12278185,15182000,16022000,16292000,16538000,16647000,15927000,15392000,15536000,15122000,14411000,14225000,14237000,14042000,13332000,12899000,12976000,12959000,14314000,15660000
28,Weighted Average Shares Outstanding Diluted,2903000,2971000,7444000,10235917,12660133,15465000,16406000,16656000,16736000,16817000,16047000,15504000,15709000,15357000,14669000,14510000,14447000,14216000,13462000,12998000,12976000,12959000,14314000,15660000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1171759/000104596903000818/0001045969-03-000818-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000119312504040677/0001193125-04-040677-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000119312505071199/0001193125-05-071199-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000110465906011680/0001104659-06-011680-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000110465907015030/0001104659-07-015030-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000104746908001925/0001047469-08-001925-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000104746909001881/0001047469-09-001881-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000104746910001370/0001047469-10-001370-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000104746911001429/0001047469-11-001429-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000104746912001376/0001047469-12-001376-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000104746913001949/0001047469-13-001949-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000144530514000562/0001445305-14-000562-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000162828015000884/0001628280-15-000884-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000117175916000014/0001171759-16-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000117175917000012/0001171759-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000117175918000007/0001171759-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000117175919000012/0001171759-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000117175920000008/0001171759-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000117175921000020/0001171759-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000117175922000010/0001171759-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,5645000,5176000,8317000,18992153,4800000,4900000,5000000,3300000,2762000,12900000,11200000,20300000,17900000,35000000,22400000,17100000,22408000,22705000,11732000,17714000,18569000,30045000,16116000,22750000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,5645000,5176000,8317000,18992153,4800000,4900000,5000000,3300000,2762000,12900000,11200000,20300000,17900000,35000000,22400000,17100000,22408000,22705000,11732000,17714000,18569000,30045000,16116000,22750000
34,Net Receivables,- -,- -,- -,2697197,1800000,2300000,4100000,5100000,9167000,9500000,11800000,9400000,10800000,16200000,16400000,22600000,23740000,27760000,24166000,26499000,25034000,22372000,33172000,37224000
35,Inventory,- -,- -,- -,2745898,3300000,4400000,5400000,6500000,8486000,10400000,13100000,14500000,16000000,18000000,18400000,22000000,25947000,28223000,29899000,29553000,27370000,26424000,23802000,25219000
36,Other Current Assets,- -,- -,- -,4445866,4800000,5600000,7200000,9000000,8868000,14500000,14000000,11000000,8900000,11400000,17300000,18900000,27837000,18052000,27049000,31038000,27576000,26646000,13818000,16963000
37,Total Current Assets,- -,- -,- -,28881114,14700000,17200000,21700000,23900000,29283000,47300000,50100000,55200000,53600000,80600000,74500000,80600000,99932000,96740000,92846000,104804000,98549000,105487000,86908000,102156000
38,PP&E,- -,- -,- -,82451120,110200000,154400000,205300000,270300000,351736000,399300000,442000000,431500000,414000000,402400000,413300000,444700000,496262000,603686000,656439000,638151000,565142000,944261000,852606000,787161000
39,Goodwill,- -,- -,- -,- -,25700000,25700000,25700000,25700000,43496000,56300000,61000000,61800000,61800000,61800000,62500000,62500000,84115000,81957000,95935000,96979000,95838000,96397000,- -,- -
40,Intangible Assets,- -,- -,- -,22554777,8400000,8100000,7600000,7400000,22772000,41100000,52000000,47400000,43100000,39000000,37200000,36800000,42479000,39573000,42270000,38273000,34609000,29975000,24714000,21292000
41,Intangible Assets,- -,- -,- -,22554777,34100000,33800000,33300000,33100000,66268000,97400000,113000000,109200000,104900000,100800000,99700000,99300000,126594000,121530000,138205000,135252000,130447000,126372000,24714000,21292000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,8652382,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,11901593,10600000,9000000,4200000,7100000,3311000,4800000,4600000,4200000,6800000,9200000,9600000,10000000,13101000,18023000,31055000,32408000,49803000,61460000,10511000,- -
45,Total Non-Current Assets,- -,- -,- -,125559872,154900000,197200000,242800000,310500000,421315000,501500000,559600000,544900000,525700000,512400000,522600000,554000000,635957000,743239000,825699000,805811000,745392000,1132093000,887831000,- -
46,Other Assets,55338000,70706000,142837000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,826842000
47,Total Assets,55338000,70706000,142837000,154440986,169600000,214400000,264500000,334400000,450598000,548800000,609700000,600100000,579300000,593000000,597100000,634600000,735889000,839979000,918545000,910615000,843941000,1237580000,974739000,928998000
48,Accounts Payable,- -,- -,- -,5669512,8300000,9100000,9800000,14000000,6312000,22700000,21700000,14100000,15700000,18100000,18900000,33800000,44174000,52084000,26602000,35347000,39024000,33040000,20179000,- -
49,Short-Term Debt,- -,- -,- -,- -,1828440,1422000,3148000,2861000,1630000,11250000,10313000,18739000,18739000,9375000,784000,826000,- -,- -,- -,- -,- -,- -,9692000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,335000,401000,319000,228000,170000,- -,304000,104000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15437000,14391000,24139000,28187000,35740000,45049000,48392000,50199000,55915000,55360000,54223000,50138000,54214000
52,Other Current Liabilities,- -,- -,- -,22554324,17771560,23078000,28652000,36439000,62220000,61950000,60187000,47124000,48570000,54886000,54429000,69534000,74446000,77197000,64208000,69077000,76765000,107323000,122545000,- -
53,Total Current Liabilities,- -,- -,- -,28223836,27900000,33600000,41600000,53300000,70162000,95900000,92200000,95400000,97400000,106500000,102300000,139900000,163669000,177673000,141009000,160339000,171149000,194586000,202554000,- -
54,Long-Term Debt,- -,- -,- -,75009577,38200000,36200000,44600000,55700000,112341000,141900000,211600000,171800000,138900000,146800000,134200000,87900000,147313000,210316000,347180000,266375000,202789000,215697000,160952000,602399000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40025000,44801000,51985000,57341000,66470000,72431000,- -,77115000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1429000,3010000,2952000,4677000,- -,465000,- -,847000,911000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,4229199,4500000,12200000,16600000,20600000,24562000,26500000,37000000,44300000,42300000,3546000,5889000,4463000,3118000,11209000,9407000,96466000,9236000,465866000,490520000,- -
58,Total Non-Current Liabilities,- -,- -,- -,79238776,42700000,48400000,61200000,76300000,136903000,168400000,248600000,216100000,181200000,191800000,187900000,147300000,212449000,287995000,429483000,362841000,289987000,682474000,651472000,602399000
59,Other Liabilities,74629000,85567000,104045000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1454423000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,8813000,- -,- -,- -,757000,- -,9339000,7938000,7441000,10805000,10197000,9414000,508134000,520508000,485172000
61,Total Liabilities,74629000,85567000,104045000,107462612,70600000,82000000,102800000,129600000,207065000,264300000,340800000,311500000,278600000,298300000,290200000,287200000,376118000,465668000,570492000,523180000,461136000,877060000,854026000,852024000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,10090,15108,16000,16000,16000,17000,17000,17000,17000,17000,17000,17000,18000,18000,18000,18000,18000,18000,18000,20000,- -
64,Retained Earnings,- -,- -,- -,-5886584,2400000,16900000,40200000,67600000,96985000,127600000,154700000,172300000,179600000,200200000,228500000,260800000,293312000,341016000,352741000,382760000,376341000,353266000,77198000,27196000
65,Other Comprehensive Income/Loss,- -,- -,- -,-54986518,-13000000,-13400000,-8400000,-118800000,-148229000,-183300000,-2000000,-1000000,-400000,-600000,5000,-447200000,-2000000,-5000000,-5000000,-4000000,-5000000,-4000000,-4000,1000
66,Other Total Stockholders Equity,- -,- -,38792000,107841386,109573979,130125000,129917000,256043000,294760000,340125000,116191000,117305000,121444000,95081000,78397000,533785000,68441000,38277000,294000,8657000,11446000,11236000,43499000,- -
67,Total Stockholders Equity,-19291000,-14861000,38792000,46978374,98989087,133641000,161733000,204859000,243533000,284442000,268908000,288622000,300661000,294698000,306919000,347403000,359771000,374311000,348053000,387435000,382805000,360520000,120713000,76974000
68,Total Liabilities And Stockholders Equity,55338000,70706000,142837000,154440986,169589087,215641000,264533000,334459000,450598000,548742000,609708000,600122000,579261000,592998000,597119000,634603000,735889000,839979000,918545000,910615000,843941000,1237580000,974739000,928998000
69,Minority Interest,- -,- -,- -,- -,10913,-1241000,-33000,-59000,- -,58000,-8000,-22000,39000,2000,-19000,-3000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,55338000,70706000,142837000,154440986,169600000,214400000,264500000,334400000,450598000,548800000,609700000,600100000,579300000,593000000,597100000,634600000,735889000,839979000,918545000,910615000,843941000,1237580000,974739000,928998000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1171759/000104596903000818/0001045969-03-000818-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000119312504040677/0001193125-04-040677-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000119312505071199/0001193125-05-071199-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000110465906011680/0001104659-06-011680-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000110465907015030/0001104659-07-015030-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000104746908001925/0001047469-08-001925-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000104746909001881/0001047469-09-001881-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000104746910001370/0001047469-10-001370-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000104746911001429/0001047469-11-001429-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000104746912001376/0001047469-12-001376-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000104746913001949/0001047469-13-001949-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000144530514000562/0001445305-14-000562-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000162828015000884/0001628280-15-000884-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000117175916000014/0001171759-16-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000117175917000012/0001171759-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000117175918000007/0001171759-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000117175919000012/0001171759-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000117175920000008/0001171759-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000117175921000020/0001171759-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000117175922000010/0001171759-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2238000,4380000,15480000,7724006,7900000,15400000,23400000,27400000,29362000,30700000,27100000,17600000,7300000,20600000,28300000,32200000,32561000,47704000,11725000,30019000,-6419000,-7903000,-276068000,- -
74,Depreciation and Amortization,5008000,5394000,8461000,10491058,13322640,16698000,21696000,26634000,34180000,44046000,51687000,57166000,56738000,55272000,55468000,58200000,64579000,77374000,86695000,92545000,95371000,91790000,87557000,- -
75,Deferred Income Tax,- -,- -,- -,1224469,1364894,3426000,3532000,-3102000,4722000,-1872000,6670000,-1290000,-2199000,2221000,1846000,-1662000,-1990000,2681000,-11929000,-6478000,-18613000,-9640000,51502000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6831000,6889000,4112000,3319000,3808000,3823000,4170000,4724000,4545000,4788000,4048000,3344000,4330000,- -
77,Change in Working Capital,- -,- -,- -,657278,-13857278,-3200000,-3500000,-9500000,-11479000,-7721000,6500000,1900000,-3600000,17900000,-1900000,-31500000,-4437000,-17196000,32770000,-7372000,-17065000,-16499000,-26547000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-848000,908000,-1108000,-7802000,-642000,-2334000,-1279000,4272000,-3537000,-5130000,2922000,2766000,5601000,- -
79,Inventory,- -,- -,- -,-138626,-424766,-1068000,-1065000,-1063000,-1395000,-1018000,-1961000,-1403000,-1510000,-2003000,-285000,-3621000,-1949000,-2375000,-1218000,416000,- -,- -,2239000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-696000,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,657278,-13200000,-16400000,-19900000,-29400000,-40879000,-48600000,-42100000,-40200000,-43800000,-25900000,-27800000,-59300000,-63737000,-80933000,-48163000,-55535000,-72600000,-89099000,-115646000,1101000
82,Other Non-Cash Items,968000,-2435000,-14461000,5442360,20383356,7611000,10393000,24001000,21740000,28405000,-7624000,8350000,8262000,-3615000,6857000,52468000,28698000,25636000,-24849000,43105000,68973000,-3177000,179459000,- -
83,Cash Provided by Operating Activities,8214000,7339000,9480000,25539171,29113612,39935000,55521000,65433000,78525000,93558000,91164000,90615000,70613000,95697000,94379000,113529000,123581000,140923000,98957000,156607000,126295000,57915000,20233000,- -
84,CAPEX,- -,- -,- -,-18675387,-39648683,-54645000,-70652000,-83825000,-95365000,-77798000,-83227000,-48469000,-34962000,-44085000,-59960000,-78876000,-107703000,-166284000,-163767000,-83531000,-50271000,-57309000,-22132000,- -
85,Acquisitions Net,- -,- -,- -,-56024,-6295766,- -,- -,- -,-40745000,-47854000,-29969000,-1248000,- -,- -,-3247000,- -,-47511000,-2532000,-39966000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-22156000,2348232,920264,860000,1101000,335000,-753000,457000,72000,169000,-98000,730000,-98000,645000,-64000,-295000,4354000,241000,435000,279000,739000,- -
89,Cash Used for Investing Activites,- -,- -,-22156000,-16383179,-45024185,-53785000,-69551000,-83490000,-136863000,-125195000,-113124000,-49548000,-35060000,-43355000,-63305000,-78231000,-155278000,-169111000,-199379000,-83290000,-49836000,-57030000,-21393000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-96486000,-235956000,-231943000,-190025000,-147049000,-188783000,-171817000,-352550000,-233642000,-257215000,-289238000,-261063000,-247501000,-188845000
91,Common Stock Issued,- -,- -,- -,81024,43351200,18658000,1731000,6190000,2207000,2245000,1456000,1051000,811000,- -,- -,- -,- -,- -,- -,- -,- -,- -,28718000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-83000,- -,- -,-50042000,- -,- -,-32964000,-24304000,-5003000,-26884000,-40009000,-46078000,- -,-1474000,-3450000,-1635000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,15817000,1438311,-41636155,-4734000,12408000,10310000,55553000,39544000,165276000,202948000,193200000,187794000,127683000,153156000,235752000,421326000,369053000,189291000,216414000,274191000,208714000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,15817000,1519335,1715045,13924000,14139000,16417000,57760000,41789000,20204000,-31957000,-37932000,-35195000,-43670000,-40630000,37051000,28767000,89333000,-67924000,-74298000,9678000,-11704000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-54000,-282000,116000,589000,-1306000,913000,-1065000,- -
97,Net Change In Cash,- -,- -,15817000,10675327,-14195528,74000,109000,-1640000,-578000,10152000,-1756000,9110000,-2379000,17147000,-12596000,-5332000,5300000,297000,-10973000,5982000,855000,11476000,-13929000,- -
98,Cash at the End of Period,- -,- -,- -,18992153,4796625,4871000,4980000,3340000,2762000,12914000,11158000,20268000,17889000,35036000,22440000,17108000,22408000,22705000,11732000,17714000,18569000,30045000,16116000,- -
99,Cash at the Beginning of Period,- -,- -,- -,8316826,18992153,4797000,4871000,4980000,3340000,2762000,12914000,11158000,20268000,17889000,35036000,22440000,17108000,22408000,22705000,11732000,17714000,18569000,30045000,16116000
100,Free Cash Flow,8214000,7339000,9480000,6863784,-10535071,-14710000,-15131000,-18392000,-16840000,15760000,7937000,42146000,35651000,51612000,34419000,34653000,15878000,-25361000,-64810000,73076000,76024000,606000,-1899000,5031000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1171759/000104596903000818/0001045969-03-000818-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000119312504040677/0001193125-04-040677-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000119312505071199/0001193125-05-071199-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000110465906011680/0001104659-06-011680-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000110465907015030/0001104659-07-015030-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000104746908001925/0001047469-08-001925-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000104746909001881/0001047469-09-001881-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000104746910001370/0001047469-10-001370-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000104746911001429/0001047469-11-001429-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000104746912001376/0001047469-12-001376-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000104746913001949/0001047469-13-001949-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000144530514000562/0001445305-14-000562-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000162828015000884/0001628280-15-000884-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000117175916000014/0001171759-16-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000117175917000012/0001171759-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000117175918000007/0001171759-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000117175919000012/0001171759-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000117175920000008/0001171759-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000117175921000020/0001171759-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1171759/000117175922000010/0001171759-22-000010-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
