,https://roic.ai/company/KVHI,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,13200000,21600000,22900000,24800000,26816719,31065244,39066700,48904388,58171501,67343090,68969000,77116805,80654324,79533513,89703485,106702708,113144194,130542325,156119000,170669000,181426000,177444000,168852000,177925000,178989000,171180000,189713000
12,Interest Income ,- -,- -,- -,- -,- -,54056,364212,101011,- -,471226,1269000,2193582,2714688,1220455,358135,301352,296953,510471,657000,738000,546000,513000,659000,635000,2003000,996000,886000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,246493,224039,219707,165459,- -,- -,- -,155811,153426,88485,204076,223061,323431,637000,1296000,1460000,1436000,1467000,1793000,1020000,18000,56000
14,Depreciation and Amortization,100000,300000,800000,800000,1062198,1190316,1366392,1623211,1723748,2042950,1958000,2004507,2139114,2215436,2653578,3845016,4374169,4609654,5994000,9987000,12719000,12564000,11037000,12857000,11487000,11663000,- -
15,EBITDA,900000,4500000,4000000,-3100000,-2888879,-63948,-4670962,452376,146808,-4850047,5178000,6028742,5038039,6074910,2348313,9709902,4972411,11776257,13314000,12608000,16845000,12030000,2566000,6983000,41759000,-10085000,-9815000
16,EBITDA ratio,0.0634,0.1751,0.1563,-0.1505,-0.1266,-0.0021,-0.1428,0.0095,0.0026,-0.0778,0.0727,0.0763,0.0623,0.0737,0.0264,0.0865,0.0442,0.0859,0.0820,0.0731,0.0912,0.0683,0.0160,0.0409,0.2645,-0.0635,-0.0571
17,Operating Income,1000000,4100000,2700000,-4200000,-3994290,-1111517,-6359577,-1209905,-1498896,-7398969,2289000,1856620,261165,2870204,-643636,5540086,-608330,6569885,6169000,1922000,3208000,-1322000,-8764000,-7164000,-21096000,-22937000,-17946000
18,Operating Income ratio,0.0704,0.1595,0.1055,-0.2039,-0.1750,-0.0371,-0.1944,-0.0254,-0.0264,-0.1188,0.0321,0.0235,0.0032,0.0348,-0.0072,0.0494,-0.0054,0.0479,0.0380,0.0111,0.0174,-0.0075,-0.0547,-0.0420,-0.1336,-0.1445,-0.1045
19,Total Other Income Expenses (Gains),-200000,100000,500000,300000,43213,-389240,98184,-180637,-243503,505972,931000,2167615,2481949,835844,249886,120724,983511,273287,514000,-597000,-542000,-648000,-1174000,-503000,1084000,1171000,8075000
20,Income Before Tax,800000,4200000,3200000,-3900000,-3951077,-1500757,-6261393,-1390542,-1742399,-6892997,3220000,4024235,2743114,3706048,-393750,5660810,375181,6843172,6683000,1325000,2666000,-1970000,-9938000,-7667000,-20012000,-21766000,-9871000
21,Income Before Tax Ratio,0.0563,0.1634,0.1250,-0.1893,-0.1731,-0.0501,-0.1914,-0.0292,-0.0307,-0.1106,0.0452,0.0510,0.0339,0.0450,-0.0044,0.0504,0.0033,0.0499,0.0412,0.0077,0.0144,-0.0112,-0.0621,-0.0449,-0.1267,-0.1371,-0.0575
22,Income Tax expense (Gain),-400000,1700000,1000000,-1600000,-1253822,-559637,- -,86100,-271945,-745667,289000,349719,243955,647721,-260575,-2612402,-484468,3262557,2150000,1284000,413000,5547000,1096000,565000,-4003000,174000,-108000
23,Net Income,1200000,2500000,2200000,-2300000,-2697255,-941120,-6261393,-1476642,-1470454,-6147330,2931000,3674516,2499159,3058327,-133175,8273212,859649,3580615,4533000,41000,2253000,-7517000,-11034000,-8232000,33255000,-21940000,-9763000
24,Net Income ratio,0.0845,0.0973,0.0859,-0.1117,-0.1182,-0.0314,-0.1914,-0.0310,-0.0259,-0.0987,0.0411,0.0465,0.0309,0.0371,-0.0015,0.0737,0.0076,0.0261,0.0279,0.0002,0.0122,-0.0427,-0.0689,-0.0482,0.2106,-0.1382,-0.0568
25,EPS,0.21,0.35,0.31,-0.32,-0.37,-0.12,-0.61,-0.13,-0.13,-0.44,0.20,0.25,0.17,0.21,-0.01,0.57,0.06,0.24,0.30,0.00,0.14,-0.47,-0.67,-0.48,1.90,-1.24,-0.54
26,EPS Diluted,0.21,0.35,0.30,-0.32,-0.37,-0.12,-0.61,-0.13,-0.13,-0.44,0.20,0.25,0.17,0.21,-0.01,0.56,0.06,0.24,0.30,0.00,0.14,-0.47,-0.67,-0.48,1.90,-1.24,-0.54
27,Weighted Average Shares Outstanding,5714286,7055309,7049125,7124023,7234961,7628166,10217305,11039676,11403258,14109039,14571207,14786898,14964410,14372626,13996000,14420000,14768000,14777000,15144000,15420000,15625000,15834000,16419000,17072000,17459000,17669000,18217000
28,Weighted Average Shares Outstanding Diluted,5714286,7368421,7497695,7124023,7234961,7628166,10217305,11039676,11845942,14109039,14685321,14915027,14983499,14376537,13996000,14850000,15072000,15019000,15341000,15605000,15834000,15834000,16419000,17072000,17459000,17669000,18217000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1007587/000100758703000008/0001007587-03-000008-index.html,https://www.sec.gov/Archives/edgar/data/1007587/000095013504001290/0000950135-04-001290-index.html,https://www.sec.gov/Archives/edgar/data/1007587/000119312505052287/0001193125-05-052287-index.html,https://www.sec.gov/Archives/edgar/data/1007587/000119312506056559/0001193125-06-056559-index.htm,https://www.sec.gov/Archives/edgar/data/1007587/000119312507056745/0001193125-07-056745-index.htm,https://www.sec.gov/Archives/edgar/data/1007587/000119312508055662/0001193125-08-055662-index.htm,https://www.sec.gov/Archives/edgar/data/1007587/000119312509053697/0001193125-09-053697-index.html,https://www.sec.gov/Archives/edgar/data/1007587/000119312510050473/0001193125-10-050473-index.html,https://www.sec.gov/Archives/edgar/data/1007587/000119312511065961/0001193125-11-065961-index.htm,https://www.sec.gov/Archives/edgar/data/1007587/000119312512104008/0001193125-12-104008-index.html,https://www.sec.gov/Archives/edgar/data/1007587/000100758713000015/0001007587-13-000015-index.html,https://www.sec.gov/Archives/edgar/data/1007587/000100758714000005/0001007587-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1007587/000100758715000002/kvhi1231201410-k.htm,https://www.sec.gov/Archives/edgar/data/1007587/000100758716000027/0001007587-16-000027-index.html,https://www.sec.gov/Archives/edgar/data/1007587/000100758717000006/0001007587-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1007587/000100758718000006/0001007587-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1007587/000100758719000007/0001007587-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1007587/000100758720000004/0001007587-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/1007587/000100758721000004/0001007587-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1007587/000100758722000003/0001007587-22-000003-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,900000,7000000,4800000,1200000,2047838,5411460,11240893,7239255,2848755,10289145,14160000,15780851,12284307,4979286,5870771,7241188,7017198,8978156,9358000,25289000,22719000,26422000,34596000,18050000,18365000,12578000,11376000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,35438442,35930000,38958402,41020616,37680470,35433491,30065581,23553203,29306444,46386000,24513000,22619000,25712000,8319000,25000,29907000,25141000,- -
33,Cash and Short-Term Investments,900000,7000000,4800000,1200000,2047838,5411460,11240893,7239255,2848755,45727587,50090000,54739253,53304923,42659756,41304262,37306769,30570401,38284600,55744000,49802000,45338000,52134000,42915000,18075000,48272000,37719000,11376000
34,Net Receivables,4100000,6200000,4900000,5000000,3806882,6553976,6509175,10093350,11768590,10323507,12518000,10739668,12826445,14003855,15802796,18769709,25958516,27654094,27549000,39936000,43895000,31152000,28316000,33229000,34349000,34773000,33648000
35,Inventory,1800000,3200000,4800000,3400000,3672269,3600660,4124203,3947207,6298151,7250597,6564000,9043326,9313382,15484211,13386981,14765210,18614726,16203380,18255000,17424000,21589000,20745000,22732000,22942000,23465000,24674000,24640000
36,Other Current Assets,600000,1200000,500000,600000,669421,1403462,1044665,1204524,1879221,1132602,998000,844578,1017037,762980,1632378,3678547,3833473,4409775,6844000,5725000,4271000,4801000,3816000,3494000,3188000,3894000,18166000
37,Total Current Assets,7400000,17600000,15000000,10200000,10196410,16969558,22918936,22484336,22794717,64434293,70170000,75366825,76461787,72910802,72126417,74520235,78977116,86551849,108392000,112887000,115093000,108832000,97779000,77740000,109274000,101060000,87830000
38,PP&E,400000,3900000,6000000,7200000,7227778,6580375,7431287,7384888,8722854,8218294,8663000,9568640,11738504,13286453,15777154,23044116,34009872,36733118,37142000,41696000,39900000,36586000,43521000,53248000,59870000,63166000,63169000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4517103,4425711,4711942,18281000,40454000,36747000,31343000,33872000,32213000,15408000,6592000,6570000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,189177,63000,- -,- -,- -,- -,2271458,1902771,1683676,14987000,33641000,26755000,17838000,15120000,10518000,4943000,2254000,1287000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,189177,63000,- -,- -,- -,- -,6788561,6328482,6395618,33268000,74095000,63502000,49181000,48992000,42731000,20351000,8846000,7857000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13147000
43,Tax Assets,- -,- -,- -,- -,- -,- -,2238430,2238430,2238430,3013430,3334000,3333794,3333794,3333794,3333794,4981949,5405492,3523691,- -,2690000,4686000,24000,20000,226000,45000,73000,56000
44,Other Non-Current Assets,100000,100000,800000,1300000,2410522,2944903,573849,441225,315201,58565,100000,154994,36256,4226498,6508767,5863093,3834752,4363531,5047000,4469000,3096000,5134000,5927000,13707000,9851000,10446000,-3265000
45,Total Non-Current Assets,500000,4000000,6800000,8500000,9638300,9525278,10243566,10064543,11276485,11479466,12160000,13057428,15108554,20846745,25619715,40677719,49578598,51015958,75457000,122950000,111184000,90925000,98460000,109912000,90117000,82531000,80964000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,7900000,21600000,21800000,18700000,19834710,26494836,33162502,32548879,34071202,75913759,82330000,88424253,91570341,93757547,97746132,115197954,128555714,137567807,183849000,235837000,226277000,199757000,196239000,187652000,199391000,183591000,168794000
48,Accounts Payable,1000000,1000000,1600000,900000,1599770,1478198,2084507,2321104,3590494,1604006,3480000,2639224,3016101,5487655,3611037,3922089,6140589,7086552,8876000,12460000,8975000,8436000,15736000,17726000,15031000,11400000,11265000
49,Short-Term Debt,- -,100000,- -,- -,75643,679976,86974,93262,109954,107233,115000,123297,132210,2026156,117256,123870,130857,138239,1272000,6188000,6638000,7900000,2482000,9928000,2831000,8818000,1912000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3500000,1474000,1283000,1570000,1116000,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,960996,1011265,2683982,1891792,4858000,7791000,5962000,6661000,6919000,9193000,4443000,4445000,- -
52,Other Current Liabilities,3200000,3900000,1000000,800000,792086,2359881,2047643,2099135,2533700,4073553,4962000,5481952,5617019,7174544,6747014,8892006,10244180,12193766,14453000,21248000,21984000,16646000,18212000,19163000,16085000,16125000,20705000
53,Total Current Liabilities,4200000,5000000,2600000,1700000,2467499,4518055,4219124,4513501,6234148,5784792,8557000,8244473,8765330,14688355,11436303,13949230,19199608,21310349,29459000,47687000,43559000,39643000,43349000,56010000,38390000,40788000,33882000
54,Long-Term Debt,100000,- -,- -,- -,2865232,2784121,2697147,2603885,2503881,2396648,2282000,2158366,2026156,- -,3807406,3683536,3552679,10414440,37094000,64687000,58054000,50153000,44572000,19437000,- -,1935000,1224000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9070000,5476000,4688000,215000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,625000,5464000,5097000,3133000,2634000,1700000,762000,418000,215000
57,Other Non-Current Liabilities,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,128000,226542,8437,- -,902113,1262524,9135166,139411,204000,1459000,1391000,326000,19000,1920000,4774000,3878000,4281000
58,Total Non-Current Liabilities,100000,- -,- -,-100000,2865232,2784121,2697147,2603885,2503881,2396648,2410000,2384908,2034593,- -,4709519,4946060,12687845,10553851,37923000,71610000,64542000,53612000,47225000,32127000,11012000,10919000,5935000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6313000,7030000,- -
61,Total Liabilities,4200000,5000000,2600000,1600000,5332731,7302176,6916271,7117386,8738029,8181440,10967000,10629381,10799923,14688355,16145822,18895290,31887453,31864200,67382000,119297000,108101000,93255000,90574000,88137000,49402000,51707000,39817000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,72969,86191,109612,111498,115901,144878,146000,148664,150705,151273,153644,158989,162160,165726,169000,172000,173000,184000,188000,190000,194000,199000,203000
64,Retained Earnings,-800000,1600000,3800000,1600000,-1138870,-2079990,-8341383,-9818025,-11288479,-17435809,-14505000,-10830307,-8331148,-5272821,-5405996,2867216,3726865,7307480,11840000,11881000,14134000,6617000,-4417000,-15397000,19538000,-2402000,-12165000
65,Other Comprehensive Income/Loss,-1400000,-1700000,-2400000,-3100000,-3989114,-5046791,-6280830,3927,-9402000,-49624,-169000,-34174,-366,129292,49582,19817,-663009,-132988,461000,-3447000,-7600000,-16809000,-11317000,-14731000,-2767000,-3232000,-3409000
66,Other Total Stockholders Equity,5900000,16700000,17800000,18600000,19556994,26233250,40758832,35134093,45907751,85072874,85891000,88510689,88951227,84061448,86803080,93256642,93442245,98363389,103997000,107934000,111469000,116510000,121211000,129453000,133024000,137319000,144348000
67,Total Stockholders Equity,3700000,16600000,19200000,17100000,14501979,19192660,26246231,25431493,25333173,67732319,71363000,77794872,80770418,79069192,81600310,96302664,96668261,105703607,116467000,116540000,118176000,106502000,105665000,99515000,149989000,131884000,128977000
68,Total Liabilities And Stockholders Equity,7900000,21600000,21800000,18700000,19834710,26494836,33162502,32548879,34071202,75913759,82330000,88424253,91570341,93757547,97746132,115197954,128555714,137567807,183849000,235837000,226277000,199757000,196239000,187652000,199391000,183591000,168794000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,7900000,21600000,21800000,18700000,19834710,26494836,33162502,32548879,34071202,75913759,82330000,88424253,91570341,93757547,97746132,115197954,128555714,137567807,183849000,235837000,226277000,199757000,196239000,187652000,199391000,183591000,168794000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1007587/000100758703000008/0001007587-03-000008-index.html,https://www.sec.gov/Archives/edgar/data/1007587/000095013504001290/0000950135-04-001290-index.html,https://www.sec.gov/Archives/edgar/data/1007587/000119312505052287/0001193125-05-052287-index.html,https://www.sec.gov/Archives/edgar/data/1007587/000119312506056559/0001193125-06-056559-index.htm,https://www.sec.gov/Archives/edgar/data/1007587/000119312507056745/0001193125-07-056745-index.htm,https://www.sec.gov/Archives/edgar/data/1007587/000119312508055662/0001193125-08-055662-index.htm,https://www.sec.gov/Archives/edgar/data/1007587/000119312509053697/0001193125-09-053697-index.html,https://www.sec.gov/Archives/edgar/data/1007587/000119312510050473/0001193125-10-050473-index.html,https://www.sec.gov/Archives/edgar/data/1007587/000119312511065961/0001193125-11-065961-index.htm,https://www.sec.gov/Archives/edgar/data/1007587/000119312512104008/0001193125-12-104008-index.html,https://www.sec.gov/Archives/edgar/data/1007587/000100758713000015/0001007587-13-000015-index.html,https://www.sec.gov/Archives/edgar/data/1007587/000100758714000005/0001007587-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1007587/000100758715000002/kvhi1231201410-k.htm,https://www.sec.gov/Archives/edgar/data/1007587/000100758716000027/0001007587-16-000027-index.html,https://www.sec.gov/Archives/edgar/data/1007587/000100758717000006/0001007587-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1007587/000100758718000006/0001007587-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1007587/000100758719000007/0001007587-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1007587/000100758720000004/0001007587-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/1007587/000100758721000004/0001007587-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1007587/000100758722000003/0001007587-22-000003-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1200000,2500000,2200000,-2300000,-2697255,-941120,-6261393,-1476642,-1470454,-6147330,2931000,3674516,2499159,3058327,-133175,8273212,859649,3580615,4533000,41000,2253000,-7517000,-11034000,-8232000,33255000,-21940000,-9763000
74,Depreciation and Amortization,100000,300000,800000,800000,1062198,1190316,1366392,1623211,1723748,2042950,1958000,2004507,2139114,2215436,2653578,3845016,4374169,4609654,5994000,9987000,12719000,12564000,11037000,12857000,11487000,11663000,- -
75,Deferred Income Tax,-400000,300000,-200000,-200000,-1288729,-928192,- -,20922,-33280,-770573,120000,40397,89178,-14864,14773,-3133858,-737496,2046278,-713000,-1813000,-411000,2406000,-756000,-781000,203000,-283000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3532909,3679248,4124000,3771000,3734000,3651000,3518000,3321000,4159000,3462000,- -
77,Change in Working Capital,2600000,9400000,-200000,-3900000,-771089,4722592,6248309,-728977,-1410266,42088932,2963499,5509352,574105,-9474010,2467667,-119109,-793497,5463992,13691500,-13733000,6334000,-2345000,-14759000,-32700000,49154000,-10612000,-6324000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2674255,-2660238,-7438392,-2230743,1229000,-8235000,-5803000,10709000,2701000,-2183000,-4344000,-1123000,- -
79,Inventory,-800000,-1500000,-600000,900000,-281482,71609,-523543,176996,-2354871,-1788021,687000,-2479776,-270056,-6170829,2097230,-1215185,-3850824,2420196,-1967000,867000,-3755000,806000,-1978000,-174000,-553000,-1205000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1876618,178539,2223153,942852,1196000,1676000,-3390000,-790000,6711000,2041000,-1916000,-3274000,- -
81,Other Working Capital,3200000,12600000,12400000,8500000,7728911,12451503,18699812,17970835,16560569,58649501,61613000,67122352,67696457,58222447,60690114,60571005,59777508,65241500,78933000,65200000,71534000,69189000,54430000,21730000,70884000,60272000,53948000
82,Other Non-Cash Items,-2100000,-13100000,-700000,3600000,2403427,-6424724,-6074183,-2566967,-1545250,-41623136,-1906499,-5345353,-2025705,3187720,-4053093,712602,-5368519,-4322782,-11374500,12117000,-16232000,9940000,23521000,30719000,-112423000,14631000,16087000
83,Cash Provided by Operating Activities,1400000,-600000,1900000,-2000000,-1291448,-2381128,-4720875,-3128453,-2735502,-4409157,6066000,5883419,3275851,-1027391,949750,9577863,1867215,15057005,16255000,10370000,8397000,18699000,11527000,5184000,-14165000,-3079000,- -
84,CAPEX,-200000,-3700000,-4300000,-1600000,-970185,-410273,-2084680,-1444188,-2935690,-1522066,-2276000,-2851630,-3919601,-3219888,-5163026,-11010756,-14064106,-6504094,-4720000,-5118000,-5694000,-5631000,-12871000,-15941000,-12620000,-14141000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6365518,- -,- -,-22944000,-43448000,- -,- -,- -,- -,88447000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-35488066,-2652000,-51498176,-54205995,-30190048,-35026808,-87886677,-49541143,-21944408,-41950000,-12270000,-11323000,-13173000,-11115000,-2036000,-41882000,-8734000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2000000,48604495,52177589,33659852,37194077,93207446,56053571,16189864,24867000,34150000,13217000,10080000,28508000,10330000,12000000,13500000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6949,22000,-28438,12272,27446,-5134001,-11010756,-14064106,-6504094,-4720000,-5118000,-5694000,-5631000,-12871000,-15941000,-12517000,-14061000,- -
89,Cash Used for Investing Activites,-200000,-3700000,-4300000,-1600000,-970185,-410273,-2084680,-1444188,-2935690,-37017081,-2906000,-5773749,-5935735,277362,-2966732,-12055505,-7551678,-12258638,-44747000,-26686000,-3800000,-8724000,4522000,-7647000,46048000,-9295000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2101494,-117256,-123870,-2130857,-1030000,-32491000,-6183000,-6639000,-10999000,-23250000,-40159000,-624000,- -
91,Common Stock Issued,- -,10500000,200000,100000,129369,5631801,13314964,657977,1364004,48976582,819000,1626221,1405748,274563,- -,- -,- -,- -,- -,- -,- -,- -,- -,4500000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2172903,-6697345,-652165,-487748,-4313660,-332710,-828000,-482000,-578000,-313000,-392000,- -,-1297000,-390000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-500000,-100000,- -,- -,2940875,523222,-679976,-86974,-83312,-109954,-108000,-114985,-69505,-132210,5662126,4423918,9941537,1578172,31183000,65649000,432000,2579000,1644000,5484000,10700000,8143000,- -
95,Cash Used/Provided by Financing Activities,-500000,10400000,200000,100000,3070244,6155023,12634988,571003,1280692,48866628,711000,1511236,-836660,-6554992,2908467,3818914,5504007,-885395,29325000,32676000,-6329000,-4373000,-9747000,-13266000,-30756000,7129000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29145,-43534,47986,-453000,-429000,-838000,-1899000,1872000,-817000,-812000,-542000,- -
97,Net Change In Cash,-500000,10400000,200000,100000,808611,3363622,5829433,-4001638,-4390500,7440390,3871000,1620906,-3496544,-7305021,891485,1370417,-223990,1960958,380000,15931000,-2570000,3703000,8174000,-16546000,315000,-5787000,- -
98,Cash at the End of Period,- -,- -,- -,- -,2047838,5411460,11240893,7239255,2848755,10289145,14160000,15780851,12284307,4979286,5870771,7241188,7017198,8978156,9358000,25289000,22719000,26422000,34596000,18050000,18365000,12578000,- -
99,Cash at the Beginning of Period,200000,900000,7000000,4800000,1239227,2047838,5411460,11240893,7239255,2848755,10289000,14159945,15780851,12284307,4979286,5870771,7241188,7017198,8978000,9358000,25289000,22719000,26422000,34596000,18050000,18365000,12578000
100,Free Cash Flow,1200000,-4300000,-2400000,-3600000,-2261633,-2791401,-6805555,-4572641,-5671192,-5931223,3790000,3031789,-643750,-4247279,-4213276,-1432893,-12196891,8552911,11535000,5252000,2703000,13068000,-1344000,-10757000,-26785000,-17220000,- -
