,https://roic.ai/company/SIX,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,32913000,26200000,58200000,248500000,337300000,367126000,396920000,349287000,431572000,355058000,356688000,399279000,426227000,371641000,342765000,6000000,781932000,785599000,734775000,856493000,807440000,888094000,779292000,817416000,921029000,652004000,- -
11,COGS and Expenses,37548000,78900000,160700000,643500000,774900000,830265000,896248000,850276000,1050390000,888119000,906335000,895600000,939466000,877348000,845039000,85100000,859218000,865768000,821438000,947008000,908149000,997673000,889666000,939219000,1051333000,686123000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2342000,878000,- -,997000,820000,899000,468000,302000,505000,756000,791000,1401000,688000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,178516000,106313000,-53842000,66214000,47444000,75044000,73057000,76205000,82377000,99766000,108034000,114703000,155411000,- -
14,Depreciation and Amortization,3866000,9300000,21700000,115200000,161100000,188562000,209170000,160801000,194931000,159539000,153577000,141834000,146454000,139609000,145891000,164000000,168999000,148045000,128075000,108107000,107411000,106893000,111671000,115693000,118230000,120173000,- -
15,EBITDA,1919000,12600000,45400000,190700000,155100000,142225000,143873000,51041000,100085000,-273286000,46344000,-159466000,-100502000,321792000,25939000,720235000,204488000,377270000,369272000,303708000,408675000,384111000,501279000,595578000,503940000,-288763000,- -
16,EBITDA ratio,0.0462,0.1349,0.2341,0.2344,0.1673,0.1412,0.1376,0.0492,0.0809,-0.2634,0.0425,-0.1686,-0.1033,0.3151,0.0284,0.7380,0.2018,0.3525,0.3327,0.2583,0.3233,0.2911,0.3688,0.4069,0.3388,-0.8098,- -
17,Operating Income,3948000,14500000,33200000,170100000,152100000,176716000,149716000,187657000,186279000,149573000,183347000,50065000,33314000,143950000,67822000,890800000,153956000,204564000,288492000,228785000,355789000,321725000,469408000,524488000,436250000,-329548000,- -
18,Operating Income ratio,0.0951,0.1552,0.1712,0.2091,0.1641,0.1755,0.1431,0.1808,0.1506,0.1441,0.1683,0.0529,0.0342,0.1409,0.0743,0.9128,0.1520,0.1911,0.2599,0.1946,0.2815,0.2438,0.3454,0.3583,0.2933,-0.9242,- -
19,Total Other Income Expenses (Gains),-5755000,-11200000,-9500000,-93800000,-146800000,-223053000,-206484000,-217828000,-281125000,-294837000,-268538000,-252722000,-271195000,-124592000,-270842000,-142400000,-150077000,7048000,-84567000,-68774000,-92565000,-88459000,-140356000,-112630000,-124490000,-193511000,- -
20,Income Before Tax,-1807000,3300000,23700000,76300000,5300000,-46337000,-56768000,-30171000,-94846000,-145264000,-85191000,-202657000,-237881000,19358000,-203020000,748400000,3879000,211612000,203925000,160011000,263224000,233266000,329052000,411858000,311760000,-523059000,- -
21,Income Before Tax Ratio,-0.0435,0.0353,0.1222,0.0938,0.0057,-0.0460,-0.0543,-0.0291,-0.0767,-0.1400,-0.0782,-0.2143,-0.2445,0.0190,-0.2224,0.7669,0.0038,0.1977,0.1837,0.1361,0.2083,0.1768,0.2421,0.2814,0.2096,-1.4669,- -
22,Income Tax expense (Gain),-762000,1500000,9600000,40700000,24500000,5622000,-7195000,-4062000,-33133000,31984000,3705000,4318000,6203000,116630000,2902000,11177000,-8065000,-172228000,47601000,46522000,70369000,76539000,16026000,95855000,91942000,-140967000,- -
23,Net Income,-1185000,1800000,14100000,34800000,-30500000,-51959000,-58102000,-105698000,-61713000,-464809000,-110938000,-305618000,-253159000,-112963000,-229167000,598900000,-22660000,354009000,118552000,76022000,154690000,118302000,273816000,275996000,179065000,-423380000,- -
24,Net Income ratio,-0.0286,0.0193,0.0727,0.0428,-0.0329,-0.0516,-0.0555,-0.1018,-0.0499,-0.4479,-0.1018,-0.3232,-0.2602,-0.1106,-0.2510,0.6137,-0.0224,0.3307,0.1068,0.0647,0.1224,0.0897,0.2015,0.1886,0.1204,-1.1874,- -
25,EPS,-0.02,0.03,0.20,0.07,-0.17,-0.24,-0.24,-0.34,-0.23,-1.31,-0.36,-0.87,-0.72,-0.35,-0.63,1.86,-0.41,3.29,1.22,0.80,1.65,1.28,3.15,3.28,2.12,-4.99,- -
26,EPS Diluted,-0.02,0.03,0.19,0.06,-0.17,-0.24,-0.24,-0.34,-0.23,-1.31,-0.36,-0.87,-0.72,-0.35,-0.63,1.86,-0.41,3.19,1.18,0.77,1.58,1.25,3.09,3.23,2.11,-4.99,- -
27,Weighted Average Shares Outstanding,78756000,35888000,71752000,265720000,310624000,314940000,356884000,370044000,370468000,372144000,372440000,376968000,378988000,387800000,390880000,321800000,55075000,107684000,96940000,94477000,93580000,92349000,86802000,84100000,84348000,84800000,- -
28,Weighted Average Shares Outstanding Diluted,78756000,600000000,73752000,274072000,310624000,314940000,356884000,370316000,370516000,372144000,372440000,376968000,378988000,387800000,390880000,321800000,55075000,110936000,100371000,98139000,97981000,94398000,88494000,85445000,84968000,84800000,- -
29,SEC Link,https://www.sec.gov/Archives/edgar/data/701374/000095011296000962/0000950112-96-000962-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/701374/000100547701002422/0001005477-01-002422-index.html,https://www.sec.gov/Archives/edgar/data/701374/000091205702012407/0000912057-02-012407-index.html,https://www.sec.gov/Archives/edgar/data/701374/000104746903010157/a2106294z10-k.htm,https://www.sec.gov/Archives/edgar/data/701374/000110465904007213/a04-3302_110k.htm,https://www.sec.gov/Archives/edgar/data/701374/000110465905011331/a05-1844_110k.htm,https://www.sec.gov/Archives/edgar/data/701374/000110465906017199/a06-1991_210k.htm,https://www.sec.gov/Archives/edgar/data/701374/000110465907019664/a07-5540_110k.htm,https://www.sec.gov/Archives/edgar/data/701374/000104746908002688/a2183546z10-k.htm,https://www.sec.gov/Archives/edgar/data/701374/000104746909002486/0001047469-09-002486-index.html,https://www.sec.gov/Archives/edgar/data/701374/000110465910012502/0001104659-10-012502-index.html,https://www.sec.gov/Archives/edgar/data/701374/000104746911001989/a2202589z10-k.htm,https://www.sec.gov/Archives/edgar/data/701374/000104746912001618/0001047469-12-001618-index.html,https://www.sec.gov/Archives/edgar/data/701374/000104746913001833/0001047469-13-001833-index.html,https://www.sec.gov/Archives/edgar/data/701374/000070137414000018/form10k_123113.htm,https://www.sec.gov/Archives/edgar/data/701374/000070137415000014/form10k_123114.htm,https://www.sec.gov/Archives/edgar/data/701374/000070137416000189/0000701374-16-000189-index.html,https://www.sec.gov/Archives/edgar/data/701374/000070137417000037/0000701374-17-000037-index.html,https://www.sec.gov/Archives/edgar/data/701374/000070137418000051/0000701374-18-000051-index.html,https://www.sec.gov/Archives/edgar/data/701374/000070137419000048/0000701374-19-000048-index.html,https://www.sec.gov/Archives/edgar/data/701374/000155837020001092/0001558370-20-001092-index.html,https://www.sec.gov/Archives/edgar/data/701374/000155837021001835/0001558370-21-001835-index.htm,undefined
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,28787000,4000000,84300000,400600000,138100000,42978000,53534000,36640000,115089000,68807000,81534000,24295000,28388000,210332000,164830000,187061000,231427000,629208000,169310000,73884000,99760000,137385000,77496000,44608000,174179000,157760000,- -
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3926000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,28787000,4000000,84300000,400600000,138100000,42978000,53534000,36640000,115089000,68807000,81534000,24295000,28388000,210332000,164830000,187061000,231427000,629208000,169310000,73884000,99760000,141311000,77496000,44608000,174179000,157760000,- -
34,Net Receivables,965000,1200000,7500000,31500000,29200000,40771000,35470000,40019000,37750000,22438000,51308000,40843000,26512000,20057000,19862000,20255000,18461000,29523000,51609000,58823000,63803000,69018000,72693000,116043000,108679000,36610000,- -
35,Inventory,2904000,4200000,5500000,21700000,23600000,28588000,26275000,34648000,31746000,27832000,27933000,23126000,26361000,24909000,21809000,23542000,20973000,22280000,22172000,21099000,21535000,24156000,24960000,28779000,32951000,39191000,- -
36,Other Current Assets,2352000,3400000,3800000,235200000,57300000,48628000,40455000,105739000,354048000,171521000,39187000,44611000,39144000,41450000,48646000,36055000,38668000,82463000,110767000,147118000,42879000,44306000,45923000,52499000,60431000,73179000,- -
37,Total Current Assets,35008000,12800000,101100000,689000000,248200000,160965000,155734000,217046000,538633000,290598000,199962000,132875000,120405000,296748000,255147000,266913000,309529000,763474000,353858000,300924000,227977000,278791000,221072000,241929000,376240000,306740000,- -
38,PP&E,129242000,245300000,450300000,1854700000,2449300000,2644538000,2335700000,2400088000,2748994000,2020038000,1927591000,1661633000,1641068000,1560473000,1478432000,1365085000,1291837000,1254629000,1231683000,1218106000,1198154000,1211255000,1237957000,1253682000,1485124000,1447998000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,630248000,630248000,630248000,630248000,630248000,630248000,630248000,630248000,659618000,659618000,659618000,- -
40,Intangible Assets,- -,30800000,45900000,1278200000,1259600000,1206609000,1213666000,1146785000,1303373000,1234716000,1207429000,1050481000,1064318000,1059486000,1060625000,410755000,392548000,376565000,362113000,359358000,356428000,353972000,351587000,349029000,345212000,344198000,- -
41,Intangible Assets,- -,30800000,45900000,1278200000,1259600000,1206609000,1213666000,1146785000,1303373000,1234716000,1207429000,1050481000,1064318000,1059486000,1060625000,1041003000,1022796000,1006813000,992361000,989606000,986676000,984220000,981835000,1008647000,1004830000,1003816000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82228000,100970000,2938000,513000,1218000,1823000,2471000,3036000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,9068000,15900000,14000000,230600000,204500000,179227000,541042000,481239000,83716000,96875000,158137000,342627000,119528000,31910000,12478000,57314000,23503000,30257000,28089000,23812000,12597000,13406000,15812000,13070000,16346000,14137000,- -
45,Total Non-Current Assets,138310000,292000000,510200000,3363500000,3913400000,4030374000,4090408000,4028112000,4136083000,3351629000,3293157000,3054741000,2824914000,2734097000,2652505000,2466340000,2338649000,2292917000,2253956000,2233995000,2200463000,2208881000,2235604000,2275399000,2506300000,2465951000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,173318000,304800000,611300000,4052500000,4161600000,4191339000,4246142000,4245158000,4674716000,3642227000,3493119000,3187616000,2945319000,3030845000,2907652000,2733253000,2648178000,3056391000,2607814000,2534919000,2428440000,2487672000,2456676000,2517328000,2882540000,2772691000,- -
48,Accounts Payable,- -,11100000,23200000,25300000,37900000,45315000,33056000,42650000,42658000,25817000,31101000,30017000,42748000,25060000,25323000,33342000,23823000,23580000,24464000,19315000,25570000,26209000,28998000,32905000,32904000,26582000,- -
49,Short-Term Debt,56000,1500000,800000,198000000,2100000,2401000,24627000,20072000,326558000,147462000,113601000,114059000,18715000,253970000,308749000,32959000,35296000,6240000,6269000,6301000,7506000,29161000,- -,43000000,8000000,14054000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,15237000,15409000,19068000,9392000,7289000,11159000,23329000,17594000,19904000,25251000,38156000,52703000,60443000,71598000,97334000,123955000,142014000,146227000,144040000,205125000,- -
52,Other Current Liabilities,11528000,4300000,9800000,133900000,119300000,95868000,81869000,95885000,124590000,111877000,120579000,136186000,132530000,146221000,69471000,113697000,124474000,99340000,125634000,134457000,141648000,136627000,126828000,146228000,154788000,206644000,- -
53,Total Current Liabilities,11584000,16900000,33800000,357200000,159300000,143584000,154789000,174016000,512874000,294548000,272570000,291421000,217322000,442845000,423447000,205249000,221749000,181863000,216810000,231671000,272058000,315952000,297840000,368360000,339732000,452405000,- -
54,Long-Term Debt,90000000,149300000,216200000,1862700000,2202900000,2319912000,2222442000,2293732000,2359844000,2125121000,2128756000,2126888000,2239073000,2112272000,829526000,938195000,921940000,1398966000,1394334000,1389215000,1498022000,1624486000,2021178000,2063512000,2266884000,2810073000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,19145000,20600000,33500000,152000000,142000000,144919000,109926000,83021000,50651000,14491000,14345000,13784000,14901000,121710000,120602000,237509000,220734000,65070000,145830000,187197000,140273000,199280000,106851000,173998000,247121000,101831000,- -
57,Other Non-Current Liabilities,7367000,4800000,4100000,54000000,41800000,37937000,312363000,334697000,324504000,321091000,326963000,329388000,311293000,797843000,2118251000,484137000,516607000,514339000,477503000,502941000,493871000,534444000,535919000,554551000,744921000,566929000,- -
58,Total Non-Current Liabilities,116512000,174700000,253800000,2068700000,2386700000,2502768000,2644731000,2711450000,2734999000,2460703000,2470064000,2470060000,2565267000,3031825000,3068379000,1659841000,1659281000,1978375000,2017667000,2079353000,2132166000,2358210000,2663948000,2792061000,3258926000,3478833000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,198858000,201486000,- -
61,Total Liabilities,128096000,191600000,287600000,2425900000,2546000000,2646352000,2799520000,2885466000,3247873000,2755251000,2742634000,2761481000,2782589000,3474670000,3491826000,1865090000,1881030000,2160238000,2234477000,2311024000,2404224000,2674162000,2961788000,3160421000,3598658000,3931238000,- -
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,244000,- -,- -,- -,2000000,2001000,2310000,2315000,2315000,2326000,2330000,2360000,2381000,2443000,2458000,697000,1366000,1345000,2371000,2323000,2289000,2271000,2112000,2099000,2116000,2126000,- -
64,Retained Earnings,-33105000,-31300000,-17200000,100000,-53700000,-128928000,-211006000,-338674000,-422357000,-909134000,-1042042000,-1384094000,-1659223000,-1794156000,-2059487000,48404000,-20088000,15849000,-438825000,-702116000,-953225000,-1237804000,-1529608000,-1611334000,-1709747000,-2153368000,- -
65,Other Comprehensive Income/Loss,-10135000,-17800000,-35600000,-116200000,-207700000,-328027000,-465656000,-624961000,-900534000,-854555000,-17000000,-10000000,11000000,-56000000,-33000000,-4000000,-50000000,-49000000,-33000000,-60000000,-67000000,-67000000,-64000000,-71000000,-75000000,-96504000,- -
66,Other Total Stockholders Equity,88218000,162300000,376500000,1742700000,1875000000,1999941000,2120974000,2321012000,2682626000,2587428000,1750920000,1767874000,1393222000,1403888000,1505855000,818607000,832200000,924025000,842791000,983688000,1042152000,1116043000,1086384000,1037142000,1066513000,1089199000,- -
67,Total Stockholders Equity,45222000,113200000,323700000,1626600000,1615600000,1544987000,1446622000,1359692000,1362050000,826065000,694208000,376140000,-252620000,-443825000,-584174000,863708000,763478000,892219000,373337000,223895000,24216000,-186490000,-505112000,-643093000,-716118000,-1158547000,- -
68,Total Liabilities And Stockholders Equity,173318000,304800000,611300000,4052500000,4161600000,4191339000,4246142000,4245158000,4609923000,3581316000,3436842000,3137621000,2529969000,3030845000,2907652000,2728798000,2644508000,3052457000,2607814000,2534919000,2428440000,2487672000,2456676000,2517328000,2882540000,2772691000,- -
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,64793000,60911000,56277000,49995000,415350000,- -,- -,4455000,3670000,3934000,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,173318000,304800000,611300000,4052500000,4161600000,4191339000,4246142000,4245158000,4674716000,3642227000,3493119000,3187616000,2945319000,3030845000,2907652000,2733253000,2648178000,3056391000,2607814000,2534919000,2428440000,2487672000,2456676000,2517328000,2882540000,2772691000,- -
71,SEC Link,https://www.sec.gov/Archives/edgar/data/701374/000095011296000962/0000950112-96-000962-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/701374/000100547701002422/0001005477-01-002422-index.html,https://www.sec.gov/Archives/edgar/data/701374/000091205702012407/0000912057-02-012407-index.html,https://www.sec.gov/Archives/edgar/data/701374/000104746903010157/a2106294z10-k.htm,https://www.sec.gov/Archives/edgar/data/701374/000110465904007213/a04-3302_110k.htm,https://www.sec.gov/Archives/edgar/data/701374/000110465905011331/a05-1844_110k.htm,https://www.sec.gov/Archives/edgar/data/701374/000110465906017199/a06-1991_210k.htm,https://www.sec.gov/Archives/edgar/data/701374/000110465907019664/a07-5540_110k.htm,https://www.sec.gov/Archives/edgar/data/701374/000104746908002688/a2183546z10-k.htm,https://www.sec.gov/Archives/edgar/data/701374/000104746909002486/0001047469-09-002486-index.html,https://www.sec.gov/Archives/edgar/data/701374/000110465910012502/0001104659-10-012502-index.html,https://www.sec.gov/Archives/edgar/data/701374/000104746911001989/a2202589z10-k.htm,https://www.sec.gov/Archives/edgar/data/701374/000104746912001618/0001047469-12-001618-index.html,https://www.sec.gov/Archives/edgar/data/701374/000104746913001833/0001047469-13-001833-index.html,https://www.sec.gov/Archives/edgar/data/701374/000070137414000018/form10k_123113.htm,https://www.sec.gov/Archives/edgar/data/701374/000070137415000014/form10k_123114.htm,https://www.sec.gov/Archives/edgar/data/701374/000070137416000189/0000701374-16-000189-index.html,https://www.sec.gov/Archives/edgar/data/701374/000070137417000037/0000701374-17-000037-index.html,https://www.sec.gov/Archives/edgar/data/701374/000070137418000051/0000701374-18-000051-index.html,https://www.sec.gov/Archives/edgar/data/701374/000070137419000048/0000701374-19-000048-index.html,https://www.sec.gov/Archives/edgar/data/701374/000155837020001092/0001558370-20-001092-index.html,https://www.sec.gov/Archives/edgar/data/701374/000155837021001835/0001558370-21-001835-index.htm,undefined
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-1185000,1800000,14100000,34800000,-30500000,-51959000,-58102000,-105698000,-61713000,-464809000,-110938000,-305618000,-253159000,-112963000,-229167000,598900000,-22660000,354009000,118552000,76022000,154690000,118302000,273816000,275996000,179065000,-423380000,- -
74,Depreciation and Amortization,3866000,9300000,21700000,115200000,161100000,188562000,209170000,160801000,194931000,159539000,153577000,141834000,146454000,139609000,145891000,164000000,168999000,148045000,128075000,108107000,107411000,106893000,111671000,115693000,118230000,120173000,- -
75,Deferred Income Tax,-808000,1400000,6700000,38700000,17100000,2217000,-14667000,-18091000,-36492000,27627000,152000,-507000,1236000,109620000,-1650000,- -,-14701000,-182241000,34915000,33291000,54496000,63286000,-1571000,72893000,78386000,-134199000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6202000,2597000,18668000,54261000,62875000,27034000,140038000,56233000,116339000,-22697000,-46684000,13274000,19530000,- -
77,Change in Working Capital,3428000,-27524000,71400000,264500000,-242900000,-71519000,-16436000,42085000,-17271000,-29709000,-68658000,-85938000,61629000,-49180000,-22203000,229964000,26116000,493831000,-444563000,-67795000,-113334000,6920000,-39607000,-49663000,162939000,-182173000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2638000,-988000,11456000,844000,-10497000,-22146000,-7764000,-6072000,-6157000,-3108000,-39193000,7725000,71654000,- -
79,Inventory,- -,- -,-1200000,-12200000,-2200000,-8011000,-1596000,2050000,9908000,-9976000,-2971000,1778000,-5384000,-5123000,-4553000,17480000,-549000,-2352000,-2062000,-5744000,306000,-4948000,-1847000,-3769000,-14709000,-19452000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-52757000,817000,12455000,12147000,13293000,41775000,16134000,5478000,-13750000,-15472000,79075000,- -
81,Other Working Capital,23424000,-4100000,67300000,331800000,88900000,17381000,945000,43030000,25759000,-3950000,-72608000,-158546000,-96917000,-146097000,-168300000,61664000,87780000,581611000,137048000,69253000,-44081000,-37161000,-76768000,-126431000,36508000,-145665000,- -
82,Other Non-Cash Items,5345000,26324000,-66700000,-334200000,292500000,108860000,63326000,125386000,92229000,340551000,147191000,260033000,6338000,-26359000,182295000,-946632000,62922000,-504887000,504669000,102660000,214265000,51495000,123455000,44897000,-141321000,409169000,- -
83,Cash Provided by Operating Activities,10646000,11300000,47200000,119000000,197300000,176161000,183291000,204483000,171684000,33199000,121324000,9804000,-37502000,66929000,77763000,64900000,274937000,371632000,368682000,392323000,473761000,463235000,445067000,413132000,410573000,-190880000,- -
84,CAPEX,-10732000,-155600000,-217400000,-1354500000,-669300000,-334226000,-160265000,-170181000,-112917000,-109217000,-171245000,-122586000,-117594000,-99944000,-101048000,-52171000,-91680000,-99989000,-101928000,-108709000,-114399000,-129383000,-135219000,-135624000,-143913000,-100878000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,117000,-132165000,-5415000,-5764000,- -,- -,-417000,-54132000,- -,- -,3000000,-25000,69987000,- -,10031000,- -,- -,- -,-19059000,- -,- -,- -
86,Purchases of Investments,-63000,- -,- -,-321800000,- -,- -,- -,-469933000,-317913000,-134508000,- -,-11091000,-41294000,-3330000,-1964000,-312000,- -,-706000,-621000,-648000,-565000,-890000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,11400000,214900000,38959000,20100000,469991000,75111000,317913000,134508000,- -,- -,- -,15638000,- -,2425000,- -,16000,- -,- -,- -,3926000,- -,- -,- -,- -
88,Other Investing Activites,-63344000,500000,300000,- -,-51800000,-41913000,-11711000,3993000,-871000,326911000,-343000,94078000,277199000,8865000,4078000,10683000,752000,3051000,155000,949000,5267000,2407000,1130000,2571000,4787000,9984000,- -
89,Cash Used for Investing Activites,-74139000,-155100000,-217100000,-1664900000,-506200000,-337063000,-284041000,-171545000,-362354000,401099000,-37080000,-40016000,64179000,-93678000,-83188000,-38800000,-88528000,-27657000,-102303000,-98328000,-109668000,-127741000,-130163000,-152112000,-139126000,-90894000,- -
90,Debt Repayment,-22586000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-297535000,-47469000,-13674000,-959412000,-353230000,-6276000,-6308000,-710565000,-333426000,-949161000,-274000000,-802750000,-527003000,- -
91,Common Stock Issued,- -,65300000,189500000,1256300000,2800000,3645000,279182000,889000,- -,- -,78000,164000,- -,- -,- -,599000,9700000,40929000,30860000,38840000,40531000,36501000,62502000,43705000,19627000,3528000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,631100000,-59998000,-231984000,-523589000,-195353000,-245114000,-211751000,-499442000,-110990000,-52000,-54000,- -
93,Dividends Paid,- -,- -,- -,-11600000,-23300000,-23288000,-22845000,-20844000,-20844000,-20844000,-20844000,-20844000,-20844000,-5211000,- -,-1600000,-9791000,-148286000,-176171000,-184300000,-200957000,-220314000,-227101000,-267044000,-278951000,-22499000,- -
94,Other Financing Activites,113500000,53800000,60700000,616400000,70000000,86592000,-144922000,-33011000,283299000,-443451000,-51541000,-5214000,-2084000,513220000,6597000,-621525000,879896000,744249000,-49954000,-38031000,782617000,436244000,1236326000,314847000,919119000,812749000,- -
95,Cash Used/Provided by Financing Activities,90914000,119100000,250200000,1861100000,49500000,66949000,111415000,-52966000,262455000,-464295000,-72307000,-25894000,-22928000,210474000,-40872000,-5100000,-139605000,51678000,-725130000,-385152000,-333488000,-292746000,-376876000,-293482000,-143007000,266721000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,1100000,-3100000,-1200000,-109000,3134000,1745000,615000,790000,-109000,344000,-1781000,795000,1200000,-2438000,2128000,-1147000,-4269000,-4729000,-5123000,2083000,-426000,1131000,-1366000,- -
97,Net Change In Cash,27421000,119100000,250200000,1861100000,-262500000,-95153000,10556000,-16894000,73530000,-29382000,12727000,-56215000,4093000,181944000,-45502000,22200000,44366000,397781000,-459898000,-95426000,25876000,37625000,-59889000,-32888000,129571000,-16419000,- -
98,Cash at the End of Period,28787000,- -,- -,- -,138100000,42978000,53534000,36640000,115089000,68807000,81534000,24295000,28388000,210332000,164830000,187000000,231427000,629208000,169310000,73884000,99760000,137385000,77496000,44608000,174179000,157760000,- -
99,Cash at the Beginning of Period,1366000,28800000,4000000,84300000,400600000,138131000,42978000,53534000,41559000,98189000,68807000,80510000,24295000,28388000,210332000,164800000,187061000,231427000,629208000,169310000,73884000,99760000,137385000,77496000,44608000,174179000,- -
100,Free Cash Flow,-86000,-144300000,-170200000,-1235500000,-472000000,-158065000,23026000,34302000,58767000,-76018000,-49921000,-112782000,-155096000,-33015000,-23285000,-30300000,183257000,271643000,266754000,283614000,359362000,333852000,309848000,277508000,266660000,-291758000,- -
