,https://roic.ai/company/RRC,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,117367000,131192000,125052000,168798000,176557000,168977000,166439000,168213000,195679000,210209000,194285000,192667000,227336000
14,Depreciation and Amortization,1100000,1400000,2400000,3100000,4300000,10100000,14900000,22300000,56400000,60200000,77700000,74262000,79534000,77719000,87756000,104042000,129176000,171488000,229605000,299831000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,473285000,364555000
15,EBITDA,1200000,1700000,2900000,4000000,5800000,12800000,21100000,41700000,21300000,-169500000,71500000,110649000,96791000,99043000,141660000,170818000,306555000,453916000,558935000,842425000,58635000,-234751000,218635000,193854000,326136000,1199862000,-885923000,-633925000,277799000,-1566761000,-2022303000,-71377000,993926000
16,EBITDA ratio,0.2791,0.2615,0.3021,0.3008,0.3037,0.3732,0.4154,0.4744,0.1503,-1.1562,0.4435,0.5894,0.4411,0.5070,0.5685,0.5326,0.5720,0.5821,0.6463,0.6368,0.0646,-0.2259,0.1855,0.1418,0.1780,0.5874,-0.7497,-0.4657,0.1159,-0.4700,-0.7775,-0.0401,0.2776
17,Operating Income,-100000,200000,300000,1300000,2500000,5100000,10400000,23500000,43100000,18900000,25500000,58577000,76570000,42463000,71578000,89895000,227044000,378917000,346210000,590500000,54806000,304969000,300188000,282383000,422917000,564224000,-297700000,-236485000,326992000,654898000,100867000,-198993000,402035000
18,Operating Income ratio,-0.0233,0.0308,0.0313,0.0977,0.1309,0.1487,0.2047,0.2673,0.3042,0.1289,0.1582,0.3120,0.3490,0.2174,0.2872,0.2803,0.4236,0.4860,0.4003,0.4464,0.0604,0.2935,0.2547,0.2066,0.2308,0.2762,-0.2519,-0.1737,0.1364,0.1964,0.0388,-0.1117,0.1123
19,Total Other Income Expenses (Gains),600000,500000,200000,-400000,-1000000,-2400000,-4200000,-4100000,-78200000,-248600000,-34100000,-39953000,-89876000,-23153000,-22165000,-23119000,-49665000,-57577000,-80473000,-47906000,-113538000,-670912000,-221925000,-257327000,-273338000,466661000,-754662000,-565653000,-244872000,-2431868000,-2317455000,-538336000,- -
20,Income Before Tax,- -,- -,500000,900000,1500000,2700000,6200000,19400000,-35100000,-229700000,-8600000,18624000,-13306000,19310000,49413000,66776000,177379000,321340000,265737000,542594000,-58732000,-365943000,78263000,25056000,149579000,1030885000,-1052362000,-802138000,82120000,-1776970000,-2216588000,-737329000,402035000
21,Income Before Tax Ratio,- -,- -,0.0521,0.0677,0.0785,0.0787,0.1220,0.2207,-0.2477,-1.5668,-0.0533,0.0992,-0.0606,0.0989,0.1983,0.2082,0.3310,0.4121,0.3073,0.4101,-0.0647,-0.3522,0.0664,0.0183,0.0816,0.5047,-0.8905,-0.5892,0.0342,-0.5330,-0.8522,-0.4140,0.1123
22,Income Tax expense (Gain),- -,- -,100000,200000,100000,100000,1800000,6800000,-11800000,-54500000,1600000,-1574000,-406000,-4442000,18489000,24545000,66368000,123726000,98761000,196436000,-4862000,-126687000,35557000,12054000,33857000,396503000,-338677000,-280750000,-251026000,-30489000,-500291000,-25552000,-9743000
23,Net Income,100000,300000,400000,700000,1400000,2600000,4400000,12600000,-23300000,-175200000,-7800000,37961000,17663000,25766000,35415000,42231000,111011000,158702000,230569000,346158000,-53870000,-239256000,58026000,13002000,115722000,634382000,-713685000,-521388000,333146000,-1746481000,-1716297000,-711777000,411778000
24,Net Income ratio,0.0233,0.0462,0.0417,0.0526,0.0733,0.0758,0.0866,0.1433,-0.1644,-1.1951,-0.0484,0.2022,0.0805,0.1319,0.1421,0.1317,0.2071,0.2035,0.2666,0.2617,-0.0594,-0.2303,0.0492,0.0095,0.0632,0.3106,-0.6039,-0.3830,0.1389,-0.5239,-0.6599,-0.3997,0.1150
25,EPS,0.02,0.06,0.06,0.05,0.13,0.17,0.21,0.46,-0.87,-4.55,-0.18,0.66,0.13,0.33,0.43,0.39,0.89,1.19,1.60,2.29,-0.35,-1.53,0.36,0.08,0.71,3.81,-4.29,-2.75,1.34,-7.10,-6.92,-2.95,1.69
26,EPS Diluted,0.02,0.06,0.06,0.05,0.12,0.17,0.21,0.46,-0.87,-4.55,-0.18,0.66,0.13,0.31,0.41,0.38,0.86,1.14,1.54,2.22,-0.35,-1.53,0.36,0.08,0.70,3.79,-4.29,-2.75,1.34,-7.10,-6.92,-2.95,1.69
27,Weighted Average Shares Outstanding,4872564,4872564,6443778,7496252,11047108,13193403,17761500,22218000,26679389,38533724,43333333,55328788,75820253,78875510,81121875,94240678,124731461,133363025,143791000,151116000,154514000,156874000,158030000,159431000,160438000,163625000,166389000,189868000,245091000,246171000,247970000,241373000,243311000
28,Weighted Average Shares Outstanding Diluted,4872564,4872564,6443778,7496252,11660836,13193403,19276076,25801053,26679389,38533724,43333333,55328788,75820253,82231915,85111475,97547368,129082558,139212281,149911000,155943000,154514000,156874000,159441000,160307000,161407000,164403000,166389000,189868000,245458000,246171000,247970000,241373000,243311000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/315852/0000950152-96-001063-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/315852/000095015201001323/0000950152-01-001323-index.html,https://www.sec.gov/Archives/edgar/data/315852/000095013402001785/0000950134-02-001785-index.html,- -,https://www.sec.gov/Archives/edgar/data/315852/000095013404002820/0000950134-04-002820-index.html,https://www.sec.gov/Archives/edgar/data/315852/000095013405004035/d22834e10vk.htm,https://www.sec.gov/Archives/edgar/data/315852/000095013406003597/d33224e10vk.htm,https://www.sec.gov/Archives/edgar/data/315852/000095013407004234/d43924e10vk.htm,https://www.sec.gov/Archives/edgar/data/315852/000095013408003528/d53953e10vk.htm,https://www.sec.gov/Archives/edgar/data/315852/000095013409003627/0000950134-09-003627-index.html,https://www.sec.gov/Archives/edgar/data/315852/000095012310015884/0000950123-10-015884-index.html,https://www.sec.gov/Archives/edgar/data/315852/000095012311020409/d78300e10vk.htm,https://www.sec.gov/Archives/edgar/data/315852/000119312512071388/0001193125-12-071388-index.html,https://www.sec.gov/Archives/edgar/data/315852/000119312513077384/0001193125-13-077384-index.html,https://www.sec.gov/Archives/edgar/data/315852/000156459014000349/rrc-10k_20131231.htm,https://www.sec.gov/Archives/edgar/data/315852/000156459015000899/rrc-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/315852/000156459016013402/0001564590-16-013402-index.html,https://www.sec.gov/Archives/edgar/data/315852/000156459017002025/0001564590-17-002025-index.html,https://www.sec.gov/Archives/edgar/data/315852/000156459018003566/0001564590-18-003566-index.html,https://www.sec.gov/Archives/edgar/data/315852/000156459019004113/0001564590-19-004113-index.html,https://www.sec.gov/Archives/edgar/data/315852/000156459020007459/0001564590-20-007459-index.html,https://www.sec.gov/Archives/edgar/data/315852/000156459021007606/0001564590-21-007606-index.htm,https://www.sec.gov/Archives/edgar/data/315852/000095017022001634/0000950170-22-001634-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,900000,1300000,1200000,2300000,2000000,4900000,3000000,8600000,9700000,11000000,12900000,2485000,3380000,1334000,631000,18382000,4750000,2382000,4018000,753000,767000,2848000,92000,252000,348000,448000,471000,314000,448000,545000,546000,458000,214422000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,900000,1300000,1200000,2300000,2000000,4900000,3000000,8600000,9700000,11000000,15000000,2485000,3380000,1334000,631000,18382000,4750000,2382000,4018000,753000,767000,2848000,92000,252000,348000,448000,471000,314000,448000,545000,546000,458000,214422000
34,Net Receivables,1200000,2300000,3200000,3600000,7800000,9400000,14900000,18100000,29200000,37500000,34100000,54021000,32295000,32932000,42145000,81942000,128532000,130349000,166484000,162201000,123622000,105983000,127180000,167495000,179667000,188941000,123842000,241718000,348833000,490723000,272900000,252642000,501275000
35,Inventory,200000,100000,400000,400000,900000,1600000,1100000,800000,2800000,3400000,4100000,5580000,4895000,3084000,3329000,9168000,12593000,14714000,11387000,19927000,21292000,21433000,14070000,22315000,12451000,17854000,33217000,26573000,21346000,22964000,- -,- -,- -
36,Other Current Assets,100000,100000,- -,-100000,100000,- -,100000,7700000,8000000,55000000,19700000,- -,37165000,4000,19987000,26844000,62102000,172892000,79925000,221430000,29599000,131450000,173921000,137552000,55835000,363049000,281544000,13278000,58607000,87953000,154356000,36740000,20968000
37,Total Current Assets,2400000,3800000,4800000,6200000,10800000,15900000,19100000,35200000,49700000,106900000,72900000,62086000,77735000,37354000,66092000,136336000,207977000,320337000,261814000,404311000,175280000,261714000,315263000,327614000,248301000,570292000,439074000,281883000,429234000,602185000,427802000,289840000,736665000
38,PP&E,4500000,9200000,18200000,22100000,61700000,113000000,176700000,229400000,629200000,662100000,595300000,593096000,551537000,582478000,745688000,1439641000,1780426000,2723819000,3564934000,4938938000,4990654000,4996790000,5210244000,6137751000,6791221000,8015154000,6380760000,9273210000,9581403000,9032961000,6108463000,5754551000,5798982000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1654292000,1641197000,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1654292000,1641197000,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,146809000,155105000,138130000,132449000,129034000,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15785000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,800000,1300000,- -,3800000,12900000,18900000,17900000,85300000,152600000,84200000,33983000,53190000,22867000,18311000,19429000,30582000,143518000,189760000,219294000,83138000,84977000,181833000,130921000,130530000,161334000,80197000,72860000,77007000,73008000,76138000,92545000,124860000
45,Total Non-Current Assets,4500000,10000000,19500000,22100000,65500000,125900000,195600000,247300000,714500000,814700000,679500000,627079000,604727000,621130000,763999000,1459070000,1811008000,2867337000,3754694000,5158232000,5220601000,5236872000,5530207000,6401121000,7050785000,8176488000,6460957000,11000362000,11299607000,9105969000,6184601000,5847096000,5923842000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,6900000,13800000,24300000,28300000,76300000,141800000,214700000,282500000,764200000,921600000,752400000,689165000,682462000,658484000,830091000,1595406000,2018985000,3187674000,4016508000,5562543000,5395881000,5498586000,5845470000,6728735000,7299086000,8746780000,6900031000,11282245000,11728841000,9708154000,6612403000,6136936000,6660507000
48,Accounts Payable,- -,- -,2100000,3800000,4900000,8400000,9100000,14400000,32300000,28200000,23900000,26730000,27202000,27044000,32105000,78723000,119907000,172081000,212514000,250640000,214548000,312475000,311369000,234651000,258431000,396942000,117346000,229190000,343871000,227344000,155341000,132421000,178413000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,100000,- -,400000,55200000,5000000,14000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45356000,218017000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14488000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1500000,3100000,2600000,2300000,4500000,6500000,5500000,7900000,22200000,33000000,24700000,19115000,20677000,40162000,74859000,98439000,201853000,60275000,92919000,102874000,85068000,118087000,200563000,220492000,237130000,358322000,234374000,473463000,411602000,527467000,411203000,529064000,756035000
53,Total Current Liabilities,1500000,3100000,4700000,6100000,9400000,14900000,14700000,22300000,54900000,116400000,53600000,45859000,47879000,67206000,106964000,177162000,321760000,232356000,305433000,353514000,314104000,430562000,511932000,455143000,495561000,755264000,351720000,702653000,755473000,754811000,566544000,706841000,1152465000
54,Long-Term Debt,4300000,4200000,11700000,12700000,30700000,61900000,83000000,116800000,366700000,552000000,453900000,365459000,302491000,283201000,358180000,620556000,616148000,1048782000,1150658000,1790668000,1707833000,1960536000,1974967000,2878185000,3140516000,3073000000,2651303000,3773517000,4108806000,3836861000,3172937000,3083407000,2732631000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,4000000,16400000,17700000,25900000,25600000,- -,- -,- -,4496000,- -,10843000,117713000,174817000,468643000,590786000,783391000,776965000,672041000,710490000,698302000,771980000,997494000,777947000,943343000,693356000,666668000,160196000,135267000,117642000
57,Other Non-Current Liabilities,100000,100000,-100000,-100000,-100000,100000,100000,- -,- -,- -,- -,- -,89740000,101968000,80038000,113635000,209337000,181732000,241609000,177137000,218390000,211686000,255661000,339713000,476577000,463593000,359403000,454364000,396934000,390383000,365238000,573886000,572106000
58,Total Non-Current Liabilities,4400000,4300000,11600000,12600000,34600000,78400000,100800000,142700000,392300000,552000000,453900000,365459000,396727000,385169000,449061000,851904000,1000302000,1699157000,1983053000,2751196000,2703188000,2844263000,2941118000,3916200000,4389073000,4534087000,3788653000,5171224000,5199096000,4893912000,3698371000,3792560000,3422379000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41068000,43155000,24861000
61,Total Liabilities,5900000,7400000,16300000,18700000,44000000,93300000,115500000,165000000,447200000,668400000,507500000,411318000,444606000,452375000,556025000,1029066000,1322062000,1931513000,2288486000,3104710000,3017292000,3274825000,3453050000,4371343000,4884634000,5289351000,4140373000,5873877000,5954569000,5648723000,4264915000,4499401000,4574844000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,492000,526000,550000,564000,812000,1218000,1389000,1497000,1556000,1583000,1601000,1613000,1626000,1634000,1687000,1693000,2471000,2481000,2495000,2514000,2563000,2598000
64,Retained Earnings,-11300000,-11300000,-11200000,-10900000,-9800000,-7500000,-4000000,5300000,-22400000,-203400000,-214600000,-178223000,-183825000,-158059000,-124011000,-89597000,13800000,160313000,371800000,692059000,606529000,341699000,373969000,360990000,450583000,1058355000,317587000,-117317000,195990000,-1570462000,-3306834000,-4018685000,-3607055000
65,Other Comprehensive Income/Loss,-6300000,-9200000,-10500000,-12600000,-13100000,-20400000,-33400000,-53100000,-161400000,-273700000,-383600000,-455436000,-527380000,-606214000,-658341000,-716808000,-147000000,37000000,-27000000,78000000,6000000,67000000,157000000,84000000,6000000,-2680625000,-2725589000,-3225739000,-1000000,-1000000,-1000000,-479000,-150000
66,Other Total Stockholders Equity,18600000,26900000,29700000,33000000,55200000,71100000,136600000,165300000,380800000,610300000,725000000,818374000,946300000,969832000,1005854000,1371933000,828905000,1057459000,1381725000,1686218000,1764477000,1813461000,1859838000,1910776000,1956235000,5078012000,5165967000,8748953000,5576801000,5628398000,5652808000,5654136000,5690270000
67,Total Stockholders Equity,1000000,6400000,8000000,9500000,32300000,43200000,99200000,117500000,197000000,133200000,127200000,185207000,235621000,206109000,274066000,566340000,696923000,1256161000,1728022000,2457833000,2378589000,2223761000,2392420000,2357392000,2414452000,3457429000,2759658000,5408368000,5774272000,4059431000,2347488000,1637535000,2085663000
68,Total Liabilities And Stockholders Equity,6900000,13800000,24300000,28200000,76300000,136500000,214700000,282500000,644200000,801600000,634700000,596525000,680227000,658484000,830091000,1595406000,2018985000,3187674000,4016508000,5562543000,5395881000,5498586000,5845470000,6728735000,7299086000,8746780000,6900031000,11282245000,11728841000,9708154000,6612403000,6136936000,6660507000
69,Minority Interest,- -,- -,- -,100000,- -,5300000,- -,- -,120000000,120000000,117700000,92640000,2235000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,6900000,13800000,24300000,28300000,76300000,141800000,214700000,282500000,764200000,921600000,752400000,689165000,682462000,658484000,830091000,1595406000,2018985000,3187674000,4016508000,5562543000,5395881000,5498586000,5845470000,6728735000,7299086000,8746780000,6900031000,11282245000,11728841000,9708154000,6612403000,6136936000,6660507000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/315852/0000950152-96-001063-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/315852/000095015201001323/0000950152-01-001323-index.html,https://www.sec.gov/Archives/edgar/data/315852/000095013402001785/0000950134-02-001785-index.html,- -,https://www.sec.gov/Archives/edgar/data/315852/000095013404002820/0000950134-04-002820-index.html,https://www.sec.gov/Archives/edgar/data/315852/000095013405004035/d22834e10vk.htm,https://www.sec.gov/Archives/edgar/data/315852/000095013406003597/d33224e10vk.htm,https://www.sec.gov/Archives/edgar/data/315852/000095013407004234/d43924e10vk.htm,https://www.sec.gov/Archives/edgar/data/315852/000095013408003528/d53953e10vk.htm,https://www.sec.gov/Archives/edgar/data/315852/000095013409003627/0000950134-09-003627-index.html,https://www.sec.gov/Archives/edgar/data/315852/000095012310015884/0000950123-10-015884-index.html,https://www.sec.gov/Archives/edgar/data/315852/000095012311020409/d78300e10vk.htm,https://www.sec.gov/Archives/edgar/data/315852/000119312512071388/0001193125-12-071388-index.html,https://www.sec.gov/Archives/edgar/data/315852/000119312513077384/0001193125-13-077384-index.html,https://www.sec.gov/Archives/edgar/data/315852/000156459014000349/rrc-10k_20131231.htm,https://www.sec.gov/Archives/edgar/data/315852/000156459015000899/rrc-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/315852/000156459016013402/0001564590-16-013402-index.html,https://www.sec.gov/Archives/edgar/data/315852/000156459017002025/0001564590-17-002025-index.html,https://www.sec.gov/Archives/edgar/data/315852/000156459018003566/0001564590-18-003566-index.html,https://www.sec.gov/Archives/edgar/data/315852/000156459019004113/0001564590-19-004113-index.html,https://www.sec.gov/Archives/edgar/data/315852/000156459020007459/0001564590-20-007459-index.html,https://www.sec.gov/Archives/edgar/data/315852/000156459021007606/0001564590-21-007606-index.htm,https://www.sec.gov/Archives/edgar/data/315852/000095017022001634/0000950170-22-001634-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,400000,700000,1400000,2600000,4400000,12600000,-23300000,-175200000,-7800000,37961000,17663000,25766000,35415000,42231000,111011000,158702000,230569000,346158000,-53870000,-239256000,58026000,13002000,115722000,634382000,-713685000,-521388000,333146000,-1746481000,-1716297000,-711777000,411778000
74,Depreciation and Amortization,- -,- -,2400000,3100000,4300000,10100000,14900000,22300000,56400000,60200000,77700000,74262000,79534000,77719000,87756000,104042000,129176000,171488000,229605000,299831000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,473285000,- -
75,Deferred Income Tax,- -,- -,- -,- -,-200000,100000,1300000,6100000,-12500000,-54700000,- -,- -,- -,-3353000,18319000,24790000,65297000,121814000,98441000,192168000,-4226000,-125851000,34920000,13832000,34000000,396502000,-338706000,-280848000,-251043000,-30489000,-506438000,-25029000,-17727000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86979000,60136000,119398000,-4295000,-20411000,74685000,30706000,29757000,24891000,48552000,110356000
77,Change in Working Capital,- -,- -,-1100000,- -,1300000,-400000,3400000,8500000,-18100000,-4300000,28800000,-3073000,13629000,-59708000,-11020000,46000,-72957000,201764000,-131600000,94416000,-189621000,-30024000,-27821000,69140000,-119731000,62288000,272326000,-508124000,94531000,173613000,13884000,-278259000,-241707000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1007000,-1937000,-52112000,-48986000,-21212000,-5329000,64704000,-20586000,-102866000,-142381000,214196000,24539000,-250538000
79,Inventory,- -,- -,-300000,200000,-300000,- -,300000,100000,-2000000,7000000,-2000000,-334000,226000,-893000,501000,-6080000,-3452000,-1157000,-1040000,-9246000,-1463000,-333000,865000,-7376000,3785000,-4521000,-14868000,6220000,-2979000,138000,4520000,1010000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,738000,13654000,-13555000,-1023000,-26197000,-27259000,45912000,-4274000,-60374000,-32686000,39231000
81,Other Working Capital,- -,- -,100000,100000,1400000,1000000,4400000,12900000,-5200000,-9500000,19300000,16227000,29856000,-29852000,-40872000,-40826000,-113783000,87981000,-43619000,50797000,-138824000,-168848000,-196669000,-127529000,-247260000,-184972000,87354000,-420770000,-326239000,-152626000,-138742000,-417001000,- -
82,Other Non-Cash Items,- -,- -,-500000,1400000,-2500000,-1200000,-7400000,-11100000,79900000,219000000,-46100000,-35042000,18772000,68768000,-4993000,42174000,93218000,-173893000,215276000,-107806000,839392000,908453000,479533000,490989000,594149000,-134742000,1484176000,1622743000,608914000,2564290000,2865803000,761908000,530248000
83,Cash Provided by Operating Activities,- -,- -,1200000,5200000,4300000,11200000,16600000,38400000,82400000,45000000,52600000,74108000,129598000,109192000,125477000,213283000,325745000,479875000,642291000,824767000,591675000,513322000,631637000,647099000,743538000,954135000,683700000,387068000,816254000,990690000,681843000,268680000,792948000
84,CAPEX,- -,- -,-6900000,-4600000,-27600000,-23100000,-79100000,-60400000,-562500000,-180300000,-25800000,-49026000,-89365000,-111881000,-94603000,-174831000,-288217000,-517393000,-808442000,-918026000,-574280000,-1128480000,-1426045000,-1689693000,-1291397000,-1412390000,-1105524000,-509734000,-1206826000,-1021519000,-747263000,-432433000,-417440000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-103869000,-485564000,-153600000,-360149000,-336453000,-834758000,94788000,- -,- -,- -,3799000,1103000,- -,7180000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12600000,-5400000,-6985000,-11629000,-5106000,-1818000,- -,- -,-21009000,-142648000,-55370000,-7470000,-17715000,-25388000,-60406000,-36136000,-30898000,-28876000,-37019000,-88167000,-46177000,-19039000,-17076000,-30806000
