,https://roic.ai/company/OSTK,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,8348000,3729000,11059000,28846000,198678000,56224000,126965000,101394000,100577000,139757000,124021000,96985000,93547000,148665000,181641000,170262000,183098000,203215000,141512000,112266000,516500000,503341000
32,Short-Term Investments,- -,- -,21603000,11500000,88802000,55799000,- -,46000000,8989000,- -,- -,- -,3055000,- -,- -,- -,- -,- -,- -,10308000,1762000,- -
33,Cash and Short-Term Investments,8348000,3729000,32662000,40346000,287480000,112023000,126965000,147394000,109566000,139757000,124021000,96985000,96602000,148665000,181641000,170262000,183098000,203215000,141512000,122574000,518262000,503341000
34,Net Receivables,- -,1565000,6994000,10183000,5715000,11695000,18340000,13810000,8235000,11640000,13560000,13501000,19273000,16047000,18963000,16128000,28142000,30080000,35930000,27839000,30125000,21190000
35,Inventory,- -,7586000,13954000,29926000,45279000,93269000,20274000,25933000,17723000,23375000,32114000,22993000,26464000,27043000,26208000,20042000,18937000,13703000,14108000,5840000,6243000,5137000
36,Other Current Assets,- -,476000,2333000,4583000,15766000,18141000,14432000,11144000,10455000,17568000,16275000,15714000,13659000,27536000,31250000,42031000,30464000,18199000,23717000,21110000,28110000,22122000
37,Total Current Assets,- -,13356000,55943000,85038000,354240000,235128000,180011000,198281000,145979000,192340000,185970000,149193000,155998000,219291000,258062000,248463000,260641000,265197000,215267000,177363000,582740000,551790000
38,PP&E,- -,5018000,4945000,9483000,16122000,61914000,56198000,27197000,23144000,20618000,27800000,25322000,21037000,27194000,52071000,93696000,134552000,129343000,134687000,155412000,147073000,122063000
39,Goodwill,- -,- -,- -,- -,- -,- -,2784000,2784000,2784000,2784000,2784000,2784000,2784000,2784000,2784000,15387000,14698000,14698000,22895000,27120000,34950000,6160000
40,Intangible Assets,- -,- -,2784000,2784000,2930000,13169000,57000,54000,23000,- -,- -,- -,- -,- -,- -,14656000,10913000,7337000,13370000,11756000,13997000,- -
41,Intangible Assets,- -,- -,2784000,2784000,2930000,13169000,2841000,2838000,2807000,2784000,2784000,2784000,2784000,2784000,2784000,30043000,25611000,22035000,36265000,38876000,48947000,6160000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,11000000,7000000,11750000,13023000,60427000,42043000,47290000,342682000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58797000,50331000,37891000,39998000,- -,109000,- -,- -,40035000
44,Other Non-Current Assets,- -,3340000,284000,427000,2972000,15702000,17115000,4213000,515000,758000,1405000,2260000,2166000,1701000,2617000,12036000,12524000,4217000,14464000,4033000,4164000,3236000
45,Total Non-Current Assets,- -,8358000,8013000,12694000,22024000,90785000,76154000,34248000,26466000,24160000,31989000,30366000,25987000,100476000,118803000,180666000,224435000,168618000,245952000,240364000,247474000,514176000
46,Other Assets,30401000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,30401000,21714000,63956000,97732000,376264000,325913000,256165000,232529000,172445000,216500000,217959000,179559000,181985000,319767000,376865000,429129000,485076000,433815000,461219000,417727000,830214000,1065966000
48,Accounts Payable,- -,3680000,13731000,30363000,64060000,101436000,66039000,70648000,62120000,76623000,67311000,78616000,70832000,101452000,133469000,144833000,123566000,102020000,118446000,91108000,130220000,102293000
49,Short-Term Debt,- -,- -,124000,75000,595000,6683000,5074000,3796000,- -,- -,- -,17000000,- -,- -,- -,- -,- -,- -,- -,- -,6630000,5402000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11647000,- -
51,Deferred Revenue,- -,- -,- -,- -,1048000,- -,- -,17357000,19026000,20665000,24027000,27978000,38411000,37321000,48451000,50944000,41780000,46468000,50578000,41821000,72311000,59387000
52,Other Current Liabilities,- -,6605000,6409000,9316000,21869000,46847000,43826000,35241000,25154000,43816000,79886000,39728000,39258000,54809000,60882000,62994000,83870000,66175000,72462000,83070000,118420000,105251000
53,Total Current Liabilities,- -,10285000,20264000,39754000,87572000,154966000,114939000,127042000,106300000,141104000,171224000,163322000,148501000,193582000,242802000,258771000,249216000,214663000,241486000,215999000,327581000,272333000
54,Long-Term Debt,- -,165000,- -,- -,116251000,74935000,75279000,75623000,66558000,59466000,- -,- -,- -,- -,- -,9488000,44179000,39909000,3069000,- -,61639000,45944000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,5284000,4421000,3064000,3909000,6263000,3983000,3034000,2572000,5130000,16077000,3000000,2522000,3294000,4843000,11509000,18721000,7120000,5958000,23873000,4668000,3303000
58,Total Non-Current Liabilities,- -,5449000,4421000,3064000,120160000,81198000,79262000,78657000,69130000,64596000,16077000,3000000,2522000,3294000,4843000,20997000,62900000,47029000,9027000,23873000,66307000,49247000
59,Other Liabilities,18052000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,58000,86000,743000,3058000,3983000,- -,- -,1326000,842000,112000,1653000,567000,473000,5788000,15203000,- -,- -,28157000,26935000,13362000
61,Total Liabilities,18052000,15734000,24685000,42818000,207732000,236164000,194201000,205699000,175430000,205700000,187301000,166322000,151023000,196876000,247645000,279768000,312116000,261692000,250513000,239872000,393888000,321580000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,52187000,1000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,3000,3000,3000,3000,4000,4000,4000
64,Retained Earnings,- -,-44093000,-55666000,-67815000,-73005000,-96829000,-198694000,-243709000,-264985000,-256056000,-242327000,-261765000,-247096000,-158587000,-153864000,-166420000,-153898000,-254692000,-458897000,-580390000,-525233000,-136590000
65,Other Comprehensive Income/Loss,- -,-2519000,-4361000,-6650000,-8954000,1000000,-52890000,-79806000,-100206000,-108906000,-120563000,-135503000,-150740000,-164504000,-1000000,-1000000,-2000000,-1000000,-1000000,-1000000,-553000,-537000
66,Other Total Stockholders Equity,12349000,405000,99297000,129377000,250489000,185576000,313546000,350343000,362204000,375760000,393546000,410503000,428796000,445980000,284100000,317870000,331221000,431317000,591640000,696470000,899474000,881509000
67,Total Stockholders Equity,12349000,5980000,39271000,54914000,168532000,89749000,61964000,26830000,-2985000,10800000,30658000,13237000,30962000,122891000,129238000,150453000,175326000,175628000,131746000,115084000,373692000,744386000
68,Total Liabilities And Stockholders Equity,30401000,21714000,63956000,97732000,376264000,325913000,256165000,232529000,172445000,216500000,217959000,179559000,181985000,319767000,376883000,430221000,487442000,437320000,382259000,354956000,767580000,1065966000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18000,-1092000,-2366000,-3505000,78960000,62771000,62634000,- -
