,https://roic.ai/company/IRBT,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,- -,- -,- -,1597030,2676000,6312000,5311000,7029000,- -,8074000,10312000,11672000,12169000,13049000,- -,13606000,25499000,36574000,37159000,- -,34762000
15,EBITDA,-2632000,-10774000,-7411000,1960265,5462000,10216000,5853000,8198000,- -,13400000,63853000,37282000,44543000,65455000,- -,74967000,101865000,145196000,135992000,- -,222677000
16,EBITDA ratio,-0.1948,-0.7271,-0.1364,0.0206,0.0385,0.0541,0.0235,0.0267,- -,0.0449,0.1372,0.0855,0.0914,0.1176,- -,0.1135,0.1152,0.1329,0.1120,- -,0.1557
17,Operating Income,-2717000,-10804000,-7390000,442997,2110000,38000,-2649000,199000,- -,5437000,53323000,25172000,32618000,53117000,- -,57557000,72690000,105822000,86618000,- -,146322000
18,Operating Income ratio,-0.2011,-0.7292,-0.1361,0.0047,0.0149,0.0002,-0.0106,0.0006,- -,0.0182,0.1145,0.0577,0.0669,0.0954,- -,0.0871,0.0822,0.0969,0.0713,- -,0.1023
19,Total Other Income Expenses (Gains),- -,- -,- -,-79762,676000,3862000,3149000,901000,- -,-37000,218000,428000,-218000,-717000,- -,3804000,3676000,2800000,12215000,- -,41593000
20,Income Before Tax,- -,- -,- -,363235,2786000,3900000,500000,1100000,- -,5400000,53541000,25600000,32400000,52400000,- -,61361000,76366000,108622000,98833000,- -,187915000
21,Income Before Tax Ratio,- -,- -,- -,0.0038,0.0196,0.0206,0.0020,0.0036,- -,0.0181,0.1150,0.0587,0.0665,0.0941,- -,0.0929,0.0864,0.0994,0.0814,- -,0.1314
22,Income Tax expense (Gain),- -,- -,- -,144175,176000,304000,-8558000,369000,- -,2026000,13350000,8310000,4774000,14606000,- -,19422000,25402000,20630000,13533000,- -,40847000
23,Net Income,-2632000,-10774000,-7411000,219060,2610000,3600000,9100000,800000,- -,3300000,40191000,17300000,27600000,37800000,- -,41939000,50964000,87992000,85300000,- -,147068000
24,Net Income ratio,-0.1948,-0.7271,-0.1364,0.0023,0.0184,0.0190,0.0365,0.0026,- -,0.0111,0.0863,0.0397,0.0566,0.0679,- -,0.0635,0.0577,0.0805,0.0703,- -,0.1028
25,EPS,-0.50,-2.00,-0.79,0.01,0.13,0.15,0.37,0.03,- -,0.13,1.50,0.63,0.97,1.28,- -,1.51,1.85,3.18,3.04,- -,5.23
26,EPS Diluted,-0.50,-2.00,-0.79,0.01,0.11,0.14,0.36,0.03,- -,0.13,1.44,0.61,0.94,1.25,- -,1.48,1.77,3.07,2.97,- -,5.14
27,Weighted Average Shares Outstanding,5312000,5391000,9352000,9659993,12007000,23516000,24229000,24654000,- -,24998000,26712000,27577000,28495000,29485000,- -,27698000,27611000,27692000,28097000,- -,28101000
28,Weighted Average Shares Outstanding Diluted,5312000,5391000,9352000,19182595,14331000,25601000,25501000,25533000,- -,25640000,27924000,28301000,29354000,30210000,- -,28292000,28753000,28640000,28735000,- -,28618000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1159167/000095013507001336/b63638ice10vk.htm,https://www.sec.gov/Archives/edgar/data/1159167/000095013508001149/0000950135-08-001149-index.html,https://www.sec.gov/Archives/edgar/data/1159167/000095013509000964/0000950135-09-000964-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1159167/000095012310014527/0000950123-10-014527-index.html,https://www.sec.gov/Archives/edgar/data/1159167/000119312512067977/0001193125-12-067977-index.html,https://www.sec.gov/Archives/edgar/data/1159167/000144530513000226/0001445305-13-000226-index.html,https://www.sec.gov/Archives/edgar/data/1159167/000115916714000007/irbt-12282013x10k.htm,https://www.sec.gov/Archives/edgar/data/1159167/000115916715000006/irbt-12272014x10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/1159167/000115916717000007/0001159167-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1159167/000115916718000004/0001159167-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1159167/000115916719000010/0001159167-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1159167/000115916720000007/0001159167-20-000007-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1159167/000115916721000008/0001159167-21-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,7179000,3014000,4620000,19440843,76064000,5600000,26700000,40900000,- -,71900000,166308000,126800000,165400000,186000000,- -,214523000,128635000,130373000,239392000,- -,432635000
32,Short-Term Investments,- -,- -,- -,- -,- -,64800000,16600000,- -,- -,5000000,17811000,12400000,22000000,36200000,- -,39930000,37225000,31605000,17032000,- -,51081000
33,Cash and Short-Term Investments,7179000,3014000,4620000,19440843,76064000,70400000,43300000,40900000,- -,76900000,184119000,139200000,187400000,222200000,- -,254453000,165860000,161978000,256424000,- -,483716000
34,Net Receivables,- -,- -,- -,14033503,24469000,30500000,49900000,37900000,- -,37000000,45700000,30600000,40200000,73700000,- -,73048000,142829000,162166000,146161000,- -,170526000
35,Inventory,- -,- -,- -,7668934,15903000,20900000,45200000,34600000,- -,32400000,31089000,37000000,46100000,47900000,- -,50578000,106932000,164633000,157347000,- -,181756000
36,Other Current Assets,- -,- -,- -,399702,1533000,2800000,8200000,10600000,- -,12700000,23272000,28100000,27000000,31100000,- -,5591000,19105000,25660000,34285000,- -,45223000
37,Total Current Assets,- -,- -,- -,41542982,117969000,124600000,146600000,124000000,- -,159000000,284180000,234900000,300700000,374900000,- -,383670000,434726000,514437000,594217000,- -,881221000
38,PP&E,- -,- -,- -,3512510,6966000,10700000,15700000,22900000,- -,20200000,29029000,25000000,23700000,31300000,- -,27532000,44579000,57026000,123466000,- -,120266000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,5400000,- -,7900000,- -,49000000,48800000,48800000,- -,41041000,121440000,118896000,118732000,- -,125872000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,4300000,- -,3800000,- -,28200000,22700000,19100000,- -,12207000,44712000,24273000,12352000,- -,9902000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,9700000,- -,11700000,- -,77200000,71500000,67900000,- -,53248000,166152000,143169000,131084000,- -,135774000
42,Investments,- -,- -,- -,- -,- -,- -,2500000,2500000,- -,2500000,- -,8500000,10501000,10800000,- -,- -,14200000,15100000,21000000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6127000,- -,- -,- -,- -,30585000,9539000,4005000,912000,- -,33404000
44,Other Non-Current Assets,- -,- -,- -,82000,- -,- -,4300000,4600000,- -,6200000,12877000,8700000,9899000,8300000,- -,12877000,22326000,33224000,50074000,- -,19063000
45,Total Non-Current Assets,- -,- -,- -,3594510,6966000,10700000,22500000,39700000,- -,40600000,48033000,119400000,115600000,118300000,- -,124242000,256796000,252524000,326536000,- -,308507000
46,Other Assets,10580000,8705000,27827000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,10580000,8705000,27827000,45137492,124935000,135300000,169100000,163700000,- -,199600000,332213000,354300000,416300000,493200000,- -,507912000,691522000,766961000,920753000,- -,1189728000
48,Accounts Payable,- -,- -,- -,19581065,23721000,27700000,44700000,19500000,- -,30600000,48406000,42500000,41300000,60300000,- -,67281000,116316000,136742000,116185000,- -,165779000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6843000,- -,6315000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,831000,867000,- -,1481000,14366000,13333000,15818000,- -,19286000
51,Deferred Revenue,- -,- -,- -,1287935,1018000,457000,1578000,2632000,- -,3908000,1527000,6257000,5085000,3849000,- -,5657000,7761000,5756000,4549000,- -,10400000
52,Other Current Liabilities,- -,- -,- -,10984705,12640000,12243000,12622000,17468000,- -,27892000,35067000,25543000,34515000,34851000,- -,39698000,73647000,71259000,74925000,- -,125073000
53,Total Current Liabilities,- -,- -,- -,31853705,37379000,40400000,58900000,39600000,- -,62400000,85000000,74300000,80900000,99000000,- -,112636000,197724000,213757000,202502000,- -,307567000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4255000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8610000,10095000,8409000,- -,- -,9539000,4005000,912000,- -,705000
57,Other Non-Current Liabilities,- -,- -,- -,37572836,- -,- -,- -,4400000,- -,4000000,- -,-4410000,-5395000,-4609000,- -,6320000,13932000,13877000,65270000,- -,77022000
58,Total Non-Current Liabilities,- -,- -,- -,37572836,- -,- -,- -,4400000,- -,4000000,4255000,4200000,4700000,3800000,- -,6320000,23471000,17882000,66182000,- -,77727000
59,Other Liabilities,17821000,12049000,25624000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61771000,- -,56800000
61,Total Liabilities,17821000,12049000,25624000,69426541,37379000,40400000,58900000,44000000,- -,66400000,89255000,78500000,85600000,102800000,- -,118956000,221195000,231639000,268684000,- -,385294000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,101294,234000,200000,200000,200000,- -,300000,272000,300000,300000,300000,- -,272000,279000,278000,284000,- -,282000
64,Retained Earnings,- -,- -,- -,-26886252,-24276000,-20700000,-11700000,-10900000,- -,-7600000,58140000,75400000,103100000,140900000,- -,226950000,277989000,367021000,452321000,- -,599389000
65,Other Comprehensive Income/Loss,- -,- -,- -,-429587,-3210000,-2326000,-685000,-314000,- -,-41000,151000,199000,147000,-151000,- -,-151000,1992000,-4748000,3009000,- -,-493000
66,Other Total Stockholders Equity,- -,- -,- -,2925496,114808000,117745000,122412000,130690000,- -,140535000,184395000,199918000,227142000,249387000,- -,161885000,190067000,172771000,196455000,- -,205256000
67,Total Stockholders Equity,-7241000,-32622000,-52921000,-24289049,87556000,94919000,110227000,119676000,- -,133194000,242958000,275817000,330689000,390436000,- -,388956000,470327000,535322000,652069000,- -,804434000
68,Total Liabilities And Stockholders Equity,10580000,-20573000,-27297000,45137492,124935000,135319000,169127000,163676000,- -,199594000,332213000,354317000,416289000,493236000,- -,507912000,691522000,766961000,920753000,- -,1189728000
69,Minority Interest,- -,29278000,55124000,- -,- -,-19000,-27000,24000,- -,6000,- -,-17000,11000,-36000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,10580000,8705000,27827000,45137492,124935000,135300000,169100000,163700000,- -,199600000,332213000,354300000,416300000,493200000,- -,507912000,691522000,766961000,920753000,- -,1189728000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1159167/000095013507001336/b63638ice10vk.htm,https://www.sec.gov/Archives/edgar/data/1159167/000095013508001149/0000950135-08-001149-index.html,https://www.sec.gov/Archives/edgar/data/1159167/000095013509000964/0000950135-09-000964-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1159167/000095012310014527/0000950123-10-014527-index.html,https://www.sec.gov/Archives/edgar/data/1159167/000119312512067977/0001193125-12-067977-index.html,https://www.sec.gov/Archives/edgar/data/1159167/000144530513000226/0001445305-13-000226-index.html,https://www.sec.gov/Archives/edgar/data/1159167/000115916714000007/irbt-12282013x10k.htm,https://www.sec.gov/Archives/edgar/data/1159167/000115916715000006/irbt-12272014x10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/1159167/000115916717000007/0001159167-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1159167/000115916718000004/0001159167-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1159167/000115916719000010/0001159167-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1159167/000115916720000007/0001159167-20-000007-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1159167/000115916721000008/0001159167-21-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,219060,2610000,3600000,9100000,800000,- -,3300000,40191000,17300000,27600000,37800000,- -,41939000,50964000,87992000,85300000,- -,147068000
74,Depreciation and Amortization,- -,- -,- -,1597030,2676000,6312000,5311000,7029000,- -,8074000,10312000,11672000,12169000,13049000,- -,13606000,25499000,36574000,37159000,- -,34762000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-10198000,-1967000,- -,-3317000,6154000,-3763000,-768000,3101000,- -,3557000,-999000,-10848000,-11118000,- -,13837000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,7562000,8784000,10983000,13409000,13778000,- -,15995000,19751000,25804000,23744000,- -,29975000
77,Change in Working Capital,- -,- -,- -,7053306,3610000,3500000,-3300000,12200000,- -,34200000,-38580000,59200000,56100000,16823000,- -,-34032000,63678000,91035000,181939000,- -,-573653513
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,759000,-9282000,15560000,-9935000,-31708000,- -,25484000,-53251000,-23920000,13064000,- -,-21893000
79,Inventory,- -,- -,- -,3750677,-8235000,-4987000,-24332000,10662000,- -,2154000,-3929000,-807000,-9365000,-2387000,- -,-981000,-1470000,-58546000,7307000,- -,-24535000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,11015000,9717000,-8684000,-1743000,16249000,- -,6502000,17457000,22470000,-20536000,- -,48699000
81,Other Working Capital,- -,- -,- -,80590000,84200000,87700000,84400000,96600000,- -,130800000,160600000,219800000,275900000,292723000,- -,237002000,300680000,391715000,573654000,- -,487
82,Other Non-Cash Items,- -,- -,- -,1265,-17829000,-12837000,-16585000,1048000,- -,-9178000,28874000,-57531000,-66618000,-43945000,- -,75359000,-82578000,-158872000,-186972000,- -,580059513
83,Cash Provided by Operating Activities,- -,- -,- -,8870661,-8933000,575000,-15672000,19110000,- -,40641000,55735000,37861000,41892000,40606000,- -,116424000,76315000,71685000,130052000,- -,232048000
84,CAPEX,- -,- -,- -,-3222446,-5531000,-7485000,-10352000,-14817000,- -,-5038000,-13011000,-6770000,-6829000,-13774000,- -,-10817000,-23371000,-32422000,-35337000,- -,-31599000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-9743000,- -,-2500000,- -,-74530000,- -,- -,- -,23520000,-147498000,856000,6970000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-174100000,-52950000,-29997000,- -,-5000000,-9189000,-5086000,-17946000,-31219000,- -,-16554000,-10578000,-6438000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,109300000,101200000,46547000,- -,- -,5000000,10000000,8044000,16500000,- -,10134000,13066000,14000000,12880000,- -,13500000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-2500000,- -,- -,- -,- -,-6000000,-1350000,-250000,- -,-2093000,-1542000,-2363000,-5436000,- -,-4150000
89,Cash Used for Investing Activites,- -,- -,- -,-3222446,-5531000,-72285000,35398000,-8010000,- -,-12538000,-17200000,-82386000,-18081000,-28743000,- -,4190000,-169923000,-26367000,-20923000,- -,-22249000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,10511671,637000,1049000,1388000,1011000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1678000,- -,-97021000,- -,-50000000,- -,- -,-25000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,-1338980,70450000,180000,38000,2006000,- -,2901000,19390000,4987000,14823000,10368000,- -,11015000,7590000,6834000,-130000,- -,3739000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,9172691,71087000,1229000,1426000,3017000,- -,2901000,19390000,4987000,14823000,8690000,- -,-86006000,7590000,-43166000,-130000,- -,-21261000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,130000,-414000,20000,- -,4705000
97,Net Change In Cash,- -,- -,- -,14820906,56623000,-70481000,21152000,14117000,- -,31004000,57925000,-39538000,38634000,20553000,- -,34608000,-85888000,1738000,109019000,- -,193243000
98,Cash at the End of Period,- -,- -,- -,19440843,76064000,5583000,26735000,40852000,- -,71856000,166308000,126770000,165404000,185957000,- -,214523000,128635000,130373000,239392000,- -,432635000
99,Cash at the Beginning of Period,- -,- -,- -,4619937,19441000,76064000,5583000,26735000,- -,40852000,108383000,166308000,126770000,165404000,- -,179915000,214523000,128635000,130373000,- -,239392000
100,Free Cash Flow,- -,- -,- -,5648215,-14464000,-6910000,-26024000,4293000,- -,35603000,42724000,31091000,35063000,26832000,- -,105607000,52944000,39263000,94715000,- -,200449000
101,SEC Link,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1159167/000095013507001336/b63638ice10vk.htm,https://www.sec.gov/Archives/edgar/data/1159167/000095013508001149/0000950135-08-001149-index.html,https://www.sec.gov/Archives/edgar/data/1159167/000095013509000964/0000950135-09-000964-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1159167/000095012310014527/0000950123-10-014527-index.html,https://www.sec.gov/Archives/edgar/data/1159167/000119312512067977/0001193125-12-067977-index.html,https://www.sec.gov/Archives/edgar/data/1159167/000144530513000226/0001445305-13-000226-index.html,https://www.sec.gov/Archives/edgar/data/1159167/000115916714000007/irbt-12282013x10k.htm,https://www.sec.gov/Archives/edgar/data/1159167/000115916715000006/irbt-12272014x10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/1159167/000115916717000007/0001159167-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/1159167/000115916718000004/0001159167-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1159167/000115916719000010/0001159167-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/1159167/000115916720000007/0001159167-20-000007-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1159167/000115916721000008/0001159167-21-000008-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
