,https://roic.ai/company/FEIM,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,395000,646000,671000,- -,- -,- -,- -,- -,- -,- -,1434000
13,Interest Expense (Gain),- -,200000,- -,- -,1700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,298000,- -,- -,- -,288000,121000,118000,121000,195000,156000,139000,131000,150000,79000,83000,107000,127000
14,Depreciation and Amortization,1000000,1100000,2400000,2900000,3000000,4200000,3400000,2800000,1600000,1300000,1300000,1600000,2400000,2300000,2095000,1446000,1460000,1600000,2098000,2014000,1870000,1725000,1969000,2168000,1938000,1937000,2241000,2413000,2471000,2944000,2712000,2638000,2484000,2802000,3319000,3301000
15,EBITDA,9900000,9900000,8100000,6900000,8700000,-5500000,5000000,-8600000,-3100000,-2500000,4300000,6700000,1100000,3900000,6519000,9682000,3158000,-9033000,2371000,9459000,8497000,-87000,3416000,-3271000,3288000,5650000,9176000,7694000,8927000,7619000,4918000,-4148000,-10038000,412000,-8342000,3904000
16,EBITDA ratio,0.3094,0.2750,0.1366,0.1192,0.1408,-0.0972,0.0940,-0.1991,-0.1127,-0.1037,0.1713,0.2401,0.0344,0.2053,0.2457,0.1967,0.0767,-0.2865,0.0473,0.1714,0.1609,-0.0015,0.0530,-0.0620,0.0665,0.1062,0.1443,0.1116,0.1248,0.0995,0.0814,-0.0824,-0.2547,0.0083,-0.2010,0.0720
17,Operating Income,7500000,6500000,2600000,3800000,4300000,-7200000,4200000,-12700000,-6400000,-6000000,1000000,2600000,-9100000,-5200000,1008000,5939000,89000,-12490000,-1646000,-1269000,1710000,-3721000,-2578000,-5917000,1751000,3490000,6703000,4679000,4873000,3675000,1302000,-7525000,-12395000,-2817000,-10922000,-958000
18,Operating Income ratio,0.2344,0.1806,0.0438,0.0656,0.0696,-0.1272,0.0789,-0.2940,-0.2327,-0.2490,0.0398,0.0932,-0.2844,-0.2737,0.0380,0.1207,0.0022,-0.3962,-0.0329,-0.0230,0.0324,-0.0662,-0.0400,-0.1122,0.0354,0.0656,0.1054,0.0679,0.0681,0.0480,0.0216,-0.1495,-0.3145,-0.0569,-0.2631,-0.0177
19,Total Other Income Expenses (Gains),1400000,2100000,3100000,200000,-300000,-2500000,-2600000,1300000,1700000,2000000,2000000,2500000,7800000,6800000,3416000,2297000,1609000,1857000,1919000,8416000,4917000,1909000,4025000,190000,-522000,105000,111000,407000,1427000,861000,773000,486000,1120000,344000,-846000,1434000
20,Income Before Tax,8900000,8600000,5700000,4000000,4000000,-9700000,1600000,-11400000,-4700000,-4000000,3000000,5100000,-1300000,1600000,4424000,8236000,1698000,-10633000,273000,7147000,6627000,-1812000,1447000,-5727000,1229000,3595000,6814000,5086000,6300000,4536000,2075000,-7039000,-11275000,-2473000,-11768000,476000
21,Income Before Tax Ratio,0.2781,0.2389,0.0961,0.0691,0.0647,-0.1714,0.0301,-0.2639,-0.1709,-0.1660,0.1195,0.1828,-0.0406,0.0842,0.1667,0.1674,0.0412,-0.3373,0.0054,0.1295,0.1255,-0.0322,0.0225,-0.1086,0.0249,0.0675,0.1071,0.0738,0.0881,0.0592,0.0344,-0.1398,-0.2861,-0.0500,-0.2835,0.0088
22,Income Tax expense (Gain),3800000,3800000,1900000,1600000,1500000,-3300000,1100000,-3400000,-100000,100000,200000,200000,-1400000,400000,1280000,2592000,320000,-1773000,111000,2110000,1829000,-1555000,560000,5309000,-1520000,-2420000,-560000,1400000,2260000,1710000,1070000,-2115000,11176000,56000,-1742000,-204000
23,Net Income,5100000,4800000,3800000,2400000,2500000,-6400000,500000,-8000000,-4600000,-3900000,2800000,4900000,100000,1200000,3144000,5644000,1378000,-8860000,162000,5037000,4798000,-257000,887000,-11036000,2749000,6015000,7374000,3686000,4040000,2826000,1005000,-4821000,-23777000,-2529000,-10026000,680000
24,Net Income ratio,0.1594,0.1333,0.0641,0.0415,0.0405,-0.1131,0.0094,-0.1852,-0.1673,-0.1618,0.1116,0.1756,0.0031,0.0632,0.1185,0.1147,0.0335,-0.2810,0.0032,0.0913,0.0909,-0.0046,0.0138,-0.2093,0.0556,0.1130,0.1160,0.0535,0.0565,0.0369,0.0166,-0.0957,-0.6034,-0.0511,-0.2415,0.0125
25,EPS,0.74,0.64,0.45,0.29,0.31,-0.71,0.05,-0.95,-0.62,-0.53,0.41,0.66,0.01,0.16,0.41,0.69,0.17,-1.06,0.02,0.59,0.56,-0.03,0.10,-1.33,0.34,0.73,0.89,0.44,0.47,0.33,0.12,-0.55,-2.69,-0.28,-1.10,0.07
26,EPS Diluted,0.74,0.64,0.45,0.29,0.31,-0.71,0.05,-0.95,-0.62,-0.53,0.41,0.66,0.01,0.15,0.39,0.67,0.16,-1.06,0.02,0.58,0.55,-0.03,0.10,-1.33,0.33,0.72,0.86,0.43,0.46,0.32,0.11,-0.55,-2.69,-0.28,-1.10,0.07
27,Weighted Average Shares Outstanding,6891892,7500000,8444444,8275862,8064516,9014085,10000000,8421053,7419355,7253050,6939871,7424242,7368472,7502260,7673497,8198569,8350735,8331785,8374399,8484682,8537427,8620776,8710260,8315571,8181867,8258989,8329081,8412633,8527000,8611000,8728000,8787000,8841000,8916000,9074000,9178000
28,Weighted Average Shares Outstanding Diluted,6891892,7500000,8444444,8275862,8064516,9014085,10000000,8421053,7419355,8125000,7241379,7424242,7787140,7820742,8043727,8431823,8529175,8331785,8542575,8684758,8690617,8620776,8778059,8315571,8211878,8363023,8540955,8604651,8817000,8910000,8937000,8787000,8841000,8916000,9074000,9248000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/39020/000003902095000012/0000039020-95-000012-index.html,https://www.sec.gov/Archives/edgar/data/39020/000003902096000011/0000039020-96-000011-index.html,https://www.sec.gov/Archives/edgar/data/39020/000003902097000004/0000039020-97-000004-index.html,https://www.sec.gov/Archives/edgar/data/39020/000003902098000011/0000039020-98-000011-index.html,https://www.sec.gov/Archives/edgar/data/39020/000003902099000007/0000039020-99-000007-index.html,- -,https://www.sec.gov/Archives/edgar/data/39020/000003902001500010/0000039020-01-500010-index.html,https://www.sec.gov/Archives/edgar/data/39020/000100944802000026/0001009448-02-000026-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/39020/000091412105001432/0000914121-05-001432-index.htm,- -,https://www.sec.gov/Archives/edgar/data/39020/000114420407038678/0001144204-07-038678-index.html,https://www.sec.gov/Archives/edgar/data/39020/000114420408042528/0001144204-08-042528-index.html,https://www.sec.gov/Archives/edgar/data/39020/000114420409039329/0001144204-09-039329-index.html,https://www.sec.gov/Archives/edgar/data/39020/000114420410040139/0001144204-10-040139-index.html,https://www.sec.gov/Archives/edgar/data/39020/000114420411042784/0001144204-11-042784-index.html,https://www.sec.gov/Archives/edgar/data/39020/000114420412041625/0001144204-12-041625-index.html,https://www.sec.gov/Archives/edgar/data/39020/000118518513001529/0001185185-13-001529-index.html,https://www.sec.gov/Archives/edgar/data/39020/000118518514001912/0001185185-14-001912-index.html,https://www.sec.gov/Archives/edgar/data/39020/000118518515001955/0001185185-15-001955-index.html,https://www.sec.gov/Archives/edgar/data/39020/000118518516005052/frequencyele10k043016.htm,https://www.sec.gov/Archives/edgar/data/39020/000118518517001617/0001185185-17-001617-index.html,https://www.sec.gov/Archives/edgar/data/39020/000118518518001293/0001185185-18-001293-index.html,https://www.sec.gov/Archives/edgar/data/39020/000118518519001020/0001185185-19-001020-index.html,https://www.sec.gov/Archives/edgar/data/39020/000118518520001054/0001185185-20-001054-index.htm,https://www.sec.gov/Archives/edgar/data/39020/000118518521000886/0001185185-21-000886-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,4300000,15900000,3400000,8700000,600000,4994000,2121000,5383000,5952000,5699000,6701000,2639000,1336000,11029000,4911000,9954000,5275000,4782000,3460000,7698000,7222000,6082000,2163000,7869000,3683000,3808000,9807000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36013000,33407000,30848000,27829000,25690000,23532000,21836000,14268000,4414000,9998000,10418000,15357000,17658000,18270000,16030000,11186000,11111000,7815000,6149000,8199000,10570000,10313000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,4300000,15900000,3400000,8700000,600000,41007000,35528000,36231000,33781000,31389000,30233000,24475000,15604000,15443000,14909000,20372000,20632000,22440000,21730000,23728000,18408000,17193000,9978000,14018000,11882000,14378000,20120000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,13900000,13400000,14800000,18600000,12200000,9590000,15160000,13053000,10788000,15278000,12728000,15936000,16222000,19978000,11661000,10504000,14072000,18073000,16398000,18180000,22618000,21377000,18950000,9362000,13032000,11345000,7463000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,11200000,10300000,11100000,6500000,9700000,13307000,20471000,19601000,17734000,21925000,22948000,22971000,31201000,30218000,26051000,26975000,28172000,34299000,37521000,41227000,38239000,41278000,29051000,26186000,23356000,22958000,19661000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,12900000,6700000,22400000,42700000,42200000,3269000,8975000,4995000,5633000,4243000,3631000,3381000,4576000,5345000,3450000,2789000,4860000,4550000,5367000,4727000,4334000,4463000,11876000,2509000,4429000,2554000,1435000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,42300000,46300000,51700000,76500000,64700000,67173000,80134000,73880000,67936000,72835000,69540000,66763000,67603000,70984000,56071000,60640000,67736000,79362000,81016000,87862000,83599000,84311000,69855000,52075000,52699000,51235000,48679000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,9200000,8800000,9100000,9200000,9500000,9040000,11997000,11361000,11105000,11486000,6770000,6663000,7839000,9531000,7961000,7015000,7163000,8374000,8316000,11240000,12686000,13072000,14813000,14127000,13038000,22131000,19385000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,513000,453000,405000,218000,218000,- -,- -,- -,- -,- -,- -,- -,- -,- -,617000,617000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4987000,4938000,- -,616000,591000,- -,- -,- -,- -,- -,- -,- -,781000,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4987000,4938000,- -,616000,591000,513000,453000,405000,218000,218000,218000,873000,781000,689000,617000,617000,617000,617000,617000,617000,617000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,7000000,5000000,12853000,3813000,13147000,10942000,10763000,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69000,280000,436000,593000,2644000,2842000,2945000,2990000,- -,- -,750000,5692000,6320000,6650000,7360000,7702000,11902000,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,13500000,13700000,14100000,3100000,4200000,4634000,4852000,5552000,6252000,7130000,8829000,6960000,7986000,8010000,817000,9734000,817000,984000,1713000,13020000,13563000,14512000,16132000,16765000,20417000,17293000,17335000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,22700000,22500000,23200000,12300000,13700000,13674000,21905000,22131000,17793000,19825000,18834000,19978000,26223000,25936000,21849000,20780000,22095000,26865000,27893000,31599000,34226000,35903000,43464000,31509000,34072000,40041000,37337000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,65000000,68800000,74900000,88800000,78400000,80847000,102039000,96011000,85729000,92660000,88374000,86741000,93826000,96920000,77920000,81420000,89831000,106227000,108909000,119461000,117825000,120214000,113319000,83584000,86771000,91276000,86016000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000,1400000,900000,1300000,800000,1019000,2408000,2359000,1294000,3470000,1896000,2202000,3771000,2215000,2305000,1720000,1654000,2644000,1205000,2336000,1720000,2650000,2437000,1841000,1188000,1424000,1080000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,800000,9700000,500000,500000,- -,699000,384000,179000,3408000,- -,- -,5011000,5168000,1327000,246000,275000,6383000,158000,- -,- -,- -,- -,- -,- -,6834000,1715000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,295000,- -,96000,1323000,1613000,1012000,1254000,128000,113000,155000,379000,167000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,554000,137000,1620000,1023000,720000,640000,232000,68000,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1800000,2300000,3700000,11700000,3600000,3989000,10427000,4906000,4449000,4949000,7948000,4786000,4849000,4694000,4408000,5342000,4903000,6945000,6344000,6338000,5910000,5468000,5442000,3348000,4649000,4730000,5302000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,3300000,4500000,14300000,13500000,4900000,5008000,13534000,7649000,5922000,11827000,9844000,6988000,13631000,12077000,8040000,7308000,7386000,16109000,9327000,9697000,8350000,8758000,8111000,5257000,5837000,12988000,8097000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,12200000,11400000,1700000,500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10910000,- -,6000000,10100000,6000000,6000000,- -,- -,- -,- -,8366000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,484000,664000,902000,792000,756000,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000,8000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2700000,3500000,3800000,16000000,17000000,16849000,18074000,17796000,17903000,17609000,9337000,9120000,9311000,11233000,10230000,10065000,-902000,10194000,10374000,11318000,11665000,12104000,15876000,15065000,17845000,24044000,14136000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,14900000,14900000,5500000,18900000,17000000,16849000,18074000,17796000,17903000,17609000,9337000,9120000,9311000,11233000,10714000,10729000,10910000,10986000,17130000,21418000,17665000,18104000,15876000,15065000,17845000,24052000,22510000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,911000,2011000,441000,456000,6398000,6158000,- -,- -,- -,- -,- -,- -,11313000,10081000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,18200000,19400000,19800000,32400000,21900000,21857000,31608000,25445000,23825000,29436000,19181000,16108000,22942000,23310000,18754000,18037000,18296000,27095000,26457000,31115000,26015000,26862000,23987000,20322000,23682000,37040000,30607000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9009000,9164000,9164000,9164000,9164000,9164000,9164000,9164000,9164000,9164000,9164000,9164000,9164000,9164000,9164000,9164000,9164000,9164000,9164000,9164000,9164000,9226000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,13400000,16300000,20400000,16000000,15700000,17239000,21226000,20939000,10415000,8897000,12440000,15527000,13541000,13558000,2522000,5271000,11286000,18660000,20662000,24702000,27528000,28533000,23712000,-65000,-2111000,-12137000,-11457000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14800000,-15200000,-16000000,-17000000,-18200000,-19234000,-19234000,-26187000,1386000,3470000,4901000,2691000,3121000,4850000,3455000,4019000,5192000,4170000,3913000,4014000,2890000,1964000,2281000,-915000,46000,490000,291000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,48200000,48300000,50700000,57400000,59000000,51976000,59275000,66650000,40744000,41645000,42688000,43251000,45058000,46038000,44025000,44929000,45893000,47138000,48713000,50466000,52228000,53691000,54175000,55078000,55990000,56719000,57349000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,46800000,49400000,55100000,56400000,56500000,58990000,70431000,70566000,61709000,63176000,69193000,70633000,70884000,73610000,59166000,63383000,71535000,79132000,82452000,88346000,91810000,93352000,89332000,63262000,63089000,54236000,55409000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,65000000,68800000,74900000,88800000,78400000,80847000,102039000,96011000,85534000,92612000,88374000,86741000,93826000,96920000,77920000,81420000,89831000,106227000,108909000,119461000,117825000,120214000,113319000,83584000,86771000,91276000,86016000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,195000,48000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,65000000,68800000,74900000,88800000,78400000,80847000,102039000,96011000,85729000,92660000,88374000,86741000,93826000,96920000,77920000,81420000,89831000,106227000,108909000,119461000,117825000,120214000,113319000,83584000,86771000,91276000,86016000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/39020/000003902095000012/0000039020-95-000012-index.html,https://www.sec.gov/Archives/edgar/data/39020/000003902096000011/0000039020-96-000011-index.html,https://www.sec.gov/Archives/edgar/data/39020/000003902097000004/0000039020-97-000004-index.html,https://www.sec.gov/Archives/edgar/data/39020/000003902098000011/0000039020-98-000011-index.html,https://www.sec.gov/Archives/edgar/data/39020/000003902099000007/0000039020-99-000007-index.html,- -,https://www.sec.gov/Archives/edgar/data/39020/000003902001500010/0000039020-01-500010-index.html,https://www.sec.gov/Archives/edgar/data/39020/000100944802000026/0001009448-02-000026-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/39020/000091412105001432/0000914121-05-001432-index.htm,- -,https://www.sec.gov/Archives/edgar/data/39020/000114420407038678/0001144204-07-038678-index.html,https://www.sec.gov/Archives/edgar/data/39020/000114420408042528/0001144204-08-042528-index.html,https://www.sec.gov/Archives/edgar/data/39020/000114420409039329/0001144204-09-039329-index.html,https://www.sec.gov/Archives/edgar/data/39020/000114420410040139/0001144204-10-040139-index.html,https://www.sec.gov/Archives/edgar/data/39020/000114420411042784/0001144204-11-042784-index.html,https://www.sec.gov/Archives/edgar/data/39020/000114420412041625/0001144204-12-041625-index.html,https://www.sec.gov/Archives/edgar/data/39020/000118518513001529/0001185185-13-001529-index.html,https://www.sec.gov/Archives/edgar/data/39020/000118518514001912/0001185185-14-001912-index.html,https://www.sec.gov/Archives/edgar/data/39020/000118518515001955/0001185185-15-001955-index.html,https://www.sec.gov/Archives/edgar/data/39020/000118518516005052/frequencyele10k043016.htm,https://www.sec.gov/Archives/edgar/data/39020/000118518517001617/0001185185-17-001617-index.html,https://www.sec.gov/Archives/edgar/data/39020/000118518518001293/0001185185-18-001293-index.html,https://www.sec.gov/Archives/edgar/data/39020/000118518519001020/0001185185-19-001020-index.html,https://www.sec.gov/Archives/edgar/data/39020/000118518520001054/0001185185-20-001054-index.htm,https://www.sec.gov/Archives/edgar/data/39020/000118518521000886/0001185185-21-000886-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,4800000,- -,2400000,2500000,-6400000,500000,-8000000,-4600000,-3900000,2800000,4900000,100000,1200000,3144000,5644000,1378000,-8860000,162000,5037000,4798000,-257000,887000,-11036000,2749000,6015000,7374000,3686000,4040000,2826000,1005000,-4821000,-23777000,-2529000,-10026000,680000
74,Depreciation and Amortization,- -,1100000,- -,2900000,3000000,4200000,3400000,2800000,1600000,1300000,1300000,1600000,2400000,2300000,2095000,1446000,1460000,1600000,2098000,2014000,1870000,1725000,1969000,2168000,1938000,1937000,2241000,2413000,2471000,2944000,2712000,2638000,2484000,2802000,3319000,3301000
75,Deferred Income Tax,- -,- -,- -,-400000,-1700000,-1900000,1100000,-2200000,- -,- -,- -,- -,-2600000,- -,- -,-1408000,358000,-247000,411000,-2610000,886000,-1305000,-820000,6077000,- -,-3550000,-3100000,-320000,-160000,-720000,-1265000,-1355000,9638000,- -,8000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,566000,557000,476000,862000,947000,1105000,1077000,824000,662000,470000,500000,312000,273000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,39000000,2800000,-4400000,25600000,-3200000,2365000,4435000,-369000,-4217000,-1006000,-1312000,79000,-5803000,4935000,-10876000,5301000,7018000,2903000,8436000,6476000,-2916000,304000,-13809000,-14926000,44000,-8615000,2335000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5721000,2362000,-1606000,-4522000,465000,-1631000,-3206000,-1723000,-3602000,5898000,-2994000,1970000,-752000
79,Inventory,- -,- -,- -,-4800000,2400000,1700000,- -,400000,1700000,300000,200000,-800000,- -,-3200000,-3745000,-4612000,546000,-1115000,-3035000,-1526000,-904000,-9012000,709000,-1326000,-2010000,-1748000,-4242000,-6017000,-3102000,1267000,-3306000,2172000,-2105000,-199000,17000,3002000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,325000,814000,-534000,880000,-502000,614000,25000,1179000,-746000,379000,-195000,374000,-205000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,39000000,41800000,37400000,63000000,59800000,62165000,66600000,66231000,62014000,61008000,59696000,59775000,53972000,58907000,48031000,53332000,60350000,63253000,71689000,78165000,75249000,75553000,61744000,46818000,46862000,38247000,40582000
82,Other Non-Cash Items,- -,-5900000,- -,-2300000,1800000,3800000,7400000,10800000,9700000,-32100000,100000,1900000,-22300000,-2100000,-4061000,-6166000,2068000,14172000,-4234000,-593000,-10137000,-1006000,-8817000,20323000,-2912000,-10017000,-8136000,-12329000,-10290000,-1329000,-657000,20573000,30644000,-914000,13595000,5568000
