,https://roic.ai/company/FMBM,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4763359000,3417359000,1282321000,4251134000,6099073000,5887957000,- -,- -,- -,11203000,11262000,7963000,1133000,9438110,11147728
20,Income Before Tax,3070769,3453594,4337309,5090308,5488061,5129982,4665328,4818474,5678623,6212909,6626610,6454413,6106210000,4611350000,2369211000,5512034000,7272444000,7142447000,6730275,8748758,11467656,12861000,13371000,10205000,4389000,10035110,12060728
21,Income Before Tax Ratio,2.7817,3.8949,4.1189,2.5775,2.4549,0.5179,0.4402,0.4135,0.4315,0.4377,0.4250,0.3940,0.2479,0.1805,0.0861,0.1978,0.2627,0.2624,0.3176,0.3783,0.4331,0.4007,0.3922,0.2780,0.1149,0.2320,0.2833
22,Income Tax expense (Gain),955086,1012826,1329766,1589733,1681856,1486097,1434798,1314579,1666324,1863358,1846257,1925073,1653124000,1418628000,339309000,1681392000,2522728000,2095397000,1907297,2901496,2886072,3099000,4330000,1110000,-250000,1141742,1323015
23,Net Income,2115683,2440768,3007543,3500575,3806205,3643885,3230530,3503895,4012299,4349551,4780353,4529340,4453086000,3204016000,2029902000,1000,1000,1000,4715793,5801609,8417009,9762000,9041000,9095000,4639000,8788175,10737713
24,Net Income ratio,1.9165,2.7527,2.8561,1.7725,1.7026,0.3678,0.3049,0.3007,0.3049,0.3064,0.3066,0.2765,0.1808,0.1254,0.0738,0.0000,0.0000,0.0000,0.2225,0.2509,0.3179,0.3042,0.2652,0.2478,0.1214,0.2032,0.2522
25,EPS,0.87,1.00,1.22,1.43,1.55,1.49,1.33,1.44,1.66,1.80,1.99,1.90,1.89,1.38,0.85,1.63,1.91,1.96,1.88,1.82,2.40,2.77,2.63,2.68,1.35,2.66,0.00
26,EPS Diluted,0.87,1.00,1.22,1.43,1.55,1.49,1.33,1.44,1.66,1.80,1.99,1.90,1.89,1.38,0.85,1.63,1.91,1.96,1.88,1.82,2.40,2.77,2.63,2.68,1.33,2.66,0.00
27,Weighted Average Shares Outstanding,2442864,2450844,2455962,2455962,2454250,2445509,2430993,2428722,2417807,2413668,2407989,2386257,2359540,2318998,2291845,2299294,2449864,2496300,2504015,3119333,3290812,3282335,3269713,3235719,3189288,3199883,3210577
28,Weighted Average Shares Outstanding Diluted,2442864,2450844,2455962,2455962,2454250,2445509,2430993,2428722,2417807,2413668,2407989,2386257,2359540,2318998,2291845,2299294,2449864,2496300,2504015,3119333,3290812,3282335,3269713,3238177,3232337,3199883,3210577
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/740806/000095015208002297/0000950152-08-002297-index.htm,https://www.sec.gov/Archives/edgar/data/740806/000095015209003132/0000950152-09-003132-index.htm,https://www.sec.gov/Archives/edgar/data/740806/000095012310028817/0000950123-10-028817-index.htm,https://www.sec.gov/Archives/edgar/data/740806/000095012311030505/0000950123-11-030505-index.htm,https://www.sec.gov/Archives/edgar/data/740806/000135448812001282/0001354488-12-001282-index.htm,https://www.sec.gov/Archives/edgar/data/740806/000135448813001598/0001354488-13-001598-index.htm,https://www.sec.gov/Archives/edgar/data/740806/000135448814001444/0001354488-14-001444-index.htm,https://www.sec.gov/Archives/edgar/data/740806/000135448815001306/0001354488-15-001306-index.htm,https://www.sec.gov/Archives/edgar/data/740806/000135448816006762/0001354488-16-006762-index.htm,https://www.sec.gov/Archives/edgar/data/740806/000165495417002578/0001654954-17-002578-index.htm,https://www.sec.gov/Archives/edgar/data/740806/000165495418002674/0001654954-18-002674-index.htm,https://www.sec.gov/Archives/edgar/data/740806/000165495419002720/0001654954-19-002720-index.htm,https://www.sec.gov/Archives/edgar/data/740806/000165495420002706/0001654954-20-002706-index.htm,https://www.sec.gov/Archives/edgar/data/740806/000165495421002956/0001654954-21-002956-index.htm,https://www.sec.gov/Archives/edgar/data/740806/000165495422002891/0001654954-22-002891-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,11903885,14667852,17168660,10132456,8251805,11837383,6849046,5379256,7512671,8001239,9244214,6542645,7151543,8519447,8429000,11907000,10912000,9245000,12424683,11453779
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8678001,30265781,13215112,13046945,24783000,28615000,8289000,4366000,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,11903885,14667852,17168660,10132456,8251805,11837383,6849046,5379256,7512671,8001239,17922215,36808426,20366655,21566392,33212000,40522000,19201000,13611000,12424683,11453779
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,1655122,1496232,1230828,1366880,1876649,1931976,2056162,2037612,2001226,1815861,1702847,1498112,1674846,1708617,1785000,2007000,2078000,2044000,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,210610227,222115009,303592799,290087387,624458546,43457641,5677875792,5306868132,4576179103,6803425900,7941007938,2000,16051000,- -,-27242000,-31907000,-11757000,-7536000,-1243683,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,224169234,238279093,321992287,301586723,634587000,57227000,5686781000,5314285000,4585693000,6813243000,7960633000,38308538,38092501,23275009,7755000,10622000,9522000,8119000,11181000,- -
38,PP&E,- -,- -,- -,- -,- -,- -,- -,4485813,5001293,4824483,5756576,7709600,7221493,7457128,7079504,6792494,6477083,6445061,6525057,6458254,7542078,10268000,15894000,17766000,18931000,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2669517,2669517,2669517,2669517,2669517,2669517,2669517,2670000,2881000,2884000,2884000,2884000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,321932,45771,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,4892202,4616260,4340318,4064377,3788435,3512493,3267391,2991449,2715288,2669517,2669517,2669517,2669517,2669517,2670000,2881000,2884000,2884000,2884000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,69601660,61229814,38800087,34920603,37373234,36613681,30786028,26220079,24144495,22107621,18807173,38485768,22304902,25329103,39411000,41243000,21844000,18015000,117898000,413216778
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-307534339,-36613681,-5256233760,-4811353395,-4080490713,-6277763346,-7391650616,466799287,535782928,606541139,-49679000,-57137000,-39610000,-36946000,-117898000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,78979675,70847367,47964888,44741556,-258663070,10733986,-5214723213,-4775062363,-4046838436,-6246509125,-7363728865,514479629,567215601,642081837,2670000,2881000,2884000,2884000,2884000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,382128584,379973827,417922063,391069835,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1219341565
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,303148909,309126460,369957175,346328279,375923930,67960986,472057787,539222637,538854564,566733875,596904135,552788167,605308102,665356846,10425000,13503000,12406000,11003000,14065000,1219341565
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,8308382,6388958,57361619,14345480,11716929,12743051,20510287,9084909,5354992,18538963,22500000,- -,10000000,20000000,40000000,20000000,30000000,10000000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1204797071,24932949,21173381713,9668428091,5349637008,18520424037,34574852000,3423078,4358492,4954051,- -,5296000,10116000,- -,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,8308382,6388958,57361619,14345480,1216514000,37676000,21193892000,9677513000,5354992000,18538963000,34597352000,3423078,14358492,24954051,40000000,25296000,40116000,10000000,- -,- -
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,32312024,24784207,26461517,22808242,29247252,29714286,65330833,63095702,58979464,57298143,47905286,21691000,9875000,48160714,64237000,49733000,40218000,53201000,33201631,21772052
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6056252,-2774286,65265502167,60317606298,48976484536,47049844857,37666380714,-10191000,- -,-16304714,- -,- -,- -,- -,369,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,32312024,24784207,26461517,22808242,23191000,26940000,65330833000,60380702000,49035464000,47107143000,37714286000,11500000,9875000,31856000,64237000,49733000,40218000,53201000,33202000,21772052
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,297611371,295202542,304797125,318224087,- -,336826494,- -,- -,- -,- -,- -,506723854,523026207,589308383,682444000,686432000,688444000,765625000,904502798,1140658106
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,273607729,276807293,335697227,309761325,337819086,347562494,435752984,500220155,496625216,520554156,547520175,498646932,527509699,582406434,658207000,661995000,688342000,722424000,871300798,1118886054
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9425123,9425123,7609000,7529000,5672000,4592000,4558000,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,12118390,12102390,12057705,12010185,11870965,11719450,11447485,11475265,11530430,12463580,12497720,12558675,16458830,16427020,16352000,16275000,16066000,16042000,91071387,100455511
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,17390478,19709562,22273119,25135731,26794238,28409273,27686745,27989144,30837090,35552092,38926779,42089165,42554421,48056300,54509000,60814000,65596000,66008000,71205000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,-270483,220885,-199252,-578962,-560359,-964042,-2876256,-584636,-324305,-2052118,-2402670,-924833,-2326331,-2679815,-3165000,-4142000,-3969000,-3211000,-3017000,-5092000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,302795,286330,128376,- -,- -,- -,- -,- -,- -,- -,- -,- -,11259995,11149104,10684000,10225000,7987000,7510000,-68188387,5092000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,29541180,32319167,34259948,36566954,38104844,39164681,36257974,38879773,42043215,45963554,49021829,53723007,77372038,82377732,85989000,90701000,91352000,90941000,95629000,100455511
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,303148909,309126460,369957175,346328279,375923930,386727175,472010958,539099928,538668431,566517710,596542004,552369939,604881737,664784166,744196000,752696000,779694000,813365000,966929798,1219341565
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-318766189,46829,122709,186133,216165,362131,418228,426365,572680,-733771000,-739193000,-767288000,-802362000,-952864798,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,303148909,309126460,369957175,346328279,375923930,67960986,472057787,539222637,538854564,566733875,596904135,552788167,605308102,665356846,10425000,13503000,12406000,11003000,14065000,1219341565
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/740806/000095015208002297/0000950152-08-002297-index.htm,https://www.sec.gov/Archives/edgar/data/740806/000095015209003132/0000950152-09-003132-index.htm,https://www.sec.gov/Archives/edgar/data/740806/000095012310028817/0000950123-10-028817-index.htm,https://www.sec.gov/Archives/edgar/data/740806/000095012311030505/0000950123-11-030505-index.htm,https://www.sec.gov/Archives/edgar/data/740806/000135448812001282/0001354488-12-001282-index.htm,https://www.sec.gov/Archives/edgar/data/740806/000135448813001598/0001354488-13-001598-index.htm,https://www.sec.gov/Archives/edgar/data/740806/000135448814001444/0001354488-14-001444-index.htm,https://www.sec.gov/Archives/edgar/data/740806/000135448815001306/0001354488-15-001306-index.htm,https://www.sec.gov/Archives/edgar/data/740806/000135448816006762/0001354488-16-006762-index.htm,https://www.sec.gov/Archives/edgar/data/740806/000165495417002578/0001654954-17-002578-index.htm,https://www.sec.gov/Archives/edgar/data/740806/000165495418002674/0001654954-18-002674-index.htm,https://www.sec.gov/Archives/edgar/data/740806/000165495419002720/0001654954-19-002720-index.htm,https://www.sec.gov/Archives/edgar/data/740806/000165495420002706/0001654954-20-002706-index.htm,https://www.sec.gov/Archives/edgar/data/740806/000165495421002956/0001654954-21-002956-index.htm,https://www.sec.gov/Archives/edgar/data/740806/000165495422002891/0001654954-22-002891-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2115683,2440768,3007543,3500575,3806205,3643885,3230530,3503895,4012299,4349551,4780353,4529340,4453086000,3204016000,2029902000,1000,1000,1000,4715793,5801609,8417009,9762000,9041000,9095000,4639000,8788175,10737713
74,Depreciation and Amortization,204520,258315,256495,212687,218134,637701,871230,1005071,1280187,1291069,1230998,1282997,1695642,1337840,930343,911648,652911,597920,581625,612116,709237,801000,983000,1203000,1373000,1300000,- -
75,Deferred Income Tax,-28497,-43415,-32140,-35407,9410,-90867,-43982,-240106,210305,-24679,-139409,-7619,-346191,-159824,-694041,-350392,-1392538,494733,-568858,-515538,340941,9000,-222000,55000,-1179000,-670000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,173710,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-581927000,601478000,-15526662000,11143883000,3593929000,-10956421000,-14910999000,26671604460,-11151451,-25413051,-30565958,17571000,-15920000,28713000,13062000,9662000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,113014,204735,-176734,-33771,-76000,-222000,-71000,34000,-683000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-581927000,19551000,-15507111000,-4363228000,-769299000,-11725720000,-26636719000,34885460,23734009,-1679042,-32245000,-14674000,-30594000,-1881000,11181000,20843000
82,Other Non-Cash Items,-229337,126961,-330367,66686,-508317,-1321638,-992154,926857,-668159,-47092225,43644512,585223779,-5051071551,12322744641,-13195477309,-3577698510,10929529608,14905115399,-26658035599,13613162,25705504,35479958,-21218000,17450000,-18175000,-20632175,-20399713
83,Cash Provided by Operating Activities,2236079,2782629,2901531,3744541,3525432,2869081,3065624,5195717,4834632,-41476284,49516454,9101497,4841900,1276657,-21456007,16792746,-27630019,-4789948,18297421,8359898,9759640,15486000,6155000,11883000,15371000,1848000,- -
84,CAPEX,-627202,-203688,-630240,-319803,-1296207,-225456,-1072265,-573506,-729048,-284827,-874929,-2558460,-140648,-864047,-276777,-348696,-202320,-565898,-661621,-545313,-1793061,-3527000,-6484000,-3000000,-2380000,-742000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-75000,- -,-856000,- -
86,Purchases of Investments,-38455177,-30794570,-26421487,-43521733,-26580879,-8149133,-82206361,-42459540,-50116386,-21919075,-15619802,-19855479,-25622307,-105035241,-12724664,-23259597,-22395643,-17946019,-31093384,-12082485,-12040262,-47137000,-89428000,-3361000,-5163000,-126429000,- -
87,Sales/Maturities of Investments,21620643,16708251,21270707,26919530,24668653,6942540,64890147,30856491,58235469,47689132,17083346,20666297,24782219,25355127,17650436,25600116,24066656,20647760,10712508,27601319,8242751,32218000,86796000,21897000,8256000,26396000,- -
88,Other Investing Activites,- -,-24788,1151500,-79691,- -,-12397378,-45247904,-20009295,-14588596,-38466720,-23048580,-34869801,-9098457,1115553,-37162546,-16893857,-9179322,-21401297,48820814,-52399147,-67840826,-57270000,-368000,-47160000,20780000,-40504000,- -
89,Cash Used for Investing Activites,-17461736,-14314795,-4629520,-17001697,-3208433,-13603971,-62564118,-31612344,-6469513,-12696663,-21585036,-34058983,-9938545,-78564561,-32513551,-14902034,-7710629,-19265454,27778317,-37425626,-73431398,-75716000,-9484000,-31699000,21493000,-142135000,- -
90,Debt Repayment,-2538919,-3146062,-3296061,-18836583,-3305295,-3162438,-8403140,-6670674,-7527817,-7322690,-8653275,-8560990,-9532966,-4130953,-43775509,-26325155,5256650,-9392857,-26214286,-19222000,-1714286,-3924000,-14504000,-9515000,-17017000,-91902000,- -
91,Common Stock Issued,- -,- -,- -,- -,61065,- -,- -,- -,- -,- -,- -,- -,- -,- -,173071,196083,2478325,105416,213429,12055709,146418,183000,197000,266000,259000,258000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-59627,- -,- -,- -,- -,- -,- -,- -,- -,- -,-54276,- -,- -,- -,- -,- -,-289119,-2539000,-813000,-4570000,-1840000,-473000,- -
93,Dividends Paid,-651425,-685924,-810468,-1735547,-1227072,-1419147,-1532752,-1580138,-1645224,-1763849,-1856814,-1932696,-2016246,-2103775,-1932332,-1364449,-1466271,-1597673,-1705881,-2231912,-2915130,-3115000,-3387000,-4303000,-3587000,-3591000,- -
94,Other Financing Activites,19211298,15215873,5841091,34453357,4815004,14324504,70990533,35321163,10455586,65532334,-17455098,33794006,19104352,89492895,108533108,22886446,17141866,33907305,-20820569,55121829,53760779,77461000,17388000,36943000,50213000,238599000,- -
95,Cash Used/Provided by Financing Activities,16020954,11383887,1734562,13881227,284075,9742919,61054641,27070351,1282545,56445795,-27965187,23300320,7555140,83258167,62944062,-4607075,23410570,23022191,-48527307,45723626,48988662,68066000,-1119000,18821000,28028000,142891000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,795297,-148279,6573,624071,601074,-991971,1556147,653724,-352336,2272848,-33769,-1657166,2458495,5970263,8974504,-2716363,-11930078,-1033211,-2451569,16657898,-14683096,7836000,-4448000,-995000,64892000,2604000,- -
98,Cash at the End of Period,3716107,3567828,3574401,4198472,4799546,3807575,5363722,6017446,5665110,7937958,7904189,6247023,8705518,14665781,23640285,20923922,8993844,7960633,6544645,23202543,8519447,16355000,11907000,10912000,75804000,78408000,- -
99,Cash at the Beginning of Period,2920810,3716107,3567828,3574401,4198472,4799546,3807575,5363722,6017446,5665110,7937958,7904189,6247023,8695518,14665781,23640285,20923922,8993844,8996214,6544645,23202543,8519000,16355000,11907000,10912000,75804000,78408000
100,Free Cash Flow,1608877,2578941,2271291,3424738,2229225,2643625,1993359,4622211,4105584,-41761111,48641525,6543037,4701252,412610,-21732784,16444050,-27832339,-5355846,17635800,7814585,7966579,11959000,-329000,8883000,12991000,1106000,- -
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/740806/000095015208002297/0000950152-08-002297-index.htm,https://www.sec.gov/Archives/edgar/data/740806/000095015209003132/0000950152-09-003132-index.htm,https://www.sec.gov/Archives/edgar/data/740806/000095012310028817/0000950123-10-028817-index.htm,https://www.sec.gov/Archives/edgar/data/740806/000095012311030505/0000950123-11-030505-index.htm,https://www.sec.gov/Archives/edgar/data/740806/000135448812001282/0001354488-12-001282-index.htm,https://www.sec.gov/Archives/edgar/data/740806/000135448813001598/0001354488-13-001598-index.htm,https://www.sec.gov/Archives/edgar/data/740806/000135448814001444/0001354488-14-001444-index.htm,https://www.sec.gov/Archives/edgar/data/740806/000135448815001306/0001354488-15-001306-index.htm,https://www.sec.gov/Archives/edgar/data/740806/000135448816006762/0001354488-16-006762-index.htm,https://www.sec.gov/Archives/edgar/data/740806/000165495417002578/0001654954-17-002578-index.htm,https://www.sec.gov/Archives/edgar/data/740806/000165495418002674/0001654954-18-002674-index.htm,https://www.sec.gov/Archives/edgar/data/740806/000165495419002720/0001654954-19-002720-index.htm,https://www.sec.gov/Archives/edgar/data/740806/000165495420002706/0001654954-20-002706-index.htm,https://www.sec.gov/Archives/edgar/data/740806/000165495421002956/0001654954-21-002956-index.htm,https://www.sec.gov/Archives/edgar/data/740806/000165495422002891/0001654954-22-002891-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
