,https://roic.ai/company/XEL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,1214700000,1248500000,1250100000,1328600000,1353200000,1360300000,3439817000,3641916000,6544153000,4141814000,4231284000,4610595000,4560255000,2998481000,3031687000,3214694000,3487852000,3687101000,1602869000,1667381000,1793576000,1994192000,2083431000,2300000000,2488000000,2619000000,2848000000,3055000000
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,2049000000,2075500000,2126800000,2256100000,2309500000,2412200000,10020656000,13085256000,10956705000,6852269000,7272043000,8532758000,8663310000,8683097000,9812365000,8175731000,8690978000,8873168000,8312905000,9075659000,9744928000,9027825000,8896438000,9217000000,9572000000,9425000000,9410000000,11228000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14928000,11023000,10639000,10327000,8343000,7353000,5737000,8342000,19000000,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,521855000,548621000,591098000,542180000,505885000,505220000,544859000,594709000,604000000,627000000,710000000,798000000,787000000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,915701000,977555000,1009755000,1046353000,1099932000,1151057000,1249390000,1435734000,1609000000,1781000000,1904000000,2082000000,2257000000
15,EBITDA,197700000,206900000,204900000,214800000,222000000,195500000,224000000,206400000,211700000,372700000,428000000,421300000,334000000,387200000,351600000,831693000,1131689000,-2845976000,781034000,515547000,686511000,753165000,871832000,984240000,2489757000,2718645000,2910341000,2943965000,3038027000,3201398000,3321453000,3735039000,3903000000,3850000000,4114000000,4347000000,4571000000
16,EBITDA ratio,0.1105,0.1161,0.1157,0.1071,0.1116,0.0947,0.1018,0.0956,0.0881,0.1499,0.1666,0.1587,0.1222,0.1373,0.1226,0.0729,0.0764,-0.2988,0.0984,0.0618,0.0713,0.0765,0.0869,0.0879,0.2582,0.2637,0.2731,0.2907,0.2783,0.2739,0.3013,0.3363,0.3422,0.3337,0.3568,0.3771,0.3403
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,437500000,493100000,527400000,477700000,509700000,456800000,1388426000,1725878000,-1432333000,1085247000,1073216000,1092719000,1176994000,1351073000,1390791000,1468572000,1619969000,1781602000,1822683000,1847555000,1948130000,2000512000,2213855000,2190000000,1965000000,2104000000,2116000000,2203000000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1760,0.1920,0.1987,0.1747,0.1808,0.1592,0.1217,0.1165,-0.1504,0.1367,0.1286,0.1135,0.1196,0.1346,0.1241,0.1523,0.1571,0.1672,0.1800,0.1693,0.1667,0.1815,0.1993,0.1920,0.1703,0.1825,0.1836,0.1640
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,-64800000,-65100000,-106100000,-143700000,-122500000,-105200000,-537773000,-604476000,-857022000,-416585000,-386701000,-420142000,-426902000,-480690000,-406385000,-411734000,-431378000,-471912000,-467281000,-415345000,-403009000,-473308000,-509259000,-500000000,-523000000,-604000000,-649000000,-676000000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,372700000,428000000,421300000,334000000,387200000,351600000,850653000,1121402000,-2289355000,668662000,686515000,672577000,750092000,870383000,984406000,1056838000,1188591000,1309690000,1355402000,1432210000,1545121000,1527204000,1704596000,1690000000,1442000000,1500000000,1467000000,1527000000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1499,0.1666,0.1587,0.1222,0.1373,0.1226,0.0746,0.0757,-0.2404,0.0842,0.0823,0.0699,0.0762,0.0867,0.0879,0.1096,0.1153,0.1229,0.1338,0.1312,0.1322,0.1385,0.1535,0.1482,0.1250,0.1301,0.1273,0.1137
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,129200000,152200000,146800000,96700000,104800000,127300000,304865000,336723000,-627985000,158642000,159586000,173539000,181411000,294484000,338686000,371314000,436635000,468316000,450203000,483976000,523815000,542719000,581217000,542000000,181000000,128000000,-6000000,-70000000
23,Net Income,197700000,206900000,204900000,214800000,222000000,195500000,224000000,206400000,211700000,243500000,275800000,274500000,237300000,282400000,224300000,526828000,794966000,-2217991000,622392000,355961000,512972000,571754000,577348000,645554000,680887000,755834000,841172000,905229000,948234000,1021306000,984485000,1123379000,1148000000,1261000000,1372000000,1473000000,1597000000
24,Net Income ratio,0.1105,0.1161,0.1157,0.1071,0.1116,0.0947,0.1018,0.0956,0.0881,0.0979,0.1074,0.1034,0.0868,0.1002,0.0782,0.0462,0.0537,-0.2329,0.0784,0.0427,0.0533,0.0581,0.0575,0.0576,0.0706,0.0733,0.0789,0.0894,0.0869,0.0874,0.0893,0.1011,0.1007,0.1093,0.1190,0.1278,0.1189
25,EPS,1.49,1.55,1.51,1.56,1.62,1.42,1.65,1.53,1.52,1.73,1.96,1.91,1.61,1.84,1.43,1.54,2.31,-5.82,1.55,0.88,1.26,1.40,1.38,1.47,1.48,1.63,1.72,1.86,1.91,2.03,1.94,2.21,2.26,2.47,2.64,2.79,3.03
26,EPS Diluted,1.49,1.55,1.51,1.56,1.62,1.42,1.65,1.53,1.51,1.73,1.96,1.91,1.60,1.84,1.43,1.54,2.30,-5.82,1.50,0.87,1.23,1.36,1.35,1.46,1.48,1.62,1.72,1.85,1.91,2.03,1.94,2.21,2.25,2.47,2.64,2.79,3.02
27,Weighted Average Shares Outstanding,123959732,124774194,124635762,124679487,125123457,124859155,124848485,124313725,129671053,133690000,134832000,137358000,140594000,150502000,153366000,337832000,342952000,382051000,398765000,399456000,402330000,405689000,416139000,437054000,456433000,462052000,485039000,487899000,496073000,503847000,507768000,508794000,509000000,511000000,519000000,527000000,527000000
28,Weighted Average Shares Outstanding Diluted,123959732,124774194,124635762,124679487,125123457,124859155,124848485,124313725,130529801,133690000,134832000,137358000,140870000,150743000,153443000,338111000,343742000,382051000,418912000,423334000,425671000,429605000,433131000,441813000,457139000,463391000,485615000,488434000,496532000,504117000,508168000,509465000,509000000,511000000,520000000,528000000,528000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/72903/000091205701008515/0000912057-01-008515-index.html,https://www.sec.gov/Archives/edgar/data/72903/000095013702001868/c68394e10-k.htm,https://www.sec.gov/Archives/edgar/data/72903/000095013403005065/c75712e10vk.htm,https://www.sec.gov/Archives/edgar/data/72903/000095013404003528/c83272e10vk.htm,https://www.sec.gov/Archives/edgar/data/72903/000110465905009425/a05-4263_110k.htm,https://www.sec.gov/Archives/edgar/data/72903/000110465906012011/a06-1891_110k.htm,https://www.sec.gov/Archives/edgar/data/72903/000110465907013272/a07-5000_110k.htm,https://www.sec.gov/Archives/edgar/data/72903/000104746908001516/a2182843z10-k.htm,https://www.sec.gov/Archives/edgar/data/72903/000104746909002013/0001047469-09-002013-index.html,https://www.sec.gov/Archives/edgar/data/72903/000104746910001536/0001047469-10-001536-index.html,https://www.sec.gov/Archives/edgar/data/72903/000114036111012444/form10-k.htm,https://www.sec.gov/Archives/edgar/data/72903/000114036112010717/0001140361-12-010717-index.html,https://www.sec.gov/Archives/edgar/data/72903/000114036113008903/0001140361-13-008903-index.html,https://www.sec.gov/Archives/edgar/data/72903/000007290314000009/xcel1231201310-k.htm,https://www.sec.gov/Archives/edgar/data/72903/000007290315000011/xcel1231201410-k.htm,https://www.sec.gov/Archives/edgar/data/72903/000007290316000123/0000072903-16-000123-index.html,https://www.sec.gov/Archives/edgar/data/72903/000007290317000008/0000072903-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/72903/000007290318000009/0000072903-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/72903/000007290319000010/0000072903-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/72903/000007290320000011/0000072903-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/72903/000007290321000012/0000072903-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/72903/000007290322000010/0000072903-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42400000,56000000,216491000,341310000,901273000,573239000,29761000,72196000,37458000,51120000,249198000,107789000,108437000,60684000,82323000,107144000,79608000,84940000,84476000,83000000,147000000,248000000,129000000,166000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42400000,56000000,216491000,341310000,901273000,573239000,29761000,72196000,37458000,51120000,249198000,107789000,108437000,60684000,82323000,107144000,79608000,84940000,84476000,83000000,147000000,248000000,129000000,166000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,497800000,573300000,1972990000,1670822000,1352044000,1027310000,1204733000,1625585000,1347593000,1683539000,1644260000,1480202000,1427165000,1441860000,1381409000,1431390000,1554998000,1379473000,1506121000,1561000000,1615000000,1550000000,1630000000,1880000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,169100000,291200000,480833000,706969000,676369000,369225000,226415000,535157000,506190000,531610000,666709000,566205000,560800000,618232000,535574000,576538000,597183000,608584000,604226000,610000000,548000000,544000000,535000000,631000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44800000,113300000,457760000,592261000,807482000,1161465000,1110331000,908923000,742945000,540924000,455362000,609215000,636241000,861788000,625833000,1102968000,1132591000,837448000,647258000,719000000,784000000,771000000,981000000,1562000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,754100000,1033800000,3128074000,3311362000,3737168000,3131239000,2571240000,3141861000,2634186000,2807193000,3015529000,2763411000,2732643000,2982564000,2625139000,3218040000,3364380000,2910445000,2842081000,2973000000,3094000000,3113000000,3275000000,4239000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4395200000,4451500000,15272914000,21165117000,18815794000,13667116000,14095955000,14696310000,15548658000,16675689000,17688720000,18508296000,20663082000,22353367000,23809348000,26122159000,28756916000,31205851000,32841750000,34329000000,36944000000,41155000000,44440000000,46748000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95900000,338900000,- -,- -,103748000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1381791000,1476435000,1463515000,1617865000,1755990000,1832640000,1902995000,2091858000,2397000000,2317000000,2731000000,3096000000,3628000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2151100000,3943500000,3367855000,4258583000,4601132000,3407025000,3637648000,3810145000,3775502000,3701845000,4254246000,2834930000,2515530000,2697821000,3088334000,2811301000,3003948000,3034244000,3379588000,3331000000,3632000000,3449000000,3146000000,3236000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6642200000,8733900000,18640769000,25423700000,23520674000,17074141000,17733603000,18506455000,19324160000,20377534000,21942966000,22725017000,24655047000,26514703000,28515547000,30689450000,33593504000,36143090000,38313196000,40057000000,42893000000,47335000000,50682000000,53612000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7396300000,9767700000,21768843000,28735062000,27257842000,20205380000,20304843000,21648316000,21958346000,23184727000,24958495000,25488428000,27387690000,29497267000,31140686000,33907490000,36957884000,39053535000,41155277000,43030000000,45987000000,50448000000,53957000000,57851000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,271800000,321400000,1608989000,1378211000,1399195000,791316000,906308000,1187489000,1101270000,1079345000,1120324000,1083127000,979750000,902078000,959093000,1261238000,1173006000,960982000,1044959000,1243000000,1237000000,1294000000,1237000000,1409000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,609000000,1094000000,2078683000,2907019000,9298224000,218518000,535955000,1581615000,962711000,1726095000,1014022000,1002814000,521815000,1278922000,860155000,1039763000,1277226000,1503021000,647529000,1271000000,1444000000,1297000000,1219000000,1811000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,232964000,254320000,289713000,334441000,378766000,396615000,438189000,457392000,448000000,450000000,466000000,578000000,569000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,351500000,410700000,984136000,1164798000,1651417000,1661232000,893731000,903722000,801300000,835684000,911899000,929316000,1034968000,1407639000,1117825000,1353497000,1614351000,1594294000,1554555000,1574000000,1779000000,1977000000,1783000000,1826000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1232300000,1826100000,4671808000,5450028000,12348836000,2671066000,2335994000,3672826000,2865281000,3641124000,3046245000,3015257000,2536533000,3588639000,2937073000,3654498000,4064583000,4058297000,3247043000,4088000000,4460000000,4568000000,4239000000,5046000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1851100000,3453400000,7583441000,12117516000,6550248000,6518853000,6493020000,5897789000,6449638000,6342160000,7731688000,7888628000,9263144000,8848513000,10143905000,10910754000,11499634000,12490719000,14194718000,14520000000,15803000000,17407000000,20989000000,22925000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,269087000,248345000,252888000,275555000,256945000,228999000,195214000,193000000,199000000,203000000,197000000,196000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,943400000,930200000,1992301000,2473698000,1453363000,2170969000,2214942000,2323194000,2378193000,2666440000,2898276000,3435644000,3482964000,4107120000,4517670000,5410285000,5926684000,6362080000,6847535000,3903000000,4219000000,4558000000,4791000000,4947000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4501500000,4808400000,1854258000,2393786000,2135389000,3573178000,3953038000,4254017000,4344169000,4129400000,4214036000,3760674000,3647463000,4222452000,4415073000,4090448000,4995556000,5312520000,5649918000,8871000000,9084000000,10473000000,9166000000,9125000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7296000000,9192000000,11430000000,16985000000,10139000000,12263000000,12661000000,12475000000,13172000000,13138000000,14844000000,15084946000,16662658000,17426430000,19329536000,20687042000,22678819000,24394318000,26887385000,27487000000,29305000000,32641000000,35143000000,37193000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1549000000,1558000000,1351000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4809800000,7104900000,15824404000,21780595000,22452776000,14933679000,14993725000,16144534000,16034984000,16778745000,17889774000,18100203000,19199191000,21015069000,22266609000,24341540000,26743402000,28452615000,30134428000,31575000000,33765000000,37209000000,39382000000,42239000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,105320000,104980000,104980000,104980000,104980000,104980000,104980000,104980000,104980000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,381700000,389100000,852085000,864503000,996785000,997412000,1001155000,1008468000,1018242000,1071957000,1134480000,1143773000,1205834000,1216234000,1219899000,1244929000,1264333000,1268839000,1268057000,1269000000,1285000000,1311000000,1344000000,1360000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1432700000,- -,2284220000,2558403000,-100942000,368663000,396641000,562138000,771249000,963916000,1187911000,1419201000,1701703000,2032556000,2413816000,2807983000,3220958000,3552728000,3981652000,4413000000,4893000000,5413000000,5968000000,6572000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5028900000,-4409200000,-8759322000,-9594775000,-269010000,-90136000,-105934000,-132061000,-16326000,-21788000,-53669000,-49709000,-53093000,-94035000,-112653000,-106275000,-108139000,-109753000,-110354000,-125000000,-124000000,-141000000,-141000000,-123000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5801000000,6682900000,11567456000,13126336000,4038151000,3890501000,3911056000,3956710000,4043657000,4286917000,4695019000,4769980000,5229075000,5327443000,5353015000,5619313000,5837330000,5889106000,5881494000,5898000000,6168000000,6656000000,7404000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2586500000,2662800000,5944439000,6954467000,4770304000,5271420000,5307898000,5500235000,5921802000,6405982000,7068721000,7388225000,8188499000,8482198000,8874077000,9565950000,10214482000,10600920000,11020849000,11455000000,12222000000,13239000000,14575000000,15612000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7396300000,9767700000,21768843000,28735062000,27223080000,20205099000,20301623000,21644769000,21956786000,23184727000,24958495000,25488428000,27387690000,29497267000,31140686000,33907490000,36957884000,39053535000,41155277000,43030000000,45987000000,50448000000,53957000000,57851000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34762000,281000,3220000,3547000,1560000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7396300000,9767700000,21768843000,28735062000,27257842000,20205380000,20304843000,21648316000,21958346000,23184727000,24958495000,25488428000,27387690000,29497267000,31140686000,33907490000,36957884000,39053535000,41155277000,43030000000,45987000000,50448000000,53957000000,57851000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/72903/000091205701008515/0000912057-01-008515-index.html,https://www.sec.gov/Archives/edgar/data/72903/000095013702001868/c68394e10-k.htm,https://www.sec.gov/Archives/edgar/data/72903/000095013403005065/c75712e10vk.htm,https://www.sec.gov/Archives/edgar/data/72903/000095013404003528/c83272e10vk.htm,https://www.sec.gov/Archives/edgar/data/72903/000110465905009425/a05-4263_110k.htm,https://www.sec.gov/Archives/edgar/data/72903/000110465906012011/a06-1891_110k.htm,https://www.sec.gov/Archives/edgar/data/72903/000110465907013272/a07-5000_110k.htm,https://www.sec.gov/Archives/edgar/data/72903/000104746908001516/a2182843z10-k.htm,https://www.sec.gov/Archives/edgar/data/72903/000104746909002013/0001047469-09-002013-index.html,https://www.sec.gov/Archives/edgar/data/72903/000104746910001536/0001047469-10-001536-index.html,https://www.sec.gov/Archives/edgar/data/72903/000114036111012444/form10-k.htm,https://www.sec.gov/Archives/edgar/data/72903/000114036112010717/0001140361-12-010717-index.html,https://www.sec.gov/Archives/edgar/data/72903/000114036113008903/0001140361-13-008903-index.html,https://www.sec.gov/Archives/edgar/data/72903/000007290314000009/xcel1231201310-k.htm,https://www.sec.gov/Archives/edgar/data/72903/000007290315000011/xcel1231201410-k.htm,https://www.sec.gov/Archives/edgar/data/72903/000007290316000123/0000072903-16-000123-index.html,https://www.sec.gov/Archives/edgar/data/72903/000007290317000008/0000072903-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/72903/000007290318000009/0000072903-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/72903/000007290319000010/0000072903-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/72903/000007290320000011/0000072903-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/72903/000007290321000012/0000072903-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/72903/000007290322000010/0000072903-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,243500000,275800000,274500000,237300000,282400000,224300000,526828000,794966000,-2217991000,622392000,355961000,512972000,571754000,577348000,645554000,680887000,755834000,841172000,905229000,948234000,1021306000,984485000,1123379000,1148000000,1261000000,1372000000,1473000000,1597000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,915701000,977555000,1009755000,1046353000,1099932000,1151057000,1249390000,1435734000,1609000000,1781000000,1904000000,2082000000,2257000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2300000,-11100000,-30600000,-5900000,-1000000,-18900000,62716000,11190000,-781531000,113985000,45488000,205058000,-59843000,265277000,259045000,416581000,414460000,466567000,501484000,509309000,563835000,530591000,581447000,635000000,218000000,143000000,-8000000,-79000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29672000,35807000,45006000,26970000,24613000,32189000,44928000,41170000,57000000,45000000,58000000,73000000,31000000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9700000,26100000,-51500000,100300000,-543400000,-314100000,-751434000,-594932000,-6473002000,9071841000,-224927000,-766211000,299870000,-602836000,803215000,-221130000,447956000,-802185000,294141000,-124524000,-263745000,-447649000,742890000,-710038000,-251000000,-89000000,491000000,-1444000000
