,https://roic.ai/company/COWN,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
20,Income Before Tax,-106626000,-229119000,- -,56989000,13233000,42459000,-17830000,-64073000,-47245000,-53090000,-98610000,-23509000,18297000,57836000,11479000,-31487000,6962000,98936000,70723000,297437000,406030000
21,Income Before Tax Ratio,-0.2498,-0.7362,- -,0.1963,0.0450,0.1231,-0.0682,-0.2948,-0.3813,-0.2271,-0.4191,-0.0978,0.0559,0.1352,0.0247,-0.0668,0.0106,0.1023,0.0674,0.1832,0.1922
22,Income Tax expense (Gain),866000,27000,- -,1877000,1152000,4548000,-6509000,8081000,-8206000,-21400000,-20073000,448000,457000,-124944000,-47496000,-19092000,44053000,15719000,14853000,90373000,102039000
23,Net Income,-107492000,-229146000,-74374000,55112000,12081000,37911000,-11321000,-72154000,-55287000,-45417000,-108010000,-23885000,4647000,167216000,43729000,-19277000,-60882000,42819000,24631000,216363000,295611000
24,Net Income ratio,-0.2518,-0.7363,-Infinity,0.1899,0.0411,0.1099,-0.0433,-0.3320,-0.4462,-0.1942,-0.4591,-0.0993,0.0142,0.3909,0.0941,-0.0409,-0.0924,0.0443,0.0235,0.1333,0.1399
25,EPS,-33.33,-71.04,-19.83,17.08,3.22,11.76,-3.52,-25.64,-5.40,-2.48,-4.52,-0.84,0.16,5.80,1.44,-0.97,-2.29,1.22,0.60,7.54,10.42
26,EPS Diluted,-33.33,-71.04,-19.83,17.08,3.22,11.68,-3.52,-25.64,-5.40,-2.48,-4.52,-0.84,0.16,5.60,1.36,-0.97,-2.29,1.17,0.57,7.10,8.85
27,Weighted Average Shares Outstanding,3225000,3225000,3750000,3225000,3750000,3225750,3201250,2813500,10250250,18287250,23883000,28600000,29175750,28731500,27522500,26857000,29492000,29545000,29525000,27790000,27721000
28,Weighted Average Shares Outstanding Diluted,3225000,3225000,3750000,3225000,3750000,3241500,3201250,2813500,10250250,18287250,23883000,28600000,30279250,29871500,29043500,26857000,29492000,30735000,31286000,29519000,32628000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1466538/000104746910002729/0001047469-10-002729-index.html,https://www.sec.gov/Archives/edgar/data/1466538/000104746911002078/a2202468z10-k.htm,https://www.sec.gov/Archives/edgar/data/1466538/000144530512000609/0001445305-12-000609-index.html,https://www.sec.gov/Archives/edgar/data/1466538/000146653813000004/0001466538-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/1466538/000146653814000008/a10k123113.htm,https://www.sec.gov/Archives/edgar/data/1466538/000146653815000003/a10k12312014.htm,https://www.sec.gov/Archives/edgar/data/1466538/000146653816000058/0001466538-16-000058-index.html,https://www.sec.gov/Archives/edgar/data/1466538/000146653817000014/0001466538-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/1466538/000146653818000018/0001466538-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/1466538/000146653819000018/0001466538-19-000018-index.html,https://www.sec.gov/Archives/edgar/data/1466538/000146653820000026/0001466538-20-000026-index.html,https://www.sec.gov/Archives/edgar/data/1466538/000146653821000029/0001466538-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1466538/000146653822000036/0001466538-22-000036-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,2150000,185042000,139879000,108595000,154613000,52197000,136971000,87097000,56768000,130010000,172419000,129775000,152040000,297266000,331997000,645586000,914639000
32,Short-Term Investments,- -,- -,- -,190923000,221193000,259921000,25613000,- -,82643000,856511000,1041997000,624127000,320737000,792206000,610234000,700876000,673221000,520888000,1633552000,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,190923000,223343000,444963000,165492000,108595000,237256000,908708000,1178968000,711224000,377505000,922216000,782653000,830651000,825261000,818154000,1965549000,645586000,914639000
34,Net Receivables,- -,- -,- -,- -,47853000,111953000,61732000,22396000,69831000,143995000,100897000,133435000,145584000,215379000,285096000,217306000,837916000,1056981000,1087778000,2085961000,2270678000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,574747000,452753000,64893000,59914000,21666000,- -,98487000,166260000,-609098000,-304050000,-766871000,-591692000,-671543000,-430925000,-235622000,-1417949000,415304000,375401000
37,Total Current Assets,- -,- -,- -,765670000,723949000,621809000,287138000,152657000,307087000,1151190000,1446125000,235561000,219039000,370724000,476057000,376414000,1232252000,1639513000,1635378000,3146851000,3560718000
38,PP&E,- -,- -,- -,4680000,3223000,12629000,11414000,10472000,32603000,30194000,37042000,32202000,26999000,26388000,27231000,42408000,40496000,26443000,126513000,111264000,119631000
39,Goodwill,- -,- -,- -,- -,50000000,50000000,50000000,2551000,27179000,27179000,20028000,28545000,37240000,34906000,58361000,60678000,60678000,60678000,137728000,147084000,234005000
40,Intangible Assets,- -,- -,- -,50000000,8167000,- -,486000,369000,16394000,12754000,5760000,12984000,12094000,8483000,25663000,25769000,29955000,24943000,35200000,24403000,44167000
41,Intangible Assets,- -,- -,- -,50000000,58167000,50000000,50486000,2920000,43573000,39933000,25788000,41529000,49334000,43389000,84024000,86447000,90633000,85621000,172928000,171487000,278172000
42,Investments,- -,- -,- -,- -,220086000,259921000,25613000,15141000,633000000,954000000,- -,1324883000,1535473000,1825147000,1046699000,1338857000,1797944000,1484118000,3124762000,4368299000,4738523000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,135358000,148355000,165656000,116323000,93057000,79166000,9030000,21765000
44,Other Non-Current Assets,- -,- -,- -,- -,-220086000,-259921000,-25613000,26308000,-56822000,-928147000,26883000,4301000,11155000,4670000,10088000,8741000,18604000,17551000,23278000,21268000,30005000
45,Total Non-Current Assets,- -,- -,- -,54680000,61390000,62629000,61900000,54841000,652354000,95980000,89713000,1402915000,1622961000,2034952000,1316397000,1642109000,2064000000,1706790000,3526647000,4681348000,5188096000
46,Other Assets,1136180000,750054000,717980000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1136180000,750054000,717980000,820350000,785339000,684438000,349038000,207498000,959441000,1247170000,1535838000,1638476000,1842000000,2405676000,1792454000,2018523000,3296252000,3346303000,5162025000,7828199000,8748814000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,129749000,213360000,5691000,6873000,6553000,5762000,3924000,78820000,118259000,93720000,161398000,119698000
49,Short-Term Debt,- -,- -,- -,3055000,1581000,1858000,1719000,242000,57849000,31733000,5650000,4132000,2564000,67144000,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2430000,2503000,3754000,1236000,456000,7482000,1742000,2778000,17204000,20540000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,850000,2000000,- -,- -,- -,- -,29292000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,214000,155726000,492086000,140742000,265636000,156223000,539332000,336342000,364246000,877067000,1089938000,1087815000,2689737000,3684454000
53,Total Current Liabilities,- -,- -,- -,3055000,1581000,1858000,1719000,456000,213575000,653568000,359752000,275459000,165660000,613029000,342954000,370170000,955887000,1208197000,1181535000,2851135000,3833444000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,7798000,- -,- -,- -,410441000,918577000,800968000,195761000,207059000,771791000,812306000,2066005000,3023024000,2308826000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,540000,1147000,1033000,428000,2728000,6116000,12483000,16092000,14732000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,55604000,41516000,- -,563034000,456927000,248850000,312971000,463318000,665916000,814439000,518910000,994218000,770187000,1310190000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,63402000,41516000,- -,563034000,867908000,1168574000,1114972000,659507000,875703000,1592346000,1343699000,3076315000,3807943000,3619016000
59,Other Liabilities,348249000,357005000,455037000,463817000,409807000,464452000,138664000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3926000,2523000,3894000,- -,- -,- -,- -,97581000,82735000,98883000
61,Total Liabilities,348249000,357005000,455037000,466872000,411388000,466310000,140383000,63858000,255091000,653568000,922786000,1143367000,1334234000,1728001000,1002461000,1245873000,2548233000,2551896000,4257850000,6659078000,7452460000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000,1000,1000,1000,1000,1000,120750000
63,Common Stock,- -,- -,- -,- -,- -,129000,115000,110000,726000,726000,1135000,1135000,1160000,1160000,1167000,292000,324000,324000,334000,334000,334000
64,Retained Earnings,- -,- -,- -,- -,- -,2759000,-8562000,-80716000,-10553000,-55970000,-163980000,-187865000,-183243000,-16027000,23627000,-2442000,-70116000,-34648000,-16809000,185901000,461982000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,-846000,-520000,20000,-215000,356000,592000,17000,-29953000,-2000,-8000,-5000,-5000,-7000,-2000
66,Other Total Stockholders Equity,787931000,393049000,262943000,353478000,373951000,215240000,217102000,223567000,483872000,504480000,671525000,681483000,689257000,692525000,795151000,774801000,817818000,828735000,826334000,783268000,553555000
67,Total Stockholders Equity,787931000,393049000,262943000,353478000,373951000,218128000,208655000,142115000,473525000,449256000,508465000,495109000,507766000,677675000,789993000,772650000,748019000,794407000,809855000,969497000,1136619000
68,Total Liabilities And Stockholders Equity,1136180000,750054000,717980000,820350000,785339000,684438000,349038000,205973000,728616000,1102824000,1431251000,1638476000,1842000000,2405676000,1792454000,2018523000,3296252000,3346303000,5067705000,7628575000,8589079000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,1525000,230825000,144346000,104587000,- -,- -,- -,- -,- -,- -,- -,94320000,199624000,159735000
70,Total Liabilities & Equity,1136180000,750054000,717980000,820350000,785339000,684438000,349038000,207498000,959441000,1247170000,1535838000,1638476000,1842000000,2405676000,1792454000,2018523000,3296252000,3346303000,5162025000,7828199000,8748814000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1466538/000104746910002729/0001047469-10-002729-index.html,https://www.sec.gov/Archives/edgar/data/1466538/000104746911002078/a2202468z10-k.htm,https://www.sec.gov/Archives/edgar/data/1466538/000144530512000609/0001445305-12-000609-index.html,https://www.sec.gov/Archives/edgar/data/1466538/000146653813000004/0001466538-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/1466538/000146653814000008/a10k123113.htm,https://www.sec.gov/Archives/edgar/data/1466538/000146653815000003/a10k12312014.htm,https://www.sec.gov/Archives/edgar/data/1466538/000146653816000058/0001466538-16-000058-index.html,https://www.sec.gov/Archives/edgar/data/1466538/000146653817000014/0001466538-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/1466538/000146653818000018/0001466538-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/1466538/000146653819000018/0001466538-19-000018-index.html,https://www.sec.gov/Archives/edgar/data/1466538/000146653820000026/0001466538-20-000026-index.html,https://www.sec.gov/Archives/edgar/data/1466538/000146653821000029/0001466538-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1466538/000146653822000036/0001466538-22-000036-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,55112000,12081000,37911000,-11321000,-72154000,-55287000,-45417000,-108010000,-23885000,4647000,167216000,43729000,-19277000,-60882000,42819000,24631000,216363000,295611000
74,Depreciation and Amortization,- -,- -,- -,2409000,2140000,2369000,3168000,2882000,5761000,11543000,26864000,9437000,10227000,10188000,9498000,12713000,13078000,12436000,20460000,22677000,19004000
75,Deferred Income Tax,- -,- -,- -,1877000,1152000,-832000,-7158000,5935000,- -,- -,- -,- -,- -,-130724000,-17966000,-21274000,45856000,15486000,13295000,70136000,-14095000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,10811000,3637000,20608000,28308000,24784000,17915000,18297000,21740000,26039000,28443000,37018000,33918000,48222000,65718000
77,Change in Working Capital,- -,- -,- -,-225958000,-41721000,-102140000,-334671000,-134937000,-58689000,404110000,588751000,-1126271000,93277000,-295684000,375408000,-126859000,270121000,154951000,22527000,-158127000,66325000
78,Accounts Receivable,- -,- -,- -,-100048000,33468000,286865000,295776000,- -,- -,- -,- -,-5642000,-9975000,-1406000,11099000,-12632000,-36091000,5632000,-74932000,-32307000,76861000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,-12931000,-4118000,81635000,-325707000,- -,- -,- -,- -,-12588000,-128712000,265635000,-207396000,70157000,12716000,18092000,-3277000,56315000,897703000
81,Other Working Capital,- -,- -,- -,765670000,723949000,621809000,287138000,152201000,93512000,497622000,1086373000,-39898000,53379000,-242305000,133103000,6244000,276365000,431316000,453843000,295716000,- -
82,Other Non-Cash Items,- -,- -,- -,115342000,71284000,451253000,321564000,178920000,214876000,-442397000,-303029000,1012069000,24523000,163996000,-499761000,-226116000,-413008000,61826000,-294741000,322008000,-125936000
83,Cash Provided by Operating Activities,- -,- -,- -,-51218000,44936000,388561000,-28418000,-8543000,110298000,-51553000,232884000,-103866000,150589000,-66711000,-67352000,-354774000,-116392000,324536000,-179910000,521279000,306627000
84,CAPEX,- -,- -,- -,-5032000,-705000,-11775000,-1953000,-1570000,-399000,-5853000,-6539000,-1902000,-1141000,-2224000,-7030000,-15613000,-5986000,-8586000,-14882000,-10721000,-11819000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-3204000,- -,- -,- -,-10853000,- -,- -,-38416000,11045000,-55049000,- -,-48581000,-5647000,-68866000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-18103000,-233000,-419669000,-136419000,-14848000,-20048000,-117307000,-14149000,-33786000,-10419000,-28092000,-19812000,-48825000,-98375000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,2962000,9477000,316063000,57917000,179558000,29900000,82072000,58166000,54068000,71749000,18782000,35648000,44371000,99142000
88,Other Investing Activites,- -,- -,- -,- -,170000,- -,- -,- -,- -,- -,- -,- -,-779000,- -,-46000000,42800000,-2692000,14000,-14882000,-10721000,4374000
89,Cash Used for Investing Activites,- -,- -,- -,-5032000,-535000,-11775000,-1953000,-19915000,8845000,-109459000,-85041000,151955000,7932000,-37459000,-47429000,58514000,-2397000,-17882000,-47627000,-20822000,-75544000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-203000,-25663000,-26576000,-1518000,-3613000,-3627000,-3299000,-29800000,-187897000,-30101000,-31123000,-191313000,-294552000
91,Common Stock Issued,- -,- -,- -,79991000,1439000,- -,- -,- -,80607000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-14593000,-4351000,-23943000,- -,-11365000,-10838000,-12732000,-26038000,-48678000,-7654000,-19662000,-31762000,-15217000,-47314000,-159822000
93,Dividends Paid,- -,- -,- -,- -,- -,-180332000,-199000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12502000,-18165000
94,Other Financing Activites,- -,- -,- -,-22064000,-45670000,-13562000,- -,1525000,-74914000,75662000,-19367000,-81070000,-170994000,208624000,195734000,287243000,345410000,-66886000,246778000,276711000,456820000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,57927000,-44231000,-193894000,-14792000,-2826000,-18453000,49999000,-57308000,-93426000,-187339000,178959000,143757000,249789000,137851000,-128749000,200438000,25582000,-15719000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,1677000,170000,182892000,-45163000,-31284000,100690000,-111013000,90535000,-45337000,-28818000,74789000,28976000,-46471000,19062000,177905000,-27099000,526039000,215364000
98,Cash at the End of Period,- -,- -,- -,1980000,2150000,185042000,139879000,108595000,147367000,36354000,126889000,83538000,54720000,129509000,158485000,112014000,130052000,442113000,415014000,941053000,1156834000
99,Cash at the Beginning of Period,- -,- -,- -,303000,1980000,2150000,185042000,139879000,46677000,147367000,36354000,128875000,83538000,54720000,129509000,158485000,110990000,264208000,442113000,415014000,941470000
100,Free Cash Flow,- -,- -,- -,-56250000,44231000,376786000,-30371000,-10113000,109899000,-57406000,226345000,-105768000,149448000,-68935000,-74382000,-370387000,-122378000,315950000,-194792000,510558000,294808000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1466538/000104746910002729/0001047469-10-002729-index.html,https://www.sec.gov/Archives/edgar/data/1466538/000104746911002078/a2202468z10-k.htm,https://www.sec.gov/Archives/edgar/data/1466538/000144530512000609/0001445305-12-000609-index.html,https://www.sec.gov/Archives/edgar/data/1466538/000146653813000004/0001466538-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/1466538/000146653814000008/a10k123113.htm,https://www.sec.gov/Archives/edgar/data/1466538/000146653815000003/a10k12312014.htm,https://www.sec.gov/Archives/edgar/data/1466538/000146653816000058/0001466538-16-000058-index.html,https://www.sec.gov/Archives/edgar/data/1466538/000146653817000014/0001466538-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/1466538/000146653818000018/0001466538-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/1466538/000146653819000018/0001466538-19-000018-index.html,https://www.sec.gov/Archives/edgar/data/1466538/000146653820000026/0001466538-20-000026-index.html,https://www.sec.gov/Archives/edgar/data/1466538/000146653821000029/0001466538-21-000029-index.htm,https://www.sec.gov/Archives/edgar/data/1466538/000146653822000036/0001466538-22-000036-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
