,https://roic.ai/company/GSK,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,186000000,242000000,180000000,186000000,65000000,250000000,89000000,104000000,111000000,114000000,158000000,- -,73000000,- -,176000000,257000000,287000000,262000000,313000000,70000000,116000000,90000000,73000000,59000000,66000000,99000000,70000000,63000000,81000000,98000000,29000000,28000000
13,Interest Expense (Gain),- -,7000000,11000000,21000000,26000000,44000000,75000000,63000000,56000000,44000000,337000000,276000000,227000000,202000000,206000000,317000000,- -,206000000,161000000,362000000,451000000,352000000,453000000,843000000,783000000,831000000,799000000,760000000,740000000,703000000,735000000,717000000,736000000,771000000,885000000,856000000,784000000
14,Depreciation and Amortization,- -,42000000,55000000,73000000,93000000,122000000,151000000,191000000,225000000,282000000,533000000,410000000,373000000,358000000,428000000,735000000,812799630,824000000,859040000,890482880,903703800,958039570,1023123250,1231000000,1562000000,1679000000,1423000000,1445000000,1414000000,1484000000,1630000000,1774000000,1922000000,1856000000,2334000000,2351000000,2524000000
15,EBITDA,- -,658000000,821000000,931000000,1123000000,1330000000,1466000000,1673000000,1949000000,2149000000,3195000000,3616000000,3269000000,3211000000,3191000000,6961000000,5562963090,6426000000,7234920000,7252815120,7957843720,8997834990,8916332000,8733000000,10098000000,5448000000,9723000000,8718000000,8609000000,5080000000,12941000000,4280000000,5546000000,7004000000,8817000000,9536000000,8039000000
16,EBITDA ratio,- -,0.4605,0.4716,0.4522,0.4370,0.4184,0.4316,0.4084,0.3953,0.3800,0.3046,0.4335,0.4096,0.4022,0.3759,0.3850,0.2709,0.3029,0.3379,0.3564,0.3675,0.3875,0.3921,0.3586,0.3560,0.1919,0.3550,0.3298,0.3248,0.2208,0.5409,0.1535,0.1837,0.2272,0.2612,0.2797,0.2357
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,1287000000,1525000000,1817000000,2382000000,3132000000,2822000000,2683000000,2625000000,4729000000,6103223640,5551000000,6383440000,6147355760,363806160,7805700130,7938912000,7141000000,8425000000,3783000000,7807000000,7392000000,7028000000,3597000000,10322000000,2598000000,4087000000,5483000000,6961000000,7783000000,6201000000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,0.3142,0.3093,0.3213,0.2271,0.3755,0.3536,0.3361,0.3092,0.2616,0.2972,0.2617,0.2981,0.3021,0.0168,0.3362,0.3491,0.2932,0.2970,0.1332,0.2851,0.2797,0.2652,0.1564,0.4315,0.0932,0.1354,0.1779,0.2062,0.2282,0.1818
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,140000000,150000000,18000000,5000000,-168000000,-136000000,-12000000,-50000000,1300000000,-17893980,-45000000,-62720000,-31281600,6366607800,-9187380,-402391500,-482000000,-534000000,-626000000,-109000000,-700000000,-381000000,-629000000,204000000,-659000000,-562000000,-683000000,-740000000,-815000000,-759000000
20,Income Before Tax,- -,612000000,746000000,832000000,1006000000,1182000000,1283000000,1427000000,1675000000,1835000000,2387000000,2964000000,2686000000,2671000000,2575000000,6029000000,6085329660,5506000000,6320720000,6116074160,6730413960,7796512750,7536520500,6659000000,7891000000,3157000000,7698000000,6692000000,6647000000,2968000000,10526000000,1939000000,3525000000,4800000000,6221000000,6968000000,5442000000
21,Income Before Tax Ratio,- -,0.4283,0.4285,0.4041,0.3914,0.3718,0.3777,0.3484,0.3398,0.3244,0.2276,0.3554,0.3366,0.3346,0.3033,0.3335,0.2964,0.2596,0.2952,0.3005,0.3108,0.3358,0.3314,0.2734,0.2782,0.1112,0.2811,0.2532,0.2508,0.1290,0.4400,0.0695,0.1168,0.1557,0.1843,0.2043,0.1595
22,Income Tax expense (Gain),- -,209000000,245000000,256000000,316000000,357000000,359000000,386000000,461000000,524000000,867000000,933000000,819000000,815000000,746000000,1747000000,1650375540,1461000000,1736560000,1700154960,1915503360,2300417870,2221221250,1947000000,2222000000,1304000000,2240000000,1948000000,1019000000,137000000,2154000000,877000000,1356000000,754000000,953000000,580000000,346000000
23,Net Income,- -,400000000,510000000,581000000,688000000,807000000,881000000,1033000000,1207000000,1299000000,1458000000,1997000000,1850000000,1836000000,1811000000,4162000000,3099787920,3935000000,4478320000,4300177280,4687636560,5387377550,5218987500,4712000000,5531000000,1634000000,5261000000,4565000000,5436000000,2756000000,8422000000,912000000,1532000000,3623000000,4645000000,5749000000,4385000000
24,Net Income ratio,- -,0.2799,0.2929,0.2822,0.2677,0.2539,0.2593,0.2522,0.2448,0.2297,0.1390,0.2394,0.2318,0.2300,0.2133,0.2302,0.1510,0.1855,0.2091,0.2113,0.2165,0.2320,0.2295,0.1935,0.1950,0.0576,0.1921,0.1727,0.2051,0.1198,0.3520,0.0327,0.0508,0.1175,0.1376,0.1686,0.1285
25,EPS,- -,0.54,0.69,0.79,0.92,0.54,0.59,0.69,0.80,0.85,0.89,1.13,1.04,1.02,1.00,1.35,1.01,1.32,1.54,1.36,1.65,1.91,1.89,177.20,2.18,0.64,2.09,1.86,2.25,1.15,3.49,0.38,0.63,1.47,1.88,2.31,1.75
26,EPS Diluted,- -,0.54,0.69,0.79,0.92,0.54,0.59,0.69,0.80,0.85,0.89,1.13,1.02,1.01,1.00,1.34,1.00,1.32,1.54,1.36,1.64,1.89,1.87,176.20,2.16,0.64,2.06,1.83,2.21,1.13,3.45,0.37,0.62,1.46,1.85,2.28,1.73
27,Weighted Average Shares Outstanding,- -,740000000,740000000,740000000,744864000,1499602000,1499602000,1505123500,1511049500,1520113000,1637000000,1762000000,1780000000,1798000000,1811000000,3032500000,3036053648,2956000000,2903000000,2868000000,2837000000,2821500000,2762000000,2615606936,2534500000,2545171340,2514000000,2456000000,2415500000,2404000000,2415500000,2430000000,2443000000,2457000000,2473500000,2488000000,2501500000
28,Weighted Average Shares Outstanding Diluted,- -,740000000,740000000,740000000,744864000,1499602000,1499602000,1505123500,1511049500,1520113000,1637000000,1762000000,1801000000,1818000000,1819500000,3067000000,3060343880,2981060606,2919375813,2874000000,2860000000,2850000000,2783500000,2634643377,2554000000,2561128527,2549500000,2494500000,2459500000,2432500000,2444000000,2454500000,2470500000,2485500000,2508000000,2519000000,2532500000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1131399/000102123104000207/0001021231-04-000207-index.htm,https://www.sec.gov/Archives/edgar/data/1131399/000102123105000197/0001021231-05-000197-index.htm,https://www.sec.gov/Archives/edgar/data/1131399/000102123106000123/0001021231-06-000123-index.htm,https://www.sec.gov/Archives/edgar/data/1131399/000115697307000334/0001156973-07-000334-index.htm,https://www.sec.gov/Archives/edgar/data/1131399/000115697308000248/0001156973-08-000248-index.htm,https://www.sec.gov/Archives/edgar/data/1131399/000115697309000126/0001156973-09-000126-index.htm,https://www.sec.gov/Archives/edgar/data/1131399/000095012310019098/0000950123-10-019098-index.htm,https://www.sec.gov/Archives/edgar/data/1131399/000095012311022182/0000950123-11-022182-index.htm,https://www.sec.gov/Archives/edgar/data/1131399/000119312512112357/0001193125-12-112357-index.htm,https://www.sec.gov/Archives/edgar/data/1131399/000119312513098802/0001193125-13-098802-index.htm,https://www.sec.gov/Archives/edgar/data/1131399/000119312514077405/0001193125-14-077405-index.htm,https://www.sec.gov/Archives/edgar/data/1131399/000119312515070125/0001193125-15-070125-index.htm,https://www.sec.gov/Archives/edgar/data/1131399/000119312516510261/0001193125-16-510261-index.htm,https://www.sec.gov/Archives/edgar/data/1131399/000119312517087259/0001193125-17-087259-index.htm,https://www.sec.gov/Archives/edgar/data/1131399/000119312518086062/0001193125-18-086062-index.htm,https://www.sec.gov/Archives/edgar/data/1131399/000119312519076716/0001193125-19-076716-index.htm,https://www.sec.gov/Archives/edgar/data/1131399/000119312520065064/0001193125-20-065064-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,35000000,23000000,40000000,575000000,266000000,34000000,24000000,63000000,55000000,- -,261000000,215000000,240000000,217000000,1283000000,717823890,1052000000,960960000,1160547360,4208179560,2004380070,3382509000,5623000000,6545000000,6057000000,5714000000,4184000000,5534000000,4338000000,5830000000,4897000000,3833000000,3874000000,4707000000,6092000000,4274000000
32,Short-Term Investments,- -,557000000,912000000,1132000000,719000000,1326000000,2095000000,1725000000,2434000000,2708000000,- -,1001000000,1447000000,1645000000,1749000000,2309000000,1603575900,1417000000,2489760000,2816908080,1024585080,1034601070,1154228250,391000000,397000000,277000000,184000000,81000000,66000000,69000000,75000000,89000000,78000000,84000000,79000000,78000000,61000000
33,Cash and Short-Term Investments,- -,592000000,935000000,1172000000,1294000000,1592000000,2129000000,1749000000,2497000000,2763000000,- -,1262000000,1662000000,1885000000,1966000000,3592000000,2321399790,2469000000,3450720000,3977455440,5232764640,3038981140,4536737250,6014000000,6942000000,6334000000,5898000000,4265000000,5600000000,4407000000,5905000000,4986000000,3911000000,3958000000,4786000000,6170000000,4335000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,276000000,288000000,310000000,351000000,417000000,494000000,475000000,595000000,575000000,- -,804000000,855000000,1154000000,1537000000,2277000000,2094283890,2080000000,2106160000,2191276080,2176444200,2436186930,3064831500,4056000000,4064000000,3837000000,3873000000,3969000000,3900000000,4231000000,4716000000,5102000000,5557000000,5476000000,5947000000,5996000000,5783000000
36,Other Current Assets,- -,353000000,434000000,503000000,637000000,855000000,1012000000,1085000000,1346000000,1310000000,- -,2302000000,2285000000,2470000000,2577000000,5399000000,5603568660,6200000000,7051520000,7458054800,5764526040,5513448820,6037889500,7199000000,6564000000,5865000000,6396000000,5458000000,5727000000,6040000000,5966000000,6623000000,6439000000,7493000000,8758000000,8081000000,8556000000
37,Total Current Assets,- -,1221000000,1657000000,1985000000,2282000000,2864000000,3635000000,3309000000,4438000000,4648000000,- -,4368000000,4802000000,5509000000,6080000000,11268000000,10019252340,10749000000,12608400000,13626786320,13173734880,10988616890,13639458250,17269000000,17570000000,16036000000,16167000000,13692000000,15227000000,14678000000,16587000000,16711000000,15907000000,16927000000,19491000000,20247000000,18674000000
38,PP&E,- -,536000000,650000000,829000000,1124000000,1611000000,2081000000,2341000000,2959000000,3184000000,- -,3853000000,3583000000,3633000000,3720000000,6642000000,6860276640,6649000000,6433280000,6467992160,6650213880,6927794930,7828481250,9678000000,9374000000,9045000000,8748000000,8776000000,8872000000,9052000000,9668000000,10808000000,10860000000,11058000000,11314000000,11006000000,10672000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,142800000,- -,696000000,757958850,1371560000,2101000000,3361000000,3606000000,3754000000,4359000000,4205000000,3724000000,5162000000,5965000000,5734000000,5789000000,10562000000,10597000000,10552000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,106000000,144000000,1136000000,1851338700,1808000000,1694560000,2141225520,4077999720,3292144500,4460595500,5869000000,8183000000,8532000000,7802000000,10161000000,9283000000,8320000000,16672000000,18776000000,17562000000,17202000000,30955000000,29824000000,30079000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,106000000,144000000,1136000000,1851338700,1808000000,1837360000,2141225520,4077999720,4050103350,5832155500,7970000000,11544000000,12138000000,11556000000,14520000000,13488000000,12044000000,21834000000,24741000000,23296000000,22991000000,41517000000,40421000000,40631000000
42,Investments,- -,46000000,51000000,53000000,63000000,17000000,17000000,12000000,8000000,3000000,- -,8000000,12000000,12000000,58000000,84000000,- -,1704000000,-2195760000,-2309908080,-386585080,-298601070,-308228250,639000000,952000000,1515000000,966000000,1285000000,1459000000,1385000000,1387000000,1159000000,1023000000,1474000000,2072000000,3346000000,2153000000
43,Tax Assets,- -,35000000,23000000,40000000,575000000,266000000,34000000,24000000,63000000,55000000,- -,261000000,215000000,240000000,217000000,1283000000,- -,1052000000,- -,2032000000,2213638440,2122284780,2198025750,2760000000,2374000000,2566000000,2849000000,2385000000,2084000000,2688000000,2905000000,4374000000,3796000000,3887000000,4096000000,4287000000,5218000000
44,Other Non-Current Assets,- -,-35000000,-23000000,-40000000,-575000000,-266000000,-23000000,-4000000,-10000000,-3000000,- -,-176000000,-175000000,-154000000,208000000,1177000000,3234681000,365000000,5260640000,610014400,1462893400,1754800800,1843669500,1077000000,1048000000,930000000,794000000,817000000,956000000,804000000,1065000000,1288000000,1499000000,1729000000,1202000000,1124000000,1755000000
45,Total Non-Current Assets,- -,582000000,701000000,882000000,1187000000,1628000000,2109000000,2373000000,3020000000,3239000000,- -,3946000000,3635000000,3837000000,4347000000,10322000000,11946296340,11578000000,11335520000,8941324000,14018160360,14556382790,17394103750,22124000000,25292000000,26194000000,24913000000,27783000000,26859000000,25973000000,36859000000,42370000000,40474000000,41139000000,60201000000,60184000000,60429000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1803000000,2358000000,2867000000,3469000000,4492000000,5744000000,5682000000,7458000000,7887000000,- -,8314000000,8437000000,9346000000,10427000000,21590000000,21965548680,22327000000,23943920000,22568110320,27191895240,25544999680,31033562000,39393000000,42862000000,42230000000,41080000000,41475000000,42086000000,40651000000,53446000000,59081000000,56381000000,58066000000,79692000000,80431000000,79103000000
48,Accounts Payable,- -,57000000,76000000,95000000,113000000,134000000,146000000,162000000,178000000,188000000,- -,270000000,299000000,293000000,367000000,812000000,761870610,715000000,684880000,706442800,818854440,864634540,4866012500,6075000000,6772000000,6888000000,2568000000,2666000000,2739000000,2790000000,3120000000,3596000000,3528000000,3645000000,4144000000,4357000000,17554000000
49,Short-Term Debt,- -,106000000,197000000,252000000,142000000,425000000,871000000,366000000,597000000,400000000,- -,1546000000,1181000000,1317000000,2250000000,2281000000,2128695390,1551000000,1449840000,1581284880,2094500640,717636460,3507563000,956000000,1471000000,291000000,2698000000,3631000000,2789000000,2943000000,1308000000,4129000000,2825000000,5793000000,6918000000,3725000000,3601000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1449000000,- -,1753000000,2269000000,621000000,826000000,780000000,1451000000,1047000000,1643000000,1374000000,1452000000,945000000,1421000000,1305000000,995000000,965000000,629000000,545000000,489000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,396000000,438000000,522000000,608000000,847000000,1010000000,1040000000,1425000000,1542000000,- -,2338000000,2406000000,2535000000,2646000000,5991000000,6560208360,6542000000,6450640000,6430454240,6595584840,5680352890,1981702500,2986000000,3875000000,5615000000,9744000000,7518000000,8149000000,7562000000,8989000000,11276000000,20216000000,13053000000,12988000000,14066000000,2515000000
53,Total Current Liabilities,- -,559000000,711000000,869000000,863000000,1406000000,2027000000,1568000000,2200000000,2130000000,- -,4154000000,3886000000,4145000000,5263000000,9084000000,9450774360,8808000000,8585360000,8718181920,9508939920,7262623890,10355278000,10017000000,12118000000,12794000000,15010000000,13815000000,13677000000,13295000000,13417000000,19001000000,26569000000,22491000000,24050000000,22148000000,23670000000
54,Long-Term Debt,- -,10000000,13000000,12000000,32000000,44000000,140000000,137000000,212000000,272000000,- -,1699000000,1841000000,1804000000,1260000000,1751000000,2112866100,3092000000,3646160000,4378902640,5269958880,4770291860,7074123250,15231000000,14786000000,14809000000,12203000000,14671000000,15456000000,15841000000,15324000000,14661000000,14264000000,20271000000,23590000000,23425000000,20572000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19000000,24000000,21000000,- -
56,Deferred Tax Liabilities,- -,5000000,28000000,33000000,53000000,83000000,141000000,179000000,193000000,130000000,- -,- -,- -,- -,- -,- -,- -,742000000,- -,569000000,568955640,594627650,887984250,714000000,645000000,707000000,822000000,1004000000,693000000,445000000,1522000000,1934000000,1396000000,1156000000,3810000000,3600000000,3556000000
57,Other Non-Current Liabilities,- -,129000000,142000000,150000000,208000000,154000000,154000000,159000000,196000000,206000000,- -,1194000000,820000000,629000000,711000000,1800000000,2004813990,2297000000,3258080000,2702534000,4275594120,3272748920,2796570500,5113000000,4571000000,4175000000,4218000000,5238000000,4448000000,6134000000,14305000000,18522000000,10663000000,10457000000,9861000000,10429000000,9963000000
58,Total Non-Current Liabilities,- -,144000000,183000000,195000000,293000000,281000000,435000000,475000000,601000000,608000000,- -,2893000000,2661000000,2433000000,1971000000,3551000000,4117680090,6131000000,6904240000,7650436640,10114508640,8637668430,10758678000,21058000000,20002000000,19691000000,17243000000,20913000000,20597000000,22420000000,31151000000,35117000000,26323000000,31903000000,37285000000,37475000000,34091000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,96977900,83201250,- -,- -,- -,- -,76000000,80000000,85000000,70000000,64000000,66000000,68000000,1250000000,1117000000,- -
61,Total Liabilities,- -,703000000,894000000,1064000000,1156000000,1687000000,2462000000,2043000000,2801000000,2738000000,- -,7047000000,6547000000,6578000000,7234000000,12635000000,13568454450,14939000000,15489600000,16368618560,19623448560,15900292320,21113956000,31075000000,32120000000,32485000000,32253000000,34728000000,34274000000,35715000000,44568000000,54118000000,52892000000,54394000000,61335000000,59623000000,57761000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,370000000,370000000,370000000,372000000,747000000,750000000,753000000,758000000,762000000,- -,886000000,894000000,906000000,910000000,1556000000,1546452810,1506000000,1485120000,1483269200,1490675400,1497542940,1504682000,1415000000,1416000000,1418000000,1387000000,1349000000,1336000000,1339000000,1340000000,1342000000,1343000000,1345000000,1346000000,1346000000,1347000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4276000000,3946999050,2946000000,4038720000,4778785760,5577973680,6963013220,6481629500,4622000000,6321000000,4779000000,3370000000,652000000,913000000,-2074000000,-1397000000,-5392000000,-6477000000,-2137000000,4530000000,6755000000,7944000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1858000000,-1969000000,-2207000000,-2511000000,-4913000000,-5402605500,-5734000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,730000000,1094000000,1433000000,1941000000,2058000000,2532000000,2886000000,3899000000,4387000000,- -,2239000000,2965000000,4069000000,4794000000,8036000000,8306247870,7863000000,2186240000,-339405360,240600240,922310870,1626206250,1894000000,2268000000,2690000000,3275000000,3809000000,4748000000,4998000000,5171000000,5174000000,5066000000,5152000000,5529000000,6486000000,5764000000
67,Total Stockholders Equity,- -,1100000000,1464000000,1803000000,2313000000,2805000000,3282000000,3639000000,4657000000,5149000000,- -,1267000000,1890000000,2768000000,3193000000,8955000000,8397094230,6581000000,7710080000,5922649600,7309249320,9382867030,9612517750,7931000000,10005000000,8887000000,8032000000,5810000000,6997000000,4263000000,5114000000,1124000000,-68000000,4360000000,11405000000,14587000000,15055000000
68,Total Liabilities And Stockholders Equity,- -,1803000000,2358000000,2867000000,3469000000,4492000000,5744000000,5682000000,7458000000,7887000000,- -,8314000000,8437000000,9346000000,10427000000,21590000000,21965548680,21520000000,23199680000,22291268160,26932697880,25283159350,30726473750,39006000000,42125000000,41372000000,40285000000,40538000000,41271000000,39978000000,49682000000,55242000000,52824000000,58754000000,72740000000,74210000000,72816000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,807000000,744240000,276842160,259197360,261840330,307088250,387000000,737000000,858000000,795000000,937000000,815000000,673000000,3764000000,3839000000,3557000000,-688000000,6952000000,6221000000,6287000000
70,Total Liabilities & Equity,- -,1803000000,2358000000,2867000000,3469000000,4492000000,5744000000,5682000000,7458000000,7887000000,- -,8314000000,8437000000,9346000000,10427000000,21590000000,21965548680,22327000000,23943920000,22568110320,27191895240,25544999680,31033562000,39393000000,42862000000,42230000000,41080000000,41475000000,42086000000,40651000000,53446000000,59081000000,56381000000,58066000000,79692000000,80431000000,79103000000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1131399/000102123104000207/0001021231-04-000207-index.htm,https://www.sec.gov/Archives/edgar/data/1131399/000102123105000197/0001021231-05-000197-index.htm,https://www.sec.gov/Archives/edgar/data/1131399/000102123106000123/0001021231-06-000123-index.htm,https://www.sec.gov/Archives/edgar/data/1131399/000115697307000334/0001156973-07-000334-index.htm,https://www.sec.gov/Archives/edgar/data/1131399/000115697308000248/0001156973-08-000248-index.htm,https://www.sec.gov/Archives/edgar/data/1131399/000115697309000126/0001156973-09-000126-index.htm,https://www.sec.gov/Archives/edgar/data/1131399/000095012310019098/0000950123-10-019098-index.htm,https://www.sec.gov/Archives/edgar/data/1131399/000095012311022182/0000950123-11-022182-index.htm,https://www.sec.gov/Archives/edgar/data/1131399/000119312512112357/0001193125-12-112357-index.htm,https://www.sec.gov/Archives/edgar/data/1131399/000119312513098802/0001193125-13-098802-index.htm,https://www.sec.gov/Archives/edgar/data/1131399/000119312514077405/0001193125-14-077405-index.htm,https://www.sec.gov/Archives/edgar/data/1131399/000119312515070125/0001193125-15-070125-index.htm,https://www.sec.gov/Archives/edgar/data/1131399/000119312516510261/0001193125-16-510261-index.htm,https://www.sec.gov/Archives/edgar/data/1131399/000119312517087259/0001193125-17-087259-index.htm,https://www.sec.gov/Archives/edgar/data/1131399/000119312518086062/0001193125-18-086062-index.htm,https://www.sec.gov/Archives/edgar/data/1131399/000119312519076716/0001193125-19-076716-index.htm,https://www.sec.gov/Archives/edgar/data/1131399/000119312520065064/0001193125-20-065064-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
