,https://roic.ai/company/BLKB,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1280058/000095014405002491/g93584e10vk.htm,https://www.sec.gov/Archives/edgar/data/1280058/000095014406002153/g00083e10vk.htm,https://www.sec.gov/Archives/edgar/data/1280058/000095014407001722/g05572e10vk.htm,https://www.sec.gov/Archives/edgar/data/1280058/000119312508043914/d10k.htm,https://www.sec.gov/Archives/edgar/data/1280058/000119312509042444/0001193125-09-042444-index.html,https://www.sec.gov/Archives/edgar/data/1280058/000119312510042796/0001193125-10-042796-index.html,https://www.sec.gov/Archives/edgar/data/1280058/000119312511051808/d10k.htm,https://www.sec.gov/Archives/edgar/data/1280058/000119312512088252/0001193125-12-088252-index.html,https://www.sec.gov/Archives/edgar/data/1280058/000128005813000005/0001280058-13-000005-index.html,https://www.sec.gov/Archives/edgar/data/1280058/000128005814000005/form10-k2013.htm,https://www.sec.gov/Archives/edgar/data/1280058/000128005815000007/form10-k2014.htm,https://www.sec.gov/Archives/edgar/data/1280058/000128005816000045/0001280058-16-000045-index.html,https://www.sec.gov/Archives/edgar/data/1280058/000128005817000006/0001280058-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1280058/000128005818000007/0001280058-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/1280058/000128005819000007/0001280058-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1280058/000128005820000011/0001280058-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1280058/000128005821000006/0001280058-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1280058/000128005822000010/0001280058-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,4558000,1707000,- -,18703000,6708000,42144000,22683000,67783000,14775000,16361000,22769000,27974000,52520000,13491000,11889000,14735000,15362000,16902000,29830000,30866000,31810000,35750000,55146000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,4558000,1707000,- -,18703000,6708000,42144000,22683000,67783000,14775000,16361000,22769000,27974000,52520000,13491000,11889000,14735000,15362000,16902000,29830000,30866000,31810000,35750000,55146000
34,Net Receivables,- -,- -,- -,13148000,14518000,19580000,25577000,29505000,50236000,52554000,50220000,59804000,62656000,75692000,66969000,77523000,80046000,88932000,97829000,88348000,89392000,95725000,103703000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,3366000,4512000,2348000,16341000,13154000,9285000,36502000,36757000,55370000,72772000,124565000,150911000,195524000,303704000,402085000,666443000,478768000,613337000,687585000,692122000
37,Total Current Assets,- -,- -,- -,35217000,25738000,64072000,64601000,110442000,74296000,105417000,109746000,143148000,187948000,213748000,229769000,287782000,399112000,507919000,794102000,597982000,734539000,819060000,850971000
38,PP&E,- -,- -,- -,6701000,6621000,7199000,8700000,10524000,16962000,21384000,22507000,22963000,34397000,49063000,49550000,50402000,52651000,50269000,42243000,40031000,139946000,127848000,165311000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,2518000,58275000,73615000,73919000,76247000,90122000,265055000,264599000,349008000,436449000,438240000,530249000,545213000,634088000,635854000,1076482000
40,Intangible Assets,- -,- -,- -,852000,1386000,1673000,2604000,7986000,37272000,48171000,42019000,38515000,44660000,168037000,143441000,229307000,314223000,291258000,368749000,366716000,419197000,389333000,795329000
41,Intangible Assets,- -,- -,- -,852000,1386000,1673000,2604000,10504000,95547000,121786000,115938000,114762000,134782000,433092000,408040000,578315000,750672000,729498000,898998000,911929000,1053285000,1025187000,1871811000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,88829000,86966000,87522000,71487000,62302000,50419000,64762000,55570000,44639000,29376000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,1308000,255000,342000,106000,48000,470000,537000,468000,2579000,6087000,9844000,19251000,26684000,21418000,22524000,24083000,65363000,65193000,72639000,77266000
45,Total Non-Current Assets,- -,- -,- -,97690000,95228000,96736000,82897000,83378000,163398000,208469000,194483000,184943000,204642000,491999000,476841000,655401000,824741000,802291000,965324000,1017323000,1258424000,1225674000,2114388000
46,Other Assets,142630000,136590000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,142630000,136590000,- -,132907000,120966000,160808000,147498000,193820000,237694000,313886000,304229000,328091000,392590000,705747000,706610000,943183000,1223853000,1310210000,1759426000,1615305000,1992963000,2044734000,2965359000
48,Accounts Payable,- -,- -,- -,2116000,2590000,2653000,4683000,5863000,5802000,7023000,10683000,9883000,13464000,13623000,10244000,11436000,19208000,23274000,24693000,34538000,47676000,27836000,22067000
49,Short-Term Debt,- -,- -,- -,5295000,142000,44000,- -,- -,513000,60433000,1288000,- -,- -,10000000,17158000,4375000,4375000,4375000,8576000,7500000,7500000,12840000,18697000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7607000,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,39047000,43673000,52303000,59459000,72015000,93106000,113802000,129412000,141149000,153665000,173899000,181475000,212283000,230216000,244500000,276456000,295991000,314335000,312236000,374499000
52,Other Current Liabilities,- -,- -,- -,7756000,9659000,16019000,15806000,16565000,20575000,34121000,38848000,44681000,72912000,114173000,147805000,192910000,312499000,407967000,666279000,467626000,619326000,660492000,694369000
53,Total Current Liabilities,- -,- -,- -,54214000,56064000,71019000,79948000,94443000,119996000,215379000,180231000,195713000,240041000,311695000,356682000,421004000,566298000,680116000,976004000,805655000,988837000,1013404000,1109632000
54,Long-Term Debt,- -,- -,- -,45186000,5044000,- -,- -,- -,- -,1288000,- -,- -,- -,205500000,135750000,276196000,404229000,338018000,429648000,379624000,459600000,518193000,990869000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6172000,6900000,9772000,11119000,9099000,8991000,7119000,6440000,3643000,2564000,1802000,4678000,4247000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24468000,36880000,43639000,27996000,29558000,37597000,44291000,44594000,54086000,142207000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,700000,1279000,2145000,4595000,6711000,1720000,2419000,2775000,5281000,6655000,7437000,7623000,8533000,5632000,9388000,101366000,28223000,1344000
58,Total Non-Current Liabilities,- -,- -,- -,45186000,5044000,700000,1279000,2145000,4595000,7999000,7892000,9319000,12547000,246368000,188384000,336263000,446967000,382549000,476520000,435867000,607362000,605180000,1138667000
59,Other Liabilities,148473000,137410000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,586000,203000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95624000,17357000,53386000
61,Total Liabilities,148473000,137410000,- -,99400000,61108000,71019000,81227000,96588000,124591000,223378000,188123000,205032000,252588000,558063000,545066000,757267000,1013265000,1062665000,1452524000,1241522000,1596199000,1618584000,2248299000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,740000,- -,- -,- -,43000,48000,49000,50000,51000,52000,53000,54000,55000,56000,56000,57000,58000,59000,59000,60000,61000,66000
64,Retained Earnings,- -,- -,- -,23000000,22522000,35163000,59947000,78172000,92716000,105104000,115911000,126285000,131921000,116862000,125398000,131658000,134877000,152729000,195649000,246477000,234855000,236714000,242456000
65,Other Comprehensive Income/Loss,- -,- -,- -,-233000,-4277000,-709000,-6405000,232000,137000,-899000,-201000,-512000,-1148000,-1973000,-1385000,-1032000,-825000,-457000,-649000,-5110000,-5290000,-2497000,6522000
66,Other Total Stockholders Equity,- -,- -,- -,24939000,53459000,55292000,12681000,18779000,20200000,-13748000,344000,-2767000,9175000,32740000,37475000,55234000,76479000,95215000,111843000,132357000,167139000,191872000,468016000
67,Total Stockholders Equity,-5843000,-821000,- -,33507000,59858000,89789000,66271000,97232000,113103000,90508000,116106000,123059000,140002000,147684000,161544000,185916000,210588000,247545000,306902000,373783000,396764000,426150000,717060000
68,Total Liabilities And Stockholders Equity,142630000,136589000,- -,132907000,120966000,160808000,147498000,193820000,237694000,313886000,304229000,328091000,392590000,705747000,706610000,943183000,1223853000,1310210000,1759426000,1615305000,1992963000,2044734000,2965359000
69,Minority Interest,- -,1000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,142630000,136590000,- -,132907000,120966000,160808000,147498000,193820000,237694000,313886000,304229000,328091000,392590000,705747000,706610000,943183000,1223853000,1310210000,1759426000,1615305000,1992963000,2044734000,2965359000
71,SEC Link,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1280058/000095014405002491/g93584e10vk.htm,https://www.sec.gov/Archives/edgar/data/1280058/000095014406002153/g00083e10vk.htm,https://www.sec.gov/Archives/edgar/data/1280058/000095014407001722/g05572e10vk.htm,https://www.sec.gov/Archives/edgar/data/1280058/000119312508043914/d10k.htm,https://www.sec.gov/Archives/edgar/data/1280058/000119312509042444/0001193125-09-042444-index.html,https://www.sec.gov/Archives/edgar/data/1280058/000119312510042796/0001193125-10-042796-index.html,https://www.sec.gov/Archives/edgar/data/1280058/000119312511051808/d10k.htm,https://www.sec.gov/Archives/edgar/data/1280058/000119312512088252/0001193125-12-088252-index.html,https://www.sec.gov/Archives/edgar/data/1280058/000128005813000005/0001280058-13-000005-index.html,https://www.sec.gov/Archives/edgar/data/1280058/000128005814000005/form10-k2013.htm,https://www.sec.gov/Archives/edgar/data/1280058/000128005815000007/form10-k2014.htm,https://www.sec.gov/Archives/edgar/data/1280058/000128005816000045/0001280058-16-000045-index.html,https://www.sec.gov/Archives/edgar/data/1280058/000128005817000006/0001280058-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1280058/000128005818000007/0001280058-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/1280058/000128005819000007/0001280058-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1280058/000128005820000011/0001280058-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1280058/000128005821000006/0001280058-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1280058/000128005822000010/0001280058-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,24904000,- -,- -,15640000,-478000,12641000,33301000,30508000,31724000,29878000,28447000,29805000,33220000,6583000,30472000,28290000,25649000,41515000,65933000,44841000,11908000,7717000,5698000
74,Depreciation and Amortization,2510000,- -,- -,4427000,4487000,2705000,2732000,3757000,8149000,12865000,15509000,16068000,16995000,31879000,43164000,45417000,55997000,70491000,73948000,79566000,85693000,92735000,82410000
75,Deferred Income Tax,- -,- -,- -,9010000,2178000,701000,9014000,12165000,12491000,6407000,12351000,11201000,13533000,7585000,13873000,3050000,3165000,3033000,-14328000,-619000,-3600000,8837000,-2429000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12287000,13059000,14884000,19240000,16910000,17345000,25246000,32638000,40631000,48274000,58633000,87257000,120379000
77,Change in Working Capital,- -,- -,- -,-18997000,-11329000,23379000,-8400000,31346000,-61699000,-64262000,39477000,17920000,472000,-45854000,-28966000,-6309000,-33964000,-5011000,-9705000,-25771000,-46625000,59954000,-15907000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1375000,-13051000,-8692000,-9397000,3161000,-5750000,-7593000,-13196000,-15750000,2166000,-6569000,-18414000,-6525000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-312000,208000,1714000,-1363000,-218000,-948000,40412000,99689000,1024000,9487000,12900000,-19997000,-9670000
81,Other Working Capital,- -,- -,- -,-18997000,-30326000,-6947000,-15347000,15999000,-45700000,-109962000,-70485000,-52565000,-52093000,-97947000,-126913000,-133222000,-167186000,-172197000,-181902000,-207673000,-254298000,-194344000,10526000
82,Other Non-Cash Items,-27414000,- -,- -,22390000,41728000,4123000,15199000,-14821000,72202000,75422000,-21274000,-32145000,6423000,49258000,31791000,14484000,38247000,10962000,19811000,55094000,76468000,-108545000,23510000
83,Cash Provided by Operating Activities,- -,- -,- -,32470000,36586000,43549000,51846000,62955000,62867000,60310000,86797000,55908000,85527000,68691000,107244000,102277000,114340000,153628000,176290000,201385000,182477000,147955000,213661000
84,CAPEX,- -,- -,- -,-1493000,-2666000,-3039000,-4160000,-10800000,-8123000,-57608000,-5534000,-10890000,-19227000,-21802000,-23283000,-22446000,-34114000,-44053000,-38553000,-52348000,-58366000,-71847000,-52153000
85,Acquisitions Net,- -,- -,- -,-500000,-1082000,-166000,-1013000,- -,-84405000,- -,-2258000,-5334000,-23385000,-280687000,-876000,-188918000,-188593000,-3377000,-146789000,-44943000,-109353000,- -,-419120000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000000,- -,- -,- -,- -,- -,- -,-568000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,1575000,- -,- -,- -,- -,- -,- -,- -,- -,1030000,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-130000,-138000,-1245000,-3197000,-8535000,-15481000,-26359000,-28345000,-38129000,-46374000,-42157000,-40489000
89,Cash Used for Investing Activites,- -,- -,- -,-1993000,-3748000,-3205000,-5173000,-10800000,-92528000,-56033000,-7792000,-18224000,-41738000,-302489000,-24159000,-211364000,-222707000,-47430000,-184880000,-97791000,-167219000,-71847000,-471273000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-60433000,-5339000,-40000,-99500000,-165600000,-235589000,-184475000,-293575000,-679119000,-322476000,-344500000,-747563000,-152971000
91,Common Stock Issued,- -,- -,- -,- -,232000,674000,3627000,7883000,5451000,883000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-60902000,-8728000,-15857000,-43727000,- -,-22613000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-41001000,-108416000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-8517000,-12283000,-15074000,-17497000,-17673000,-19490000,-21429000,-21731000,-22081000,-22107000,-22508000,-22811000,-23069000,-23312000,-23607000,-5960000,- -
94,Other Financing Activites,- -,- -,- -,-20471000,-45295000,-5304000,-44000,6041000,2102000,59383000,4914000,14694000,2206000,315787000,103393000,369740000,317369000,211840000,980829000,53880000,479320000,783845000,525495000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-20471000,-45063000,-4630000,-65836000,-7087000,-23378000,-958000,-73192000,-32748000,-19263000,194556000,-84288000,112044000,110386000,-104546000,278641000,-291908000,111213000,-10679000,264108000
96,Effect of Forex Changes on Cash,- -,- -,- -,-47000,230000,-278000,-298000,32000,31000,-1733000,595000,269000,-10000,213000,-399000,-111000,-1392000,-112000,-550000,-2014000,978000,2245000,297000
97,Net Change In Cash,- -,- -,- -,9959000,-11995000,35436000,-19461000,45100000,-53008000,1586000,6408000,5205000,24516000,-39029000,-1602000,2846000,627000,1540000,269501000,-190328000,127449000,67674000,6793000
98,Cash at the End of Period,- -,- -,- -,18703000,6708000,42144000,22683000,67783000,14775000,16361000,22769000,27974000,52520000,13491000,11889000,14735000,15362000,16902000,640174000,449846000,577295000,644969000,651762000
99,Cash at the Beginning of Period,- -,- -,- -,8744000,18703000,6708000,42144000,22683000,67783000,14775000,16361000,22769000,28004000,52520000,13491000,11889000,14735000,15362000,370673000,640174000,449846000,577295000,644969000
100,Free Cash Flow,- -,- -,- -,30977000,33920000,40510000,47686000,52155000,54744000,2702000,81263000,45018000,66300000,46889000,83961000,79831000,80226000,109575000,137737000,149037000,124111000,76108000,161508000
101,SEC Link,- -,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1280058/000095014405002491/g93584e10vk.htm,https://www.sec.gov/Archives/edgar/data/1280058/000095014406002153/g00083e10vk.htm,https://www.sec.gov/Archives/edgar/data/1280058/000095014407001722/g05572e10vk.htm,https://www.sec.gov/Archives/edgar/data/1280058/000119312508043914/d10k.htm,https://www.sec.gov/Archives/edgar/data/1280058/000119312509042444/0001193125-09-042444-index.html,https://www.sec.gov/Archives/edgar/data/1280058/000119312510042796/0001193125-10-042796-index.html,https://www.sec.gov/Archives/edgar/data/1280058/000119312511051808/d10k.htm,https://www.sec.gov/Archives/edgar/data/1280058/000119312512088252/0001193125-12-088252-index.html,https://www.sec.gov/Archives/edgar/data/1280058/000128005813000005/0001280058-13-000005-index.html,https://www.sec.gov/Archives/edgar/data/1280058/000128005814000005/form10-k2013.htm,https://www.sec.gov/Archives/edgar/data/1280058/000128005815000007/form10-k2014.htm,https://www.sec.gov/Archives/edgar/data/1280058/000128005816000045/0001280058-16-000045-index.html,https://www.sec.gov/Archives/edgar/data/1280058/000128005817000006/0001280058-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1280058/000128005818000007/0001280058-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/1280058/000128005819000007/0001280058-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1280058/000128005820000011/0001280058-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1280058/000128005821000006/0001280058-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1280058/000128005822000010/0001280058-22-000010-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,
