,https://roic.ai/company/DDT,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
14,Depreciation and Amortization,304376000,303256000,300859000,286184000,264763000,263395000,259467000,261572000,257237000,252334000,252147000,245923000,233683000,225849000,224309000,216315000,- -
15,EBITDA,320291000,461260000,263064000,-182642000,259291000,527465000,660858000,742594000,754308000,763667000,662287000,566702000,509787000,486360000,404427000,13803000,-5284219000
16,EBITDA ratio,0.0424,0.0604,0.0365,-0.0267,0.0425,0.0843,0.1033,0.1100,0.1127,0.1126,0.0981,0.0883,0.0794,0.0748,0.0638,0.0032,-Infinity
17,Operating Income,135785000,253842000,60518000,-380005000,84525000,268716000,396669000,479750000,496224000,510768000,408784000,257675000,212689000,207962000,133891000,20349000,-5284219000
18,Operating Income ratio,0.0180,0.0332,0.0084,-0.0556,0.0139,0.0430,0.0620,0.0711,0.0742,0.0753,0.0605,0.0401,0.0331,0.0320,0.0211,0.0047,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-173753000,6372582000
20,Income Before Tax,135785000,253842000,60518000,-380005000,84525000,268716000,396669000,479750000,496224000,510768000,408784000,257675000,212689000,207962000,133891000,-153404000,1088363000
21,Income Before Tax Ratio,0.0180,0.0332,0.0084,-0.0556,0.0139,0.0430,0.0620,0.0711,0.0742,0.0753,0.0605,0.0401,0.0331,0.0320,0.0211,-0.0357,Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,84450000,-62518000,145060000,173400000,179480000,140770000,88500000,-7800000,37730000,22810000,-81750000,225890000
23,Net Income,121485000,245646000,53761000,-380005000,68531000,179620000,463909000,335962000,323671000,331853000,269370000,169220000,221324000,170263000,111081000,-71654000,862473000
24,Net Income ratio,0.0161,0.0322,0.0075,-0.0556,0.0112,0.0287,0.0725,0.0498,0.0484,0.0489,0.0399,0.0264,0.0345,0.0262,0.0175,-0.0167,Infinity
25,EPS,1.49,3.09,0.69,-3.25,0.93,3.89,8.67,6.98,7.10,7.79,6.91,4.93,7.51,6.23,4.38,-2.83,34.00
26,EPS Diluted,1.49,3.05,0.68,-3.25,0.93,3.89,8.52,6.87,7.10,7.79,6.91,4.93,7.51,6.23,4.38,-2.83,34.00
27,Weighted Average Shares Outstanding,81533557,79497087,77914492,116924615,73689247,46139000,53515000,48125000,45586000,42603000,39005000,34308000,29487000,27312000,25364000,25364000,25364000
28,Weighted Average Shares Outstanding Diluted,81533557,80539672,79060294,116924615,73689247,46139000,54448000,48911000,45586000,42603000,39005000,34308000,29487000,27312000,25364000,25364000,25364000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/28917/000119312506071918/0001193125-06-071918-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000119312507074149/0001193125-07-074149-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000119312508073400/0001193125-08-073400-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000119312509070701/0001193125-09-070701-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000104746910002784/0001047469-10-002784-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000104746911002536/0001047469-11-002536-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000104746912003143/0001047469-12-003143-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000104746913003588/0001047469-13-003588-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000002891714000049/0000028917-14-000049-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000002891715000046/0000028917-15-000046-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000002891716000262/0000028917-16-000262-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000002891717000058/0000028917-17-000058-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000002891718000159/0000028917-18-000159-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000002891719000078/0000028917-19-000078-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000002891720000041/0000028917-20-000041-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000002891721000066/0000028917-21-000066-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000002891722000009/0000028917-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,299840000,193994000,88912000,96823000,341693000,343291000,224272000,124060000,237134000,403752000,202869000,346985000,187028000,123509000,277077000,360339000,716759000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,299840000,193994000,88912000,96823000,341693000,343291000,224272000,124060000,237134000,403752000,202869000,346985000,187028000,123509000,277077000,360339000,716759000
34,Net Receivables,12523000,10508000,10880000,87998000,63222000,25950000,28708000,31519000,30840000,56510000,47138000,48230000,39650000,49853000,46160000,36693000,39777000
35,Inventory,1802695000,1772150000,1779279000,1374394000,1300680000,1290147000,1304124000,1294581000,1345321000,1374481000,1374505000,1406403000,1463561000,1528417000,1465007000,1087763000,1080178000
36,Other Current Assets,35421000,71194000,66117000,127540000,43934000,42538000,34625000,41820000,46861000,53699000,44371000,36303000,39612000,68753000,59838000,177145000,77937000
37,Total Current Assets,2150479000,2047846000,1945188000,1686755000,1749529000,1701926000,1591729000,1491980000,1660156000,1888442000,1668883000,1837921000,1729851000,1770532000,1848082000,1661940000,1914651000
38,PP&E,- -,- -,- -,- -,- -,2595514000,2440266000,2287015000,2134200000,2029171000,1939832000,1790267000,1696276000,1586733000,1458176000,47612000,42941000
39,Goodwill,34511000,34511000,31912000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,34511000,34511000,31912000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,-341689000,-314598000,-255652000,-230248000,-194319000,- -,- -,- -,- -,- -,23453000,28931000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,418415000,588740000,525401000,486631000,446777000,256910000,259948000,247042000,74104000,123999000,1359510000,1259034000
45,Total Non-Current Assets,34511000,34511000,31912000,- -,- -,2672240000,2714408000,2556764000,2390583000,2281629000,2196742000,2050215000,1943318000,1660837000,1582175000,1430575000,1330906000
46,Other Assets,- -,- -,- -,3059089000,2856798000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2184990000,2082357000,1977100000,4745844000,4606327000,4374166000,4306137000,4048744000,4050739000,4170071000,3865625000,3888136000,3673169000,3431369000,3430257000,3092515000,3245557000
48,Accounts Payable,858082000,797806000,753309000,642940000,676501000,689281000,655653000,653769000,640336000,730422000,691310000,839305000,835747000,921205000,892789000,- -,- -
49,Short-Term Debt,5929000,3679000,2613000,1704000,1775000,49166000,76789000,1710000,784000,840000,3284000,87201000,160927000,1214000,1219000,47906000,101312000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46730000,41920000,11116000,22158000,118439000,23441000
51,Deferred Revenue,84902000,74995000,36802000,43486000,89027000,90581000,135610000,111637000,137191000,154061000,258070000,225684000,116831000,13487000,3490000,- -,- -
52,Other Current Liabilities,198479000,100635000,391446000,225535000,1719000,2184000,2312000,- -,- -,- -,-201448000,-175673000,-73804000,-2371000,33322000,724971000,864874000
53,Total Current Liabilities,1147392000,977115000,1184170000,913665000,769022000,831212000,870364000,767116000,778311000,885323000,751216000,976517000,1039701000,933535000,930820000,772877000,966186000
54,Long-Term Debt,858082000,797806000,753309000,642940000,676501000,697246000,614785000,614785000,614785000,614785000,614785000,526106000,365429000,365569000,365709000,365849000,352216000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,11383000,9153000,7524000,6759000,5919000,258070000,225684000,116831000,13487000,3490000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,205916000,245218000,233492000,228439000,250455000,238980000,238424000,240173000,238731000,273601000,- -,475937000
58,Total Non-Current Liabilities,858082000,797806000,753309000,642940000,676501000,914545000,869156000,855801000,849983000,871159000,1111835000,990214000,722433000,617787000,642800000,365849000,828153000
59,Other Liabilities,5227609000,5228706000,4907268000,4475119000,4513806000,2370779000,2252910000,2167254000,2130214000,2136637000,2430939000,2184416000,1647746000,1437240000,1518978000,1244479000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,5516919000,5408015000,5338129000,4745844000,4606327000,2287446000,2254118000,2078569000,2058542000,2150801000,2070320000,2170719000,1965014000,1752988000,1806998000,1651507000,1794339000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1153000,1162000,1165000,1166000,1169000,1177000,1185000,1197000,40000,1197000,1198000,1198000,1199000,1199000,1199000,1200000,1240000
64,Retained Earnings,2414491000,2647388000,2680690000,2427727000,2484447000,2653437000,3107344000,3099566000,3413240000,3734891000,3994211000,4153844000,4365219000,4458006000,4556494000,4471269000,5027922000
65,Other Comprehensive Income/Loss,-14574000,-21229000,-22211000,-16872000,-22298000,-17830000,-39034000,-31275000,-24074000,-31029000,-17118000,-11137000,-15444000,-12809000,-31059000,-34935000,-22798000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,2340541000,2586953000,2514111000,2251115000,2304103000,2086720000,2052019000,1970175000,1992197000,2019270000,1795305000,1717417000,1708155000,1678381000,1623259000,1441008000,1451218000
68,Total Liabilities And Stockholders Equity,7857460000,7994968000,7852240000,6996959000,6910430000,4374166000,4306137000,4048744000,4050739000,4170071000,3865625000,3888136000,3673169000,3431369000,3430257000,3092515000,3245557000
69,Minority Interest,-5672470000,-5912611000,-5875140000,-2251115000,-2304103000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2184990000,2082357000,1977100000,4745844000,4606327000,4374166000,4306137000,4048744000,4050739000,4170071000,3865625000,3888136000,3673169000,3431369000,3430257000,3092515000,3245557000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/28917/000119312506071918/0001193125-06-071918-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000119312507074149/0001193125-07-074149-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000119312508073400/0001193125-08-073400-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000119312509070701/0001193125-09-070701-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000104746910002784/0001047469-10-002784-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000104746911002536/0001047469-11-002536-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000104746912003143/0001047469-12-003143-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000104746913003588/0001047469-13-003588-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000002891714000049/0000028917-14-000049-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000002891715000046/0000028917-15-000046-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000002891716000262/0000028917-16-000262-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000002891717000058/0000028917-17-000058-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000002891718000159/0000028917-18-000159-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000002891719000078/0000028917-19-000078-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000002891720000041/0000028917-20-000041-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000002891721000066/0000028917-21-000066-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000002891722000009/0000028917-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,121485000,245646000,53761000,-380005000,68531000,179620000,463909000,335962000,323671000,331853000,269370000,169220000,221324000,170263000,111081000,-71654000,862473000
74,Depreciation and Amortization,304376000,303256000,300859000,286184000,264763000,263395000,259467000,261572000,257237000,252334000,252147000,245923000,233683000,225849000,224309000,216315000,- -
75,Deferred Income Tax,-32862000,-32807000,-2399000,-57652000,-35350000,-18439000,9494000,61093000,7329000,30927000,35975000,35703000,102065000,-334000,5415000,-23946000,-7448000
76,Stock Based Compensation,- -,1002000,77000,17000,- -,-3446000,-10171000,-49949000,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,67644000,-309713000,12072000,207417000,-109793000,-149349000,3499000,156981000,121274000,-85452000,-56263000,-171254000,146847000,80265000,-28199000,59402000
78,Accounts Receivable,-2872000,- -,-372000,-4256000,24776000,37272000,-2758000,-2811000,679000,-25670000,9372000,-1092000,8580000,-11416000,3693000,9467000,-3084000
79,Inventory,-123345000,30545000,-7129000,404203000,73714000,10533000,-13977000,9543000,-50740000,-29160000,-24000,-33436000,-57158000,-64856000,63410000,377244000,7585000
80,Accounts Payable,-20640000,-104707000,-88098000,-232068000,15254000,24647000,-17981000,11472000,-21752000,104923000,-33702000,156342000,-19615000,104060000,-25597000,-123285000,122607000
81,Other Working Capital,1003087000,1070731000,761018000,773090000,980507000,870714000,721365000,724864000,881845000,1003119000,917667000,861404000,690150000,836997000,917262000,889063000,948465000
82,Other Non-Cash Items,-23857000,-224159000,211864000,489389000,48646000,201585000,-72210000,-89474000,-243461000,-124799000,-21814000,122424000,-111533000,-175337000,-55996000,160430000,365593000
83,Cash Provided by Operating Activities,369142000,360582000,254449000,350005000,554007000,512922000,501140000,522703000,501757000,611589000,450226000,517007000,274285000,367288000,365074000,252946000,1280020000
84,CAPEX,-3354000,-2603000,-396337000,-189579000,-75089000,-98184000,-115651000,-136632000,-94923000,-151888000,-165788000,-104824000,-130464000,-137064000,-103383000,6731000,5901000
85,Acquisitions Net,- -,- -,- -,4320000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-413889000,-491157000,-185536000,-301566000,-290408000,-500000000,-240171000,-223013000,-129884000,-130928000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-294254000,-263742000,64350000,67068000,11636000,422458000,523584000,216459000,319861000,298884000,532849000,225346000,243270000,139199000,166219000,12073000,34572000
89,Cash Used for Investing Activites,-297608000,-266345000,-331987000,-118191000,-63453000,-89615000,-83224000,-105709000,-76628000,-143412000,-132939000,-119649000,-110207000,-127749000,-68092000,-48380000,-69788000
90,Debt Repayment,-163919000,-205907000,-104291000,-199492000,-33888000,-17466000,-56767000,-79020000,-1691000,-784000,-2863000,-3284000,-1115000,-162066000,-966000,-1219000,-1390000
91,Common Stock Issued,9455000,17248000,6028000,- -,- -,17310000,10820000,6315000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-413889000,-491157000,-185536000,-301566000,-290408000,-500000000,-240171000,-223013000,-129884000,-130928000,- -,-544868000
93,Dividends Paid,-12987000,-12749000,-12492000,-11898000,-11796000,-11110000,-10002000,-252341000,-7361000,-10367000,-10008000,-9787000,-9424000,-11108000,-11520000,-13976000,-305240000
94,Other Financing Activites,-102491000,1325000,83211000,-12513000,-200000000,3446000,10171000,-6624000,-1437000,- -,-5299000,- -,-90483000,- -,- -,-106109000,-2314000
95,Cash Used/Provided by Financing Activities,-269942000,-200083000,-27544000,-223903000,-245684000,-421709000,-536935000,-517206000,-312055000,-301559000,-518170000,-253242000,-324035000,-303058000,-143414000,-121304000,-853812000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-198408000,-105846000,-105082000,7911000,244870000,1598000,-119019000,-100212000,113074000,166618000,-200883000,144116000,-159957000,-63519000,153568000,83262000,356420000
98,Cash at the End of Period,299840000,193994000,88912000,96823000,341693000,343291000,224272000,124060000,237134000,403752000,202869000,346985000,187028000,123509000,277077000,360339000,716759000
99,Cash at the Beginning of Period,498248000,299840000,193994000,88912000,96823000,341693000,343291000,224272000,124060000,237134000,403752000,202869000,346985000,187028000,123509000,277077000,360339000
100,Free Cash Flow,365788000,357979000,-141888000,160426000,478918000,414738000,385489000,386071000,406834000,459701000,284438000,412183000,143821000,230224000,261691000,259677000,1285921000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/28917/000119312506071918/0001193125-06-071918-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000119312507074149/0001193125-07-074149-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000119312508073400/0001193125-08-073400-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000119312509070701/0001193125-09-070701-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000104746910002784/0001047469-10-002784-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000104746911002536/0001047469-11-002536-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000104746912003143/0001047469-12-003143-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000104746913003588/0001047469-13-003588-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000002891714000049/0000028917-14-000049-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000002891715000046/0000028917-15-000046-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000002891716000262/0000028917-16-000262-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000002891717000058/0000028917-17-000058-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000002891718000159/0000028917-18-000159-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000002891719000078/0000028917-19-000078-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000002891720000041/0000028917-20-000041-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000002891721000066/0000028917-21-000066-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000002891722000009/0000028917-22-000009-index.htm
102,false,,,,,,,,,,,,,,,,,
