,https://roic.ai/company/AVNW,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1800000,2400000,900000,300000,300000,600000,800000,500000,400000,252000,261000,198000,267000,385000,230000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2300000,2000000,2000000,2000000,2000000,1300000,800000,400000,400000,104000,50000,29000,102000,54000,- -
14,Depreciation and Amortization,6356000,6332000,5790000,12862000,25912000,16594000,17863000,20289000,10815000,9470000,11460000,7418000,14500000,33700000,38100000,35700000,12000000,7200000,6600000,7500000,7600000,6648000,5840000,5199000,4468000,4387000,5383000
15,EBITDA,8558000,-1576000,18798000,36598000,-70210000,31764000,11911000,-147161000,-40817000,-29731000,-34031000,6697000,-5100000,25800000,-331900000,-89500000,-62500000,-14100000,4000000,-41800000,-18000000,-21520000,5083000,6037000,6120000,8150000,27823000
16,EBITDA ratio,0.0557,-0.0105,0.1054,0.1179,-0.2969,0.1057,0.0285,-0.6431,-0.2065,-0.1890,-0.1887,0.0290,-0.0100,0.0359,-0.4896,-0.1923,-0.1382,-0.0318,0.0085,-0.1208,-0.0536,-0.0801,0.0210,0.0249,0.0251,0.0342,0.1012
17,Operating Income,2748000,-8023000,13899000,20908000,-96147000,14525000,4707000,-160025000,-50894000,-34545000,-43721000,2322000,-21400000,-13700000,-335300000,-133300000,-34600000,-12700000,1700000,-50700000,-26000000,-27446000,-985000,1317000,1368000,3378000,22210000
18,Operating Income ratio,0.0179,-0.0533,0.0779,0.0673,-0.4065,0.0483,0.0113,-0.6993,-0.2574,-0.2195,-0.2425,0.0101,-0.0421,-0.0191,-0.4946,-0.2864,-0.0765,-0.0286,0.0036,-0.1465,-0.0774,-0.1021,-0.0041,0.0054,0.0056,0.0142,0.0808
19,Total Other Income Expenses (Gains),-546000,115000,-891000,2828000,25000,645000,-10659000,-7425000,-738000,-390000,-1770000,-3043000,-500000,-200000,4300000,21100000,-10100000,-1300000,-1000000,100000,- -,-1097000,380000,-51000,182000,331000,230000
20,Income Before Tax,2202000,-7908000,13008000,23736000,-96122000,15170000,-5952000,-167450000,-51632000,-34935000,-45491000,-721000,-21900000,-13900000,-331000000,-112200000,-44700000,-14000000,700000,-50600000,-26000000,-28543000,-605000,1266000,1550000,3709000,22440000
21,Income Before Tax Ratio,0.0143,-0.0526,0.0729,0.0764,-0.4064,0.0505,-0.0143,-0.7317,-0.2612,-0.2220,-0.2523,-0.0031,-0.0431,-0.0193,-0.4883,-0.2410,-0.0989,-0.0315,0.0015,-0.1462,-0.0774,-0.1062,-0.0025,0.0052,0.0064,0.0155,0.0816
22,Income Tax expense (Gain),220000,-1953000,1301000,3858000,607000,3034000,1043000,1423000,-77000,-2133000,455000,1576000,-4000000,2000000,-17000000,3000000,14000000,1500000,13300000,1500000,-1300000,1635000,16000,-1036000,-8188000,3452000,-87699000
23,Net Income,1982000,-5955000,11707000,19878000,-96729000,12136000,-6995000,-168873000,-51555000,-37068000,-45946000,-2297000,-17900000,-11900000,-355000000,-130200000,-90500000,-24100000,-16700000,-51200000,-24700000,-29907000,-823000,1845000,9738000,257000,110139000
24,Net Income ratio,0.0129,-0.0396,0.0656,0.0640,-0.4090,0.0404,-0.0167,-0.7379,-0.2608,-0.2356,-0.2548,-0.0099,-0.0352,-0.0166,-0.5237,-0.2797,-0.2002,-0.0543,-0.0354,-0.1480,-0.0735,-0.1113,-0.0034,0.0076,0.0399,0.0011,0.4006
25,EPS,0.42,-1.20,2.07,2.64,-9.42,1.08,-0.60,-12.78,-3.72,-2.64,-3.06,-0.12,-4.32,-1.20,-36.30,-13.14,-9.24,-2.46,-1.50,-4.92,-2.40,-2.85,-0.08,0.17,0.91,0.03,9.98
26,EPS Diluted,0.42,-1.20,2.07,2.52,-9.42,1.02,-0.60,-12.78,-3.72,-2.64,-3.06,-0.12,-4.32,-1.20,-36.30,-13.14,-9.27,-2.46,-1.50,-4.92,-2.40,-2.85,-0.08,0.17,0.86,0.03,9.42
27,Weighted Average Shares Outstanding,4614981,4964980,5646977,7560136,10266792,10986956,12231784,13194280,13757944,13893944,14938940,15933269,4116650,9733294,9783294,9899960,9766627,9833294,9999960,10266625,10366625,10476000,10584000,10672000,10754000,10782000,11036000
28,Weighted Average Shares Outstanding Diluted,4614981,4964980,5646977,7888135,10266792,11940285,12231784,13194280,13757944,13893944,14938940,15933269,4116650,9733294,9783294,9899960,9766627,9833294,9999960,10266625,10366625,10476000,10584000,11294000,11236000,10936000,11688000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1377789/000095013408017170/0000950134-08-017170-index.html,https://www.sec.gov/Archives/edgar/data/1377789/000095012309041004/0000950123-09-041004-index.html,https://www.sec.gov/Archives/edgar/data/1377789/000095012310084926/0000950123-10-084926-index.html,https://www.sec.gov/Archives/edgar/data/1377789/000119312511245965/0001193125-11-245965-index.html,https://www.sec.gov/Archives/edgar/data/1377789/000137778912000023/0001377789-12-000023-index.html,https://www.sec.gov/Archives/edgar/data/1377789/000137778913000057/0001377789-13-000057-index.html,https://www.sec.gov/Archives/edgar/data/1377789/000137778914000086/aviat10-k2014.htm,https://www.sec.gov/Archives/edgar/data/1377789/000137778915000072/0001377789-15-000072-index.html,https://www.sec.gov/Archives/edgar/data/1377789/000137778916000172/0001377789-16-000172-index.html,https://www.sec.gov/Archives/edgar/data/1377789/000137778917000044/0001377789-17-000044-index.html,https://www.sec.gov/Archives/edgar/data/1377789/000137778918000061/0001377789-18-000061-index.html,https://www.sec.gov/Archives/edgar/data/1377789/000137778919000061/aviat10-k2019.htm,https://www.sec.gov/Archives/edgar/data/1377789/000137778920000062/0001377789-20-000062-index.htm,https://www.sec.gov/Archives/edgar/data/1377789/000137778921000048/0001377789-21-000048-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1919000,8299000,40367000,25130000,21518000,58339000,25963000,35888000,34036000,21626000,32860000,44414000,69200000,95000000,136800000,141700000,98200000,96000000,90000000,48800000,34735000,30479000,35658000,37425000,31946000,41618000,47942000
32,Short-Term Investments,- -,- -,17947000,15220000,5745000,65603000,11895000,49786000,56146000,28337000,15831000,13272000,20400000,3100000,300000,- -,- -,- -,- -,- -,- -,222000,264000,- -,- -,- -,- -
33,Cash and Short-Term Investments,1919000,8299000,58314000,40350000,27263000,123942000,37858000,85674000,90182000,49963000,48691000,57686000,89600000,98100000,137100000,141700000,98200000,96000000,90000000,48800000,34735000,30701000,35922000,37425000,31946000,41618000,47942000
34,Net Receivables,34333000,33398000,44623000,74897000,60253000,98520000,116427000,42953000,31072000,34295000,35084000,42003000,185300000,236800000,170700000,135000000,157800000,116600000,115200000,101000000,100821000,68566000,58055000,57235000,79717000,72746000,85656000
35,Inventory,46732000,35347000,45900000,60981000,50610000,48547000,92863000,31094000,20307000,33101000,36780000,43867000,135700000,93500000,98600000,76700000,71800000,75300000,51200000,49500000,39113000,30357000,23665000,22797000,9509000,15231000,24867000
36,Other Current Assets,5624000,3692000,3643000,15581000,15836000,11201000,17302000,10775000,14032000,10932000,10572000,12620000,62700000,31700000,29700000,33100000,22500000,16700000,17900000,18900000,16459000,10790000,6943000,6009000,4825000,10355000,11774000
37,Total Current Assets,88608000,80736000,152480000,191809000,153962000,282210000,264450000,170496000,155593000,128291000,131127000,156176000,473300000,460100000,436100000,386500000,350300000,304600000,274300000,218200000,191128000,140414000,124585000,123466000,125997000,139950000,170239000
38,PP&E,13977000,15061000,17726000,32528000,43025000,43801000,54777000,41694000,28836000,31175000,28228000,24049000,80000000,75600000,57400000,23700000,21600000,21700000,28800000,29300000,24255000,18162000,16406000,17179000,17255000,20385000,15517000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,323600000,284200000,3200000,6200000,5600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,154200000,139600000,93400000,7500000,4100000,1800000,800000,400000,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1581000,- -,- -,477800000,423800000,96600000,13700000,9700000,1800000,800000,400000,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,3700000,900000,600000,1400000,900000,1700000,5200000,4683000,1497000,6178000,1293000,1378000,12799000,103467000
44,Other Non-Current Assets,- -,- -,- -,16063000,5177000,11430000,7553000,1927000,356000,2197000,1276000,605000,6500000,14100000,9200000,22500000,900000,600000,200000,100000,4649000,6038000,5407000,14123000,24563000,6667000,8430000
45,Total Non-Current Assets,13977000,15061000,17726000,48591000,48202000,55231000,62330000,43621000,29192000,34953000,29504000,24654000,564800000,517200000,164100000,60500000,33600000,25000000,31500000,35000000,33587000,25697000,27991000,32595000,43196000,39851000,127414000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,102585000,95797000,170206000,240400000,202164000,337441000,326780000,214117000,184785000,163244000,160631000,180830000,1038100000,977300000,600200000,447000000,383900000,329600000,305800000,253200000,224715000,166111000,152576000,156061000,169193000,179801000,297653000
48,Accounts Payable,26373000,16252000,22890000,33793000,25116000,39582000,50653000,20579000,23095000,40033000,34472000,38725000,84700000,97900000,69600000,58600000,70300000,55800000,50600000,46100000,46580000,33217000,33606000,30878000,35605000,31995000,32405000
49,Short-Term Debt,15064000,6440000,2016000,- -,725000,- -,- -,- -,- -,- -,6250000,11250000,15000000,23100000,10700000,5000000,6000000,4100000,8800000,6000000,9000000,9000000,9000000,9000000,9000000,10445000,769000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22300000,6000000,8000000,13000000,1000000,41300000,18600000,33300000,41700000,30615000,20004000,19300000,13962000,21872000,32304000
52,Other Current Liabilities,20175000,20588000,27614000,27909000,42874000,33467000,16264000,19406000,29745000,21718000,27701000,31136000,91000000,74000000,106100000,90000000,113800000,46200000,53100000,36200000,25428000,27115000,23408000,27290000,23644000,29658000,30891000
53,Total Current Liabilities,61612000,43280000,52520000,61702000,68715000,73049000,66917000,39985000,52840000,61751000,68423000,81111000,213000000,201000000,194400000,166600000,191100000,147400000,131100000,121600000,122708000,99947000,86018000,86468000,82211000,93970000,96369000
54,Long-Term Debt,- -,- -,- -,- -,1896000,- -,- -,- -,- -,- -,13542000,22291000,11600000,13400000,9400000,8300000,6000000,8800000,- -,- -,- -,- -,- -,- -,- -,2303000,3223000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7062000,- -,9662000,8142000,8592000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13000000,8000000,13000000,- -,900000,1700000,5200000,4700000,1497000,1681000,1293000,1378000,6304000,5778000
57,Other Non-Current Liabilities,6362000,2782000,158000,204000,340000,- -,- -,6675000,19145000,20311000,18643000,15085000,55500000,1700000,500000,-4100000,9100000,15000000,23100000,14500000,13569000,11551000,3475000,10784000,4426000,401000,356000
58,Total Non-Current Liabilities,6362000,2782000,158000,204000,2236000,- -,- -,6675000,19145000,20311000,32185000,37376000,67100000,28100000,17900000,17200000,15100000,24700000,24800000,19700000,18269000,13048000,12218000,12077000,15466000,17150000,17949000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5900000,2600000,700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3748000,3992000
61,Total Liabilities,67974000,46062000,52678000,61906000,70951000,73049000,66917000,46660000,71985000,82062000,100608000,118487000,280100000,229100000,212300000,183800000,206200000,172100000,155900000,141300000,140977000,112995000,98236000,98545000,97677000,111120000,114318000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,135000,159000,185000,466000,621000,727000,738000,823000,827000,840000,948000,969000,300000,600000,600000,600000,600000,600000,600000,600000,52000,53000,53000,54000,54000,54000,112000
64,Retained Earnings,-9837000,-15792000,-4085000,20936000,-115424000,-103288000,-110283000,-279156000,-330711000,-367779000,-413725000,-416022000,-20900000,-36100000,-391100000,-521300000,-611800000,-635900000,-650900000,-692800000,-717474000,-747381000,-748204000,-746359000,-730998000,-730741000,-620602000
65,Other Comprehensive Income/Loss,-28542000,-32674000,-32240000,-39986000,-55225000,-73242000,-87954000,-70531000,-14463000,-13362000,-12582000,-11974000,- -,3800000,-4800000,-2600000,-2700000,-4000000,-3300000,-2900000,-8500000,-11157000,-11785000,-12605000,-12736000,-14969000,-14327000
66,Other Total Stockholders Equity,72855000,98042000,153668000,197078000,301241000,440195000,457362000,516321000,457147000,461483000,485382000,489370000,- -,779900000,783200000,786500000,791600000,796800000,803500000,797700000,809722000,811601000,813733000,816426000,815196000,814337000,818152000
67,Total Stockholders Equity,34611000,49735000,117528000,178494000,131213000,264392000,259863000,167457000,112800000,81182000,60023000,62343000,758000000,748200000,387900000,263200000,177700000,157500000,149900000,102600000,83800000,53116000,53797000,57516000,71516000,68681000,183335000
68,Total Liabilities And Stockholders Equity,102585000,95797000,170206000,240400000,202164000,337441000,326780000,214117000,184785000,163244000,160631000,180830000,1038100000,977300000,600200000,447000000,383900000,329600000,305800000,243900000,224777000,166111000,152033000,156061000,169193000,179801000,297653000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9300000,-62000,- -,543000,- -,- -,- -,- -
70,Total Liabilities & Equity,102585000,95797000,170206000,240400000,202164000,337441000,326780000,214117000,184785000,163244000,160631000,180830000,1038100000,977300000,600200000,447000000,383900000,329600000,305800000,253200000,224715000,166111000,152576000,156061000,169193000,179801000,297653000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1377789/000095013408017170/0000950134-08-017170-index.html,https://www.sec.gov/Archives/edgar/data/1377789/000095012309041004/0000950123-09-041004-index.html,https://www.sec.gov/Archives/edgar/data/1377789/000095012310084926/0000950123-10-084926-index.html,https://www.sec.gov/Archives/edgar/data/1377789/000119312511245965/0001193125-11-245965-index.html,https://www.sec.gov/Archives/edgar/data/1377789/000137778912000023/0001377789-12-000023-index.html,https://www.sec.gov/Archives/edgar/data/1377789/000137778913000057/0001377789-13-000057-index.html,https://www.sec.gov/Archives/edgar/data/1377789/000137778914000086/aviat10-k2014.htm,https://www.sec.gov/Archives/edgar/data/1377789/000137778915000072/0001377789-15-000072-index.html,https://www.sec.gov/Archives/edgar/data/1377789/000137778916000172/0001377789-16-000172-index.html,https://www.sec.gov/Archives/edgar/data/1377789/000137778917000044/0001377789-17-000044-index.html,https://www.sec.gov/Archives/edgar/data/1377789/000137778918000061/0001377789-18-000061-index.html,https://www.sec.gov/Archives/edgar/data/1377789/000137778919000061/aviat10-k2019.htm,https://www.sec.gov/Archives/edgar/data/1377789/000137778920000062/0001377789-20-000062-index.htm,https://www.sec.gov/Archives/edgar/data/1377789/000137778921000048/0001377789-21-000048-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1982000,-5955000,11707000,19878000,-96729000,12136000,-6995000,-168873000,-51555000,-37068000,-45946000,-2297000,-17900000,-11900000,-355000000,-130200000,-90500000,-24100000,-16700000,-51200000,-24700000,-29907000,-823000,1845000,9738000,257000,110139000
74,Depreciation and Amortization,6356000,6332000,5790000,12862000,25912000,16594000,17863000,20289000,10815000,9470000,11460000,7418000,14500000,33700000,38100000,35700000,12000000,7200000,6600000,7500000,7600000,6648000,5840000,5199000,4468000,4387000,5383000
75,Deferred Income Tax,- -,- -,- -,- -,- -,1701000,- -,- -,- -,- -,- -,- -,-10900000,-7500000,16000000,4200000,11000000,-500000,- -,- -,-4700000,-334000,75000,-3155000,-8760000,-172000,-90599000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3900000,6400000,2800000,3200000,4800000,5200000,6400000,3400000,2200000,1836000,2111000,2357000,1723000,1686000,2921000
77,Change in Working Capital,-9972000,30147000,-44860000,123914000,-11628000,-67022000,-27758000,-36213000,-3836000,12361000,185235000,-1200000,-35800000,-21800000,-60700000,-2000000,-14000000,-46600000,-28180000,-27953000,-1900000,-1569000,6788000,2194000,27890000,6576000,7506000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1900000,8200000,-13500000,17023000,18178000,2828000,-6395000,7043000,-4232000
79,Inventory,-12212000,904000,-14846000,-23510000,1503000,-2185000,-60377000,-35379000,5627000,-6662000,-1461000,-6385000,-39100000,15900000,-9600000,14600000,-17300000,-6900000,16500000,-5500000,400000,-2576000,6473000,170000,871000,-6674000,-11091000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11500000,-18600000,-7100000,-2700000,1600000,-13976000,608000,-2225000,5074000,-3122000,580000
81,Other Working Capital,99960000,130107000,85247000,209161000,197533000,130511000,102753000,66540000,62704000,75065000,260300000,259100000,-400000,219900000,159200000,157200000,143200000,96600000,68420000,40467000,38567000,36998000,43786000,45980000,73870000,80446000,87952000
82,Other Non-Cash Items,-15609000,-22307000,36641000,-158258000,71711000,42485000,-41071000,164620000,49483000,-12204000,-186383000,-7050000,33100000,41100000,430100000,117400000,35200000,67200000,40280000,38953000,12500000,23200000,-4586000,-231000,-32115000,4759000,-18052000
83,Cash Provided by Operating Activities,-17243000,8217000,9278000,-1604000,-10734000,5894000,-57961000,-20177000,4907000,-27441000,-35634000,-3129000,-13100000,40000000,71300000,28300000,-41500000,8400000,8400000,-29300000,-9000000,-126000,9405000,8209000,2944000,17493000,17298000
84,CAPEX,-8111000,-4527000,-8509000,-22576000,-24711000,-23928000,-25104000,-7673000,-1820000,-31596000,-7435000,-10596000,-11200000,-19500000,-21600000,-20800000,-8000000,-5900000,-10400000,-9400000,-3700000,-1574000,-4021000,-6563000,-5246000,-4608000,-2847000
85,Acquisitions Net,- -,- -,- -,-11491000,-2286000,- -,- -,- -,- -,- -,- -,- -,20400000,- -,-4300000,-4200000,- -,-1500000,-100000,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-17947000,-8671000,-16621000,-118029000,-49724000,-149057000,-343229000,-220983000,-83275000,-82185000,-30700000,-9200000,-1200000,- -,- -,- -,- -,- -,- -,-222000,-139000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,111426000,336869000,248812000,95723000,84753000,35800000,26600000,4000000,300000,- -,- -,- -,- -,- -,- -,122000,264000,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,7327000,47178000,52997000,90387000,395000,12000,-2578000,- -,- -,-2900000,-10300000,-5800000,2500000,3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-8111000,-4527000,-26456000,-35411000,3560000,-88960000,15559000,-44909000,-8168000,14719000,5013000,-964000,14300000,-2100000,-23100000,-19300000,-4200000,-7400000,-10500000,-9400000,-3700000,-1796000,-4038000,-6299000,-5246000,-4608000,-2847000
90,Debt Repayment,-695000,-1019000,-1025000,-1056000,-1314000,-1035000,-167000,- -,- -,- -,-5208000,-19250000,-15000000,-16800000,-11100000,-11700000,-5000000,-1400000,-4200000,-2900000,-51100000,-36000000,-33000000,-36000000,-36000000,-41911000,-9000000
91,Common Stock Issued,4025000,15812000,55864000,32712000,2166000,122266000,9755000,73666000,1064000,1392000,24007000,2495000,26900000,- -,- -,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1100000,- -,- -,- -,- -,-8300000,- -,- -,- -,- -,- -,-8000,-2316000,-1772000,-787000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,20620000,-12235000,-6261000,-8375000,2600000,-2600000,- -,- -,- -,- -,25000000,33000000,46500000,3400000,10000000,6400000,6000000,8400000,300000,100000,54000000,36013000,33021000,36020000,35364000,41138000,1739000
95,Cash Used/Provided by Financing Activities,23950000,2558000,48578000,23281000,3452000,118631000,9588000,73666000,1064000,1392000,43799000,16245000,57300000,-13400000,-1100000,-5300000,1200000,-1300000,-3900000,-2800000,2900000,13000,21000,12000,-2952000,-2545000,-8048000
96,Effect of Forex Changes on Cash,-39000,132000,-51000,-1510000,-2345000,1256000,438000,1345000,345000,-1080000,-1944000,-598000,-3100000,1300000,-5300000,1200000,1000000,-1900000,- -,300000,-4300000,-2347000,-244000,-727000,-309000,-669000,-77000
97,Net Change In Cash,-1443000,6380000,31349000,-15244000,-6067000,36821000,-32376000,9925000,-1852000,-12410000,11234000,11554000,55400000,25800000,41800000,4900000,-43500000,-2200000,-6000000,-41200000,-14100000,-4256000,5144000,1195000,-5563000,9671000,6326000
98,Cash at the End of Period,1919000,8299000,40367000,25130000,21518000,58339000,25963000,35888000,34036000,21626000,32860000,44414000,69200000,95000000,136800000,141700000,98200000,96000000,90000000,48800000,34700000,30479000,36569000,37764000,32201000,41872000,48198000
99,Cash at the Beginning of Period,3362000,1919000,9018000,40374000,27585000,21518000,58339000,25963000,35888000,34036000,21626000,32860000,13800000,69200000,95000000,136800000,141700000,98200000,96000000,90000000,48800000,34735000,31425000,36569000,37764000,32201000,41872000
100,Free Cash Flow,-25354000,3690000,769000,-24180000,-35445000,-18034000,-83065000,-27850000,3087000,-59037000,-43069000,-13725000,-24300000,20500000,49700000,7500000,-49500000,2500000,-2000000,-38700000,-12700000,-1700000,5384000,1646000,-2302000,12885000,14451000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1377789/000095013408017170/0000950134-08-017170-index.html,https://www.sec.gov/Archives/edgar/data/1377789/000095012309041004/0000950123-09-041004-index.html,https://www.sec.gov/Archives/edgar/data/1377789/000095012310084926/0000950123-10-084926-index.html,https://www.sec.gov/Archives/edgar/data/1377789/000119312511245965/0001193125-11-245965-index.html,https://www.sec.gov/Archives/edgar/data/1377789/000137778912000023/0001377789-12-000023-index.html,https://www.sec.gov/Archives/edgar/data/1377789/000137778913000057/0001377789-13-000057-index.html,https://www.sec.gov/Archives/edgar/data/1377789/000137778914000086/aviat10-k2014.htm,https://www.sec.gov/Archives/edgar/data/1377789/000137778915000072/0001377789-15-000072-index.html,https://www.sec.gov/Archives/edgar/data/1377789/000137778916000172/0001377789-16-000172-index.html,https://www.sec.gov/Archives/edgar/data/1377789/000137778917000044/0001377789-17-000044-index.html,https://www.sec.gov/Archives/edgar/data/1377789/000137778918000061/0001377789-18-000061-index.html,https://www.sec.gov/Archives/edgar/data/1377789/000137778919000061/aviat10-k2019.htm,https://www.sec.gov/Archives/edgar/data/1377789/000137778920000062/0001377789-20-000062-index.htm,https://www.sec.gov/Archives/edgar/data/1377789/000137778921000048/0001377789-21-000048-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
