,https://roic.ai/company/MSN,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,38095238,38811189,46571000,40253000,40292000,45167000,49398000,53508000,38569000,40485000,28640000,27227000,27264000,27172000,27127000,27126000,27130000,27131000,27130000,27130000,27130000,27130000,27130000,27130000,27115000,25282000,21931000,21043000,21043000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/32621/000090571895000044/0000905718-95-000044-index.html,https://www.sec.gov/Archives/edgar/data/32621/000003262196000002/0000032621-96-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/32621/000003262198000009/0000032621-98-000009-index.html,https://www.sec.gov/Archives/edgar/data/32621/000003262199000024/0000032621-99-000024-index.html,https://www.sec.gov/Archives/edgar/data/32621/000090571800000237/0000905718-00-000237-index.html,https://www.sec.gov/Archives/edgar/data/32621/000090571801500081/0000905718-01-500081-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/32621/000095013404009454/d16432e10vk.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/32621/000095012307009418/0000950123-07-009418-index.html,https://www.sec.gov/Archives/edgar/data/32621/000095012308007812/y61924e10vk.htm,https://www.sec.gov/Archives/edgar/data/32621/000095012309022198/y78212e10vk.htm,https://www.sec.gov/Archives/edgar/data/32621/000095012310065512/y85258e10vk.htm,https://www.sec.gov/Archives/edgar/data/32621/000095012311065673/c19287e10vk.htm,https://www.sec.gov/Archives/edgar/data/32621/000119312512302134/d365654d10k.htm,https://www.sec.gov/Archives/edgar/data/32621/000119312513291843/d552862d10k.htm,https://www.sec.gov/Archives/edgar/data/32621/000119312514249174/0001193125-14-249174-index.html,https://www.sec.gov/Archives/edgar/data/32621/000119312515252434/d109660d10k.htm,https://www.sec.gov/Archives/edgar/data/32621/000156459016020955/0001564590-16-020955-index.html,https://www.sec.gov/Archives/edgar/data/32621/000156459017012978/0001564590-17-012978-index.html,https://www.sec.gov/Archives/edgar/data/32621/000156459018016376/0001564590-18-016376-index.html,https://www.sec.gov/Archives/edgar/data/32621/000156459019023597/0001564590-19-023597-index.html,https://www.sec.gov/Archives/edgar/data/32621/000156459020030804/0001564590-20-030804-index.htm,https://www.sec.gov/Archives/edgar/data/32621/000156459021034573/0001564590-21-034573-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,17000000,16100000,2600000,2600000,3100000,8539000,7987000,19228000,11413000,6369000,2954000,17517000,1851000,14444000,22518000,15051000,39056000,44960000,21412000,26328000,43485000,30096000,27471000,25096000,7917000,6276000,5245000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,700000,37000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4725000,- -,45235000,32194000,- -,20155000,25078000,16000000,28371000,28101000,25045000
33,Cash and Short-Term Investments,- -,- -,17000000,16100000,2600000,2600000,3800000,8576000,7987000,19228000,11413000,6369000,2954000,17517000,1851000,14444000,22518000,15051000,43781000,44960000,66647000,58522000,43485000,50251000,52549000,41096000,36288000,34377000,30290000
34,Net Receivables,- -,- -,34300000,23600000,12500000,11700000,11900000,8783000,27333000,31738000,27547000,22769000,31254000,20423000,20911000,19420000,17635000,21387000,12342000,13328000,8853000,8219000,7797000,4092000,1307000,1947000,607000,484000,691000
35,Inventory,- -,- -,35300000,35300000,13300000,11400000,11600000,14384000,44477000,41657000,45177000,46997000,53517000,33003000,32463000,24854000,20691000,10952000,8515000,11269000,3454000,5438000,4519000,2056000,838000,3164000,3520000,1918000,1961000
36,Other Current Assets,- -,- -,15800000,10300000,6500000,2500000,2900000,2653000,5030000,11390000,13632000,11231000,14290000,11044000,36803000,8557000,10087000,4120000,4114000,5392000,3628000,5045000,5125000,1927000,2244000,857000,838000,577000,650000
37,Total Current Assets,- -,- -,102400000,85300000,34900000,28200000,30200000,34396000,84827000,104013000,97769000,87366000,102015000,81987000,92028000,67275000,70931000,51510000,68752000,74949000,82582000,77224000,60926000,58326000,56938000,47064000,41253000,37356000,33592000
38,PP&E,- -,- -,4700000,3500000,2100000,1400000,1200000,1034000,12718000,11116000,9823000,7822000,8275000,2500000,2492000,1902000,1139000,3131000,2921000,260000,258000,142000,77000,29000,18000,14000,6000,451000,216000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,13388000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,11678000,5613000,5168000,5078000,442000,311000,279000,- -,- -,- -,1545000,219000,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,13388000,11678000,5613000,5168000,5078000,442000,311000,279000,255000,1606000,1545000,1545000,219000,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,17500000,19500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,6031000,6031000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,4081000,5728000,17595000,15263000,13375000,6861000,4067000,5927000,7102000,6588000,2540000,1668000,1121000,1753000,1058000,1401000,791000,528000,448000,- -,- -
44,Other Non-Current Assets,- -,- -,6900000,7800000,21800000,4800000,3500000,22566000,3992000,3304000,3762000,3050000,2425000,712000,510000,12546000,586000,390000,958000,262000,104000,130000,102000,132000,101000,151000,154000,94000,94000
45,Total Non-Current Assets,- -,- -,11600000,11300000,23900000,23700000,24200000,23600000,34179000,31826000,36793000,31303000,29153000,10515000,7380000,20654000,15113000,17746000,7964000,3735000,1702000,2025000,1237000,1562000,910000,693000,608000,545000,310000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,114000000,96600000,58800000,51900000,54400000,57996000,119006000,135839000,134562000,118669000,131168000,92502000,99408000,87929000,86044000,69256000,76716000,78684000,84284000,79249000,62163000,59888000,57848000,47757000,41861000,37901000,33902000
48,Accounts Payable,- -,- -,19000000,10400000,13100000,12300000,16800000,16499000,34703000,33279000,30596000,32787000,30365000,18121000,20044000,21737000,18929000,20776000,14408000,9152000,7790000,3951000,2137000,1691000,756000,803000,545000,592000,788000
49,Short-Term Debt,- -,- -,27800000,21300000,5800000,- -,2200000,3011000,5233000,17524000,13552000,4820000,13154000,1926000,3257000,82000,5818000,5659000,2512000,64000,- -,- -,- -,- -,- -,- -,- -,- -,357000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,195000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50000,165000,180000,195000
52,Other Current Liabilities,- -,- -,13000000,3300000,2800000,4700000,4400000,5032000,5394000,3920000,4520000,3030000,2380000,1725000,1544000,1159000,1351000,1159000,1397000,1319000,2289000,- -,1347000,967000,165000,250000,250000,437000,196000
53,Total Current Liabilities,- -,- -,59800000,35000000,21700000,17000000,23400000,24542000,45330000,54723000,48668000,40637000,45899000,21772000,24845000,22978000,26098000,27594000,18317000,10535000,10079000,3951000,3484000,2658000,921000,1103000,960000,1209000,1536000
54,Long-Term Debt,- -,- -,200000,20900000,20900000,20800000,20800000,20750000,38257000,29046000,18079000,15027000,14970000,575000,651000,142000,59000,201000,150000,72000,30000,- -,- -,- -,- -,- -,- -,- -,85000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25000,57000,87000,119000,158000,177000,194000,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,300000,300000,200000,200000,- -,141000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,481000,- -,- -,2871000,2173000,2271000,1836000
58,Total Non-Current Liabilities,- -,- -,500000,21200000,21100000,21000000,20800000,20891000,38257000,29046000,18079000,15027000,14970000,575000,676000,199000,146000,320000,308000,249000,224000,- -,481000,- -,- -,2871000,2173000,2271000,1921000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43000,- -,- -,- -,- -,- -,- -,480000,238000
61,Total Liabilities,- -,- -,60300000,56200000,42800000,38000000,44200000,45433000,83587000,83769000,66747000,55664000,60869000,22347000,25521000,23177000,26244000,27914000,18625000,10784000,10303000,3951000,3965000,2658000,921000,3974000,3133000,3480000,3457000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3310000,3310000,3310000,3310000,3310000,3310000,3310000,3310000,3310000,3310000,3310000,3310000,3310000,3310000,3310000,3310000,3310000,3310000,3310000
63,Common Stock,- -,- -,- -,- -,- -,500000,500000,513000,515000,515000,520000,523000,529000,529000,529000,529000,529000,529000,529000,529000,529000,529000,529000,529000,529000,529000,529000,529000,529000
64,Retained Earnings,- -,- -,-64100000,-78200000,-102800000,-104700000,-105000000,-101445000,-88843000,-69436000,-47936000,-49010000,-43105000,-26475000,-23017000,-32159000,-36976000,-36976000,-21055000,-10418000,-4419000,-3102000,-1209000,-2177000,-2414000,-9265000,-11702000,-16009000,-19985000
65,Other Comprehensive Income/Loss,- -,- -,-7100000,-4400000,-3500000,400000,-200000,-3402000,-3594000,-4688000,-6628000,-7442000,-9011000,-4490000,-5039000,-5442000,-4983000,-1005000,1000000,-928000,-965000,-667000,-482000,-511000,-506000,-507000,-412000,-388000,- -
66,Other Total Stockholders Equity,- -,- -,124900000,123000000,122300000,117700000,114900000,116897000,107053000,108349000,101971000,99831000,101880000,97281000,98104000,98381000,97920000,75484000,74307000,75407000,75526000,75228000,56050000,56079000,56008000,49716000,47003000,46979000,46591000
67,Total Stockholders Equity,- -,- -,53700000,40400000,16000000,13900000,10200000,12563000,15131000,34740000,51237000,47212000,53603000,70155000,73887000,64619000,59800000,41342000,58091000,67900000,73981000,75298000,58198000,57230000,56927000,43783000,38728000,34421000,30445000
68,Total Liabilities And Stockholders Equity,- -,- -,114000000,96600000,58800000,51900000,54400000,57996000,98718000,118509000,117984000,102876000,114472000,92502000,99408000,87796000,86044000,69256000,76716000,78684000,84284000,79249000,62163000,59888000,57848000,47757000,41861000,37901000,33902000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,20288000,17330000,16578000,15793000,16696000,- -,- -,133000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,114000000,96600000,58800000,51900000,54400000,57996000,119006000,135839000,134562000,118669000,131168000,92502000,99408000,87929000,86044000,69256000,76716000,78684000,84284000,79249000,62163000,59888000,57848000,47757000,41861000,37901000,33902000
71,SEC Link,undefined,undefined,https://www.sec.gov/Archives/edgar/data/32621/000090571895000044/0000905718-95-000044-index.html,https://www.sec.gov/Archives/edgar/data/32621/000003262196000002/0000032621-96-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/32621/000003262198000009/0000032621-98-000009-index.html,https://www.sec.gov/Archives/edgar/data/32621/000003262199000024/0000032621-99-000024-index.html,https://www.sec.gov/Archives/edgar/data/32621/000090571800000237/0000905718-00-000237-index.html,https://www.sec.gov/Archives/edgar/data/32621/000090571801500081/0000905718-01-500081-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/32621/000095013404009454/d16432e10vk.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/32621/000095012307009418/0000950123-07-009418-index.html,https://www.sec.gov/Archives/edgar/data/32621/000095012308007812/y61924e10vk.htm,https://www.sec.gov/Archives/edgar/data/32621/000095012309022198/y78212e10vk.htm,https://www.sec.gov/Archives/edgar/data/32621/000095012310065512/y85258e10vk.htm,https://www.sec.gov/Archives/edgar/data/32621/000095012311065673/c19287e10vk.htm,https://www.sec.gov/Archives/edgar/data/32621/000119312512302134/d365654d10k.htm,https://www.sec.gov/Archives/edgar/data/32621/000119312513291843/d552862d10k.htm,https://www.sec.gov/Archives/edgar/data/32621/000119312514249174/0001193125-14-249174-index.html,https://www.sec.gov/Archives/edgar/data/32621/000119312515252434/d109660d10k.htm,https://www.sec.gov/Archives/edgar/data/32621/000156459016020955/0001564590-16-020955-index.html,https://www.sec.gov/Archives/edgar/data/32621/000156459017012978/0001564590-17-012978-index.html,https://www.sec.gov/Archives/edgar/data/32621/000156459018016376/0001564590-18-016376-index.html,https://www.sec.gov/Archives/edgar/data/32621/000156459019023597/0001564590-19-023597-index.html,https://www.sec.gov/Archives/edgar/data/32621/000156459020030804/0001564590-20-030804-index.htm,https://www.sec.gov/Archives/edgar/data/32621/000156459021034573/0001564590-21-034573-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-56000000,55500000,7400000,-13400000,-24000000,-1400000,300000,3620000,12653000,19407000,21500000,-1074000,5905000,16630000,3458000,-9021000,-4817000,11315000,15918000,10634000,5999000,1317000,1893000,-968000,-237000,-6851000,-2437000,-4307000,-3976000
74,Depreciation and Amortization,6400000,7300000,3900000,3700000,2900000,1800000,1200000,1306000,2729000,3601000,3142000,3375000,3284000,1076000,850000,823000,775000,846000,502000,276000,106000,88000,75000,48000,16000,8000,5000,35000,233000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7899000,-10957000,1483000,2852000,-519000,842000,-1550000,-605000,2035000,4645000,1412000,1183000,- -,1127000,619000,610000,263000,80000,448000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000,12000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,4900000,- -,42600000,7700000,-37100000,-2000000,-4400000,3054000,29643000,9793000,-189000,-2372000,9387000,4099000,6968000,-22886000,536000,-20917000,26519000,13979000,8089000,770000,-15831000,-1774000,349000,-10056000,-5668000,-4146000,-4091000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2919000,-2752000,10272000,-577000,5582000,3726000,-18000,2235000,2146000,-510000,1476000,117000,-185000
79,Inventory,-28900000,34900000,11000000,-400000,20900000,3400000,1000000,-2970000,-9463000,2806000,-3858000,-7191000,-6293000,5030000,-2423000,8109000,4392000,11495000,2118000,-755000,7689000,-1984000,919000,2463000,1218000,-2326000,-356000,1602000,-43000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2766000,1847000,-6368000,-5256000,-1362000,-3296000,-1814000,-446000,-935000,47000,-258000,47000,196000
81,Other Working Capital,- -,- -,42600000,50300000,13200000,11200000,6800000,9854000,39497000,49290000,49101000,46729000,56116000,60215000,67183000,44297000,44833000,23916000,50435000,64414000,72503000,73273000,57442000,55668000,56017000,45961000,40293000,36147000,32056000
82,Other Non-Cash Items,24400000,-35200000,-74900000,-9400000,74900000,7700000,8200000,-1613000,-35260000,-15059000,1977000,-1095000,-30878000,-12473000,-28645000,62133000,1084000,33152000,-22511000,-26453000,6332000,-10269000,17202000,8841000,1131000,11480000,5830000,6059000,3541000
83,Cash Provided by Operating Activities,-20300000,27600000,-21000000,-11400000,16700000,6100000,5300000,6367000,9765000,9843000,15473000,317000,-9450000,8813000,-16527000,29499000,-3029000,26443000,25073000,-152000,21709000,-8094000,4466000,6766000,1869000,-5156000,-2190000,-1911000,-4293000
84,CAPEX,-4900000,-3600000,-2900000,-1700000,-300000,- -,-400000,-462000,-110000,-896000,-647000,-257000,-2598000,-687000,-364000,-1309000,-416000,-4050000,-231000,-57000,-111000,-28000,-10000,- -,-5000,-4000,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-2378000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-4000000,-500000,- -,- -,- -,- -,-2000000,-841000,- -,- -,- -,- -,- -,- -,- -,-15000000,- -,- -,- -,- -,-45235000,- -,- -,- -,-4923000,-61058000,-56481000,-1580000,-25045000
87,Sales/Maturities of Investments,- -,- -,8500000,900000,100000,- -,- -,552000,- -,- -,- -,- -,- -,- -,- -,1100000,5800000,- -,3100000,4725000,- -,- -,- -,- -,- -,70136000,44110000,1850000,28101000
88,Other Investing Activites,-100000,200000,100000,-400000,-14400000,- -,100000,213000,- -,- -,- -,10517000,- -,29488000,- -,2011000,430000,-1469000,-739000,3174000,152000,13111000,31694000,-20155000,500000,- -,- -,- -,2000
89,Cash Used for Investing Activites,-9000000,-3900000,5700000,-1200000,-14600000,- -,-2300000,-538000,-2488000,-896000,-647000,10260000,-2598000,28801000,-364000,-13198000,5814000,-4050000,2130000,7842000,-45194000,13083000,31682000,-20155000,-4428000,9074000,-12371000,270000,3058000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-145304000,-124496000,-91309000,-2448000,-63000,-73000,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,100000,30000000,5700000,- -,- -,- -,- -,- -,172000,- -,627000,284000,201000,51000,94000,51000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-300000,- -,- -,- -,- -,- -,-3200000,-1153000,-10164000,-786000,-5697000,-4157000,- -,-392000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-66000,-6293000,-2618000,- -,- -
93,Dividends Paid,- -,- -,-500000,-700000,-200000,-300000,-400000,-26000,-13000,- -,- -,- -,- -,- -,- -,- -,- -,-29843000,- -,- -,- -,- -,-18991000,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,24800000,-57200000,5500000,12400000,-15400000,-5800000,2100000,789000,2176000,3080000,-17571000,-11748000,8432000,-22714000,1131000,-3759000,150754000,124479000,88111000,-78000,- -,- -,- -,- -,- -,- -,- -,- -,204000
95,Cash Used/Provided by Financing Activities,24600000,-27200000,10700000,11700000,-15600000,-6100000,-1500000,-390000,-7829000,2294000,-22641000,-15621000,8633000,-23055000,1225000,-3708000,5450000,-29860000,-3198000,-2526000,-63000,-73000,-18991000,- -,-66000,-6293000,-2618000,- -,204000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,24600000,-27200000,10700000,-900000,-13500000,- -,1500000,5439000,-552000,11241000,-7815000,-5044000,-3415000,14559000,-15666000,12593000,8235000,-7467000,24005000,5164000,-23548000,4916000,17157000,-13389000,-2625000,-2375000,-17179000,-1641000,-1031000
98,Cash at the End of Period,- -,- -,- -,16100000,2600000,2600000,3100000,8539000,7987000,19228000,11413000,6369000,2954000,17517000,1851000,14444000,22518000,15051000,39056000,44960000,21412000,26328000,43485000,30096000,27471000,25096000,7917000,6276000,5245000
99,Cash at the Beginning of Period,29900000,25200000,21600000,17000000,16100000,2600000,1600000,3100000,8539000,7987000,19228000,11413000,6369000,2958000,17517000,1851000,14283000,22518000,15051000,39796000,44960000,21412000,26328000,43485000,30096000,27471000,25096000,7917000,6276000
100,Free Cash Flow,-25200000,24000000,-23900000,-13100000,16400000,6100000,4900000,5905000,9655000,8947000,14826000,60000,-12048000,8126000,-16891000,28190000,-3445000,22393000,24842000,-209000,21598000,-8122000,4456000,6766000,1864000,-5160000,-2190000,-1911000,-4293000
