,https://roic.ai/company/PPG,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,1149100000,1277500000,1444400000,1384600000,1306800000,1395600000,1451700000,1456000000,1423100000,1454600000,1545000000,1583600000,1666000000,1758000000,1929000000,2093000000,2108000000,2090000000,2262000000,2406000000,2452000000,2678000000,2855000000,4450000000,3817000000,3855000000,4131000000,4204000000,4614000000,4676000000,4621000000,4575000000,4472000000,4501000000,4539000000,4270000000,4822000000
11,COGS and Expenses,3787800000,4068800000,4531800000,4718400000,4897800000,5117000000,5106200000,5129100000,5037300000,5320100000,5757100000,5923900000,6063000000,6234000000,6648000000,7427000000,7245000000,7156000000,7783000000,8405000000,8925000000,9714000000,9942000000,14605000000,11356000000,12069000000,13212000000,13273000000,13250000000,13467000000,13212000000,12638000000,12676000000,13502000000,13192000000,12047000000,15108000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26000000,28000000,34000000,42000000,39000000,43000000,50000000,40000000,26000000,20000000,23000000,32000000,23000000,26000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,254000000,193000000,189000000,210000000,210000000,196000000,187000000,126000000,125000000,105000000,118000000,132000000,138000000,121000000
14,Depreciation and Amortization,- -,- -,- -,- -,310200000,344800000,372800000,373200000,350200000,335200000,351600000,362600000,373000000,383000000,419000000,447000000,447000000,398000000,394000000,388000000,372000000,380000000,380000000,563000000,480000000,470000000,467000000,465000000,475000000,476000000,495000000,462000000,460000000,497000000,511000000,509000000,561000000
15,EBITDA,537100000,552600000,636900000,779000000,1058900000,1111700000,720900000,911000000,608600000,1175000000,1598900000,1577600000,1522000000,1650000000,1364000000,1436000000,1081000000,322000000,1181000000,1393000000,1250000000,1369000000,1569000000,1639000000,1200000000,1843000000,2157000000,1954000000,4235000000,3024000000,2483000000,1705000000,2772000000,2309000000,2278000000,1997000000,2495000000
16,EBITDA ratio,0.1236,0.1179,0.1229,0.1382,0.1847,0.1846,0.1271,0.1567,0.1058,0.1856,0.2265,0.2186,0.2063,0.2197,0.1758,0.1664,0.1323,0.0399,0.1349,0.1464,0.1225,0.1240,0.1400,0.1034,0.0980,0.1373,0.1449,0.1286,0.2803,0.1969,0.1620,0.1156,0.1879,0.1502,0.1504,0.1444,0.1485
17,Operating Income,557700000,618300000,650800000,920300000,836300000,904400000,566400000,684800000,716600000,1011100000,1300600000,1294200000,1316000000,1276000000,1109000000,1202000000,924000000,911000000,973000000,1108000000,1276000000,1323000000,1264000000,1244000000,883000000,1354000000,1673000000,1927000000,1858000000,1893000000,2118000000,2113000000,2074000000,1872000000,1954000000,1787000000,2171000000
18,Operating Income ratio,0.1283,0.1319,0.1256,0.1632,0.1458,0.1502,0.0998,0.1178,0.1245,0.1597,0.1843,0.1793,0.1783,0.1699,0.1430,0.1393,0.1131,0.1129,0.1111,0.1165,0.1251,0.1199,0.1128,0.0785,0.0721,0.1009,0.1124,0.1268,0.1230,0.1232,0.1382,0.1432,0.1406,0.1218,0.1290,0.1292,0.1292
19,Total Other Income Expenses (Gains),-20600000,-65700000,-13900000,-141300000,-87600000,-137500000,-218300000,-147000000,-185400000,-171300000,-53300000,-79200000,-167000000,-9000000,-164000000,-213000000,-290000000,-939000000,-473000000,-45000000,-329000000,-263000000,-21000000,-336000000,-266000000,-59000000,-76000000,-525000000,-369000000,-477000000,-236000000,-1286000000,-66000000,-179000000,-293000000,-425000000,-356000000
20,Income Before Tax,537100000,552600000,636900000,779000000,748700000,766900000,348100000,537800000,531200000,839800000,1247300000,1215000000,1149000000,1267000000,945000000,989000000,634000000,-28000000,500000000,1063000000,947000000,1060000000,1243000000,908000000,617000000,1295000000,1597000000,1402000000,1489000000,1416000000,1882000000,827000000,2008000000,1693000000,1661000000,1362000000,1815000000
21,Income Before Tax Ratio,0.1236,0.1179,0.1229,0.1382,0.1306,0.1274,0.0614,0.0925,0.0923,0.1326,0.1767,0.1683,0.1557,0.1687,0.1218,0.1146,0.0776,-0.0035,0.0571,0.1117,0.0928,0.0960,0.1109,0.0573,0.0504,0.0965,0.1073,0.0922,0.0986,0.0922,0.1228,0.0561,0.1361,0.1101,0.1097,0.0985,0.1080
22,Income Tax expense (Gain),234400000,236200000,259800000,311400000,283500000,292100000,146700000,218400000,236200000,325200000,479700000,471000000,435000000,466000000,377000000,369000000,247000000,-7000000,293000000,322000000,282000000,278000000,355000000,284000000,191000000,415000000,385000000,338000000,333000000,259000000,456000000,241000000,616000000,353000000,392000000,291000000,374000000
23,Net Income,302700000,316400000,377100000,467600000,465200000,474800000,201400000,319400000,22200000,514600000,767600000,744000000,714000000,801000000,568000000,620000000,387000000,-69000000,494000000,683000000,596000000,711000000,834000000,538000000,336000000,769000000,1095000000,941000000,3231000000,2102000000,1406000000,877000000,1591000000,1341000000,1243000000,1059000000,1439000000
24,Net Income ratio,0.0697,0.0675,0.0728,0.0829,0.0811,0.0789,0.0355,0.0549,0.0039,0.0813,0.1088,0.1031,0.0968,0.1067,0.0732,0.0719,0.0474,-0.0086,0.0564,0.0718,0.0584,0.0644,0.0744,0.0339,0.0275,0.0573,0.0736,0.0619,0.2139,0.1368,0.0917,0.0595,0.1079,0.0872,0.0821,0.0766,0.0856
25,EPS,0.57,0.67,0.80,1.06,1.04,1.11,0.47,0.76,0.05,1.22,1.90,1.98,1.99,2.26,1.64,1.80,1.15,-0.20,1.46,1.99,1.75,2.15,2.54,1.64,1.02,2.33,3.48,3.06,11.27,7.60,5.18,3.30,6.36,5.50,5.25,4.47,6.08
26,EPS Diluted,0.57,0.67,0.80,1.06,1.04,1.10,0.47,0.75,0.05,1.22,1.90,1.98,1.97,2.26,1.61,1.78,1.15,-0.20,1.45,1.98,1.75,2.13,2.52,1.63,1.01,2.31,3.44,3.03,11.13,7.51,5.14,3.28,6.31,5.47,5.22,4.45,6.08
27,Weighted Average Shares Outstanding,531052632,475789474,471375000,439061033,445167464,427747748,424000000,423046358,444000000,423800000,404000000,375600000,359697733,354424779,347400612,344444444,336521739,336585366,339518900,343216080,339601140,331468531,328994083,329200000,329600000,329000000,314600000,306800000,286800000,276600000,271400000,265600000,256100000,243900000,236900000,236800000,237400000
28,Weighted Average Shares Outstanding Diluted,531052632,475789474,471375000,441132075,447307692,429683258,428510638,425866667,444000000,428800000,412800000,382400000,362436548,358000000,351702786,347338936,337991266,336585366,341868512,345822785,341547278,333021077,331610338,331076923,331000000,331800000,318600000,310200000,290200000,279600000,273600000,267400000,257800000,245400000,238200000,237900000,239200000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/79879/000095013295000042/0000950132-95-000042-index.html,https://www.sec.gov/Archives/edgar/data/79879/000095013296000098/0000950132-96-000098-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/79879/000119312504026989/0001193125-04-026989-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000119312505031817/0001193125-05-031817-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000119312506033428/0001193125-06-033428-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000119312507036001/0001193125-07-036001-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000119312508035206/0001193125-08-035206-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000119312509032796/0001193125-09-032796-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000119312510033939/0001193125-10-033939-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000119312511038642/0001193125-11-038642-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000119312512064763/0001193125-12-064763-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000007987913000016/0000079879-13-000016-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000007987914000010/0000079879-14-000010-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000007987915000009/0000079879-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000007987916000065/0000079879-16-000065-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000007987917000009/0000079879-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000007987918000010/0000079879-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000007987919000008/0000079879-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000007987920000008/0000079879-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000007987921000008/0000079879-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000007987922000009/0000079879-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,62100000,105600000,69600000,129000000,128000000,158000000,111000000,108000000,117000000,499000000,709000000,466000000,455000000,526000000,1021000000,1057000000,1341000000,1457000000,1306000000,1116000000,686000000,1311000000,1820000000,1436000000,902000000,1216000000,1826000000,1005000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1706000000,- -,- -,637000000,25000000,1087000000,629000000,497000000,144000000,43000000,55000000,61000000,57000000,96000000,67000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,62100000,105600000,69600000,129000000,128000000,158000000,111000000,108000000,117000000,499000000,709000000,466000000,455000000,2232000000,1021000000,1057000000,1978000000,1482000000,2393000000,1745000000,1183000000,1455000000,1863000000,1491000000,963000000,1273000000,1922000000,1072000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,1228900000,1245100000,1225600000,1353000000,1366000000,1594000000,1563000000,1416000000,1486000000,1631000000,1797000000,1871000000,2168000000,2398000000,2804000000,2628000000,2778000000,2830000000,2813000000,2736000000,2815000000,2788000000,2692000000,2903000000,2845000000,2756000000,2726000000,3152000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,686400000,737500000,796500000,863000000,917000000,1016000000,1121000000,904000000,942000000,997000000,1076000000,1119000000,1390000000,1368000000,1702000000,1548000000,1573000000,1607000000,1687000000,1824000000,1825000000,1705000000,1546000000,1730000000,1783000000,1710000000,1735000000,2171000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,190800000,187300000,204700000,239000000,249000000,294000000,298000000,275000000,400000000,410000000,472000000,563000000,579000000,1138000000,821000000,748000000,729000000,775000000,822000000,909000000,1027000000,606000000,351000000,353000000,370000000,431000000,415000000,379000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2168200000,2275500000,2296400000,2584000000,2660000000,3062000000,3093000000,2703000000,2945000000,3537000000,4054000000,4019000000,4592000000,7136000000,6348000000,5981000000,7058000000,6694000000,7715000000,7214000000,6850000000,6554000000,6452000000,6477000000,5961000000,6170000000,6798000000,6774000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,2742300000,2834800000,2913500000,2855000000,2905000000,2933000000,2941000000,2752000000,2632000000,2566000000,2471000000,2304000000,2496000000,2426000000,2798000000,2754000000,2686000000,2721000000,2888000000,2876000000,3092000000,3017000000,2759000000,2824000000,2805000000,3765000000,3974000000,4333000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1396000000,1476000000,2641000000,2784000000,2719000000,2660000000,2761000000,3008000000,3801000000,3669000000,3572000000,3942000000,4070000000,4470000000,5102000000,6248000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,576000000,1662000000,1648000000,1542000000,1561000000,1652000000,1713000000,1654000000,586000000,612000000,1472000000,1416000000,1268000000,1125000000,1085000000,1339000000,2411000000,2178000000,1983000000,2045000000,1972000000,2131000000,2351000000,2783000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,576000000,1662000000,1648000000,1542000000,1561000000,1652000000,1713000000,1654000000,1982000000,2088000000,4113000000,4200000000,3987000000,3785000000,3846000000,4347000000,6212000000,5847000000,5555000000,5987000000,6042000000,6601000000,7453000000,9031000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,311000000,343000000,370000000,509000000,499000000,550000000,387000000,422000000,393000000,443000000,367000000,179000000,268000000,251000000,258000000,267000000,274000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,491000000,505000000,672000000,154000000,305000000,229000000,220000000,379000000,197000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,983400000,1084000000,1231500000,1429000000,1246000000,1257000000,1443000000,1455000000,725000000,669000000,694000000,393000000,608000000,609000000,930000000,806000000,694000000,795000000,1007000000,542000000,481000000,619000000,670000000,677000000,727000000,694000000,685000000,742000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,3725700000,3918800000,4145000000,4284000000,4727000000,5852000000,6032000000,5749000000,4918000000,4887000000,4878000000,4662000000,5429000000,5493000000,8350000000,8259000000,7917000000,7688000000,8163000000,8649000000,10733000000,10522000000,9317000000,10061000000,10054000000,11538000000,12758000000,14577000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,5893900000,6194300000,6441400000,6868000000,7387000000,8914000000,9125000000,8452000000,7863000000,8424000000,8932000000,8681000000,10021000000,12629000000,14698000000,14240000000,14975000000,14382000000,15878000000,15863000000,17583000000,17076000000,15769000000,16538000000,16015000000,17708000000,19556000000,21351000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,517800000,583400000,601900000,646000000,630000000,755000000,764000000,610000000,1378000000,1504000000,1651000000,1776000000,1081000000,2150000000,1402000000,1384000000,1626000000,1612000000,1832000000,2015000000,2183000000,2174000000,2175000000,2581000000,2460000000,2378000000,2579000000,3102000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,370700000,485300000,648300000,444000000,637000000,954000000,1161000000,696000000,352000000,327000000,166000000,101000000,140000000,1819000000,903000000,272000000,28000000,108000000,642000000,34000000,481000000,283000000,629000000,12000000,651000000,513000000,758000000,201000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46000000,36000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,536000000,560700000,518700000,572000000,645000000,675000000,618000000,649000000,190000000,308000000,404000000,472000000,1566000000,692000000,1905000000,1921000000,1971000000,1982000000,1987000000,2086000000,2212000000,2199000000,1436000000,1301000000,1262000000,1484000000,1494000000,1463000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1424500000,1629400000,1768900000,1662000000,1912000000,2384000000,2543000000,1955000000,1920000000,2139000000,2221000000,2349000000,2787000000,4661000000,4210000000,3577000000,3625000000,3702000000,4461000000,4135000000,4876000000,4656000000,4240000000,3894000000,4373000000,4375000000,4831000000,4766000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,745000000,706800000,806100000,1216000000,1047000000,1826000000,1800000000,1689000000,1689000000,1339000000,1184000000,1169000000,1155000000,1201000000,3009000000,3074000000,4043000000,3574000000,3368000000,3372000000,3544000000,4042000000,3787000000,4134000000,4365000000,4539000000,5848000000,7265000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,302700000,354900000,419100000,406000000,440000000,520000000,543000000,552000000,64000000,88000000,145000000,90000000,136000000,164000000,425000000,328000000,293000000,272000000,231000000,249000000,702000000,460000000,417000000,442000000,429000000,452000000,435000000,646000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,794400000,865800000,888500000,993000000,1021000000,980000000,1014000000,1054000000,1909000000,1810000000,1714000000,1912000000,2561000000,2319000000,3721000000,3339000000,3181000000,3388000000,3496000000,2909000000,3196000000,2849000000,2412000000,2395000000,2116000000,2939000000,2627000000,2263000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1842100000,1927500000,2113700000,2615000000,2508000000,3326000000,3357000000,3295000000,3662000000,3237000000,3043000000,3171000000,3852000000,3684000000,7155000000,6741000000,7517000000,7234000000,7095000000,6530000000,7442000000,7351000000,6616000000,6971000000,6910000000,7930000000,8910000000,10174000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,792000000,857000000,885000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,3266600000,3556900000,3882600000,4277000000,4420000000,5710000000,5900000000,5250000000,5582000000,5376000000,5264000000,5520000000,6639000000,8345000000,11365000000,10318000000,11142000000,10936000000,11556000000,10665000000,12318000000,12007000000,10856000000,10865000000,11283000000,12305000000,13741000000,14940000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,484300000,484300000,484300000,484000000,484000000,484000000,484000000,484000000,484000000,484000000,484000000,484000000,484000000,484000000,484000000,484000000,484000000,484000000,484000000,484000000,484000000,969000000,969000000,969000000,969000000,969000000,969000000,969000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,3717100000,4249000000,4759800000,5239000000,5791000000,6098000000,6444000000,6551000000,6197000000,6399000000,6776000000,7057000000,7453000000,7963000000,8156000000,8139000000,8548000000,9288000000,9871000000,12757000000,14498000000,15521000000,15984000000,17141000000,18131000000,18906000000,19469000000,20372000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3420400000,-3629200000,-3774700000,-3903000000,-3834000000,-3926000000,-4148000000,-4401000000,-4638000000,-5054000000,-5384000000,-819000000,-939000000,-582000000,-1628000000,-1261000000,-1411000000,-1800000000,-1666000000,-1260000000,-2116000000,-2702000000,-2356000000,-2057000000,-2300000000,-2350000000,-2599000000,-2750000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1776000000,1465100000,1013200000,689000000,439000000,450000000,317000000,446000000,107000000,1082000000,1696000000,-3669000000,-3764000000,-3714000000,-3679000000,-3609000000,-3983000000,-4723000000,-4626000000,-7049000000,-7686000000,-8805000000,-9771000000,-10495000000,-12170000000,-12241000000,-12150000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,2557000000,2569200000,2482600000,2509000000,2880000000,3106000000,3097000000,3080000000,2150000000,2911000000,3572000000,3053000000,3234000000,4151000000,3333000000,3753000000,3638000000,3249000000,4063000000,4932000000,5180000000,4983000000,4826000000,5558000000,4630000000,5284000000,5689000000,6286000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,5823600000,6126100000,6365200000,6786000000,7300000000,8816000000,8997000000,8330000000,7732000000,8287000000,8836000000,8573000000,9873000000,12496000000,14698000000,14071000000,14780000000,14185000000,15619000000,15597000000,17498000000,16990000000,15682000000,16423000000,15913000000,17589000000,19430000000,21226000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,70300000,68200000,76200000,82000000,87000000,98000000,128000000,122000000,131000000,137000000,96000000,108000000,148000000,133000000,- -,169000000,195000000,197000000,259000000,266000000,85000000,86000000,87000000,115000000,102000000,119000000,126000000,125000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,5893900000,6194300000,6441400000,6868000000,7387000000,8914000000,9125000000,8452000000,7863000000,8424000000,8932000000,8681000000,10021000000,12629000000,14698000000,14240000000,14975000000,14382000000,15878000000,15863000000,17583000000,17076000000,15769000000,16538000000,16015000000,17708000000,19556000000,21351000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/79879/000095013295000042/0000950132-95-000042-index.html,https://www.sec.gov/Archives/edgar/data/79879/000095013296000098/0000950132-96-000098-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/79879/000119312504026989/0001193125-04-026989-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000119312505031817/0001193125-05-031817-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000119312506033428/0001193125-06-033428-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000119312507036001/0001193125-07-036001-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000119312508035206/0001193125-08-035206-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000119312509032796/0001193125-09-032796-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000119312510033939/0001193125-10-033939-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000119312511038642/0001193125-11-038642-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000119312512064763/0001193125-12-064763-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000007987913000016/0000079879-13-000016-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000007987914000010/0000079879-14-000010-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000007987915000009/0000079879-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000007987916000065/0000079879-16-000065-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000007987917000009/0000079879-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000007987918000010/0000079879-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000007987919000008/0000079879-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000007987920000008/0000079879-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000007987921000008/0000079879-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/79879/000007987922000009/0000079879-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,465200000,474800000,201400000,319400000,22200000,514600000,767600000,744000000,714000000,801000000,568000000,620000000,387000000,-69000000,494000000,683000000,596000000,711000000,834000000,538000000,336000000,769000000,1095000000,941000000,3231000000,2102000000,1406000000,877000000,1591000000,1341000000,1243000000,1059000000,1439000000
74,Depreciation and Amortization,- -,- -,- -,- -,310200000,344800000,372800000,373200000,350200000,335200000,351600000,362600000,373000000,383000000,419000000,447000000,447000000,398000000,394000000,388000000,372000000,380000000,380000000,563000000,480000000,470000000,467000000,465000000,475000000,476000000,495000000,462000000,460000000,497000000,511000000,509000000,561000000
