,https://roic.ai/company/TYL,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,20100000,22900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,4400000,1200000,16600000,5739000,3968000,4647000,5206000,5773000,6653000,14237000,16731000,15867000,17698000,18696000,14450000,15729000,16024000,22068000,27864000,24265000,23307000,29249000,36664000,27045000,54941000,63664000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,52800000,36300000,32600000,51019000,49820000,45530000,52460000,66121000,78859000,96364000,111674000,131064000,97224000,109687000,98449000,107092000,122757000,217235000,346710000,268215000,282960000,496800000,518858000,679697000,1113070000,964331000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,8100000,5600000,14100000,21789000,6175000,6967000,6819000,6505000,6624000,5759000,7390000,9826000,26522000,35750000,34851000,40915000,45381000,64844000,65910000,101112000,124268000,152315000,155177000,190853000,168004000,220913000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66127000,71677000,88791000,90258000,92831000,106094000,119956000,121011000,124142000,653666000,650237000,657987000,753718000,840117000,838428000,2359674000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,96000000,160665000,84700000,82211000,60953000,55408000,73933000,72667000,33244000,28368000,35021000,31771000,32307000,35628000,45800000,38986000,34722000,295378000,267259000,236444000,276852000,378914000,331189000,1080982000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,96000000,160665000,84700000,82211000,60953000,55408000,73933000,72667000,99371000,100045000,123812000,122029000,125138000,141722000,165756000,159997000,158864000,949044000,917496000,894431000,1030570000,1219031000,1169617000,3440656000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3779000,1976000,2126000,1953000,2037000,1288000,- -,35422000,30741000,38510000,70338000,79601000,82640000,46353000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,2000000,13000000,7400000,39062000,12011000,12472000,49613000,54218000,31071000,19647000,1841000,573000,424000,1228000,3468000,3709000,2384000,1124000,2498000,2777000,2480000,7536000,16020000,22432000,-82640000,59908000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,10100000,18600000,117500000,221516000,102886000,101650000,117385000,116131000,111628000,98073000,108602000,110444000,154537000,160983000,165583000,188299000,215558000,227253000,227272000,1088355000,1074985000,1092792000,1272105000,1511917000,1337621000,3767830000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,62900000,54900000,150100000,272535000,152706000,147180000,169845000,182252000,190487000,194437000,220276000,241508000,251761000,270670000,264032000,295391000,338315000,444488000,573982000,1356570000,1357945000,1589592000,1790963000,2191614000,2450691000,4732161000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,5800000,5600000,1200000,5163000,4906000,2036000,2390000,2378000,2890000,3330000,5063000,3323000,2617000,3807000,2626000,3211000,3167000,2533000,4119000,6789000,7295000,8174000,6910000,14977000,14011000,119988000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1900000,3747000,353000,123000,- -,- -,- -,- -,- -,- -,8000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6387000,5904000,40560000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,166000,220000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27215000,26208000,34020000,41541000,51304000,62387000,73714000,95773000,99116000,102590000,123678000,140550000,156738000,189212000,281627000,298217000,309461000,350512000,412495000,461278000,510529000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,14800000,6200000,15300000,38089000,38078000,10437000,11628000,14750000,14683000,16316000,17735000,19537000,23079000,26330000,19433000,24751000,26078000,32839000,39508000,49156000,55989000,64675000,66480000,75234000,83084000,158424000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,20600000,11800000,18400000,46999000,43337000,39811000,40226000,51148000,59114000,70950000,85185000,96574000,129469000,129253000,124649000,151640000,169795000,192110000,232839000,337572000,361501000,382310000,423902000,509093000,564277000,829501000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37200000,67446000,7747000,2910000,2550000,- -,- -,- -,- -,- -,- -,- -,- -,60700000,18000000,- -,- -,66000000,10000000,- -,- -,- -,- -,1347612000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3115000,2140000,1274000,424000,199000,- -,38000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,6100000,3200000,10900000,13869000,3543000,3575000,8413000,13182000,12973000,11290000,9216000,7723000,8030000,7059000,5911000,4941000,5221000,6059000,4170000,91026000,68779000,38914000,41791000,48442000,- -,228085000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,4200000,8500000,7300000,5317000,1957000,- -,- -,- -,- -,- -,- -,- -,- -,- -,26500000,- -,- -,- -,- -,- -,- -,- -,- -,16822000,- -,2893000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,10300000,11700000,55400000,86632000,13247000,6485000,10963000,13182000,12973000,11290000,9216000,7723000,8030000,7059000,32411000,65641000,23221000,6059000,4170000,160141000,80919000,40188000,42215000,65463000,- -,1578628000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23209000,22183000,46896000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,30900000,23500000,73800000,133631000,56584000,46296000,51189000,64330000,72087000,82240000,94401000,104297000,137499000,136312000,157060000,217281000,193016000,198169000,237009000,497713000,442420000,422498000,466117000,574556000,- -,2408129000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,447000,480000,481000,481000,481000,481000,481000,481000,481000,481000,481000,481000,481000,481000,481000,481000,481000,481000,481000,481000,481000,481000,481000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,-10100000,-13400000,-21800000,-24615000,-49212000,-48943000,-40954000,-14552000,-4424000,3769000,18131000,35632000,50494000,77504000,102558000,130115000,163109000,202210000,261150000,326019000,435876000,599821000,771925000,917336000,1112156000,1273614000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,-6400000,-4800000,-2500000,-6022000,-3709000,-5933000,7418000,-32000,-11518000,-13190000,-10000,-17858000,-387000,-405000,-275000,-355000,-268000,-46000,-46000,-46000,-46000,-46000,-46000,-46000,-46000,-46000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,48500000,49600000,100600000,169094000,148563000,155279000,151711000,132010000,133861000,121137000,107273000,118956000,63674000,56778000,4208000,-52131000,-18023000,43674000,75388000,532403000,479214000,566838000,552486000,699287000,873520000,1049983000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,32000000,31400000,76300000,138904000,96122000,100884000,118656000,117907000,118400000,112197000,125875000,137211000,114262000,134358000,106972000,78110000,145299000,246319000,336973000,858857000,915525000,1167094000,1324846000,1617058000,1986111000,2324032000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,62900000,54900000,150100000,272535000,152706000,147180000,169845000,182237000,190487000,194437000,220276000,241508000,251761000,270670000,264032000,295391000,338315000,444488000,573982000,1356570000,1357945000,1589592000,1790963000,2191614000,1986111000,4732161000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,464580000,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,62900000,54900000,150100000,272535000,152706000,147180000,169845000,182252000,190487000,194437000,220276000,241508000,251761000,270670000,264032000,295391000,338315000,444488000,573982000,1356570000,1357945000,1589592000,1790963000,2191614000,2450691000,4732161000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/860731/000095013405004575/d23024e10vk.htm,https://www.sec.gov/Archives/edgar/data/860731/000095013406004110/d33441e10vk.htm,https://www.sec.gov/Archives/edgar/data/860731/000095013407004537/d43944e10vk.htm,https://www.sec.gov/Archives/edgar/data/860731/000095013408003695/d54229e10vk.htm,https://www.sec.gov/Archives/edgar/data/860731/000095013409003823/0000950134-09-003823-index.html,https://www.sec.gov/Archives/edgar/data/860731/000095012310016745/0000950123-10-016745-index.html,https://www.sec.gov/Archives/edgar/data/860731/000095012311017571/d79879e10vk.htm,https://www.sec.gov/Archives/edgar/data/860731/000119312512075092/0001193125-12-075092-index.html,https://www.sec.gov/Archives/edgar/data/860731/000119312513067262/0001193125-13-067262-index.html,https://www.sec.gov/Archives/edgar/data/860731/000119312514058350/d639171d10k.htm,https://www.sec.gov/Archives/edgar/data/860731/000156459015000744/tyl-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/860731/000156459016013137/0001564590-16-013137-index.html,https://www.sec.gov/Archives/edgar/data/860731/000086073117000006/0000860731-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/860731/000086073118000011/0000860731-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/860731/000086073119000009/0000860731-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/860731/000086073120000008/0000860731-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/860731/000086073121000014/0000860731-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/860731/000086073122000011/0000860731-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,3600000,1200000,3200000,-2300000,-4700000,-17000000,-61300000,-3300000,-8400000,-2824000,-24597000,269000,7989000,26402000,10128000,8193000,14362000,17501000,14862000,27010000,25054000,27557000,32994000,39101000,58940000,64869000,109857000,163945000,147462000,146527000,194820000,161458000
74,Depreciation and Amortization,- -,- -,8700000,10400000,11000000,10600000,12800000,4600000,4500000,2100000,5500000,11261000,9686000,10910000,8522000,9396000,11386000,10443000,10102000,11211000,12611000,9497000,10788000,10676000,12711000,13786000,14605000,19574000,50301000,53925000,61759000,76672000,81657000,135624000
75,Deferred Income Tax,- -,- -,2200000,-800000,-1200000,-1100000,- -,3000000,-4000000,-1500000,200000,546000,-4102000,1258000,3384000,4628000,-300000,-2200000,-2520000,-1598000,-2151000,-1730000,-959000,-2916000,-215000,-1497000,-3804000,-7956000,-28939000,-29865000,-5069000,-6088000,-7936000,-13271000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3820000,5045000,6132000,6253000,7411000,11653000,14819000,20182000,29747000,37348000,52740000,59967000,67365000,104726000
77,Change in Working Capital,- -,- -,-9700000,- -,- -,- -,- -,32200000,- -,-7700000,-10300000,-10180000,2463000,-764000,6515000,2739000,4772000,5669000,1075000,8001000,-66735000,12679000,-6634000,-18348000,-2490000,72163000,88746000,-183228000,-9184000,193031000,-19534000,75648000,378189000,-29831000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11853000,-6277000,-1989000,-8544000,-6825000,-7488000,-8912000,-28172000,-30227000,-35558000,-53771000,-65738000,-10733000,17608000
79,Inventory,- -,- -,-2900000,2400000,-3500000,5700000,-11900000,2700000,600000,-5600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-870000,1190000,-1181000,575000,-369000,-574000,1586000,652000,387000,878000,-2416000,7403000,-967000,-44947000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,32200000,32200000,24500000,14200000,4020000,6483000,5719000,12234000,14973000,19745000,25414000,26489000,34490000,-32245000,-19566000,-26200000,-44548000,-47038000,25125000,113871000,-69357000,-78541000,114490000,94956000,170604000,548793000,44874000
82,Other Non-Cash Items,- -,- -,-5500000,10800000,-1400000,11100000,-10700000,-6900000,68100000,3600000,15100000,1851000,10114000,1071000,-6565000,-20630000,-3827000,-918000,3785000,-1004000,85395000,-9560000,969000,33213000,8257000,-69116000,-49869000,175572000,40077000,-222629000,12845000,-98006000,-359006000,13047000
83,Cash Provided by Operating Activities,- -,- -,-700000,21600000,11600000,18300000,-2600000,15900000,7300000,-6800000,2100000,654000,-6436000,12744000,19845000,22535000,22159000,21187000,26804000,34111000,47802000,42941000,35350000,56435000,58668000,66090000,123437000,89013000,191859000,195755000,250203000,254720000,355089000,371753000
84,CAPEX,- -,- -,-14100000,-5100000,-8800000,-10900000,-14000000,-2100000,-3600000,-6900000,-39500000,-6545000,-4846000,-4454000,-9718000,-1796000,-2267000,-1734000,-4324000,-3845000,-21530000,-12352000,-4930000,-12278000,-9102000,-26858000,-9343000,-12501000,-37726000,-43057000,-27424000,-42040000,-28466000,-55612000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25949000,-3073000,-2750000,- -,- -,-946000,- -,-12237000,-9005000,-23868000,-2934000,-9661000,-17298000,-25680000,-181000,-3242000,-339961000,-9394000,-11344000,-178093000,-218734000,-1292000,-2089706000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27758000,-12277000,-17884000,-26825000,-67545000,-9245000,-918000,- -,- -,- -,- -,- -,-46907000,-20316000,-59779000,-115625000,-54742000,-166618000,-77450000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16000000,10055000,21464000,19016000,45980000,45065000,2500000,6075000,50000,75000,1090000,808000,900000,16837000,28786000,81205000,70796000,97742000,131449000
88,Other Investing Activites,- -,- -,300000,-24100000,-700000,700000,-59900000,50200000,8800000,4600000,2800000,7751000,73320000,-2502000,1744000,12964000,-4479000,-26000,44000,140000,-1363000,46000,-178000,717000,-29000,291000,222000,10000,-121000,-1000,1682000,-5099000,-5462000,-21309000
