,https://roic.ai/company/BBW,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
65,Other Comprehensive Income/Loss,- -,-1727828,-1821498,- -,-1803000,-997000,6314000,- -,-12585000,-6336000,-10165000,-7683000,-7303000,- -,-8698000,-12727000,-11562000,- -,-12018000,-12079000,-12615000,-12470000
66,Other Total Stockholders Equity,- -,10819521,10918091,- -,85259000,88861000,88394000,- -,76810000,80116000,65402000,66120000,69093000,- -,69362000,68001000,68962000,- -,69088000,70633000,72822000,75490000
67,Total Stockholders Equity,- -,15526300,21539597,- -,130357000,164264000,193608000,- -,167725000,164780000,129243000,83137000,84390000,- -,97625000,99112000,107315000,- -,94314000,88631000,67308000,93683000
68,Total Liabilities And Stockholders Equity,- -,93688354,111964258,- -,246108000,299764000,339508000,- -,300125000,284280000,241571000,192137000,194690000,- -,212054000,199595000,197989000,- -,172046000,297262000,261372000,268949000
69,Minority Interest,- -,4900,- -,- -,- -,36000,-8000,- -,75000,20000,- -,-37000,-90000,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,93693254,111964258,- -,246108000,299800000,339500000,- -,300200000,284300000,241571000,192100000,194600000,- -,212054000,199595000,197989000,- -,172046000,297262000,261372000,268949000
71,SEC Link,undefined,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1113809/000095013706003138/c02747e10vk.htm,https://www.sec.gov/Archives/edgar/data/1113809/000095013707003883/n13023e10vk.htm,https://www.sec.gov/Archives/edgar/data/1113809/000119312508055664/d10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/1113809/000119312509058733/0001193125-09-058733-index.html,https://www.sec.gov/Archives/edgar/data/1113809/000119312510060466/0001193125-10-060466-index.html,https://www.sec.gov/Archives/edgar/data/1113809/000143774912002376/0001437749-12-002376-index.html,https://www.sec.gov/Archives/edgar/data/1113809/000143774913002868/0001437749-13-002868-index.html,https://www.sec.gov/Archives/edgar/data/1113809/000143774914004065/bbw20131228_10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/1113809/000143774915005513/bbw20150103_10k.htm,https://www.sec.gov/Archives/edgar/data/1113809/000143774917004631/0001437749-17-004631-index.html,https://www.sec.gov/Archives/edgar/data/1113809/000143774918004676/0001437749-18-004676-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1113809/000143774919007482/0001437749-19-007482-index.html,https://www.sec.gov/Archives/edgar/data/1113809/000143774920007818/0001437749-20-007818-index.html,https://www.sec.gov/Archives/edgar/data/1113809/000143774921009026/0001437749-21-009026-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,5868540,7978424,- -,27314000,29500000,22500000,- -,4600000,-12500000,-17062000,-49300000,-2100000,- -,14400000,1377000,7916000,- -,-17933000,261000,-22983000,- -
74,Depreciation and Amortization,- -,7775448,11065217,- -,17592000,22394000,26292000,- -,28883000,28487000,24232000,21422000,19216000,- -,18128000,16171000,16165000,- -,16042000,13705000,13292000,- -
75,Deferred Income Tax,- -,1607400,1619419,- -,-2035000,-1130000,-2844000,- -,-847000,-5090000,14560000,109000,76000,- -,-2043000,2263000,5262000,- -,446000,-318000,3388000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,4335000,4605000,3611000,2849000,- -,2051000,3025000,3423000,- -,3439000,2877000,1525000,- -
77,Change in Working Capital,- -,4812828,2911717,- -,18646000,-38646000,8400000,- -,2500000,15000000,-13990000,-7110000,1500000,- -,14691000,-1683000,13179000,- -,3255000,-30835000,-1921000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4727000,- -,1411000,-2207000,-584000,- -,-3452000,-805000,- -,- -
79,Inventory,- -,-9037918,-1002303,- -,-9366000,-8368000,1738000,- -,-3795000,6628000,-5477000,5298000,-2987000,- -,-2323000,643000,-210000,- -,-1116000,5053000,6785000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4923000,- -,-3918000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,4812828,7724545,- -,66646000,28000000,36400000,- -,38900000,53900000,37610000,30500000,32000000,- -,46691000,27187000,40366000,- -,43621000,12786000,10865000,- -
82,Other Non-Cash Items,- -,-1400634,1640163,- -,-6875000,40917000,2026000,- -,-11521000,-6242000,3665000,46132000,-2483000,- -,-12343000,-5139000,-24857000,- -,4434000,35919000,20085000,- -
83,Cash Provided by Operating Activities,- -,18663582,25214940,- -,54642000,53035000,56374000,- -,23615000,23990000,16010000,14864000,19058000,- -,34884000,16014000,21088000,- -,9683000,21609000,13386000,- -
84,CAPEX,- -,-18718286,-18362230,- -,-32652000,-54640000,-32101000,- -,-23215000,-8148000,-12248000,-17268000,-19055000,- -,-10790000,-27251000,-17763000,- -,-11253000,-12384000,-5046000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,-39132000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-3703000,- -,-3414000,-750000,-5899000,-475000,- -,- -,-899000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4829000,2647000,- -,- -,- -,1461000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-1513381,-2117808,- -,-4425000,- -,-5134000,- -,- -,-2421000,-213000,-635000,-307000,- -,-100000,-867000,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,-20231667,-20480038,- -,-37077000,-93772000,-40938000,- -,-26629000,-8898000,-13318000,-15096000,-19362000,- -,-11789000,-26657000,-17763000,- -,-11253000,-12384000,-5046000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5400000,-4076000,- -,-7347000,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,4413000,2112000,1080000,- -,322000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-4670000,- -,-14346000,- -,-15002000,-1347000,-216000,- -,-3364000,-1469000,-4232000,- -,-2228000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-121264,- -,- -,1645000,1425000,538000,- -,- -,- -,415000,123000,348000,- -,1581000,4921000,3533000,- -,7119000,-245000,-114000,- -
95,Cash Used/Provided by Financing Activities,- -,-121264,- -,- -,6058000,3537000,-3052000,- -,-14024000,- -,-14587000,-1224000,132000,- -,-1783000,-1948000,-4775000,- -,-2456000,-245000,-114000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-641000,768000,- -,-2223000,-1693000,-493000,260000,-334000,- -,-588000,-122000,-588000,- -,421000,-140000,-112000,- -
97,Net Change In Cash,- -,-1689349,4734902,- -,23623000,-37841000,13152000,- -,-19261000,13399000,-12388000,-1196000,-506000,- -,20724000,-12713000,-2038000,- -,-3605000,8840000,8114000,- -
98,Cash at the End of Period,- -,15865961,20600863,- -,90950000,53109000,66261000,- -,47000000,60399000,46367000,45171000,44665000,- -,65389000,32483000,30445000,- -,17894000,28395000,34840000,- -
99,Cash at the Beginning of Period,- -,17555310,15865961,- -,67327000,90950000,53109000,- -,66261000,47000000,58755000,46367000,45171000,- -,44665000,45196000,32483000,- -,21499000,19555000,26726000,- -
100,Free Cash Flow,- -,-54704,6852710,- -,21990000,-1605000,24273000,- -,400000,15842000,3762000,-2404000,3000,- -,24094000,-11237000,3325000,- -,-1570000,9225000,8340000,- -
101,SEC Link,undefined,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1113809/000095013706003138/c02747e10vk.htm,https://www.sec.gov/Archives/edgar/data/1113809/000095013707003883/n13023e10vk.htm,https://www.sec.gov/Archives/edgar/data/1113809/000119312508055664/d10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/1113809/000119312509058733/0001193125-09-058733-index.html,https://www.sec.gov/Archives/edgar/data/1113809/000119312510060466/0001193125-10-060466-index.html,https://www.sec.gov/Archives/edgar/data/1113809/000143774912002376/0001437749-12-002376-index.html,https://www.sec.gov/Archives/edgar/data/1113809/000143774913002868/0001437749-13-002868-index.html,https://www.sec.gov/Archives/edgar/data/1113809/000143774914004065/bbw20131228_10k.htm,undefined,https://www.sec.gov/Archives/edgar/data/1113809/000143774915005513/bbw20150103_10k.htm,https://www.sec.gov/Archives/edgar/data/1113809/000143774917004631/0001437749-17-004631-index.html,https://www.sec.gov/Archives/edgar/data/1113809/000143774918004676/0001437749-18-004676-index.html,undefined,https://www.sec.gov/Archives/edgar/data/1113809/000143774919007482/0001437749-19-007482-index.html,https://www.sec.gov/Archives/edgar/data/1113809/000143774920007818/0001437749-20-007818-index.html,https://www.sec.gov/Archives/edgar/data/1113809/000143774921009026/0001437749-21-009026-index.htm,undefined
102,false,,,,,,,,,,,,,,,,,,,,,,
