,https://roic.ai/company/CBZ,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,43700000,42500000,29700000,90200000,292200000,513800000,627256000,515323000,486925000,488034000,501554000,525683000,560351000,594293000,637009000,682033000,676407000,675852000,710617000,643128000,663987000,686538000,734045000,788879000,829456000,867902000,871417000,1001785000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13392000,15308000,17355000,16262000,15374000,13124000,8902000,6593000,6675000,6645000,5765000,4983000,3868000
14,Depreciation and Amortization,2500000,2300000,- -,- -,- -,- -,- -,42084000,20657000,17161000,16428000,15163000,16425000,15971000,15111000,20498000,20333000,20345000,21395000,18884000,19831000,20389000,22098000,23061000,23675000,22345000,23139000,27078000
15,EBITDA,1900000,4400000,6000000,17900000,60600000,21800000,-129455000,36421000,-48067000,44573000,38170000,48407000,57615000,73403000,68259000,85084000,77003000,84090000,88131000,136559000,82868000,86227000,95155000,103401000,110157000,120664000,131562000,123962000
16,EBITDA ratio,0.0408,0.0989,0.1676,0.1639,0.1718,0.0399,-0.2448,0.0691,-0.0953,0.0869,0.0734,0.0866,0.0958,0.1140,0.0969,0.1150,0.1051,0.1146,0.1150,0.1973,0.1152,0.1149,0.1190,0.1209,0.1195,0.1272,0.1365,0.1122
17,Operating Income,2900000,2000000,6100000,19000000,60600000,32600000,-98526000,4431000,18340000,27247000,19499000,33900000,40795000,49750000,67999000,57667000,56098000,57953000,55477000,48905000,55496000,63884000,65787000,66461000,92547000,80522000,92480000,72672000
18,Operating Income ratio,0.0622,0.0449,0.1704,0.1740,0.1718,0.0597,-0.1863,0.0084,0.0364,0.0531,0.0375,0.0606,0.0679,0.0773,0.0966,0.0780,0.0766,0.0790,0.0724,0.0707,0.0771,0.0851,0.0823,0.0777,0.1004,0.0849,0.0959,0.0658
19,Total Other Income Expenses (Gains),-9100000,100000,-100000,100000,- -,-6800000,-12113000,-10094000,-2660000,371000,3043000,2257000,1621000,6131000,-14109000,-5781000,-11310000,-10986000,-5074000,-7478000,-4928000,-6052000,1219000,7859000,-12707000,12367000,11008000,20368000
20,Income Before Tax,-6200000,2100000,6000000,19100000,60600000,25800000,-110639000,-5663000,15680000,27618000,22542000,36157000,42416000,55881000,53890000,51886000,44788000,46967000,50403000,41427000,50568000,57832000,67006000,74320000,79840000,92889000,103488000,93040000
21,Income Before Tax Ratio,-0.1330,0.0472,0.1676,0.1749,0.1718,0.0472,-0.2093,-0.0107,0.0311,0.0539,0.0433,0.0647,0.0706,0.0868,0.0765,0.0701,0.0611,0.0640,0.0658,0.0599,0.0703,0.0771,0.0838,0.0869,0.0866,0.0979,0.1074,0.0842
22,Income Tax expense (Gain),-3100000,800000,1600000,6300000,21200000,14400000,-3379000,10337000,8124000,12096000,5691000,14571000,16789000,22592000,20546000,19798000,16848000,18383000,19328000,16438000,20154000,22829000,26399000,23288000,18267000,21840000,25141000,22129000
23,Net Income,2500000,1300000,4400000,11600000,39400000,7400000,-126076000,-16000000,-76848000,15316000,16051000,18673000,24401000,34840000,32602000,31396000,24514000,28007000,31146000,85863000,29759000,34107000,40065000,50377000,61570000,70714000,78299000,70887000
24,Net Income ratio,0.0536,0.0292,0.1229,0.1062,0.1117,0.0135,-0.2385,-0.0304,-0.1524,0.0299,0.0309,0.0334,0.0406,0.0541,0.0463,0.0424,0.0335,0.0382,0.0407,0.1241,0.0414,0.0455,0.0501,0.0589,0.0668,0.0746,0.0812,0.0642
25,EPS,0.25,0.24,0.21,0.31,0.65,0.09,-1.33,-0.17,-0.81,0.17,0.20,0.25,0.34,0.54,0.53,0.51,0.42,0.57,0.64,1.77,0.62,0.68,0.77,0.94,1.13,1.27,1.44,0.00
26,EPS Diluted,0.25,0.20,0.16,0.24,0.53,0.08,-1.33,-0.17,-0.81,0.17,0.20,0.24,0.33,0.53,0.52,0.51,0.42,0.56,0.63,1.75,0.58,0.65,0.75,0.91,1.09,1.26,1.41,0.00
27,Weighted Average Shares Outstanding,10000000,11176471,32213000,36940000,61129000,86851000,94674000,94818000,94810000,90400000,79217000,74448000,71004000,65061000,61839000,61200000,57692000,49328000,49002000,48632000,48343000,50280000,52321000,53862000,54561000,55895000,54288000,52425000
28,Weighted Average Shares Outstanding Diluted,10000000,11176471,32213000,48904000,74333000,91702000,94674000,94818000,96992000,92762000,81477000,76827000,73052000,66356000,62572000,61859000,58193000,49599000,49252000,49141000,51487000,52693000,53513000,55689000,56487000,55895000,55359000,53226000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/944148/000095015206002186/l17854ae10vk.htm,https://www.sec.gov/Archives/edgar/data/944148/000095015207002223/l24214ae10vk.htm,https://www.sec.gov/Archives/edgar/data/944148/000095015208002031/l30087ae10vk.htm,https://www.sec.gov/Archives/edgar/data/944148/000095015209002688/0000950152-09-002688-index.html,https://www.sec.gov/Archives/edgar/data/944148/000095012310025260/0000950123-10-025260-index.html,https://www.sec.gov/Archives/edgar/data/944148/000095012311025596/l41889e10vk.htm,https://www.sec.gov/Archives/edgar/data/944148/000119312512117458/0001193125-12-117458-index.html,https://www.sec.gov/Archives/edgar/data/944148/000119312513109647/0001193125-13-109647-index.html,https://www.sec.gov/Archives/edgar/data/944148/000119312514099816/d661368d10k.htm,https://www.sec.gov/Archives/edgar/data/944148/000119312515089151/d839656d10k.htm,https://www.sec.gov/Archives/edgar/data/944148/000119312516496744/0001193125-16-496744-index.html,https://www.sec.gov/Archives/edgar/data/944148/000156459017003833/0001564590-17-003833-index.html,https://www.sec.gov/Archives/edgar/data/944148/000156459018004128/0001564590-18-004128-index.html,https://www.sec.gov/Archives/edgar/data/944148/000156459019005524/0001564590-19-005524-index.html,https://www.sec.gov/Archives/edgar/data/944148/000156459020006848/0001564590-20-006848-index.html,https://www.sec.gov/Archives/edgar/data/944148/000162828021003443/0001628280-21-003443-index.htm,https://www.sec.gov/Archives/edgar/data/944148/000162828022003965/0001628280-22-003965-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1400000,3300000,39900000,21100000,50700000,48900000,16000000,4340000,6351000,3791000,5291000,8909000,12971000,12144000,9672000,9257000,724000,1613000,899000,771000,979000,850000,3494000,424000,640000,567000,4652000,1997000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1400000,3300000,39900000,21100000,50700000,48900000,16000000,4340000,6351000,3791000,5291000,8909000,12971000,12144000,9672000,9257000,724000,1613000,899000,771000,979000,850000,3494000,424000,640000,567000,4652000,1997000
34,Net Receivables,10900000,7600000,- -,- -,- -,- -,- -,124670000,109968000,113309000,118206000,105227000,108460000,118003000,136228000,132795000,142117000,140971000,154973000,143107000,143048000,154574000,175354000,189113000,207287000,222031000,216175000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,1300000,1400000,- -,- -,- -,- -,- -,68193000,86428000,67657000,60531000,95017000,123662000,118946000,135762000,125746000,110604000,149745000,194325000,206597000,235299000,217056000,262744000,258636000,215611000,233422000,215604000,- -
37,Total Current Assets,13600000,12300000,- -,- -,- -,- -,- -,197203000,202747000,184757000,184028000,209153000,245093000,249093000,281662000,267798000,253445000,292329000,350197000,350475000,379326000,372480000,441592000,448173000,423538000,456020000,436431000,- -
38,PP&E,16800000,19500000,- -,- -,- -,- -,- -,54189000,44600000,40305000,37772000,33486000,28976000,26279000,30835000,26833000,23896000,21802000,20391000,19167000,18475000,20162000,19450000,26081000,34205000,180243000,189189000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,247462000,163706000,167280000,172644000,185535000,211929000,268957000,260535000,291120000,- -,377281000,440709000,384697000,435231000,447685000,487484000,528424000,564300000,588213000,683083000,- -
40,Intangible Assets,9300000,9100000,6000000,89900000,293400000,379900000,281268000,- -,- -,- -,- -,- -,- -,- -,89681000,84091000,- -,81059000,110510000,84386000,91231000,87968000,96917000,84782000,72709000,66458000,73667000,- -
41,Intangible Assets,9300000,9100000,6000000,89900000,293400000,379900000,281268000,247462000,163706000,167280000,172644000,185535000,211929000,268957000,350216000,375211000,426410000,458340000,551219000,469083000,526462000,535653000,584401000,613206000,637009000,654671000,756750000,840783000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,7429000,10580000,4180000,6801000,9193000,7306000,5367000,5111000,237000,837000,- -,- -,542000,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,200000,900000,161300000,197700000,355300000,407400000,368226000,17125000,11478000,5623000,12528000,17211000,24978000,28296000,34799000,41890000,51711000,39886000,48349000,58191000,66981000,69905000,73145000,88771000,88279000,109840000,131384000,- -
45,Total Non-Current Assets,26300000,29500000,167300000,287600000,648700000,787300000,649494000,326205000,230364000,217388000,229745000,245425000,273189000,328899000,420961000,444171000,502854000,520028000,619959000,546983000,611918000,625720000,676996000,728058000,759493000,944754000,1077323000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1627934000
47,Total Assets,39900000,41800000,167300000,287600000,648700000,787300000,649494000,523408000,433111000,402145000,413773000,454578000,518282000,577992000,702623000,711969000,756299000,812357000,970156000,897458000,991244000,998200000,1118588000,1176231000,1183031000,1400774000,1513754000,1627934000
48,Accounts Payable,4700000,2600000,- -,- -,- -,- -,- -,22116000,22548000,28652000,25876000,26436000,27966000,27301000,29013000,26599000,30897000,34960000,39478000,37529000,36781000,35555000,45772000,51375000,58630000,68510000,64119000,- -
49,Short-Term Debt,4800000,2700000,- -,- -,- -,6500000,44101000,36108000,49217000,44917000,- -,- -,- -,10602000,1064000,13410000,50233000,13986000,6217000,1602000,760000,- -,1060000,1861000,- -,29030000,30483000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1372000,25000,2384000,- -,1048000,- -,464000,57000,2788000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,3500000,2800000,- -,- -,- -,- -,- -,37755000,44592000,34835000,80224000,126992000,147816000,146067000,176754000,149672000,148193000,177236000,224172000,228283000,257627000,235498000,292615000,281010000,262684000,268386000,283672000,- -
53,Total Current Liabilities,13000000,8100000,- -,- -,- -,6500000,44101000,95979000,116357000,108404000,106100000,153428000,175782000,183970000,206831000,189681000,229323000,226182000,269867000,267414000,295168000,271053000,339447000,334246000,321314000,365926000,378274000,- -
54,Long-Term Debt,1100000,600000,3200000,20300000,74600000,145300000,118932000,55951000,17500000,14000000,53900000,32200000,100000000,130000000,225000000,203848000,118900000,264778000,331316000,173756000,203969000,206550000,191770000,179836000,133974000,104333000,249212000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,2400000,2300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1893000,2349000,- -,2864000,4902000,3545000,3339000,6764000,11720000,8752000,- -
57,Other Non-Current Liabilities,2800000,1900000,72800000,119400000,178200000,128900000,143624000,831000,4936000,1903000,7276000,14289000,25922000,37576000,35275000,47822000,178404000,59346000,71392000,81842000,89398000,87747000,103805000,127931000,127316000,259557000,174896000,- -
58,Total Non-Current Liabilities,6300000,4800000,76000000,139700000,252800000,274200000,262556000,56782000,22436000,15903000,61176000,46489000,125922000,167576000,260275000,251670000,297304000,326017000,405057000,255598000,296231000,299199000,299120000,311106000,268054000,375610000,432860000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,923386000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,161048000,172503000,- -
61,Total Liabilities,19300000,12900000,76000000,139700000,252800000,274200000,262556000,152761000,138793000,124307000,167276000,199917000,301704000,351546000,467106000,441351000,526627000,552199000,674924000,523012000,591399000,570252000,638567000,645352000,589368000,741536000,811134000,923386000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,900000,947000,949000,951000,957000,964000,984000,1018000,1041000,1068000,1081000,1096000,1111000,1124000,1149000,1188000,1262000,1282000,1301000,1314000,1331000,1341000,- -
64,Retained Earnings,- -,800000,6800000,18400000,65700000,74200000,-51906000,-67906000,-144754000,-129438000,-113387000,-94714000,-72917000,-37414000,-4812000,21464000,45978000,73985000,105131000,190994000,220753000,254860000,294925000,345302000,408963000,479576000,557875000,- -
65,Other Comprehensive Income/Loss,-12700000,-12700000,- -,- -,- -,- -,- -,-39514000,-255000,-1000,-14000,-26000,-69000,-102000,-1042000,-922000,-940000,-779000,-753000,-725000,-695000,-633000,-504000,-182000,-482000,-680000,-2269000,-967000
66,Other Total Stockholders Equity,33300000,40800000,84500000,129500000,330200000,438000000,437897000,477118000,438376000,406320000,358934000,348417000,288546000,262921000,240303000,248995000,183538000,185841000,189730000,183028000,178599000,172459000,184318000,184458000,183868000,179011000,145673000,- -
67,Total Stockholders Equity,20600000,28900000,91300000,147900000,395900000,513100000,386938000,370647000,294318000,277838000,246497000,254661000,216578000,226446000,235517000,270618000,229672000,260158000,295232000,374446000,399845000,427948000,480021000,530879000,593663000,659238000,702620000,694716000
68,Total Liabilities And Stockholders Equity,39900000,41800000,167300000,287600000,648700000,787300000,649494000,523408000,433111000,402145000,413773000,454578000,518282000,577992000,702623000,711969000,756299000,812357000,970156000,897458000,991244000,998200000,1118588000,1176231000,1183031000,1400774000,1513754000,1618102000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9832000
70,Total Liabilities & Equity,39900000,41800000,167300000,287600000,648700000,787300000,649494000,523408000,433111000,402145000,413773000,454578000,518282000,577992000,702623000,711969000,756299000,812357000,970156000,897458000,991244000,998200000,1118588000,1176231000,1183031000,1400774000,1513754000,1627934000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/944148/000095015206002186/l17854ae10vk.htm,https://www.sec.gov/Archives/edgar/data/944148/000095015207002223/l24214ae10vk.htm,https://www.sec.gov/Archives/edgar/data/944148/000095015208002031/l30087ae10vk.htm,https://www.sec.gov/Archives/edgar/data/944148/000095015209002688/0000950152-09-002688-index.html,https://www.sec.gov/Archives/edgar/data/944148/000095012310025260/0000950123-10-025260-index.html,https://www.sec.gov/Archives/edgar/data/944148/000095012311025596/l41889e10vk.htm,https://www.sec.gov/Archives/edgar/data/944148/000119312512117458/0001193125-12-117458-index.html,https://www.sec.gov/Archives/edgar/data/944148/000119312513109647/0001193125-13-109647-index.html,https://www.sec.gov/Archives/edgar/data/944148/000119312514099816/d661368d10k.htm,https://www.sec.gov/Archives/edgar/data/944148/000119312515089151/d839656d10k.htm,https://www.sec.gov/Archives/edgar/data/944148/000119312516496744/0001193125-16-496744-index.html,https://www.sec.gov/Archives/edgar/data/944148/000156459017003833/0001564590-17-003833-index.html,https://www.sec.gov/Archives/edgar/data/944148/000156459018004128/0001564590-18-004128-index.html,https://www.sec.gov/Archives/edgar/data/944148/000156459019005524/0001564590-19-005524-index.html,https://www.sec.gov/Archives/edgar/data/944148/000156459020006848/0001564590-20-006848-index.html,https://www.sec.gov/Archives/edgar/data/944148/000162828021003443/0001628280-21-003443-index.htm,https://www.sec.gov/Archives/edgar/data/944148/000162828022003965/0001628280-22-003965-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2500000,1300000,4400000,11600000,39400000,7400000,-126076000,-16000000,-76848000,15316000,16051000,18673000,24401000,34840000,32602000,31396000,24514000,28007000,31146000,85863000,29759000,34107000,40065000,50377000,61570000,70714000,78299000,70887000
74,Depreciation and Amortization,2500000,2300000,- -,- -,- -,- -,- -,42084000,20657000,17161000,16428000,15163000,16425000,15971000,15111000,20498000,20333000,20345000,21395000,18884000,19831000,20389000,22098000,23061000,23675000,22345000,23139000,27078000
75,Deferred Income Tax,- -,- -,- -,-1000000,-3300000,-8800000,-1494000,-1719000,-3694000,2099000,-2820000,-2480000,-2509000,-824000,-1045000,245000,-2079000,-2899000,-1721000,-416000,2043000,1734000,4829000,3674000,5775000,9695000,-770000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4754000,5306000,5954000,5888000,5655000,6205000,5729000,5725000,5705000,6866000,7254000,8869000,11407000
77,Change in Working Capital,-3300000,3600000,-4200000,- -,- -,- -,- -,101224000,-14834000,-10037000,1575000,-22203000,13586000,-4188000,9708000,3286000,-53995000,42025000,14183000,2731000,1097000,17269000,718000,11782000,-11703000,-12130000,-31937000,13272000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10526000,-12736000,-1570000,-14235000,-11116000,-6246000,-15276000,-19188000,-13849000,-10668000,-15529000,6714000,- -
79,Inventory,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2257000,5265000,4212000,4135000,1174000,-3826000,-1288000,10217000,3738000,974000,9829000,-8800000,- -
81,Other Working Capital,600000,4200000,- -,- -,- -,- -,- -,101224000,86390000,76353000,77928000,55725000,69311000,65123000,74831000,78117000,24122000,66147000,80330000,83061000,84158000,101427000,102145000,113927000,102224000,90094000,58157000,- -
82,Other Non-Cash Items,4500000,-4500000,13000000,-5900000,-5300000,-16200000,145017000,-69339000,117019000,15028000,-10808000,43669000,-23687000,-15669000,-15307000,-10745000,59248000,-35163000,-16843000,-114235000,-15017000,-31842000,-2393000,-22668000,19065000,307000,69245000,8510000
83,Cash Provided by Operating Activities,6200000,2700000,13200000,4700000,30800000,-17600000,17447000,56250000,42300000,39567000,20426000,52822000,28216000,30130000,41069000,49434000,53327000,58269000,54048000,-1518000,43918000,47386000,71042000,71931000,105248000,98185000,146845000,131154000
84,CAPEX,-1800000,-4200000,-300000,-2300000,-85600000,-76700000,-20136000,-12926000,-8157000,-10612000,-8441000,-6903000,-8909000,-7724000,-9745000,-4046000,-2701000,-4259000,-4067000,-6208000,-4837000,-7390000,-4141000,-11892000,-14624000,-13873000,-11576000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-8973000,12340000,-1431000,1741000,-2632000,-12478000,-22090000,-57788000,-96821000,-20185000,-49402000,-27515000,-91770000,191187000,-41435000,-11698000,-42081000,-28047000,-29080000,-11744000,-71430000,- -
86,Purchases of Investments,- -,- -,-20600000,-24900000,-81800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19643000,-5742000,-5650000,-14089000,-15429000,-11355000,-15546000,-18426000,-27216000,-3447000,- -
87,Sales/Maturities of Investments,- -,- -,11000000,9100000,71400000,- -,34599000,- -,- -,- -,- -,- -,- -,7864000,796000,- -,- -,11507000,6926000,4896000,6671000,10664000,9778000,8785000,12238000,23958000,37487000,- -
88,Other Investing Activites,100000,200000,600000,-23300000,6400000,1400000,2194000,-842000,1902000,1754000,195000,1672000,1895000,465000,-24000,1297000,8059000,-15662000,-9662000,-8933000,-10644000,16896000,-2215000,17292000,2316000,1190000,2560000,-82010000
89,Cash Used for Investing Activites,-1700000,-4000000,-9300000,-41400000,-89600000,-75300000,7684000,-1428000,-7686000,-7117000,-10878000,-17709000,-29104000,-57183000,-105794000,-22917000,-44025000,-55572000,-104315000,175292000,-64334000,-6957000,-50014000,-29408000,-47576000,-27685000,-46406000,-82010000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-444619000,-606209000,-497300000,-485550000,-473394000,-377911000,-399938000,-432965000,-546978000,-733173000,-678648000,-589854000,- -
91,Common Stock Issued,- -,1700000,38200000,8400000,83800000,43800000,141000,115000,550000,1207000,1350000,4173000,5686000,4699000,4097000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-100000,- -,- -,- -,- -,- -,-410000,- -,-33578000,-50419000,-16667000,-74515000,-38110000,-41412000,-13347000,-86209000,-9513000,-5716000,-26468000,-28137000,-36482000,-9144000,-19735000,-17484000,-27163000,-58536000,- -
93,Dividends Paid,- -,- -,-1800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-4700000,1500000,-700000,7200000,-3500000,54400000,-34042000,-66157000,-37792000,-4238000,39472000,-22458000,66539000,32341000,94156000,431107000,676662000,505005000,540819000,326260000,426256000,395854000,423725000,521120000,641277000,651262000,571781000,-69005000
95,Cash Used/Provided by Financing Activities,-4700000,3100000,35700000,15600000,80300000,98200000,-33901000,-66452000,-37242000,-36609000,-9597000,-34952000,-2290000,-1070000,56841000,-26859000,-15756000,-1808000,49553000,-173602000,20208000,-40566000,-18384000,-45593000,-109380000,-54549000,-76609000,-69005000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,5300000,-8770000,-11630000,2011000,-2560000,1500000,3618000,4062000,-827000,-2472000,-415000,-6454000,889000,-714000,-128000,208000,-129000,2644000,-3070000,-51708000,15951000,23830000,-19861000
98,Cash at the End of Period,- -,- -,- -,- -,- -,48900000,15970000,4340000,6351000,3791000,5291000,8909000,12971000,12144000,9672000,9257000,724000,1613000,899000,771000,979000,850000,3494000,424000,130554000,146505000,170335000,150474000
99,Cash at the Beginning of Period,1700000,1400000,2700000,42200000,29200000,43600000,24740000,15970000,4340000,6351000,3791000,5291000,8909000,12971000,12144000,9672000,7178000,724000,1613000,899000,771000,979000,850000,3494000,182262000,130554000,146505000,170335000
100,Free Cash Flow,4400000,-1500000,12900000,2400000,-54800000,-94300000,-2689000,43324000,34143000,28955000,11985000,45919000,19307000,22406000,31324000,45388000,50626000,54010000,49981000,-7726000,39081000,39996000,66901000,60039000,90624000,84312000,135269000,131154000
