,https://roic.ai/company/OPK,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,-20.0000,-28.0000,-32.0000,-2.1667,-3.0233,-7.8277,-6.4374,-17.5907,-441.2308,-Infinity,-Infinity,-Infinity,-316.7698,-4.0354,-2.1336,-0.4044,-0.5649,-0.5762,-0.8673,-1.5852,-0.1892,0.0187,-0.1699,-0.0833,-0.2135,0.1083,0.0467
17,Operating Income,-2200000,-3000000,-3300000,-3000000,-4151000,-8604000,-10518000,-9020000,-3732000,-2051000,-1438000,-1117000,-267859000,-38563000,-28020000,-17229000,-23189000,-37269000,-79632000,-145815000,-98481000,-73275000,-280062000,-171197000,-274052000,57714000,18750000
18,Operating Income ratio,-22.0000,-30.0000,-33.0000,-2.5000,-3.0189,-9.9468,-7.8905,-16.0498,-287.0769,-Infinity,-Infinity,-Infinity,-316.2444,-4.0851,-2.1313,-0.4672,-0.8288,-0.7922,-0.8249,-1.6002,-0.2003,-0.0600,-0.2624,-0.1729,-0.3038,0.0402,0.0106
19,Total Other Income Expenses (Gains),- -,200000,100000,300000,- -,1534000,1651000,-1338000,-2061000,125000,1252000,469000,- -,-1354000,-2034000,-842000,-1044000,56000,-24586000,-25212000,-39517000,-271000,4518000,-6072000,-30913000,-9031000,-32776000
20,Income Before Tax,- -,- -,- -,- -,- -,-7070000,-8867000,-10358000,-5793000,-1926000,-186000,-648000,-267859000,-39917000,-30054000,-18071000,-24233000,-37213000,-104218000,-171027000,-137998000,-73546000,-275544000,-177269000,-304965000,48683000,-14026000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,-8.1734,-6.6519,-18.4306,-445.6154,-Infinity,-Infinity,-Infinity,-316.2444,-4.2285,-2.2860,-0.4900,-0.8661,-0.7910,-1.0796,-1.8768,-0.2806,-0.0602,-0.2581,-0.1790,-0.3381,0.0339,-0.0079
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,95000,-82000,- -,- -,- -,- -,- -,-83000,-83000,-294000,141000,-19358000,-9626000,1672000,24000,-113675000,-56115000,18855000,-38726000,7060000,17617000,15489000
23,Net Income,-2700000,-2900000,-3300000,-2700000,-4357000,-7165000,-8785000,-10358000,-5793000,-1926000,-186000,-648000,-268405000,-39834000,-30113000,-18926000,-1283000,-29048000,-114407000,-171666000,-30028000,-25083000,-308870000,-153040000,-314925000,30586000,-30143000
24,Net Income ratio,-27.0000,-29.0000,-33.0000,-2.2500,-3.1687,-8.2832,-6.5904,-18.4306,-445.6154,-Infinity,-Infinity,-Infinity,-316.8890,-4.2197,-2.2905,-0.5132,-0.0459,-0.6175,-1.1852,-1.8839,-0.0611,-0.0205,-0.2893,-0.1545,-0.3492,0.0213,-0.0170
25,EPS,-0.53,-0.42,-0.42,-0.30,-0.44,-0.51,-0.57,-0.67,-0.38,-0.13,-0.03,-0.04,-2.09,-0.21,-0.13,-0.08,-0.01,-0.11,-0.32,-0.41,-0.06,-0.05,-0.55,-0.27,-0.53,0.05,-0.05
26,EPS Diluted,-0.53,-0.42,-0.42,-0.30,-0.44,-0.51,-0.57,-0.67,-0.38,-0.13,-0.03,-0.04,-2.09,-0.21,-0.13,-0.08,-0.01,-0.11,-0.32,-0.41,-0.06,-0.05,-0.55,-0.27,-0.53,0.05,-0.05
27,Weighted Average Shares Outstanding,5094340,6904762,7857143,9742000,10333000,14452000,15749000,15672000,15690000,16050000,16271000,16369000,128772080,187713041,233191617,255095586,280673122,295750077,355095701,418780488,500000000,502000000,559160565,566666667,595454394,640655290,651843074
28,Weighted Average Shares Outstanding Diluted,5094340,6904762,7857143,9742000,10333000,14452000,15749000,15672000,15690000,16050000,16271000,16369000,128772080,187713041,233191617,255095586,280673122,295750077,355095701,418780488,500000000,502000000,559160565,566666667,595454394,640655290,651843074
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/944809/000095013404004878/d14016e10vk.htm,https://www.sec.gov/Archives/edgar/data/944809/000095015205003419/l13084be10vk.htm,https://www.sec.gov/Archives/edgar/data/944809/000114420406012971/v039206_10k.htm,https://www.sec.gov/Archives/edgar/data/944809/000114420407014146/0001144204-07-014146-index.html,https://www.sec.gov/Archives/edgar/data/944809/000114420408019159/v108135_10k.htm,https://www.sec.gov/Archives/edgar/data/944809/000095014409002218/0000950144-09-002218-index.html,https://www.sec.gov/Archives/edgar/data/944809/000095012310025641/0000950123-10-025641-index.html,https://www.sec.gov/Archives/edgar/data/944809/000095012311026008/g26471e10vk.htm,https://www.sec.gov/Archives/edgar/data/944809/000119312512117417/0001193125-12-117417-index.html,https://www.sec.gov/Archives/edgar/data/944809/000119312513112598/0001193125-13-112598-index.html,https://www.sec.gov/Archives/edgar/data/944809/000094480914000003/opk-1231201310k.htm,https://www.sec.gov/Archives/edgar/data/944809/000094480915000003/opk-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/944809/000094480916000017/0000944809-16-000017-index.html,https://www.sec.gov/Archives/edgar/data/944809/000094480917000003/0000944809-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/944809/000094480918000014/0000944809-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/944809/000094480919000017/0000944809-19-000017-index.html,https://www.sec.gov/Archives/edgar/data/944809/000094480920000007/0000944809-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/944809/000094480921000015/0000944809-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/944809/000094480922000009/0000944809-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,5400000,2900000,1800000,6800000,3213000,35408000,14995000,6188000,10132000,8734000,8901000,8596000,23373000,6678000,42658000,18016000,71516000,27361000,185798000,96907000,193598000,168733000,91499000,96473000,85452000,72211000,134710000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,10004000,- -,1124000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,5400000,2900000,1800000,6800000,3213000,35408000,14995000,16192000,10132000,9858000,8901000,8596000,23373000,6678000,42658000,18016000,71516000,27361000,185798000,96907000,193598000,168733000,91499000,96473000,85452000,72211000,134710000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1914000,1148000,8767000,13317000,12544000,23541000,31361000,23055000,208897000,249492000,187052000,161983000,157687000,302256000,265588000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2214000,4063000,10520000,19957000,13339000,22261000,18079000,16604000,39681000,47228000,49333000,42299000,53434000,132341000,86502000
36,Other Current Assets,- -,- -,100000,100000,135000,495000,11256000,1065000,1202000,210000,99000,156000,1711000,1577000,1873000,2782000,2183000,5494000,7490000,6303000,11882000,18148000,15577000,16976000,27472000,16371000,336213000
37,Total Current Assets,5400000,2900000,1900000,6900000,3348000,35903000,26251000,17257000,11334000,10068000,9000000,8752000,29212000,13466000,63818000,54072000,99582000,78657000,242728000,142869000,454058000,483601000,343461000,317731000,324045000,523179000,823013000
38,PP&E,100000,100000,100000,100000,285000,512000,1009000,221000,8000,3000,- -,- -,410000,659000,593000,2729000,5358000,15705000,17027000,16411000,131798000,122831000,146557000,144674000,166491000,178289000,123955000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1732000,1097000,5408000,5856000,39815000,80450000,226373000,224292000,743348000,704603000,717099000,700193000,671940000,680602000,520601000
40,Intangible Assets,900000,900000,800000,700000,780000,670000,74000,37000,- -,- -,- -,- -,8199000,6336000,12722000,9964000,76730000,95784000,867874000,855801000,1430427000,1408689000,1331182000,1250024000,1119162000,1065202000,911883000
41,Intangible Assets,900000,900000,800000,700000,780000,670000,74000,37000,- -,- -,- -,- -,9931000,7433000,18130000,15820000,116545000,176234000,1094247000,1080093000,2173775000,2113292000,2048281000,1950217000,1791102000,1745804000,1432484000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4447000,5114000,6717000,15636000,30653000,22453000,34716000,41139000,40642000,31228000,20746000,15731000,10713000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,427000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,100000,- -,- -,- -,78000,293000,291000,- -,- -,- -,- -,- -,15000,206000,15000,111000,1287000,3598000,6861000,5838000,5267000,5756000,5615000,7222000,6888000,10060000,9550000
45,Total Non-Current Assets,1100000,1000000,900000,800000,1143000,1475000,1374000,258000,8000,3000,- -,- -,10356000,8298000,23612000,23774000,129907000,211173000,1148788000,1124795000,2345556000,2283018000,2241095000,2133341000,1985227000,1949884000,1576702000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,6500000,3900000,2800000,7700000,4491000,37378000,27625000,17515000,11342000,10071000,9000000,8752000,39568000,21764000,87430000,77846000,229489000,289830000,1391516000,1267664000,2799614000,2766619000,2584556000,2451072000,2309272000,2473063000,2399715000
48,Accounts Payable,200000,300000,500000,500000,682000,633000,1163000,1239000,1038000,239000,277000,674000,3319000,2221000,4784000,7170000,4891000,10200000,13414000,8744000,72535000,53360000,74307000,47395000,62537000,100883000,82040000
49,Short-Term Debt,- -,- -,100000,200000,135000,125000,- -,94000,- -,- -,- -,- -,2546000,97000,4321000,14690000,8757000,17526000,12562000,13455000,11468000,11981000,11926000,37413000,24400000,36184000,28576000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,56000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1518000,7639000,4185000,70246000,73434000,46189000,63503000,19196000,15783000,258000
52,Other Current Liabilities,1300000,100000,- -,- -,207000,95000,83000,- -,- -,- -,- -,- -,3858000,5394000,3918000,5739000,5130000,23138000,58235000,56727000,97653000,124521000,168913000,140010000,142986000,222633000,219134000
53,Total Current Liabilities,1500000,400000,600000,700000,1024000,853000,1302000,1333000,1038000,239000,277000,674000,9723000,7712000,13023000,27599000,18778000,52382000,91850000,83111000,251902000,263296000,301335000,288321000,249119000,375483000,330008000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11689000,11867000,15341000,- -,- -,5150000,215182000,133888000,124042000,83227000,134879000,167151000,291574000,258391000,226180000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,162634000,89016000,58989000,27566000,2571000,595000,208000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1339000,- -,- -,9777000,166435000,167153000,226036000,165331000,148729000,115193000,118717000,137208000,148487000
57,Other Non-Current Liabilities,- -,1200000,1100000,900000,875000,750000,202000,108000,- -,- -,- -,- -,1372000,1826000,- -,27195000,49829000,19241000,45070000,47771000,55206000,73941000,55246000,61550000,32532000,29835000,9706000
58,Total Non-Current Liabilities,- -,1200000,1100000,900000,875000,750000,202000,108000,- -,- -,- -,- -,13061000,13693000,16680000,27195000,49829000,34168000,426687000,348812000,567918000,411515000,397843000,371460000,445394000,426029000,384581000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,108000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14658000,10241000,11185000,8900000,46492000,44046000,49902000
61,Total Liabilities,1500000,1600000,1700000,1600000,1899000,1603000,1504000,1441000,1038000,239000,277000,674000,22784000,21405000,29703000,54794000,68607000,86550000,518537000,431923000,819820000,674811000,699178000,659781000,694513000,801512000,714589000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,8000,9000,9000,10000,10000,10000,10000,22000,9000,- -,24386000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,104000,162000,162000,162000,163000,169000,169000,170000,1783000,1991000,2538000,2554000,2975000,3056000,4148000,4334000,5462000,5586000,5600000,5869000,6704000,6706000,6901000
64,Retained Earnings,-9000000,-11900000,-15100000,-17800000,-22189000,-29354000,-38139000,-48497000,-54290000,-56216000,-56402000,-57050000,-269282000,-309116000,-339229000,-358379000,-359722000,-388770000,-503177000,-674843000,-704871000,-729954000,-1007159000,-1197078000,-1511077000,-1481833000,-1511976000
65,Other Comprehensive Income/Loss,-100000,-200000,-200000,-300000,-356000,-538000,-824000,-818000,-18000,-23000,-26000,- -,-94000,-212000,1000000,3000000,1000000,7000000,3000000,-12000000,-23000000,-27000000,-1000000,-20000000,-22070000,-4225000,-30495000
66,Other Total Stockholders Equity,14100000,14400000,16400000,24200000,25033000,65505000,64922000,65219000,64440000,65893000,64972000,64948000,284367000,307686000,393396000,375868000,516629000,558100000,1372439000,1524653000,2702203000,2843176000,2887937000,3002500000,3141202000,3150903000,- -
67,Total Stockholders Equity,5000000,2300000,1100000,6100000,2592000,35775000,26121000,16074000,10304000,9832000,8723000,8078000,16784000,359000,57727000,23052000,160882000,203772000,876410000,842144000,1979794000,2091808000,1885378000,1791291000,1614759000,1671551000,1685126000
68,Total Liabilities And Stockholders Equity,6500000,3900000,2800000,7700000,4491000,37378000,27625000,17515000,11342000,10071000,9000000,8752000,39568000,21764000,87430000,77846000,229489000,290322000,1394947000,1274067000,2799614000,2766619000,2584556000,2451072000,2309272000,2473063000,2399715000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-492000,-3431000,-6403000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,6500000,3900000,2800000,7700000,4491000,37378000,27625000,17515000,11342000,10071000,9000000,8752000,39568000,21764000,87430000,77846000,229489000,289830000,1391516000,1267664000,2799614000,2766619000,2584556000,2451072000,2309272000,2473063000,2399715000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/944809/000095013404004878/d14016e10vk.htm,https://www.sec.gov/Archives/edgar/data/944809/000095015205003419/l13084be10vk.htm,https://www.sec.gov/Archives/edgar/data/944809/000114420406012971/v039206_10k.htm,https://www.sec.gov/Archives/edgar/data/944809/000114420407014146/0001144204-07-014146-index.html,https://www.sec.gov/Archives/edgar/data/944809/000114420408019159/v108135_10k.htm,https://www.sec.gov/Archives/edgar/data/944809/000095014409002218/0000950144-09-002218-index.html,https://www.sec.gov/Archives/edgar/data/944809/000095012310025641/0000950123-10-025641-index.html,https://www.sec.gov/Archives/edgar/data/944809/000095012311026008/g26471e10vk.htm,https://www.sec.gov/Archives/edgar/data/944809/000119312512117417/0001193125-12-117417-index.html,https://www.sec.gov/Archives/edgar/data/944809/000119312513112598/0001193125-13-112598-index.html,https://www.sec.gov/Archives/edgar/data/944809/000094480914000003/opk-1231201310k.htm,https://www.sec.gov/Archives/edgar/data/944809/000094480915000003/opk-12312014x10k.htm,https://www.sec.gov/Archives/edgar/data/944809/000094480916000017/0000944809-16-000017-index.html,https://www.sec.gov/Archives/edgar/data/944809/000094480917000003/0000944809-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/944809/000094480918000014/0000944809-18-000014-index.html,https://www.sec.gov/Archives/edgar/data/944809/000094480919000017/0000944809-19-000017-index.html,https://www.sec.gov/Archives/edgar/data/944809/000094480920000007/0000944809-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/944809/000094480921000015/0000944809-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/944809/000094480922000009/0000944809-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2700000,-2900000,-3300000,-2700000,-4357000,-7165000,-8785000,-10358000,-5793000,-1926000,-186000,-648000,-268405000,-39834000,-30113000,-18926000,-1283000,-29048000,-114407000,-171666000,-30028000,-25083000,-308870000,-153040000,-314925000,30586000,-30143000
74,Depreciation and Amortization,700000,100000,100000,100000,200000,290000,286000,472000,55000,5000,3000,- -,184000,1823000,2357000,3870000,3830000,10160000,15216000,14927000,42248000,96576000,102093000,97344000,93807000,85362000,78716000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19358000,-9958000,599000,1017000,-123536000,-66300000,16092000,-35133000,4324000,15640000,10159000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4571000,7368000,6953000,5131000,10983000,14779000,26074000,42693000,28307000,21761000,13421000,8947000,13632000
77,Change in Working Capital,- -,-1400000,-1200000,4900000,-3876000,32726000,-10101000,-9025000,-5628000,-467000,-1106000,-645000,11411000,-13735000,45041000,-24322000,54331000,-54529000,124603000,-91120000,142398000,18149000,-178179000,-12716000,-68736000,-94424000,-22827000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1271000,-3396000,-1719000,763000,754000,-3919000,-29393000,-25637000,58011000,20397000,7376000,-150437000,5232000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-317000,-2104000,-928000,-7589000,2170000,-5807000,1892000,-1752000,-5879000,-6607000,-3539000,4590000,-12133000,-77642000,30684000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1019000,1756000,-1784000,1247000,1829000,-3852000,-18122000,-19819000,20171000,-26083000,15636000,37159000,-10847000
81,Other Working Capital,3900000,2500000,1300000,6200000,2324000,35050000,24949000,15924000,10296000,9829000,8723000,8078000,19489000,5754000,50795000,26473000,80804000,26275000,150878000,59758000,202156000,220305000,42126000,29410000,-69302000,-5389000,-15911000
82,Other Non-Cash Items,- -,1700000,1500000,-4700000,4806000,-30838000,10595000,10072000,5530000,798000,392000,988000,239861000,22452000,-45192000,12916000,-62973000,52829000,-95186000,141684000,106868000,-33989000,248477000,-27357000,99587000,-6635000,-11200000
83,Cash Provided by Operating Activities,-2000000,-2500000,-2900000,-2400000,-3227000,-4987000,-8005000,-8839000,-5836000,-1590000,-897000,-305000,-16949000,-29294000,-23336000,-19094000,-18500000,-25415000,-58192000,-90379000,164024000,32046000,-92080000,-109141000,-172522000,39476000,38337000
84,CAPEX,- -,-100000,- -,-100000,-250000,-407000,-498000,- -,- -,- -,- -,- -,-489000,-378000,-172000,-807000,-1953000,-1472000,-3962000,-4734000,-15846000,-23547000,-46524000,-27858000,-12741000,-33682000,-32156000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2751000,48000,-17632000,-1323000,-28186000,-22488000,3087000,-2272000,-83375000,1454000,-9625000,-1000000,-1200000,- -,-6000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5000000,- -,-14797000,-15647000,-102174000,-25806000,-50027000,- -,- -,-15644000,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,10000000,- -,1064000,- -,- -,- -,9997000,14997000,100161000,24997000,80583000,1331000,- -,15634000,2211000,1516000,- -,15110000,8079000
88,Other Investing Activites,- -,- -,- -,- -,-74000,-204000,-10050000,115000,28000,- -,- -,- -,- -,- -,-172000,-807000,15363000,-1472000,-3326000,-4734000,-15846000,-22146000,-39253000,-26635000,-12070000,-33437000,33870000
89,Cash Used for Investing Activites,- -,-100000,- -,-100000,-324000,-611000,-10548000,115000,10028000,- -,1064000,- -,-2738000,-330000,-22604000,-2780000,-14836000,-24769000,30317000,-5675000,-99221000,-20702000,-46667000,-26119000,-13270000,-18327000,35949000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3317000,-6266000,-20127000,-32754000,-38997000,-28369000,-254355000,-66178000,-33510000,-34681000,-388122000,-1143698000,-1695956000
91,Common Stock Issued,9400000,- -,1900000,2600000,84000,39951000,25000,- -,4000,192000,- -,- -,36407000,15383000,50990000,- -,104828000,- -,- -,- -,- -,- -,- -,92500000,76062000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-2023000,-1335000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9624000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4704000,- -,-3015000,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-2300000,- -,- -,4800000,-146000,-135000,-550000,-83000,-202000,- -,- -,- -,6537000,-2454000,34247000,3498000,16544000,38785000,228186000,35632000,287360000,30983000,94553000,83090000,487308000,1108622000,1685605000
95,Cash Used/Provided by Financing Activities,7100000,- -,1900000,7400000,-62000,37793000,-1860000,-83000,-198000,192000,- -,- -,42944000,12929000,81920000,-2768000,86917000,6031000,186174000,7263000,33005000,-35195000,61043000,140909000,175248000,-35076000,-10351000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-81000,-2000,138000,-100000,-1117000,-1014000,470000,-675000,-477000,686000,-1436000
97,Net Change In Cash,7100000,-2600000,1900000,7400000,-3613000,32195000,-20413000,-8807000,3994000,-1398000,167000,-305000,23257000,-16695000,35980000,-24642000,53500000,-44155000,158437000,-88891000,96691000,-24865000,-77234000,4974000,-11021000,-13241000,62499000
98,Cash at the End of Period,- -,2800000,- -,- -,3213000,35408000,14995000,6188000,10132000,8734000,8901000,8596000,23373000,6678000,42658000,18016000,71516000,27361000,185798000,96907000,193598000,168733000,91499000,96473000,85452000,72211000,134710000
99,Cash at the Beginning of Period,400000,5400000,2900000,1800000,6826000,3213000,35408000,14995000,6138000,10132000,8734000,8901000,116000,23373000,6678000,42658000,18016000,71516000,27361000,185798000,96907000,193598000,168733000,91499000,96473000,85452000,72211000
100,Free Cash Flow,-2000000,-2600000,-2900000,-2500000,-3477000,-5394000,-8503000,-8839000,-5836000,-1590000,-897000,-305000,-17438000,-29672000,-23508000,-19901000,-20453000,-26887000,-62154000,-95113000,148178000,8499000,-138604000,-136999000,-185263000,5794000,6181000
