,https://roic.ai/company/AOXY,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8900,-8047,-64794,-24963,-25857,-32907,-26282,-35383,-33504
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10821,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,2580000,430000,270000,930000,1360000,2270000,- -,- -,- -,- -,- -,- -,120000,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-20000,-230000,-540000,- -,- -,-70000,100000,2500000,- -,- -,- -,- -,70000,120000,- -,37898,5456,37917,7920,9625,13790,5558,12959,-22496,-19883,3580,-13877,8123,212845,5281,17264,17943,- -,- -,- -,- -
95,Cash Used/Provided by Financing Activities,- -,2560000,200000,-270000,930000,1360000,2200000,100000,2500000,- -,- -,- -,- -,190000,110000,- -,37898,16277,37917,7920,9625,13790,5558,12959,-22496,-19883,3580,-13877,-777,204798,-59513,-7699,-7914,-32907,-26282,-35383,-33504
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1983,1017,-1446,-321,2166
97,Net Change In Cash,- -,370000,-710000,30000,280000,1010000,-80000,100000,2500000,- -,- -,-60000,- -,- -,110000,-54744,37898,16277,37917,3330,9625,13790,-137039,-199704,-102694,-10148,3290,-24642,-777,95050,-32565,-22090,4161,3084,-10317,505,6376
98,Cash at the End of Period,- -,1340000,620000,650000,920000,1930000,1850000,- -,- -,- -,- -,1030000,- -,- -,110000,44,-44,- -,128,3458,- -,378984,241945,42241,31268,21120,24410,-232,5775,100825,68260,46170,50331,53415,43098,43603,49979
99,Cash at the Beginning of Period,- -,970000,1330000,620000,640000,920000,1930000,2200000,900000,- -,- -,1090000,- -,- -,- -,54788,- -,- -,- -,128,3458,- -,378984,241945,133962,31268,21120,24410,- -,5775,100825,68260,46170,50331,53415,43098,43603
100,Free Cash Flow,- -,-2200000,-920000,-490000,-650000,-350000,-1930000,-1400000,-2200000,- -,- -,-60000,- -,-180000,- -,-54744,-37942,-16277,-37789,-4590,-13083,365194,-142597,-212663,-80199,9735,-290,-10766,6552,-109492,26948,-11756,10092,34974,17411,36334,37714
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,undefined,undefined,https://www.sec.gov/Archives/edgar/data/352991/0000929624-97-001564-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/352991/000035299101500006/0000352991-01-500006-index.htm,https://www.sec.gov/Archives/edgar/data/352991/000035299102000006/0000352991-02-000006-index.htm,https://www.sec.gov/Archives/edgar/data/352991/000035299103000010/0000352991-03-000010-index.htm,https://www.sec.gov/Archives/edgar/data/352991/000035299104000004/0000352991-04-000004-index.htm,https://www.sec.gov/Archives/edgar/data/352991/000035299105000008/0000352991-05-000008-index.htm,https://www.sec.gov/Archives/edgar/data/352991/000035299106000010/0000352991-06-000010-index.htm,https://www.sec.gov/Archives/edgar/data/352991/000035299107000005/0000352991-07-000005-index.htm,https://www.sec.gov/Archives/edgar/data/352991/000035299108000004/0000352991-08-000004-index.htm,https://www.sec.gov/Archives/edgar/data/352991/000035299109000004/0000352991-09-000004-index.htm,https://www.sec.gov/Archives/edgar/data/352991/000035299110000004/0000352991-10-000004-index.htm,https://www.sec.gov/Archives/edgar/data/352991/000035299111000012/0000352991-11-000012-index.htm,https://www.sec.gov/Archives/edgar/data/352991/000035299112000016/0000352991-12-000016-index.htm,https://www.sec.gov/Archives/edgar/data/352991/000035299113000029/0000352991-13-000029-index.htm,https://www.sec.gov/Archives/edgar/data/352991/000035299114000012/0000352991-14-000012-index.htm,https://www.sec.gov/Archives/edgar/data/352991/000035299115000009/0000352991-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/352991/000035299116000021/0000352991-16-000021-index.htm,https://www.sec.gov/Archives/edgar/data/352991/000035299117000007/0000352991-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/352991/000035299118000009/0000352991-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/352991/000173112219000497/0001731122-19-000497-index.htm,https://www.sec.gov/Archives/edgar/data/352991/000173112220000902/0001731122-20-000902-index.htm,https://www.sec.gov/Archives/edgar/data/352991/000173112221001546/0001731122-21-001546-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
