,https://roic.ai/company/YORW,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),- -,1258704,1641229,1764927,1710104,2083050,2232541,2033585,2374650,3051230,3383000,3196000,3692000,3628000,4579000,5578000,4959000,5606000,5812000,4877000,4740000,5409000,4543000,2491000,2240000,2018000,1120000
23,Net Income,2312247,2759756,3120061,3135389,3154073,3757787,4006067,3790347,4448296,5300523,5833000,6091000,6414000,6431000,7512000,8929000,9084000,9303000,9654000,11484000,12489000,11846000,12974000,13376000,14402000,16598000,16984000
24,Net Income ratio,0.1497,0.1755,0.1836,0.1830,0.1801,0.2033,0.2065,0.1938,0.2130,0.2355,0.2176,0.2125,0.2041,0.1958,0.2028,0.2289,0.2236,0.2245,0.2278,0.2502,0.2652,0.2489,0.2670,0.2762,0.2792,0.3082,0.3081
25,EPS,0.30,0.35,0.36,0.35,0.35,0.42,0.43,0.40,0.47,0.53,0.56,0.58,0.57,0.57,0.64,0.71,0.71,0.72,0.75,0.89,0.97,0.92,1.01,1.04,1.11,1.27,1.30
26,EPS Diluted,0.30,0.35,0.36,0.35,0.35,0.42,0.43,0.40,0.47,0.53,0.56,0.58,0.57,0.57,0.64,0.71,0.71,0.72,0.75,0.89,0.97,0.92,1.01,1.04,1.11,1.27,1.30
27,Weighted Average Shares Outstanding,7581138,7885017,8747835,8873742,9011637,9018689,9244770,9475868,9532063,9938481,10416071,10501724,11252632,11298215,11695155,12626660,12734420,12847160,12928040,12879912,12831687,12845955,12849123,12903568,12964080,13033681,13033681
28,Weighted Average Shares Outstanding Diluted,7581138,7885017,8747835,8873742,9011637,9018689,9244770,9475868,9532063,9938481,10416071,10501724,11252632,11298215,11695155,12626660,12734420,12847160,12928040,12879912,12831687,12845973,12849171,12903836,12966292,13034520,13034520
29,SEC Link,https://www.sec.gov/Archives/edgar/data/108985/000010898596000012/0000108985-96-000012-index.html,https://www.sec.gov/Archives/edgar/data/108985/000010898597000005/0000108985-97-000005-index.html,https://www.sec.gov/Archives/edgar/data/108985/000010898598000002/0000108985-98-000002-index.html,https://www.sec.gov/Archives/edgar/data/108985/000010898599000013/0000108985-99-000013-index.html,https://www.sec.gov/Archives/edgar/data/108985/000010898500000004/0000108985-00-000004-index.html,https://www.sec.gov/Archives/edgar/data/108985/000010898501500017/0000108985-01-500017-index.html,https://www.sec.gov/Archives/edgar/data/108985/000010898502000007/0000108985-02-000007-index.html,https://www.sec.gov/Archives/edgar/data/108985/000010898503000006/0000108985-03-000006-index.html,https://www.sec.gov/Archives/edgar/data/108985/000010898504000021/0000108985-04-000021-index.html,https://www.sec.gov/Archives/edgar/data/108985/000010898505000043/0000108985-05-000043-index.html,https://www.sec.gov/Archives/edgar/data/108985/000010898506000024/mainbody123105.htm,https://www.sec.gov/Archives/edgar/data/108985/000010898507000025/mainbody10k123106.htm,https://www.sec.gov/Archives/edgar/data/108985/000010898508000021/form10k123107.htm,https://www.sec.gov/Archives/edgar/data/108985/000010898509000023/0000108985-09-000023-index.html,https://www.sec.gov/Archives/edgar/data/108985/000010898510000022/0000108985-10-000022-index.html,https://www.sec.gov/Archives/edgar/data/108985/000010898511000030/form10k123110.htm,https://www.sec.gov/Archives/edgar/data/108985/000010898512000022/0000108985-12-000022-index.html,https://www.sec.gov/Archives/edgar/data/108985/000010898513000024/0000108985-13-000024-index.html,https://www.sec.gov/Archives/edgar/data/108985/000010898514000027/form10k123113.htm,https://www.sec.gov/Archives/edgar/data/108985/000010898515000022/form10k.htm,https://www.sec.gov/Archives/edgar/data/108985/000010898516000127/0000108985-16-000127-index.html,https://www.sec.gov/Archives/edgar/data/108985/000010898517000024/0000108985-17-000024-index.html,https://www.sec.gov/Archives/edgar/data/108985/000010898518000032/0000108985-18-000032-index.html,https://www.sec.gov/Archives/edgar/data/108985/000010898519000026/0000108985-19-000026-index.html,https://www.sec.gov/Archives/edgar/data/108985/000010898520000027/0000108985-20-000027-index.html,https://www.sec.gov/Archives/edgar/data/108985/000010898521000022/0000108985-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/108985/000010898522000024/0000108985-22-000024-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,694491,- -,257706,- -,- -,97447,- -,- -,164235,- -,- -,- -,- -,- -,1327000,4006000,4012000,7565000,1488000,2879000,4209000,2000,2000,2000,2000,1000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,694491,- -,257706,- -,- -,97447,- -,- -,164235,- -,- -,- -,- -,- -,1327000,4006000,4012000,7565000,1488000,2879000,4209000,2000,2000,2000,2000,1000
34,Net Receivables,2539252,2682713,3087257,2481799,2753260,2854593,2995000,2838501,3163285,3708119,3782000,4840000,5170000,5930000,5389000,6293000,6160000,6360000,6058000,7325000,7198000,7007000,7006000,7238000,7244000,8752000,8312000
35,Inventory,299637,302821,337837,361400,390440,402770,449777,480573,592376,693392,843000,820000,802000,741000,716000,608000,692000,728000,722000,771000,771000,746000,906000,876000,1007000,1010000,1917000
36,Other Current Assets,176769,282779,265331,256724,312644,346891,317903,382529,351635,462126,499000,1038000,840000,676000,1041000,565000,531000,545000,887000,1649000,944000,658000,697000,895000,1131000,6526000,1032000
37,Total Current Assets,3015658,3962804,3690425,3357629,3456344,3604254,3860127,3701603,4107296,5027872,5124000,6698000,6812000,7347000,7146000,8793000,11389000,11645000,15232000,11233000,11792000,12620000,8611000,9011000,9384000,16290000,11262000
38,PP&E,77245729,80755283,83653895,86896484,92240881,96953079,102263789,106725558,116467226,139960611,155301000,174369000,191620000,211382000,222029000,228389000,232979000,240315000,245000000,253959000,262189000,271652000,289524000,299871000,313993000,344365000,383626000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3706000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,10198319,12018347,11509754,12224978,12902885,15829274,7227576,7981226,6933936,11077966,11871000,14997000,12537000,21713000,15956000,22749000,29851000,30530000,22297000,39147000,39510000,36222000,33895000,36258000,40152000,46302000,63965000
45,Total Non-Current Assets,87444048,92773630,95163649,99121462,105143766,112782353,109491365,114706784,123401162,151038577,167172000,189366000,204157000,233095000,241691000,251138000,262830000,270845000,267297000,293106000,301699000,307874000,323419000,336129000,354145000,390667000,447591000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,90459706,96736434,98854074,102479091,108600110,116386607,113351492,118408387,127508458,156066449,172296000,196064000,210969000,240442000,248837000,259931000,274219000,282490000,282529000,304339000,313491000,320494000,332030000,345140000,363529000,406957000,458853000
48,Accounts Payable,342610,376469,551402,290179,600993,1168824,478423,738723,1743094,1798289,2641000,1627000,3164000,2011000,892000,1245000,1110000,1121000,1758000,1589000,1772000,3669000,3136000,3030000,3452000,6540000,6712000
49,Short-Term Debt,4164000,1237000,843000,- -,1465175,2686446,2037877,2776233,9891760,16339029,19331000,1240000,15040000,8741000,9341000,41000,42000,42000,43000,43000,44000,44000,1044000,1030000,6500000,- -,7500000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,488000,19000,- -,96000,1724000,- -,- -,- -,531000,150000,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43538,- -
52,Other Current Liabilities,2495951,1881145,1807374,2084329,1860278,1908825,2324917,1979323,2412392,3027302,2678000,3056000,3156000,3444000,4372000,4045000,4131000,4311000,6042000,4298000,4381000,4471000,4965000,6781000,5204000,5409462,5874000
53,Total Current Liabilities,7002561,3494614,3201776,2374508,3926446,5764095,4841217,5494279,14047246,21164620,24650000,5923000,21360000,14196000,14605000,5331000,5283000,5474000,7843000,5930000,6197000,8184000,9145000,10841000,15156000,11993000,20086000
54,Long-Term Debt,32000000,32000000,32000000,32000000,32765943,32728220,32690343,32652087,29913445,35574416,39835000,61095000,58465000,83612000,73227000,85132000,84975000,84933000,84885000,84842000,87261000,84609000,90098000,93328000,94535000,123573000,138869000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13761000,12949000,11636000,10712000,7500000,7102000,6324000,6849000,7844000,10326000,12820000
56,Deferred Tax Liabilities,7753441,9744675,9807788,10967235,12109748,15117013,8519594,10488787,10578205,12532631,13421000,15529000,16964000,19549000,22507000,- -,29809000,32425000,34594000,46024000,50495000,54169000,34754000,36962000,40426000,43538000,49590000
57,Other Non-Current Liabilities,21931937,23494388,24693724,26756912,29224309,21554767,31490063,32559126,34008350,38692953,43944000,48176000,46871000,53339000,51576000,78211000,45126000,46884000,40060000,52268000,52968000,52369000,72304000,70965000,71383000,74275000,84866000
58,Total Non-Current Liabilities,61685378,65239063,66501512,69724147,74100000,69400000,72700000,75700000,74500000,86800000,97200000,124800000,122300000,156500000,147310000,163343000,173671000,177191000,171175000,193846000,198224000,198249000,203480000,208104000,214188000,251712000,286145000
59,Other Liabilities,- -,- -,- -,- -,- -,147584757,- -,- -,- -,173664503,194431000,- -,244637000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,68687939,68733677,69703288,72098655,77770456,83948852,77460018,81191679,88451929,108029123,121881000,130703000,143697000,170676000,161915000,168674000,178954000,182665000,179018000,199776000,204421000,206433000,212625000,218945000,229344000,263705000,306231000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,6373743,7251308,26453873,27292726,28099197,28899504,31473194,32331176,33234985,41014215,42015000,55558000,56566000,57875000,- -,- -,- -,79299000,80545000,77556000,77317000,78513000,79201000,81305000,83976000,85935000,88230000
64,Retained Earnings,1843982,2227118,2696913,3087710,3418257,4226051,4418280,4885532,5821544,7191739,8633000,9904000,10986000,11891000,13353000,15776000,18152000,20526000,22966000,27007000,31753000,35548000,40204000,44890000,50209000,57317000,64392000
65,Other Comprehensive Income/Loss,-11890730,-13158637,-14332890,-15687003,-17155352,-18395865,-19445945,-20995807,-22616618,-168628,-233000,-101000,-280000,-34591000,-38539000,-42369000,-46067000,-50259000,-54673000,-59809000,-64271000,-68838000,-73746000,-78929000,-85276000,- -,- -
66,Other Total Stockholders Equity,25444772,31682968,14332890,15687003,16467552,17708065,19445945,20995807,22616618,- -,- -,- -,- -,34591000,112108000,117850000,123180000,50259000,54673000,59809000,64271000,68838000,73746000,78929000,85276000,- -,- -
67,Total Stockholders Equity,21771767,28002757,29150786,30380436,30829654,32437755,35891474,37216708,39056529,48037326,50415000,65361000,67272000,69766000,86922000,91257000,95265000,99825000,103511000,104563000,109070000,114061000,119405000,126195000,134185000,143252000,152622000
68,Total Liabilities And Stockholders Equity,90459706,96736434,98854074,102479091,108600110,116386607,113351492,118408387,127508458,156066449,172296000,196064000,210969000,240442000,248837000,259931000,274219000,282490000,282529000,304339000,313491000,320494000,332030000,345140000,363529000,406957000,458853000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,90459706,96736434,98854074,102479091,108600110,116386607,113351492,118408387,127508458,156066449,172296000,196064000,210969000,240442000,248837000,259931000,274219000,282490000,282529000,304339000,313491000,320494000,332030000,345140000,363529000,406957000,458853000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/108985/000010898596000012/0000108985-96-000012-index.html,https://www.sec.gov/Archives/edgar/data/108985/000010898597000005/0000108985-97-000005-index.html,https://www.sec.gov/Archives/edgar/data/108985/000010898598000002/0000108985-98-000002-index.html,https://www.sec.gov/Archives/edgar/data/108985/000010898599000013/0000108985-99-000013-index.html,https://www.sec.gov/Archives/edgar/data/108985/000010898500000004/0000108985-00-000004-index.html,https://www.sec.gov/Archives/edgar/data/108985/000010898501500017/0000108985-01-500017-index.html,https://www.sec.gov/Archives/edgar/data/108985/000010898502000007/0000108985-02-000007-index.html,https://www.sec.gov/Archives/edgar/data/108985/000010898503000006/0000108985-03-000006-index.html,https://www.sec.gov/Archives/edgar/data/108985/000010898504000021/0000108985-04-000021-index.html,https://www.sec.gov/Archives/edgar/data/108985/000010898505000043/0000108985-05-000043-index.html,https://www.sec.gov/Archives/edgar/data/108985/000010898506000024/mainbody123105.htm,https://www.sec.gov/Archives/edgar/data/108985/000010898507000025/mainbody10k123106.htm,https://www.sec.gov/Archives/edgar/data/108985/000010898508000021/form10k123107.htm,https://www.sec.gov/Archives/edgar/data/108985/000010898509000023/0000108985-09-000023-index.html,https://www.sec.gov/Archives/edgar/data/108985/000010898510000022/0000108985-10-000022-index.html,https://www.sec.gov/Archives/edgar/data/108985/000010898511000030/form10k123110.htm,https://www.sec.gov/Archives/edgar/data/108985/000010898512000022/0000108985-12-000022-index.html,https://www.sec.gov/Archives/edgar/data/108985/000010898513000024/0000108985-13-000024-index.html,https://www.sec.gov/Archives/edgar/data/108985/000010898514000027/form10k123113.htm,https://www.sec.gov/Archives/edgar/data/108985/000010898515000022/form10k.htm,https://www.sec.gov/Archives/edgar/data/108985/000010898516000127/0000108985-16-000127-index.html,https://www.sec.gov/Archives/edgar/data/108985/000010898517000024/0000108985-17-000024-index.html,https://www.sec.gov/Archives/edgar/data/108985/000010898518000032/0000108985-18-000032-index.html,https://www.sec.gov/Archives/edgar/data/108985/000010898519000026/0000108985-19-000026-index.html,https://www.sec.gov/Archives/edgar/data/108985/000010898520000027/0000108985-20-000027-index.html,https://www.sec.gov/Archives/edgar/data/108985/000010898521000022/0000108985-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/108985/000010898522000024/0000108985-22-000024-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2312247,2759756,3120061,3135389,3154073,3757787,4006067,3790347,4448296,5300523,5833000,6091000,6414000,6431000,7512000,8929000,9084000,9303000,9654000,11484000,12489000,11846000,12974000,13376000,14402000,16598000,16984000
74,Depreciation and Amortization,1509918,1370453,1552338,1636578,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4412000,4592000,4905000,5170000,5744000,5932000,6151000,6422000,6769000,7010000,7688000,8177000,8859000
75,Deferred Income Tax,- -,552557,634065,589078,947655,924785,1035136,1270931,775780,1869454,688000,1496000,1143000,1911000,2515000,2591000,3189000,2311000,1939000,4753000,2270000,1646000,2484000,58000,641000,88000,164000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22000,46000,80000,166000,154000,213000
77,Change in Working Capital,-1198214,4455093,20459,494472,-1453223,-1689739,1178751,-811586,-8147274,-6196798,-3389252,20301000,-15323000,7699000,-610000,10921000,2644000,65000,1218000,-2086000,292000,-1159000,-4970000,-1296000,-3942000,10069000,-3276000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-699000,11000,-632000,-73000,-867000,-572000,-483000,282000,-1948000,235000
79,Inventory,-1281,-3184,-35016,-23563,-29040,-12330,-47007,-30796,-111803,-101016,-150000,23000,-38000,105000,50000,97000,-1300000,-650000,-1056000,-11438000,-2339000,-3098000,-507000,-6094000,-5903000,-8205000,-8508000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,486000,306000,11502000,2166000,2387000,-2018000,4508000,2129000,5463000,5170000
81,Other Working Capital,-3986903,468190,488649,983121,-470102,-2159841,-981090,-1792676,-9939950,-16136748,-19526000,775000,-14548000,-6849000,-7459000,3462000,6106000,6171000,7389000,5303000,5595000,4436000,-534000,-1830000,-5772000,4297000,- -
82,Other Non-Cash Items,376074,-4827637,-234901,351501,2847239,3402508,689711,2124904,9890597,6775598,6124252,-20772000,17806000,-4514000,1972000,-12278000,-2348000,-427000,-117000,-1317000,-492000,588000,2808000,-856000,-74000,-14851000,15000
83,Cash Provided by Operating Activities,3000025,4310222,5092022,6207018,5495744,6395341,6909665,6374596,6967399,7748777,9256000,7116000,10040000,11527000,15801000,14755000,17474000,16422000,18438000,18766000,20710000,19365000,20111000,18372000,18881000,20235000,22959000
84,CAPEX,-5256959,-4936816,-4500517,-4989967,-7050376,-6413721,-7095827,-6309906,-10320952,-25875371,-15562000,-20678000,-18154000,-24697000,-14771000,-10541000,- -,-12204000,-9880000,-14508000,-14196000,-13208000,-25074000,-16882000,-20537000,-33299000,-46400000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1994000,- -,-896000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-3281000,-249046,-2940152,-3290488,-366238,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,3281000,249046,2940152,3290488,366238,- -,- -,- -,- -,- -,60000,69000,39000,- -,32000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-4179266,-4215635,-3496995,-3301432,1741382,987961,1522403,1602876,1519685,809621,41000,255000,858000,74000,-500000,- -,-9472000,30000,500000,386000,11000,682000,- -,108000,- -,672000,- -
89,Cash Used for Investing Activites,-4179266,-4215635,-3496995,-3301432,-5308994,-5425760,-5573424,-4707030,-8801267,-25065750,-17515000,-20423000,-18192000,-24623000,-15211000,-10472000,-9433000,-12174000,-9348000,-14122000,-14185000,-12526000,-25074000,-16774000,-20537000,-32627000,-46400000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-33611000,-37784000,-156000,-42000,-47000,-14923000,-11886000,-53000,-17533000,-25691000,-86906000,-39749000,-37649000
91,Common Stock Issued,75614,79502,81682,- -,806471,800307,2573690,857982,903809,7779230,1001000,13543000,1008000,1309000,15694000,1912000,1632000,2186000,3018000,2703000,2307000,2513000,1905000,2024000,2505000,1805000,2082000
92,Common Stock Repurchased,- -,- -,- -,- -,-687800,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1772000,-5692000,-2546000,-1339000,-1263000,- -,- -,- -,- -
93,Dividends Paid,-2277190,-2376620,-2650266,-2744592,-2823526,-2949993,-3126038,-3323095,-3446826,-3803260,-4311000,-4672000,-5281000,-5460000,-5849000,-6459000,-6667000,-6862000,-7156000,-7402000,-7682000,-7956000,-8229000,-8583000,-8986000,-9394000,-9808000
94,Other Financing Activites,3380817,2897022,279066,96712,2260399,1180105,-686446,700100,4376885,13505238,11405000,4436000,12425000,17247000,23176000,39375000,-171000,476000,420000,14593000,14673000,1326000,25876000,30652000,95043000,64730000,63815000
95,Cash Used/Provided by Financing Activities,1179241,599904,-2289518,-2647880,-444456,-969581,-1238794,-1765013,1833868,17481208,8095000,13307000,8152000,13096000,-590000,-2956000,-5362000,-4242000,-5537000,-10721000,-5134000,-5509000,756000,-1598000,1656000,17392000,18440000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2679000,6000,3553000,-6077000,1391000,1330000,-4207000,- -,- -,5000000,-5001000
98,Cash at the End of Period,- -,694491,- -,257706,- -,- -,97447,- -,- -,164235,- -,- -,- -,- -,- -,1327000,4006000,4012000,7565000,1488000,2879000,4209000,2000,2000,2000,5002000,1000
99,Cash at the Beginning of Period,- -,- -,694491,- -,257706,- -,- -,97447,- -,- -,164000,- -,- -,- -,- -,- -,1327000,4006000,4012000,7565000,1488000,2879000,4209000,2000,2000,2000,5002000
100,Free Cash Flow,-2256934,-626594,591505,1217051,-1554632,-18380,-186162,64690,-3353553,-18126594,-6306000,-13562000,-8114000,-13170000,1030000,4214000,17474000,4218000,8558000,4258000,6514000,6157000,-4963000,1490000,-1656000,-13064000,-23441000
