,https://roic.ai/company/JW-A,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,77100000,88900000,101600000,125200000,134400000,148500000,165000000,185600000,158700000,167600000,183900000,193800000,210000000,225500000,268100000,291400000,301900000,347594000,332768000,403437000,444785000,484678000,507606000,549192000,652705000,913892000,876492000,907351000,955360000,958927000,975130000,1014135000,1056214000,1044396000,1038266000,1042782000,1018240000,1059791000,1097345000
11,COGS and Expenses,145300000,162400000,186700000,212200000,228500000,246500000,251400000,280800000,251300000,261700000,276100000,293500000,323100000,352200000,423300000,455600000,481200000,547694000,532168000,646637000,733685000,793578000,832706000,881092000,1045405000,1446792000,1392892000,1441351000,1494360000,1502327000,1507330000,1521035000,1555897000,1510313000,1539060000,1573806000,1572962000,1585015000,1722680000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6180000,834000,2422000,2975000,2614000,2785000,3057000,2914000,1480000,489000,11100000,13381000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48424000,32334000,17322000,9038000,13078000,13916000,17077000,16707000,16938000,13274000,16121000,24959000,18383000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,22400000,17800000,23400000,20000000,20100000,21500000,23800000,23000000,27000000,34300000,41400000,40500000,53169000,53881000,59322000,62963000,71367000,78354000,82002000,88324000,115923000,71978000,75439000,81085000,87147000,97999000,103000000,113286000,116191000,116352000,153989000,161155000,175127000,200189000
15,EBITDA,9600000,12300000,7100000,8000000,5000000,27100000,21900000,26100000,24100000,23200000,29200000,35900000,41300000,51700000,54600000,78000000,80200000,105569000,112781000,116622000,150263000,160167000,162154000,192302000,187924000,263423000,248702000,251273000,270307000,308885000,255277000,277416000,307231000,278680000,246933000,359449000,345539000,125799000,394484000
16,EBITDA ratio,0.0575,0.0665,0.0358,0.0371,0.0217,0.1125,0.1045,0.1130,0.1017,0.0935,0.1070,0.1220,0.1247,0.1425,0.1264,0.1670,0.1545,0.1742,0.1837,0.1588,0.1760,0.1735,0.1665,0.1842,0.1522,0.1574,0.1543,0.1479,0.1551,0.1733,0.1450,0.1563,0.1686,0.1614,0.1437,0.2001,0.1920,0.0687,0.2032
17,Operating Income,21800000,22600000,11500000,15300000,19100000,14500000,12800000,8700000,5700000,6600000,13000000,18900000,26900000,33000000,34800000,40900000,63600000,89004000,95424000,87763000,120261000,129379000,141381000,152679000,161279000,222990000,218478000,242592000,248148000,280419000,199427000,206673000,237739000,188113000,206153000,239535000,223989000,-54287000,185511000
18,Operating Income ratio,0.1305,0.1222,0.0581,0.0709,0.0830,0.0602,0.0611,0.0377,0.0241,0.0266,0.0476,0.0642,0.0812,0.0910,0.0806,0.0876,0.1225,0.1469,0.1555,0.1195,0.1408,0.1402,0.1452,0.1463,0.1306,0.1332,0.1356,0.1428,0.1424,0.1573,0.1133,0.1164,0.1305,0.1089,0.1200,0.1334,0.1244,-0.0296,0.0956
19,Total Other Income Expenses (Gains),-4700000,-700000,-2800000,-4400000,-10300000,-5100000,800000,9800000,-800000,-2400000,-2400000,-1800000,-1100000,5800000,-3900000,17200000,-1600000,-6404000,-5224000,-6663000,-7661000,-4279000,-5681000,-8879000,-21779000,-61490000,-53978000,-42392000,-17048000,-8319000,-12527000,-11173000,-12278000,-13320000,-15037000,-25604000,-11037000,-8805000,-9599000
20,Income Before Tax,17100000,21900000,8700000,10900000,8800000,9400000,13600000,18500000,4900000,4200000,10600000,17100000,25800000,38800000,30900000,58100000,62000000,82600000,90200000,81100000,112600000,125100000,135700000,143800000,139500000,161500000,164500000,200200000,231100000,272100000,186900000,195500000,225461000,174793000,191116000,213931000,212952000,-63092000,175912000
21,Income Before Tax Ratio,0.1023,0.1184,0.0439,0.0505,0.0382,0.0390,0.0649,0.0801,0.0207,0.0169,0.0388,0.0581,0.0779,0.1070,0.0715,0.1244,0.1194,0.1363,0.1470,0.1104,0.1319,0.1355,0.1393,0.1378,0.1130,0.0965,0.1021,0.1178,0.1326,0.1526,0.1061,0.1101,0.1237,0.1012,0.1112,0.1191,0.1183,-0.0344,0.0906
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27656000
23,Net Income,9600000,12300000,7100000,8000000,5000000,4700000,4100000,2700000,4100000,3100000,7700000,12100000,18300000,24700000,20300000,36600000,39700000,52400000,58900000,57300000,87300000,88800000,83800000,110300000,99600000,147500000,128300000,143500000,171900000,212700000,144200000,160500000,176868000,145782000,113643000,192186000,168263000,-74287000,148256000
24,Net Income ratio,0.0575,0.0665,0.0358,0.0371,0.0217,0.0195,0.0196,0.0117,0.0173,0.0125,0.0282,0.0411,0.0553,0.0681,0.0470,0.0784,0.0765,0.0865,0.0960,0.0780,0.1022,0.0962,0.0860,0.1057,0.0807,0.0881,0.0796,0.0845,0.0986,0.1193,0.0819,0.0904,0.0971,0.0844,0.0661,0.1070,0.0935,-0.0406,0.0764
25,EPS,0.16,0.19,0.10,0.12,0.08,0.07,0.06,0.04,0.07,0.05,0.13,0.19,0.28,0.37,0.31,0.58,0.63,0.85,0.97,0.94,1.42,1.44,1.38,1.90,1.75,2.55,2.20,2.39,2.83,3.57,2.46,2.72,3.01,2.53,1.99,3.35,2.97,-1.32,2.65
26,EPS Diluted,0.16,0.19,0.10,0.12,0.08,0.07,0.06,0.04,0.07,0.05,0.13,0.19,0.28,0.37,0.31,0.56,0.60,0.81,0.93,0.91,1.38,1.41,1.35,1.85,1.71,2.49,2.15,2.39,2.80,3.47,2.39,2.70,2.97,2.48,1.95,3.32,2.91,-1.32,2.63
27,Weighted Average Shares Outstanding,60300000,66300000,67900000,63333333,62500000,67142857,68333333,67500000,58571429,62000000,59230769,63684211,65066667,66308725,65483871,63103448,63015873,61632941,60740206,60974468,61461268,61694444,60721000,58071000,56932000,57921000,58419000,58307000,60709982,59515790,58670857,59052437,58838231,57564229,57167126,57410839,56630227,56209000,55930000
28,Weighted Average Shares Outstanding Diluted,60300000,66300000,67900000,63333333,62500000,67142857,68333333,67500000,58571429,62000000,59230769,63684211,65650224,66308725,65483871,65945946,66166667,64676543,63352688,62984615,63242754,63007092,62093000,59792000,58287000,59323000,59610000,59679000,61359000,61272000,60224000,59514000,59594000,58734000,58199000,57888000,57840000,56209000,56461000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/107140/000010714008000068/0000107140-08-000068-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/107140/000010714013000009/0000107140-13-000009-index.htm,- -,https://www.sec.gov/Archives/edgar/data/107140/000010714015000020/0000107140-15-000020-index.htm,- -,https://www.sec.gov/Archives/edgar/data/107140/000010714017000008/0000107140-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/107140/000010714018000021/0000107140-18-000021-index.htm,https://www.sec.gov/Archives/edgar/data/107140/000010714019000026/0000107140-19-000026-index.htm,https://www.sec.gov/Archives/edgar/data/107140/000010714020000052/0000107140-20-000052-index.htm,https://www.sec.gov/Archives/edgar/data/107140/000114036121023449/0001140361-21-023449-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2700000,4900000,5200000,8500000,12900000,10000000,4800000,1400000,10700000,2800000,1400000,57500000,34400000,55300000,79100000,127400000,149000000,42300000,52900000,39700000,33200000,82000000,89400000,60800000,71500000,59300000,102800000,153500000,201900000,259800000,334100000,486400000,457441000,363806000,58516000,169773000,92890000,202464000,93795000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,6000000,50000000,71300000,37200000,44900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2700000,4900000,5200000,8500000,12900000,10000000,10800000,51400000,82000000,40000000,46300000,57500000,34400000,55300000,79100000,127400000,149000000,42300000,52900000,39700000,33200000,82000000,99400000,60800000,71500000,59300000,102800000,153500000,201900000,259800000,334100000,486400000,457441000,363806000,58516000,169773000,92890000,202464000,93795000
34,Net Receivables,31500000,34000000,37600000,44300000,46400000,51100000,50000000,38700000,36400000,37300000,36000000,46000000,52600000,60300000,61800000,56100000,53800000,68100000,62500000,101100000,107200000,127200000,137800000,158300000,201400000,212200000,178600000,164800000,168300000,171600000,161700000,149700000,147183000,167638000,188679000,212377000,306631000,309384000,311571000
35,Inventory,34100000,35100000,32100000,37000000,38800000,42600000,44200000,36300000,36100000,38100000,39200000,37300000,41500000,44000000,49100000,44900000,40000000,46100000,50800000,69800000,83300000,83800000,83400000,88600000,112900000,118200000,111300000,108100000,106400000,101200000,82000000,75500000,63779000,57779000,47852000,39489000,35582000,43614000,42538000
36,Other Current Assets,6000000,5400000,7500000,7900000,9200000,9800000,10500000,22200000,11800000,9500000,12000000,12800000,12700000,11000000,14100000,9200000,13200000,19400000,23300000,64700000,48600000,25300000,18300000,18600000,35400000,45300000,46900000,51700000,50900000,42000000,57200000,78100000,72516000,81456000,64688000,58332000,67441000,59465000,78393000
37,Total Current Assets,74300000,79400000,82400000,97700000,107300000,113500000,115500000,148600000,166300000,124900000,133500000,153600000,141200000,170600000,204100000,237600000,256000000,175900000,189500000,275300000,272300000,318300000,338900000,326300000,421200000,435000000,439600000,478100000,527500000,574600000,635000000,789700000,740919000,670679000,359735000,479971000,502544000,614927000,526297000
38,PP&E,12800000,15300000,21500000,23300000,22300000,21700000,16600000,14200000,16000000,18100000,18900000,19600000,21200000,23000000,32700000,34300000,34700000,38200000,52300000,72100000,114900000,117300000,115400000,102100000,126700000,145700000,141200000,152700000,165500000,188000000,189600000,188700000,193010000,214770000,252488000,289934000,289021000,440721000,403700000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43300000,43800000,54300000,52100000,51900000,112100000,116500000,189100000,192200000,194900000,195600000,198400000,704100000,708200000,590000000,615500000,642900000,690600000,835500000,903700000,962367000,951663000,982101000,1019801000,1095666000,1116790000,1304340000
40,Intangible Assets,14500000,14400000,17600000,55900000,57200000,57200000,52900000,72400000,67500000,67500000,64300000,64100000,34600000,38900000,142500000,156800000,161100000,224800000,208500000,338400000,341700000,337200000,352600000,368000000,1252300000,1215500000,1009000000,1019300000,1042300000,1023900000,1042800000,1067600000,987210000,949133000,927374000,963943000,964227000,897758000,1064819000
41,Intangible Assets,14500000,14400000,17600000,55900000,57200000,57200000,52900000,72400000,67500000,67500000,64300000,64100000,77900000,82700000,196800000,208900000,213000000,336900000,325000000,527500000,533900000,532100000,548200000,566400000,1956400000,1923700000,1599000000,1634800000,1685200000,1714500000,1878300000,1971300000,1949577000,1900796000,1909475000,1983744000,2059893000,2014548000,2369159000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,2300000,2900000,5800000,19200000,19300000,20800000,6400000,13600000,20400000,14100000,15700000,4100000,4900000,12400000,14700000,16100000,16000000,15400000,21300000,14300000,12000000,3000000,1700000,9900000,271600000,228000000,176400000,167700000,192900000,181700000,197500000,222500000,198947000,189868000,160491000,143518000,143775000,119127000,- -
44,Other Non-Current Assets,26100000,34300000,34800000,-6600000,-10300000,-5200000,-1100000,100000,-18900000,-10900000,-11800000,2500000,2300000,-4200000,9600000,10000000,8800000,2900000,-100000,6900000,39100000,28200000,28400000,21200000,-222900000,-156200000,-132500000,-124700000,-141000000,-125900000,-94100000,-94800000,-78210000,-55017000,-75972000,-57716000,-46467000,-20529000,147283000
45,Total Non-Current Assets,55700000,66900000,79700000,91800000,88500000,94500000,74800000,100300000,85000000,88800000,87100000,90300000,106300000,113900000,253800000,269300000,272500000,393400000,398500000,620800000,699900000,680600000,693700000,699600000,2131800000,2141200000,1784100000,1830500000,1902600000,1958300000,2171300000,2287700000,2263324000,2250417000,2246482000,2359480000,2446222000,2553867000,2920142000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,130000000,146300000,162100000,189500000,195800000,208000000,190300000,248900000,251300000,213700000,220600000,243900000,247500000,284500000,457900000,506900000,528500000,569300000,588000000,896100000,972200000,998900000,1032600000,1025900000,2553000000,2576200000,2223700000,2308600000,2430100000,2532900000,2806300000,3077400000,3004243000,2921096000,2606217000,2839451000,2948766000,3168794000,3446439000
48,Accounts Payable,13800000,16600000,17000000,19300000,20800000,25400000,27900000,21400000,18000000,22600000,19800000,25600000,34300000,37000000,31000000,36900000,34700000,45800000,42500000,67500000,71300000,68300000,71000000,97200000,147800000,189300000,160300000,145000000,155300000,151400000,143300000,142500000,161465000,166222000,139206000,90097000,90980000,93691000,95791000
49,Short-Term Debt,- -,- -,- -,8700000,9500000,7600000,5200000,2900000,15900000,4100000,4100000,6100000,600000,- -,200000,- -,- -,30000000,30000000,30000000,35000000,- -,- -,- -,22500000,45000000,67500000,90000000,123700000,- -,- -,- -,100000000,- -,- -,- -,- -,31185000,34940000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4281000,2516000,5924000,18812000,16093000,13324000,9484000,9450000,22222000,13927000,21025000,13728000,8590000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,545425000
52,Other Current Liabilities,24800000,35000000,25600000,16100000,20000000,21600000,40700000,62400000,62100000,67400000,77800000,86900000,95100000,102100000,133200000,141500000,160400000,178300000,174300000,222900000,226800000,232300000,270300000,264900000,450500000,444300000,369200000,431800000,477400000,489500000,523900000,587100000,542218000,615585000,648650000,784214000,791346000,802393000,312816000
53,Total Current Liabilities,38600000,51600000,42600000,44100000,50300000,54600000,73800000,86700000,96000000,94100000,101700000,118600000,130000000,139100000,164400000,178400000,195100000,254100000,246800000,320400000,333100000,300600000,341300000,362100000,620800000,678600000,597000000,666800000,756400000,640900000,667200000,729600000,803683000,781807000,787856000,874311000,882326000,927269000,988972000
54,Long-Term Debt,27500000,8700000,28800000,36200000,33800000,37400000,15300000,55000000,40000000,36000000,32000000,26000000,- -,- -,125000000,125000000,125000000,95000000,65000000,235000000,200000000,200000000,196200000,160500000,977700000,797300000,754900000,559000000,330500000,475000000,673000000,700100000,650090000,605007000,365000000,360000000,478790000,765650000,954920000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,172903000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13800000,15000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,238353000
58,Total Non-Current Liabilities,27500000,8700000,28800000,36200000,33800000,37400000,15300000,55000000,40000000,36000000,32000000,26000000,- -,- -,125000000,125000000,125000000,95000000,65000000,235000000,200000000,200000000,196200000,160500000,977700000,797300000,754900000,559000000,330500000,475000000,673000000,700100000,650090000,605007000,365000000,360000000,478790000,765650000,1366176000
59,Other Liabilities,57300000,20200000,63400000,91600000,87000000,95700000,37000000,123600000,100400000,86100000,79600000,69000000,18600000,27400000,289600000,292800000,296200000,237500000,186200000,534100000,495100000,483300000,490900000,422600000,2380500000,2005800000,1868100000,1478400000,1026400000,1349500000,1823800000,1865600000,1795610000,1707190000,1180224000,1134583000,1363883000,2073551000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,181592000,168272000
61,Total Liabilities,68400000,63100000,77200000,99500000,103500000,112900000,95500000,155300000,156400000,144200000,149300000,161600000,148600000,166500000,329000000,346200000,366300000,396600000,368000000,619500000,628200000,583900000,636000000,624200000,2023600000,1887100000,1710200000,1586200000,1452300000,1515400000,1818000000,1895100000,1949203000,1883990000,1603080000,1648894000,1767419000,2235170000,2355148000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,4300000,4700000,4700000,4800000,4800000,4800000,4900000,4900000,4900000,5000000,5000000,10100000,10200000,20500000,20600000,83000000,83200000,83200000,83200000,83200000,83200000,83200000,83200000,83200000,83200000,83200000,83200000,83200000,83200000,83200000,83200000,83200000,83190000,83190000,83182000,83182000,83182000,83182000,83182000
64,Retained Earnings,51600000,60000000,62600000,66100000,66600000,66700000,66200000,64100000,63500000,62500000,66100000,74000000,87500000,106700000,120800000,122900000,154800000,198500000,247700000,294000000,369000000,441500000,507200000,596500000,673300000,794800000,892500000,1003100000,1136200000,1300700000,1387500000,1489100000,1597439000,1673325000,1715423000,1834057000,1931074000,1780129000,1850058000
65,Other Comprehensive Income/Loss,-6900000,-8200000,-10600000,-14200000,-18200000,-21600000,-16400000,-10700000,-13600000,-17400000,-22100000,-26900000,-33100000,-34800000,-42700000,-48800000,-59200000,-67800000,-68700000,-83000000,-8454000,63000,-1092000,4157000,24957000,12648000,-258398000,-227646000,-127741000,-200410000,-278632000,-190291000,-406633000,-447686000,-507287000,-439580000,-508738000,-575497000,-490790000
66,Other Total Stockholders Equity,12600000,26800000,28200000,33300000,39100000,45200000,40100000,35300000,40100000,19500000,22300000,25100000,34200000,25600000,30300000,3700000,- -,- -,- -,- -,-99742000,-109699000,-192734000,-282017000,-251949000,-201530000,-203786000,-136218000,-113770000,-165922000,-203712000,-199761000,-218956000,-271723000,-288181000,-287102000,-324171000,-354190000,-351159000
67,Total Stockholders Equity,61600000,83300000,84900000,90000000,92300000,95100000,94800000,93600000,94900000,69600000,71300000,82300000,98800000,118000000,129000000,160800000,162200000,172738000,220023000,276650000,344004000,415064000,396574000,401840000,529508000,689118000,513516000,722436000,977889000,1017568000,988356000,1182248000,1055040000,1037106000,1003137000,1190557000,1181347000,933624000,1091291000
68,Total Liabilities And Stockholders Equity,130000000,146400000,162100000,189500000,195800000,208000000,190300000,248900000,251300000,213800000,220600000,243900000,247400000,284500000,458000000,507000000,528500000,569338000,588023000,896150000,972204000,998964000,1032574000,1026040000,2553108000,2576218000,2223716000,2308636000,2430189000,2532968000,2806356000,3077348000,3004243000,2921096000,2606217000,2839451000,2948766000,3168794000,3446439000
69,Minority Interest,- -,-100000,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,100000,- -,-100000,-100000,- -,-38000,-23000,-50000,-4000,-64000,26000,-140000,-108000,-18000,-16000,-36000,-89000,-68000,-56000,52000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,130000000,146300000,162100000,189500000,195800000,208000000,190300000,248900000,251300000,213700000,220600000,243900000,247500000,284500000,457900000,506900000,528500000,569300000,588000000,896100000,972200000,998900000,1032600000,1025900000,2553000000,2576200000,2223700000,2308600000,2430100000,2532900000,2806300000,3077400000,3004243000,2921096000,2606217000,2839451000,2948766000,3168794000,3446439000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/107140/000010714008000068/0000107140-08-000068-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/107140/000010714013000009/0000107140-13-000009-index.htm,- -,https://www.sec.gov/Archives/edgar/data/107140/000010714015000020/0000107140-15-000020-index.htm,- -,https://www.sec.gov/Archives/edgar/data/107140/000010714017000008/0000107140-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/107140/000010714018000021/0000107140-18-000021-index.htm,https://www.sec.gov/Archives/edgar/data/107140/000010714019000026/0000107140-19-000026-index.htm,https://www.sec.gov/Archives/edgar/data/107140/000010714020000052/0000107140-20-000052-index.htm,https://www.sec.gov/Archives/edgar/data/107140/000114036121023449/0001140361-21-023449-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,4700000,4100000,2700000,4100000,3100000,7700000,12100000,18300000,24700000,20300000,36600000,39700000,52400000,58900000,57300000,87300000,88800000,83800000,110300000,99600000,147500000,128300000,143500000,171900000,212700000,144200000,160500000,176868000,145782000,113643000,192186000,168263000,-74287000,148256000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,22400000,17800000,23400000,20000000,20100000,21500000,23800000,23000000,27000000,34300000,41400000,40500000,53169000,53881000,59322000,62963000,71367000,78354000,82002000,88324000,115923000,71978000,75439000,81085000,87147000,97999000,103000000,113286000,116191000,116352000,153989000,161155000,175127000,200189000
75,Deferred Income Tax,- -,- -,- -,- -,- -,-400000,100000,4100000,1500000,-4000000,-1300000,-1500000,2100000,7900000,3200000,9200000,-1100000,1795000,3530000,-3659000,11224000,26685000,17283000,5009000,3604000,10784000,17141000,9481000,5707000,3030000,-59325000,-22602000,-5280000,-7010000,-2575000,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10625000,24842000,17719000,17262000,11928000,12851000,13617000,16105000,17552000,11244000,18327000,20009000,21982000
77,Change in Working Capital,- -,- -,- -,- -,- -,-9900000,-17200000,20200000,8400000,-39500000,1000000,3200000,-23800000,20300000,8200000,19500000,1700000,-139100000,20900000,12200000,-15700000,78500000,-20100000,-33400000,-163800000,-44000000,86200000,-31300000,-40200000,162600000,34100000,92300000,-122864000,-48364000,-316993000,33781000,14558000,67440000,-150333000
78,Accounts Receivable,- -,- -,- -,- -,- -,-4700000,1100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25937000,-9004000,-5584000,9605000,18118000,18558000,4488000,-14456000,-29886000,-14209000,-52939000,-2962000,-7263000
79,Inventory,- -,- -,- -,- -,- -,-3800000,-1600000,-2800000,-3400000,-5400000,-3700000,800000,-4000000,-3700000,1800000,4400000,3000000,-1149000,-9789000,-4657000,-14594000,788000,3994000,-12111000,-4060000,-10038000,-6696000,13960000,7453000,4467000,11501000,11146000,9696000,3571000,8003000,13517000,3820000,-2714000,7842000
80,Accounts Payable,- -,- -,- -,- -,- -,-4600000,-2500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,540000,-5748000,7297000,31305000,3997000,-19857000,16543000,7369000,1163000,-20110000
