,https://roic.ai/company/KEGX,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
19,Total Other Income Expenses (Gains),- -,- -,-800000,-1100000,-2400000,-6500000,-18300000,-77200000,-71930000,-56560000,- -,-54401000,-65320000,-62612000,-29557000,-40439000,- -,- -,-161653000,-83176000,-46917000,-54401000,-55236000,-83241000,292357000,-26111000,-31809000,-33507000
20,Income Before Tax,- -,- -,2300000,3400000,5500000,14600000,38800000,-79000000,-27976000,99283000,- -,-63572000,-28473000,84398000,274480000,275940000,174056000,-43456000,-55908000,158952000,160029000,-24237000,-259111000,-1110550000,-10244000,-122291000,-90775000,-101393000
21,Income Before Tax Ratio,- -,- -,0.0665,0.0766,0.0830,0.0898,0.0931,-0.1621,-0.0439,0.1137,- -,-0.0687,-0.0288,0.0709,0.1775,-617.3154,0.0883,-35.1302,-0.0485,0.0827,59.2700,-242.3700,-0.1815,-1.4016,-0.5745,-0.2804,-0.1740,-0.2450
22,Income Tax expense (Gain),- -,- -,1000000,1200000,1900000,5500000,14600000,-25700000,-7406000,37002000,- -,-17955000,-1890000,35320000,-103447000,-106768000,-90243000,- -,20512000,58297000,57352000,-3064000,-80483000,-192849000,- -,-1702000,-1979000,-3975000
23,Net Income,- -,1100000,1300000,2200000,3600000,9100000,24200000,-53300000,-18959000,62710000,- -,-50371000,-32226000,45717000,171033000,169289000,84058000,47238000,70349000,101461000,7622000,-21768000,-178628000,-917701000,-10244000,-120589000,-88796000,-97418000
24,Net Income ratio,- -,0.0769,0.0376,0.0495,0.0543,0.0560,0.0580,-0.1093,-0.0297,0.0718,- -,-0.0544,-0.0326,0.0384,0.1106,-378.7226,0.0426,38.1876,0.0610,0.0528,2.8230,-217.6800,-0.1251,-1.1582,-0.5745,-0.2765,-0.1702,-0.2354
25,EPS,- -,11655.24,2546.52,3232.13,3386.64,7345.74,13809.99,-19000.98,-2252.69,6170.42,- -,-3819.78,-2350.64,3330.07,12732.62,12634.67,6660.14,-12634.67,5582.76,6856.02,489.72,-1371.20,-11361.41,-57394.71,-8031.08,-300.00,-219.00,-238.77
26,EPS Diluted,- -,11655.24,2448.58,3232.13,3386.64,6366.31,12047.01,-19000.98,-2252.69,5974.53,- -,-3819.78,-2350.64,3330.07,12536.73,12438.79,6562.19,-12634.67,5582.76,6758.08,489.72,-1371.20,-11361.41,-57394.71,-8031.08,-300.00,-219.00,-238.77
27,Weighted Average Shares Outstanding,- -,523,538,705,1063,1246,1751,2807,8557,10025,10798,13217,13350,13382,13408,13394,12685,12361,13208,14897,15427,15546,15659,15988,16396,402100,405000,408000
28,Weighted Average Shares Outstanding Diluted,- -,523,538,705,1063,1834,2452,2807,8557,10441,10798,13217,13350,13640,13687,13635,12820,12361,13208,14928,15429,15546,15659,15988,16396,402100,405000,408000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/318996/000104746907006333/0001047469-07-006333-index.htm,https://www.sec.gov/Archives/edgar/data/318996/000104746908001967/0001047469-08-001967-index.htm,https://www.sec.gov/Archives/edgar/data/318996/000095012909000678/0000950129-09-000678-index.html,https://www.sec.gov/Archives/edgar/data/318996/000095012310018426/0000950123-10-018426-index.html,https://www.sec.gov/Archives/edgar/data/318996/000095012311019146/0000950123-11-019146-index.htm,https://www.sec.gov/Archives/edgar/data/318996/000119312512089368/0001193125-12-089368-index.html,https://www.sec.gov/Archives/edgar/data/318996/000031899613000004/0000318996-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/318996/000031899614000005/0000318996-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/318996/000031899615000004/0000318996-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/318996/000031899616000031/0000318996-16-000031-index.html,https://www.sec.gov/Archives/edgar/data/318996/000031899617000005/0000318996-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/318996/000031899618000007/0000318996-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/318996/000031899619000006/0000318996-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/318996/000031899620000007/0000318996-20-000007-index.html
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,600000,1200000,1300000,4200000,41700000,25300000,23500000,109873000,2098000,9044000,103210000,20425000,94170000,88375000,58503000,92691000,37394000,56628000,35443000,45949000,28306000,27304000,204354000,90505000,73065000,50311000,14426000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61767000,276000,24220000,5203000,5940000,82628000,966000,962000,- -,- -,24707000,4000000,- -,250000
33,Cash and Short-Term Investments,- -,600000,1200000,1300000,4200000,41700000,25300000,23500000,109873000,2098000,9044000,103210000,20425000,94170000,150142000,58779000,116911000,42597000,62568000,118071000,46915000,29268000,27304000,204354000,115212000,77065000,50311000,14676000
34,Net Receivables,- -,3600000,6700000,8100000,20600000,45200000,82400000,92000000,123203000,177016000,141958000,158673000,190518000,211680000,272382000,343408000,377353000,214662000,261818000,421215000,404390000,348966000,289466000,115992000,71327000,69319000,74253000,51091000
35,Inventory,- -,400000,1000000,1300000,2000000,5200000,13300000,12700000,10028000,16547000,10243000,14998000,19069000,17254000,19505000,22849000,34756000,27452000,23516000,33986000,38622000,32335000,30171000,29395000,22269000,20942000,15861000,13565000
36,Other Current Assets,- -,300000,300000,600000,700000,1200000,6600000,4300000,10485000,10489000,14329000,38421000,81011000,34716000,46577000,62829000,30102000,99421000,66118000,27291000,99867000,95584000,86854000,70685000,25762000,19477000,18073000,22260000
37,Total Current Assets,- -,4900000,9200000,11300000,27500000,93300000,127600000,132500000,253589000,206150000,175574000,315302000,311023000,357820000,488606000,487865000,559122000,384132000,414020000,600563000,589794000,506153000,433795000,420426000,234570000,186803000,158498000,101592000
38,PP&E,- -,9600000,17200000,31900000,87200000,208200000,499200000,769600000,760561000,793716000,956505000,689077000,597778000,610341000,1279980000,1595225000,1858307000,1728174000,1832443000,1210297000,1436674000,1365646000,1235258000,880032000,405151000,327314000,275710000,227565000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,333729000,320942000,320922000,320912000,378550000,320992000,346102000,447609000,623434000,626481000,624875000,582739000,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,44900000,205400000,198633000,189875000,322270000,- -,- -,- -,- -,45894000,42345000,41048000,58151000,81867000,60905000,41146000,14500000,5883000,520000,462000,404000,347000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,44900000,205400000,198633000,189875000,322270000,333729000,320942000,320922000,320912000,424444000,363337000,387150000,505760000,705301000,687386000,666021000,597239000,5883000,520000,462000,404000,347000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11000000,11000000,24220000,5203000,5940000,918000,966000,962000,987000,1026000,560000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57100000,20026000,11707000,35238000,6260000,- -,33052000,25848000,17903000
44,Other Non-Current Assets,- -,1400000,1700000,2000000,7000000,18600000,26900000,40600000,33482000,38543000,47653000,38130000,86879000,40161000,-559100000,-659457000,-24220000,-840249000,-865227000,24941000,26742000,36981000,30981000,14171000,17180000,-18510000,-17286000,463000
45,Total Non-Current Assets,- -,11000000,18900000,33900000,94200000,226800000,571000000,1015600000,992676000,1022134000,1326428000,1060936000,1005599000,971424000,1052792000,1371212000,2221644000,1280278000,1478916000,1998557000,2171794000,2081317000,1899703000,907372000,423411000,342318000,284676000,246278000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,15900000,28100000,45200000,121700000,320100000,698600000,1148100000,1246265000,1228284000,1502002000,1376238000,1316622000,1329244000,1541398000,1859077000,2780766000,1664410000,1892936000,2599120000,2761588000,2587470000,2333498000,1327798000,657981000,529121000,443174000,347870000
48,Accounts Payable,- -,2100000,3100000,3900000,11100000,15400000,20100000,18500000,35801000,42544000,28818000,45478000,14464000,14633000,15294000,35159000,46185000,46086000,56310000,78837000,104073000,58826000,77631000,30740000,10357000,13697000,13587000,8700000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7008000,24320000,6354000,12639000,15714000,12379000,25704000,10152000,3979000,1694000,393000,3573000,- -,3150000,2500000,2500000,2500000,5421000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36008000,62709000,37064000,25892000,24833000,10748000,12151000,8911000,5115000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,2000000,5300000,5300000,13200000,17700000,27900000,54700000,61823000,73009000,73049000,93751000,124285000,161526000,192100000,187259000,201484000,133531000,221346000,208972000,200630000,169945000,164227000,120593000,103938000,87579000,87377000,88213000
53,Total Current Liabilities,- -,4100000,8400000,9200000,24300000,33100000,48000000,73200000,97624000,115553000,108875000,163549000,145103000,188798000,223108000,234797000,273373000,189769000,281635000,289503000,305096000,232344000,241858000,154483000,116795000,103776000,103464000,102334000
54,Long-Term Debt,- -,4400000,9500000,13700000,45400000,172800000,397900000,683700000,651945000,485961000,486557000,521445000,473870000,396000000,4000000,475000000,613828000,1018000,425000000,773573000,848110000,763981000,748426000,961700000,245477000,243103000,241079000,240007000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,722000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,100000,1000000,2200000,4200000,35800000,92900000,101400000,99707000,127400000,161265000,105039000,107760000,96572000,- -,- -,- -,- -,- -,261072000,259453000,284453000,228394000,14252000,35000,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,-100000,- -,4900000,3900000,4900000,1700000,14102000,22492000,48937000,59396000,84223000,93817000,- -,19531000,17495000,19717000,27958000,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,4500000,10400000,15900000,54500000,212500000,495700000,786800000,765754000,635853000,696759000,686602000,665853000,586389000,4000000,494531000,631323000,20735000,452958000,1034645000,1107563000,1048434000,976820000,975952000,245512000,243103000,241079000,240007000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1322290000,2118811000,- -,1495376000,2064259000,2159906000,2310227000,2152467000,2010397000,2008977000,544081000,539765000,535269000,536796000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14221000,11206000,7177000,14781000,14080000,16114000,23149000,14313000,6100000,2096000,393000,- -,- -,- -,- -,- -,- -,5092000
61,Total Liabilities,- -,8600000,18800000,25100000,78800000,245600000,543700000,860000000,863378000,751406000,805634000,850151000,810956000,775187000,1541398000,1859077000,357950000,1664410000,1892936000,1414764000,1507760000,1336377000,1275435000,1187508000,415364000,400438000,397654000,399123000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,8300000,9723000,10144000,12876000,13098000,13121000,13175000,13212000,13114000,12131000,12399000,14166000,15073000,15108000,15233000,15356000,15754000,201000,202000,204000,206000
64,Retained Earnings,- -,1100000,2100000,4200000,7800000,16900000,41100000,-12200000,-31124000,31586000,65356000,-152666000,-174915000,-129198000,41835000,209221000,293279000,137158000,210653000,312114000,319736000,297968000,119340000,-798361000,-10244000,-130833000,-219629000,-317047000
65,Other Comprehensive Income/Loss,- -,-400000,-1800000,-4400000,-8900000,-19100000,-48400000,-102400000,-159876000,-220959000,-45431000,-36118000,-36421000,-36627000,-36284000,-37981000,-46550000,-50763000,-51334000,-58231000,-6148000,-15414000,-37280000,-43740000,239000,- -,- -,- -
66,Other Total Stockholders Equity,- -,6600000,9000000,20300000,44000000,76700000,162200000,394400000,564164000,656107000,- -,701773000,703881000,706707000,711748000,704644000,601872000,608223000,775601000,915400000,925132000,953306000,960647000,966637000,252421000,259314000,264945000,265588000
67,Total Stockholders Equity,- -,7300000,9300000,20100000,42900000,74500000,154900000,288100000,382887000,476878000,696368000,526087000,505666000,554057000,730511000,888998000,860732000,707017000,949086000,1184356000,1253828000,1251093000,1058063000,140290000,242617000,128683000,45520000,-51253000
68,Total Liabilities And Stockholders Equity,- -,15900000,28100000,45200000,121700000,320100000,698600000,1148100000,1246265000,1228284000,1502002000,1376238000,1316622000,1329244000,2271909000,2748075000,1218682000,2371427000,2842022000,2599120000,2761588000,2587470000,2333498000,1327798000,657981000,529121000,443174000,347870000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-730511000,-888998000,1562084000,-707017000,-949086000,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,15900000,28100000,45200000,121700000,320100000,698600000,1148100000,1246265000,1228284000,1502002000,1376238000,1316622000,1329244000,1541398000,1859077000,2780766000,1664410000,1892936000,2599120000,2761588000,2587470000,2333498000,1327798000,657981000,529121000,443174000,347870000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/318996/000104746907006333/0001047469-07-006333-index.htm,https://www.sec.gov/Archives/edgar/data/318996/000104746908001967/0001047469-08-001967-index.htm,https://www.sec.gov/Archives/edgar/data/318996/000095012909000678/0000950129-09-000678-index.html,https://www.sec.gov/Archives/edgar/data/318996/000095012310018426/0000950123-10-018426-index.html,https://www.sec.gov/Archives/edgar/data/318996/000095012311019146/0000950123-11-019146-index.htm,https://www.sec.gov/Archives/edgar/data/318996/000119312512089368/0001193125-12-089368-index.html,https://www.sec.gov/Archives/edgar/data/318996/000031899613000004/0000318996-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/318996/000031899614000005/0000318996-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/318996/000031899615000004/0000318996-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/318996/000031899616000031/0000318996-16-000031-index.html,https://www.sec.gov/Archives/edgar/data/318996/000031899617000005/0000318996-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/318996/000031899618000007/0000318996-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/318996/000031899619000006/0000318996-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/318996/000031899620000007/0000318996-20-000007-index.html
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,1100000,1300000,2200000,3600000,9100000,24200000,-53300000,-18959000,62710000,38146000,-50371000,-32226000,45717000,171033000,169289000,84058000,47238000,70349000,101461000,7622000,-21768000,-178628000,-917701000,-10244000,-120589000,-88796000,-97418000
74,Depreciation and Amortization,- -,400000,1400000,2700000,4700000,11400000,33000000,67300000,76891000,79464000,81270000,- -,105432000,113186000,127472000,131303000,170774000,169562000,143805000,169604000,213783000,225297000,200738000,180271000,131296000,84542000,82639000,56969000
75,Deferred Income Tax,- -,- -,- -,1400000,1600000,3800000,7300000,-25700000,-1818000,34698000,23160000,-41046000,-10874000,13723000,6757000,24613000,29747000,-41257000,-12370000,85792000,35998000,-11929000,-82922000,-189327000,787000,-35000,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24233000,6381000,12111000,15609000,13306000,13785000,10949000,10173000,5740000,7591000,5910000,684000
77,Change in Working Capital,- -,-1800000,-1400000,-2700000,-2600000,-22000000,-31300000,-8100000,-20736000,-35162000,32328000,54635000,-44154000,10628000,-45056000,-87334000,-10201000,43970000,73251000,-170776000,10987000,20465000,77033000,90740000,59935000,1843000,7094000,15111000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19839000,- -,- -,- -,- -,-34906000,168824000,-26448000,-152771000,-15409000,54003000,54024000,151489000,41574000,669000,-5220000,22250000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,-1275000,-5015000,11000,42749000,8871000,-16278000,-19886000,-25684000,-6048000,1634000,1297000,385000,8289000,42865000,10366000,19179000,101908000,6427000,6392000,-4187000
82,Other Non-Cash Items,- -,200000,500000,-300000,-200000,-100000,1100000,6400000,1673000,1007000,3812000,161375000,51623000,35584000,-1482000,12048000,68553000,-41057000,-157341000,-13385000,87964000,2793000,136998000,803458000,-325963000,-24719000,-8692000,-4357000
83,Cash Provided by Operating Activities,- -,-100000,1800000,3300000,7100000,2200000,34300000,-13400000,37051000,142717000,178716000,124593000,69801000,218838000,258724000,249919000,367164000,184837000,129805000,188305000,369660000,228643000,164168000,-22386000,-138449000,-51367000,-1845000,-29011000
84,CAPEX,- -,-1000000,-5600000,-7200000,-7700000,-24700000,-290500000,-324000000,-38173000,-82120000,-93697000,-98448000,-52734000,-118146000,-195830000,-214883000,-254548000,-128422000,-180310000,-359097000,-447160000,-164137000,-161639000,-40808000,-8481000,-16079000,-37535000,-18302000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3145000,-19310000,-7228000,-22153000,- -,- -,-157955000,-63457000,12007000,-86688000,-187058000,-676000,-14600000,-5100000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-300000,- -,- -,- -,- -,-10000000,- -,- -,- -,- -,- -,- -,- -,-83769000,-121613000,-19306000,- -,- -,- -,-676000,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,300000,- -,- -,- -,- -,- -,- -,- -,- -,5757000,22294000,183177000,276000,199000,165000,11965000,2000000,600000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-6100000,-57400000,700000,29300000,407000,1915000,4258000,-76818000,10806000,79171000,11658000,8427000,-212119000,-122842000,77892000,-344997000,-429357000,-146881000,-141740000,-19403000,6544000,16913000,-22132000,-3739000
89,Cash Used for Investing Activites,- -,-1300000,-5600000,-7200000,-13500000,-82100000,-299800000,-294700000,-37766000,-83350000,-108749000,-84046000,-64081000,-33218000,-245647000,-302847000,-329074000,-110636000,-8631000,-520090000,-428709000,-160881000,-146840000,-19403000,6544000,16913000,-22132000,-3739000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-89489000,- -,- -,- -,- -,-49532000,-128873000,-213276000,-548443000,-406959000,-300393000,-278573000,-201575000,-313424000,-2500000,-2500000,-2035000
91,Common Stock Issued,- -,- -,- -,- -,- -,1500000,5300000,330500000,9571000,15464000,3219000,- -,1586000,- -,- -,13444000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-9700000,- -,- -,- -,- -,- -,- -,- -,-1180000,-30454000,-139358000,-488000,-3098000,-5681000,-7519000,-3196000,-2245000,-362000,-167000,-697000,-280000,-39000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-100000,4300000,4000000,9400000,115900000,253400000,-24200000,77539000,-182606000,-20534000,142756000,-89863000,-111213000,-17454000,40250000,180920000,1886000,116169000,860208000,488424000,218097000,258760000,420666000,332350000,20357000,3000,-811000
95,Cash Used/Provided by Financing Activities,- -,-100000,4300000,4000000,9400000,117400000,249000000,306300000,87110000,-167142000,-17315000,53267000,-88277000,-111213000,-18634000,23240000,-7970000,-127475000,-100205000,306084000,73946000,-85492000,-22058000,218729000,18759000,17160000,-2777000,-2885000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-603000,404000,-233000,-662000,-238000,-184000,4068000,-2023000,-1735000,4516000,-4391000,87000,3728000,110000,-20000,-146000,- -,- -
97,Net Change In Cash,- -,-100000,4300000,4000000,9400000,117400000,249000000,-1800000,86395000,-107775000,52049000,94218000,-82790000,73745000,-5795000,-29872000,34188000,-55297000,19234000,-21185000,10506000,-17643000,-1002000,177050000,-113166000,-17440000,-26754000,-35635000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,23500000,109873000,2098000,54147000,103210000,20425000,94170000,88375000,58503000,92691000,37394000,56628000,35443000,45949000,28306000,27304000,204354000,91188000,73065000,50311000,14676000
99,Cash at the Beginning of Period,- -,2100000,600000,1200000,1300000,4200000,41700000,25300000,23478000,109873000,2098000,8992000,103215000,20425000,94170000,88375000,58503000,92691000,37394000,56628000,35443000,45949000,28306000,27304000,204354000,90505000,77065000,50311000
100,Free Cash Flow,- -,-1100000,-3800000,-3900000,-600000,-22500000,-256200000,-337400000,-1122000,60597000,85019000,26145000,17067000,100692000,62894000,35036000,112616000,56415000,-50505000,-170792000,-77500000,64506000,2529000,-63194000,-146930000,-67446000,-39380000,-47313000
