,https://roic.ai/company/UNFI,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,72000000,122100000,154100000,174274000,168361000,190227000,238600000,271972000,322345000,386000000,416000000,541413000,551000000,582029000,695000000,761000000,840000000,917000000,1018558000,1055242000,1202896000,1295542000,3076022000,3541487000,3593000000
11,COGS and Expenses,403200000,695800000,826300000,902416000,986401000,1135004000,1338304000,1611468000,1986868000,2354000000,2661000000,3273378000,3345000000,3642237000,4400000000,5081000000,5879000000,6584000000,7943021000,8246177000,9048446000,9999458000,21678080000,26180962000,26604000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,450000,247000,1226000,715000,632000,508000,356000,1115000,360000,446000,774000,2196000,1000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9914000,5845000,5000000,4734000,5897000,7753000,14498000,16259000,17114000,16471000,163194000,178346000,175000000
14,Depreciation and Amortization,4400000,6100000,9200000,7601000,7908000,8206000,10330000,11660000,13573000,17099000,18376000,22544000,27029000,27483000,35296000,39560000,42398000,48758000,63800000,71006000,86051000,87631000,246825000,281535000,285000000
15,EBITDA,19200000,30800000,32800000,5568000,30172000,36888000,43737000,64096000,80625000,86218000,100438000,99740000,136941000,145330000,167058000,194735000,222557000,263437000,308067000,295487000,317588000,316847000,40420000,95296000,643000000
16,EBITDA ratio,0.0455,0.0423,0.0383,0.0061,0.0297,0.0314,0.0317,0.0384,0.0391,0.0354,0.0365,0.0296,0.0396,0.0387,0.0369,0.0372,0.0367,0.0388,0.0376,0.0349,0.0342,0.0310,0.0019,0.0036,0.0239
17,Operating Income,18500000,33100000,30700000,6272000,29632000,39965000,40816000,58484000,72530000,79928000,93485000,92479000,109921000,114902000,129681000,155158000,185494000,210788000,241957000,224109000,226025000,227225000,-291012000,-195615000,294000000
18,Operating Income ratio,0.0439,0.0454,0.0358,0.0069,0.0291,0.0340,0.0296,0.0350,0.0352,0.0328,0.0339,0.0275,0.0318,0.0306,0.0286,0.0296,0.0306,0.0310,0.0296,0.0265,0.0244,0.0222,-0.0136,-0.0074,0.0109
19,Total Other Income Expenses (Gains),-2800000,-8400000,-7100000,-8305000,-7368000,-11283000,-7409000,-6048000,-5478000,-10928000,-11485000,-15283000,-9921000,-2900000,-3681000,-4158000,-11494000,-3788000,-12188000,-15887000,-11602000,-14480000,-144280000,-148839000,-111000000
20,Income Before Tax,15700000,24700000,23600000,-2033000,22264000,28682000,33407000,52436000,67052000,69000000,82000000,77196000,100000000,112002000,126000000,151000000,174000000,207000000,229769000,208222000,214423000,212745000,-435292000,-344454000,183000000
21,Income Before Tax Ratio,0.0372,0.0339,0.0275,-0.0022,0.0219,0.0244,0.0242,0.0314,0.0326,0.0283,0.0298,0.0229,0.0289,0.0298,0.0278,0.0288,0.0287,0.0305,0.0281,0.0246,0.0231,0.0208,-0.0204,-0.0130,0.0068
22,Income Tax expense (Gain),6400000,11600000,10100000,-802000,8906000,11473000,13187000,20450000,25480000,26119000,32062000,28717000,40998000,43681000,49762000,59441000,66262000,81926000,91035000,82456000,84268000,47075000,-84609000,-90445000,34000000
23,Net Income,8400000,13100000,13500000,-1231000,13358000,17209000,20220000,31986000,41572000,43000000,50000000,48479000,59000000,68321000,77000000,91000000,108000000,125000000,138734000,125766000,130155000,165670000,-284990000,-274140000,149000000
24,Net Income ratio,0.0199,0.0180,0.0158,-0.0014,0.0131,0.0146,0.0147,0.0192,0.0202,0.0177,0.0182,0.0144,0.0171,0.0182,0.0170,0.0174,0.0178,0.0184,0.0169,0.0148,0.0140,0.0162,-0.0133,-0.0103,0.0055
25,EPS,0.35,0.38,0.37,-0.04,0.36,0.46,0.53,0.81,1.02,1.04,1.18,1.14,1.38,1.58,1.62,1.87,2.19,2.53,2.77,2.50,2.57,3.28,-5.56,-5.10,2.65
26,EPS Diluted,0.35,0.37,0.36,-0.04,0.35,0.45,0.51,0.78,1.00,1.02,1.17,1.13,1.38,1.57,1.60,1.86,2.18,2.52,2.76,2.50,2.56,3.26,-5.56,-5.10,2.48
27,Weighted Average Shares Outstanding,23395174,34934000,36392000,36528000,36964000,37866000,38470000,39471000,40639000,41682000,42445000,42690000,42849000,43184000,47459000,48766000,49217000,49602000,50021000,50313000,50570000,50530000,51245000,53778000,56100000
28,Weighted Average Shares Outstanding Diluted,23395174,35596000,37074000,36528000,37636000,38668000,39454000,41025000,41607000,42304000,42786000,42855000,42993000,43425000,47815000,49100000,49509000,49888000,50267000,50399000,50775000,50837000,51537000,53778000,60000000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1020859/000092701697002768/0000927016-97-002768-index.html,https://www.sec.gov/Archives/edgar/data/1020859/000092701698003739/0000927016-98-003739-index.html,https://www.sec.gov/Archives/edgar/data/1020859/000100547799004921/0001005477-99-004921-index.html,https://www.sec.gov/Archives/edgar/data/1020859/000100547700007422/0001005477-00-007422-index.html,https://www.sec.gov/Archives/edgar/data/1020859/000100547701501457/0001005477-01-501457-index.html,https://www.sec.gov/Archives/edgar/data/1020859/000117152002000116/0001171520-02-000116-index.html,https://www.sec.gov/Archives/edgar/data/1020859/000104746903033901/0001047469-03-033901-index.html,https://www.sec.gov/Archives/edgar/data/1020859/000104746904031159/0001047469-04-031159-index.htm,https://www.sec.gov/Archives/edgar/data/1020859/000110465905048369/0001104659-05-048369-index.htm,https://www.sec.gov/Archives/edgar/data/1020859/000110465906066124/0001104659-06-066124-index.htm,https://www.sec.gov/Archives/edgar/data/1020859/000110465907071415/0001104659-07-071415-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1020859/000104746909008652/0001047469-09-008652-index.htm,https://www.sec.gov/Archives/edgar/data/1020859/000104746910008276/0001047469-10-008276-index.htm,https://www.sec.gov/Archives/edgar/data/1020859/000104746911008270/0001047469-11-008270-index.htm,https://www.sec.gov/Archives/edgar/data/1020859/000104746912009112/0001047469-12-009112-index.htm,https://www.sec.gov/Archives/edgar/data/1020859/000102085913000178/0001020859-13-000178-index.htm,https://www.sec.gov/Archives/edgar/data/1020859/000102085914000183/0001020859-14-000183-index.htm,https://www.sec.gov/Archives/edgar/data/1020859/000102085915000165/0001020859-15-000165-index.htm,https://www.sec.gov/Archives/edgar/data/1020859/000102085916000356/0001020859-16-000356-index.htm,https://www.sec.gov/Archives/edgar/data/1020859/000102085917000109/0001020859-17-000109-index.htm,https://www.sec.gov/Archives/edgar/data/1020859/000102085918000095/0001020859-18-000095-index.htm,https://www.sec.gov/Archives/edgar/data/1020859/000102085919000116/0001020859-19-000116-index.htm,https://www.sec.gov/Archives/edgar/data/1020859/000102085920000064/0001020859-20-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1020859/000102085921000083/0001020859-21-000083-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1000000,1400000,2800000,1943000,6393000,11184000,3645000,13633000,12615000,20100000,17000000,25333000,10300000,13802000,16900000,16100000,11100000,16100000,17380000,18593000,15414000,23315000,42350000,46993000,41000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1000000,1400000,2800000,1943000,6393000,11184000,3645000,13633000,12615000,20100000,17000000,25333000,10300000,13802000,16900000,16100000,11100000,16100000,17380000,18593000,15414000,23315000,42350000,46993000,41000000
34,Net Receivables,30900000,48800000,61700000,69930000,82244000,84816000,90696000,106950000,137349000,152900000,162200000,180475000,181300000,220208000,257100000,305200000,339600000,441500000,474494000,489708000,525636000,579702000,1065699000,1120199000,1103000000
35,Inventory,45000000,91100000,90700000,104486000,110653000,131932000,158263000,196171000,235700000,257300000,312400000,394364000,366600000,439702000,514500000,578600000,702200000,834700000,975194000,1021663000,1031690000,1135775000,2089416000,2280767000,2247000000
36,Other Current Assets,3600000,4900000,11400000,12836000,9273000,9163000,12865000,14617000,17230000,23400000,23600000,27528000,34400000,42353000,56000000,47000000,62300000,77600000,79309000,81226000,89930000,50122000,370456000,256958000,159000000
37,Total Current Assets,80500000,146200000,166600000,189195000,208563000,237095000,265469000,331371000,402894000,453700000,515200000,627700000,592600000,716065000,844500000,946900000,1115200000,1369900000,1546377000,1611190000,1662670000,1788914000,3567921000,3704917000,3550000000
38,PP&E,20400000,44400000,43800000,52625000,62186000,82702000,101238000,114140000,167909000,163200000,185100000,234115000,242100000,279255000,285200000,278500000,338600000,484000000,572452000,616605000,602090000,571146000,1639259000,2684024000,2848000000
39,Goodwill,- -,- -,- -,- -,- -,31399000,57400000,- -,- -,78000000,79900000,170609000,164300000,186925000,191900000,193700000,201900000,274500000,266640000,366168000,371259000,362495000,442256000,19607000,20000000
40,Intangible Assets,8200000,19700000,26600000,26805000,27680000,- -,1014000,57396000,74115000,300000,8600000,33689000,38400000,50201000,58300000,52500000,49500000,135000000,125830000,222314000,208289000,193209000,1041058000,969600000,891000000
41,Intangible Assets,8200000,19700000,26600000,26805000,27680000,31399000,58414000,57396000,74115000,78300000,88500000,204298000,202700000,237126000,250200000,246200000,251400000,409500000,392470000,588482000,579548000,555704000,1483314000,989207000,911000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,276000,800000,- -,- -,- -,9700000,9600000,- -,12300000,- -,38600000,36300000,41500000,51000000,65644000,95220000,98833000,44384000,1042000,107624000,57000000
44,Other Non-Current Assets,1900000,1900000,900000,1609000,1739000,2461000,4978000,5860000,6340000,-300000,2500000,18370000,8900000,18353000,-17500000,-14000000,-16800000,-25500000,-35949000,-59342000,-56578000,4324000,489429000,101200000,159000000
45,Total Non-Current Assets,30500000,66000000,71300000,81039000,91881000,117362000,164630000,177396000,248364000,250900000,285700000,456783000,466000000,534734000,556500000,547000000,614700000,919000000,994617000,1240965000,1223893000,1175558000,3613044000,3882055000,3975000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,111000000,212200000,237900000,270234000,300444000,354457000,430099000,508767000,651258000,704600000,800900000,1084483000,1058600000,1250799000,1401000000,1493900000,1729900000,2288900000,2540994000,2852155000,2886563000,2964472000,7180965000,7586972000,7525000000
48,Accounts Payable,18000000,32000000,33400000,39393000,53169000,52789000,67187000,80875000,119177000,102100000,134600000,160418000,155200000,192331000,217100000,242200000,283900000,377500000,390134000,445430000,534616000,517125000,1476857000,1633448000,1644000000
49,Short-Term Debt,9000000,40400000,45700000,71813000,88801000,108804000,101532000,112224000,129417000,130438000,126934000,293077000,205020000,247603000,162447000,350000,1019000,990000,11613000,11854000,12128000,12441000,112103000,214400000,255000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,10911000,9474000,- -,18074000,- -,22023000,25353000,23822000,32518000,32333000,35228000,40635000,44384000,31087000,- -,- -
52,Other Current Liabilities,4600000,8200000,13700000,12178000,13242000,23805000,32451000,29047000,34915000,27351000,27592000,63308000,45306000,81941000,61830000,66297000,89559000,104492000,93860000,127210000,116608000,125274000,488900000,522226000,588000000
53,Total Current Liabilities,31600000,80600000,92800000,123384000,155212000,185398000,201170000,222146000,283509000,270800000,298600000,516803000,423600000,521875000,463400000,334200000,398300000,515500000,527940000,619722000,703987000,699224000,2108947000,2370074000,2487000000
54,Long-Term Debt,16600000,25900000,25800000,28529000,7805000,7677000,38507000,43978000,64852000,59700000,65100000,58485000,53900000,48433000,1000000,600000,163700000,448200000,535942000,588258000,373475000,347709000,2927258000,3444287000,3172000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,700000,1400000,700000,367000,- -,- -,2247000,7730000,6904000,- -,- -,9058000,- -,20598000,38551000,36260000,41474000,50995000,65644000,95220000,98833000,44384000,1042000,- -,- -
57,Other Non-Current Liabilities,-100000,-100000,- -,- -,1484000,995000,612000,137000,474000,10600000,10400000,20087000,36600000,29446000,28349000,144140000,27326000,30805000,30380000,29451000,28347000,27200000,630047000,630353000,352000000
58,Total Non-Current Liabilities,17200000,27200000,26500000,28896000,9289000,8672000,41366000,51845000,72230000,70300000,75500000,87630000,90500000,98477000,67900000,181000000,232500000,530000000,631966000,712929000,500655000,419293000,3558347000,4074640000,3524000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,612000,137000,474000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,108208000,1148315000,1132000000
61,Total Liabilities,48800000,107800000,119300000,152280000,164501000,194070000,242536000,273991000,355739000,341100000,374100000,604433000,514100000,620352000,531300000,515200000,630800000,1045500000,1159906000,1332651000,1204642000,1118517000,5667294000,6444714000,6011000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,200000,183000,187000,191000,195000,401000,413000,400000,400000,431000,400000,435000,500000,500000,500000,500000,501000,504000,506000,510000,535000,553000,1000000
64,Retained Earnings,25000000,39800000,53200000,52012000,65370000,82579000,102799000,134785000,176357000,219600000,269800000,318266000,377500000,443861000,520500000,611800000,719700000,845200000,979446000,1105212000,1235367000,1400232000,1115519000,837633000,978000000
65,Other Comprehensive Income/Loss,-11900000,-23600000,-28700000,-33622000,-33622000,-44201000,-1499000,-1528000,-1605000,-333000,-804000,-1793000,-1623000,-1155000,4862000,1896000,-1092000,-5152000,-19443000,-22379000,-13963000,-14179000,-108953000,-237946000,-39000000
66,Other Total Stockholders Equity,49100000,88200000,93900000,99381000,104008000,121818000,86068000,101118000,120354000,143807000,157399000,- -,168195000,187306000,343805000,364520000,380038000,402816000,425029000,436167000,460011000,459392000,506570000,544505000,575000000
67,Total Stockholders Equity,62200000,104400000,118600000,117954000,135943000,160387000,187563000,234776000,295519000,363474000,426795000,480050000,544472000,630447000,869667000,978716000,1099146000,1243364000,1385533000,1519504000,1681921000,1845955000,1513671000,1144745000,1515000000
68,Total Liabilities And Stockholders Equity,111000000,212200000,237900000,270234000,300444000,354457000,430099000,508767000,651258000,704574000,800895000,1084483000,1058572000,1250799000,1400967000,1493916000,1729946000,2288864000,2545439000,2852155000,2886563000,2964472000,7180965000,7589459000,7526000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,26000,5000,- -,28000,- -,33000,-16000,-46000,36000,-4445000,- -,- -,- -,- -,-2487000,-1000000
70,Total Liabilities & Equity,111000000,212200000,237900000,270234000,300444000,354457000,430099000,508767000,651258000,704600000,800900000,1084483000,1058600000,1250799000,1401000000,1493900000,1729900000,2288900000,2540994000,2852155000,2886563000,2964472000,7180965000,7586972000,7525000000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1020859/000092701697002768/0000927016-97-002768-index.html,https://www.sec.gov/Archives/edgar/data/1020859/000092701698003739/0000927016-98-003739-index.html,https://www.sec.gov/Archives/edgar/data/1020859/000100547799004921/0001005477-99-004921-index.html,https://www.sec.gov/Archives/edgar/data/1020859/000100547700007422/0001005477-00-007422-index.html,https://www.sec.gov/Archives/edgar/data/1020859/000100547701501457/0001005477-01-501457-index.html,https://www.sec.gov/Archives/edgar/data/1020859/000117152002000116/0001171520-02-000116-index.html,https://www.sec.gov/Archives/edgar/data/1020859/000104746903033901/0001047469-03-033901-index.html,https://www.sec.gov/Archives/edgar/data/1020859/000104746904031159/0001047469-04-031159-index.htm,https://www.sec.gov/Archives/edgar/data/1020859/000110465905048369/0001104659-05-048369-index.htm,https://www.sec.gov/Archives/edgar/data/1020859/000110465906066124/0001104659-06-066124-index.htm,https://www.sec.gov/Archives/edgar/data/1020859/000110465907071415/0001104659-07-071415-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1020859/000104746909008652/0001047469-09-008652-index.htm,https://www.sec.gov/Archives/edgar/data/1020859/000104746910008276/0001047469-10-008276-index.htm,https://www.sec.gov/Archives/edgar/data/1020859/000104746911008270/0001047469-11-008270-index.htm,https://www.sec.gov/Archives/edgar/data/1020859/000104746912009112/0001047469-12-009112-index.htm,https://www.sec.gov/Archives/edgar/data/1020859/000102085913000178/0001020859-13-000178-index.htm,https://www.sec.gov/Archives/edgar/data/1020859/000102085914000183/0001020859-14-000183-index.htm,https://www.sec.gov/Archives/edgar/data/1020859/000102085915000165/0001020859-15-000165-index.htm,https://www.sec.gov/Archives/edgar/data/1020859/000102085916000356/0001020859-16-000356-index.htm,https://www.sec.gov/Archives/edgar/data/1020859/000102085917000109/0001020859-17-000109-index.htm,https://www.sec.gov/Archives/edgar/data/1020859/000102085918000095/0001020859-18-000095-index.htm,https://www.sec.gov/Archives/edgar/data/1020859/000102085919000116/0001020859-19-000116-index.htm,https://www.sec.gov/Archives/edgar/data/1020859/000102085920000064/0001020859-20-000064-index.htm,https://www.sec.gov/Archives/edgar/data/1020859/000102085921000083/0001020859-21-000083-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,8400000,13100000,13500000,-1231000,13358000,17209000,20220000,31986000,41572000,43000000,50000000,48479000,59000000,68321000,77000000,91000000,108000000,125000000,138734000,125766000,130155000,165670000,-284990000,-274140000,149000000
74,Depreciation and Amortization,4400000,6100000,9200000,7601000,7908000,8206000,10330000,11660000,13573000,17099000,18376000,22544000,27029000,27483000,35296000,39560000,42398000,48758000,63800000,71006000,86051000,87631000,246825000,281535000,285000000
75,Deferred Income Tax,- -,200000,-900000,-930000,-1529000,-1099000,1667000,3724000,1763000,-1355000,1707000,2257000,239000,5061000,15520000,-6115000,6780000,881000,15339000,12480000,-1891000,-14819000,-60798000,-70933000,-5000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5504000,8057000,9159000,11372000,15104000,14608000,13981000,15308000,25675000,25783000,25551000,24643000,45000000
77,Change in Working Capital,-15400000,16700000,8200000,-7989000,-12460000,-1654000,12602000,44926000,10160000,63515000,33700000,-105703000,58103000,25190000,186910000,231600000,104200000,137500000,164037000,-26969000,-32785000,131007000,369284000,-124131000,-271843000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3950000,-21599000,-39791000,-51193000,-37295000,-70717000,-42257000,29417000,-38757000,-67283000,52735000,-123970000,- -
79,Inventory,-6400000,-14100000,-500000,-13761000,-5719000,-21091000,-3861000,-37801000,-34645000,-21242000,-52975000,-58112000,30398000,-55803000,-66283000,-62822000,-123904000,-97819000,-153701000,2113000,-6929000,-108795000,177094000,-111267000,14000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13836000,19620000,9583000,16095000,34974000,28205000,16001000,14379000,90217000,4395000,-40149000,107050000,15000000
81,Other Working Capital,48900000,65600000,73800000,65811000,53351000,51697000,64299000,109225000,119385000,182900000,216600000,110897000,169000000,194190000,381100000,612700000,716900000,854400000,1018437000,991468000,958683000,1089690000,1458974000,1334843000,1063000000
82,Other Non-Cash Items,3100000,-31600000,-21700000,-9030000,14709000,-11639000,-12947000,-83330000,-28722000,-97071000,-68273000,41552000,-41552000,-67980000,-274041000,-301173000,-232151000,-264328000,-347027000,99018000,73571000,-285800000,-11342000,619562000,411843000
83,Cash Provided by Operating Activities,500000,4500000,8300000,-11579000,21986000,11023000,31872000,8966000,38346000,25188000,35510000,9129000,108323000,66132000,49844000,66244000,44331000,62419000,48864000,296609000,280776000,109472000,284530000,456536000,614000000
84,CAPEX,-3400000,-35200000,-15500000,-17070000,-18284000,-27805000,-63748000,-23851000,-65951000,-19290000,-46804000,-51083000,-32353000,-55109000,-40778000,-31492000,-66554000,-147303000,-129134000,-41375000,-56112000,-44608000,-207817000,-172568000,-310000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-6000,-16615000,-3286000,-9303000,-107812000,-4495000,-63742000,-22061000,-3297000,-8135000,-211574000,-8036000,-306724000,-9207000,-39000,-2292435000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3000000,- -,-2000000,-3397000,-110000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9192000,756000,- -,- -,- -
88,Other Investing Activites,100000,500000,8600000,57000,46000,33000,257000,244000,242000,224000,4442000,- -,-32255000,-54929000,-40682000,-31160000,-64186000,-141219000,-131033000,-44191000,-57944000,-44325000,33758000,-1466000,-237000000
89,Cash Used for Investing Activites,-3300000,-34700000,-6900000,-17013000,-18238000,-27772000,-63491000,-23613000,-82324000,-22352000,-51665000,-158895000,-36750000,-118671000,-62743000,-34457000,-72321000,-352793000,-142069000,-350915000,-59959000,-47005000,-2258787000,-1466000,-237000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-95756000,-5480000,-5033000,-47447000,-594460000,-569564000,-790658000,-657736000,-430239000,-581799000,-3881588000,-4748200000,-4529000000
91,Common Stock Issued,35500000,17200000,600000,440000,4468000,2822000,5411000,9043000,10991000,18679000,7127000,920000,- -,- -,138301000,- -,- -,- -,- -,- -,- -,- -,23975000,14276000,1000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6092000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24231000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-32700000,13400000,-500000,27250000,-3766000,18718000,18669000,15592000,31969000,-7984000,5984000,157169000,9119000,61517000,-116932000,14617000,616803000,864921000,885085000,714082000,205678000,552039000,5853965000,4280853000,4144000000
95,Cash Used/Provided by Financing Activities,2800000,30600000,100000,27690000,702000,21540000,24080000,24635000,42960000,4603000,13111000,158089000,-86637000,56037000,16336000,-32830000,22343000,295357000,94427000,56346000,-224561000,-53991000,1996352000,-453071000,-384000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35000,-372000,298000,636000,22000,42000,-827000,565000,-575000,-143000,-154000,1000000
97,Net Change In Cash,2800000,30600000,1400000,-902000,4450000,4791000,-7539000,9988000,-1018000,7439000,-3044000,8323000,-15064000,3533000,3065000,-745000,-5011000,5005000,1264000,1213000,-3179000,7901000,21952000,1845000,-6000000
98,Cash at the End of Period,- -,- -,2800000,1943000,6393000,11184000,3645000,13633000,12615000,20054000,17010000,25333000,10269000,13802000,16867000,16122000,11111000,16116000,17380000,18593000,15414000,23315000,45267000,47112000,41000000
99,Cash at the Beginning of Period,100000,1000000,1400000,2845000,1943000,6393000,11184000,3645000,13633000,12615000,20054000,17010000,25333000,10269000,13802000,16867000,16122000,11111000,16116000,17380000,18593000,15414000,23315000,45267000,47000000
100,Free Cash Flow,-2900000,-30700000,-7200000,-28649000,3702000,-16782000,-31876000,-14885000,-27605000,5898000,-11294000,-41954000,75970000,11023000,9066000,34752000,-22223000,-84884000,-80270000,255234000,224664000,64864000,76713000,283968000,304000000
