,https://roic.ai/company/JLL,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,1.23,1.49,1.25,-4.20,-2.30,-0.51,0.85,1.12,1.96,3.12,5.24,7.64,2.44,-0.11,3.48,3.70,4.63,5.98,8.52,9.65,6.98,5.55,10.54,10.87,7.70,18.46
27,Weighted Average Shares Outstanding,16200000,16200000,16215478,22607350,24851823,30016122,30486842,30951563,30887868,31383828,31872112,32021380,33098228,38543087,42295526,43170383,43848737,44258878,44684482,44940042,45154000,45316000,45517000,48647000,51683000,50851000
28,Weighted Average Shares Outstanding Diluted,16200000,16329613,16387721,22607350,24851823,30016122,31854397,32226306,32845281,33109261,33447939,33577927,34205120,38543087,44084154,44367359,44799437,45072120,45260563,45414898,45528000,45758000,45931000,49154000,52282000,51944000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1037976/000089262698000136/0000892626-98-000136-index.html,- -,https://www.sec.gov/Archives/edgar/data/1037976/000089262600000144/0000892626-00-000144-index.html,https://www.sec.gov/Archives/edgar/data/1037976/000089262601000155/0000892626-01-000155-index.html,- -,https://www.sec.gov/Archives/edgar/data/1037976/000089262603000097/0000892626-03-000097-index.html,https://www.sec.gov/Archives/edgar/data/1037976/000089262604000068/0000892626-04-000068-index.html,https://www.sec.gov/Archives/edgar/data/1037976/000101540205001269/0001015402-05-001269-index.html,https://www.sec.gov/Archives/edgar/data/1037976/000114036106003410/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1037976/000114036107004553/form10k.htm,https://www.sec.gov/Archives/edgar/data/1037976/000119312508043269/d10k.htm,https://www.sec.gov/Archives/edgar/data/1037976/000119312509041207/0001193125-09-041207-index.html,https://www.sec.gov/Archives/edgar/data/1037976/000119312510043072/0001193125-10-043072-index.html,https://www.sec.gov/Archives/edgar/data/1037976/000119312511047001/d10k.htm,https://www.sec.gov/Archives/edgar/data/1037976/000114036112011117/0001140361-12-011117-index.html,https://www.sec.gov/Archives/edgar/data/1037976/000114036113009386/0001140361-13-009386-index.html,https://www.sec.gov/Archives/edgar/data/1037976/000103797614000017/jll-20131231x10kq4.htm,https://www.sec.gov/Archives/edgar/data/1037976/000103797615000018/jll-20141231x10kq4.htm,https://www.sec.gov/Archives/edgar/data/1037976/000103797616000086/0001037976-16-000086-index.html,https://www.sec.gov/Archives/edgar/data/1037976/000103797617000012/0001037976-17-000012-index.html,https://www.sec.gov/Archives/edgar/data/1037976/000103797618000008/0001037976-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1037976/000103797619000008/0001037976-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1037976/000103797620000011/0001037976-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1037976/000103797621000009/0001037976-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1037976/000103797622000006/0001037976-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,30660000,16941000,23308000,18843000,10446000,13654000,63105000,30143000,28658000,50612000,78580000,45893000,69263000,251897000,184454000,152159000,152726000,250413000,216583000,258500000,268000000,480900000,451900000,574300000,593700000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,30660000,16941000,23308000,18843000,10446000,13654000,63105000,30143000,28658000,50612000,78580000,45893000,69263000,251897000,184454000,152159000,152726000,250413000,216583000,258500000,268000000,480900000,451900000,574300000,593700000
34,Net Receivables,- -,89960000,137392000,296657000,256118000,235990000,239367000,265141000,343219000,430318000,660200000,887560000,808440000,743977000,797860000,1005087000,1242890000,1332033000,1639724000,2124192000,2798100000,2829200000,4403400000,5038800000,5362300000,5293300000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,7159000,12111000,28717000,46100000,40077000,53284000,44694000,62895000,72122000,96633000,104836000,145435000,126678000,145084000,111343000,120480000,239469000,228039000,310032000,243100000,257700000,321700000,377900000,517100000,500700000
37,Total Current Assets,- -,127779000,166444000,348682000,321061000,286513000,306305000,372940000,436257000,531098000,807445000,1070976000,999768000,939918000,1194841000,1300884000,1515529000,1724228000,2118176000,2650807000,3299700000,3354900000,5206000000,5868600000,6453700000,6387700000
38,PP&E,- -,16098000,28773000,76470000,90306000,92503000,81652000,71621000,75531000,82186000,120376000,193329000,224845000,213708000,198685000,241415000,269315000,295470000,368368000,423296000,501000000,543900000,567900000,1506300000,1371300000,1463400000
39,Goodwill,- -,- -,- -,- -,- -,- -,315477000,334154000,343314000,335731000,520478000,694004000,1448663000,1441951000,1444708000,1751207000,1853761000,1900080000,1907924000,2141471000,2579300000,2709300000,2697800000,4168200000,4224700000,4611600000
40,Intangible Assets,- -,50366000,229437000,367215000,350129000,328169000,18344000,13454000,8350000,4391000,37583000,41670000,59319000,36791000,29025000,52590000,45932000,45579000,38841000,227185000,295000000,305000000,336900000,682600000,679800000,887000000
41,Intangible Assets,- -,50366000,229437000,367215000,350129000,328169000,333821000,347608000,351664000,340122000,558061000,735674000,1507982000,1478742000,1473733000,1803797000,1899693000,1945659000,1946765000,2368656000,2874300000,3014300000,3034700000,4850800000,4904500000,5498600000
42,Investments,- -,- -,- -,- -,- -,- -,74994000,71335000,73570000,88710000,131789000,151800000,179875000,167310000,174578000,224854000,268107000,287200000,297142000,311487000,355400000,376200000,356900000,404200000,430800000,745700000
43,Tax Assets,- -,- -,- -,5270000,12317000,25770000,18839000,43252000,43202000,59262000,37465000,58584000,58639000,139406000,149020000,186605000,197892000,104654000,90897000,87177000,180900000,229100000,210100000,245400000,296500000,330800000
44,Other Non-Current Assets,- -,25644000,66267000,127163000,140232000,102772000,36905000,36184000,32153000,43391000,74812000,81511000,105916000,157849000,159004000,175081000,200940000,240065000,253988000,363736000,418100000,496100000,649900000,797300000,859700000,1078800000
45,Total Non-Current Assets,- -,92108000,324477000,576118000,592984000,549214000,546211000,570000000,576120000,613671000,922503000,1220898000,2077257000,2157015000,2155020000,2631752000,2835947000,2873048000,2957160000,3554352000,4329700000,4659600000,4819500000,7804000000,7862800000,9117300000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,219887000,490921000,924800000,914045000,835727000,852516000,942940000,1012377000,1144769000,1729948000,2291874000,3077025000,3096933000,3349861000,3932636000,4351476000,4597276000,5075336000,6205159000,7629400000,8014500000,10025500000,13672600000,14316500000,15505000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,347650000,- -,- -,- -,- -,- -,- -,- -,- -,1261400000,1289400000,1229800000,1262800000
49,Short-Term Debt,- -,- -,- -,162643000,8836000,15497000,15863000,3592000,18326000,18011000,17738000,14385000,24570000,23399000,28700000,65091000,176490000,24522000,102935000,312319000,669600000,386600000,350600000,789400000,1726100000,1372100000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,16106000,20823000,31896000,29756000,29213000,38575000,45146000,58974000,76152000,104410000,104565000,114770000,129800000,158900000,190400000,158800000,192900000,208200000
52,Other Current Liabilities,- -,72044000,117823000,257476000,298870000,272138000,253333000,281820000,392631000,483801000,780812000,1019791000,934102000,685471000,1222466000,1224552000,1409329000,1529492000,1839511000,2078104000,2166900000,2664500000,2959400000,3252600000,2979000000,3643400000
53,Total Current Liabilities,- -,72044000,117823000,420119000,307706000,287635000,269196000,285412000,427063000,522635000,830446000,1063932000,987885000,1095095000,1296312000,1348617000,1661971000,1658424000,2047011000,2505193000,2966300000,3210000000,4761800000,5490200000,6127800000,6486500000
54,Long-Term Debt,- -,- -,202923000,159743000,241111000,206622000,199145000,207816000,40585000,26697000,32398000,29205000,483942000,175000000,197500000,463000000,444000000,430000000,275000000,529999000,1178100000,675300000,655600000,1177300000,1377200000,1248200000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,371636000,287259000,134889000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,7535000,9547000,6567000,- -,- -,- -,3079000,648000,6577000,4429000,3210000,15450000,7646000,3106000,18029000,17082000,33032000,21500000,23900000,32700000,106000000,120000000,179700000
57,Other Non-Current Liabilities,- -,946000,603000,12878000,22776000,19733000,17217000,18721000,36749000,56355000,116076000,173355000,157328000,153755000,133775000,418993000,283166000,300091000,327123000,418636000,648800000,824000000,840900000,1694400000,1081500000,1177200000
58,Total Non-Current Liabilities,- -,946000,203526000,180156000,273434000,232922000,216362000,226537000,77334000,86131000,149122000,209137000,1017335000,619224000,481614000,889639000,730272000,748120000,619205000,981667000,1848400000,1523200000,1529200000,2977700000,2578700000,2605100000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6433000,1722000,5023000,24617000,- -,- -,- -,904600000,849600000,868200000
61,Total Liabilities,- -,72990000,321349000,600275000,581140000,520557000,485558000,511949000,504397000,608766000,979568000,1273069000,2005220000,1714319000,1777926000,2238256000,2392243000,2406544000,2666216000,3486860000,4814700000,4733200000,6291000000,8467900000,8706500000,9091600000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,162000,163000,303000,307000,302000,309000,318000,332000,352000,366000,317000,346000,418000,427000,435000,441000,444000,448000,450000,500000,500000,500000,500000,500000,500000
64,Retained Earnings,- -,24327000,44792000,-50050000,-107110000,-122521000,-95411000,-59346000,4896000,100142000,255914000,484840000,543318000,531456000,676397000,827297000,1017128000,1266967000,1631145000,2044224000,2333000000,2552800000,3095700000,3588300000,3975900000,4937600000
65,Other Comprehensive Income/Loss,- -,-28993000,-35859000,-55943000,-76427000,-102401000,-9783000,5536000,20382000,-36892000,16800000,85355000,-72220000,-1976000,15324000,-33757000,8946000,-25202000,-200239000,-336313000,-551100000,-341800000,-456200000,-427800000,-377200000,-395400000
66,Other Total Stockholders Equity,- -,151401000,160476000,430215000,516135000,539790000,471843000,484483000,482370000,472401000,477300000,440021000,596238000,849031000,876783000,897154000,924668000,937460000,955443000,980402000,1007300000,1031700000,1051500000,1957100000,1921600000,- -
67,Total Stockholders Equity,- -,146897000,169572000,324525000,332905000,315170000,366958000,430991000,507980000,536003000,750380000,1010533000,1067682000,1378929000,1568931000,1691129000,1951183000,2179669000,2386797000,2688763000,2789700000,3243200000,3691500000,5118100000,5520800000,6184900000
68,Total Liabilities And Stockholders Equity,- -,219887000,490921000,924800000,914045000,835727000,852516000,942940000,1012377000,1144769000,1729948000,2283602000,3072902000,3093248000,3346857000,3929385000,4343426000,4586213000,5053013000,6175623000,7604400000,7976400000,9982500000,13586000000,14227300000,15276500000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8272000,4123000,3685000,3004000,3251000,8050000,11063000,22323000,29536000,25000000,38100000,43000000,86600000,89200000,228500000
70,Total Liabilities & Equity,- -,219887000,490921000,924800000,914045000,835727000,852516000,942940000,1012377000,1144769000,1729948000,2291874000,3077025000,3096933000,3349861000,3932636000,4351476000,4597276000,5075336000,6205159000,7629400000,8014500000,10025500000,13672600000,14316500000,15505000000
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1037976/000089262698000136/0000892626-98-000136-index.html,- -,https://www.sec.gov/Archives/edgar/data/1037976/000089262600000144/0000892626-00-000144-index.html,https://www.sec.gov/Archives/edgar/data/1037976/000089262601000155/0000892626-01-000155-index.html,- -,https://www.sec.gov/Archives/edgar/data/1037976/000089262603000097/0000892626-03-000097-index.html,https://www.sec.gov/Archives/edgar/data/1037976/000089262604000068/0000892626-04-000068-index.html,https://www.sec.gov/Archives/edgar/data/1037976/000101540205001269/0001015402-05-001269-index.html,https://www.sec.gov/Archives/edgar/data/1037976/000114036106003410/form10-k.htm,https://www.sec.gov/Archives/edgar/data/1037976/000114036107004553/form10k.htm,https://www.sec.gov/Archives/edgar/data/1037976/000119312508043269/d10k.htm,https://www.sec.gov/Archives/edgar/data/1037976/000119312509041207/0001193125-09-041207-index.html,https://www.sec.gov/Archives/edgar/data/1037976/000119312510043072/0001193125-10-043072-index.html,https://www.sec.gov/Archives/edgar/data/1037976/000119312511047001/d10k.htm,https://www.sec.gov/Archives/edgar/data/1037976/000114036112011117/0001140361-12-011117-index.html,https://www.sec.gov/Archives/edgar/data/1037976/000114036113009386/0001140361-13-009386-index.html,https://www.sec.gov/Archives/edgar/data/1037976/000103797614000017/jll-20131231x10kq4.htm,https://www.sec.gov/Archives/edgar/data/1037976/000103797615000018/jll-20141231x10kq4.htm,https://www.sec.gov/Archives/edgar/data/1037976/000103797616000086/0001037976-16-000086-index.html,https://www.sec.gov/Archives/edgar/data/1037976/000103797617000012/0001037976-17-000012-index.html,https://www.sec.gov/Archives/edgar/data/1037976/000103797618000008/0001037976-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1037976/000103797619000008/0001037976-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1037976/000103797620000011/0001037976-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1037976/000103797621000009/0001037976-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1037976/000103797622000006/0001037976-22-000006-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,19964000,25840000,20465000,-94842000,-57060000,-15411000,27110000,36065000,64242000,103672000,176401000,257832000,84883000,-3595000,153902000,164384000,208050000,269865000,386063000,438672000,318200000,254200000,484500000,535300000,402500000,961600000
74,Depreciation and Amortization,5416000,9093000,13455000,36676000,43126000,47420000,49056000,36944000,33136000,65429000,93520000,55580000,153268000,129244000,112803000,116834000,78810000,79853000,94337000,108142000,141800000,167200000,186100000,202400000,226400000,- -
75,Deferred Income Tax,- -,-6842000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,101143000,85795000,36000,139000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26800000,74200000,83800000,- -
77,Change in Working Capital,-12753000,55735000,-7114000,-120058000,84792000,-14477000,38231000,50419000,-78334000,-731000,-31464000,30045000,4839000,-167060000,53706000,53738000,-98709000,212246000,5361000,74449000,187786000,-188500000,299300000,-65800000,-52500000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,55735000,48621000,-71437000,13355000,-1122000,37109000,87528000,9194000,8463000,-23001000,7044000,11883000,-155177000,-101471000,-47733000,-146442000,65804000,71165000,145614000,333400000,144900000,444200000,378400000,325900000,- -
82,Other Non-Cash Items,1337000,-43249000,-3837000,44315000,-16313000,36535000,-46167000,-13383000,142434000,-47734000,139246000,65961000,-209625000,291965000,63859000,-123618000,139547000,-268797000,13100000,-245494000,-433286000,556300000,-392600000,-262300000,454500000,10800000
83,Cash Provided by Operating Activities,13964000,40577000,22969000,-32766000,140340000,54103000,68369000,110045000,161478000,120636000,377703000,409418000,33365000,250554000,384270000,211338000,327698000,293167000,498861000,375769000,214500000,789200000,604100000,483800000,1114700000,972400000
84,CAPEX,-10790000,-6277000,-15592000,-36848000,-45804000,-35792000,-16790000,-18597000,-28160000,-39785000,-70307000,-113743000,-148548000,-84048000,-47609000,-91538000,-94758000,-110684000,-156927000,-149076000,-216200000,-151400000,-161900000,-187800000,-149400000,- -
85,Acquisitions Net,-24970000,-15538000,-51347000,-56225000,-13333000,-5413000,-287000,-1100000,-2810000,-4885000,-191706000,-134259000,-348825000,-26668000,-58103000,-322814000,-134028000,-94761000,-94630000,-439221000,-580300000,-58800000,-160100000,-939000000,-80300000,- -
86,Purchases of Investments,- -,- -,- -,- -,-15214000,-16367000,-30010000,-7320000,-35148000,-29777000,-62122000,-45517000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-79200000,- -,- -
87,Sales/Maturities of Investments,3282000,7689000,6762000,25930000,7761000,25023000,20747000,11735000,38553000,13413000,17775000,35017000,2509000,784000,14836000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -
88,Other Investing Activites,- -,- -,-178919000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25036000,77534000,41233000,63619000,3682000,-5500000,43500000,41600000,156300000,58100000,-805800000
89,Cash Used for Investing Activites,-32478000,-14126000,-239096000,-67143000,-66590000,-32549000,-26340000,-15282000,-27565000,-61034000,-306360000,-258502000,-494864000,-109932000,-90876000,-389316000,-151252000,-164212000,-187938000,-584615000,-802000000,-166700000,-280400000,-1049700000,-170600000,-805800000
90,Debt Repayment,- -,- -,- -,-223479000,-490566000,-361723000,-448461000,-332244000,-473628000,-584167000,-887528000,-1452749000,-1016080000,-1348306000,-1133000000,-1248700000,-2017000000,-1979500000,-1831992000,-1893316000,-2456000000,-3997000000,-3145000000,-5339000000,-5806300000,- -
91,Common Stock Issued,- -,- -,- -,4192000,1990000,2197000,4128000,5573000,- -,47085000,23596000,9522000,9953000,220693000,1406000,1210000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-11060000,-8711000,-11475000,-50262000,-85228000,-82040000,-125443000,-14026000,-7212000,-19448000,-30234000,-11656000,-14277000,-15954000,-10092000,-7000000,-6600000,-12400000,-13600000,-123500000,- -
93,Dividends Paid,-11813000,-14835000,- -,- -,- -,- -,- -,- -,- -,-8426000,-20629000,-28906000,-26405000,-8267000,-8961000,-13484000,-18219000,-20026000,-21885000,-25593000,-29400000,-33100000,-37800000,-42700000,- -,- -
94,Other Financing Activites,29002000,11707000,202377000,326004000,410361000,340635000,414223000,292834000,357015000,569649000,917212000,1474628000,1475370000,1025840000,1049243000,1401743000,1838134000,1885415000,1666802000,2120568000,3128800000,3413200000,3053900000,5979900000,5158600000,-143800000
95,Cash Used/Provided by Financing Activities,17189000,-3128000,202377000,106717000,-78215000,-29951000,-38821000,-45312000,-166875000,-61087000,-49389000,-122948000,428812000,-117252000,-110760000,110535000,-208741000,-128388000,-203029000,191567000,636400000,-623500000,-141300000,584600000,-771200000,-143800000
96,Effect of Forex Changes on Cash,210000,130000,31000,-441000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10207000,-16551000,-7000000,10500000,-19900000,-800000,14800000,-21000000
97,Net Change In Cash,-1115000,23453000,-13719000,6367000,-4465000,-8397000,3208000,49451000,-32962000,-1485000,21954000,27968000,-32687000,23370000,182634000,-67443000,-32295000,567000,97687000,-33830000,41900000,9500000,162500000,17900000,187700000,1800000
98,Cash at the End of Period,7207000,30660000,16941000,23308000,18843000,10446000,13654000,63105000,30143000,28658000,50612000,78580000,45893000,69263000,251897000,184454000,152159000,152726000,250413000,216583000,258500000,268000000,634200000,652100000,839800000,841600000
99,Cash at the Beginning of Period,8322000,7207000,30660000,16941000,23308000,18843000,10446000,13654000,63105000,30143000,28658000,50612000,78580000,45893000,69263000,251897000,184454000,152159000,152726000,250413000,216600000,258500000,471700000,634200000,652100000,839800000
100,Free Cash Flow,3174000,34300000,7377000,-69614000,94536000,18311000,51579000,91448000,133318000,80851000,307396000,295675000,-115183000,166506000,336661000,119800000,232940000,182483000,341934000,226693000,-1700000,637800000,442200000,296000000,965300000,972400000
