,https://roic.ai/company/FSLR,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,11455000,15617000,- -,11452000,21370000,51434000,97355000,240054000,364967000,435943000,586684000,421211000,407329000,402942000,402603000,387777000,333915000,352064000,347997000,363184000,290487000
11,COGS and Expenses,25726000,22624000,- -,30303000,52853000,132164000,349928000,807962000,1386585000,1814612000,2381140000,2937007000,2853564000,2967651000,3062331000,2635126000,2726292000,2203931000,2861902000,2393843000,2483910000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,9735000,14375000,13391000,12824000,16752000,18030000,22516000,25193000,35704000,59788000,48886000,16559000,6179000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,5258000,6000,100000,13888000,1884000,1982000,6975000,20538000,25765000,25921000,27066000,24036000,13107000
14,Depreciation and Amortization,- -,- -,- -,1944000,3376000,10210000,24481000,60853000,129628000,156093000,235231000,262716000,234370000,245798000,257825000,230940000,115313000,130736000,205475000,232925000,259900000
15,EBITDA,-25726000,-26224000,-28043000,-14827000,-3086000,19390000,137181000,524629000,821200000,918176000,181618000,236800000,614471000,674822000,805065000,-48267000,347459000,304424000,112128000,762610000,845169000
16,EBITDA ratio,-Infinity,-53.5184,-8.7361,-1.0965,-0.0642,0.1437,0.2722,0.4209,0.3974,0.3582,0.0657,0.0703,0.1857,0.1990,0.2249,-0.0164,0.1181,0.1357,0.0366,0.2813,0.2891
17,Operating Income,-25726000,-22134000,- -,-16781000,-4790000,2810000,137181000,438339000,679615000,748903000,-68664000,-37563000,368529000,424163000,516664000,-502590000,177851000,40113000,-161785000,317489000,586751000
18,Operating Income ratio,-Infinity,-45.1714,- -,-1.2410,-0.0997,0.0208,0.2722,0.3517,0.3289,0.2921,-0.0248,-0.0112,0.1114,0.1251,0.1444,-0.1703,0.0605,0.0179,-0.0528,0.1171,0.2007
19,Total Other Income Expenses (Gains),- -,-4090000,- -,10000,-1761000,6370000,-134789000,25437000,6699000,13174000,14951000,-2241000,9688000,7828000,3171000,30900000,24264000,73034000,41656000,-24299000,-14589000
20,Income Before Tax,- -,-26224000,- -,-16771000,-6551000,9180000,2392000,463776000,686314000,762077000,-53713000,-39804000,378217000,431991000,519835000,-471690000,202115000,113147000,-120129000,293190000,572162000
21,Income Before Tax Ratio,- -,-53.5184,- -,-1.2403,-0.1363,0.0680,0.0047,0.3721,0.3322,0.2973,-0.0194,-0.0118,0.1143,0.1274,0.1452,-0.1598,0.0687,0.0504,-0.0392,0.1081,0.1957
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,5206000,2392000,115446000,46176000,97876000,-14220000,56534000,25179000,30124000,-6156000,58219000,371996000,3441000,-5480000,107294000,103469000
23,Net Income,-27134000,-26224000,-28043000,-16771000,-6462000,3974000,- -,348330000,640138000,664201000,-39493000,-96338000,353038000,396918000,546421000,-357964000,-165615000,144326000,-114933000,398355000,468693000
24,Net Income ratio,-Infinity,-53.5184,-8.7361,-1.2403,-0.1344,0.0294,- -,0.2795,0.3098,0.2591,-0.0143,-0.0286,0.1067,0.1170,0.1527,-0.1213,-0.0563,0.0643,-0.0375,0.1469,0.1603
25,EPS,-0.50,-0.49,-0.78,-0.39,-0.13,0.07,2.12,4.34,7.67,7.82,-0.46,-1.11,3.77,3.97,5.42,-3.48,-1.59,1.38,-1.09,3.76,4.41
26,EPS Diluted,-0.50,-0.49,-0.78,-0.39,-0.13,0.07,2.03,4.24,7.53,7.68,-0.46,-1.11,3.70,3.91,5.37,-3.48,-1.59,1.36,-1.09,3.73,4.38
27,Weighted Average Shares Outstanding,53757000,53757000,36028000,43198000,48846000,56310000,74701000,80178000,83500000,84891000,86067000,86860000,93697000,100048000,100886000,102866000,104328000,104745000,105310000,105867000,106320000
28,Weighted Average Shares Outstanding Diluted,53757000,53757000,36028000,43918000,48846000,58255000,77971000,82124000,85044000,86491000,86067000,86860000,95468000,101643000,101815000,102866000,104328000,106113000,105310000,106686000,106899000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1274494/000095015308000367/0000950153-08-000367-index.htm,https://www.sec.gov/Archives/edgar/data/1274494/000095013409003635/0000950134-09-003635-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1274494/000127449411000007/0001274494-11-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1274494/000127449412000015/0001274494-12-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1274494/000127449413000006/0001274494-13-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1274494/000127449414000011/0001274494-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1274494/000127449415000006/0001274494-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1274494/000127449416000067/0001274494-16-000067-index.htm,https://www.sec.gov/Archives/edgar/data/1274494/000127449417000006/0001274494-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1274494/000127449418000011/0001274494-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1274494/000127449419000004/0001274494-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1274494/000127449420000011/0001274494-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1274494/000162828021003343/0001628280-21-003343-index.htm,https://www.sec.gov/Archives/edgar/data/1274494/000127449422000009/0001274494-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,2050000,- -,3465000,16721000,308092000,404300000,716200000,664499000,765689000,605619000,901294000,1325072000,1482054000,1126826000,1347155000,2268534000,1403562000,1352741000,1227002000,1450654000
32,Short-Term Investments,- -,- -,- -,306000,312000,323000,261300000,76000000,120236000,167889000,66146000,102578000,439102000,509032000,703454000,607991000,720379000,1143704000,811506000,265280000,375389000
33,Cash and Short-Term Investments,- -,2050000,- -,3771000,17033000,308415000,665600000,792200000,784735000,933578000,671765000,1003872000,1764174000,1991086000,1830280000,1955146000,2988913000,2547266000,2164247000,1492282000,1826043000
34,Net Receivables,- -,201000,- -,4393000,1098000,55481000,54000000,61700000,226826000,307019000,843967000,972279000,657706000,224892000,561076000,509525000,419048000,612775000,712293000,269095000,454709000
35,Inventory,- -,2058000,- -,3686000,6917000,16510000,40200000,121600000,152821000,200442000,475867000,533824000,522682000,630171000,517313000,425995000,201210000,444818000,497096000,567587000,666299000
36,Other Current Assets,- -,- -,- -,431000,1505000,8116000,42700000,101900000,186889000,143421000,621662000,322349000,848202000,344317000,436917000,895954000,223601000,254664000,226198000,685571000,244192000
37,Total Current Assets,- -,4309000,- -,12281000,26553000,388522000,802500000,1077400000,1351271000,1584460000,2613261000,2832324000,3792764000,3190466000,3345586000,3786620000,3832772000,3859523000,3599834000,3014535000,3191243000
38,PP&E,- -,9842000,- -,29277000,73778000,178868000,430100000,842600000,988782000,1430789000,1815958000,1525382000,1385084000,1448697000,1377877000,1077743000,1571645000,2064851000,2803837000,2402285000,2866880000
39,Goodwill,- -,- -,- -,- -,- -,- -,33400000,33800000,286515000,433288000,65444000,65444000,84985000,84985000,84985000,14462000,14462000,14462000,14462000,14462000,14462000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,300000,300000,- -,- -,- -,- -,117416000,119236000,110002000,87970000,80227000,74162000,64543000,56138000,45509000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,33700000,34100000,286515000,433288000,65444000,65444000,202401000,204221000,194987000,102432000,94689000,88624000,79005000,70600000,59971000
42,Investments,- -,- -,- -,- -,- -,- -,32700000,54600000,391102000,266274000,316742000,- -,17321000,255029000,399805000,242361000,219503000,3186000,2812000,265280000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,130515000,259236000,340274000,317473000,296603000,222326000,357693000,252655000,51417000,77682000,130771000,- -,59162000
44,Other Non-Current Assets,- -,- -,- -,207000,1553000,11120000,72300000,105800000,201327000,406356000,625935000,1608069000,1189329000,1403700000,1640383000,1405402000,1094475000,1027496000,899430000,- -,1236490000
45,Total Non-Current Assets,- -,- -,- -,29484000,75331000,189988000,568800000,1037100000,1998241000,2795943000,3164353000,3516368000,3090738000,3533973000,3970745000,3080593000,3031729000,3261839000,3915855000,2738165000,4222503000
46,Other Assets,- -,10068000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,14377000,- -,41765000,101884000,578510000,1371300000,2114500000,3349512000,4380403000,5777614000,6348692000,6883502000,6724439000,7316331000,6867213000,6864501000,7121362000,7515689000,5752700000,7413746000
48,Accounts Payable,- -,- -,- -,439000,4599000,32083000,26400000,46300000,75744000,82312000,176448000,350230000,261333000,214656000,337668000,148730000,120220000,233287000,218081000,183349000,193374000
49,Short-Term Debt,- -,- -,- -,- -,20142000,19650000,39309000,34951000,28559000,26587000,44505000,62349000,60543000,51918000,38090000,27966000,13075000,5570000,28612000,55546000,3896000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,8740000,16831000,9541000,5474000,6707000,1727000,1330000,5288000,19581000,20885000,17010000,44612000,4543000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,99013000,118959000,217225000,105899000,123365000,81816000,129755000,323217000,188813000,201868000
52,Other Current Liabilities,- -,- -,- -,4914000,9172000,340000,115591000,300549000,290624000,360778000,752771000,589782000,1147226000,517297000,479143000,599646000,435165000,476845000,748298000,419690000,327740000
53,Total Current Liabilities,- -,- -,- -,5353000,33913000,52073000,181300000,381800000,394927000,469677000,973724000,1101374000,1588061000,1001096000,960800000,899707000,650276000,845457000,1318208000,847398000,726878000
54,Long-Term Debt,- -,50000000,- -,13700000,28581000,61047000,68900000,163500000,146399000,210804000,619143000,500223000,162780000,165003000,251325000,160422000,423861000,461221000,454187000,41540000,236005000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47623000,- -,- -,- -,- -,63257000,48014000,71438000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,51811000,61325000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,71000,26261000,53950000,-28011000,-5125000,155399000,244977000,540884000,1093946000,629544000,530853000,555719000,594397000,628410000,554267000,575089000,- -,491312000
58,Total Non-Current Liabilities,- -,50000000,- -,13771000,54842000,114997000,92700000,219700000,301798000,455781000,1160027000,1641792000,792324000,695856000,807044000,754819000,1115528000,1063502000,1100714000,41540000,727317000
59,Other Liabilities,- -,108005000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,782145000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,123617000,203040000,- -
61,Total Liabilities,- -,58005000,- -,19124000,88755000,167070000,274000000,601500000,696725000,925458000,2133751000,2743166000,2380385000,1696952000,1767844000,1654526000,1765804000,1908959000,2418922000,1588003000,1454195000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,72000,100000,100000,85000,86000,86000,87000,100000,100000,102000,104000,104000,105000,105000,106000,106000
64,Retained Earnings,- -,- -,- -,-142915000,-149377000,-145403000,12900000,361200000,1001363000,1665564000,1626071000,1529733000,1882771000,2279689000,2790110000,2463279000,2297227000,2441553000,2326620000,- -,3184455000
65,Other Comprehensive Income/Loss,- -,- -,- -,165556000,162506000,1022000,4518000,-24421000,-9596000,-27243000,-5037000,10179000,-25776000,50140000,15480000,-9907000,2259000,-54466000,-79334000,-61726000,-96362000
66,Other Total Stockholders Equity,- -,- -,- -,171118000,171383000,555749000,1079749000,1176163000,- -,1816538000,2022743000,2065527000,2646022000,2697558000,2742795000,2759211000,2799107000,2825211000,2849376000,5582548000,- -
67,Total Stockholders Equity,- -,-43628000,- -,22641000,13129000,411440000,1097267000,1513042000,2652787000,3454945000,3643863000,3605526000,4503117000,5027487000,5548487000,5212687000,5098697000,5212403000,5096767000,5520928000,5959551000
68,Total Liabilities And Stockholders Equity,- -,14377000,- -,41765000,101884000,578510000,1371267000,2114542000,3349512000,4380403000,5777614000,6348692000,6883502000,6724439000,7316331000,6867213000,6864501000,7121362000,7515689000,7108931000,7413746000
69,Minority Interest,- -,- -,- -,- -,- -,- -,33000,-42000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1356231000,- -
70,Total Liabilities & Equity,- -,14377000,- -,41765000,101884000,578510000,1371300000,2114500000,3349512000,4380403000,5777614000,6348692000,6883502000,6724439000,7316331000,6867213000,6864501000,7121362000,7515689000,5752700000,7413746000
71,SEC Link,undefined,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1274494/000095015308000367/0000950153-08-000367-index.htm,https://www.sec.gov/Archives/edgar/data/1274494/000095013409003635/0000950134-09-003635-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1274494/000127449411000007/0001274494-11-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1274494/000127449412000015/0001274494-12-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1274494/000127449413000006/0001274494-13-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1274494/000127449414000011/0001274494-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1274494/000127449415000006/0001274494-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1274494/000127449416000067/0001274494-16-000067-index.htm,https://www.sec.gov/Archives/edgar/data/1274494/000127449417000006/0001274494-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1274494/000127449418000011/0001274494-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1274494/000127449419000004/0001274494-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1274494/000127449420000011/0001274494-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1274494/000162828021003343/0001628280-21-003343-index.htm,https://www.sec.gov/Archives/edgar/data/1274494/000127449422000009/0001274494-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-27134000,- -,- -,-16771000,-6462000,3974000,- -,348330000,640138000,664201000,-39493000,-96338000,353038000,396918000,546421000,-357964000,-165615000,144326000,-114933000,398355000,468693000
74,Depreciation and Amortization,- -,- -,- -,1944000,3376000,10210000,24481000,60853000,129628000,156093000,235231000,262716000,234370000,245798000,257825000,230940000,115313000,130736000,205475000,232925000,259900000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-55881000,-12974000,-35043000,-58040000,-155505000,14588000,-20878000,14068000,-17534000,123864000,173368000,-10112000,-59917000,36013000,49847000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,88744000,30255000,114428000,36971000,55079000,43810000,44899000,28712000,35121000,34154000,37429000,29267000,20902000
77,Change in Working Capital,- -,- -,- -,6928000,-14288000,343809000,284751000,74400000,260744000,158439000,524754000,91413000,473753000,-15333000,195416000,502127000,295583000,-168430000,-732440000,-114489000,297228000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,-122185000,-91773000,-529809000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-96951000
79,Inventory,- -,- -,- -,-2124000,-2861000,-9742000,-19832000,-84762000,-52058000,-69680000,-348151000,-75626000,15394000,-99870000,113537000,95785000,212758000,-257229000,-83528000,-145396000,-136365000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94674000,174319000,-93259000,-52339000,143872000,-191642000,-47191000,96443000,-336000,-43285000,34919000
81,Other Working Capital,- -,- -,- -,6928000,-7360000,336449000,621200000,695600000,956344000,1114783000,1639537000,1730950000,2204703000,2189370000,2384786000,2886913000,3182496000,3014066000,2281626000,2167137000,2464365000
82,Other Non-Cash Items,11714000,- -,- -,-7286000,22414000,-358569000,-47400000,-7542000,-409018000,-245456000,-712878000,452859000,-239236000,-4272000,-1387946000,-320926000,886907000,-457483000,838587000,-544951000,-859011000
83,Cash Provided by Operating Activities,-15420000,- -,- -,-15185000,5040000,-576000,205951000,463067000,675193000,705492000,-33463000,762209000,856126000,680989000,-360919000,206753000,1340677000,-326809000,174201000,37120000,237559000
84,CAPEX,- -,- -,- -,-7733000,-42481000,-153150000,-242371000,-459271000,-279941000,-588914000,-731814000,-379228000,-282576000,-257549000,-166438000,-229452000,-514357000,-739838000,-668717000,-416635000,-540291000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-5500000,- -,318000,-267900000,-21105000,-2437000,-48650000,-29273000,-27475000,281230000,- -,247595000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-57000,-84000,-40000,-1081154000,-334818000,-711143000,-505134000,-393989000,-109867000,-435015000,-305396000,-556479000,-422609000,-580971000,-1369036000,-1177336000,-901924000,-2147136000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,787783000,526212000,290328000,618562000,492613000,108663000,93984000,227900000,353359000,525515000,466309000,1135984000,1486631000,1192832000,2282899000
88,Other Investing Activites,-2855000,- -,- -,- -,-1267000,-6804000,-6008000,-40564000,-1252000,1301000,-22162000,-863000,135151000,-147561000,284893000,-10164000,2217000,42581000,-2876000,-5500000,305488000
89,Cash Used for Investing Activites,-2855000,- -,- -,-7790000,-43832000,-159994000,-547250000,-308441000,-701690000,-742085000,-676457000,-383732000,-537106000,-511879000,-112140000,144520000,-626802000,-682714000,-362298000,-131227000,-99040000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-78224000,-27879000,-33796000,-1483842000,-669954000,-60063000,-50780000,-692643000,-29296000,-18937000,-30099000,-225344000,-72676000
91,Common Stock Issued,- -,- -,- -,- -,15000000,302750000,376142000,16036000,- -,- -,- -,- -,428190000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,18876000,- -,- -,22900000,36663000,148800000,54279000,161513000,56203000,178330000,605014000,1394733000,342928000,67422000,187883000,556250000,221341000,274165000,105042000,142757000,113226000
95,Cash Used/Provided by Financing Activities,18876000,- -,- -,22900000,51663000,451550000,430421000,177549000,-22021000,150451000,571218000,-89109000,101164000,7359000,137103000,-136393000,192045000,255228000,74943000,-82587000,40550000
96,Effect of Forex Changes on Cash,- -,- -,- -,-187000,385000,391000,7050000,-20221000,-3201000,-12668000,-21368000,6307000,3594000,-19487000,-19272000,-6306000,8866000,-13558000,-2959000,3778000,3174000
97,Net Change In Cash,18876000,- -,- -,-262000,13256000,291371000,96172000,311954000,-51719000,101190000,-160070000,295675000,423778000,156982000,-355228000,208574000,914786000,-767853000,-116113000,-172916000,182243000
98,Cash at the End of Period,- -,- -,- -,3465000,16721000,308092000,404264000,716218000,664499000,765689000,605619000,901294000,1325072000,1482054000,1126826000,1415690000,2330476000,1562623000,1446510000,1273594000,1455837000
99,Cash at the Beginning of Period,- -,- -,- -,3727000,3465000,16721000,308092000,404264000,716218000,664499000,765689000,605619000,901294000,1325072000,1482054000,1207116000,1415690000,2330476000,1562623000,1446510000,1273594000
100,Free Cash Flow,-15420000,- -,- -,-22918000,-37441000,-153726000,-36420000,3796000,395252000,116578000,-765277000,382981000,573550000,423440000,-527357000,-22699000,826320000,-1066647000,-494516000,-379515000,-302732000
101,SEC Link,- -,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1274494/000095015308000367/0000950153-08-000367-index.htm,https://www.sec.gov/Archives/edgar/data/1274494/000095013409003635/0000950134-09-003635-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1274494/000127449411000007/0001274494-11-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1274494/000127449412000015/0001274494-12-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1274494/000127449413000006/0001274494-13-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1274494/000127449414000011/0001274494-14-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1274494/000127449415000006/0001274494-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1274494/000127449416000067/0001274494-16-000067-index.htm,https://www.sec.gov/Archives/edgar/data/1274494/000127449417000006/0001274494-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1274494/000127449418000011/0001274494-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1274494/000127449419000004/0001274494-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1274494/000127449420000011/0001274494-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1274494/000162828021003343/0001628280-21-003343-index.htm,https://www.sec.gov/Archives/edgar/data/1274494/000127449422000009/0001274494-22-000009-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
