,https://roic.ai/company/HZNP,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
73,Net Income,-27899000,-20500000,-27065000,-113265000,-87794000,-149005000,-263603000,39532000,-166834000,-410526000,-74187000,573020000,389796000,534491000
74,Depreciation and Amortization,35000,77000,3799000,4199000,5538000,9310000,34009000,138343000,221837000,283415000,275729000,237157000,279451000,353751000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-7516000,-180549000,-65561000,-132231000,-64491000,-565537000,-33453000,-101016000
76,Stock Based Compensation,170000,402000,2574000,2530000,4661000,5014000,13198000,83553000,113019000,125019000,114860000,91215000,146627000,219086000
77,Change in Working Capital,2871000,1342000,2030000,-8356000,-3980000,-7170000,14059000,1130000,135767000,145988000,-144158000,-2497000,-345675000,-61740000
78,Accounts Receivable,- -,- -,-516000,-1817000,-1087000,-12491000,-46183000,-124766000,-67496000,-61828000,-59697000,56166000,-251173000,34796000
79,Inventory,- -,- -,1010000,-923000,-4022000,-3426000,7173000,12216000,67633000,108371000,10280000,-3268000,-21451000,1267000
80,Accounts Payable,269000,137000,-1137000,5643000,-2209000,3908000,9383000,-8362000,32065000,-16521000,-4593000,-8723000,16015000,-12197000
81,Other Working Capital,- -,- -,4526000,-12577000,-3171000,-1863000,74000,9813000,5569000,10188000,-10835000,-2288000,25092000,-11106000
82,Other Non-Cash Items,852000,287000,-18870000,73352000,4934000,87564000,237402000,112157000,131228000,268543000,86790000,92974000,118942000,90699000
83,Cash Provided by Operating Activities,-23971000,-18392000,-37532000,-41540000,-76641000,-54287000,27549000,194166000,369456000,280208000,194543000,426332000,555688000,1035271000
84,CAPEX,-786000,-617000,-714000,-1604000,-1336000,-1198000,-3500000,-7156000,-15731000,-4334000,-16771000,-17857000,-199852000,-126168000
85,Acquisitions Net,- -,- -,6489000,- -,- -,-35000000,-224220000,-1022361000,-1356271000,-97849000,- -,- -,-262305000,-2845275000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-71813000,- -,- -,- -,- -,-13314000,-24668000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,107404000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,260000,-200000,-550000,-50000,63000,- -,-1122000,-3879000,564000,32424000,- -,-18600000,-47572000
89,Cash Used for Investing Activites,-786000,-357000,5575000,-2154000,-1386000,-36135000,-227720000,-995048000,-1375881000,-101619000,27653000,-17857000,-464071000,-2994111000
90,Debt Repayment,- -,-4181000,-10981000,-13067000,-19788000,-64844000,- -,-299000000,-4000000,-1618617000,-845749000,-2150627000,-1739000,-12000000
91,Common Stock Issued,- -,- -,- -,44802000,128518000,6637000,- -,475685000,- -,- -,- -,326793000,919786000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-992000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,18000000,16023000,40741000,23417000,55578000,124923000,338285000,1265796000,661074000,1678017000,829153000,1533388000,-13468000,1482123000
95,Cash Used/Provided by Financing Activities,18000000,11842000,29760000,55152000,164308000,66716000,338285000,1442481000,657074000,58408000,-16596000,-290446000,904579000,1470123000
96,Effect of Forex Changes on Cash,- -,- -,421000,1124000,-160000,99000,213000,-790000,-1210000,5316000,-1380000,-107000,7244000,-10606000
97,Net Change In Cash,-6757000,-6907000,-1776000,12582000,86121000,-23607000,138327000,640809000,-350561000,242313000,204220000,117922000,1003440000,-499323000
98,Cash at the End of Period,14067000,7160000,5384000,17966000,104087000,80480000,218807000,859616000,509055000,751368000,962117000,1080039000,2083479000,1584156000
99,Cash at the Beginning of Period,20824000,14067000,7160000,5384000,17966000,104087000,80480000,218807000,859616000,509055000,757897000,962117000,1080039000,2083479000
100,Free Cash Flow,-24757000,-19009000,-38246000,-43144000,-77977000,-55485000,24049000,187010000,353725000,275874000,177772000,408475000,355836000,909103000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1492426/000119312512129945/0001193125-12-129945-index.html,https://www.sec.gov/Archives/edgar/data/1492426/000119312513111071/0001193125-13-111071-index.html,https://www.sec.gov/Archives/edgar/data/1492426/000119312514096677/0001193125-14-096677-index.htm,https://www.sec.gov/Archives/edgar/data/1492426/000119312515067257/d843160d10k.htm,https://www.sec.gov/Archives/edgar/data/1492426/000156459016013652/0001564590-16-013652-index.html,https://www.sec.gov/Archives/edgar/data/1492426/000156459017002491/0001564590-17-002491-index.html,https://www.sec.gov/Archives/edgar/data/1492426/000156459018003661/0001564590-18-003661-index.html,https://www.sec.gov/Archives/edgar/data/1492426/000156459019004667/0001564590-19-004667-index.html,https://www.sec.gov/Archives/edgar/data/1492426/000156459020006575/0001564590-20-006575-index.html,https://www.sec.gov/Archives/edgar/data/1492426/000156459021007818/0001564590-21-007818-index.htm,https://www.sec.gov/Archives/edgar/data/1492426/000156459022007863/0001564590-22-007863-index.htm
102,false,,,,,,,,,,,,,,
