,https://roic.ai/company/CCK,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,86700000,93900000,106000000,108100000,115000000,188200000,233800000,254500000,318300000,353700000,498300000,922900000,1020200000,1230000000,870000000,809000000,809000000,692000000,663000000,671000000,598000000,326000000,414000000,468000000,456000000,418000000,423000000,597000000,591000000,633000000,653000000,636000000,621000000,983000000,1121000000,1095000000,1030000000
11,COGS and Expenses,1347000000,1464100000,1551600000,1677600000,1766100000,2842100000,3532000000,3451900000,3792300000,4167800000,4809300000,7655400000,7727900000,7757000000,6930000000,6791000000,6872000000,6311000000,6202000000,6655000000,6357000000,6416000000,7114000000,7335000000,7201000000,7109000000,7719000000,7610000000,7771000000,8158000000,7769000000,7219000000,7573000000,10011000000,10470000000,10277000000,10059000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11000000,6000000,9000000,11000000,7000000,5000000,7000000,11000000,12000000,15000000,21000000,17000000,8000000,9000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,302000000,247000000,203000000,232000000,226000000,236000000,253000000,270000000,243000000,252000000,384000000,378000000,300000000,253000000
14,Depreciation and Amortization,43700000,47200000,56400000,57200000,61800000,102000000,128400000,142400000,191700000,218300000,256300000,495900000,540000000,533000000,522000000,495000000,499000000,375000000,326000000,308000000,282000000,230000000,229000000,216000000,194000000,172000000,176000000,180000000,134000000,190000000,237000000,247000000,247000000,425000000,490000000,481000000,463000000
15,EBITDA,171600000,195800000,217400000,218400000,209900000,280400000,340300000,398800000,388200000,404900000,356100000,914300000,981700000,712000000,808000000,263000000,55000000,-800000000,389000000,441000000,-82000000,477000000,357000000,856000000,782000000,864000000,496000000,946000000,842000000,871000000,1078000000,1172000000,1223000000,1464000000,1544000000,1604000000,99000000
16,EBITDA ratio,0.1154,0.1209,0.1265,0.1191,0.1099,0.0913,0.0894,0.1055,0.0933,0.0909,0.0705,0.1097,0.1156,0.0858,0.1045,0.0361,0.0077,-0.1178,0.0587,0.0613,-0.0119,0.0683,0.0462,0.1031,0.0985,0.1088,0.0574,0.1117,0.0973,0.0957,0.1230,0.1415,0.1406,0.1313,0.1324,0.1386,0.0087
17,Operating Income,140100000,154800000,166300000,156500000,143700000,230000000,275400000,328800000,370300000,284400000,244500000,676500000,766700000,543000000,802000000,498000000,267000000,462000000,409000000,229000000,286000000,551000000,593000000,658000000,- -,- -,- -,- -,851000000,- -,927000000,1021000000,1077000000,1096000000,1196000000,1264000000,1363000000
18,Operating Income ratio,0.0942,0.0956,0.0968,0.0853,0.0752,0.0749,0.0723,0.0870,0.0890,0.0639,0.0484,0.0812,0.0903,0.0654,0.1037,0.0683,0.0372,0.0680,0.0617,0.0318,0.0414,0.0789,0.0767,0.0792,- -,- -,- -,- -,0.0983,- -,0.1058,0.1232,0.1238,0.0983,0.1025,0.1092,0.1196
19,Total Other Income Expenses (Gains),-12200000,-6200000,-5300000,4700000,4400000,-51600000,-63500000,-72400000,-92000000,-97800000,-144700000,-258100000,-317400000,-364000000,-516000000,-730000000,-715000000,-623000000,-346000000,-96000000,-600000000,-216000000,-392000000,-216000000,-278000000,-218000000,-338000000,-224000000,-275000000,-423000000,-288000000,-252000000,-248000000,-356000000,-410000000,-338000000,-1782000000
20,Income Before Tax,127900000,148600000,161000000,161200000,148100000,178400000,211900000,256400000,278300000,186600000,99800000,418400000,449300000,179000000,286000000,-232000000,-448000000,-161000000,63000000,133000000,-314000000,335000000,201000000,442000000,459000000,614000000,587000000,636000000,576000000,516000000,639000000,769000000,829000000,740000000,786000000,926000000,-419000000
21,Income Before Tax Ratio,0.0860,0.0918,0.0937,0.0879,0.0775,0.0581,0.0557,0.0678,0.0669,0.0419,0.0197,0.0502,0.0529,0.0216,0.0370,-0.0318,-0.0623,-0.0237,0.0095,0.0185,-0.0455,0.0480,0.0260,0.0532,0.0578,0.0773,0.0679,0.0751,0.0665,0.0567,0.0729,0.0928,0.0953,0.0664,0.0674,0.0800,-0.0368
22,Income Tax expense (Gain),56200000,69200000,72700000,67800000,53900000,71300000,83800000,101000000,97400000,55600000,24900000,134400000,147700000,74000000,105000000,-58000000,528000000,30000000,95000000,82000000,-2000000,-62000000,-400000000,112000000,7000000,165000000,-194000000,-17000000,148000000,41000000,178000000,186000000,401000000,216000000,166000000,244000000,-57000000
23,Net Income,71700000,79400000,88300000,93400000,94200000,107100000,128100000,155400000,99100000,131000000,74900000,284000000,294000000,105000000,181000000,-174000000,-972000000,-1205000000,-32000000,51000000,-362000000,309000000,528000000,226000000,334000000,324000000,282000000,557000000,324000000,387000000,393000000,496000000,323000000,439000000,510000000,579000000,-560000000
24,Net Income ratio,0.0482,0.0490,0.0514,0.0509,0.0493,0.0349,0.0336,0.0411,0.0238,0.0294,0.0148,0.0341,0.0346,0.0127,0.0234,-0.0239,-0.1352,-0.1774,-0.0048,0.0071,-0.0524,0.0443,0.0683,0.0272,0.0421,0.0408,0.0326,0.0658,0.0374,0.0425,0.0449,0.0599,0.0371,0.0394,0.0437,0.0500,-0.0491
25,EPS,0.72,0.83,0.95,1.12,1.19,1.24,1.48,1.79,1.14,1.47,0.83,2.16,2.11,0.71,1.36,-1.40,-7.74,-8.38,-0.19,0.31,-2.18,1.87,3.27,1.42,2.10,2.03,1.86,3.81,2.32,2.82,2.85,3.58,2.39,3.28,3.81,4.34,-4.30
26,EPS Diluted,0.72,0.83,0.95,1.12,1.19,1.24,1.48,1.79,1.11,1.46,0.83,2.14,2.10,0.71,1.36,-1.40,-7.74,-8.38,-0.19,0.30,-2.18,1.82,3.19,1.39,2.06,2.00,1.83,3.75,2.30,2.79,2.82,3.56,2.38,3.28,3.78,4.30,-4.30
27,Weighted Average Shares Outstanding,99583333,95662651,92947368,83392857,79159664,86370968,86554054,86815642,86929825,89115646,90240964,122314815,128246445,123943662,122058824,125700000,125600000,143794749,168421053,164516129,166055046,165240642,161467890,159589240,159139673,159398667,151705706,146066394,139500185,137225058,137937938,138530000,135290000,133640902,133888302,133525186,130376215
28,Weighted Average Shares Outstanding Diluted,99583333,95662651,92947368,83392857,79159664,86370968,86554054,86815642,89279279,89726027,90240964,123457944,128857143,123943662,122058824,125700000,125600000,143794749,168421053,170000000,166055046,169780220,165517241,162931236,161947196,162389003,154273649,148407801,140699764,138537590,139135104,139310000,135610000,133878064,134884969,134560915,131348050
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1219601/000095015904000274/0000950159-04-000274-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000121960105000069/0001219601-05-000069-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000121960106000014/0001219601-06-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000121960107000007/0001219601-07-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000121960108000009/0001219601-08-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000121960109000010/0001219601-09-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000121960110000012/0001219601-10-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000119312511050127/0001193125-11-050127-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000119312512087983/0001193125-12-087983-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000121960113000007/0001219601-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000121960114000007/0001219601-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000121960115000009/0001219601-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000121960116000052/0001219601-16-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000121960117000009/0001219601-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000121960118000009/0001219601-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000121960119000005/0001219601-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000121960120000006/0001219601-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000121960121000005/0001219601-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000121960122000011/0001219601-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,14800000,16500000,27200000,18000000,14400000,21800000,20200000,26900000,54200000,43500000,68100000,160400000,205600000,284000000,267000000,382000000,456000000,363000000,401000000,471000000,294000000,407000000,457000000,596000000,459000000,463000000,342000000,350000000,689000000,965000000,717000000,559000000,424000000,607000000,607000000,1173000000,531000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,14800000,16500000,27200000,18000000,14400000,21800000,20200000,26900000,54200000,43500000,68100000,160400000,205600000,284000000,267000000,382000000,456000000,363000000,401000000,471000000,294000000,407000000,457000000,596000000,459000000,463000000,342000000,350000000,689000000,965000000,717000000,559000000,424000000,607000000,607000000,1173000000,531000000
34,Net Receivables,279000000,270400000,283100000,248100000,313100000,478400000,617600000,583800000,532900000,738000000,744300000,1349300000,1353500000,1359000000,1166000000,1153000000,996000000,782000000,794000000,900000000,686000000,689000000,673000000,734000000,714000000,936000000,948000000,1057000000,1064000000,1031000000,912000000,865000000,1041000000,1602000000,1528000000,1783000000,1889000000
35,Inventory,158200000,175700000,209000000,226200000,301900000,466300000,489000000,659900000,699700000,767500000,811900000,1423800000,1387500000,1421000000,1312000000,1288000000,862000000,779000000,815000000,894000000,810000000,906000000,1030000000,979000000,960000000,1060000000,1148000000,1166000000,1213000000,1324000000,1213000000,1245000000,1385000000,1690000000,1626000000,1673000000,1735000000
36,Other Current Assets,13600000,14400000,19000000,11500000,26100000,16300000,22100000,31300000,37700000,56600000,84600000,358400000,200600000,104000000,96000000,90000000,108000000,100000000,112000000,78000000,55000000,60000000,74000000,148000000,109000000,190000000,165000000,177000000,214000000,304000000,207000000,172000000,224000000,180000000,241000000,254000000,362000000
37,Total Current Assets,465600000,477000000,538300000,503800000,655500000,982800000,1148900000,1301900000,1324500000,1605600000,1708900000,3291900000,3147200000,3168000000,2841000000,2913000000,2422000000,2024000000,2122000000,2343000000,1845000000,2062000000,2234000000,2457000000,2242000000,2649000000,2603000000,2750000000,3180000000,3624000000,3049000000,2841000000,3074000000,4079000000,4002000000,4883000000,4517000000
38,PP&E,346900000,404000000,465400000,495900000,763700000,1184600000,1229300000,1373300000,1593500000,1816500000,2005900000,3717300000,3663900000,3743000000,3255000000,2969000000,2618000000,2212000000,2112000000,2002000000,1607000000,1608000000,1604000000,1473000000,1509000000,1610000000,1751000000,1995000000,2152000000,2437000000,2699000000,2820000000,3239000000,3745000000,4091000000,4412000000,4036000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2185000000,2199000000,1956000000,2050000000,1984000000,1952000000,1998000000,2016000000,2671000000,6583000000,6054000000,3046000000,4442000000,4430000000,4593000000,- -
40,Intangible Assets,11800000,14100000,16700000,16500000,186800000,362500000,501600000,994100000,1119100000,1122400000,1095700000,4809900000,4625200000,4565000000,4228000000,3920000000,3625000000,2269000000,2442000000,2592000000,2013000000,- -,- -,- -,- -,- -,- -,- -,- -,255000000,577000000,473000000,472000000,2193000000,2015000000,1880000000,- -
41,Intangible Assets,11800000,14100000,16700000,16500000,186800000,362500000,501600000,994100000,1119100000,1122400000,1095700000,4809900000,4625200000,4565000000,4228000000,3920000000,3625000000,2269000000,2442000000,2592000000,2013000000,2185000000,2199000000,1956000000,2050000000,1984000000,1952000000,1998000000,2016000000,2926000000,7160000000,6527000000,3518000000,6635000000,6445000000,6473000000,4532000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22000000,- -,- -,- -,30000000,20000000,5000000,5000000,4000000,9000000,19000000,20000000,25000000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30000000,419000000,550000000,- -,- -,- -,577000000,488000000,565000000,596000000,593000000,399000000,272000000,278000000,242000000,- -
44,Other Non-Current Assets,41500000,43700000,37900000,57000000,49100000,66600000,102700000,155800000,179800000,236800000,241200000,771100000,869400000,993000000,1221000000,1357000000,955000000,1000000000,1097000000,1188000000,1080000000,473000000,523000000,316000000,731000000,656000000,562000000,140000000,174000000,151000000,-3489000000,-3186000000,424000000,512000000,669000000,635000000,795000000
45,Total Non-Current Assets,400200000,461800000,520000000,569400000,999600000,1613700000,1833600000,2523200000,2892400000,3175700000,3342800000,9298300000,9158500000,9301000000,8704000000,8246000000,7198000000,5481000000,5651000000,5782000000,4700000000,4296000000,4745000000,4317000000,4290000000,4250000000,4265000000,4740000000,4850000000,6084000000,6971000000,6758000000,7589000000,11183000000,11503000000,11787000000,9363000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,865800000,938800000,1058300000,1073200000,1655100000,2596500000,2982500000,3825100000,4216900000,4781300000,5051700000,12590200000,12305700000,12469000000,11545000000,11159000000,9620000000,7505000000,7773000000,8125000000,6545000000,6358000000,6979000000,6774000000,6532000000,6899000000,6868000000,7490000000,8030000000,9708000000,10020000000,9599000000,10663000000,15262000000,15505000000,16670000000,13880000000
48,Accounts Payable,- -,- -,- -,- -,405500000,595300000,535900000,738400000,795300000,737100000,668200000,2460900000,2236700000,2181000000,1127000000,1903000000,836000000,820000000,955000000,1186000000,1674000000,1224000000,1328000000,1266000000,1163000000,1300000000,1393000000,1469000000,1768000000,1881000000,1838000000,1951000000,2367000000,2732000000,2646000000,2845000000,- -
49,Short-Term Debt,16300000,17200000,8900000,4000000,157600000,128400000,184400000,379400000,474800000,735800000,608100000,1154300000,1784700000,2466000000,1531000000,300000000,845000000,666000000,230000000,76000000,211000000,121000000,83000000,90000000,59000000,399000000,195000000,376000000,373000000,252000000,263000000,194000000,126000000,175000000,188000000,243000000,210000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18000000,25000000,30000000,13000000,129000000,137000000,132000000,149000000,141000000,143000000,171000000,206000000,251000000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,208500000,231400000,289800000,317200000,31400000,12600000,41100000,17600000,10600000,10100000,2700000,47300000,27900000,63000000,756000000,58000000,825000000,784000000,851000000,818000000,58000000,611000000,672000000,716000000,703000000,678000000,697000000,673000000,779000000,793000000,807000000,751000000,757000000,1006000000,1065000000,1173000000,3945000000
53,Total Current Liabilities,224800000,248600000,298700000,321200000,594500000,736300000,761400000,1135400000,1280700000,1483000000,1279000000,3662500000,4049300000,4710000000,3414000000,2261000000,2506000000,2270000000,2036000000,2080000000,1943000000,1956000000,2083000000,2072000000,1925000000,2377000000,2285000000,2518000000,2920000000,2926000000,2908000000,2896000000,3250000000,3913000000,3899000000,4261000000,4155000000
54,Long-Term Debt,33500000,30700000,19700000,9400000,118100000,484300000,585000000,939900000,891500000,1089500000,1490100000,3923500000,3301400000,3188000000,3573000000,5049000000,4475000000,3388000000,3709000000,3796000000,3192000000,3420000000,3354000000,3247000000,2739000000,2649000000,3337000000,3289000000,3469000000,5007000000,5255000000,4717000000,5217000000,8517000000,7818000000,8197000000,6052000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,71300000,79200000,89400000,93700000,131000000,125300000,179400000,196400000,19600000,- -,- -,304000000,304400000,- -,381000000,354000000,352000000,370000000,317000000,342000000,- -,106000000,81000000,98000000,- -,- -,- -,23000000,28000000,29000000,223000000,203000000,202000000,399000000,405000000,393000000,- -
57,Other Non-Current Liabilities,4700000,3700000,4900000,900000,- -,298600000,358100000,364200000,719600000,768200000,702800000,893100000,838600000,1316000000,991000000,1191000000,1282000000,1368000000,1374000000,1429000000,1400000000,1142000000,1123000000,1321000000,1485000000,1644000000,1485000000,1537000000,1324000000,1359000000,1199000000,1115000000,1071000000,1147000000,1291000000,1215000000,1343000000
58,Total Non-Current Liabilities,109500000,113600000,114000000,104000000,249100000,908200000,1122500000,1500500000,1630700000,1857700000,2192900000,5120600000,4444400000,4504000000,4945000000,6594000000,6109000000,5126000000,5400000000,5567000000,4592000000,4668000000,4558000000,4666000000,4224000000,4293000000,4822000000,4849000000,4821000000,6395000000,6677000000,6035000000,6490000000,10063000000,9514000000,9805000000,7395000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,218000000,229000000,- -
61,Total Liabilities,334300000,362200000,412700000,425200000,843600000,1644500000,1883900000,2635900000,2911400000,3340700000,3471900000,8783100000,8493700000,9214000000,8359000000,8855000000,8615000000,7396000000,7436000000,7647000000,6535000000,6624000000,6641000000,6738000000,6149000000,6670000000,7107000000,7367000000,7741000000,9321000000,9585000000,8931000000,9740000000,13976000000,13413000000,14066000000,11550000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,779000000,780000000,780000000,902000000,929000000,929000000,929000000,929000000,929000000,929000000,929000000,929000000,929000000,929000000,929000000,929000000,929000000,929000000,929000000,929000000,929000000,929000000,- -
64,Retained Earnings,617300000,637900000,666300000,605200000,760300000,867900000,880100000,744200000,843100000,974100000,1049000000,1185000000,1327200000,1250000000,1295000000,994000000,22000000,-1183000000,-1215000000,-1164000000,-1526000000,-1217000000,-654000000,-428000000,-94000000,230000000,512000000,1069000000,1395000000,1782000000,2175000000,2621000000,3004000000,3449000000,3959000000,4538000000,- -
65,Other Comprehensive Income/Loss,-340100000,-385600000,-443600000,-456400000,-524200000,-618900000,-668500000,-742600000,-889100000,-1049100000,-1239800000,-1537900000,-1921000000,-2153000000,-2154000000,-2391000000,-2652000000,-1386000000,-1170000000,-1087000000,-1224000000,-1731000000,-1646000000,-2195000000,-2255000000,-2333000000,-2590000000,-2614000000,-2513000000,-2765000000,-3154000000,-3400000000,-3241000000,-3374000000,-3131000000,-3193000000,-1898000000
66,Other Total Stockholders Equity,254300000,324300000,422900000,499200000,575400000,703000000,887000000,1187600000,1351500000,1515600000,1770600000,4160000000,4405800000,4158000000,3266000000,2921000000,2855000000,1580000000,1596000000,1599000000,1585000000,1474000000,1386000000,1377000000,1414000000,1078000000,676000000,454000000,193000000,173000000,194000000,216000000,-91000000,-67000000,-44000000,-76000000,- -
67,Total Stockholders Equity,531500000,576600000,645600000,648000000,811500000,952000000,1098600000,1189200000,1305500000,1440600000,1579800000,3807100000,3812000000,3255000000,3186000000,2304000000,1005000000,-87000000,140000000,277000000,-236000000,-545000000,15000000,-317000000,-6000000,-96000000,-473000000,-162000000,4000000,119000000,144000000,366000000,601000000,937000000,1713000000,2198000000,1912000000
68,Total Liabilities And Stockholders Equity,865800000,938800000,1058300000,1073200000,1655100000,2596500000,2982500000,3825100000,4216900000,4781300000,5051700000,12590200000,12305700000,12469000000,11545000000,11159000000,9620000000,7309000000,7576000000,7924000000,6299000000,6079000000,6656000000,6421000000,6143000000,6574000000,6634000000,7205000000,7745000000,9440000000,9729000000,9297000000,10341000000,14913000000,15126000000,16264000000,13462000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,196000000,197000000,201000000,246000000,279000000,323000000,353000000,389000000,325000000,234000000,285000000,285000000,268000000,291000000,302000000,322000000,349000000,379000000,406000000,418000000
70,Total Liabilities & Equity,865800000,938800000,1058300000,1073200000,1655100000,2596500000,2982500000,3825100000,4216900000,4781300000,5051700000,12590200000,12305700000,12469000000,11545000000,11159000000,9620000000,7505000000,7773000000,8125000000,6545000000,6358000000,6979000000,6774000000,6532000000,6899000000,6868000000,7490000000,8030000000,9708000000,10020000000,9599000000,10663000000,15262000000,15505000000,16670000000,13880000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1219601/000095015904000274/0000950159-04-000274-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000121960105000069/0001219601-05-000069-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000121960106000014/0001219601-06-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000121960107000007/0001219601-07-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000121960108000009/0001219601-08-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000121960109000010/0001219601-09-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000121960110000012/0001219601-10-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000119312511050127/0001193125-11-050127-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000119312512087983/0001193125-12-087983-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000121960113000007/0001219601-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000121960114000007/0001219601-14-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000121960115000009/0001219601-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000121960116000052/0001219601-16-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000121960117000009/0001219601-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000121960118000009/0001219601-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000121960119000005/0001219601-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000121960120000006/0001219601-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000121960121000005/0001219601-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1219601/000121960122000011/0001219601-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,94200000,107100000,128100000,155400000,99100000,131000000,74900000,284000000,294000000,105000000,181000000,-174000000,-972000000,-1205000000,-32000000,51000000,-362000000,309000000,528000000,226000000,334000000,324000000,282000000,557000000,324000000,387000000,393000000,496000000,323000000,439000000,510000000,579000000,-560000000
74,Depreciation and Amortization,- -,- -,- -,- -,61800000,102000000,128400000,142400000,191700000,218300000,256300000,495900000,540000000,533000000,522000000,495000000,499000000,375000000,326000000,308000000,282000000,230000000,229000000,216000000,194000000,172000000,176000000,180000000,134000000,190000000,237000000,247000000,247000000,425000000,490000000,481000000,463000000
