,https://roic.ai/company/SIG,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
10,Operating Expenses,7600000,20200000,29000000,96700000,143500000,190900000,138900000,272700000,127300000,110800000,110400000,113100000,75300000,72800000,72662000,84900000,91300000,116787000,121000000,50200000,49900000,49200000,850699248,801100000,870400000,930200000,976900000,1010000000,1712900000,1736700000,1597600000,1610100000,2987600000,2074600000,1587400000,-2230000000
11,COGS and Expenses,201200000,542100000,951000000,1290900000,1927500000,1978800000,1376900000,1564500000,1393400000,1257700000,1321300000,1367000000,1474000000,1611700000,1766974000,1978800000,2111600000,2471691000,2563000000,2792700000,3105100000,3314000000,3114898808,3014900000,3064900000,3241800000,3422900000,3638700000,5375000000,5846500000,5645200000,5673100000,7011700000,5978800000,5081800000,2472000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,117998860,115800000,700000,125400000,159700000,186400000,217900000,252600000,282500000,258100000,22800000,- -,4200000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32799732,34800000,72800000,5300000,3600000,4000000,36000000,45900000,49400000,52700000,39700000,35600000,32000000,-16000000
14,Depreciation and Amortization,5900000,15600000,29000000,38700000,57500000,110400000,55200000,54700000,44700000,40600000,39400000,43800000,45500000,44897000,44737000,49000000,62257000,73722000,79647000,82259000,98824000,114100000,- -,108900000,97800000,92400000,99400000,110200000,149700000,175300000,188800000,203400000,183600000,178000000,176000000,163500000
15,EBITDA,38500000,104200000,179600000,242700000,277900000,-104300000,-4200000,-115800000,12400000,14800000,69200000,156100000,167500000,210697000,282750000,285800000,364357000,460398000,459047000,447259000,481624000,452200000,-293700792,385500000,471000000,599800000,659900000,680700000,726300000,879000000,952000000,783300000,-579300000,343300000,118300000,1031500000
16,EBITDA ratio,0.1608,0.1638,0.1614,0.1609,0.1268,-0.0526,-0.0031,-0.0777,0.0085,0.0109,0.0479,0.1030,0.1019,0.1147,0.1394,0.1261,0.1493,0.1560,0.1548,0.1411,0.1370,0.1234,-0.0878,0.1171,0.1370,0.1600,0.1657,0.1617,0.1266,0.1342,0.1486,0.1253,-0.0927,0.0559,0.0226,0.1318
17,Operating Income,38200000,94000000,161500000,217500000,264100000,2500000,-3000000,-75100000,66200000,96800000,122500000,148200000,168400000,224646000,261259000,283408000,356081000,405653000,412167000,370700000,434985000,351300000,-297300024,275800000,372500000,507400000,560500000,570500000,576600000,703700000,763200000,579900000,-764600000,158300000,-57700000,903400000
18,Operating Income ratio,0.1596,0.1478,0.1452,0.1442,0.1205,0.0013,-0.0022,-0.0504,0.0454,0.0715,0.0848,0.0978,0.1025,0.1223,0.1288,0.1250,0.1460,0.1375,0.1390,0.1170,0.1237,0.0958,-0.0889,0.0838,0.1084,0.1353,0.1407,0.1355,0.1005,0.1074,0.1191,0.0927,-0.1224,0.0258,-0.0110,0.1154
19,Total Other Income Expenses (Gains),-5600000,-5400000,-10900000,-13500000,-43700000,-217200000,-56400000,-95400000,-98500000,-122600000,-92700000,-35900000,-20500000,-18246000,-23245000,-20808000,-53081000,-18978000,-25967000,-8200000,-38985000,-17800000,-29200500,-34000000,-72100000,-5300000,-3600000,-4000000,-36000000,-45900000,-49400000,-52700000,-38000000,-28600000,-32000000,-19400000
20,Income Before Tax,32600000,88600000,150600000,204000000,220400000,-214700000,-59400000,-170500000,-32300000,-25800000,29800000,112300000,147900000,206400000,238014000,262600000,303000000,386675000,386200000,362500000,396000000,333500000,-326500524,241800000,300400000,502100000,556900000,566500000,540600000,657800000,713800000,527200000,-802600000,129700000,-89700000,884000000
21,Income Before Tax Ratio,0.1362,0.1393,0.1354,0.1352,0.1006,-0.1084,-0.0432,-0.1145,-0.0221,-0.0190,0.0206,0.0741,0.0900,0.1124,0.1174,0.1158,0.1242,0.1310,0.1302,0.1144,0.1126,0.0910,-0.0976,0.0735,0.0874,0.1339,0.1398,0.1346,0.0942,0.1004,0.1114,0.0843,-0.1285,0.0211,-0.0172,0.1130
22,Income Tax expense (Gain),11100000,32200000,55700000,71400000,71600000,6400000,-21500000,-1500000,9200000,11400000,17900000,29200000,39800000,61900000,76170000,90700000,107400000,136313000,126900000,125900000,133200000,118300000,67200084,77700000,100000000,177700000,197000000,198500000,159300000,189900000,170600000,7900000,-145200000,24200000,-74500000,115000000
23,Net Income,21500000,56400000,94900000,132600000,148800000,-221100000,-37900000,-169000000,-41500000,-37200000,11900000,83100000,82200000,103900000,161843000,146100000,194700000,250363000,252500000,239100000,249600000,219800000,-393700608,164100000,200400000,324400000,359900000,368000000,381300000,467900000,543200000,519300000,-657400000,105500000,-15200000,769000000
24,Net Income ratio,0.0898,0.0887,0.0853,0.0879,0.0679,-0.1116,-0.0276,-0.1135,-0.0284,-0.0275,0.0082,0.0548,0.0500,0.0566,0.0798,0.0644,0.0798,0.0848,0.0852,0.0754,0.0710,0.0600,-0.1177,0.0499,0.0583,0.0865,0.0903,0.0874,0.0665,0.0714,0.0848,0.0830,-0.1052,0.0172,-0.0029,0.0983
25,EPS,5.54,9.30,11.39,12.53,0.99,-1.76,-0.19,-1.15,-0.29,-0.25,0.08,0.65,0.13,1.71,1.93,2.05,2.47,0.10,3.09,2.67,3.22,2.53,-4.62,1.84,2.34,3.76,4.37,4.59,4.77,5.89,7.13,7.72,-12.62,1.40,-0.94,14.01
26,EPS Diluted,4.98,8.52,10.38,11.26,0.93,-1.76,-0.19,-1.15,-0.29,-0.25,0.08,0.65,0.13,1.71,1.90,1.97,2.47,0.10,3.05,2.67,3.22,2.52,-4.62,1.83,2.32,3.73,4.35,4.56,4.75,5.87,7.08,7.44,-12.62,1.40,-0.94,12.22
27,Weighted Average Shares Outstanding,14668168,14668168,14668168,10584747,14668168,14668168,14668168,14668168,14668168,14668168,14668168,44911441,83825826,84875380,83923920,85385890,85620120,859309310,86580000,86830000,86380000,85190000,85200000,85300000,85700000,86200000,82300000,80200000,79900000,79500000,74500000,63000000,54700000,51700000,52000000,52500000
28,Weighted Average Shares Outstanding Diluted,14668168,14668168,14668168,11774045,14668168,14668168,14668168,14668168,14668168,14668168,14668168,44911441,83825826,84875380,84619620,85385890,86441440,865915915,86880000,86995000,86720000,85355000,85200000,85600000,86400000,87000000,82800000,80700000,80200000,79700000,76700000,69800000,54700000,51800000,52000000,63000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/832988/000115697307000735/0001156973-07-000735-index.html,- -,https://www.sec.gov/Archives/edgar/data/832988/000119312509070078/0001193125-09-070078-index.html,https://www.sec.gov/Archives/edgar/data/832988/000119312510071072/0001193125-10-071072-index.html,https://www.sec.gov/Archives/edgar/data/832988/000119312511082150/d10k.htm,https://www.sec.gov/Archives/edgar/data/832988/000119312512126437/0001193125-12-126437-index.html,https://www.sec.gov/Archives/edgar/data/832988/000119312513130663/0001193125-13-130663-index.html,https://www.sec.gov/Archives/edgar/data/832988/000119312514117532/d646375d10k.htm,https://www.sec.gov/Archives/edgar/data/832988/000162828015001969/a10k-1312015xq4.htm,https://www.sec.gov/Archives/edgar/data/832988/000162828016012998/0001628280-16-012998-index.html,https://www.sec.gov/Archives/edgar/data/832988/000162828017002652/0001628280-17-002652-index.html,https://www.sec.gov/Archives/edgar/data/832988/000162828018003906/0001628280-18-003906-index.html,https://www.sec.gov/Archives/edgar/data/832988/000083298819000003/0000832988-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/832988/000083298820000018/0000832988-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/832988/000083298821000025/0000832988-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/832988/000083298822000019/0000832988-22-000019-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2700000,37100000,50200000,180500000,338100000,450300000,253000000,172500000,221600000,231400000,261000000,42300000,108300000,147800000,- -,94300000,147000000,233574000,193300000,92800000,152000000,41700000,96800018,316200000,302100000,486800000,301000000,247600000,193600000,1900000,98700000,227000000,197400000,374500000,1172500000,1418000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2700000,37100000,50200000,180500000,338100000,450300000,253000000,172500000,221600000,231400000,261000000,43800000,108300000,147800000,- -,94300000,147000000,233574000,193300000,92800000,152000000,41700000,96800018,316200000,302100000,486800000,301000000,247600000,193600000,1900000,98700000,227000000,197400000,374500000,1172500000,1418000000
34,Net Receivables,22700000,47200000,68200000,64100000,145600000,98500000,323000000,338600000,284000000,281200000,294300000,362300000,402300000,389400000,- -,502500000,544000000,591418000,672700000,760700000,867700000,927500000,951999748,885900000,974100000,1132500000,1247400000,1432000000,1633000000,- -,1958300000,782300000,25300000,40700000,135300000,19000000
35,Inventory,118400000,308100000,441200000,628800000,872500000,747400000,539400000,541000000,533600000,514800000,523400000,504200000,543500000,596100000,- -,787400000,888800000,988129000,1091800000,1201400000,1348400000,1445500000,1364400212,1173100000,1184200000,1304100000,1397000000,1488000000,2439000000,- -,2449300000,2280500000,2386900000,2331700000,2032500000,2060000000
36,Other Current Assets,8800000,22300000,15600000,70700000,205200000,124400000,59600000,71700000,84000000,66100000,60400000,- -,- -,47600000,- -,37000000,48600000,28102000,35800000,- -,- -,- -,- -,60600000,81900000,92900000,87500000,90000000,141700000,- -,136300000,156300000,246200000,407900000,241700000,233000000
37,Total Current Assets,152600000,414700000,575200000,944100000,1561400000,1420600000,1175000000,1123800000,1123200000,1093500000,1139100000,910300000,1054100000,1180900000,- -,1421200000,1628400000,1841223000,1993600000,2054900000,2368100000,2414700000,2413199978,2435800000,2542300000,3016300000,3032900000,3257600000,4407300000,- -,4642600000,3446100000,2855800000,3154800000,3582000000,3730000000
38,PP&E,145100000,254300000,341600000,352100000,515900000,414100000,35700000,265000000,250800000,226600000,206400000,206600000,207500000,222600000,- -,303500000,338500000,370069000,428200000,448600000,484000000,502400000,452100166,396900000,351500000,383400000,430400000,487600000,665900000,- -,822900000,877900000,800500000,2425200000,1967700000,1781000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34300000,32600000,- -,28700000,30600000,30500000,30600000,- -,- -,- -,- -,24600000,26800000,519200000,- -,517600000,821700000,296600000,248800000,238000000,484000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30657000,- -,9900000,15700000,22000000,- -,24200000,27500000,- -,- -,- -,447100000,- -,417000000,481500000,265000000,263800000,179000000,314000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34300000,32600000,30657000,28700000,40500000,46200000,52600000,23899708,24200000,27500000,- -,24600000,26800000,966300000,943300000,934600000,1303200000,561600000,512600000,417000000,798000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25200000,26800000,27200000,27900000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,- -,13000000,800000,- -,104000000,- -,- -,- -,9899330,- -,- -,- -,- -,- -,111100000,- -,101400000,92300000,- -,5200000,16400000,37000000
44,Other Non-Current Assets,-100000,- -,- -,- -,35800000,23600000,271600000,3700000,3600000,3700000,- -,100000,- -,-5000000,- -,-13000000,-700000,- -,-104000000,56000000,61800000,54500000,54800326,67300000,168500000,211700000,227900000,257200000,151800000,914400000,69100000,92200000,202200000,201300000,195800000,229000000
45,Total Non-Current Assets,145000000,254300000,341600000,352100000,551700000,437700000,307300000,268700000,254400000,230300000,206400000,206700000,207500000,222600000,- -,337800000,371200000,400726000,456900000,545100000,592000000,609500000,540699530,488400000,547500000,595100000,682900000,771600000,1920300000,1884500000,1955200000,2393500000,1564300000,3144300000,2596900000,2845000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,297600000,669000000,916800000,1296200000,2113100000,1858300000,1482300000,1392500000,1377600000,1323800000,1345500000,1117000000,1261600000,1403500000,- -,1759000000,1999600000,2241949000,2450500000,2600000000,2960100000,3024200000,2953899508,2924200000,3089800000,3611400000,3715800000,4029200000,6327600000,- -,6597800000,5839600000,4420100000,6299100000,6178900000,6575000000
48,Accounts Payable,- -,- -,- -,- -,396200000,399100000,59600000,46300000,181600000,55300000,56700000,67500000,- -,81700000,- -,119100000,96700000,101459000,78200000,111900000,115200000,357500000,162299984,66200000,125900000,182600000,155900000,162900000,277700000,- -,255700000,237000000,153700000,227900000,812600000,899000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41900000,- -,20000000,20400000,112590000,14900000,- -,- -,- -,187500376,- -,- -,- -,- -,- -,96600000,- -,- -,- -,- -,- -,377300000,300000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44000000,38000000,77900000,97100000,103900000,- -,65700000,101800000,19600000,27700000,27700000,122800000,23000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,120000000,146000000,154100000,159700000,173000000,248000000,260300000,276900000,288600000,270000000,266200000,288700000,341000000
52,Other Current Liabilities,136100000,274900000,470700000,642700000,294400000,871000000,983900000,246900000,754700000,218900000,598000000,181200000,344900000,286400000,- -,315200000,418100000,391785000,570700000,716700000,506100000,241100000,387500008,435100000,439100000,530500000,553100000,564800000,716000000,- -,671100000,511600000,609300000,1158500000,520100000,530000000
53,Total Current Liabilities,136100000,274900000,470700000,642700000,690600000,1270100000,1043500000,293200000,936300000,274200000,654700000,248700000,344900000,410000000,- -,454300000,535200000,605834000,663800000,828600000,621300000,598600000,737300368,621300000,711000000,867200000,868700000,900700000,1338300000,- -,1203700000,1037200000,1033000000,1652600000,1998700000,2070000000
54,Long-Term Debt,1900000,83800000,136200000,114300000,615800000,6400000,6500000,679600000,6500000,597800000,198100000,300200000,- -,- -,- -,- -,- -,266786000,250700000,- -,379400000,380000000,380000166,280000000,- -,- -,- -,- -,1363500000,- -,1317900000,688200000,649600000,515900000,1294000000,1152000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,353200000,374000000,408900000,443700000,563900000,629100000,659000000,668900000,696500000,731500000,783300000,857000000
56,Deferred Tax Liabilities,12500000,13900000,6100000,16300000,- -,- -,- -,- -,- -,3100000,- -,- -,- -,- -,- -,- -,- -,9854000,- -,- -,- -,- -,- -,- -,- -,135000000,129600000,113100000,21000000,72500000,101400000,92300000,- -,5200000,159200000,160000000
57,Other Non-Current Liabilities,51700000,65500000,113100000,170500000,24400000,50600000,52700000,44500000,41700000,37900000,11300000,10900000,281900000,257800000,- -,341300000,317000000,31751000,140600000,217900000,216300000,239500000,226900142,225300000,86600000,-43900000,-21300000,8600000,230500000,1559200000,213700000,239600000,224100000,1554300000,111100000,120000000
58,Total Non-Current Liabilities,66100000,163200000,255400000,301100000,640200000,57000000,59200000,724100000,48200000,638800000,209400000,311100000,281900000,257800000,- -,341300000,317000000,308391000,391300000,217900000,595700000,619500000,606900308,505300000,439800000,465100000,517200000,565400000,2178900000,2260800000,2292000000,1689000000,1570200000,2806900000,2347600000,2289000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4282000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1200000,200000,- -,- -,- -,1775900000,1524600000,- -
61,Total Liabilities,202200000,438100000,726100000,943800000,1330800000,1327100000,1102700000,1017300000,984500000,913000000,864100000,559800000,626800000,667800000,- -,795600000,852200000,914225000,1055100000,1046500000,1217000000,1218100000,1344200676,1126600000,1150800000,1332300000,1385900000,1466100000,3517200000,- -,3495700000,2726200000,2603200000,4459500000,4346300000,4359000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,611900000,613600000,615300000,617000000,642300000,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13800000,14000000,13800000,- -,12200000,14200000,15693000,16400000,15400000,16900000,15400000,15299620,15400000,15500000,15600000,15700000,15700000,15700000,- -,15700000,15700000,12600000,12600000,12600000,- -
64,Retained Earnings,28400000,65700000,132900000,233200000,332300000,25200000,-165900000,-127200000,-115100000,-49100000,-36600000,337100000,563400000,661700000,- -,878500000,1039300000,936122000,1242400000,1411400000,1574700000,1650500000,1400900116,1791600000,1897500000,2204500000,2503600000,2813300000,3135700000,- -,3996300000,4396600000,2282600000,2243300000,2189200000,2877000000
65,Other Comprehensive Income/Loss,-41000000,-63100000,-114800000,-110000000,-239100000,-296600000,-69100000,-347200000,-324900000,-337600000,-365200000,-402300000,1500000,1500000,- -,4300000,5100000,-457477000,8100000,-487300000,235000000,236000000,40000000,57000000,64000000,76000000,60000000,-178000000,-236000000,-274000000,-307000000,-260000000,-302000000,-293000000,-290100000,-350000000
66,Other Total Stockholders Equity,108000000,228300000,172600000,229200000,689100000,802600000,614600000,849600000,833100000,797500000,883200000,608600000,55900000,58700000,- -,68400000,88536000,833386000,159962000,625381000,-85286000,-95800000,153499096,-66400000,-38000000,-17000000,-249400000,-87900000,-105000000,- -,-1214800000,-1652500000,-791600000,-740300000,-721400000,- -
67,Total Stockholders Equity,95400000,230900000,190700000,352400000,782300000,531200000,379600000,375200000,393100000,410800000,481400000,557200000,634800000,735700000,- -,963400000,1147136000,1327724000,1426862000,1564881000,1741314000,1806100000,1609698832,1797600000,1939000000,2279100000,2329900000,2563100000,2810400000,3060700000,3102100000,3113400000,1816900000,1839600000,1832600000,1564000000
68,Total Liabilities And Stockholders Equity,297600000,669000000,916800000,1296200000,2113100000,1858300000,1482300000,1392500000,1377600000,1323800000,1345500000,1117000000,1261600000,1403500000,- -,1759000000,1999336000,2241949000,2481962000,2611381000,2958314000,3024200000,2953899508,2924200000,3089800000,3611400000,3715800000,4029200000,6327600000,- -,6597800000,5839600000,4420100000,6299100000,6178900000,5923000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,264000,- -,-31462000,-11381000,1786000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,652000000
70,Total Liabilities & Equity,297600000,669000000,916800000,1296200000,2113100000,1858300000,1482300000,1392500000,1377600000,1323800000,1345500000,1117000000,1261600000,1403500000,- -,1759000000,1999600000,2241949000,2450500000,2600000000,2960100000,3024200000,2953899508,2924200000,3089800000,3611400000,3715800000,4029200000,6327600000,- -,6597800000,5839600000,4420100000,6299100000,6178900000,6575000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/832988/000115697307000735/0001156973-07-000735-index.html,- -,https://www.sec.gov/Archives/edgar/data/832988/000119312509070078/0001193125-09-070078-index.html,https://www.sec.gov/Archives/edgar/data/832988/000119312510071072/0001193125-10-071072-index.html,https://www.sec.gov/Archives/edgar/data/832988/000119312511082150/d10k.htm,https://www.sec.gov/Archives/edgar/data/832988/000119312512126437/0001193125-12-126437-index.html,https://www.sec.gov/Archives/edgar/data/832988/000119312513130663/0001193125-13-130663-index.html,https://www.sec.gov/Archives/edgar/data/832988/000119312514117532/d646375d10k.htm,https://www.sec.gov/Archives/edgar/data/832988/000162828015001969/a10k-1312015xq4.htm,https://www.sec.gov/Archives/edgar/data/832988/000162828016012998/0001628280-16-012998-index.html,https://www.sec.gov/Archives/edgar/data/832988/000162828017002652/0001628280-17-002652-index.html,https://www.sec.gov/Archives/edgar/data/832988/000162828018003906/0001628280-18-003906-index.html,https://www.sec.gov/Archives/edgar/data/832988/000083298819000003/0000832988-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/832988/000083298820000018/0000832988-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/832988/000083298821000025/0000832988-21-000025-index.htm,https://www.sec.gov/Archives/edgar/data/832988/000083298822000019/0000832988-22-000019-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,148800000,-221100000,-37900000,-169000000,-41500000,-37200000,11900000,83100000,82200000,103900000,161843000,146100000,194700000,250363000,252500000,239100000,249600000,219800000,-393700608,164100000,200400000,324400000,359900000,368000000,381300000,467900000,543200000,519300000,-657400000,105500000,-15200000,769000000
74,Depreciation and Amortization,- -,- -,- -,- -,57500000,110400000,55200000,54700000,44700000,40600000,39400000,43800000,45500000,44897000,44737000,49000000,62257000,73722000,79647000,82259000,98824000,114100000,- -,108900000,97800000,92400000,99400000,110200000,149700000,175300000,188800000,203400000,183600000,178000000,176000000,163500000
75,Deferred Income Tax,- -,- -,- -,- -,20300000,1800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15500000,25100000,29300000,4300000,-20400000,-47600000,25000000,27700000,-33400000,-105600000,21500000,141800000,100000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,699370,5600000,17200000,17000000,15700000,14400000,12100000,16400000,8000000,16100000,16500000,16900000,14500000,45800000
77,Change in Working Capital,- -,- -,- -,- -,-237200000,-720300000,-19000000,699100000,-643700000,632400000,-334900000,177200000,47600000,61700000,196000000,126300000,142189000,94411000,-103500000,520500000,69300000,-140200390,138600390,16800000,317800000,15100000,192700000,712100000,-3069000000,3438900000,-1030000000,-586100000,-320600000,81100000,76700000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32400000,-78700000,-152500000,-117100000,-168300000,-194600000,-189800000,-102700000,242100000,18100000,-15200000,-50100000,12400000
79,Inventory,- -,- -,- -,- -,-79600000,60900000,70100000,6600000,1400000,10000000,4700000,20700000,-40700000,-51196000,-119445000,-42363000,-73950000,-81934000,-98476000,-129620000,-123383000,-96800000,12699694,226500000,-19500000,-115200000,-65700000,-98400000,-121600000,-46000000,-9700000,210900000,-194300000,48800000,308000000,198300000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22000000,59400000,57200000,-39600000,3200000,23700000,-6400000,-7000000,-51400000,-78500000,77200000,577800000,35700000
81,Other Working Capital,- -,- -,- -,- -,870800000,150500000,131500000,830600000,186900000,819300000,484400000,661600000,709200000,770900000,966900000,1093200000,1235389000,1329800000,1226300000,1746800000,1816100000,1675899610,1814500000,1831300000,2149100000,2164200000,2356900000,3069000000,- -,3438900000,2408900000,1822800000,1502200000,1583300000,1660000000,1660000000
