,https://roic.ai/company/ARKR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,10900000,16100000,17600000,19100000,21100000,28000000,29800000,33300000,37800000,42900000,53100000,56600000,74200000,79600000,75500000,87725238,103100000,80400000,83300000,76500000,78300000,78877000,80800000,82800000,82300000,84500000,99900000,92800000,91200000,94600000,97487000,103213000,53835000,111922000,115673000,14757000,44944000
11,COGS and Expenses,16500000,22800000,24700000,26500000,29000000,38400000,40300000,47300000,53400000,59600000,73000000,77500000,102700000,110900000,104800000,118741342,135600000,109200000,112600000,106100000,107300000,108253000,112900000,115600000,111700000,114800000,137500000,128000000,124000000,131700000,136922000,142758000,148506000,154958000,159108000,114286000,126473000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,295000,82000,72000,33000,- -,45000,47000,180000,170000,57000,61000,126000,51000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-300000,-700000,-400000,-200000,- -,-2300000,-1100000,-600000,-100000,100000,- -,-65000,-57000,-43000,-29000,14000,23000,62000,201000,238000,416000,753000,1163000,1437000,-1421000,1230000
14,Depreciation and Amortization,300000,500000,600000,700000,700000,1000000,1200000,1300000,1600000,1800000,2400000,2800000,3400000,4000000,4100000,4885286,5938000,5172000,4286000,3591000,3694000,3778000,2721000,3091000,3619000,3873000,4491000,4110000,4303000,4619000,4415000,4553000,4132000,5074000,5233000,4640000,5438000
15,EBITDA,2500000,500000,1900000,2500000,1100000,2500000,3500000,4300000,5300000,3600000,4300000,3800000,5500000,11300000,11000000,-743946,-6462000,9672000,8086000,12991000,13194000,11822000,19709000,13710000,7916000,7565000,6050000,12646000,10106000,11495000,12639000,11097000,10592000,9745000,8755000,-5784000,20744000
16,EBITDA ratio,0.1316,0.0205,0.0712,0.0890,0.0379,0.0639,0.0841,0.0872,0.0946,0.0596,0.0589,0.0487,0.0521,0.0954,0.0985,-0.0062,-0.0507,0.0837,0.0693,0.1123,0.1141,0.1019,0.1587,0.1093,0.0688,0.0642,0.0434,0.0916,0.0774,0.0825,0.0866,0.0737,0.0688,0.0609,0.0539,-0.0543,0.1573
17,Operating Income,2500000,1600000,2000000,1600000,- -,700000,1300000,2000000,2600000,800000,- -,500000,1700000,6300000,5900000,471144,-8238000,6297000,3961000,9617000,8252000,7716000,11336000,9787000,3272000,2999000,1902000,9991000,6606000,7628000,8941000,7394000,7008000,5032000,3246000,-7796000,6207000
18,Operating Income ratio,0.1316,0.0656,0.0749,0.0569,- -,0.0179,0.0313,0.0406,0.0464,0.0132,- -,0.0064,0.0161,0.0532,0.0528,0.0040,-0.0647,0.0545,0.0340,0.0831,0.0714,0.0665,0.0913,0.0780,0.0285,0.0255,0.0136,0.0724,0.0506,0.0547,0.0613,0.0491,0.0455,0.0315,0.0200,-0.0732,0.0471
19,Total Other Income Expenses (Gains),-300000,-1100000,-700000,200000,700000,800000,1000000,900000,1000000,500000,2200000,700000,1200000,1400000,1200000,-5910863,-1962000,-697000,439000,583000,748000,795000,1164000,1113000,828000,401000,698000,509000,494000,372000,47000,194000,-583000,-1106000,-1376000,-1207000,9221000
20,Income Before Tax,2200000,- -,1300000,1800000,400000,1500000,2300000,2900000,3600000,1300000,1900000,1200000,2900000,7700000,7100000,-5439719,-10200000,5600000,4400000,10200000,9000000,8511000,12500000,10900000,4100000,3400000,2600000,10500000,7100000,8000000,8988000,7588000,6425000,3926000,1870000,-9003000,15428000
21,Income Before Tax Ratio,0.1158,- -,0.0487,0.0641,0.0138,0.0384,0.0553,0.0588,0.0643,0.0215,0.0260,0.0154,0.0275,0.0650,0.0636,-0.0456,-0.0801,0.0485,0.0377,0.0882,0.0779,0.0734,0.1006,0.0869,0.0357,0.0289,0.0187,0.0761,0.0544,0.0574,0.0616,0.0504,0.0418,0.0245,0.0115,-0.0845,0.1170
22,Income Tax expense (Gain),1300000,300000,600000,1000000,500000,800000,1200000,1400000,1800000,700000,800000,500000,1100000,3100000,2600000,-1906102,-3300000,1400000,1100000,2800000,2800000,2824000,3853000,3676000,1240000,1121000,145000,3013000,1941000,1775000,2596000,2098000,1668000,-1147000,-591000,- -,1181000
23,Net Income,900000,-300000,700000,800000,-100000,700000,1100000,1600000,1900000,1100000,1100000,800000,1700000,4600000,4500000,-3723130,-6800000,4200000,3300000,6700000,6600000,5220000,13200000,7000000,3100000,2600000,1400000,5500000,3800000,4900000,5390000,4030000,4039000,4655000,2676000,-9003000,12895000
24,Net Income ratio,0.0474,-0.0123,0.0262,0.0285,-0.0034,0.0179,0.0264,0.0325,0.0339,0.0182,0.0151,0.0103,0.0161,0.0388,0.0403,-0.0312,-0.0534,0.0364,0.0283,0.0579,0.0571,0.0450,0.1063,0.0558,0.0270,0.0221,0.0100,0.0399,0.0291,0.0352,0.0370,0.0268,0.0262,0.0291,0.0165,-0.0845,0.0978
25,EPS,0.30,-0.09,0.20,0.24,-0.02,0.22,0.37,0.50,0.61,0.36,0.34,0.24,0.47,1.21,1.30,-1.17,-2.15,1.33,1.04,2.01,1.92,1.50,3.63,1.94,0.88,0.75,0.41,1.67,1.18,1.49,1.59,1.18,1.18,1.35,0.77,-1.34,3.67
26,EPS Diluted,0.30,-0.09,0.20,0.24,-0.02,0.22,0.37,0.50,0.61,0.36,0.34,0.24,0.47,1.20,1.29,-1.17,-2.15,1.32,1.03,1.93,1.85,1.47,3.61,1.93,0.87,0.74,0.40,1.65,1.13,1.43,1.54,1.15,1.14,1.31,0.76,-1.34,3.58
27,Weighted Average Shares Outstanding,3000000,3333333,3500000,3333333,3333000,3181818,2972973,3200000,3114754,3055556,3251336,3241394,3716020,3826255,3460865,3186496,3181000,3181000,3181000,3305000,3436000,3472000,3582000,3594000,3494000,3490000,3494000,3292000,3246000,3296000,3393000,3418000,3424000,3439000,3479000,3500000,3516000
28,Weighted Average Shares Outstanding Diluted,3000000,3333333,3500000,3333333,3333000,3181818,2972973,3200000,3114754,3055556,3251336,3241394,3777778,3852019,3475980,3186496,3181000,3206000,3213000,3444000,3555000,3548000,3607000,3608000,3506000,3514000,3525000,3327000,3371000,3430000,3509000,3507000,3531000,3549000,3531000,3500000,3604000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/779544/000095011700002729/0000950117-00-002729-index.html,https://www.sec.gov/Archives/edgar/data/779544/000095011701501900/0000950117-01-501900-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/779544/000093041307009678/0000930413-07-009678-index.htm,https://www.sec.gov/Archives/edgar/data/779544/000093041308007367/0000930413-08-007367-index.htm,https://www.sec.gov/Archives/edgar/data/779544/000093041310000001/0000930413-10-000001-index.htm,https://www.sec.gov/Archives/edgar/data/779544/000093041311000028/0000930413-11-000028-index.htm,https://www.sec.gov/Archives/edgar/data/779544/000093041311008132/0000930413-11-008132-index.htm,https://www.sec.gov/Archives/edgar/data/779544/000093041312006712/0000930413-12-006712-index.htm,https://www.sec.gov/Archives/edgar/data/779544/000093041313005875/0000930413-13-005875-index.htm,https://www.sec.gov/Archives/edgar/data/779544/000093041314004937/0000930413-14-004937-index.htm,https://www.sec.gov/Archives/edgar/data/779544/000093041315004879/0000930413-15-004879-index.htm,https://www.sec.gov/Archives/edgar/data/779544/000093041316009088/0000930413-16-009088-index.htm,https://www.sec.gov/Archives/edgar/data/779544/000093041317004111/0000930413-17-004111-index.htm,https://www.sec.gov/Archives/edgar/data/779544/000093041318003621/0000930413-18-003621-index.htm,https://www.sec.gov/Archives/edgar/data/779544/000077954419000035/0000779544-19-000035-index.htm,https://www.sec.gov/Archives/edgar/data/779544/000077954420000047/0000779544-20-000047-index.htm,https://www.sec.gov/Archives/edgar/data/779544/000077954421000032/0000779544-21-000032-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,500000,2100000,1800000,1200000,1000000,700000,900000,1800000,2000000,2900000,1300000,910000,720000,1020000,330000,697385,- -,820000,490000,4440000,5720000,7671000,4010000,2980000,5450000,2010000,7780000,8710000,8750000,8080000,9131000,6350000,1406000,4831000,7177000,16886000,19171000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9200000,9270000,8140000,7440000,2700000,80000,- -,580000,604000,889000,- -,181000,6821000,6874000,- -
33,Cash and Short-Term Investments,500000,2100000,1800000,1200000,1000000,700000,900000,1800000,2000000,2900000,1300000,910000,720000,1020000,330000,697385,- -,820000,490000,4440000,5720000,7671000,13210000,12250000,13590000,9450000,10480000,8790000,8750000,8660000,9735000,7239000,1406000,5012000,13998000,23760000,19171000
34,Net Receivables,300000,400000,700000,1200000,900000,1000000,600000,700000,900000,1200000,1400000,1560000,2250000,2920000,3520000,5472458,3250000,3210000,2130000,2710000,3410000,4558000,4410000,4150000,3250000,3480000,3970000,4130000,3280000,3440000,3706000,4203000,3752000,3838000,3035000,1738000,4493000
35,Inventory,200000,200000,200000,200000,200000,300000,300000,300000,400000,400000,900000,840000,2050000,1950000,1920000,2132983,2110000,1930000,2000000,1730000,1620000,1675000,1410000,1560000,1550000,1650000,1610000,1570000,1580000,1830000,1956000,1892000,1992000,2094000,2222000,2553000,3510000
36,Other Current Assets,300000,1100000,400000,600000,800000,700000,600000,1000000,1200000,1200000,2000000,1500000,1350000,1410000,1050000,3348714,2050000,2020000,1160000,1740000,2050000,2357000,1760000,350000,420000,800000,650000,2060000,1610000,1500000,2365000,2662000,2933000,2268000,-5546000,-1150000,7101000
37,Total Current Assets,1300000,3800000,3100000,3200000,2900000,2700000,2400000,3800000,4500000,5700000,5600000,4810000,6370000,7300000,6820000,11651540,7410000,7980000,5780000,10620000,12800000,16261000,20790000,18310000,18810000,15380000,16710000,16550000,15220000,15430000,17762000,15996000,10083000,13212000,13709000,26901000,34275000
38,PP&E,3800000,4900000,5500000,5900000,7400000,8900000,9100000,8900000,8600000,10500000,16500000,19100000,26930000,25240000,29100000,47198386,34730000,30260000,27060000,23460000,22260000,24144000,20050000,24860000,25080000,24110000,23240000,26190000,25020000,29020000,27804000,29546000,45215000,45264000,47781000,37682000,92510000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3960000,3800000,6220000,6220000,- -,6220000,6220000,3520000,3520000,3440000,3440000,5110000,4810000,4810000,4810000,4810000,4810000,4810000,6810000,6813000,7895000,9880000,9880000,15570000,15570000,17440000
40,Intangible Assets,4100000,4000000,3800000,3700000,3600000,3400000,3200000,3000000,2900000,3000000,4300000,-80000,-460000,-710000,-930000,4569569,-2050000,-2440000,470000,220000,200000,100000,800000,780000,770000,760000,1350000,1740000,730000,1320000,1720000,2137000,3740000,3680000,4023000,49000,4596000
41,Intangible Assets,4100000,4000000,3800000,3700000,3600000,3400000,3200000,3000000,2900000,3000000,4300000,3880000,3340000,5510000,5290000,4569569,4170000,3780000,3990000,3740000,3640000,3540000,5910000,5590000,5580000,5570000,6160000,6550000,5540000,8130000,8533000,10032000,13620000,13560000,19593000,15619000,22036000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50000,- -,560000,2700000,- -,20000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6453000,6701000,6979000,7036000,6821000,6874000,6425000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6305000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1491000,- -,- -,- -,3700000
44,Other Non-Current Assets,300000,700000,1100000,1000000,800000,500000,1700000,1900000,3000000,2600000,2100000,4540000,4630000,4490000,3470000,3596342,7520000,5940000,6810000,7070000,8470000,1870000,5430000,5250000,5870000,6570000,8150000,5870000,10680000,12780000,6015000,5980000,2679000,5665000,6748000,-6874000,2270000
45,Total Non-Current Assets,8200000,9600000,10400000,10600000,11800000,12800000,14000000,13800000,14500000,16100000,22900000,27570000,34900000,35800000,40560000,55364297,46440000,39980000,37860000,34270000,34370000,35859000,31390000,35700000,36530000,36250000,37550000,38610000,41240000,49930000,48805000,52259000,69984000,71525000,80943000,53301000,126941000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,9500000,13400000,13500000,13800000,14700000,15500000,16400000,17600000,19000000,21800000,28500000,32380000,41270000,43100000,47380000,67015837,53850000,47960000,43640000,44890000,47170000,52120000,52180000,54010000,55340000,51630000,54260000,55160000,56460000,65360000,66567000,68255000,80067000,84737000,94652000,80202000,161216000
48,Accounts Payable,- -,- -,- -,- -,- -,700000,900000,900000,1500000,1800000,2000000,2370000,3560000,3560000,3820000,5291885,4230000,3330000,3440000,2230000,2740000,2193000,2400000,2830000,2540000,2420000,2520000,2730000,2760000,2590000,3207000,2876000,4750000,5019000,3549000,2329000,4886000
49,Short-Term Debt,1400000,500000,1000000,800000,500000,600000,700000,600000,100000,200000,300000,- -,- -,- -,- -,5073592,- -,- -,350000,251000,- -,- -,181000,195000,209000,224000,78000,885000,2063000,1794000,1617000,2617000,10372000,1251000,2701000,15118000,13138000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,655000,290000,1341000,- -,783000,1995000,3469000,1548000,813000,820000,1426000,477000,910000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4763000,4312000,5216000,6149000,7253000,4960000,4806000,5214000,4453000,3416000,4186000,2988000,4549000,5897000,4988000
52,Other Current Liabilities,2000000,1600000,1400000,1600000,2500000,2000000,2300000,2500000,2200000,2100000,3100000,3740000,5180000,4460000,6040000,6205915,8990000,12640000,6790000,6879000,5760000,5670000,1876000,1823000,4965000,1697000,2779000,3915000,5281000,7132000,8356000,7745000,6847000,8582000,7283000,6791000,8691000
53,Total Current Liabilities,3400000,2100000,2400000,2400000,3000000,3300000,3900000,4000000,3800000,4100000,5400000,6110000,8740000,8020000,9860000,16571392,13220000,15970000,10580000,9360000,8500000,7863000,9220000,9160000,12930000,10490000,12630000,12490000,14910000,16730000,17633000,16654000,26155000,17840000,18082000,30135000,31703000
54,Long-Term Debt,4300000,3400000,2400000,1900000,1900000,2700000,1500000,1000000,100000,1000000,4900000,6920000,5110000,4550000,6680000,24447268,21700000,9550000,7230000,- -,- -,- -,700000,510000,300000,80000,- -,1240000,1590000,5520000,3907000,5321000,7824000,19860000,23786000,- -,78061000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3442000,4650000,4606000,4219000,3796000,3576000,- -,3301000,10077000,- -,- -
56,Deferred Tax Liabilities,100000,- -,100000,200000,400000,400000,400000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4960000,4806000,5214000,4453000,3416000,- -,2988000,4106000,- -,- -
57,Other Non-Current Liabilities,100000,100000,100000,- -,100000,300000,700000,1000000,1200000,1500000,1500000,1550000,1530000,1470000,1330000,1213000,1000000,990000,1000000,1330000,1250000,4504000,4170000,6540000,6310000,5520000,4838000,-780000,-2212000,-2863000,-2280000,-846000,3648000,-1548000,-3263000,- -,- -
58,Total Non-Current Liabilities,4500000,3500000,2600000,2100000,2400000,3400000,2600000,2200000,1300000,2500000,6400000,8470000,6640000,6020000,8010000,25660268,22700000,10540000,8230000,1330000,1250000,4504000,4870000,7050000,6610000,5600000,8280000,10070000,8790000,12090000,9876000,11467000,11472000,24601000,34706000,- -,78061000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86028000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,878000,4203000,3771000,3695000,- -,- -,3442000,- -,- -,- -,- -,- -,- -,- -,- -,56077000,58717000
61,Total Liabilities,7900000,5600000,5000000,4500000,5400000,6700000,6500000,6200000,5100000,6600000,11800000,14580000,15380000,14040000,17870000,42231660,35920000,26510000,18810000,10690000,9750000,12367000,14090000,16210000,19540000,16090000,20910000,22560000,23700000,28820000,27509000,28121000,37627000,42441000,52788000,116163000,109764000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50000,50000,50000,50000,52494,50000,50000,50000,50000,60000,57000,60000,60000,60000,60000,60000,50000,50000,50000,48000,34000,34000,35000,35000,35000,36000
64,Retained Earnings,1600000,1300000,2000000,2800000,2800000,3600000,4700000,6200000,8200000,9300000,10400000,11220000,12950000,17570000,22060000,18336859,11490000,15720000,19040000,25690000,27470000,27845000,24780000,25430000,23440000,22550000,20130000,22370000,22950000,24550000,26548000,27158000,27771000,29364000,28552000,22989000,35884000
65,Other Comprehensive Income/Loss,-800000,-1200000,-1500000,-2100000,-2800000,-3700000,-4900000,-6100000,-7500000,-9000000,-10500000,-11330000,-14040000,-15830000,-18160000,-22324552,-27040000,-1440000,-655000,-364000,-166000,-166000,-117000,-154000,-29000,8000,3000,- -,-50220000,-54020000,-56789000,- -,-59034000,-64044000,-62025000,- -,- -
66,Other Total Stockholders Equity,800000,7700000,8000000,8600000,9300000,8900000,10100000,11300000,13200000,14900000,16800000,17860000,26930000,27270000,25560000,28719376,33430000,7120000,6391000,8824000,10049000,12017000,13367000,12467000,12327000,12927000,13162000,10188000,59974000,65968000,69251000,12942000,71673000,76941000,75302000,13503000,- -
67,Total Stockholders Equity,1600000,7800000,8500000,9300000,9300000,8800000,9900000,11400000,13900000,15200000,16700000,17800000,25890000,29060000,29510000,24784177,17930000,21450000,24826000,34200000,37413000,39753000,38090000,37803000,35798000,35545000,33355000,32608000,32754000,36548000,39058000,40134000,40444000,42296000,41864000,36527000,50412000
68,Total Liabilities And Stockholders Equity,9500000,13400000,13500000,13800000,14700000,15500000,16400000,17600000,19000000,21800000,28500000,32380000,41270000,43100000,47380000,67015837,53850000,47960000,43636000,44890000,47163000,52120000,52180000,54013000,55338000,51635000,54265000,55168000,56454000,65368000,66567000,68255000,78071000,84737000,94652000,152690000,160176000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000,- -,7000,- -,- -,-3000,2000,-5000,-5000,-8000,6000,-8000,- -,- -,1996000,- -,- -,-72488000,1040000
70,Total Liabilities & Equity,9500000,13400000,13500000,13800000,14700000,15500000,16400000,17600000,19000000,21800000,28500000,32380000,41270000,43100000,47380000,67015837,53850000,47960000,43640000,44890000,47170000,52120000,52180000,54010000,55340000,51630000,54260000,55160000,56460000,65360000,66567000,68255000,80067000,84737000,94652000,80202000,161216000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/779544/000095011700002729/0000950117-00-002729-index.html,https://www.sec.gov/Archives/edgar/data/779544/000095011701501900/0000950117-01-501900-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/779544/000093041307009678/0000930413-07-009678-index.htm,https://www.sec.gov/Archives/edgar/data/779544/000093041308007367/0000930413-08-007367-index.htm,https://www.sec.gov/Archives/edgar/data/779544/000093041310000001/0000930413-10-000001-index.htm,https://www.sec.gov/Archives/edgar/data/779544/000093041311000028/0000930413-11-000028-index.htm,https://www.sec.gov/Archives/edgar/data/779544/000093041311008132/0000930413-11-008132-index.htm,https://www.sec.gov/Archives/edgar/data/779544/000093041312006712/0000930413-12-006712-index.htm,https://www.sec.gov/Archives/edgar/data/779544/000093041313005875/0000930413-13-005875-index.htm,https://www.sec.gov/Archives/edgar/data/779544/000093041314004937/0000930413-14-004937-index.htm,https://www.sec.gov/Archives/edgar/data/779544/000093041315004879/0000930413-15-004879-index.htm,https://www.sec.gov/Archives/edgar/data/779544/000093041316009088/0000930413-16-009088-index.htm,https://www.sec.gov/Archives/edgar/data/779544/000093041317004111/0000930413-17-004111-index.htm,https://www.sec.gov/Archives/edgar/data/779544/000093041318003621/0000930413-18-003621-index.htm,https://www.sec.gov/Archives/edgar/data/779544/000077954419000035/0000779544-19-000035-index.htm,https://www.sec.gov/Archives/edgar/data/779544/000077954420000047/0000779544-20-000047-index.htm,https://www.sec.gov/Archives/edgar/data/779544/000077954421000032/0000779544-21-000032-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,700000,1100000,1600000,1900000,1100000,1100000,800000,1700000,4600000,4500000,-3723130,-6800000,4200000,3300000,6700000,6600000,5220000,13200000,7000000,3100000,2600000,1400000,5500000,3800000,4900000,5390000,4030000,4039000,4655000,2676000,-9003000,12895000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,1000000,1200000,1300000,1600000,1800000,2400000,2800000,3400000,4000000,4100000,4885286,5938000,5172000,4286000,3591000,3694000,3778000,2721000,3091000,3619000,3873000,4491000,4110000,4303000,4619000,4415000,4553000,4132000,5074000,5233000,4640000,5438000
75,Deferred Income Tax,- -,- -,- -,- -,- -,300000,- -,-100000,-200000,-100000,-300000,-700000,-400000,100000,400000,-1670022,-3107000,1786000,-355000,318000,187000,-401000,1542000,451000,-905000,-933000,-1104000,2293000,1234000,-408000,213000,1134000,1550000,-1497000,-1118000,-1791000,2197000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,433000,535000,190000,108000,317000,349000,426000,286000,- -,47000,112000,176000,280000
77,Change in Working Capital,- -,- -,- -,- -,- -,500000,-900000,1300000,900000,900000,-1400000,-1500000,-1070000,1650000,-2320000,-1879852,-890148,-2180000,3190000,6060000,3040000,4098000,3172000,-2420000,-3270000,-990000,-810000,-20000,-3750000,-1610000,1429000,-787000,-15414000,11444000,255000,1139000,-1667000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,831000,-17000,182000,-112000,1078000,-304000,-205000,-529000,397000,-99000,831000,883000,-2375000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,-100000,-100000,-900000,- -,- -,-216547,23000,185000,-72000,133000,116000,-60000,30000,-146000,9000,-105000,51000,-232000,-103000,-43000,-124000,131000,193000,-102000,-48000,-331000,-918000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-118000,-1233000,207000,29000,-166000,615000,-331000,1874000,269000,-1475000,-1220000,2557000
81,Other Working Capital,- -,- -,- -,- -,- -,-600000,-1500000,-200000,700000,1600000,200000,-1300000,-2370000,-720000,-3040000,-4919852,-5810000,-7990000,-4800000,1260000,4300000,8398000,11570000,9150000,5880000,4890000,4080000,4060000,310000,-1300000,129000,-658000,-16072000,-4628000,-4373000,-3234000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,-100000,2200000,-1200000,-1500000,-500000,1900000,2600000,970000,-3050000,320000,7284668,11630148,66000,-547000,-6278000,-4000000,-2185000,-8871000,3235000,4730000,463000,4363000,1432000,7155000,4055000,-572000,-1614000,16043000,-10148000,3457000,311000,-9849000
