,https://roic.ai/company/PMD,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-751543,-1454852,-3120000,-2082000,-1749000,-415000,-678000,405000
91,Common Stock Issued,- -,- -,- -,- -,3100000,400000,- -,4200000,1000000,2800000,2400000,800000,- -,- -,28815,21723,386824,- -,433439,60100,665221,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-2700000,- -,-800000,-1600000,-2900000,-1418474,-112888,-443396,-1177849,- -,- -,- -,-40933,-810333,-79407,-6034,-22391,- -,- -,- -,- -,- -,- -,- -,- -,-9000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2200000,-2400000,-3500000,-3394333,-2115254,-1262273,-1660102,-1640610,-1856940,-2456305,-2998572,-6055634,-3014101,-2500268,-2510861,-3156592,-3178909,-3212267,-3242020,-3267000,-3289000,-3797000,-3970000,-993000,-279000
94,Other Financing Activites,- -,- -,- -,- -,100000,-200000,-100000,-100000,-100000,-100000,100000,-100000,- -,4051,- -,- -,- -,- -,- -,8983,26596,199204,-39381,-49261,-86992,-93164,-110149,6956598,992502,461000,1915000,-93000,1383000,2181000,-1161000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,3200000,200000,-100000,4100000,-1800000,2700000,-500000,-3300000,-6400000,-4808756,-2199327,-1683946,-2451127,-1640610,-1423501,-2387222,-2347688,-6666763,-3132889,-2555563,-2620244,-3249756,-3289058,2992788,-3704370,-5926000,-3456000,-5639000,-3002000,501000,-1035000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-217000,-1027000,-170000,-10000,- -
97,Net Change In Cash,- -,- -,- -,- -,3200000,200000,-100000,4100000,-1800000,2700000,-500000,-3300000,200000,2535206,-323893,538213,-626446,237711,92341,827716,1916499,533385,-1789752,-1119879,1843745,-2498448,904727,-358359,-922689,1249000,4227000,-4096000,3214000,-4450000,-841000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,900000,3434593,3110700,3648913,3022467,3260178,3352519,4180235,6096734,6630119,4840367,3720488,5564233,3065785,3970512,3612153,2689464,3938000,8165000,4069000,7283000,2833000,1992000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,1900000,1000000,1000000,500000,200000,1500000,600000,700000,899387,3434593,3110700,3648913,3022467,3260178,3352519,4180235,6096734,6630119,4840367,3720488,5564233,3065785,3970512,3612153,2689000,3938000,8165000,4069000,7283000,2833000
100,Free Cash Flow,- -,- -,- -,- -,-1200000,-900000,100000,1700000,600000,1700000,700000,3100000,2400000,2429022,1885733,2230273,1811214,1891617,4061544,4348130,4474778,3342959,2364155,2477437,2576411,751308,4193785,-3351147,2781681,7175000,7900000,6605000,2576000,-5074000,50000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/806517/000095013504001618/0000950135-04-001618-index.htm,https://www.sec.gov/Archives/edgar/data/806517/000095013505001767/0000950135-05-001767-index.htm,https://www.sec.gov/Archives/edgar/data/806517/000095013506001957/0000950135-06-001957-index.htm,https://www.sec.gov/Archives/edgar/data/806517/000095013507001943/0000950135-07-001943-index.htm,https://www.sec.gov/Archives/edgar/data/806517/000095013508001931/0000950135-08-001931-index.htm,https://www.sec.gov/Archives/edgar/data/806517/000136231009004444/0001362310-09-004444-index.htm,https://www.sec.gov/Archives/edgar/data/806517/000114420410015887/0001144204-10-015887-index.htm,https://www.sec.gov/Archives/edgar/data/806517/000114420411017288/0001144204-11-017288-index.htm,https://www.sec.gov/Archives/edgar/data/806517/000114420412013979/0001144204-12-013979-index.htm,https://www.sec.gov/Archives/edgar/data/806517/000114420413013811/0001144204-13-013811-index.htm,https://www.sec.gov/Archives/edgar/data/806517/000114420414012603/0001144204-14-012603-index.htm,https://www.sec.gov/Archives/edgar/data/806517/000114420415012568/0001144204-15-012568-index.htm,https://www.sec.gov/Archives/edgar/data/806517/000114420416084605/0001144204-16-084605-index.htm,https://www.sec.gov/Archives/edgar/data/806517/000114420417013217/0001144204-17-013217-index.htm,https://www.sec.gov/Archives/edgar/data/806517/000117184318002060/0001171843-18-002060-index.htm,https://www.sec.gov/Archives/edgar/data/806517/000117184319001481/0001171843-19-001481-index.htm,https://www.sec.gov/Archives/edgar/data/806517/000117184320001248/0001171843-20-001248-index.htm,https://www.sec.gov/Archives/edgar/data/806517/000117184321002107/0001171843-21-002107-index.htm,https://www.sec.gov/Archives/edgar/data/806517/000117184322002192/0001171843-22-002192-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
