,https://roic.ai/company/CRL,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.2504,0.2204,-0.0780,0.2446,0.2355,0.2784,0.2751,0.2345,0.0931,0.2606,-0.2640,0.2240,-0.1833,0.2227,0.2121,0.2173,0.2179,0.2220,0.2236,0.2453,0.2235,0.2140,0.2625,0.2295
17,Operating Income,35325000,42963000,65061000,90283000,122266000,138553000,160323000,181019000,188173000,227191000,-449762000,166926000,-298512000,174306000,165765000,151401000,177670000,206449000,237419000,287498000,331383000,351151000,432729000,589862000
18,Operating Income ratio,0.1827,0.1959,0.2122,0.1939,0.2205,0.2258,0.2091,0.1613,0.1778,0.1846,-0.3348,0.1388,-0.2634,0.1525,0.1468,0.1299,0.1369,0.1514,0.1412,0.1548,0.1462,0.1340,0.1480,0.1666
19,Total Other Income Expenses (Gains),507000,-10278000,-38961000,-20783000,-7866000,-5953000,-7823000,-20606000,-11573000,-9791000,-11238000,-17826000,-35588000,-41644000,-36065000,-13101000,-70000,-11021000,-14498000,9457000,-49702000,-47067000,14385000,-109152000
20,Income Before Tax,35832000,32685000,26100000,69500000,114400000,132600000,152500000,160413000,176600000,217400000,-461000000,149100000,-334100000,132662000,129700000,138300000,177600000,195428000,222921000,296955000,281681000,304084000,447114000,480710000
21,Income Before Tax Ratio,0.1854,0.1491,0.0851,0.1493,0.2063,0.2161,0.1989,0.1429,0.1669,0.1767,-0.3431,0.1240,-0.2948,0.1161,0.1148,0.1187,0.1369,0.1433,0.1326,0.1599,0.1243,0.1160,0.1529,0.1358
22,Income Tax expense (Gain),14123000,15561000,7800000,27095000,43572000,51063000,61156000,16576000,49738000,59400000,61944000,39725000,23000,17140000,27628000,32911000,47671000,43391000,66835000,171369000,54463000,50023000,81808000,81873000
23,Net Income,23378000,17124000,-11200000,35400000,50100000,80200000,89800000,141999000,-55800000,154400000,-521800000,114400000,-336700000,109566000,97300000,102800000,126700000,149313000,154765000,123355000,226373000,252019000,364304000,390982000
24,Net Income ratio,0.1209,0.0781,-0.0365,0.0760,0.0903,0.1307,0.1171,0.1265,-0.0527,0.1255,-0.3884,0.0951,-0.2971,0.0959,0.0861,0.0882,0.0976,0.1095,0.0920,0.0664,0.0999,0.0961,0.1246,0.1104
25,EPS,2.27,1.66,-0.40,0.86,1.12,1.76,1.81,2.04,-0.81,2.31,-7.76,1.75,-5.38,2.16,2.03,2.15,2.72,3.21,3.29,2.60,4.72,5.17,7.35,7.77
26,EPS Diluted,2.27,1.66,-0.40,0.80,1.06,1.64,1.68,1.96,-0.81,2.25,-7.76,1.74,-5.38,2.14,2.01,2.12,2.66,3.13,3.23,2.54,4.62,5.07,7.20,7.60
27,Weighted Average Shares Outstanding,10285715,10285715,27737677,40998558,44760714,45540341,49608840,69607353,68867901,66842424,67273748,65366319,62561294,50823063,47912135,47740167,46626997,46496000,47014000,47481000,47947000,48730000,49550000,50293000
28,Weighted Average Shares Outstanding Diluted,10285715,10285715,31734354,44215383,47294340,48872561,53447619,72448469,69728750,68624889,67273748,65635895,62561294,51318242,48406320,48489322,47557706,47634000,47958000,48564000,49018000,49693000,50611000,51425000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1100682/000091205701505683/0000912057-01-505683-index.html,https://www.sec.gov/Archives/edgar/data/1100682/000091205702011938/0000912057-02-011938-index.html,https://www.sec.gov/Archives/edgar/data/1100682/000104746903009461/0001047469-03-009461-index.html,https://www.sec.gov/Archives/edgar/data/1100682/000104746904007257/0001047469-04-007257-index.html,https://www.sec.gov/Archives/edgar/data/1100682/000104746905005909/0001047469-05-005909-index.html,https://www.sec.gov/Archives/edgar/data/1100682/000110465906016438/a06-2532_110k.htm,https://www.sec.gov/Archives/edgar/data/1100682/000110465907014407/a07-5140_110k.htm,https://www.sec.gov/Archives/edgar/data/1100682/000104746908001507/a2182759z10-k.htm,https://www.sec.gov/Archives/edgar/data/1100682/000104746909001689/0001047469-09-001689-index.html,https://www.sec.gov/Archives/edgar/data/1100682/000104746910001012/0001047469-10-001012-index.html,https://www.sec.gov/Archives/edgar/data/1100682/000104746911001182/a2202149z10-k.htm,https://www.sec.gov/Archives/edgar/data/1100682/000151851912000030/0001518519-12-000030-index.html,https://www.sec.gov/Archives/edgar/data/1100682/000144530513000358/0001445305-13-000358-index.html,https://www.sec.gov/Archives/edgar/data/1100682/000144530514000599/crl1228201310k.htm,https://www.sec.gov/Archives/edgar/data/1100682/000162828015000785/crl1227201410k.htm,https://www.sec.gov/Archives/edgar/data/1100682/000110068216000006/0001100682-16-000006-index.html,https://www.sec.gov/Archives/edgar/data/1100682/000110068217000003/0001100682-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/1100682/000110068218000005/0001100682-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/1100682/000110068219000004/0001100682-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1100682/000110068220000005/0001100682-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1100682/000110068221000005/0001100682-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1100682/000110068222000007/0001100682-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,24811000,15010000,33100000,58300000,122500000,182300000,207600000,114821000,175400000,225400000,243600000,182600000,179200000,68905000,109700000,155900000,160000000,117947000,117626000,163794000,195442000,238014000,228424000,241214000
32,Short-Term Investments,- -,- -,- -,- -,- -,13200000,200000,1677000,7500000,15000000,- -,56400000,9800000,5359000,6800000,11200000,16200000,- -,3771000,28489000,885000,941000,1024000,1063000
33,Cash and Short-Term Investments,24811000,15010000,33100000,58300000,122500000,195500000,207800000,116498000,182900000,240400000,243600000,239000000,189000000,74264000,116500000,167100000,176200000,117947000,121397000,192283000,196327000,238955000,229448000,242277000
34,Net Receivables,33448000,36293000,46000000,98500000,94200000,111500000,201800000,203274000,202700000,213900000,210200000,196900000,193000000,184810000,203000000,220600000,258000000,270068000,364050000,430016000,472248000,514033000,617740000,650381000
35,Inventory,30731000,30534000,33900000,39100000,43900000,52400000,61900000,65270000,72400000,88000000,96900000,102700000,100300000,92969000,88500000,89400000,89000000,93735000,95833000,114956000,127892000,160660000,185695000,199146000
36,Other Current Assets,8224000,8236000,6700000,14300000,17500000,11500000,38800000,34280000,43100000,65600000,67400000,57000000,70600000,73800000,77300000,75500000,83700000,77484000,75552000,89370000,101369000,107677000,168248000,182291000
37,Total Current Assets,97214000,90073000,119700000,210200000,278100000,370900000,510300000,419322000,501100000,607900000,618100000,595600000,552900000,425843000,485300000,552600000,606900000,559234000,656832000,826625000,897836000,1021325000,1201131000,1274095000
38,PP&E,82690000,85413000,117000000,155900000,187900000,203500000,357100000,399454000,534700000,748800000,828900000,865700000,752700000,738030000,717000000,676200000,676800000,677959000,755827000,781973000,932877000,1184213000,1302578000,1584009000
39,Goodwill,- -,- -,41900000,52100000,96500000,105300000,1422600000,- -,1119300000,1120500000,457600000,508200000,198400000,197561000,208600000,230700000,321100000,438829000,787517000,804906000,1247133000,1540565000,1809168000,2711881000
40,Intangible Assets,- -,36958000,- -,38300000,34200000,30400000,256300000,1616814000,160200000,148900000,136100000,160300000,121200000,93437000,84900000,84500000,178900000,280804000,394448000,369762000,610888000,689413000,787599000,1061192000
41,Intangible Assets,17705000,36958000,41900000,90400000,130700000,135700000,1678900000,1616814000,1279500000,1269400000,593700000,668500000,319600000,290998000,293500000,315200000,500000000,719633000,1181965000,1174668000,1858021000,2229978000,2596767000,3773073000
42,Investments,- -,- -,2400000,3000000,- -,7300000,4300000,- -,103900000,48500000,19000000,16200000,11400000,- -,8492000,17911000,27047000,32730000,45331000,71101000,88591000,122979000,221804000,201352000
43,Tax Assets,5787000,- -,- -,- -,- -,3900000,93100000,67911000,56400000,70900000,47500000,42900000,30100000,44804000,13100000,15000000,30800000,48223000,28746000,89540000,143635000,167283000,37729000,40226000
44,Other Non-Current Assets,30858000,150612000,129600000,111900000,104600000,78300000,-16900000,34708000,81900000,60000000,52700000,15200000,66700000,58645000,68908000,67689000,43653000,30718000,43099000,-13985000,-65081000,-32988000,130822000,151537000
45,Total Non-Current Assets,137040000,272983000,290900000,361200000,423200000,428700000,2116500000,2118887000,2056400000,2197600000,1541800000,1608500000,1180500000,1132477000,1101000000,1092000000,1278300000,1509263000,2054968000,2103297000,2958043000,3671465000,4289700000,5750197000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,234254000,363056000,410600000,571400000,701300000,799600000,2626800000,2538209000,2557500000,2805500000,2159900000,2204100000,1733400000,1558320000,1586300000,1644600000,1885200000,2068497000,2711800000,2929922000,3855879000,4692790000,5490831000,7024292000
48,Accounts Payable,11615000,9291000,10800000,13900000,13100000,19400000,28700000,30447000,28200000,36700000,40500000,31200000,30600000,34332000,31200000,31800000,33800000,36675000,68485000,77838000,66250000,111498000,122475000,198130000
49,Short-Term Debt,202000,3543000,- -,- -,- -,- -,80865000,36445000,24977000,25051000,35452000,35413000,30582000,14758000,139384000,21437000,31904000,17033000,27313000,30998000,31416000,58902000,74888000,36062000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10552000,18216000,18773000,9362000,12168000,25621000,43250000,24120000,26066000,24884000,26161000
51,Deferred Revenue,- -,- -,- -,22210000,27029000,30846000,117490000,116302000,93197000,102021000,86707000,72390000,66905000,56530000,56422000,54177000,78124000,81343000,127731000,117569000,145139000,171805000,250186000,279215000
52,Other Current Liabilities,50570000,56902000,53500000,62390000,76071000,64154000,122045000,128218000,112926000,138728000,138341000,110797000,131713000,111177000,115194000,139586000,152372000,176710000,206064000,237099000,315417000,367976000,392202000,519778000
53,Total Current Liabilities,62387000,69736000,64300000,98500000,116200000,114400000,349100000,311412000,259300000,302500000,301000000,249800000,259800000,216797000,342200000,247000000,296200000,311761000,429593000,463504000,558222000,710181000,839751000,1033185000
54,Long-Term Debt,248000,382501000,202500000,155900000,189600000,185700000,606000000,260217000,547100000,485000000,540600000,457400000,670300000,703187000,527100000,642400000,746000000,845997000,1207696000,1114105000,1636598000,1849666000,2085166000,2916536000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34420000,20983000,19475000,20578000
56,Deferred Tax Liabilities,836000,4990000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13147000,14988000,30816000,48223000,55717000,89540000,143635000,167283000,217031000,239720000
57,Other Non-Current Liabilities,2218000,15667000,26900000,27500000,38200000,34800000,199200000,129849000,155900000,157600000,119300000,121700000,115900000,110973000,103053000,99212000,139984000,129449000,179669000,217693000,165672000,310093000,211239000,222281000
58,Total Non-Current Liabilities,3302000,403158000,229400000,183400000,227800000,220500000,805200000,390066000,703000000,642600000,659900000,579100000,786200000,814160000,643300000,756600000,916800000,1023669000,1443082000,1421338000,1980325000,2348025000,2532911000,3399115000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,64000,- -,- -,- -,- -,- -,- -,- -,- -,703187000,- -,- -,- -,- -,- -,- -,- -,167136000,209316000,316156000
61,Total Liabilities,65689000,472894000,293700000,281900000,344000000,334900000,1154300000,701478000,962300000,945100000,960900000,828900000,1046000000,1030957000,985500000,1003600000,1213000000,1335430000,1872675000,1884842000,2538547000,3058206000,3372662000,4432300000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,1000,103000,400000,400000,500000,500000,700000,724000,700000,800000,800000,800000,800000,785000,800000,800000,800000,855000,863000,875000,482000,489000,498000,505000
64,Retained Earnings,156108000,-307351000,-318600000,-283200000,-233000000,-152900000,-63100000,78906000,23100000,177500000,-344300000,-238500000,-575200000,-465596000,-368300000,-265500000,-138800000,10538000,165303000,288658000,42096000,280329000,625414000,980751000
65,Other Comprehensive Income/Loss,- -,-108332000,-30600000,-32600000,-11768000,7269000,16086000,-12245000,21171000,85559000,3347000,45037000,33635000,4593000,6603000,5357000,-74247000,-135548000,-253764000,-144731000,-172703000,-178019000,-138874000,-164740000
66,Other Total Stockholders Equity,12456000,305742000,465700000,604900000,601644000,609754000,1518819000,1759628000,1550240000,1596608000,1539178000,1567906000,1228188000,985801000,961702000,900327000,884450000,857222000,924366000,900278000,1447457000,1531785000,1627564000,1718304000
67,Total Stockholders Equity,168565000,-109838000,116900000,289500000,357376000,464623000,1472505000,1827013000,1595211000,1860467000,1199025000,1375243000,687423000,525583000,600805000,640984000,672203000,733067000,836768000,1045080000,1317332000,1634584000,2114602000,2534820000
68,Total Liabilities And Stockholders Equity,234254000,363056000,410600000,571400000,701376000,799523000,2626805000,2528491000,2557511000,2805567000,2159925000,2204143000,1733423000,1556540000,1586305000,1644584000,1885203000,2068497000,2709443000,2929922000,3855879000,4692790000,5487264000,6967120000
69,Minority Interest,- -,- -,- -,- -,-76000,77000,-5000,9718000,-11000,-67000,-25000,-43000,-23000,1780000,-5000,16000,-3000,- -,2357000,- -,- -,- -,3567000,57172000
70,Total Liabilities & Equity,234254000,363056000,410600000,571400000,701300000,799600000,2626800000,2538209000,2557500000,2805500000,2159900000,2204100000,1733400000,1558320000,1586300000,1644600000,1885200000,2068497000,2711800000,2929922000,3855879000,4692790000,5490831000,7024292000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1100682/000091205701505683/0000912057-01-505683-index.html,https://www.sec.gov/Archives/edgar/data/1100682/000091205702011938/0000912057-02-011938-index.html,https://www.sec.gov/Archives/edgar/data/1100682/000104746903009461/0001047469-03-009461-index.html,https://www.sec.gov/Archives/edgar/data/1100682/000104746904007257/0001047469-04-007257-index.html,https://www.sec.gov/Archives/edgar/data/1100682/000104746905005909/0001047469-05-005909-index.html,https://www.sec.gov/Archives/edgar/data/1100682/000110465906016438/a06-2532_110k.htm,https://www.sec.gov/Archives/edgar/data/1100682/000110465907014407/a07-5140_110k.htm,https://www.sec.gov/Archives/edgar/data/1100682/000104746908001507/a2182759z10-k.htm,https://www.sec.gov/Archives/edgar/data/1100682/000104746909001689/0001047469-09-001689-index.html,https://www.sec.gov/Archives/edgar/data/1100682/000104746910001012/0001047469-10-001012-index.html,https://www.sec.gov/Archives/edgar/data/1100682/000104746911001182/a2202149z10-k.htm,https://www.sec.gov/Archives/edgar/data/1100682/000151851912000030/0001518519-12-000030-index.html,https://www.sec.gov/Archives/edgar/data/1100682/000144530513000358/0001445305-13-000358-index.html,https://www.sec.gov/Archives/edgar/data/1100682/000144530514000599/crl1228201310k.htm,https://www.sec.gov/Archives/edgar/data/1100682/000162828015000785/crl1227201410k.htm,https://www.sec.gov/Archives/edgar/data/1100682/000110068216000006/0001100682-16-000006-index.html,https://www.sec.gov/Archives/edgar/data/1100682/000110068217000003/0001100682-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/1100682/000110068218000005/0001100682-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/1100682/000110068219000004/0001100682-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1100682/000110068220000005/0001100682-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1100682/000110068221000005/0001100682-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1100682/000110068222000007/0001100682-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,23378000,17124000,-11200000,35400000,50100000,80200000,89800000,141999000,-55800000,154400000,-521800000,114400000,-336700000,109566000,97300000,102800000,126700000,149313000,154765000,123355000,226373000,252019000,364304000,390982000
74,Depreciation and Amortization,10895000,15643000,18870000,28578000,25727000,31121000,48176000,104637000,85130000,88916000,91183000,93553000,93649000,85230000,81275000,96636000,96445000,94881000,126658000,131159000,161779000,198095000,234924000,265540000
75,Deferred Income Tax,-3133000,8625000,-887000,17190000,11260000,8890000,9079000,-37406000,4035000,-9786000,12671000,15791000,-42342000,-8668000,1311000,-846000,7060000,2689000,1945000,28254000,-9702000,-21895000,-133000,-24006000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24333000,23813000,- -,- -,21855000,24542000,31035000,40122000,43642000,44003000,47346000,57271000,56341000,71474000
77,Change in Working Capital,7395000,-14490000,35063000,56300000,50200000,94600000,-95300000,-53290000,133890000,63600000,11700000,28700000,-52700000,-84054000,-65946000,162500000,5100000,-63227000,-20234000,135882000,-23507000,-28470000,50236000,42942000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8532000,21768000,-5640000,7669000,-16266000,-19492000,-28088000,-16963000,-52780000,-48279000,-21196000,-8323000,-85627000,- -
79,Inventory,-1250000,133000,-2343000,-3762000,-1645000,-5733000,-6363000,-5801000,-6475000,-12988000,-9670000,-4379000,1989000,3766000,785000,-1571000,-2956000,3364000,-4021000,-17838000,-13338000,-21399000,-18379000,-25159000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8177000,-11493000,71000,2208000,-3257000,-7080000,4599000,1174000,22076000,34000,-12732000,29775000,748000,44901000
81,Other Working Capital,34827000,20337000,55400000,111700000,161900000,256500000,161200000,107910000,241800000,305400000,317100000,345800000,293100000,209046000,143100000,305600000,310700000,247473000,227239000,363121000,339614000,311144000,361380000,49833000
82,Other Non-Cash Items,-1155000,10666000,-8078000,-66170000,-3628000,-91045000,133072000,80762000,-2885000,-12882000,661862000,-51213000,507106000,103209000,72105000,-178493000,-15289000,62580000,-8457000,-146388000,38851000,23916000,-159097000,13867000
83,Cash Provided by Operating Activities,37380000,37568000,33768000,71298000,133659000,123766000,184827000,236702000,164370000,284248000,279949000,225044000,169013000,205283000,207900000,207139000,251051000,286358000,298319000,316265000,441140000,480936000,546575000,760799000
84,CAPEX,-11909000,-12951000,-15565000,-36656000,-37543000,-32704000,-45336000,-95550000,-181747000,-227036000,-197081000,-80012000,-42860000,-49143000,-47534000,-39154000,-56925000,-63252000,-55288000,-82431000,-140054000,-140514000,-166560000,-228772000
85,Acquisitions Net,-11802000,-23051000,-6011000,-55265000,-42498000,-10841000,-571992000,-3400000,-30862000,-11584000,-69151000,-83347000,- -,- -,-16861000,-29218000,-234267000,-247651000,-648482000,47450000,-824868000,-515701000,-418628000,-1170401000
86,Purchases of Investments,- -,- -,- -,- -,- -,-21824000,-16689000,-15580000,-207900000,-299408000,-6439000,-102275000,-27600000,-24556000,-18537000,-17566000,-26648000,-34235000,-40248000,-46217000,-25125000,-22341000,-26692000,-45555000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,1108000,32621000,405000,122981000,334546000,45444000,52785000,72464000,31607000,25156000,11584000,21000000,27072000,53954000,9128000,35849000,942000,11401000,6532000
88,Other Investing Activites,-11228000,1834000,7000000,- -,1156000,872000,1427000,132000,189537000,2698000,-197030000,-75984000,-39103000,-43696000,-44748000,-38847000,-58075000,-65473000,-51594000,-82947000,-140859000,-144402000,-167625000,-228508000
89,Cash Used for Investing Activites,-23030000,-34168000,-14576000,-91921000,-78885000,-63389000,-599969000,-113993000,-107991000,-200784000,-227176000,-208821000,5761000,-36645000,-54990000,-74047000,-297990000,-320287000,-686370000,-72586000,-955003000,-681502000,-601544000,-1437932000
90,Debt Repayment,-1295000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-36540000,-54130000,-381535000,-252965000,-140347000,-523304000,-194536000,-417331000,-656636000,-372435000,-2201003000,-3124588000,-2200400000,-6242877000
91,Common Stock Issued,- -,102993000,235964000,116691000,5273000,3976000,26554000,27123000,88323000,53977000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-17997000,-249958000,-41617000,-115058000,-45897000,-356527000,-283795000,-64189000,-165932000,-122018000,-117478000,-12267000,-106909000,-13846000,-18087000,-23979000,-40707000
93,Dividends Paid,- -,- -,- -,-729000,-1470000,-1902000,-2112000,-1400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-6723000,-114497000,-235182000,-68732000,1372000,-10866000,412505000,-205303000,167021000,-58787000,134278000,19050000,570167000,264974000,93415000,604999000,377968000,539357000,1059629000,270868000,2772908000,3374612000,2271627000,6956182000
95,Cash Used/Provided by Financing Activities,-8018000,-11504000,782000,47230000,5175000,-8792000,436947000,-197577000,5386000,-46427000,-17320000,-80977000,-167895000,-271786000,-111121000,-84237000,61414000,4548000,390726000,-208476000,558059000,231937000,47248000,672598000
96,Effect of Forex Changes on Cash,564000,-1697000,-1855000,-1465000,4289000,8237000,3430000,-17877000,-1205000,13032000,-17310000,3736000,-10293000,-7107000,-1009000,-2613000,-10379000,-12695000,-2996000,11234000,-9474000,11357000,794000,17730000
97,Net Change In Cash,6896000,-9801000,18119000,25142000,64238000,59822000,25235000,-92745000,60559000,50069000,18143000,-61018000,-3414000,-110255000,40780000,46242000,4096000,-42076000,-321000,46437000,30987000,42728000,-6927000,13195000
98,Cash at the End of Period,24811000,15010000,33129000,58271000,122509000,182331000,207566000,114821000,175380000,225449000,243592000,182574000,179160000,68905000,109685000,155927000,160023000,117947000,117626000,166331000,197318000,240046000,233119000,246314000
99,Cash at the Beginning of Period,17915000,24811000,15010000,33129000,58271000,122509000,182331000,207566000,114821000,175380000,225449000,243592000,182574000,179160000,68905000,109685000,155927000,160023000,117947000,119894000,166331000,197318000,240046000,233119000
100,Free Cash Flow,25471000,24617000,18203000,34642000,96116000,91062000,139491000,141152000,-17377000,57212000,82868000,145032000,126153000,156140000,160366000,167985000,194126000,223106000,243031000,233834000,301086000,340422000,380015000,532027000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1100682/000091205701505683/0000912057-01-505683-index.html,https://www.sec.gov/Archives/edgar/data/1100682/000091205702011938/0000912057-02-011938-index.html,https://www.sec.gov/Archives/edgar/data/1100682/000104746903009461/0001047469-03-009461-index.html,https://www.sec.gov/Archives/edgar/data/1100682/000104746904007257/0001047469-04-007257-index.html,https://www.sec.gov/Archives/edgar/data/1100682/000104746905005909/0001047469-05-005909-index.html,https://www.sec.gov/Archives/edgar/data/1100682/000110465906016438/a06-2532_110k.htm,https://www.sec.gov/Archives/edgar/data/1100682/000110465907014407/a07-5140_110k.htm,https://www.sec.gov/Archives/edgar/data/1100682/000104746908001507/a2182759z10-k.htm,https://www.sec.gov/Archives/edgar/data/1100682/000104746909001689/0001047469-09-001689-index.html,https://www.sec.gov/Archives/edgar/data/1100682/000104746910001012/0001047469-10-001012-index.html,https://www.sec.gov/Archives/edgar/data/1100682/000104746911001182/a2202149z10-k.htm,https://www.sec.gov/Archives/edgar/data/1100682/000151851912000030/0001518519-12-000030-index.html,https://www.sec.gov/Archives/edgar/data/1100682/000144530513000358/0001445305-13-000358-index.html,https://www.sec.gov/Archives/edgar/data/1100682/000144530514000599/crl1228201310k.htm,https://www.sec.gov/Archives/edgar/data/1100682/000162828015000785/crl1227201410k.htm,https://www.sec.gov/Archives/edgar/data/1100682/000110068216000006/0001100682-16-000006-index.html,https://www.sec.gov/Archives/edgar/data/1100682/000110068217000003/0001100682-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/1100682/000110068218000005/0001100682-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/1100682/000110068219000004/0001100682-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/1100682/000110068220000005/0001100682-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/1100682/000110068221000005/0001100682-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1100682/000110068222000007/0001100682-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
